hub	网络中心
expositor	说明者
karelian	卡累利阿人的
enneagon	九角形
glacis	缓冲地区
jwv	Veterans犹太退伍军人会
can	能
antirust	不锈的
wave	波
foregone	预知的
inez	伊内兹
aggressively	攻势
unapproved	未经批准
notion	打算
eyebrow	眉毛
amortisement	摊还
eutropic	向阳光性
detection	侦查
industrialist	工厂主
phthisic	结核病的
swabber	负责打扫工作的船员
massoretic	=Masoretic
phylloclade	叶状枝
sera	serum的复数
equilibrant	平衡力
overwear	使过度疲乏
coincident	符合
locum	临时代理
polite	文雅
mesothelioma	间皮瘤
lecithoid	磷脂
photochemical	光化学的
dicast	审判官员
carrageenan	角叉胶
floppily	懒散地
antipyretic	退热剂
thio	硫代
overconfident	过于自信
grainy	粒状
efficient	有效率
federally	同盟
fsb	前端总线
obverse	正面的
amain	突然
appropriable	可挪用
unashamed	问心无愧
greatest	最伟大
draghound	经训练能循臭迹追踪的猎犬
dishtowel	干毛巾布
ultramundane	超俗的
veronal	佛罗拿
fellness	残酷
fusible	熔解的
unglue	硬使分开
score	评价
frederica	弗雷德里卡
bourg	村镇
confluction	会合处
deray	纷乱
arenic	竞技场的
vision	幻影
sulfinyl	=sulphinyl
aurorean	晨曦的
intransigency	不妥协态度
homoiothermous	恒温动物
nonresidential	非住宅
unstriped	非横纹的
cyanoguanidine	氰基胍
katana	刀
mens	心
paging	页面调度
sestertii	sestertius的复数
outsourcing	外购
grossly	粗
voodoo	伏都教
sloppy	潮湿
confine	限制
forgery	伪造物
bisulphide	二硫化物
mensurability	可测性
videodisc	电视唱片
unspent	未耗尽
dishing	碟形的
aeroginous	产气
zymotechnics	酿造法
hyperconscious	a知觉太过敏锐的
stratagem	计谋
average	均分
estimator	评价者
pratincolous	栖草原
eunomic	井井有条
gaius	圣加伊乌斯
leather	皮革制品
zincify	镀以锌
fizz	活跃
balanced	安定的
study	论文
longtimer	长期刑囚犯
morcellate	切碎
fingerparted	如手指状辐射
history	历史记录
restoration	重建
barometry	气压测定法
hylophagous	食木的
supportless	无支持者的
otherness	不同
point	弄尖
superb	庄重的
quickish	相当快
handbound	用手装订的
disennoble	降低品格
heckuva	=helluva
superciliousness	傲慢
isotonic	等分
tributyl	phosphate磷酸三丁酯
homeothermal	=homoiothermal
reimpose	重新征收
fool	干傻事
wad	把……卷为一卷
excuse	致歉
sloppy	溅污
aardwolf	土狼
cravenly	胆小
hypostasis	根本原理
toner	调色剂
transcend	胜过
galactokinase	半乳糖激酶
gi	美国兵
bimonthly	双月的
entame	使驯服
roughscuff	下层人民
marduk	马杜克
overcapacity	生产能力过剩
funabout	小型游乐车
donkeyish	愚蠢
yvr	加拿大温哥华机场之代号
sixpenny	六便士的
indic	印度的
xxxv	35
bregma	前囱
slipslop	无味
immensurable	不可衡量
try	试
wdp	无线寻址信息协议
logarithmic	对数
catechise	盘问
negativistic	抗拒性的
drafty	有缝隙风吹入
dolomitic	含白云石的
dado	台座
fornix	穹窿
vistadome	观景车顶
unreasonableness	无理性
detrusive	推落
rulership	统治者的地位
pantagruelist	庞大固埃
magnicide	重大谋杀
sanious	排出脓液
pyrite	黄铁矿
exoergic	放能的
unseeing	不注意的
unreel	回卷
percentagewise	在百分比上
autobus	公共汽车
create	造成
ciliiform	睫毛状
heronsew	=hernshaw
cyclonic	气旋的
tetraonid	鸡形目禽鸟科的
pmla	Association
ferrety	似雪貂
warily	小心
oilily	光滑地
thickheaded	笨的
promontory	隆起
lunatic	疯子
amaranth	苋属植物
romneya	罂粟科植物
etymologize	指示语源
deconcentration	分散
roundup	驱集
phosphatic	含磷酸盐
drive	驱动器
amass	积聚
fetishize	以……为偶像
russetish	略带红褐色
misprize	蔑视
embellishment	装饰
posthypnotic	催眠后
ostensive	以事实例证
caster	轮脚
huly	=hooly
latter	后面的
trappy	圈套
leant	lean的过去式及过去分词
traffic	用……作交换
languet	象舌头的东西
perennial	永久
hydrogasifier	加氢气化器
bellhop	旅馆侍者
dawdling	闲逛的
theomorphic	神形
nae	不的
actinodermatitis	X光皮炎
labiovelar	唇软颚音的
condonable	赎罪
implacentate	无胎盘动物
embroider	刺绣
cultivation	培养
ozonesonde	臭氧无线电探测仪
contradictory	对立物
mhw	high
candent	白热的
washerwoman	洗衣妇
protocol	协议
dextrous	机巧
mearns	=Kincardine
roving	粗纱
determination	果断
mambo	曼博音乐
bradypepsia	消化徐缓
offbeat	不规则的
royal	第一流的
conflate	合并
imperfect	减弱
consonance	和音
mobile	可移动的
indissolubility	不溶解性
trot	小跑
fateful	重大的
gangliate	有神经节
skywatch	天空观察
librarian	图书馆员
bay	绝路
jomon	绳纹文化
swabian	斯瓦比亚的
embolize	发生栓塞
perihelion	近日点
intacta	未遭玷污
soapbark	皂树皮
technofreak	技术迷
movably	可动性地
limbers	污水道
penicil	毛撮
hematogen	血原汁
resolution	决议
papable	适于并可能继承教皇职位
professional	专业
medley	混合物
featherbone	羽骨
distress	穷困
erect	笔直的
marxist	马克思主义的
forward	前进的
motoneurone	运动神经元
inform	获悉
scenical	风景的
journalistic	新闻从业员
champaign	原野
floribunda	花束月季
rush	突袭
adrenalize	使兴奋
bacillus	杆状菌
explicable	可解释的
tremendously	可怕地
undermanned	船员不足的
co	货源证书
spindle	锭子似的
baconian	培根哲学的
attractively	动人地
peculiarly	特别
synaesthesia	共同感觉
iniquitious	极不公正
crocein	红色或橘红色染料
gpd	每日加仑数
acusector	电割针
qpm	Queen''s
salvageable	可打捞
affrontedly	被冒犯地
faggoty	同性恋
pupillometer	瞳孔计
puckery	弄皱的
northerly	来自北方
charily	小心谨慎
guidable	可指导
interferometric	用干涉仪测量
triblet	心棒
backflow	流向来源
surmise	猜测
christcrossrow	字母表
hernial	疝
prettyish	有点美
conceptual	概念上的
trot	快步走
msphe	of
herakleion	=Iraklion
embark	登上
reservedly	客气地
gonococcus	淋菌
shortchange	少找零头
singularly	另人无法理解地
supernaturally	超自然地
mandan	曼丹人
plagiocephalic	斜头
continue	继续
predetermine	预先确定
guana	鬣蜥
stook	堆禾束
seidel	大啤酒杯
crackbrained	不谨慎的
verboten	禁止
sierran	锯齿山脊的
vitae	vita
coequality	同等权利
fideicommissary	财产遗赠的受益人
lowness	卑贱
downer	令人沮丧的人
gnn	Network
lothario	好色之徒
bratty	不服从的
squire	大地主
mussily	吵闹
rural	乡村风味
equate	视为平等
your	pro
pitted	有凹痕
dropper	使滴下的东西
accessary	帮凶的
magnet	磁铁
emotivity	易动感情
soed	Oxford
saveable	=savable
leavings	残渣
crura	下肢
hydrodynamic	水力的
motorist	常坐汽车的人
sermonize	布道
looky	瞧
leprologist	麻风学者
surgical	外科手术
capstone	顶点
tartness	锋利
odic	颂歌
fair	公正
biennial	二年一次
overcuriosity	过于好奇
section	断片
iaupe	of
achromatous	无色
firebolt	霹雳
rehearse	排练
respectfully	尊敬地
hypoallergenic	低变应原
earthen	陶制
iniquitously	非法
infrequent	很少发生的
displeasing	令人发火
appendices	见appendix
document	公文
cynomolgus	猕猴
ephebeum	=ephebeion
crenulate	小圆齿状
diminutively	小
haematopoiesis	造血作用
sericulturist	养蚕者
fruitive	能产果实的
acetic	乙酸的
dispersedly	分散地
schlockmaster	劣货制造者
jerkin	短上衣
unmeditated	自发的
nccj	Jews
indices	index
hornet	大黄蜂类
unheard	未被倾听的
den	兽穴
overstaff	为……配备人员过多
zoosemiotics	动物符号学
toastmistress	女祝酒提议人
vestibular	门口走廊的
illude	诓骗
carper	苛评者
mcat	College
ring	拳击场
aboil	沸腾着
carbecue	热压熔化废旧汽车的装置
economical	经济的
guano	人造
taskwork	重活
shepherd	牧羊
heathrow	Airport希思罗机场
udp	Datagram
retributive	报应的
geep	山绵羊
lipotropic	抗脂肪肝
handsbreadth	一手之宽
hydrosulfate	硫酸化物
maunder	唠叨地讲
kinabalu	基纳巴卢山
jambeau	护胫铠甲
relativistic	相对论的
confectionery	糖果店
lime	石灰
hebetic	青春期发生
width	/
proteiform	形式多变
everybody	每个人
bowery	树荫
golgotha	墓地
laster	持久之人
noncaloric	无热量的
calgary	卡尔加里
jaap	傻瓜
harmonic	和声的
polyhedric	多面体的
ibex	野生山羊
setback	挫折
muck	鬼混
banteringly	嘲弄
silverfish	蠹虫
preemployment	录用前的
caravaggiesque	卡拉瓦乔
evanishment	消失
pomeranian	人
ambiguous	不明确的
unscrupulous	肆无忌惮的
florin	一种货币
leasehold	租赁的
iodate	碘酸盐
hyetal	雨
instancy	紧急
shortia	岩扇
jaspilite	碧玉铁质岩
cheerleader	啦啦队队长
loss	输
failure	失灵
gerodontics	老人牙医学
unsung	未在诗歌中歌颂过
electrotype	电版
bowels	内部
tsamba	糌粑
carrion	腐朽的
succinyl	琥珀酰
carioca	克力欧卡舞
polygalaceous	远志科的
denunciation	告发
potable	饮料
uninventive	才能的
vum	发誓
sleet	下雨雪
work	劳动
unpracticed	练习不足的
procacious	鲁莽
rectilineal	哥特式建筑
headstrong	顽固的
snowswept	大雪纷飞
sexidecimal	16进位的
theandric	神人两性结合
perfin	=spif
salinogenic	能形成盐的
wigged	戴假发
loan	借
phytochemical	植物化学
cinetheodolite	=kinetheodolite
actinal	有触手的
kinglike	堂堂的
sensate	知觉的
clangorous	叮当响的
monseigneur	有此荣衔的人
recording	记录用的
combine	联合收割机
glossal	舌的
decretal	法令的
evident	显然的
carbamic	氨基甲酸
agrestial	农田中野生的
doglike	象狗
sympathetectomy	交感神经切除术
secund	侧方的
intended	故意的
existential	存在判断的
yemen	也门
presentence	判决前的
cyanocobalamin	维生素B12
colorimetric	色度的
snakemouth	红朱兰
facilitate	推动
phrasemongering	空谈
pots	旧式普通电话服务
charmless	不美
nuke	以核武器攻击
exhaustive	无遗
amplificatory	放大
queenliness	适合当女王
azotobacter	固氮菌
meroplankton	暂时性浮游生物
defuze	拆除雷管
missish	小姐似
throwaway	宣传小册子
nervine	神经镇定剂
hellen	赫楞
integraph	积分仪
semicomatose	轻昏迷的
unentertained	未得到娱乐的
toluic	甲苯酸
orthodox	正统
vmi	Military
yap	吵嚷
dirl	抖动
silt	残渣
chipper	爽朗
pronatalism	提高人口出生率主义
refutal	驳斥
stayer	抑制物
stickle	坚持己见
reign	统治
insoluble	不能解决
originative	有创作力的
extrusion	喷出的
unlearned	无教育
scrap	互相殴打
cureless	无法医治
rhyme	用韵诗表达
cayman	鳄鱼
roseroot	蔷薇根景天
comb	梳
fslic	Loan
crisply	清楚
calciphile	在石灰质土壤生长的植物
undaunted	勇敢
crumby	低等
ground	场所
ridgelike	如脊的
pleuroperitoneal	`plJErEJ9perItE`ni:El/
clear	清除
spaghettini	意大利式特细面条
whoever	无论谁
easterling	东方国家的人
gnawing	苛责
spitball	唾沫曲球
latinity	拉丁语的使用
lionly	狮子似
jwb	Board犹太人福利委员会
metrazol	米特腊唑的商标名
civilize	使文明
japanese	日本
undomesticated	未驯服的
bookmaking	著作
comtian	实证主义的
banjax	胜过
micr	Character
isacoustic	等声强的
triangulable	可三角剖分的
immolation	祭物
minisize	微型
amadou	火绒
goldwynism	的妙语
osteoma	骨瘤
pneumonia	肺炎
interminably	无限地
boffo	风行一时的
libraire	书店
riptide	激流
gastriloquy	口技
lampadephoria	火炬接力赛跑
mill	压榨机
reason	理智
means	意味
villus	长茸毛
gum	橡胶树
faint	虚落地
wolfsbane	牛扁
manipulable	可操纵自如
scraping	刮擦
drave	drive
fadeometer	褪色试验器
undercut	底切
hag	沼地
headmistress	女校长
derivation	词源
hyacinthine	风信子的
exhaust	不会枯竭
bettina	贝蒂娜
hilt	柄
hahnemannian	哈内曼疗法的
marseilles	马赛布
fagot	成束熟铁块
aspca	Cruelty
bicorporeal	有两个身体的
cachou	口香糖
bats	怪异的
wicked	不道德
scrootch	=scrooch
unaspiring	无上进心的
noncommittal	不承担义务的
pretense	伪称
explicit	直率的
rakish	放荡的
semilustrous	半光泽的
territorial	领土
spencerian	斯宾塞哲学的
adriatic	亚得里亚海
lithophyte	岩表植物
shortage	不足
education	训导
unawakened	潜伏的
bismuthic	铋
subtotal	求……的部分和
peer	贵族
lull	变平静
dogtrot	小跑步
silicic	硅
trochar	=trocar
hipshot	跛的
outlie	露营
tolstoian	信仰托尔斯泰的人
esquimau	爱斯基摩人
haggard	憔悴的
rolamite	无摩擦滚轴
overmaster	制服
tba	be
cashbox	钱箱
younger	年纪较小者
rude	粗鲁无礼的
cingalese	锡兰人
swaddle	襁褓
anticly	古怪
conscription	征召
watertight	水密的
baffle	困惑
narrow	勉强的
geniculation	膝状弯曲
dedicated	专注的
enforceable	可强行
flocculent	絮凝的
tannoy	扩音器的一种
imperfectible	无法致于完美
uplift	促进
french	法国的
leapfrog	跳背游戏交互跃进
gink	家伙
gemutlich	和善的
komsomolsk	共青城
revise	校订
wooer	追求者
doubtful	不确的
total	总数
material	素材
skillfully	技术好地
unwitnessed	未注意到
nonconformist	不遵奉英国国教的基督新教徒
processible	=processable
director	指挥仪
miserable	痛苦的
banalize	使庸俗
wram	窗口式显示存储器
gorgy	多峡谷
cataleptiform	似强直性昏厥
songkhla	宋卡
shamefacedly	羞怯地
medley	杂录
unkink	放松
epicanthus	蒙古内眦赘皮
barrelful	一桶之量
uncorrupt	无讹误的
immanent	固有的
cuddlesome	令人想拥抱
dare	胆敢
uscg	States
haplography	漏写
liveryman	穿制服的仆役
nodose	结节多
phosphatidylcholine	卵磷脂
overfree	过分自由的
procaryotic	原核
smartly	潇洒地
remorseful	懊悔的
myalism	迈尔巫术
gainless	毫无进展
turnery	车削产品
girlish	适于女子
nonflying	不能飞的
casein	干酪素
collectivise	=collectivize
rush	飞跃
impavid	大胆
cue	暗示
convincible	可使信服
character	特征
bid	祝愿
haematogenesis	造血作用
moody	喜怒无常的
altarpiece	祭坛装饰
organ	器官
feed	放牧
venus	金星
cactaceous	仙人掌科
underline	下划线
lichenaceous	青苔般
stony	多石
semiarboreal	半林栖的
aja	of
unwary	易受骗
rogatory	查询的
fozy	愚笨
crimp	使卷曲
blastoderm	胚盘
gleeful	愉快
etymology	语源
daybreak	黎明
winning	胜利
scale	衡量
gneissose	片麻岩的
knower	认识者
blobberlipped	嘴唇肥厚的
peak	最高峰
trotty	小跑的
heritability	遗传可能性
moonfaced	圆脸的
explanate	平坦
coleopterist	鞘翅目昆虫学家
transfection	转染
imbrue	玷污
rugged	崎岖
olympian	奥林山神的
venezuelan	委内瑞拉的
bigot	顽固者
catastrophism	劫数难逃论
diseaseful	不健康的
metonym	换喻中所使用的词或短语
dmd	Device
surgy	大浪翻腾
incorporeal	非物质
hyperpnea	喘息
prosodic	作诗法的
clangorous	叮当响
chiliad	一千年
omnidirectional	全方向的
retort	曲颈甑
fodder	喂
uranic	铀矿的
fenestrated	有窗的
electromyogram	肌动电流图
chickling	小鸡
ileac	回肠
optical	眼的
cornucopia	丰饶
grasping	握
secondi	secondo的复数
reversion	逆转
anode	阳极
detailed	详细
filthily	不洁地
pulse	脉搏
mongline	单线
indistinguishable	不能识别
ascocarpous	子囊果
laced	有花边
voyage	航行
libationer	把酒泼洒在地上祭神者
unavoidable	不可避免的
forcipiform	钳状的
naillike	像指甲
madre	妈妈
refer	指点把……提交
forktail	尾巴开叉的鱼
diametical	直径的
improper	不合适
lippen	相信
astrocompass	星象罗盘
ethnical	人种
otorrhea	耳漏
plutonism	火成论
nudie	裸体黄色影片
idioplasm	异胞质
comusmacv	Command
tap	攻螺纹于
atmospherically	由大气压所致地
agonising	苦闷
dishorn	切去……的角
antineutron	反中性子
sociable	增进友谊
horny	角状
potstone	不纯块滑石
hardcase	强悍
thalidomide	安眠药之一种
rabbet	嵌接
tensible	可伸长
twigged	有嫩枝
scribble	乱写
imprudently	鲁莽
cover	代替
amerce	惩罚
skeletonize	节略
eastside	纽约市曼哈顿东区
wuhu	芜湖
inclinometer	倾角罗盘
earthrise	地出
vibrator	颤震器
market	在市场上交易
lose	错过
semicentenary	半世纪的
delectate	使愉快
symantec	主要产品有Symantec
snug	暖和
hormonology	内分泌学
lank	平直的
lawbreaker	犯法者
summate	求和
unquestionably	无可非议地
staphylococcal	葡萄球菌
gossamer	轻而弱者
rhumbatron	空腔共振器
plumbeous	沉重的
begone	走开
anthelix	=antihelix
tolstoyan	信仰托尔斯泰的人
firstcomer	最先到者
tripos	荣誉学位考试
uncannily	神秘地
ngwee	恩韦
erotica	色情书籍
agrobiologist	土壤生物学家
aerial	高耸的
pracharak	宣传干事
water	水位
pba	Public
crabbery	捕蟹处
malfeasant	行为不正
spreadsheet	电子数据表
smon	亚急性脊髓视神经病
pronounced	讲出来
aculeate	一针见血的
waxen	蜡制的
crm	客户关系管理
lowlife	来历不明的男人
muddle	糊涂
voluntary	故意的
stemmed	去掉茎
bushwalking	丛林徒步旅行
lenity	宽大处理
ornithosis	饲鸟病
yiddish	意第绪语
dread	担心
unresponsive	无答复
mustache	髭
bluebonnet	苏格兰兵
cassia	桂皮
distinguishable	可辨识
antipathic	反对倾向的
wifely	适合做妻子的
plerocercoid	全尾蚴
square	成直角
sincere	诚挚
smacking	精力充沛的
hindbrain	后脑
haemostat	止血器
fisherman	渔民
orient	东方
intermediary	中间的
euploid	整倍体的
hpna	Networking
florilegium	选集
tyrolean	提洛尔人的
chevroler	雪佛莱汽车
octopus	章鱼
pinko	有左倾政治思想的人
burning	强烈
hostility	敌意
moll	歹徒的情妇
omar	奥马尔
revulse	激起……的强烈反感
amorce	玩具手枪的雷管
overcurious	多问
moonport	月球火箭发射场
gutter	檐槽
dw	数据仓库
allantoic	有尿囊的
pemmican	摘要
digest	消化
cubiform	立方形的
swim	眼花
khrushchevism	赫鲁晓夫主义
federalese	联邦政府的官样文章
fighting	好战
meshugga	发疯似的
writ	正式文件
ack	Acknowledgement
skulduggery	欺骗
chinoiserie	中国艺术风格
prismy	五光十色
mint	薄荷
woefully	不幸
unwooded	不长树木的
melodious	音调优美
astromancer	星卜术
phthisiology	痨病学
conquer	克服
thankful	感谢
would	将
eclair	一种指形小饼
picture	相似物
enlace	缠绕
let	出租屋
phosphoric	磷
neocolonialism	新殖民地主义
seilbahn	缆车铁道
cinchonize	用金鸡纳处理
pvt	volume
conveyable	可搬运的
vermiculated	蠕虫的
uncomplex	非组合的
ioof	Independent
tetraethyl	四乙基
collagenous	产生成胶
flinty	强硬的
idolum	谬论
precipitate	贸然轻率的
paralegal	律师的专职助手
styliform	尖笔状
scuba	水中呼吸器
stigma	耻辱
span	横越
intertidal	高潮线与低潮线之间的
modeling	造型
knavishly	恶棍地
terrestrial	陆
uninterrupted	不停的
argenteous	银灰色的
sudoriferous	分泌汗
congenitally	先天
tsadi	=sadhe
ethical	民族
netlike	网状
cashbook	现金簿
natural	天生
intwine	盘绕
loanee	债务人
obelia	薮枝螅
acquisition	获得
remind	使想起
macroevolution	大进化
sunglow	朝霞
furring	镶边
accidentally	偶然地
unstuck	未粘住的
tomboy	行为似男孩的顽皮姑娘
lichenize	覆以地衣
semitic	闪族语系
interjection	插入之语词
underground	下
agrestic	乡土
decumbent	爬在地上的
callout	插图的编号
speel	攀爬
wetware	湿件
fellowship	伙伴关系
unenvied	不受人妒忌的
referent	指示物
ebu	欧洲广播联盟
dehydroisoandrosterone	脱氢异雄酮
harvestman	收割者
breadwinner	养家活口的人
familiarity	熟悉
nitrometer	氮量计
autobiography	自传
premorse	啮蚀状
breslau	布雷斯劳(波兰西南部城市弗罗茨瓦夫
wise	方法
resplendent	华丽
neglige	睡衣
detoxicant	麻药
cariosity	龋
scenario	想定
umpty	若干的
mayan	玛雅语
preindustrial	未工业化的
pogo	弹簧单高跷
unalienated	未转让
procurement	取得
hsaa	Sciences
apanage	属地
telethermoscope	=telethermometer
desultorily	杂乱无章
cumulate	累积的
nerts	呸
drillion	无限大数目的
syncretic	调合的
majorcan	马略卡语
substratal	根本
sogat	and
feminality	女性的特质
senor	绅士
smoking	抽烟
jaunce	跃马前进
gula	咽喉
quina	奎宁
snapshot	简单印象
verbigeration	言语重复症
unventilated	不通风
refractile	有折射力
usquebaugh	威士忌
fictionally	编造地
caninity	狗性
bounteously	慷慨地
fettle	修补
inalienability	不能让与
maladjustment	不适应
djebel	=jebel
sensualist	好色之徒
begirt	被包围的
potty	便壶
sacw	aircraft空军一等女兵
carrageen	角叉菜
droppable	可抛弃的
unmurmuring	不咕咕哝哝
outrigger	突出的梁
shamanize	萨满教化
back	向后地
dite	一点儿
seaboard	沿海地方
judiciable	应受审判
duplicable	可加倍的
syncaine	盐酸普鲁卡因
footstool	脚凳
womankind	妇女们
broadside	全面的
tricolor	三原色
daee	doctor
creamcolored	乳酪色的
irone	鸢尾酮
photoreaction	光致反应
vomit	催吐剂
acpi	Interface
favorite	宠爱
theresa	女子名
magnifico	贵族
disallowance	驳回
regretful	抱歉的
riffle	浅滩
gam	联欢
leptospira	螺旋体
crablet	小蟹
gorgonian	可怕
landowning	作为地主
cypsela	连萼瘦果
additional	另外的
unsound	不健全的
schizophrenic	精神分裂症的
gallinaceous	鸡的
commis	小职员
mississauga	米西索加
pack	包装
plenteous	许多
vouch	确定
convict	证明……有罪
carlowitz	奥地利产的红葡萄酒
reckon	计算
grass	草
hollywood	好莱坞
melodist	声调悠扬的声乐家
peloponnesian	伯罗奔尼撒半岛
definition	精确度
snowmobilist	=snowmobiler
tracheate	用气管呼吸的
reconsider	重新审议
mollusc	软体动物
nightwear	睡衣
inarguable	不容争辩的
propellant	推进的
trophy	授予……奖品
ishmael	社会公敌
unreasonable	不合理的
amygdalaceous	扁桃类
sternutative	催打喷嚏
jinx	不祥物
commons	下院
logroll	互投赞成票使通过
laudation	赞美
pruinose	覆盖白粉
dismally	沉闷
mischoose	误选
amerceable	应罚款
hyposensitize	消除过敏
preplacement	录用前的
monogamous	一夫一妻
astigmatoscope	散光计
blackhearted	恶毒的
compellent	令人信服的
townee	市民
aestheticism	唯美主义
pontifex	教皇
intoxicated	极其兴奋
spine	地面隆起地带
unreversed	非反向的
trotsky	托洛茨基
astable	不稳
meditative	爱思考
sovkhoz	国营农场
blissout	极乐状态
saghalien	库页岛
explanans	解释前提
hatband	帽边的缎带
discusser	讨论者
brackish	有盐味
manstealing	绑架
enkindle	点燃
och	啊!
icenian	爱西尼人
lockgate	闸门
recompute	再计算
bastardize	判定为私生子
inimitable	无法模仿
naphtali	拿弗他利拿弗他利宗族
racemulose	串状排列
virginal	十六
bleuderoi	深蓝色
lapidicolous	生长在石头底下的
accommodable	可适合的
backstop	支撑物
avail	有利于
blastocoele	分裂腔
clement	宽厚的
assr	Republic
swag	垂花饰
pharos	灯塔
shinsplints	外胫夹
moire	波纹
womanlike	女人般
rhinogenic	由鼻腔引起
platinous	亚铂的
resolved	断然的
encyclopedical	百科全书
ebony	乌木
zolaism	自然主义
musth	狂暴状态
likely	很可能
heterosexual	异性恋的人
cbc	Broadcasting
irrespective	不顾的
sncf	Chemins
cleanliness	清洁
palaeomagnetism	古磁学
lacrimal	满是泪水
hortator	劝告者
cannikin	小罐
courtroom	审判室
cutthroat	杀人
anathematic	厌恶
wizzled	皱缩
contignation	架
rightward	向右地
prominence	突出物
dalapon	茅草枯
screamer	惊人的标题
vanpool	上下班交通车合用小组
intrepidly	无畏
chummery	同宿舍
mrs	Muzzle
jewelry	珠宝
cave	投降
gentleman	绅士
ephemeralization	再生加速化
plump	突然
europe	欧洲
crispy	易碎的
reinforce	修补
hertfordshire	赫特福德郡
khuskhus	=cuscus
anapest	抑抑扬格
heatronic	高频加热处理
surrounding	周围
anthema	疹
unluckily	令人遗憾
customs	进口税
accepted	公认的
compulsive	强迫
evenminded	镇定
terminal	每期的
gadgety	小发明的
resistencia	雷西斯膝西亚
privately	秘密
fructuous	多产
farmy	有农场的
amusement	消遣
tetherball	绳球
antimagnetic	防磁
redbrick	新大学的
boorish	农民的
inkiyo	=inkyo
add	加起来
stress	着重
bodley	=Bodleian
orientate	朝向
chlorofluoromethane	氯氟甲烷
approximatively	近似
decolorant	漂白剂
ball	舞会
somnambulary	梦游的
import	重要
murkiness	阴沉
unpatriotic	不爱国的
dingbat	钱
filamentary	单纤维的
unfleshly	非肉体
oppilate	使阻塞
corfiote	科孚特岛之居民
level	齐平
doing	所作所为
numerology	数字命理学
unpriestly	不像教士
assign	赋值
shadowy	阴凉的
nonmiscibility	不混合
quotability	引用价值
coastal	海岸的
poikilothermic	冷血动物的
tritish	有些落俗套的
resentful	怨恨的
jointress	拥有寡妇所得继承权的女子
barstool	酒吧高脚凳
jamaican	牙买加
sagger	箱
swannery	天鹅饲养地
hearty	强烈
iyft	信息随手可
recurrent	循环
synthase	合酶
snowman	雪人
laterad	向侧面
past	结束的
demystify	使非神秘化
deific	予以神化
ata	Technology
waxy	光滑的
capsule	瓶帽
destructible	易毁坏
cursive	草书
heliozoan	太阳虫目动物
dicotyledonous	双子叶
rosy	蔷薇色的
unharming	无害
condemnation	定罪
measles	麻疹
pulsate	跳动
citrus	柑橘类的植物
supertype	父型
by	经过
cystourethrography	膀胱尿道X
resupinate	颠倒的
tenseless	没有时的
wholescale	大规模的
resurvey	再测量
correctness	正确性
provoke	惹起
capitalizable	资本化
comic	喜剧的
seizing	扣押
saffron	干藏红花粉金黄色
didactical	教学的
dell	小谷
accusative	宾格
lmg	gun
depaint	描绘
escarpment	绝壁
watchwork	手表机构
buoyancy	浮力
hall	大厅
infuriate	狂怒
uranous	四价铀
ata	Advance
scapular	肩胛的
patronage	保护人的身份
transilient	跳跃
trembly	战栗
perfect	全然
yersiniosis	耶尔森氏鼠疫杆菌肠道病
troffer	暗灯槽
jerk	猛拉
argillaceous	含粘土
redroot	美洲茶
scordato	变格定弦
gasless	不用气体的
gastronome	爱吃的人
ju	六月的简写
astigmia	散光
spat	一巴掌打去
dismemberment	分割
nuchal	颈背的
spermatheca	受精囊
pyrheliometer	日温计
lathwork	板条
broomrape	肉蓰蓉
tenderfeet	最初级的童子军
galalith	乳石
hedgy	多灌木树篱
inobservance	忽视
rld	liquor
senhora	贵妇
contrition	后悔
mythoheroic	歌颂神话英雄事迹
festucine	浅黄色
sicative	促进干燥
lilylike	像百合
ruffian	凶恶
acquiesce	勉强同意
supergalactic	超星系
undaunted	大无畏的
computation	估计
jesuitism	耶稣会教义
armourial	纹章
enclosure	围栏
cereal	谷类食品
surrealistic	超现实主义的
walkable	可以走去
variolar	=variolous
curiousness	好学
sesamin	芝麻明
photovaristor	光电变阻器
cautel	谨慎
malabar	马拉巴尔海岸
cannonproof	防弹的
buttony	多钮扣
apteral	无侧柱
gel	凝胶体
response	反应
rouseabout	牧羊场的杂工
gyration	旋转
lithoscope	结石检查器
escort	护卫
corruptive	使堕落
tungus	通古斯人
crank	脾气暴燥的
retuse	浅凹形
overweening	夸大了
garn	接着说下去!
lysogenesis	溶源性
pushily	一意孤行
smudgy	满是污垢
exceeding	极度
mechanoreception	您械性刺激感受作榆起机械性刺激感拭
student	学生
extrabold	用特黑体字排印的
cansure	责备
phenomenal	能知觉
translatory	平动
unneutral	非中立的
asphyxiator	碳酸气灭火器
implied	含蓄的
tracheal	导管的
evidential	证据的
unabated	不衰退
botheration	纠缠
knightlike	骑士风尚
pertness	无礼
countersign	答令
sore	疼痛的
sinfully	不道德地
reveler	饮酒狂欢者
hyperbolise	=hyperbolize
cakewalk	一种步态舞
frightfully	可怕地
perfoliate	茎贯穿叶而生长的
retractile	收缩
corsican	科西嘉人
confinement	分娩
underground	秘密
nogg	砌木砖
intimidator	威吓者
ailurophobe	极其讨厌猫的人
untwine	拆开
phosphoric	含磷
baee	education
marrowy	多髓的
variform	形状不同
recomfort	再安慰
record	报告
static	静态的
bosthoon	笨蛋
octan	每隔八日发一次的
nas	网络附加存储设备
italianism	意大利精神
recto	书籍的右页
spreadable	容易被涂开的
antacid	抗酸性的
preoviposition	产卵期前的
cupferron	铜铁试剂
