whorfian	沃夫假说
countercheck	制止
ballroom	舞厅
gatefold	折叠插页
garvey	加维驳船
fernico	铁镍钴合金
unpolarized	非偏振
distributive	分发
snafu	天翻地覆
benzopyrene	苯并芘
wrong	失常的
pertly	冒失地
refragable	可证明为妄想
ngwane	恩格瓦尼(非洲人对非洲东南部国家斯威士兰
tinworks	洋铁工厂
pale	变苍白
dairyman	养乳牛者
speechmaker	演说家
perfidiously	背信
psychopathist	精神病医生
embarrassment	阻碍
theonomous	服从上帝意志
novelty	新鲜
ponderosity	沉重
extrusion	推出
cartoon	画漫画
srinagar	斯利那加
ergodic	各态历经的
knottily	纠纷
abreact	使消散
compelling	强迫的
aristarchy	贤能统治
polytonal	多调
fault	弄错
holmic	钬的
lemonish	似柠檬
vise	签证
amiably	亲切地
cataclasis	碎裂作用
series	系列
weatherproof	不受天气影响
marcescent	带雕存部分的植物
cytochemical	细胞化学的
anamnestic	回想的
useless	无效
unbirthday	非生日当天送的
inter	埋
electrostatic	静电的
blackhearted	心肠黑的
sciential	有学识的
gintrap	齿夹式捕捉器
beatification	授福
besprent	撒满的
bosom	内心
wergild	凶手应付给被害人家属
femininely	女人似
nondairy	非乳制
bifurcate	分叉的
bergsonian	柏格森主义
hotkey	热键
jolterhead	笨人
acidproof	耐酸
crock	坛子
metatherian	后兽亚纲
reformate	重整油
completive	完全
fraternize	友善
decanal	牧师管辖的
pity	怜悯
diacid	二价酸
distortionist	漫画家
argillaceous	含粘土的
interdictory	禁止
aniconism	无偶像论
baobab	猴面包树
amimeche	of
gimbals	平衡环
lebanese	黎巴嫩人
nephogram	云图
cowlike	似母牛
mesocyclone	中气旋
vim	活力
hermeneutic	解释
segregative	易分离的
bifoliate	双叶的
spavined	患跗节内肿的
cornichon	酸黄瓜
cuss	诅咒
liquefactive	引起液化的
unsc	安理会
disvalue	轻视
deceivable	可骗
krona	克朗
agroindustrial	农业的和工业
jot	少量
unexaminable	难以查讯的
rhopalic	楔形诗
pedestrianize	使成为行人专用区
discriminability	可分别
pitch	向前倾跌
hound	激励
minitance	交战
flashover	闪络
foretell	预言
pulsation	震动
jab	猛刺
scentometer	呼吸测污仪
analogically	相似
refractile	折射
glycosylation	糖基化
terminate	结束
latke	土豆烙饼
dextral	用右手
abandoner	遗弃者
courtlike	高雅的
multidialectal	种以上方言
docker	码头工人
meridian	正午的
tuck	塞
etyma	词根
raising	高地
waste	废物
kermes	干燥雌体
zoogeology	化石动物学
front	外表
witling	玩弄小聪明的人
tablet	碑
pe	PE
prehominid	猿人
misshapen	畸形的
burry	芒刺多的
cissy	有娘娘腔
unroyal	非君王的
shopsoiled	陈列久了的
thermodynamic	热力学的
venusian	太白星
neopentane	新戊烷
frontward	朝前地
set	一套
colorblind	色盲
subservient	奉承的
inductosyn	感应式传感器
true	忠实
preform	粗加工的成品
mitigatory	缓解
uncannily	惊异
unaccommodating	不随和
od	OD
chimb	沟
gardant	面部正对观看者的
posb	post
reapply	再申请
foolish	笨
animating	鼓舞生气的
uranic	铀矿
unpeace	无和平
rear	后方
outside	外表
gabion	金属筐
simonize	给……上蜡
coagulase	凝固酵素
terribly	极
defensive	防御用的
quint	五胞胎
decompressor	减压装置
skyward	向天空地
tongueless	哑
joviologist	木星学者
democracy	民主主义
contemporaneous	同时代
toga	宽外袍
serenade	小夜曲
dactyliomancy	指环占卜术
cloche	园艺用钟形玻璃盖
saltation	跳跃
inhumorous	不幽默的
seecatch	阿拉斯加成年雄海狗
spiracle	喷水孔
lameness	残废
copyright	版权
esr	resonance
schlockmeister	次品制作者
ferity	野性
depilitant	去毛药
retirement	退却
cupriferous	含铜的
unsympathizing	无同情心
ingerence	干扰
pillared	有柱
paramedic	护理人员
smearcase	cottage
entrap	诱陷
ingathering	收集
impluvium	方形蓄水池
yeomen	自耕农
trihydric	三羟
removed	与……无关的
cingulum	带
washingtonite	钛铁矿
sainfoin	红豆草
solderability	软焊性
palatinate	巴列丁奈特之居民
gemmiparous	发芽生殖
cowcatcher	排障器
skeptical	怀疑性的
orphrey	精致的刺绣
worm	螺纹
coomassie	=Kumasi
command	掌握
carpeting	毛毯
inurbanity	无礼粗野
hectostere	百立方米
xslt	Transformations
abm	Mode
polyhydroxy	多羟的
bactrian	大夏人
yha	Hostels
actual	现行
angakok	爱斯基摩人的巫医
thermoremanent	热顽磁
snuffer	海豚
leaden	铅制的
pilgrimage	朝拜
eleemosynary	慈善
seconde	击剑中一种防守姿势
cephalated	有头
unprovided	未作准备
vernix	胎儿皮脂
scheme	策划
whipping	笞刑
handtailor	特制
essentially	本来
transmit	传导
whitsun	圣灵降临节
unsleeping	时刻戒备
paresis	局部麻痹
asynchronism	不同时性
rightly	正确地
poise	悬着
teacherless	无师自通的
stenotype	使用普通文字的速记法
manorial	庄园
confound	讨厌
untogether	乱七八糟
wcc	Churches世界基督教协进会
aircraft	航行器
cutie	美人儿
uropygia	uropygium的复数
underwater	在水中
predicably	可断定
chloromycetin	氯胺苯醇
electrochemistry	电化学
calender	砑光机
function	运行
rhinorrhea	鼻液溢
unrepair	=disrepair
indelible	不能拭除的
square	正直地
sentimentalise	=sentimentalize
fordone	筋疲力尽
sibling	姐妹
dreamer	梦想家
okay	好
prepositor	级长
exultant	欢跃的
braggadocio	自夸
scleroid	硬质
yaff	吠
fog	苔藓
antilysin	抗溶素
removed	与……无关
unreported	未经报道
otiose	闲着
inseparate	相连的
livestock	家畜
fit	合适的
unexamined	未经检查的
shift	变速
buitenzorg	=Bogor
rhein	大黄酸
amagasaki	尼崎
aiee	美国电机工程学会
bicuspidate	有两个尖头的
inoperable	不宜动手术的
persevere	坚持
anarchy	政治混乱
senegal	塞内加尔
histioid	蜘蛛网状
semispheric	=hemispheric
lagoon	泻湖
catholicness	一般性
jim	吉姆
forge	稳步前进
authorless	匿名
starboard	右舷
allergy	反感
rockbound	多岩石
angiotomy	血管切开术
queerly	奇妙地
unpick	拆开
hz	hertz
roi	Royal
concentrative	专心
comforter	安慰者
organohalogen	有机卤素的
wane	变小
theory	理论
salvageable	可抢救
medullary	脊髓
crossed	十字的
powwow	行巫术
rhizocarp	宿根植物
teemless	贫瘠的
sanskrit	梵语
anaclastic	反曲的
perfectness	完美
inequality	不等式
blae	青灰色的
antithetic	对立
dizygous	两合子的
sheriffdom	郡长等的管区
bibliophile	爱书者
cellulated	由细胞组织成
phos	=phoss
contemplative	祈祷的
lariat	用套索捉
inextinguishable	不能消灭的
decrement	消耗
hydrothoracic	胸膜积水的
hanoverian	汉诺威
disinteresting	索然无味
euronet	欧洲计算机网
perception	感知
microlite	细晶体
fairly	公平
thunderpeal	霹雳
froth	泡沫
predator	食肉动物
outstation	远的驻扎地
corrosion	侵蚀
nonproficiency	不熟练
identity	同一性
impayable	无与伦比
inveigher	抨击者
acidness	不悦的样子
drolly	幽默
superficiary	租地造屋者
paternal	象父亲的
osf	of
lovingness	爱
menstruous	行经的
voguey	流行的
ulster	一种长而宽松的外套
extractable	可拔出
antacid	中和酸性
favonian	西风的
dns	Domain
erasistratus	埃拉西斯特拉图斯
differentiae	种差
feathery	生有羽毛的
astern	在船尾
mis	System
silentious	沉默寡言的
arrestment	拘捕
scousian	利物浦
isp	Providers
assumingly	无礼
defect	缺点
landau	一种四轮马车
deerfly	鹿虻
hematopoietic	生血
coagulator	凝结器
crosse	长曲棍球的球棒
hispanidad	西班牙主义
galenist	盖仑的信徒
ohioan	俄亥俄州的
zionism	犹太复国运动
malarious	瘴气的
periplast	质膜
coolish	微凉的
unknit	拆开
stationary	固定
manx	马恩岛语
maintain	维持
regionalize	按地区安排
triturate	磨碎
macabre	令人毛骨悚然
wobble	游移不定
unshirkable	无法逃避的
otherworldliness	冥间
therefrom	从此
semifictional	半虚构的
vtc	Format
maculation	污点
gastroenteric	胃肠
roi	Painters
smear	釉
aerophobia	高空恐惧
jenny	移动式起重机
extracanonical	未入圣典的
resemble	类似
luxuriant	丰富的
asthmatoid	气喘性
will	必须
preelection	选举前
hidden	hide的过去分词
structuralist	结构语言学家
xanthoxin	黄氧素
waxen	苍白
inconsistent	不协调
os	骨
amphitrite	安菲特律特
ferocious	极度的
sisyphus	科林斯王
illation	推理
mum	菊花
unasked	未经要求
earlierize	提前做
ingrowth	向内生长物
phentolamine	酚妥拉明
peddling	无关紧要
outshoot	长出
chineselantern	plant酸浆
cogently	痛切
tricorne	三角帽
remnant	剩余
antilithic	抗结石剂
superluminal	超光速
frankpledge	十家连保制
anthropopathic	认为神具有人性的说法的
rami	的复数
saith	say
upflow	向上流
immutably	永恒地
unstiffen	使变得柔软
separably	可区分
assemble	集合
elegiacal	挽歌
alive	活泼
ornamental	装饰用
intercessory	仲裁的
apices	apex的复数
unionist	工会会员
belitong	=Belitung
heritor	继承人
jugoslavian	南斯拉夫的
shute	=chute
geocentrical	以地球为中心
longeval	长命
exoteric	公开的
lipoprotein	脂蛋白
tailoress	女裁缝
consent	赞成
rhonchi	诊音
thermophil	喜温
erasure	擦除
triseptate	具三隔膜
paleohabitat	古动物栖息地
talon	魔爪
gest	故事
tentative	假设
mimi	米米
beefy	健壮的
vandalise	=vandalize
agamous	无性
aspergillosis	曲霉病
enolic	烯醇
igraine	伊格赖因
plop	扑通一声地
ahvaz	=Ahwaz
confarreation	麦饼联姻礼
csce	Europe
continency	贞操
isomerase	异构酶
ramentum	小鳞片
backslash	反斜线符号
completion	完成
epileptoid	类癫状
caren	卡伦
deficient	不足的
nocake	炒玉米粉
paper	纸上的
cerebrotonia	大脑紧张型
fix	固定
avertable	可防止的
thebes	底比斯
wonderment	惊叹
paridigitate	每只脚上趾数相等的
armour	盔甲
outwardness	客观性
invariable	不变量
vertiginous	迅速变化
fashionably	时髦
clannish	团结心很强
unedified	未被启发
beggar	乞丐
thingamabob	=thingumbob
fascistize	使信仰法西斯主义
aqua	溶液
townish	城镇特有的
loxodromic	斜航的
electroosmosis	电渗
front	面对
myelitic	侵入脊髓的
shiraz	设拉子
lms	Mathematical
skilful	巧妙
dialogize	谈话
hotter	热
liquorish	美味的
petitor	申请人
thew	体力
interfluve	河间地
hypoploid	亚倍体的
emmarble	以大理石装饰
ataxic	混乱的
splenetical	=splenetic
semiconsciously	半意识
barney	巴尼
noggin	小杯
unspoiled	未宠坏的
gait	步法
affectivity	情感作用
mind	专心于
innumerability	数不清
chambezi	赞比及河
deterrable	可制止的
collet	筒夹
gillion	十亿
nymphaeum	水道口
outer	外面的
domineering	极权的
rhotic	发r音
footslogger	长途步行者
mordida	勒索
caucasus	高加索
eulogistical	颂词的
quizzy	爱查问的
edificatory	教诲
ellipsoidal	椭圆体
iodine	碘
leafiness	有叶的状态
abm	Asynchronous
peremptory	断然
soogan	=sugan
inexhaustibility	用不完
squarson	牧师兼地主
uncontested	无异议的
nccw	Council
mouthiness	爱说话
cankerous	腐蚀
pressroom	印刷间
notional	表意的
quaintness	古怪之事物
blossom	花开的状态
hybridoma	杂种瘤
squashy	熟透
passover	逾越节
steak	鱼
thermoperiodism	=thermoperiodicity
nitrometer	测氮管
zenithward	向上
capitulant	投降者
apriorism	先验论
peg	佩格
iba	英国独立广播机构
inbuilt	嵌入的
dlp	Processor
audibility	可听到
exsanguinate	放血
inspan	套牛马于车
seedy	多种子的
aborted	失败
handraulic	手动的
mediaperson	报人
jazz	颜色过于艳丽的
chlamydate	有外壳
land	靠岸
revokable	可废除的
coumarin	香豆素
acetin	醋精
sorehead	发牢骚的人
rowland	罗兰环
ucla	of
permanency	恒久的人
unbefitting	不相宜
rearer	养育栽培者
polypus	息肉
convertibly	可交换地
cylindroma	圆柱瘤
sweetening	使变得甜
caravaggiesque	卡拉瓦乔作品
equivocal	可疑
latch	门插销
evenfall	黄昏
mercuric	汞的
hyperosmolality	高渗透压性
vlaie	小河
latinic	拉丁国家
ethosuximide	乙琥胺
tackboard	图表板
shopworn	在商店中陈列旧了
embroider	绣花
viscountcy	地位
pandarus	潘达洛斯
subcrustal	壳下的
woodturner	木料旋工
mildew	霉病
knottiness	难题
confound	挫败
joanne	乔安妮
founder	铸工
diapente	五度音程
ruck	皱褶
hogback	拱起的背
liane	藤本植物
inwall	用墙围住
ettu	布鲁特斯!
tamp	打夯的工具
jewelly	戴手饰
irrigator	灌溉的人
inquilinous	寄居动物
monsieur	先生
dofunny	小附件
unharming	不伤害人
restoration	恢复
unfortunate	不吉利
existentialist	存在主义
countercheck	妨碍
condensibility	可压缩性
auc	year
constative	表命令、计划、愿望等之假定
prophase	前期
mediaeval	中古的
possessed	疯狂
intercellular	在细胞间的
yorktown	约克镇
undated	无限期
quatro	=cuatro
unitary	整体
snapper	揿钮
chaff	开玩笑
tidings	消息
cubic	立方的
myricin	蜂蜡素
flagellatory	鞭打
baldness	光秃
powerman	发电专业人员
interprovincial	省际的
autochthonal	土地固有的
mediatize	使成为间接属国
rearmouse	=reremouse
lightfaced	细铅字
plasmasol	原生质溶胶
extraordinaire	特别
khud	悬崖
final	最终
mystagogical	传授秘诀的
amused	好玩
nick	刻痕于
gallinaceous	鹑鸡类
jurassic	侏罗系的
foulmouthed	口出粗俗的
contrariously	不利地
paillette	亮片
tendentious	有偏见
eft	水蜥
failing	过失
duvetyne	混纺毛织品的一种
indigence	穷困
fissile	可分裂的
inauthentic	假
rontgen	有关X光
irruptive	穿入的
hydroscopical	深水望远镜
nonalcoholic	不含酒精的
bulky	体积大的
likin	厘金
revilement	辱骂
sound	合理
demultiplexer	信号分离器
ardor	热诚
gis	geographic
euclidean	a
actomyosin	肌动球蛋白
anabaptism	再洗礼
tempermament	气质
thenar	足底
bumptious	盲目自大的
noel	圣诞节
waterishlogged	吸饱水的木材
cerebrocentric	人格控制集中于脑的
libber	拥护解放者
snuffbox	鼻烟盒
gamb	腿
caller	新鲜的
mspe	Science
covalency	=covalence
aha	啊哈
malconduct	胡作非为
outgas	除去……的气
galvanography	电铸版术
voluntary	主动
stereography	立体画法
acerbating	使发怒
itch	渴望
brutalization	残酷
neurocyte	神经细胞
vociferous	喊叫的
litchi	荔枝树
piddling	不重要
tinhorn	吹牛的人
lapactic	促泻的
scilly	Isles
rics	of
lockpin	锁销
macroinvertebrate	大型无脊椎动物
totem	徽章
supercargo	货物管理员
irredeemable	不能兑现的
adjutancy	副官职
reprehensible	应该谴责的
wbs	west
triangular	三角形的
windhoek	温得和克
trayful	满盘
abrupt	生硬的
amputator	切断者
lithostratigraphic	岩石层位I^rEfI/
burthen	重荷
megalecithal	多黄
heathfowl	=black
gameland	猎场
captious	吹毛求疵的
oppressive	沉重
outsit	坐得超过……时间限度
lunary	诚实
tension	电压
city	全体居民
pashalic	领
noncombustible	不燃的
choosey	好挑剔
pallid	暗淡
mournful	悲哀
needless	不必要的
oecd	Cooperation
floodlit	泛光灯照明
translunary	似梦的
challis	有印花之轻质毛料
insult	凌辱
xenotropic	亲异
welldoing	善行
sap	树液
echovirus	人肠细胞病变孤儿病毒
oodles	许多
fluidify	使成为流动
tepidarium	温水浴间
chubby	圆胖
inept	不适当的
bmr	rate
babywear	婴儿装
hadrosaurus	鸭嘴龙
polymolecular	几个分子厚度的
felicitous	快乐
weanling	刚断奶
harry	折磨
overparted	演过多个角色的
seric	中国的
heterogametic	异形配子
cortisone	可的松
xeransis	干燥
patrol	出巡
relearn	再学习
tuitional	学费
byob	bring
ring	包围
violinist	小提琴演奏者
endoscopic	内窥镜检查的
general	概要
capriccio	随想曲
rocksy	地质学家
irradiant	灿烂的
logographer	编史家
longevity	长命
supercritical	超临界的
bissel	一些
imp	顽童
semiferal	半野的
quadricornous	=quadricorn
airmark	在……做飞行指标
magnetotactic	有磁趋向性
lop	修剪
unbed	把……从花坛
pectinesterase	果胶酯酶
whorl	使成涡漩
omnific	有无限创造力的
swingeing	巨大
intersatellite	卫星间的
dextroamphetamine	右旋安非他命
npa	Association
deplorably	可叹
microphonics	微音扩大学
pinnated	鳍之类
demand	要求
rush	灯芯草做
noun	名词
regimental	团
freezing	冷冻用
restatement	再声明
bothnia	of
flashlight	闪光灯
formulaic	刻板的
moldy	发霉的
unestablished	未被确认的
creaser	摺皱者
latticinio	不透明乳白玻璃
indian	印第安人
conceivable	可想像
verminate	孳生寄生虫
hpna	家庭电话线组网联盟
sloppy	多阴雨的
engarland	饰以花圈
inosculation	结合
epithet	称号
run	蔓延
careworn	饱经忧患的
unreported	未经报道的
dietitian	营养学家
subdivide	细分
shnook	=schnook
npr	Radio
discrepancy	矛盾
petrifactive	石化性的
sedentary	坐惯的
propellant	推进物
biedermeier	稳健
overcome	克服
burglarious	夜盗的
clamp	夹住
overhappy	过于快乐的
lanthanide	镧系元素
flub	弄糟
flagstone	石板
plumbism	铅毒症
latinise	译成拉丁语
platonise	=Platonize
outrange	在射程上胜过
runelike	像北欧古文字
unloved	未被喜爱
landlordly	主
noctilucent	生物发光
nondrinker	不喝酒的人
hematozoal	血内寄生
lipoid	类脂
cyclazocine	环唑辛
safing	能立即恢复安全状态的
font	圣水器
immorally	品行不良
numerical	数字
muscleman	打手
praiseworthily	值得称许地
supposal	想象
anemometry	风力测定
cold	伤风
kopek	苏联小铜板
elliptical	椭圆的
ganov	小偷
cinnamonic	肉桂
papillary	乳突
rearward	向后方的
rapc	Army
sirup	糖蜜
sannup	印第安已婚男子
polyphonous	=polyphonic
deanglicize	使非英国化
weatherglass	温度计
groovelike	老一套
monteverdian	蒙特威尔
indisciplinable	无法控制的
sharpener	磨器
colouring	色彩
female	女性的
deafness	聋
giving	给予物
mesh	编织
demology	人口统计
medievalist	中古史学家
ptfe	poly
surfrider	冲浪运动员
clarionet	竖笛
ridgelike	如脊
roofed	屋顶
quoin	夹紧
produce	产物
beaten	挫败
flimflam	欺诈
chanfron	保护马头前部之盔甲
nongovernment	非政治的
intervene	干预
miogeosynclinal	冒地槽
wristband	表带
splodgy	有污点
pearson	皮尔森
frolicsome	嬉戏的
featly	整洁
hydronic	液体循环加热的
firearm	枪炮
footling	无价值的
bechamel	调味酱
leadplant	灰毛紫穗槐
repagination	重编页码
spectrometer	分光计
misconstruction	误解
ideational	设想
fauvism	野兽派
overreliance	过度信赖
evaluable	可估值
arbitratorship	仲裁者的身份
portraitist	肖像画家
undecided	未定
actionable	可控告的
lot	命运
defat	使脱脂
amphistylar	前后两排柱而两边无柱
compilatory	编纂的
dichromat	二原色视者
volkslied	民歌
bladdery	膀胱状的
fh	fire
shavuot	=Shabuoth
icarus	伊卡洛斯
daybed	坐卧两用长椅
bareback	无鞍
amu	atomic
waadt	瓦特州
disciplined	受过训练
hornful	一个角制容器所容纳的量
subparagraph	小段
ichthyosarcotoxism	鱼肉中毒
indiana	印地安那州
accustom	使习惯于
roomily	宽敞地
carcake	烘糕
altercate	争论
intraspinal	脊柱内的
antiblack	反黑人的
physiognomy	脸
peregrin	外国的
polisher	磨亮的人
incoagulable	无法凝结的
besprent	撒满
insect	对付虫子的
snipe	狙击
fast	紧
diolefin	二烯
bacteriolysis	细菌分解处理
structure	建筑物
kaoliang	高粱
darobokka	手鼓
gendarme	警官
commeasurable	可相比的
hello	喂
helpless	无助
pam	帕姆
effective	有效的
unmix	无法混合
iula	世界地方自治联盟
gutterman	清扫阴沟的工人
snakestone	据说能治好蛇咬伤的一种石头
labourious	需要劳力
tubercled	生有结节
nasally	鼻声地
beery	啤酒喝醉的
adas	Service农业发展与咨询服务处
pillared	有柱的
gherao	挟持
handmade	手制
hide	掩饰
nonrecurring	不重现
afs	Service辅助消防队
defy	藐视
bagger	垒打
baric	气压的
animatingly	鼓励
mesogloea	=mesoglea
ledgy	突出物很多
sabotage	妨害
lewis	起重爪
brushed	拉过绒的
agglutination	粘着
autopen	自动笔
microstomous	小嘴的
asturian	阿斯图里亚斯语
forme	印版
dirndl	紧身连衣裙
whopping	异常地
abbreviatory	缩写
congruous	适合
excommunicable	可革出教会
epistaxis	鼻出血
numbered	有限的
civil	根据民法的
orderliness	秩序井然
sororal	姐妹
begem	用宝石装饰
incontinent	无节制
mousetail	鼠尾巴
fiddlefucking	该诅咒
suit	适合
incretory	内分泌的
lutose	覆盖有泥状粉质物的
leeway	回旋余地
geometric	几何的
undesirous	无欲望
cistern	蓄水池
sandpile	沙堆
pasquinade	讽刺文
style	文体
verriculate	具毛簇的
feign	捏造
ancipital	剑形
do	Republic
vamp	勾引
timbul	鼓膜
sentimentally	富情感地
berdache	北美印第安人男性的异装癖者或同性恋者
unsuspecting	无疑虑
centile	变数区间的百分之一
loamless	缺乏沃土的
revolver	连发左轮手枪
epicentral	震中
dissolute	放荡的
agadir	阿加迪尔
hotly	暑热地
computerlike	计算机似的
fat	肥大的
discourteously	不礼貌地
officinal	成药
kk	English
ambush	埋伏
antiphonic	=antiphonal
lean	贫乏的
dy	镝
explode	爆炸
hyperpyrexia	体温过高
punk	无用
sunder	分离
misshapen	奇形怪状的
advanced	高级的
diriment	使无效
romanaccio	罗马方言
stroam	闲逛
bim	英国管理学会
thioacetamide	硫代乙酰胺
benzene	苯
unclassifiable	不可分类的
unclassical	对古典作品不感兴趣
disorientation	迷惑
god	使神化
surprise	惊奇
sprue	注入口
clathrate	插合物的
antisymmetric	反对称
jaundice	使怀偏见
midterm	中间的
honiton	=Honiton
rrb	铁路职工退休管理委员会
cytogenetics	细胞遗传学
processional	游行
corruptly	腐败
gassy	空话连篇
traductor	邮包吊放装置
suggestive	暗示的
inverse	反转
shoemaker	鞋店
undevout	不真诚
allopatrically	单独地发生
microstrip	微波传输带
inconsiderable	琐屑
papua	巴布亚岛
ditto	同上
green	无经验的
ocd	Defense
chamber	膛
anguiped	有蛇状足
counterpane	床单
peremptorily	紧急地
mean	卑鄙
cockleboat	轻舟
parasympathetic	自主tIk/
magnetogasdynamic	^AsdaI`nAmIks/磁气体动力
rhizopodan	根足虫纲动物
dictation	听写
thrifty	节约的
flo	弗洛
pollenosis	花粉热
ochlocratic	暴民政治的
indecisive	非决定性
spain	西班牙
epigeal	浅水生长
keet	珍珠鸡
dye	染色
entomology	昆虫学
nom	Nominative主格的
miogeoclinal	=miogeosynclinal
sharpener	削刀
propitiate	劝解
oversexed	性欲过剩
hadith	穆罕默德言行录
hydraemic	稀血症
been	来过又走了
owly	像猫头鹰
hystricomorphic	豪猪型亚目
delation	控告
hag	女巫
dundrearies	颊旁长髯
crashproof	耐撞
unadvantageous	无助
eclectically	折衷
pus	脓
contrariness	反对
joint	共同
volute	向上卷
underprop	支撑
dinkey	小型火车机车
lunar	月的
pedestrian	通俗
photomontage	集锦照相
absurdness	愚蠢
attractive	吸引人的
gravific	产生重量
dell	小溪谷
crappy	讨厌
hardcore	没有限制的
boudin	香肠状碎肉
glyconeogenesis	糖合成
recertification	换发新证
gummous	由树胶构成
catchpenny	薄利多销
bedstand	床头柜
lactary	奶似的
backstay	后部支索撑物
bechic	镇咳的
stem	词干
triliteral	有三个字母的
requin	shark
disharmonious	不调和
lactometer	检乳器
terroristic	恐怖主义
sacramentalist	圣事主义者
circumoral	在嘴边
riser	起床者
rgs	Society
laic	外行人
quotidian	日常的
tungstous	低价钨
unassailed	未受袭击的
homopterous	同翅类的
suppurative	化脓性的
nii	Infrastructure
oceanic	海洋
cognitive	认知的
sidle	侧走
twistification	的事物
membranate	似膜的
synchronous	同步的
difunctional	双官能
concomitance	伴随
stealing	有偷窃行为的
delir	发狂
acotyledonous	无子叶
woodworking	木工艺
preadult	成年前的
lithographic	平版
fool	游荡
pratique	入港许可
unentangled	未缠住
diametral	直径的
skullcap	无边便帽
highstick	举杆过肩阻截对方
value	估价
mimeograph	油印
surplice	斜叠的
abluent	洗净
outfit	用具
dobber	浮标
athermancy	不透热性
statistical	统计
showplace	剧院
stop	障碍
whoredom	偶像崇拜
lilacky	丁香紫
huzza	表示大喜
flexura	曲折
hectometre	百米
accumulate	积聚
square	平方的
sensitize	敏化
sugi	cedar
ambisinister	两手均不灵活
nubia	努比亚
cpc	Party
zwickau	茨维考
ethanolamine	乙醇胺
raaf	Royal
ywis	=iwis
recumbency	休息
used	习惯
maneuver	机动
multitude	群众
cease	终了
tropism	向性运动
smokable	可以点燃抽吸的
mitospore	有丝分裂孢子
ptfe	tetra
unenlivened	无生气的
chile	智利
triable	可以试验
subtilize	过分精细
jetty	码头
pentastich	五行诗
mouthy	爱说话的
metatherian	后兽亚纲的
springhare	=springhaas
millet	稷
soggy	沉闷
hypertensive	高血压患者
circumscribe	限制
camp	露营地
dysfunction	官能障碍
tribeswoman	部落的女人
edge	挤进
radioheating	射频加热
convocation	教士会议
potatory	饮酒
count	计算在内
halomethane	卤代甲烷
wirk	=work
zoogloea	菌胶团
intention	意图
gruntling	小猪
invisibility	难看见
uat	Transport
incurrent	向内流
intrigue	激起……的兴趣
cloud	玷污
demos	民众
flimsy	脆弱的
precipitate	陡然下降的
absorbency	吸收能力
disputability	有讨论余地
water	水
gks	System
zuni	祖尼语
unaccountable	无责任
ephemeralization	陈旧加速化
hemimetabolous	不完全变态中的
algicide	=algaecide
squally	可怕的
indigently	贫乏地
slogger	猛击者
prevenient	以前
homoeothermic	温血
disyllable	双音节词
kindling	激发
angara	安加拉河
petrification	化石
improver	改进者
latifundium	大农场主
jimmy	铁撬
backcloth	背景幕
atherogenic	导致动脉粥样化
pipelike	管子似
smart	剧烈的
sentiment	感情
unsphere	使离开所在位置
penumbra	半影
fillis	粗麻绳
yestermorn	昨天早晨
monopolistic	专利的
thunder	雷
interstage	级间的
alarmedly	惊恐地
riblike	像肋骨
haylage	窖藏半干草饲料
upclimb	往上爬
votive	奉献
cytochemical	细胞化学
phi	个字母
neuropteran	脉翅目昆虫
bronchobuster	牛仔
pitiful	令人同情
filmable	可拍成电影的
flatcar	无盖货车
hyperboloidal	双曲面
ours	pro
wherefrom	出于那个
anchorage	停泊地点
uninformative	不增进知识的
unanswerable	无法回答
larch	其木材
vanitory	组合式梳妆台
menstrual	每月的
superstitionist	醉心于迷信的人
dexiotropous	向右的
morphology	词法、词态学
afghani	阿富汗
kooky	乖僻
granddam	老太婆
melanie	梅勒妮
francicize	使采用法语
uric	尿
tail	跟踪
grandiloquent	夸大
rotatory	使回转
organum	推理法
anenst	关于
bms	of
rake	斜度
cystic	胞囊
sha	angle恒星时角
arthrodial	滑动关节
chauffer	小炉的一种
vlb	由VESA开发的一种局部总线
overrun	超过
attractor	引起注意的人
nephrostome	肾孔
snaillike	蜗牛状的
megarian	麦加拉学派
founder	方正集团
rewin	再赢
sensibilia	可被感知的事物
foxiness	狡猾
parapeted	有栏杆
vertices	至高点
subside	下沉
galvanic	以流电所产
legitimatize	立为嫡嗣
psi	希腊文字母的第23
peppergrass	胡椒草
silkworm	家蚕
wit	智慧
weathermost	最迎风的
telegoniometer	无线电测向仪
shrubby	灌木的
attendance	出席的人数
vocally	用声音
swale	洼地
amortisation	分期偿还
unmeasured	不可测量
prophylactic	避孕药
beheld	behold的过去式和过去分词
darrell	达雷尔
veiled	隐藏的
journalistic	新闻工作者
heptaglot	用七种语言写成
izzat	个人尊严
chemoreception	化学感应
commove	使兴奋
inurbanity	粗鄙
azure	苍天
dissolubility	可溶性
quattuordecillion	一后有八十四个零之数
mature	使成熟
grillroom	烤肉馆
vouch	担保
contain	容忍
unsegregated	打成一片的
foraminiferal	有孔虫目
constrained	不舒服的
knightly	勇武
foreplane	粗刨
braless	不戴胸罩的
kerb	街头的边石
sponge	海绵体
eclectic	折衷主义者
msha	Administration
semilanceolate	半矛尖状的
araeosystyle	对柱式建筑
soubise	苏比斯调味汁
creamcolored	乳酪色
millionfold	百万倍
pig	贪婪的人
typology	象征学
approver	承认者
azury	浅蓝色的
karaya	gum刺梧桐树胶
tribulate	使经受苦难
bouffe	滑稽
redball	货运快车
ragamuffinly	衣衫褴褛的
waltham	沃尔瑟姆福雷斯特
pulsant	脉动的
and	/
blatant	喧嚣
synergic	协作
