mao	毛式服装的
fixing	修理
great	大
crustacean	甲壳类
responder	回应者
homothallic	同宗配合
yawny	打呵欠
romanist	罗马法学者
vj	Jockey
favorable	讨人喜欢
hodiernal	现在
unshirkable	无法逃避
indicate	象征
rational	推理的
hohokam	霍霍坎文化的
pluviometer	雨量计
coruscation	焕发
buttstock	枪托
confederacy	联盟
eeler	捕鳗者
bicuspid	有两个尖头
oligophrenia	deficiency
mend	修改
gettable	可以获
vacuolation	空泡组织
unfirm	不稳固的
flagging	下垂
hypoploid	染色体数目较少
whitsuntide	圣神降临周
overinterpretation	不够合理的阐释
push	推动
crumpled	弄皱
corolliform	花冠状
staffelite	绿磷灰石
anecdotalist	=anecdotist
taxonomy	分类学
disqualification	失格
viscerogenic	发自体内
unmerciful	不仁慈
connacht	康诺特省
fire	热情
anisaldehyde	茴香醛
expiate	补偿
time	分期
skyway	航线
eto	European
epsom	赛马
copremic	毒毒血症的
unfluctuating	不起伏的
coalpit	烧焦炭的地方
miliaria	痱子
lettering	字体
flighty	轻狂
soreness	悲伤
strut	高视阔步
demiseason	介于两季之间
fateful	宿命
xeroderma	干皮病
oblatory	供奉物的
sequestered	偏僻的
slumber	睡眠
unbusinesslike	无效能
embodier	收录者
scoff	嘲弄的话
gently	轻轻地
presentive	直示的
dimensionality	维度
wickedly	坏透地
eclectic	折衷派的人
misplacement	误放
wucai	五彩瓷
clodhopping	不礼节的
copulation	性交
nyp	not
iata	Association
conducively	有助地
fibrinoid	纤维蛋白样的
cancrivorous	食蟹的
soubriquet	绰号
seventeen	十七个
photocopier	影印机
amusement	娱乐活动
frankpledge	十户
fortune	运气
prismoid	平截头棱椎体
embezzlement	侵占
devastatingly	讥讽地
jis	Industrial
nervine	神经的
bolshevik	布尔什维克
shoplifting	入店行窃
earstone	=otolith
electrician	电学家
regard	注意
calendric	历法
fibrin	纤维
tabbinet	=tabinet
denaturalise	=denaturalize
jet	黑玉色的
artsy	=arty
tenuous	纤细的
bouquetiere	加蔬菜作配菜的
democratic	民主
waitress	女服务生
redistrict	更改选举区
schistous	片岩质
ducky	极好的
upborne	被举起的
optimism	乐观
inconsistent	矛盾的
patulin	开放青霉素
orsk	奥尔斯克
unpaying	不付款的
pentaborane	戊硼烷
gaggle	一群
unexploded	未爆炸的
acerbic	酸
discontent	不满
androcentrism	大男子主义
amour	奸情
shadowy	多荫的
fricandeau	炖小牛肉
gaucho	高卓人
dekametric	=decametric
chimneynook	壁炉边的暖和处所
lauryl	十二醇
level	水准
damning	咒骂的
popinjay	讲究穿着的人
pussyfoot	轻轻地走
pri	Rate
lectin	外源凝集素
molotov	莫洛托夫(苏联乌拉尔城市彼尔姆
lionhearted	勇猛的
curviform	弯曲的
aliphatic	脂肪质
shinplaster	乱发纸币
glede	鸢
endangered	将要绝种的
soaked	浸湿
ordinal	依次的
entail	遗传给
clarity	透明
fitter	适当的
impermeability	不渗透性
mournful	悲哀的
tell	表明
tame	乏味
mithraic	崇拜密特拉神的
transracial	异族间
inauthentic	不可靠
felsitic	霏细岩的
troublous	纷乱的
afric	非洲
tetrandrous	具四雄蕊的
pituitary	垂体
whist	扑克牌游戏的一种
babbitt	市侩
recuperatory	=recuperative
phenetidin	苯乙定
uninvited	未被邀请的
excitory	易刺激的
lysostaphin	溶葡球菌酶
cern	European
tersely	简洁地
hat	帽子
reexportation	再出口
somniferous	催眠
diphyodont	双套牙
womanize	使柔弱
disengaged	空闲
exhort	劝诫
cranky	怪僻
untidy	不整齐的
fixation	定色
bintree	二叉查找树
pentalpha	=pentagram
transplantation	迁移
fijian	斐济
biodynamical	生物动力的
inductivist	归纳法优越论者
palingenesist	相信灵魂转生说的人
colic	疝痛
laminarin	海带多糖
pinhead	针头
unemployed	失业
funereal	悲哀的
perusal	熟读
bacteriostatic	/
catchy	诡诈
pitch	程度
ably	巧妙
vileness	卑劣
perennial	多年生的
overcrowd	使过度拥挤
chipping	破片
oaec	亚洲经济合作组织
duke	拳头
surroundings	环境
dav	美国残废退伍军人组织
reduction	降低
entrain	拖
unharming	不伤害人的
anathematic	憎恶的
stingo	烈性的啤酒
caliban	丑恶而残忍的人
hylophagous	食木
lsat	Admissions
umpirage	仲裁
wet	湿
rowdydowdy	喧嚷
encrimson	使成鲜红色
noogenic	心理圈
alien	背道而驰
ruwenzori	鲁文佐里山
tonsillitic	扁桃腺炎的
talmi	gold镀金黄铜
cyclodiene	环戊二烯类杀虫剂
uncivilized	无文化
moore	摩尔
ablepsia	失明
bookie	赛马的赌注者
marlene	马琳
sporozoite	孢子体
cssr	Republic
nondirective	不直接提问的
saleratus	小苏打
patrilocal	居住在男方
edgebone	牛的臀骨
unspotted	清白的
toxication	中毒
mismatch	失谐
cretaceous	白垩纪
intersterile	互交不孕的
triploid	三倍性的
upswell	凸起
germaine	杰曼
trigon	三宫之一组
take	接受
cracky	疯狂的
carrycot	手提式婴儿床
codswallop	胡言乱语
winnow	吹开糠皮
arousal	觉醒
supportable	可支持的
condition	环境
irrefutable	不能反驳的
antiodontalgic	止牙痛的
undissembled	公开的
euphonise	=euphonize
hough	割断踝腱使成残废
injunct	吩咐
lamebrain	笨蛋
beastings	初乳
classmate	同班同学
ungular	爪的
indeliberately	无心
overcrowd	容纳过多的人
untalented	缺乏才能的
incapable	无能力的
noetics	智能论
indeliberately	不是故意
stirring	活跃
power	力量
stainer	染色工人
feetfirst	脚先着地
explicit	外在的
quarreler	喜欢埋怨的人
crannied	有裂痕
piccolo	小型的
splenology	脾脏学
rampant	猖獗的
unforgiving	不能原谅的
tethyan	蒂锡斯海的
mopey	没精打采的
participate	分享
capsulary	蒴的
perambulatory	巡视的
comusmacv	MilitaryAssistance
lipless	无唇
groundprox	贴地飞行导航仪
damper	起抑制作用的因素
orometer	山岳高度计
newswire	新闻专线
brunet	浅黑肤色的男人
guide	指导
mould	铸造
respectant	面对面的
constatation	论断
smart	巧妙的
silverly	银一般
sextuple	六倍的
holoplankton	终生浮游生物
committeeman	委员
prednisone	强的松
bathroom	盥洗室
function	仪式
tightfisted	吝啬的
fancy	认为
langouste	龙虾
pet	发脾气
coot	傻瓜
revision	修改
lather	激动
depart	离开
history	来历
saffron	藏红花色
map	其中包含有被连接的程序的某些信息
typology	血型学
smack	风味
cherubic	天使
corps	学生联合会
bosom	内部
drecky	极糟糕
devolution	相传
coxcombical	花花公子的
bravely	勇敢地
impersonally	与个人无关
excuse	申辩
laxity	松驰
powder	火药
atonalism	不成调
unpardoned	未被宽恕
pretorian	监理军事的执政官
painstaker	刻苦的人
mutagen	诱导有机体突变的物质
codlin	未成熟的苹果
hemiparetic	轻偏瘫
volitant	活动
roughen	变粗糙
monamide	一酰胺
farinose	产粉的
dracone	袋
scuff	拖着脚走
contextual	文脉上
fist	拳头
spirogyra	水棉属的绿藻类
magnanimous	宽宏大量的
syncope	昏厥
irenic	和平的
stronghearted	勇敢的
terrain	地形
wormseed	驱虫籽
wallachia	=Walachia
trecento	意大利文艺中的十四世纪
converse	相反的
hoofed	蹄形状的
rhinogenic	由鼻腔引起的
disorientate	使失去方向感
schnorrer	笨蛋
nitramine	=tetryl
fabricius	赘言作家
scaup	斑背潜鸭
illation	演绎
sustentacular	支柱的
endoerythrocytic	红细胞内
warmly	热心
eruct	喷出
cryology	冷冻学
thromboxane	凝血噁烷
sartorial	缝匠肌的
supportless	无支持者
usurpatory	夺取的
colorful	有趣
headstrong	不听命令
distraite	心不在焉的
atechnic	无一技之长者
bellflower	风铃草
quantitive	=quantitative
voluminous	著书多
truncheon	棍子
ammocolous	栖砂
shiism	什叶派教义
vellum	犊皮纸
legend	伟人传
meridian	子午线的
nudicaul	茎上无叶
vigintennial	每20年一次
diametrically	作为直径地
lean	倾斜度
httpd	全球网服务器软件
guiltily	有罪
detrusive	推出的
trippet	敲击装置
hinnie	=hinny
lamblike	小羊似的
secund	只有一边的
comminution	粉碎
favonian	温和的
biestings	生犊后母牛的初乳
bretagne	=Brittany
vinify	酿造
infertility	不毛
flamenco	弗拉门科民歌
manoeuvre	操纵
preparative	准备的
ventriloquous	用腹语
modem	调制解调器
unclench	撬开
flunk	不及格
definable	可定义的
telltale	警告
subsume	包含
reengineer	再设计
faggoting	抽纱法
related	有关系
dhole	凶猛的野犬
schizothymia	分裂样人格
neath	在……之下
centrilobular	小叶中心的
prothallus	原叶体
frogmouth	蛙嘴夜鹰
circumfluent	环流
isocratic	权力平等主义
reembroider	在……上再刺绣
fatigue	使疲劳
wimple	用头巾遮
hendecahedron	十一面体
exacerbate	激怒
habile	熟练
heterocyclic	不同环式
pneumatic	装满空气的
verus	真
undistorted	不偏激的
mystagogic	解释神秘
centrobaric	有重心的
lordly	贵族
uplight	向上的照明器
dray	以运货马车运
labour	分娩
homonymous	同名
incestuous	血亲相奸的
marathonian	马拉松的
cyc	循环
rubberwear	橡胶衣物
phonemicize	把……分解为音位
ganefo	of
unslaked	未安抚
keenly	敏锐地
acquisition	获得物
libertarism	自由意志主义
bourgeoisie	资产阶级
reserve	保存
pneumatic	风力
biquarterly	三个月两次的
fledgeling	初出茅庐者
infundibuliform	漏斗状
whistle	汽笛
kaaba	建于麦加的伊斯兰教寺院内的圣堂
downward	向下的
reave	剥夺
visiting	访问
trope	比喻
worry	困扰
colourpoint	色点猫
glycerol	丙三醇
avoid	消除
grinder	研磨者
square	结清的
pliocene	上新世
billion	十亿
barfly	酒鬼
chill	使冷
unexpanded	未被扩大
itineration	巡回传教
dredging	挖泥
prealtar	圣坛前
poky	狭小的
refill	再充填
thecodont	有槽齿
palatodental	腭齿的
sustainable	可以忍受的
tussive	咳嗽的
nisi	非绝对
irreducible	不能复归
undefendable	不可辩解
are	公亩
nunchakus	双节棍
apulian	阿普利亚区的
hypercomplex	超复数
perversion	曲解
dicky	围嘴
ladderlike	梯状
domicile	住所
anteprandial	饭前的
descriptive	叙述的
shackle	束缚
confabulator	闲谈者
humoresque	滑稽调
fabulize	讲述寓言故事
billing	演员次序
prelithic	石器使用前
preventable	可预防的
hortative	忠告
fillet	把切成片
underworld	黑社会
riot	蔓延
welter	重骑师
spinulescent	带微刺的
washy	浅的
artal	的复数
parcel	打包
hoarding	积蓄
teentsy	很小的
ariel	羚羊类
orientalist	东方通
determinant	决定性
suctorial	有吸盘
decretal	教皇的教书
motherwort	益母草
imaginative	想象
mouser	鬼鬼祟祟搜寻的人
resume	恢复
crystallization	结晶化
trihybrid	三对性杂种
scratcher	抓扒工具
living	居住面积
jarless	稳定的
url	Locator
airbrasive	磨牙的气压机械
vandalic	破坏艺术
afrikanerdom	南非白人人口
carp	鲤鱼
northing	北航
debility	衰弱
gerrymander	不公正操纵
devoted	投入
psat	学业能力倾向初步测验
accomplish	实现
iterate	重述
cosmosphere	宇宙仪
leishmania	利什曼原虫
apostrophize	顿呼
acerb	刻薄的
hygienically	卫生
agentry	代理人业务
moleskin	斜纹厚绒布
pulmonic	肺的
blend	混和
crappy	蹩脚的
recognizee	被保人
anisocercal	不等尾叶
myelin	髓磷脂
improvvisatrice	女即席演讲者
xanthochroous	呈淡黄色
vis	精力
claybank	棕黄色
misaligned	方向偏离的
wirehaired	硬毛的
square	坚定
batangas	八打雁
diffusive	扩及
hexose	己醣
clinometer	测角器
antinational	反国家主义
christmas	圣诞节
oviparous	卵生的
apropos	适当
thataway	按指示
suffice	足够
caledonian	古苏格兰
pruinose	具粉霜的
yeoman	仆人
mcmxc	罗马数字
hotfoot	急行
tcd	都柏林圣三一学院
inalterable	不能变更的
undigested	未经整理的
themselves	它们自己
system	体系
digitorium	无声钢琴
phanerogamous	有花
overfraught	过于充满的
sandpaper	沙纸
intertropical	热带地方之间的
anschluss	两国经济或政治结合
bitartrate	酸式酒石酸盐
innate	先天的
normally	通常
undress	晨衣
distributively	分发地
rebellious	反抗的
unmeaning	无意义的
unnilpentium	105号元素
miacis	小古猫
pertussis	百日咳
wickedly	坏透
hyperkeratotic	角化过的
cacophonize	使声音刺耳或不和谐
virginal	处女
gunyah	澳洲原居民的小屋
redargue	反驳
trunk	躯干的
tradesman	工匠
rinforzando	突然增强
journalistic	新闻工作者的
shortweight	短斤缺两
forethoughtful	慎重地
hemiptera	半翅类
postharvest	用于采收后的
incapacity	无能力
goldbrick	欺诈
epistolary	用书信
incarnadine	染红
radioamplifier	高频放大器
evaluate	评价
paripinnate	偶数羽状的
koksaphyz	青胶蒲公英
antipruritic	止痒
thinness	瘦
thrifty	节约
antiphon	唱和
racecourse	赛马场
leno	纱罗织物
sheave	槽轮
enhydrous	水
laticifer	乳汁细胞
fail	失败
unequivocable	清楚明白
levelheaded	稳健
hortensia	绣球花属植物
monacan	摩纳哥的
psychotropic	作用于精神的
lofi	低保真度的
electrics	电学
current	当前
backpaddle	逆桨
phreak	盗用电话线路
incompatibly	不相容地
ardent	热心
powerful	强大
soligenous	由地面水流入造成的
hmnzs	Majesty''s
grade	分等级
annoit	涂油
preaxial	躯椎前的
cern	particle
brocaded	织成锦缎的
boggle	犹豫
ceruse	铅粉
beckoningly	引诱人
essayistic	小品
moire	波纹的
hulda	赫尔达
hamulate	顶端弯折的
hyperparasite	重寄生物
adatom	吸附原子
snaillike	像蜗牛的
omnipotence	全能
maintainable	主张的
alular	翅瓣
brutify	使残酷
lampless	不点灯
contradictorily	矛盾
fallacious	使人误解的
confiture	蜜饯
luculent	透明的
kitling	如小猫的
fingerbreadth	指宽
silkgrower	蚕农
essay	随笔
adult	成人
revision	修正
glanders	鼻疽病
ectal	表面
uncontainable	压抑不住的
umber	棕色的
bibliolater	书籍崇拜者
thracian	色雷斯
varnish	清漆
tambac	=tombac
wherewith	用那个
wherewith	以其
dopy	呆笨的
notturno	夜曲
nitromethane	硝基甲烷
infective	感染别人的
latent	隐约的指印
cullion	坏蛋
riparian	河岸拥有人
bryozoan	苔藓虫类的
grandiloquent	浮夸的
fishworks	鱼场设备
tininess	极小
serpentry	蛇类
smoketight	烟密
pane	长方块
carhop	汽车餐馆的侍者
strata	stratum
risetime	上升时间
patronage	保护
incursive	侵入
peculiarly	特有地
apyretic	不发热的
terzet	=terzetto
xanthomelanous	有橄榄色皮肤和黑色头发的
indicatory	表示的
exude	渗出
lares	家庭守护神
ariadne	阿里阿德涅
chief	主要的
insidious	阴险的
neutron	中子
washstand	盥洗盆
ganaderia	畜牧场
unfaithfully	不忠实地
isomerism	异性
episcopalism	主教制
riverfront	河边陆地
slash	斜线
corrigibility	易矫正
biochemical	生物化学的
golden	极好
mythological	虚构的
ignitor	=igniter
forward	向前地
belie	掩饰
reinless	无缰绳
harmonic	谐和
realty	房地产
gradualness	逐渐
lanceolated	披针形
reimbursement	付还
bliss	天赐的福
nomenclatorial	术语的
cholinomimetic	类胆碱的
zoophysiology	动物生理学
kvell	扬扬得意:
ophthalmoscope	检眼镜
swift	迅速的
thingummy	某件东西
pediatry	=pediatrics
hematidrosis	血汗症
furze	荆豆属植物
tipster	提供内幕消息的人
shepherd	牧羊狗
criterion	标准
sound	声音
catheter	导尿管
spun	spin的过去式和过去分词
escheatorship	管理充公产业的官员
heterophobia	异性恐惧症
eggbeater	直升飞机
magic	魔术的
reclusive	隐遁
slub	纺
college	书院
pod	蚕茧
magnetooptical	磁场对光线的影响的
autoeroticism	手淫
iberian	伊比利亚岛
cepheus	仙王
restraining	遏制
sugh	=sough
gio	=geo
homopolarity	单极
dna	interNet
cruel	悲惨
npcf	Control
rhyme	押韵
divisional	部门所有的
playday	休息日
sodality	联谊会
ambary	洋麻
finish	终结
perch	就位
imperturbed	神色自若
remarkable	非凡
super	用冷纱布贴
embryogenic	胚胎发生
cranreuch	白霜
trialogue	三人谈
pentameter	有五音步
usaid	International
trudgen	爬泳
rdo	Objects
stockade	用栅栏围住
alba	普罗旺斯晨歌
spiky	大钉似的
tardyon	亚光速粒子
agreed	同意的
coupler	连结者
brachiocephalic	artery头臂动脉
reflectoscope	投射灯
losable	易失的
eluviate	淋溶
consentient	无异议的
petrifaction	石化
unkennel	从洞穴逐出
skiplane	滑橇起落架飞机
extraordinarily	格外
appealingly	哀求
glairy	蛋白状的
subequal	近似相等的
gouge	挖出
frequence	频数
ballproof	防弹
yelp	叫喊着说
reinforcement	增援
autolysate	自溶产物
hilly	陡的
hepatobiliary	肝胆管的
craterization	火山口状骨切除术
cnd	Disarmament
breeks	=breeches
jervis	杰维斯
pegasus	神马
zonian	巴拿马运河区的美国公民
tentative	试验性的
voltairean	伏尔泰风格的
nu	字
iktas	东西
kinda	有几分
sapphiric	像蓝宝石
multihull	多船体
publishable	可发行
inchmeal	逐渐
sericate	如丝的
heavily	沉重
antipathetic	格格不入的
closefisted	小气
clostridial	梭菌
ocker	粗鲁的澳大利亚人
irascibly	脾气暴躁
restauration	修复
oleometer	油比重计
reversion	继承权
front	阵线
datolite	硅钙硼石
preadamite	认为亚当以前便有人类的
matronly	主管
fallacious	靠不住的
frailly	脆弱
arthroplastic	关节造形术
sirvente	讽刺诗歌
abridgment	删节本
direction	收件人地址
overprice	将……标价过高
unwatched	被忽视的
counselee	听取意见者
pseudomonas	假单胞菌
erebus	阳间与阴间当中的黑暗界
obtusely	圆头
effulge	闪闪发亮
readme	自述文件
floriated	具有花卉装饰的
archanthropine	猿人
embosom	把……藏于胸中
electrodeposit	电沉淀物
judicially	依法判决地
ceremoniously	隆重
abscise	脱离
narcotic	催眠的
shelter	掩蔽处
sacred	神圣
cassimere	薄毛呢
unrelatable	无关联
celestially	神
swimming	目眩
aarnet	and
namma	水泉
gesundheit	干杯祝福
future	将来的
skyey	天蓝色
labe	拉贝河
egg	蛋
deft	灵巧的
momental	力矩的
retroengine	制动发动机
inconvenient	不便的
lucubrate	专心著作
isopycnic	恒密的
bestir	使忙碌
circumambience	围绕
pargyline	优降宁
merchant	商人的
pettifogging	讼棍
franciscan	Francis
thunder	轰隆声
incurrent	向内流的
heteronymous	同形异音异议词的
raaf	澳大利亚空军
platitudinous	陈腐的
inductile	不屈的
ironise	=ironize
frse	the
rumpus	喧闹
tootle	嘟嘟地发出
rescissible	可取消的
lop	砍下的部分
fair	清楚
airship	飞船
dysthymia	精神抑郁
prelusive	序曲的
walla	要人
kiln	炉
willing	自愿
fulsome	过分
kernicterus	核黄疽
mfp	Printer
organizer	组织者
damsel	闺女
observability'	NULL)
rejuvenescent	回春
neuropathology	神经病理学
inescapable	逃不掉
theban	底比斯的
typhoeus	百头巨怪
vidicon	摄像机
aor	aorist
overgreat	过大
craped	绉纱
hematinic	补血药
synergetic	协同的
soccer	英式足球
remorseful	悔恨
midterm	期中考试
crackajack	能干
terraneous	生存于陆地上的
tailored	剪裁讲究的
compare	比喻
insubordination	不顺从
corticotrophin	促肾上腺皮质激素
insipidness	没有味道
permissible	可允许的
tripping	平稳地进行
pinocytized	被细胞摄入的
patriarchy	家长统治
idiosyncrasy	特质
rhymer	打油诗人
calcic	含钙
asi	indicator
decline	斜面
arrange	安排
phantasmal	幻影的
crocodilian	鳄鱼
egger	搜集鸡蛋的人
vibratory	振动性
science	理科
fold	笼罩
floatable	可漂浮的
third	第三
cameo	刻有浮雕的宝石或贝壳
omnifaceted	全面的
epicanthic	内眦皮的
intergeneric	属间
subtle	精细
feign	想象
strife	冲突
antiphonal	轮唱赞美诗集
ammonotelism	排氨代谢
unambitious	无奢望的
nonpartizan	超乎党派的
biblioklept	书贼
miscellanist	杂录家
cobbler	补鞋匠
tacharanite	易变硅钙石
jaundiced	敌视的
inextricability	无法解决
monolithic	单块集成电路
bastile	监狱
hyperphysical	超肉体
intimist	描写个人情感
elongate	伸长
looped	成圈的
whangarei	璜加雷
plantation	森林
ccco	Conscientious
tantivy	疾速的
fabled	虚构的
openhanded	豪爽
byelaw	条例
allegorical	讽喻的
technification	技术的采用
carbachol	卡巴可
clint	克林特
fatherfucker	杂种
sdk	软件开发工具包
polygynous	多雌蕊的
aristate	有芒的
versifier	诗人
shredder	撕碎机
faceup	面部朝上
paper	论文
retrospect	回顾
phylloid	叶状枝
antespring	前一个春天
cacophonous	粗腔横调的
graininess	多粒
pepsin	胃液素
rebellious	造反
smear	油迹
inspirational	灵感
dissolvent	有溶解力的
befog	使迷惑
chelifer	恶蚬
neilsbed	针座
anemochorous	由风散布种子
legged	有腿的
caffeic	咖啡的
fluorite	萤石
unhidden	公开的
facticity	真实性
disparaging	毁谤
bioassay	生物测定
golgotha	基督被钉死之地
tic	局部的抽筋
dde	Dynamic
forcipiform	钳状
unwearied	不累的
forename	名
inion	枕骨隆突
third	三分之一
keynesian	符合凯恩斯理论
picaroon	海盗船
limonite	褐铁矿
eyebolt	有眼螺栓
sanely	稳健
mammie	=mammy
zoetic	有生命
mascara	涂染眉毛油
record	被录音
rheumatic	风湿的
novation	以新的代替
jointless	无接缝的
subscriber	签署者
unmediated	未经调停的
nostoc	念珠藻属
scoundrel	卑鄙的
anguiped	有蛇状足的
setdown	申斥
incorporeal	非物质的
flagelliform	细长而柔软的
columbine	鸽
afoot	徒步
flambeau	火把
woodcraft	森林知识
extravagantly	挥霍无度地
crotch	分叉处
uncreated	未创造
scanty	俭省
quodlibetz	在瓷器等物上面所绘的图案
intimidatory	恐吓
fluoroscope	荧光镜
barrelhead	桶盖
eruciform	毛虫状
trabeated	横梁式
wormhole	虫孔
walloping	击败
flounder	比目鱼
riddling	解谜
circulative	循环
slim	纤细
liter	公升
marketer	市场商人
caressive	似爱抚的
winningness	吸引力
wakeless	酣的
flex	弯曲
luciferous	明确
utopian	理想化
wherefrom	从那里
unfitting	不适当
experiential	经验
brush	毛刷
slaver	诱骗女子为娼者
aaup	美国大学教授联合会
bizarre	奇异的
woodcut	木刻印版
lawfully	合法地
apa	points
incognito	化名
mart	市场
stiffly	顽固
overconfident	自负的
snore	鼾声
unlock	放开
electrostatic	静电学
afroism	对于非洲黑人文化的兴趣
whimling	孩子气的人
if	即使
poky	简陋的
chitin	角素
gasolene	挥发油
staff	充当职员
troubleproof	无故障
discriminator	辨别者
marsh	湿地
underplay	扣着大牌不出而出小牌
adipic	脂肪
ante	下赌注
splenization	脾样变
completive	完全的
asio	Audio
lordotic	脊柱前凸
rage	风行
goody	媪
mesocarp	中果皮
bryozoa	苔藓虫门
buckaroo	牧童
xp	Extreme
twister	难事
thridace	莴苣浓汁
pentacid	五价的
radiation	发光
serried	林立
blatantly	看穿了
swarthily	黑黝黝地
mao	oxidase
battue	用驱赶方法狩猎
reductive	还原剂
chromophoric	载色体的
ausgleich	协定
undefended	无论据的
intilted	向内偏斜
amble	缓行
fanwise	如扇形
pirimicarb	抗蚜威
epileptogenic	引起癫痫的
fmcs	and
shrill	尖声
committal	赞助
frypan	=frying
unspeakable	无法形容
histochemical	组织化学
circumpolar	极地附近的
onwards	向前地
embarrassingly	使人难堪地
isoclinic	=isoclinal
decrepitude	老朽
altai	阿尔泰山
erg	尔格
fess	坦白
interlocutress	女问话者
sprig	用小树枝装饰
feudatorial	世仇
leukocytotic	白细胞增多的
beastie	小动物
gemara	犹太教的神学书Talmud
inaptly	笨拙
divestment	剥夺
heteronymously	相关而异名地
surpliced	穿着白色法袍
retardment	减速
hesternal	昨天的
overoccupied	过于拥挤的
acescent	变酸的
iconographic	肖像学的
atilt	摆着冲刺的架势
thickheaded	愚蠢
rugged	有皱纹
morpheus	摩尔莆神
clamshell	蛤壳
realizing	明确无误的
sound	试探
flighty	忽发奇想
discharger	履行者
alkyne	炔
pit	起凹点
rencontre	邂逅
ingoing	迁入
hairif	=cleavers
indicative	预示的
friended	有朋友的
centrifugal	离心
gottwaldov	哥特瓦尔德夫
windage	风力修正量
permeable	有浸透性的
wscf	世界基督教学生同盟
superficiality	表面性的事物
ironwork	铁制部分
cavitron	一种无痛穿孔锥
cementitious	似水泥的
kharkov	哈尔科夫
choler	愤怒
monocarpic	结一次果的
boiler	煮器
millionairess	女百万富翁
usher	作招待员
billingsgate	下流
swash	冲激
nomadism	游牧
propagable	可推广的
catapult	弹弓
pale	界线
until	在……以前
short	不够
engorgement	充血
heliometer	太阳仪
cheskey	捷克语
shuttle	往返汽车
wscf	Student
polydemic	多地区生长
forktailed	尾巴开叉
contraprop	一对互相反转的螺旋桨
dysplasia	异常结构
orthopterous	直翅类
semilanceolate	半矛尖形
phalanger	袋貂
datable	可确定时代的
gigavolt	千兆伏特
inviolate	无污点的
gemutlich	安逸的
candlestick	烛台
concessional	容许
abortively	失败
disparaging	轻视的
rhinopharyngocele	鼻咽瘤
feme	女人
ahd	arteriosclerotic
neuter	不及物
hornbar	横木
treatment	处理
beanshooter	以干豆做子弹之玩具枪
considering	鉴于
sweetly	甜
popgun	玩具枪
shroud	船的横桅索
nonbeliever	没有信仰的人
fluvioglacial	冰水的
unchurched	被逐出教会的
headplate	磁头板
favorably	顺利
ringing	干脆的
scopulate	帚状
lime	黏鸟胶
breezee	吹微风
facilitate	帮助
stellenbosch	调充闲职
fossor	古时候教堂中负责埋葬的职员
rumpot	醉汉
unreaped	没有收获
cornucopian	丰富的
rapc	Royal
nephalist	完全戒酒论者
tractably	驯良
phasedown	逐步减少
radiosodium	放射性钠
enlarger	扩大者
it	信息技术
comeliness	漂亮
sincerely	真诚
eminent	优良的
manes	灵
cretaceous	白垩
worry	挣扎着前进
heft	举起
trickish	欺骗
yock	大笑
fine	优良的
papistical	天主教的
igy	Year
spoonerism	首音互换
solitudinarian	隐士
sexfoil	六叶装饰
fidget	弄
noncontrastive	非对比的
unifier	使一致的人
serbia	塞尔维亚
tamari	酱油
cabezon	大头鱼
facs	American
murderous	造成死亡
relocation	变换布置
rosedrop	玫瑰糖锭
spritz	喷
tetrahydrocannabinol	四氢大麻酚
thousand	许多
vasodilatation	血管舒张
germen	生殖腺
thermoelectron	热电子
butskellism	巴茨凯尔主义
tactually	凭触觉
resistent	=resistant
dentin	象牙质
dunkirk	狼狈地撤退
sportsdom	运动界
antipsychiatry	反传统精神病学
aboveboard	光明正大的
mumu	=muumuu
disenfranchise	剥夺……公民权
carbo	含糖食品
letdown	松劲
unsettle	不安
causable	会惹起
shangrila	理想乐园
nous	精神
subventionize	援助
deliriant	呓语的
inscriptive	题写的
gbf	Foundation
misbelief	错误的信仰
manipulable	可以操作的
dialogist	对话体的作者
morningtide	晨间
odditional	附加的
turbinate	陀螺状的
sponsion	担保
nilpotent	幂零的
unfixed	解脱
lonely	偏僻
docent	讲解员
tern	燕鸥
thyroidotomy	甲状腺切开术
uncoil	解开
invisible	无形的
terrifically	极端
innocent	天真的
guest	款待
libration	天平动
cardioactive	作用于心脏的
polyethnic	多民族的
atomix	http://atomix
base	卑鄙的
meditation	沉思
irreversible	不能取消
wearable	可佩带的
suk	苏克族
projective	投影的
enclitic	附属字
craniology	头盖学
emissive	发射的
override	蹂躏
gaudeamus	尽情狂欢
emancipationist	解放论的人
underpopulated	人口稀少的
unprinted	未付印的
dishwater	洗碗水
lay	世俗
counterpoise	平衡
assignment	任务
helidrome	直升机机场
leaving	离开
shaky	不可靠的
cock	大摇大摆地走
mmx	Multimedia
versicolor	斑驳的
nature	种类
sunwise	向右转
kingfisher	翠鸟
submission	谦恭
cranky	暴躁的
dcvo	Commander
prestissimo	极快的
verbose	冗长
cowichan	sweater科维昌式厚毛衣
aeronaval	海空
neofascism	新法西斯主义
vocabulary	词表
rout	击溃
nawab	英国人
asthenic	衰弱
nistru	=Dniester
betacam	广播级录象机的型号之一
episcopalian	主教派的
reprobative	责备
maidenlike	像处女
phenoxide	酚盐
sparrow	麻雀
dumpishly	忧郁
marrowless	无髓的
cholerine	轻症霍乱
opporunity	时机
victualer	运粮船
parlay	使增值
forest	住在森林中的
adhesive	带粘性的
inspection	视察
herbiferous	生草
reinless	自由
chivvy	耍花招
pyranometer	日射强度计
organohalogen	有机卤素
monologist	独白者
tubicorn	有空角
lipolytic	分解脂肪的
toxophily	对射箭的爱好
