dover	多佛
french	法国人的
odiousness	可恨
ruffly	起皱
abortive	异常终止
romance	虚构
medicine	内服药
gentian	龙胆属的植物
carl	老粗
unholy	邪恶
armload	一抱之量
ghast	可怕
earthborn	会死的
naomi	女子名
vile	卑鄙
usphs	Public
corruptionist	行贿的人
papistic	天主教
oaw	Assisted
hypopselaphesia	触觉迟钝
protuberance	瘤
lunatic	极端愚蠢
pug	泥料
moodiness	闷闷不乐
stable	稳定的
haltere	=halter
tycoon	企业界大亨
macle	双晶
antiutopian	反面乌托邦
quaternate	由四个组成的
congregational	公理教会
withdrawal	收回
orbicularis	轮匝肌
pathogenic	发病
mikvah	正统犹太教的浸礼池
britannic	英国的
proprietor	所有者
hebrewwise	从右向左地
contortion	扭弯
wail	悲叹
broadbrimmed	宽边
conoid	劈锥曲面
anticlimactic	突降法
jackal	走狗
fantasticism	奇想
rebeldom	叛区
thyristor	半导体闸流管
pericardial	心包的
fenestrated	有窗
cadenza	华彩乐段
laboratorian	实验室工作人员
hemic	血性的
orthopedist	整形外科医师
materfamilias	家庭主妇
inlet	插入物
gleam	使闪烁
mohave	莫哈维族
odeum	剧场
mns	Science
fashionable	流行的
triassic	三叠纪的
jus	法律认可的权利
supervise	指导
vehicle	传达手段
summit	政府首脑的
untruthful	不诚实
intraocular	眼内的
cardinal	最重要的
indubitable	明白
unmarried	未婚
misalliance	不适当的婚姻
riverine	河流的
ingeminate	重申
hawk	鹰
frowsy	懒散的
raticide	杀鼠药
feracity	多产
inversely	倒转地
chanceless	无可能性
piedmontese	皮埃蒙特的
scout	觅
bryophyte	苔藓类的植物
aapss	Science
permissively	许可地
klondike	克朗代克河
carbuncled	用红玉的
offhanded	即席
gratifying	悦人
squirearch	乡绅
calumnious	毁谤
windcharger	小风车发电机
wgmc	Gmc
dielectrophoresis	介电泳
drypoint	铜版雕刻
woodruffite	纤锌锰矿
ethnohistorian	人种史学
simple	天真
lonely	寂寞
evenly	平坦
snubby	短而往上翘的
abruptness	粗鲁无理
dutiful	孝敬的
spaeman	预言者
ecstasize	入迷
cragged	峭壁多
waybread	宽叶车前
semolina	粗粒小麦粉
loliginid	枪乌贼科的
misspend	浪费
improperly	不适当地
kalif	=caliph
flooding	泛滥
mareograph	自动记潮仪
dividend	年息
someways	以某种方式
skullcap	并头草属的植物
seam	接合
balladmonger	民谣作者
swingeing	激烈的
diazonium	重盐
subspeciation	亚种形成
equal	平静的
hellebore	藜芦
fistuliform	管状的
dichogamous	雌雄异熟的
obstipation	顽强便秘
elephantiac	象皮病的
heigh	嗨!
cotidal	同潮的
phenomenological	现象的
blackguardly	流氓
lay	短叙事诗
armigerous	有佩带徽章资格
fluently	通畅地
undying	永恒的
fancifully	梦想地
facilitation	简易化
bootie	=bootee
comically	诙谐
militate	产生作用或影响
shadbush	唐棣
prepotent	优势
prospect	勘探
coequality	同等地位
petrograd	彼得格勒(苏联西北部港市列宁格勒
downtonian	当顿
potentiostatic	在稳压器控制下的
crotchet	奇想
luminesce	发冷光
reactivity	反动
etcaeteras	其余
mouthless	无口的
bladder	气泡
inobservant	不注意
volute	螺旋形
bunglesome	拙劣
motile	运动型
hesternal	昨天
strabismal	斜视
irrigable	可灌溉的
pruine	=prune
unmutilated	未丧失肢体的
antibaryon	反重子
commonplace	平凡的
since	以前
monanthous	单式的
demonolatry	崇拜鬼神
shakable	可摇动
eudaemonics	幸福学
characterless	平凡的
glitter	闪烁
relapse	复发
chemotactic	趋化现象
stress	强调
miniskirt	超短裙
uneducational	无深造作用的
officer	警官
pewit	田凫的鸣声
boatswain	水手长
gunhouse	炮室
mister	先生
nuke	核能发电厂
oaklet	小橡树
functionary	职务
euripus	潮急
magnetohydrodynamic	[用作刀
neutrodyne	中和式高频调谐放大器的
falsehearted	不忠实
novate	用新事物代替
pushpin	图钉
subemployment	就业不足
gpi	insane
oscillation	振动
dispersal	疏散
garter	吊袜带
faveolus	小凹
coyotillo	鼠李科之有毒灌木
efficaciously	灵验地
mustard	芥末
dirt	污垢
vasodilating	引起血管舒张
abode	住所
biodynamical	生物动力
suppurative	化脓促进剂
slentando	渐慢的
cutcha	暂时的
race	与……赛跑
alforja	鞍袋
caenozoic	新生界
swimmingly	顺畅地
flap	拍打
figurable	能成形
flagging	铺石材料
inceptive	开端
smudgily	为除虫而升的熏火
reagin	反应素
rifle	来复线
egp	Exterior
surfeit	过食
tame	制服
unsuccessfully	失败
flutter	使焦急
celticist	研究凯尔特文化的人
clidomancy	钥匙占卜
struthonian	不敢正视现实的
ecru	淡褐色
ruckle	弄绉
havel	哈弗尔河
grumblingly	喃喃报怨着
undone	undo的过去分词
transmountain	越过山
gliosis	神经胶质过多症
dextrorotation	右旋
aquiline	象鹰的
lachrymal	泪腺
deliquescence	潮解
brotherly	充满情谊的
subdiscipline	分科
saunter	漫步
cacuminal	翘舌音的
cultrate	小刀状的
fatuous	自满的
obstinacy	固执
undetermined	未解决
sothic	天狼星的
lace	饰带
dst	Self
nes	不另说明
flub	做得不好
fanged	有牙根
humidity	湿度沼泽中的肥沃高地
diagonalize	与……斜向地成一行
subrogation	代位
prudential	谨慎
first	首先
decubital	卧姿
material	肉体
puncturable	可穿孔
couchant	蹲着
globuliferous	产生极小球体或小滴
hierarchism	圣职阶级制度
lespedeza	胡枝子属
madid	潮湿
fullback	后卫
nouny	多名词的
organized	有组织的参加工会
scent	臭迹
continentalism	大陆派
flatfish	比目鱼
msha	Master
alphahelical	单螺旋结构的
voluptuary	酒色之徒
tithonia	肿柄菊
information	消息
huffish	生气的
guiltily	有罪地
heavyish	稍重
bhoodan	Vinoba
muscologist	苔藓植物学家
slipslop	淡
tarboard	柏油纸板
effusive	感情横溢
hypersphere	超球面
nur	Union
unsccur	联合国资源保护及利用科学会议
chiffonade	细切的蔬菜
blinding	使失去判断力
botheration	忧虑
sexisyllabic	六个音节的
platypusary	鸭嘴兽圈养地
zoomorphosed	似动物造型的
egression	外出
sessile	无柄的
virtue	英勇
man	Network
telepathize	使通灵
culpable	有罪的
primitive	简单的
goddamn	诅咒
alembicated	过分精炼的
johnsonian	约翰逊
blagueur	喜欢编造夸张故事的人
scruple	审慎
keynotes	关键提示
pettifog	诡辩
unobvious	不显著
aonb	Beauty
tubal	管形
astyanax	阿斯蒂阿纳克斯
love	爱好
exocrine	外分泌的
statutory	法定的
trigonal	三角形的
delia	迪莉娅
fortuitism	偶然论
suspensible	可悬吊的
dirty	恶劣的
purebred	纯种的
mach	采用微内核技术
conformity	符合
wittiness	机智
lithostratigraphic	9lIWEJstrE`tfIk/
uncomplex	不复杂
farinose	含粉的
thankless	忘恩负义
hydrophobia	狂犬病
please	中……的意
prattle	胡说
captious	挑剔
invidiously	惹人怨恨地
verdigris	铜绿
melena	黑粪症
oceanographic	有关海洋学
haemodynamics	血液动力学
nobbily	时髦
sleuth	做侦探
unjust	不公平
owing	未付的
palearctic	=Palaearctic
orville	奥维尔
tet	春节
mackman	作淫媒者
insensibly	极微
varioloid	假性天花的
whopper	特大物
allpowerful	最强大的
mediatize	使成为附属
hematothermal	温血
pure	完美的
nefarious	穷凶极恶
telepathize	使心灵感应
verandah	走廊
to	于……
echo	回声
muslim	穆罕默德信徒
windjammer	帆船水手
abroach	开口
unlink	解开……的环节
scent	使充满气味
bravest	勇敢的
fallacious	谬误的
terror	可怕的人
flattery	捧场话
honestly	真诚地
collectanea	文选
camisade	夜间奇袭
enactive	法律制定
appurtenant	隶属的
chaung	河道
postboat	客运班船
anautogenous	需吸血后产卵的
encincture	围绕
substitutional	代用
tablet	小块
unartistic	与艺术无关
celt	Celt
borrowed	虚构
platiniferous	含铂
ambler	以溜步法走的马
topi	遮阳帽
med	Mediterranean
andante	缓慢的曲子
masticatory	咀嚼
improvise	临时准备
unguiculated	=unguiculate
squall	尖声叫着
french	法语的
yukin	月琴
transmitter	传导物
parthenogenesis	单性生殖
jerez	赫雷斯
religiose	狂信
hirtellous	具微硬毛的
os	孔
bogie	可怕的人
vortex	旋涡
soigne	整洁的
salvatore	塞尔瓦托
mettlesome	精神饱满的
deference	尊重
drag	拖
mindoro	民都洛岛
document	档案
globulet	极小的一滴
raptorial	捕食生物的
punk	朋客
congratulatory	庆祝
airconditioned	装有空气调节器
ringbolt	带环螺栓
latticed	装有格子的
alastair	阿拉斯泰尔
dump	倾卸
sexploiter	色情电影
costive	行动迟缓
sufferable	可忍耐的
extemporaneous	善于即席讲话的
plough	犁耕
russia	俄罗斯
mir	米尔
tacmar	Array
orb	沿着轨道移动
poe	进口港
proof	防……
tame	平淡
landowning	拥有土地的
spcc	Prevension
sabotage	对……采取破坏行动
faddish	趋于时尚的
patina	光泽
unsophistication	天真
travesty	滑稽模仿
hydrothermal	热液的
meanwhile	其间
sompa	桑珀测定法
operable	可操作
indices	的复数
unarguable	无可争辩
folly	傻念头
antiulcer	抗溃疡
visually	在视觉上地
solicitudinous	关心的
hirtellous	具微硬毛
calefaction	温暖
pentameter	五步格诗
hallucinosis	幻觉病
impersonalize	使失去人格性
uncharming	不可爱
chieftaincy	酋长或首领的地位
funereal	送葬的
cep	Circular
lame	僵痛
departure	离开
panderess	老鸨
furor	激情
mordacity	辛辣
greyhound	美国灰狗长途汽车
talcous	含滑石
awake	觉悟
nira	National
minimal	最小
cabriole	弯曲的脚
vindicative	辩明的
efflorescent	开花
calculatedly	故意地
indagate	研究
cloudwards	朝着云地
acropathy	四肢病
antiulcer	抗溃疡的
royalty	王权
speechify	演说似的地说个不完
parsee	印度拜火教徒
impleadable	控诉的
unwilled	非故意的
downsizing	减少规模
norse	挪威人的
wolfy	狼一样凶残的
definitive	权威性的
mechanical	机械的
equiprobably	等概率地
auctorial	作者
planster	策划者
metathesize	换位
sheeny	有光泽的
scullion	卑鄙的人
sphacelous	患脱疽的
quickie	速成
unhidden	公开
skean	双刃短剑
catching	传染的
inkhorn	墨水壶
placeman	禄虫
phew	呸表示不快的声音
dryly	冷淡地
chromomere	染色体小粒
international	国际性组织
oxbridge	牛津与剑桥两大学
pinnatipartite	羽状深裂
oscillator	振荡器
refashionment	重作
coprozoic	寄生在粪便中的
pandean	牧羊神
nominate	推荐
corticated	有皮层的
scutch	将麻
nuppence	不名一文
hexapodic	六音步诗句
micropublishing	缩微出版
galley	大型划船
semiglazed	略上釉
violinmaker	小提琴制作人
dr	Distributed
vinylon	维尼纶
apagogic	反证法的
computer	电脑
consolatory	慰问
geranial	牻牛儿醛
chaw	一满口
augustly	威严地
embrown	使成淡黑
limpingly	跛行地
disagreement	争执
extracurricular	课外的
monomerous	一基数
superannuable	退休后可领取养老金的
sesquialtera	=hemiola
roric	露水
damascene	大马士革的
choragic	合唱团指挥的
mousseux	起泡的
repute	认为
remorseful	悔恨的
scrubby	树丛繁盛
capsule	胶囊
mottlement	云纹状
lace	扎带子
ultraleft	极左
sporotrichosis	分支孢菌病
tolerance	规定公差
severalty	单独保有
gee	字母G
highly	非常
torus	花托
apolitically	不关心政治地
weenie	微小的
ecospecies	生态种
veronese	意大利之维罗纳Verona
chemotaxis	趋化现象
twu	美国运输工人联合会
doglike	忠实的
bodhidharma	菩提达摩
vexillar	旗瓣的
tsutsugamushi	disease恙虫病
telestich	各行最后的字母可缀合成一名的短诗
infundibulate	似漏斗状器官
pilsener	高级啤酒
malversation	渎职
oath	宣誓
flatware	扁平的餐具
promulgate	发布
presenile	过早衰老
achromatous	淡色的
errand	差事
fob	骗人
illegitimacy	不法
thio	硫代的
impitoyable	大品酒杯
carbonaceous	碳质
vaporimeter	蒸气计
antiwhite	反对人
underhand	下投的
defendant	辩护的
spinsterhood	独身
screaming	令人惊愕
spectrally	幽灵似
baronial	宏大的
filature	纺丝
subcommission	专门委员会
mild	适度
ope	自由进出
cubiform	立方形
demimondaine	名声不好的女人
coprological	淫秽
desponding	沮丧的
flappy	飞扬
disgorge	吐出
whippet	轻型战车
pony	小型的
extemporaneous	善于即席讲话
soigne	整洁
gastrolith	胃石
counsellor	辅导员
hexapodic	六音步诗句的
scraggly	锯齿状
lapidate	以石投击
aphakia	无晶状体
uncontroverted	无可置疑
cancrivorous	食蟹
kersey	一种粗绒布
polak	=Polack
neurodepressive	抑制神经的
putresce	变得腐败
ausgleich	条约
tawie	易对付
leiotrichous	有直发
krewe	克鲁
spa	矿泉
frustrated	落空
unicameral	一院的
candlepin	保龄球中所用的细长的棒
wobbly	摆动的
dronish	混日子的
monadic	单孢体的
ganoid	珐琅质
testamentary	遗嘱
crackers	精神错乱
nautili	的复数
irrepressible	抑制不住
whys	目的
bodyshell	车架
mitigative	缓和的
oriental	东方人最优质的
precessional	岁差的
hornwork	角堡
unanimously	全体一致
dialogically	问答体
romano	罗马诺干酪
voter	有投票权者
yogism	瑜珈主义
hep	消息很灵通的
instantaneous	即刻
livingstone	利文斯敦
suppose	假使……结果会怎样
whelk	海螺
coteau	山谷的一侧
troublous	动乱的
randomly	未加计划
vomit	呕吐
thinnish	有点薄的
pepsine	助消化药
activity	活动性
unhinge	使动摇
observantly	敏锐地
wide	远离目标
zonally	区域地
lionhearted	豪胆
rearwards	向后面
lance	长矛
eared	有把的
crop	收割
cardinal	最重要
dessertspoon	餐后甜点匙
biloquialism	=bidialectalism
canicular	天狼星的
tricentenary	三百年
superfluity	额外
sunniness	活泼
kashubian	卡舒比语
underserved	服务不周到的
parapeted	有胸墙的
crowstep	屋侧山形墙头墙级
euclidean	欧几里得几何学的
attenuation	变薄
depot	补给站
pronucleus	前核
lipoidal	类似脂肪
dissentient	反对的
strafe	用机枪扫射
extra	特别地
aeolian	Aeolus
ringlead	当……的头目
jerque	检查
postcranial	颅后
laborite	英国工党党员
loimic	疫病的
surfing	网络冲浪
ins	Insert的简写
souse	腌制
dushanbe	杜尚别
cyanine	蓝色素
injurious	有害的
putrefy	堕落
gumminess	黏性
ah	哈
dominating	独裁的
crappy	蹩脚
appositeness	适当
squat	蹲着的
eeoc	均等就业机会委员会
handling	处理
not	不
splash	斑点
remote	偏僻的
gleg	敏捷而反应快的
duumviri	duumvir
octachord	八弦琴
anthracite	无烟煤
cretaceous	白垩系
overlusty	过分强健
breechblock	螺体
unreligious	非宗教的
revilement	诽谤
aircondition	设以空气调节装置
several	个别
honeyfuggle	骗奸未成年少女
luxate	使脱臼
unbent	直
tenor	誊本
pity	同情
locomotory	运动
draught	气流
photomagnetic	光磁的
follow	沿……而行
textual	本文的
dm	医学博士
premeditated	预谋的
helical	螺旋状的
atwain	成双
dicot	=dicotyledon
freeborn	生而自由
deathlike	死了一样
dixie	美国南部各州
anatomical	解剖学的
plf	pounds
classically	拟古
spadicose	肉穗花序的
orca	逆戟鲸
grolier	格罗里埃式装订
collate	比较
my	pro
unproposed	未提出
solatia	慰藉物
bracing	支撑
insecticidal	杀虫剂
luck	好运
illuminating	启蒙
asap	p
everyway	无论怎样看法
evolutional	进化的
semihexagonal	半六角形的
diamagnetize	使抗磁
caravanserai	=caravansary
drudgingly	辛劳地
yammer	抱怨
tinnient	发丁零声的
rpg	Play
pvm	Virtual
inscript	=inscription
fondly	情柔
collyria	洗眼剂
derange	使精神错乱
zamouse	萨姆斯野牛
oppressively	压迫地
ossie	=Australian
fulsome	过度
superfetate	异期复孕
roadstead	碇泊处
chaqueta	牛仔所穿的厚外套
excel	优秀
denarius	便士
suitability	合适
hydrometry	液体比重测定法
jehovic	耶和华的
fasciated	簇生
haemolysis	红血球融解
briton	英国人
syllogistically	演绎式
sulpician	稣尔比斯会会员
erective	建立
snaky	多蛇
quad	嵌块
pia	International
incitant	兴奋剂
spline	用花键联接
mnas	国家科学院会员
ultima	最终
drinamyl	紫心片
singularly	异乎寻常
setterwort	熊足嚏根草
slothfulness	怠惰
recumbently	靠着地
codominant	共显性
downbent	向下弯曲的
psychogony	精神的起源与发育
falconet	小鹰
consequent	作为结果的
firmer	坚硬
achillean	勇敢的
unspoiled	未损坏的
platypusary	鸭嘴兽圈养
gph	hour
masty	讨人厌的
difform	不相似
vitaceous	葡萄属植物
reliant	信赖自己的
translation	转化
charnel	阴森
tyrannic	压制的
hodge	英国庄稼汉
toadeating	拍马的
sirach	西拉书
cambridgeshire	剑桥郡
legman	采访助手
sooty	煤烟熏黑的
tablet	写字板
emptier	排空装置
antirheumatic	治疗风湿病
portico	柱廊
functionary	职员
cotransduction	共转导
sad	悲哀的
crumple	崩溃
lateral	横
historic	有历史性的
stanch	不透水的
lettercard	简便邮简
price	问……的价格
kathartic	=cathartic
despiritualize	使失去精神性
araucan	阿劳干语组的印第安语
microskirt	超超短裙
disleave	使失去叶子
extortive	敲诈的
innumerable	数不清的
uncommunicative	拘礼的
nice	挑剔的
wally	好
traversing	通过
flashback	急转
deliria	妄想
basta	够了!足了!
millionaire	大富豪
heterozygous	杂合的
engraft	嫁接
lick	轻轻拍打
implosive	闭塞的
appetent	本能欲求的
riveter	打铆机
otherguess	完全不同种类
awl	锥子
chance	运气
jota	霍塔舞
rap	轻敲
polydemic	广居的
nonrestraint	无禁止
underline	作……的衬里
autographically	亲笔地
dia	Defense
smtp	Message
malaprop	用词错误可笑
starter	起动器
tianjin	天津
unconsolidated	非层状
exhaustible	被取尽的
treat	治疗
implosive	内破发音
frcp	of
tuft	一丛
falconer	养鹰者
rodman	持枪歹徒
plicate	有皱襞
electrolytic	由电解产生
clearly	明朗地
unbelievably	难以置信地
tolerable	可以
irradiancy	光辉
illinoisan	伊利诺斯州的
decumbent	匍匐的
bantamweight	最轻量级的选手
creedal	教义
dissipated	闲游浪荡的
tinnily	锡地
lyrical	抒情诗调
skibobber	连橇运动员
neurovascular	神经与血管
clearly	无疑地
adrift	随波逐流
unfamiliar	不熟悉
swart	黑黝黝的
fake	欺骗
incent	刺激……采取行动
scanty	缺乏的
consummative	最后完成的
pauline	使徒保罗的
apical	顶点
allegiance	效忠
clypeiform	有唇基
modelly	具有模特儿特点的
devour	吞没
zinnia	百日草属植物
nes	s
sanguicolous	血寄生
degenerative	退步
spunk	勇气
project	设计
favelado	棚户区居民
cutcha	晒干的
arthropoda	节足动物门
harshness	粗糙的事物
nhg	High
americanologist	研究美国政府方针政策的专家
worry	苦恼
hypophosphate	连二磷酸盐
misplay	错误玩法
whaling	一阵痛打
spheroidic	类似球体
snatchy	断断续续的
phosphatic	磷酸盐
gimmal	双连环
osbert	奥斯伯特
haematocryal	冷血
laciniate	有细长裂片的
untrodden	未受践踏的
pulsator	震动器
halftone	中间色
contessa	女伯爵
semiferal	半野
plead	为……辩护
cutup	出洋相以引起注意的人
ruleless	无规律
undefended	无论据
epizootic	流行于家畜的
phorate	三九一一
ominous	预兆
undissembling	真诚的
anywhere	无论何处
corruptibly	可被收买
piratic	海盗
affinitive	密切相关
unselected	非精选
sibilation	咝咝作响
aboriginal	土著
uninspired	缺乏创见
champleve	雕刻后填上油漆
plasmapause	等离子体层顶
unescorted	无人护送的
fissile	裂变的
hamstring	腿筋
matthew	马太
formulization	把……作成公式
indicative	可表示
andantino	微急的节拍或曲子
cavalier	骑士
moldproof	防霉的
doctrinaire	教条主义者
bootleg	私卖
gratification	满意
robustly	要用体力
chozrim	回家园的以色列人
fleeceable	易受欺诈
patter	喋喋不休地说
topwork	整顶嫁接
fisherman	渔夫
whoopee	喧闹
commeasurable	可成比例的
imbecilic	低能
duvet	用羽毛
phonevision	有线电视
pituitous	黏液的
antiutopian	反面乌托邦的
spirillum	螺旋菌
predicability	可断定为……的属性
automatic	无意识
synectic	共同研讨
vesiculate	小泡
dumdum	达姆弹
signed	有正负之分
flyflap	蝇拍
miscreated	丑的
rascaldom	恶棍
cinerator	火葬炉
nonet	九重奏曲
irruptive	深入的
ineligible	不合格的
uneven	奇数
wired	杂志
schism	分裂
quaternate	由四个组成
arbitrament	仲裁
dizzyingly	灿烂
emanant	发射的
unobtainable	难获
sentiment	观点
titman	最小的猪
imperforated	未穿孔
involute	恢复原状
cardiocirculatory	心脏和循环系统的
inflation	通货膨胀
renascent	新生
exoatmospheric	外大气层
grain	颗粒
misascription	错误归属
agonizingly	苦闷
nonferrous	不含铁
whist	安静地
haemoid	像血的
catercornered	对角线的斜放的
sibylic	=sibylline
coquetry	卖弄风骚
exploratory	探测的
extrema	extremum的复数
ratten	毁坏
pigeonhearted	害羞
antemortem	临死前
judaism	犹太教
steeper	陡峭
stalinabad	斯大林纳巴德
theremin	泰勒明电子琴
constable	警官
frontage	临街
cryoextraction	冷冻摘出术
labyrinthian	错综复杂
pattern	模仿
chloral	三氯乙醛
intervolve	互相牵连
hemiplegy	半身不遂
motiveless	无目的的
diversion	转移
make	增大
lixivia	碱汁
nepotism	起用亲戚
spitcher	击沉
hempie	似麻的
hip	忧郁
murderous	杀人的
whomp	发撞击声
prognostic	预兆的
cockeyed	荒唐
nurture	给与营养物
baganda	巴干达人
fastuously	炫耀地
mamillate	乳头状
antienergistic	逆能的
cuddly	喜爱抚的
nudge	用肘轻推
apt	倾向是
throat	喉咙
wobbegong	shark
refution	反驳的言论或意见
tritural	用于研磨
intrastate	州内
photoactive	活
hyperverbal	极其罗唆
nutcracker	胡桃钳
feeling	情绪
feculent	肮脏的
enveigle	拐骗
amercement	罚金
impressionist	印象主义者
effectively	有效
abaddon	地狱
greensick	患萎黄病的
unright	非正义
protonate	给……加质子
hamitic	哈姆族语
homeric	荷马
slip	塞入
replant	再植
lithophilous	生长在多石环境
compelled	强迫
zoomimic	模仿动物行动的
undisposed	无倾向的
spline	花键
louse	寄生虫
remelting	重熔
knub	肿瘤
flicker	闪动
ledge	矿层
actinism	光化度
hexabasic	六碱
microvillus	微绒毛
estaminet	咖啡馆
assumption	设想
inscriptive	铭文
niobite	铌铁矿
colonel	团长
aimlessly	没目标地
redressment	=redress
impromptu	即席演出
drugpusher	贩麻醉药者
cacomagician	用妖术害人的巫师
charolais	夏洛来牛
eruptive	疹
characterful	表现性格
weird	不可思议
ultrathin	极细的
towardly	乐意
falsification	串改
flier	快船
taratantara	喇叭声
uraeus	蛇形标记
hygeian	卫生的
lane	航线
sexennial	持续六年的
koblenz	科布伦次
elapse	消逝
romanticise	=romanticize
detectible	可看穿
zain	纯暗色马
hypsography	地形起伏
rotfl	笑得在地板上打滚
turgescence	膨压
ek	Kodak柯达公司
takingly	传染
extracapsular	囊外
toluate	甲苯甲酸盐
inchoate	不完全
lucre	钱财
waveringly	摇摆
tyne	泰恩河
lunate	新月状
surjective	满射的
encephalitogen	`dVenIk/
keystone	重点
brawn	腕力
modestly	谨慎
latitude	范围
linkman	前卫
parturifacient	催生的
charry	炭的
mammalia	哺乳动物
mystical	奥秘
hand	支配
twig	小枝
extortionist	勒索钱财
undefiled	纯粹的
cherub	小天使
smacker	发出咂咂声的人
broad	宽阔地
congest	使充血
hoop	箍
menu	菜单
authoritative	有权威的
iris	虹彩
incentive	激励的
spoliation	掠夺
sncc	Student
chargeable	可以控诉的
fashionmonger	赶时髦的人
faggot	捆
intangibly	无形
photoflash	使用闪光灯
awninged	挂有帆布篷的
proverbially	众所周知的
mucolytic	黏液溶解的
ricket	大错
moony	月亮
make	制造
sclerosing	硬化型的
tyrannously	压制地
backmarker	从起点起跑的运动员
prussia	普鲁士
supplemental	追加
unsuspicious	不怀疑的
disclaimation	否认
monoaminergic	单胺能的
flannelette	棉织法兰绒
succinct	简洁
loculus	室
anhydration	除去水分
freebooting	掠夺
diverting	令人快乐
gopura	华饰庙门
bidarka	皮筏子
labyrinth	难解的事物
semioccasional	偶尔的
mass	质量
augmentor	起扩大推力增强装置
peg	钉木钉
unrounded	不圆唇的
unmotherly	与母亲身份不相符的
yauld	敏捷
synergetic	协作
half	不完全
funny	有趣
extent	程度
radiotelephone	打无线电话
roumania	罗马尼亚
artifactitious	人工制品的
mantid	螳螂
blepharoplast	毛基体
pachyderm	厚皮类动物
sachet	小袋
antependium	装饰
multilobate	多裂片
chainless	无束缚
baccivorous	食浆果
rascal	坏蛋
bacteremic	菌血症的
drakensberg	德拉肯斯堡山脉(即夸特兰巴山脉
abstinence	节制
ariboflavinosis	核黄素缺乏病
pucka	份量充足
insensitive	感觉迟钝
kennel	阴沟
campylotropous	弯生
worry	折磨
servohydraulic	伺服液压控制
nasa	and
tumult	拥挤
prefatory	前言
glitter	闪光
enervation	削弱
rush	急流
identifier	检验人
recording	录音带
denlture	假齿
particularization	细说
tuc	Congress
coleopteron	甲虫
pythonic	预言的
gradatim	渐渐
obscurantist	反启蒙主义者
longshanks	千鸟类之涉禽
echolocation	回声定位能力
best	最好地
highjack	抢劫
nuke	核武器
phew	哟
scarab	圣甲虫
synapte	连祷
formation	构成
interdisciplinary	各学科间
vitiator	损害的人
angus	爱神
sobranje	国民议会
coordination	同等
mix	混合
ligure	紫玛瑙
lycian	利西亚语
hydrocinnamic	aldehyde
unnerve	使失常
hierurgy	礼拜式
malingerer	装病以逃避责任者
meliorable	可改善的
residually	残余
yokefellow	伙伴
pretor	长官
capillary	毛状的
ciliolate	有纤毛的
pds	Process
isolecithal	=homolecithal
savoury	香喷喷
phoney	骗人的东西
seriate	连续的
colorimeter	色度计
appetent	本能欲求
vertimeter	升降速度计
overhaul	检查
lamia	妖妇
pentazocine	镇痛新
millenarianism	信千福年
molucan	摩鹿加群岛的
puff	蓬松
macrolith	棒状石器
demagoguery	煽动行为
mortar	灰泥
agley	弯曲地
misogynic	嫌忌女人的
licity	合法地
sunbrowned	被太阳晒黑
byronic	拜伦风格的
guilt	罪行
pivot	中心点
stanch	忠实的
grown	grow的过去分词
jonquil	长寿花
shopping	买东西
overhappy	过于快乐
carbonous	碳的
hemipod	quail
sustain	支撑
commonsensible	常识
travesty	滑稽的转写
pathbreaking	开创性
wrong	坏事
rebel	反抗的
trichoma	毛状体
factoried	多工厂的
consistorial	监督法院的
subseptate	稍具隔膜的
lophodont	脊牙型
bengali	孟加拉人
hypnotize	使恍惚
prepsychotic	精神变态前
glibly	流畅
rampage	发怒
scurrility	谈吐卑劣粗俗
arbitration	仲裁
entreprenant	有上进心的
corruptible	可以贿赂
paralytic	瘫痪的
pergola	棚架
multiprobe	多星球探测器
percuss	轻叩
activise	使活泼
unsling	从悬挂处取下
leastwise	至少
superabundance	多余
personality	诽谤、人身攻击
expressionist	表现主义
hma	Memory
vaginated	有鞘的
keenness	敏锐
subgroup	隶属的小组织
hide	隐瞒
suctorial	吸
cityward	朝向都市的
velskoon	=veldschoen
gainsay	否认
wednesday	星期三
roofscape	屋顶风景
anginal	咽炎的
thalamostriate	连接丘脑和纹状体的
decasyllabic	十音节
turnery	车工工艺
depreciation	轻视
parian	帕罗斯岛的
antianxiety	抗焦虑
nameable	可指名的
pelagian	远洋
circular	圆形
snig	小鳗鱼
gentilism	异教
suboesophageal	食管下的
acrr	American
lamenting	悲伤
overwinter	过冬
germinal	幼芽
feedingstuff	饲料
penitential	忏悔
pleurisy	肋膜炎
openable	能开的
georgette	乔其纱
wandering	蜿蜒
unitary	单式
peculator	挪用公款者
maintainable	可维持的
fastish	尚快
buggy	尤指旧汽车
psychograph	心理描绘图
karlsbad	=Karlovy
crossly	横地
microstation	微型工作站
howff	常去之地方
poliovirus	脊髓灰质炎病毒
chrp	Platform
unfinishable	结束不了的
sphygmogram	脉搏曲线
plush	豪华的
bootprint	靴印
unwilling	不愿意的
stellular	星点花样
chagrin	委屈
sdcd	高密度光盘
illustrative	例证性的
transformative	变形的
sestet	六行诗节
multisession	多区段
water	水生的
accompanying	附随
albescent	带白的
discifloral	盘状花的
windowy	洞多的
loon	笨蛋
bally	讨厌的
tartarian	鞑靼的
expeditiously	迅速
caravansarai	大旅舍
humic	从腐殖质中提取的
copartnership	合作
cologne	科隆
pyaemic	毒血症
corresponding	相应的
globuliferous	产生极小球体或小滴的
volitant	活动的
impossible	不会发生的
axman	用斧者
slowly	慢慢地
switzerland	瑞士
machinability	切削性
torture	折磨
