sterling	标准纯银
unequal	不同
behring	白令
intrigant	私通者
psia	pounds
sarape	一种华丽的毛织布
toxemia	血毒症
parochialism	乡土观念
jaculatory	投掷的
preman	猿人
cornuted	角状
objettrouve	自然发生的艺术品
antarctic	南极
course	追猎
cqd	请速来救
everett	埃弗雷特
scoreless	没得分的
biscay	of
dogfight	在空中缠斗
tantalizing	非常着急
shashlik	=kabob
colligation	缚束
villeinage	隶农制
quadrivial	四高级学科
muster	清单
halfhourly	三十分钟地
weak	疲软
maurist	莫尔会修士
maiden	未婚的
projectile	发射的
schnozzle	鼻子
aftercare	安置
foamy	起泡沫的
pub	客栈
ferned	长满羊齿植物的
traffic	买卖
wrangle	放牧
agedly	老年人似
isometric	等大的
manipulable	可以操作
remedy	矫正
roumanian	罗马尼亚人
flourish	挥动
evasion	借口
unploughed	未犁过的
cno	Operations海军作战部长
reembark	重新搭载
malpractice	玩忽职守
depletory	使空虚的
inbreathe	吸入
ferricyanide	铁氰化物
regretful	惋惜
unaccountably	不能说明
appetent	意欲的
beloved	爱人
great	意
tepid	温热的
bituminous	含沥青的
mammiform	乳头状
inference	推论
chirkle	喧闹地干活
denaturalization	剥夺国籍
chauvinistic	沙文主义的
phenolize	用石炭酸处理
cmh	国会荣誉勋章
corneal	角膜的
overweening	夸大了的
hematopoiesis	生血作用
humpy	多隆肉的一般的
cap	军帽
deplorable	可叹
doited	老朽
site	站点
literalness	表面意义上的
sagaciousness	聪敏
paroecious	雌雄有序同苞
fecund	多产
suberin	软木脂
adsorbent	吸附的
northmost	最北部的
gothicism	哥特式情趣
tridigitate	有三指
lotic	激流的
lactam	内酰胺
muscleless	无力
lentiform	透镜的
narcomania	麻醉剂狂
prospekt	大道
inched	有英寸刻度
warmer	温热装置
receptivity	感受性
seafaring	航海事业的
decauville	窄轨轻便铁路
incogitable	无法猜测
gelignite	一种含硝化甘油的炸药
pronounce	宣告
affluently	流畅
unwanted	多余的
dioxide	二氧化物
gawky	笨拙的
melting	溶解的
gliding	流畅的
restoration	修补
prelim	预备考试
carburet	增碳
exstrophy	外翻
chirpy	快活的
rampant	猛烈的
renunciate	放弃
tuberculosis	肺结核
oven	烤箱
atheromatous	动脉粥样化的
unblest	受诅咒
rack	榨取
baboonery	粗鲁的行为或态度
caodaist	高台教教徒
shanachy	吟游歌手
placet	赞成票
pecksniff	式的
apostatize	变节
apport	物体显形
tangent	离题
sheepman	养羊人
czechish	捷克人
reast	=reest
polling	投票选举
second	片刻
dextrad	向右侧
piccanin	黑人小孩
backslid	backslide的过去式
leak	漏出
esophagoscope	食管镜
communistic	共产主义
advance	前面的
doily	小型装饰桌巾
piccalilli	辣泡菜
umbra	暗影
wye	Y字
nightlong	通宵
scale	测量
hardhearted	心肠硬的
heteronomy	非自治
caterwauling	叫春似的
abstractively	抽象性
tgv	a
connivent	逐渐集中
napoleonist	坚持拿破仑式行为的人
genova	=Genoa
protoxide	低氧化物
spirometer	肺活量计
grammaticalize	使符合语法
hydropac	太平洋航行危险警报
tackify	使更黏
rheumy	稀粘液的
nam	nim的过去式
daysman	仲裁人
rhapsodic	狂想
transmutative	变形的
augusta	奥古斯塔
waste	荒芜的
favorite	喜爱
asturias	阿斯图里亚斯(曾是一王国
dowthcory'	NULL)
this	这个
current	通用
omnifaceted	各方面
feverish	兴奋的
cembra	瑞士五针松
egghead	受过高等教育的人
factually	确实地
process	处理
uncloak	揭露
hyracoid	蹄兔的
spermatic	精液的
monofunctional	单官能
extradite	受……引渡
daze	迷惑
knocking	爆震音
unimplemented	未实施
possess	占有
pasteboard	不坚实的
distribution	销售
deliberately	故意地
perfusion	灌注
criminatory	使负罪的
unconformity	不顺从
distress	使穷困
dendrophilous	爱树
virtuoso	艺术品鉴赏家
sportswear	休闲活动穿着的衣服
multocular	复眼的
gobbledygook	官样文章
celoscope	n
nasty	肮脏
ohmage	欧姆电阻
robbery	抢掠
elude	躲避
exhaust	使精疲力尽
gager	计量者
menstrua	的复数
egged	煽动的
prattle	孩子话
ahead	在前
wire	电线
fetial	处理国际问题
reiterative	反复语
considerately	体谅地
sylvicultural	造林学
entitle	给……称号
photodramatist	戏剧片编剧
rigmarolish	胡言乱语的
okay	好的
raffinose	棉子糖
beetling	突出的
inexpressive	无意义的
thousand	无数
issueless	无子女
pluralistic	兼职
aeonian	永久的
lichenaceous	青苔属
forehanded	对将来有预备
appetite	爱好
zone	环绕
pretty	可爱的
lipopectic	脂肪固定
viatica	的复数
webernish	有点像韦伯恩音乐
francophonic	讲法语
domesticate	使安于土地
ethnoarchaeology	文化群落考古学
matara	棕色海豹皮
stalino	斯大林诺
dnestr	=Dniester
scumble	渐淡
jejune	缺乏营养
firewater	烈酒
banalize	使陈腐
martial	威武
infradian	超昼夜的
railroad	由铁道运输
dixit	武断的话
butterball	小鸭的一种
increasing	越来越多的
mustard	芥末色
escharotic	腐蚀剂
biovular	二卵生的
proprietary	所有
childie	小孩儿
kudos	荣誉
premise	提论
paternal	父亲
diminishable	可降低
acardia	无心畸形
transformation	转化
elegant	上品的
uprising	升起
exertive	使努力的
expectably	如所意料或预期地
outspread	展开
yva	Athority
subequal	几乎相等的
amenable	应服从
gramarye	魔术
allopelagic	生于不同深度
candlewood	蜡烛木
enfeoff	授予领
stabilizer	稳定器
rapture	全神贯注
lytta	纵行蠕虫状纽带
wale	使有鞭条痕
favorer	保护者
obtainable	能得到的
late	在晚期
binoculars	双眼望远镜
gilding	贴金箔
dae	of
eclat	荣誉
diggable	可挖掘的
suit	合适
nocturne	夜景
spongiopilin	海绵毯
imparipinnate	奇数羽状
fair	公平
goon	呆子
inferior	下等的
gilbertian	吉柏特派的
gilly	男仆
fibrous	含纤维的
jagged	有凹口
human	人类的
civvies	便服
scolops	感橛
chirpy	嚓嚓叫
strisciando	滑唱
widthwise	横向
monogamic	=monogamous
godwinian	持戈德温见解者
blowzy	蓬乱的
desiccated	干的
wanda	旺达
doubloon	从前西班牙金币的名称
cole	油菜
skimming	所撇取的浮沫
ferruginous	含铁的
scoria	矿渣
supranational	超国家的
cpi	Index
eschatological	来世论的
purport	声称
dateable	可确定时代的
girlo	女孩子
incipient	初始
countershaft	间轴
amphitropous	植物横生的
sanguicolous	血寄生的
cancerophobia	恐癌症
underscrub	林下灌丛
queasy	不稳定的
claustrophobic	幽闭恐怖症的
hereat	是故
broad	阔的
file	锉刀
chloroethene	氯乙
retriever	取回的人
therein	在那里
antivenin	抗蛇毒血清
unbefitting	不合适的
aphetic	非重读字首之消失的
imperfect	有缺点的
numismatics	奖章类的研究
kwando	宽渡河
zither	筝
amphibiotic	幼时生长于水中
erumpent	突然现出
hemerocallis	lily
letterer	文字书写员
amoeboid	似变形虫的
wipo	世界知识产权组织
nutty	坚果般的
connivent	靠合
increasable	可增加
fighter	好战者
adytum	内殿
inobservancy	=inobservance
omniscience	全知者
germanious	含二价锗的
knitwear	毛织类
jobbernowl	笨蛋
fidley	锅炉舱顶棚
lambeth	伦敦朗伯斯区
phonographic	留声机
hydrometer	液体比重计
biovular	二卵生
goumier	参加北非士兵小分队的北非人
zoopaleontology	古代动物学
thir	pro
delinquent	失职
psychotomimetic	重现精神病
zither	齐特琴
gular	在咽的
covered	掩藏着的
lumbaginous	腰肌痛
unhip	不谙时髦
vesica	膀胱
prediabetes	前驱糖尿病
unforced	不费力
great	大写的
boiler	汽锅
antagonize	敌对
freehold	自由保有
proestrus	=prooestrus
hemistich	诗的半句
thornlike	象刺一样
shapelessly	不成形地
unbusinesslike	不认真的
benefic	有益
destructively	狼狈地
lamenting	悲哀的
starched	拘泥刻板的
locomote	移动
bibliomania	藏书狂
aeromechanic	航空力学
radiophysics	无线电物理学
nondrinking	不喝酒的
daytale	按日计酬
finny	鳍状的
aeriality	类似空气的性质
aphrodisiac	春药
reinless	无缰绳的
wirepuller	背后牵线者
venomous	狠毒
nondescript	无以名状
heaps	非常
insuperable	不能制胜
equilibrate	相称
inducement	诱因
skunk	欺骗
radiolarian	放射目
touch	联系
squalidity	污秽
intact	尚未被人碰过
thunderstroke	雷击
thule	极北之地
crumple	压皱
rotary	旋转的
putty	灰泥
fanged	有牙根的
eluate	洗出液
corkily	喜不自禁地
accusatival	宾语
oceanological	海洋学
gloomy	阴沉的
quatre	四点
improbity	邪恶
equitable	公平的
laager	临时防御营
bolt	螺钉
cineaste	热爱电影者
undaunted	勇敢的
mna	Master
pathognomonic	能确定诊断的
reliant	依靠的
livelihood	谋生
underlife	私生活
hairtrigger	一触即发的
domesticable	习于家居
stannic	四价锡的
neighborless	无邻居
enhancive	增加的
bolter	退出党派者
spat	掌击
pasture	牧场
dyspepsia	胃弱
scoria	烧过的石头
spill	溢出
depot	火车站
demagnetise	=demagnetize
resolved	断然
corruption	堕落
cratered	有坑洞的
fuliginous	煤烟色
luncheteria	自助小吃馆
amy	艾米
circumgalactic	环星系旋转的
predominate	统治
radiometry	辐射线测定
extractor	退弹簧
reject	否决
trifle	玩弄
decimalise	=decimalize
cosmetologist	美容师
unbandage	从……上解去绷带
moonset	月落
lrv	lunar
soed	Shorter
watteau	华托式的
samlo	三轮出租汽车
implied	含蓄
hymenotomy	膜切开术
dvi	Visual
certain	无疑的
farcically	闹剧一般
sissified	女人腔
suborning	受贿
incalescent	温度渐增的
huffish	傲慢
squelcher	使对手哑口无言的辩论
flock	群
austenian	=Austenite
dummkopf	傻瓜
phlogistic	炎症性的
commination	诅咒
impar	奇数
ligeance	领地
shutter	关上
imperfect	未完成的
volatilizable	可挥发的
pitch	前后颠簸
restorable	可恢复的
thar	Desert塔尔沙漠
disturbingly	动摇
reflectometry	反射计
unicostate	中脉显明的
orcish	兽人
splash	泼
impercipient	无知觉
perforative	能穿孔的
ungimmicky	不骗人的
ragtop	敞篷汽车
weedy	杂草多
faery	幻想的
duet	二重奏
pardi	确实
literaryism	过于推敲
sclerosant	致组织硬化物质
sprig	年青人
dovetail	用鸠尾榫接合
monophyllous	具一叶
emergent	紧急的
prattle	说半截话
actionist	行动主义者
nostril	鼻孔
elysian	幸福的
delicate	棘手
boggy	沼泽多
steamship	轮船
dyeable	可染色的
orbicular	球形
lagthing	挪威议会的上院
abominator	嫌恶者
rakish	俏皮的
adviser	指导老师
heeler	手下
bumbailiff	执行官
mural	壁饰
diathesis	因素
rabbinism	犹太的法学博士的语风
dank	阴湿寒冷
nullify	无效
enlistee	士兵
un	家伙
okie	俄克拉荷马州民
egodystonic	与自我不相容的
argumental	辩论
facilitation	助长
resonatory	引起共鸣
aperitive	有轻泻效应
amido	氨基
misevolution	异常进化
salutatory	祝词
squash	拥挤的人群
actiniform	放射形的
binal	孪生
circumplanetary	环行星旋转
toadfish	蟾鱼
vestibular	门口走廊
cutoff	关车
involute	渐开线
indebtedness	受恩惠
stratocruiser	其商标名
abiogenetic	自然发生的
lochial	恶露
unconfessed	未认罪忏悔
hurl	猛投
lanceolated	枪尖形的
deepwater	靠近海洋
infatuated	昏头昏脑
confine	禁闭
webbed	有蹼
tweedle	鸟鸣声
gemman	=gentleman
siphonet	蜜管
buic	Interceptor
question	问题
ammonia	氨水
gaby	傻瓜
adullamite	持不同政见派别中的一员
unfluctuating	不变
assiduously	勤勉
dilettantish	半瓶醋似的
logistics	后勤
laudable	值得称赞
impureness	污染
moneygrubber	财迷
holpen	help的过去分词
media	媒体
uncomfortable	不安
messenger	报信者
adjectivally	形容词般地
graymail	扬言要公开政府机密的讹诈
kuwaiti	科威特人的
lairy	华丽而俗气的
coprolagnia	粪性淫乱
pepsin	胃蛋白酶
cretaceous	白垩纪的
paper	文件
still	静止画面
peshito	伯西托本
tetrachotomous	四叉的
knitwork	编织品
unfaltering	坚决
universality	广泛性
microporosity	微孔性
gironny	=gyronny
overdestroy	超量击毁
goggle	风镜
rally	重整旗鼓
scombriform	=scombroid
tagraggery	乌合之众
take	捕获量
pigeonhearted	害羞的
winceyette	棉绒
extinguishable	可熄灭的
equanimousness	镇定
baronetage	从男爵的名册
olympian	奥林山神
hydrargyric	汞的
gun	炮
amboyna	黄柏木
allotee	接受分配物的人
beerburst	bust
actual	现行的
cyclothymia	循环性情感气质
habenula	系带
septenary	七个一组
scaled	有鳞状斑点
appropriable	可供专用
polymnia	=Polyhymnia
appreciable	可感知的
latter	后者的
gleam	隐约地闪现
frisbee	飞盘
athlete	运动员
lifeline	生命线
trotty	活泼
decretal	教令
priority	优先
tapa	树皮布
dissolute	肆意挥霍的
lionize	游览……名胜
ventil	活栓
sniperscope	夜袭镜
ourology	=urology
amok	杀气腾腾
filaceous	丝质
sexagesima	四旬斋前的第二个星期日
excuse	口实
loaves	大块烤过的食物
throne	王座
twitch	颤动
untimeous	=untimely
generous	有雅量的
sericate	丝的
slowness	迟钝
muzz	使迟钝
unifoliate	有单叶的
icrp	Radiological
pertinacious	固执的
autotomize	自割
larghetto	稍缓慢地
lactary	奶的
fluke	锚爪
kirghizian	吉尔吉斯的
collect	搜集
ethnarch	殖民地等的统治者
frau	已婚的女性
compnserve'	NULL)
thereagainst	与之相反
peregrin	隼
umpire	任裁判
fib	打
savoury	可口
presidial	主持
uncloak	脱去外套
superactinide	series
worry	使苦恼
maryknoller	马利诺外方传教会的神父
mystical	奥秘的
interpolate	插入新语句
liquescent	易液化
fumigate	使发香
countertype	相等物
matey	友好
incurment	招致
squashy	易压碎的
sabang	沙璜
portly	肥胖的
warty	有疣
vindication	拥护
answer	抗辩
peg	坚持不懈地工作
welsher	欺诈者
hermeneutics	诠释学
underfur	下层绒毛
laystall	垃圾堆
compound	混合物
capable	有可能
vendition	贩卖
polyploid	多倍体的
loyalism	忠义
scaled	有鳞的
zoon	发育完全的个体
voila	那就是
unfadingly	不褪色地
blackhearted	邪恶的
ithun	=Idun
choice	精选品
archaism	古体
square	正直
scenography	透视法
suppressible	可以禁止
untilled	未开垦
sierran	锯齿山脊区居民
crosier	权杖
mooneyed	患夜盲症的
brainteaser	谜
murmur	怨言
poikilothermic	变温的
uproot	根除
palpal	须的
umt	普遍军训
infatuatedly	迷恋地
walloping	极好的
multiform	多种形式
analysissitus	拓朴学
equivocally	含糊
tortoiseshell	龟甲状的
excisable	可抽税的
dithering	抖动
indifference	不关心
magniloquent	使用夸张语言
cid	首领
thaumaturgy	魔术
trichomonal	毛滴虫
unconfirmed	未经证实的
crackable	会粉碎的
morpheme	词素
acidimetric	酸量滴定的
eschatological	末世学
transudation	渗出物
helianthine	甲基橙B
electroacoustic	/
slow	减速
lop	垂下
weasel	告密者
jarp	敲
dividend	奖金
begird	缚
fatten	使肥胖
fijian	斐济人的
administerial	管理上的
vertical	垂直的
noblest	华丽的
undercooked	煮得欠熟
withdrawal	取消
microslide	显微镜载片
exhibition	表现
kero	=kerosene
driveller	说傻话的人
love	爱情
thermotropic	向热的
chott	北非小盐湖盆地
chresard	可用水量
pooftah	搞同性恋的男子
merry	愉快
bowlder	圆石头
rasc	Service
prodrome	序论
responsible	可靠的
craftsman	手艺精巧的人
workroom	工场间
nastily	污秽
feculent	不洁的
turkophil	亲土耳其者
kept	keep的过去式和过去分词
doura	=durra
pious	虔诚的
baric	含钡的
antidromic	逆行的
gbf	Great
electroacoustic	电声学礳ally//
jiangsu	江苏
guianese	圭亚那语言
strait	窘迫
hootananny	=hootenanny
continual	连续的
dismemberment	支解
ampliation	扩大
monovalent	仅能抵抗某种病菌的
propellent	推进者
awkwardness	不雅观
exhausted	耗尽的
suppletive	异干互补的
muscleless	无肌肉的
rehandle	重新处理
judaeophil	善待犹太人的
lunate	新月状的
manyatta	村塞
sakellarides	萨克拉里德斯棉
greeneian	格林风格的
hip	使忧郁
wondrous	非常的
pursual	追逐
leister	鱼叉
descriptor	描述符
uselessly	无益
caoutchouc	天然橡胶
sprite	调皮鬼
retranslate	译回原文
balame	平衡
unyoke	解开
jiggered	等的委婉代用语
gynecic	=gynaecic
transcurrent	横亘的
inventer	发明者
notion	意见
trial	试验
sciurine	松鼠科动物
gigantism	巨人症
trimetallic	三金属
sphygmometer	血压计
whole	完全之体系
exabyte	美国Exabyte公司是全球著名的磁带机及磁带库专业化制造商
nighttide	夜潮
unevenness	不平坦
impayable	无与伦比的
resorbent	再吸收
canard	谣言
subhead	小标题
fils	儿子
mtbf	Mean
spendable	可使用
unwarrantable	不正当的
quillback	背鳍前部象翎管而突出的北美产淡水鱼
tara	再会!
dumb	无说话能力的
ambsace	最无价值的东西
gramma	grass
blowhard	吹牛大家
effable	能被说出
honeyed	多蜜的
corollary	必然的结果
hanuka	献殿节
magnetron	磁电管
bale	悲哀
redeemable	可弥补
fun	供娱乐用的
limnological	湖沼学的
fiend	能手
felicitous	极为适当
fancy	想象力
franciscan	圣芳济会的修道士
lush	青葱
biyearly	二年一次
saint	道德崇高的人
anorexia	厌食
enteritis	肠炎
outperform	胜过
assertative	=assertive
stupefacient	麻醉药品
slowish	速度稍慢
nagged	被压制
abstruse	奥妙的
sheep	胆小鬼
worsted	精纺毛料服装
deter	阻止
very	十足
antique	古时
regal	帝王的
ontic	实体
caginess	狡诈
consolidation	巩固
subnuclear	亚核
mistaken	错误
intacta	未经触动
qumran	库姆兰会社
shipbuilding	造船
epidermoid	表皮状
panini	帕尼尼
inviable	不可能生存的
os	style
callous	硬结
audiovisual	视听教材
jackeroo	当新手
unequal	不平等
manifestant	示威运动的参加者
byroad	间道
halation	照相底片上显现的光轮状晕
monseigneur	阁下
supersubstantial	超物质
sailer	船
hexamethylene	环己
parlor	客厅的
unmeant	无意的
untasted	未体验过的
exaggerated	言过其实的
underplay	表演有克制
damned	被咒骂的
pubescence	软毛
unscrupulous	不谨慎的
miesian	密斯的
celadon	灰绿色
temperate	温和
species	核素
mussily	吵闹地
perthshire	佩思郡
homy	自在的
ideographic	表意
halothane	三氟溴氯乙烷
soilborne	土壤传播的
popular	流行
rightable	可纠正的
inebrious	喝醉的
ardor	热情
superciliary	眼睑上的
pigeon	鸽子
deprecatingly	恳求地
saddler	乘坐用的马
smogbound	烟雾弥漫
finely	细微
bimetal	双金属材料
zontian	诚信社社员
inconsolable	极为伤心
clarissa	克拉丽莎
cestoid	绦虫
tot	加起来
brachydactyl	短指
empower	使能够
arseniureted	砷化
easiness	舒适
knurly	多瘤的
concutient	受到震荡
highchair	小孩吃饭时所用之高脚椅子
telly	电视
hexahedral	具有六面
thistledown	非常轻
undistinguishable	/
jutty	码头
holocaine	芬那卡因
ecotage	生态破坏演示
pocket	口袋
absorber	吸收体
wabbly	不稳定的
lemma	词条
cephalometry	头部测量学
watermelon	西瓜
jove	木星
former	以前
remittal	豁免
datacenter	资料处理中心
expire	呼气
termini	界标
mature	成熟
notarial	公证的
firemaster	消防队长
keester	手提皮箱
ascending	向上
tokonoma	床之间
vector	矢量
ridge	翻土作垄
floodwall	防洪石堤
facp	College
corporality	肉体的存在
mortar	迫击炮
depositional	沉淀
isostatic	均衡说的
shag	使杂乱
quotidian	平凡
intake	引入的量
tatty	褴褛的
hmnzs	Ship新西兰皇家海军舰艇
uncharming	缺少魅力的
subaltern	副官
miscounsel	误劝
continency	节制
surfacely	肤浅
hamburger	碎牛肉
helicline	螺旋状坡路
nonallergenic	不会引起过敏的
sacher	萨克大蛋糕
suzerain	庄主
capitulaitonist	投降主义
arty	装艺术
perversive	颠倒
fixing	稳固
atomic	原子的
transmembrane	横跨膜
crmp	皇家宪兵队
hexahydric	六元
admission	供认
peregrination	旅行
heliotypography	珂罗版印刷
phs	Public
slenderize	使细长
ensanguined	血染的
muffle	蒙住
snide	卑鄙勾当
rhodic	四价铑的
outrun	超过
sharif	沙里夫
taking	会传染
wellhead	水源
home	住宅
aquanautics	水下勘探与研究
cockshot	掷棒打靶
waterway	水路
contravention	矛盾
judiciable	可被审判
scurviness	粗俗
unspeakable	无法形容的
demonic	恶魔的
uneventful	平静无事的
snowslip	雪崩
show	说明
pyroelectric	焦热电
sericterium	泌丝器
insalubrious	有害的
restrainedly	有限制
cog	上齿轮
festive	庆祝的
octaploid	=octoploid
lean	贫乏
thiomersal	邻乙汞硫基苯酸钠
welsh	威尔士人
unbalanced	不稳定
cuttable	可缩减的
searchless	不可测知的
imperfect	未完成过去时
bedbound	卧床不起的
invariably	总是
sprawl	蔓生
solion	电化传感与控制装置
resorption	再吸收
unfoiled	未被征服
carpool	合伙使用汽车
reuter	路透社
sunlit	阳光照射
confutation	驳倒
yachtie	快艇主人
karstology	喀斯特学
rampageous	暴跳的
pucker	皱纹
shivery	寒冷
unsheathe	抽出鞘
elective	随意选择
reserved	包租的
unwholesome	不健康
rollick	欢闹
needful	必要的
resign	辞职
pluvian	多雨
maligner	中伤者
perplexed	不知所措的
backflash	逆流而着火
mim	假装羞怯的
appallingly	令人毛骨悚然地
immunohistology	免疫组织学
segmentalize	使分成部分
eagle	鹰状标饰
ruritanian	对王室持浪漫主义观念的
mexicali	墨西卡利
racemiform	形似串状花
panicum	黍
wondrous	令人惊奇
can	罐头
adsuki	=adzuki
mundane	世界的
innative	以生具来
clodhopper	乡巴佬
oswald	奥斯瓦德
unwashed	没有洗的
looped	成圈
ledger	横木
kiln	在干燥炉干燥
misquote	错误地引用
maladaptive	不适应的
missish	矜持
bustling	熙熙攘攘
flexible	柔软的
inegalitarian	不均等
plush	舒服
sitting	入席
typecasting	铸字
slaky	多烂泥
rippling	潺潺流水般声音
austere	操行上一丝不苟的
basilar	头盖骨底部的
overleaf	在背面
landlordly	地主的
sarsa	撒尔沙
companionably	友善
imam	阿訇
equivalent	相当的
enterogastrone	肠抑胃素
untwine	解开
righto	好
javascript	Java描述语言
philologic	语言学的
facinorous	罪孽深重的
sustain	持续
mitigative	缓和
ludicrous	愚蠢的
razor	剃
toolmaking	工具修理
voluminous	卷数多的
inconstantly	不稳定地
anatomical	解剖的
bequeath	遗留
uropod	腹足
helen	海伦
carefulness	慎重
infundibulate	漏斗管的
boarfish	帆鳍鱼
amenable	有服从义务的
debited	记入借方
hypophysis	脑下垂体
postbox	邮箱
transducer	变换器
ragi	鸭脚稗
vasostimulant	刺激血管的
cavalier	对女人献殷勤
removed	离开
townie	城市生活的
sned	砍掉
necrophobia	死亡恐怖
gaga	狂热的
cyclopaedic	渊博的
ambuscade	伏击
heterosexual	异性
hustings	议员竞选演说坛
dismally	沉闷地
cyclo	三轮车
filarial	丝虫的
valiantly	勇猛
bovril	Bovril保卫尔牛肉汁
polycystic	多囊的
livable	可住
acidosis	酸液过多症
sightworthy	值得一看的
upstretched	向上伸出
discutient	消散药
contrasuggestible	抗暗示
elevenfold	十一倍的
impeccant	无缺点
knurr	节疤
octal	八进制的
confront	对抗
taligrade	行走时重量落在足外侧
steep	沉浸
postiche	硬加
dogged	顽强的
edgily	轮廓过分鲜明
unslumbering	从不睡眠的
retrocede	归还
transtainer	移动式集装箱吊运车
twinned	成双成对
dtv	desktop
cardiogram	心电图
spur	刺激
scheduling	行程安排
butcherly	残忍地
devour	毁灭
bpd	day
merchant	商业的
morbid	病
cmtc	Citizens''Military
clonus	抽筋
paramedian	靠近中央
hypergolic	自燃燃料的
consubstantiate	kRnsEb5stAnFeIt/
bathos	陈腐
nonexportation	禁止出口
trioxide	三氧化物
wolfish	贪婪的
proleg	前脚
ozonize	变成臭氧
nymphomaniac	女色情狂
leaper	跳跃者
denaturalization	非自然化
adsorption	吸附
neuropharmacology	神经药理学
distobuccal	远中颊
squamaceous	有鳞的
tabetic	脊髓痨病患者
turfite	热衷于赛马的人
elfish	小妖精
unpledged	未经保证的
vomitive	呕吐的
flourish	兴旺
ilka	每一个
put	笨蛋
mechlorethamine	二氯甲基二乙胺
trawl	用拖网捕鱼
twinned	成双成对的
cloudworld	云景
divergency	分歧
garibaldian	拥护加里波第的
febrifuge	解热药
discouragement	挫折
confinement	禁闭
faery	仙女
enterpriser	企业家
execute	执行
tangent	切线的
bidon	盛液体的有盖容器
casually	随便地
corollar	花冠
pneumatic	汽力
whitefly	粉虱
subliminal	潜在意识的
rhinogenic	鼻性
cathepsin	组织蛋白酶
voxel	三维空间中定义一个点的图象信息的单位
pastureland	牧场
losing	输的
locality	位置
crust	结硬皮
derivable	可诱导的
exegesis	注释
excess	额外的
tot	小孩
haunting	不易忘怀
sun	是JAVA语言的创始者
brevirostrate	短喙的
humanoid	有人的特点的
substruction	下部结构
tonguelet	小舌
criminological	犯罪学的
crossed	交叉
jar	震动
rabies	恐水病
battik	蜡染布
margarin	人造奶油
mitigative	平静的
coony	机灵
natural	正常的
stray	迷路
unshirted	赤裸裸的
communicant	通知者
thetford	ware
smacking	活泼
chauvinism	沙文主义
carrollian	具有卡罗尔风格
lustily	精力充沛地
listed	列出
panegyrical	颂词的
reenaction	再制定
supernormal	非凡的
multiflora	rose
frontogenesis	锋生
halfpence	半便士之值
necrology	死亡启事
nuchal	项的
smoggy	烟雾弥漫的
helminthology	寄生虫学
chloasma	黄褐斑
foreboding	预兆
chiba	千叶
nonprincipled	与原则无关的
uncatchable	无法捉住
hudson	美国
inexplainably	难解说
interventionism	干涉主义的
ell	旧时量布的长度
rann	to
rabble	下层社会
spill	木片
monadnock	残留山丘
tarada	独木舟
hummock	沼泽中的肥沃高
antagonistic	敌对
fratch	吵架
osculatory	接吻
dashi	鱼汤
lanceted	矛尖状装饰的
stuporous	不省人事
repose	寄托于
corporately	团结
frg	德意志联邦共和国
whid	轻捷地走
fleche	小尖塔
attrited	磨损
oncornavirus	致癌RNA病毒
verdant	翠绿的
vanessa	瓦内萨
snubbingly	厉声制止地
psephomancy	石子占卜
vesicatory	发泡药
lighthouse	灯塔
dense	浓厚的
frankenstein	作法自毙的人
pasteboard	纸牌
nosogenesis	致病原因
diamorphine	海洛因
cozily	舒服地
subservience	有用
comparable	比得上
individuate	赋予个性
tumescent	肿胀性的
hypophloeodal	皮层下的
gaslit	以煤气灯照明
carnify	长肉
brd	德意志联邦共和国
hamitic	哈姆族
esophageal	食管的
literal	文字
straggling	落后
uncondescending	不俯就的
bamboozlement	欺诈
dizzyingly	令人昏乱地
fall	落差
democratic	民主的
indeterminist	非命运论者
posteriorly	其次
deadbeat	游手好闲者
virus	恶毒
cetacea	鲸类
dungeness	邓杰内斯蟹
fenestrated	有孔的
niedersachsen	=Lower
tad	小孩子
leglet	脚镯
appeasable	劝解得了的
undertake	采取
sunderance	分离
plantsman	花卉栽培者
cleocin	氯洁霉素
emphysema	肺气肿
lukan	=Lucan
parasitical	食客
radiotracer	放射性示踪剂
endosarc	内质
snuffless	不需剪烛花
fauteuil	太师椅
cornichon	醋渍小黄瓜
inductor	圣职授与的人
outvalue	价值高过
discordance	不和
eda	Electronic
noyade	溺刑
stackyard	堆谷场
learned	有学问的
uae	United
meteor	流星
slipstream	起带动作用的助力
comedown	衰落
iou	借条
ablare	喧哗地
rhinolithiasis	鼻石病
polyglottal	=polyglot
prescriptive	说明性
wilding	野
chastening	矫正性
local	乡土的
canalicular	小管
argental	似银的
akin	同族
rhodic	高价铑的
stomatic	气孔的
stepwise	逐步的
tribromoacetaldehyde	三溴乙醛
pathetically	可怜地
prostatotomy	前列腺切开术
invectively	恶言恶语地
fretful	烦燥
walloon	瓦龙人
vdr	视频磁盘录像机
smileless	严肃
arnold	阿诺德
ciliary	纤毛
recount	叙述
brachydactylic	短指
put	航行
dhtml	dynamic
marvy	=marvie
physiographic	文学
insistent	坚持不懈的
tough	粗暴
king	统治
ewery	有水罐毛巾的房
home	有效
nondescript	难以区别
messianic	弥赛亚的
retinoblastoma	眼癌
wheelhorse	辕马
improper	不合礼仪
assistant	辅助
do	实行
eponymous	齐名
dishonorable	不名誉的
wash	冲出
hypocrinism	内分泌腺官能不良
presentive	直接表示概念
billycock	小礼帽
vigilant	警醒
professional	职业
servantgirl	年轻女仆
ramification	分叉
chymotrypsinogen	糜蛋白酶原
uncorrected	未修正的
sue	提出请求
triserial	只有三个轮生体的
