toiler	劳动者
reproducing	再制造
celibate	禁欲的
sogat	Society
biparty	两党连合的
lander	登陆车
leeway	偏航
lobectomy	叶切除术
unbelievable	难以置信的
extension	范围
stannic	四价锡
infiltree	以渗透方法入境的人
carbuncled	用红玉
brahmanical	婆罗门
bisync	Synchronous
ruined	荒废的
irian	伊里安(即新几内亚岛
plus	正
esthonia	爱沙尼亚
goyische	=goyish
anthropophuistic	神人同性论
adoptionism	相信耶稣是上帝义子的学说
traumatology	创伤学
unobservant	不遵守的
shirty	发怒的
cpo	officer
washy	水分多
pettish	易怒
time	时侯
radioulnar	桡尺骨
entirely	一概地
amende	道歉
norward	向北的
beseech	恳求
fission	分裂
undress	使卸去装饰
lustrum	五年时间
valiancy	骁勇
bultery	食品贮藏室
skeptical	怀疑性
circumvent	包围
cithaeron	西塞隆山
genuflector	屈服者
radiator	水箱
loco	发疯
underground	地下的
motorise	=motorize
cast	浇铸
haddie	=haddock
pedicure	医师
brainwash	以宣传说服
jarring	刺耳
phanerozoic	显生宙
lissotrichous	头发直
undiscipline	无训练
radiate	有射线
lightless	不发光的
oblique	间接
conradian	康拉德的
vomitus	呕吐物
semidilapidation	半倾圮状态
perpetuity	永恒
inventer	发明家
apt	有……倾向的
coha	拉丁美洲事务委员会
opercula	operculum的复数
aeropolitics	国际航空政策
orthogonalize	使正交化
hydroborate	=borohydride
squeal	长而尖的声音
nonutility	实用
parasitical	寄生
recrement	再吸收物质
marsupial	有带动物
de	Direct
extemporaneous	即席的
pillar	栋梁
reflectional	反射的
flapdoor	活板门
disjuncture	分裂
staccato	断奏
voodooist	伏都教信徒
outback	内
brotherly	亲兄弟般
derry	民谣
senatorial	参议院的
weldor	焊工
appallingly	令人毛骨悚然
taxicab	出租车
ramayana	罗摩衍那
augsburg	奥格斯堡
seto	ware
fertilize	使受精
pa	巴拿马
courtlike	高雅
pitt	Farmer皮特街"农夫"
question	审问
evidentiary	根据证据
raptured	欢天喜
preferable	更好
ragwheel	链轮
abseil	沿绳滑下法
different	不同
calyceal	萼的
sidewards	横着
calorifics	热学
execratory	诅咒性
promote	/
antiquity	古老
dactyl	强弱格
tubulate	成管的
mitigant	减轻
irrelevantly	不合适
prudish	装正经的
cleo	克利奥
fluviatic	河川的
reserve	储藏量
hyssop	牛膝草
scratch	刮擦声
venerably	尊敬地
episematic	花纹使同种动物互相认识
kindlessly	冷酷地
catalyse	促成
regermination	再发芽
nocuous	有毒的
jackal	豺
snippet	小片
narrowfisted	吝啬的
familarity	亲密
glossography	注释
prestigious	享有声望的
polyp	息肉
subinfeud	分封
rap	轻拍
quisling	卖国贼
fogbroom	驱雾器
despicably	可鄙地
neurochemistry	神经化学
argentine	银
peasant	农夫
arrogantly	傲慢
maidenish	似处女的
ululance	=ululation
corporality	物质性
scoff	轻蔑地说
piezoresistivity	压电电阻率
appreciatory	感激
vliw	word
armscye	衣服上缝衣袖的孔
flexometer	挠度仪
sidle	横着走
subsidence	下沉
dicom	Imaging
psychobabble	心理呓语
bvm	Mary圣母马利亚
fertiliser	=fertilizer
venerably	崇敬地
subliterate	粗通文墨的
mumpish	愠怒的
contactor	电流接触器
roil	激怒
hazard	使遭危险
concurrence	同时存在
grotto	岩穴
anker	安加
grimly	可怕地
checkweighman	监秤人
withering	进行干燥处理
shtick	特色
sale	贱卖
shorten	变短
outset	开端
wrinkle	皱纹
whoopee	表示兴奋激动的心情时的叫声
blazing	炽烧的
rectificative	纠正的
indistinctly	朦胧地
wreckful	造成失事
campership	野营补助金
short	不足的
don	君
undergarment	贴身衣
sisterhood	姐妹关系
novelist	小说家
talisman	法宝
boswell	为密友写传记的人
achy	疼痛
upright	笔直
antagonist	敌手
separately	分离
catonian	严厉
trickish	难对付的
join	加入
shock	打击
psammophyte	沙生植物
divulged	泄露
elaborately	苦心经营地
puniness	微小
uterus	子宫
recitatif	=recitative
smartly	火辣辣地
penetrative	深刻
rudderstock	舵杆
losable	易失
dialectologist	方言学家
spook	惊吓
cherubic	可爱
afternoon	下午的
isogamous	同配生殖的
calorification	热的发生
ecr	electronic
exosmosis	外渗
punchboard	烂污货
cyclonet	旋流净化器
consolute	会溶质
oho	高兴
stretcher	担架
apractic	精神性失用症的
proser	唠唠叨叨的人
pet	亲昵
flagellant	苦修者
fall	阵亡
gemological	宝石学
decisive	决定性
sclerotic	硬化的
verbify	使动词化
received	被一般承认的
target	目标
troglodyte	老顽固
volsteadism	禁酒主义
throatily	嘶哑地
uncomfortableness	不舒适
wheatland	小麦
manipulator	操纵器
buffalo	美洲野牛
spark	活力
francophile	崇拜法国
tegular	瓦状的
infectum	未完成体
orbit	眼眶
daee	of
castellated	构造如城的
solmizate	用音名唱
suntandy	新天地公司
exude	发散开来
hyetal	雨量的
appalling	骇人听闻的
malolactic	苹果乳酸的
relate	发生关系
waltz	华尔兹舞的
secko	性犯罪者
roughneck	粗鲁的人
sheerly	全然
hapless	倒霉的
betake	使致力于
mean	预定
fastidiously	一丝不苟
ruritanian	想像中之王国
knucklehead	蠢人
succise	截断状
tass	苏联塔斯通讯社
shakeout	轻度经济衰退
assemble	聚集
sebe	southeast
shutter	百叶窗
moving	移动
nonrecognition	不承认
pollee	接受民意测验的人
unfailingly	无穷尽
ultrabasic	超碱
latinity	拉丁语的知识
abolishment	废止
colloid	胶体的
gaudy	华而不实的
oversea	外国的
pluuiose	雨量多
piquancy	痛快
maryology	=Mariology
whenever	无论何时
taboo	禁忌、避讳
linen	亚麻的
theater	电影院
elicitation	启发
steersman	舵手
incontinent	荒淫
flitch	切成鱼块
visit	访问
prelatic	主教制
soul	灵魂
jazzman	爵士音乐家
icrp	Commission
roofless	无屋顶
rejoneo	马背斗牛术
lonely	孤独的
faint	微弱
commentate	评论
wee	微小的
blithe	高兴的
aonb	Natural
complaisant	彬彬有礼
interspace	空间
plumose	羽毛状
herculean	力大无比的
settee	有靠背的长椅
fulgor	灿烂
pendency	悬垂
pecuniary	金钱上的
externally	外形上
kvutza	小型集体农场
ho	钬
device	设计
log	把……锯成段
conclusion	结论
overhung	overhang的过去式及过去分词
strabismal	斜视的
trotty	疾走的
acyl	酰基
proof	使不被穿透
profiteering	不正当利益
imo	在我看来
rim	镶边
interspinous	棘突间
perfectible	可使完美
photometric	光度计
caledonian	古苏格兰的
lansing	兰辛
zwitterionic	两性离子的
fane	神庙
grisly	恐怖
bontebok	南非白纹大羚羊
carpogonial	果胞的
seriate	连续排列
gory	血淋淋的
brutish	如野兽般
harbourless	无港的
prepubertal	青春期前
brahmaputra	雅鲁藏布江
ard	acute
fasciolar	小束
provided	倘若
procacious	冒失的
chloramine	氯胺
preglacial	冰河期前
builder	营造商
contemptibly	卑鄙地
paraldehyde	仲醛
indurative	变硬的
extraterritorial	rI9tR:rI`AlEtI/n权
grippe	流行性感冒
rotatee	调防回归军
ningyoite	人形石
citywide	全市性的
tsangpo	Zangbo
interval	间隔
very	真正的
upcurrent	上升气流
amorite	亚摩利人
department	部门
sylvan	有森林的
vassalic	封臣的
almsgiving	救济
chablis	白葡萄酒的一种
unsegregated	没有种族隔离的
desiccated	干
circumrotatory	旋转
finish	末道漆
equiprobable	等概率
yellowy	淡黄
contractive	有收缩性的
barren	单调
leviathan	巨物
alabaman	阿拉巴马州人
poise	使平衡
indiction	诏示
vicarious	代理人的
entry	入口
robotomorphic	机械
peduncle	肉茎
stud	钮扣
deliverly	迅速
eiderdown	鸭绒被
stove	炉
wae	=woe
scoleces	scolex的复数
delphine	戴尔芬
gremmie	技术拙劣的运动员
unregimented	无组织的
exine	孢子外壁
sixteenmo	十六开本
fat	养肥
skiplane	雪上飞机
cresylic	杂酚油
imagic	形象般的
period	节
dry	干燥
epochal	新纪元的
sub	低能者
tutee	受辅导者
juristical	法律的
theosophy	接神学
judicable	可审判
formal	正式的社交活动
mortar	用灰泥涂抹
symmetrize	使均衡
incoagulable	无法凝结
zane	赞恩
precedence	优先
strikingly	醒目地
if	是否
implacentate	无胎盘
manifesto	宣言
sternly	苛刻地
unartistic	非艺术的
radicular	小根
galimatias	胡言乱语
namable	可命名
replant	移
cuspy	设计得很有效率
striated	有细条
welter	沉溺
chord	腱
reflectingly	深思地
telangiectasy	=telangiectasis
equaliser	=equalizer
precolonial	沦为殖民地前
sundial	日规
aghast	惊骇
direct	指示
afferently	传入
angelical	天使般
bronzy	青铜色
undecomposable	不可分解
azotemia	氮血
dinky	极小
audiocassette	盒式录音磁带
appreciable	可感知
confederacy	私党
leninist	列宁主义者的
localism	地方主义
cardia	贲门
joyancy	欢庆
triplication	三倍
button	扣住
adipocere	尸蜡
noctilucent	生物发光的
practically	事实上
boustrophedon	右行左行交互书写的
vandalic	汪达尔人的
future	未来的
nagaland	那加兰邦
speechify	演说
pirineos	=Pyrenees
diphenylaminechlorarsine	亚当氏毒气
rich	富饶的
reservation	保留
meticulosity	一丝不苟
frugivorous	常食果实
garrotte	绞杀
safely	安全
corrugated	缩成皱纹
stag	不带女伴的舞客
oak	橡树
assassinator	刺客
liver	生活优裕的人
recharge	再充电
moderato	中板的
foundation	建立
hyposensitive	弱敏的
frumpy	不见世面
takeup	收紧
nostologic	老人学
tipnet	TIPnet
tall	长
spandy	极好
vileness	讨厌
nutshell	坚果壳
accoutrements	军人的配备
agatha	阿加莎
nickelic	含三价镍
studdingsail	副帆
sterile	贫脊
hakka	客家人
underlying	潜在的
unsmart	不精明的
sup	进晚餐
superlatively	最高地
methoxamine	甲氧胺
tendrac	=tenrec
skittish	易激动
diminishable	可减少
weeping	垂枝的
enkindle	激起
saccharometer	糖度计
nec	NEC公司
cheeringly	令人愉快
zoom	摄象机移动
granitic	由花岗岩形成的
ascocarpous	子囊果的
take	感受
unpresumptuous	不骄傲的
flush	发烧
wraac	Women''s
magnetostatic	静磁
fateful	决定性的
unep	United
clinandrium	花粉囊
polytetrafluorethylene	oethylene/`pClI9聚四氟乙烯
multifactor	多种因素
tightfitting	贴身的
literacy	有教养
wilsonian	威尔逊
slouchy	懒散的
shade	黑暗
jug	关押
magician	善于变戏法的人
asyllabic	非音节
tumble	仓惶地行动
corer	去心器
prelection	讲演
lighthearted	心情愉快的
makable	可制作
shade	阴暗
badman	受雇刺客
hammal	搬运工
regality	王位
auxotrophy	营养缺陷型
redeemable	可赎回的
toddle	东倒西歪地走
pithily	有力
more	更加
extrascientific	科学范围外
piligerous	具毛
sullen	阴沉的
overaggressive	过于侵略成性的
burying	埋
princox	花花公子
exciting	令人兴奋
troublemaker	惹麻烦的人
rundlet	小桶
phantasmagoria	9fAntAzmE`^CrI/
egodystonic	自我失调
snowbell	大叶野茉莉
laxation	松弛
complemental	补充
improper	不合礼仪的
phlegmatical	迟钝的
bpi	inch
backsheesh	小费
trochaic	长短格
ingeniously	贤明
fast	紧的
rosyfingered	具有玫瑰色手指
supposititious	假
undercooked	煮得欠熟的
playgoer	常看戏的人
molecast	=molehill
blip	雷达上显示的点
scurrility	下流
parka	皮制大衣
formal	正式
wake	醒着
pistachio	阿月浑子树
pwd	Public
joshua	约书亚
riparian	河边
plethoric	过多的
honest	正直
ssbn	Nuclear
diandrous	有两个雄蕊
sweetness	甜蜜
tinge	使带气息
orient	东方诸国
handful	一把
battlesome	好争吵的
swivelpin	转向节主销
recapitulatory	着重阐述要点的
scrap	废料
orate	大言不惭的演说
associational	联想
darkish	微暗的
mammonism	拜金主义
hardcover	精装书
kalmia	美国石南科
interfascicular	束间的
finish	毁掉
abominable	令人憎恶的
dichroism	分色性
possibilist	可能派成员
mythologize	给神话分类
narco	=narc
touchingly	难以取悦地
pistachio	淡黄绿色
organic	有机的
stilly	平静的
russet	黄色苹果之一种
noctilucent	夜发光的
rearward	向后面
druzhinnik	民兵
bromidic	无聊的
herodian	效忠希律一世的
supine	向后靠的
capricornus	摩羯星座
crackpot	想入非非
mre	Religious
harborage	避难所
state	国营的
facture	制作
commanding	指挥
desna	杰斯纳河
jealous	妒忌
tongs	钳子
jesuitism	阴险
race	种族特征
cognation	血族关系
chin	下颚
fastener	按钮
dike	堤防
scatty	低能
fainthearted	懦弱
topless	穿袒胸衣
calycular	杯状构造的
ligament	韧带
pyrenees	比利牛斯山脉
tentative	试验
verification	查证
testacean	贝壳
snoop	到处窥视
landownership	土地所有
tyke	小孩子
orexis	欲望
ashlared	用长方石板砌成
dehumidify	除湿
aspartate	天
putrefactive	腐烂
annuli	环形
tropaeolum	旱金莲
incurve	使向内弯曲
periodically	周期性地
celotomy	绞窄赫尼亚切开术
gyroidal	回转
pitiful	令人同情的
discoverture	无丈夫的人
mysticism	神秘主义
worry	忧虑
chockablock	摆满
thinly	稀疏地
cartman	卡车司机
ah	攻击直升机
readership	读者的身分
anarchistic	无政府主义的
silence	使安静
scanty	不足
untamable	难驯服
nitwitted	傻
after	后面
diabolize	受魔鬼的影响
untamable	不能制服
trapball	射球戏用球
leprosy	麻疯病
fidgety	不安的
frater	会友
passionless	没热情
scrinium	装卷轴用的圆筒
fuze	导火管
karpathos	喀帕苏斯岛
glandule	小腺
brigantine	双桅帆船的一种
blouson	甲克衫
qumran	Community
anachronously	不合时代
hardcover	精装
quaternity	四人一组
boche	德国兵
atheoretical	与理论无关
unco	非常
preventative	=preventive
distillate	蒸馏物
ostrich	鸵鸟
tagalog	塔加路族人
elliptically	省略
swirl	挥击
outright	立刻
weighman	过磅员
effendi	阁下
clodhopping	不礼节
ardent	热情洋溢
hafta	to
tom	汤姆
talking	说话的
invincibility	无敌
wiredraw	拉长
japonic	日本特有
exsuccous	无汁
mushily	糊状
dernier	最终
hypotenuse	直角三角形之斜边
mortgager	抵押人
easygoing	不严肃的
seti	for
markhor	捻角山羊
unpleasure	不愉快
nitric	含氮
spinate	有刺的
aspirer	热望者
chorda	索
waterman	运水人
piling	打桩
indeterminate	模糊的
diaphanous	透明
blockhouse	圆木小屋
flyer	孤注一掷
whid	敏捷地移动
recuperate	复原
collaborateur	=collaborator
hoggery	养猪场
suborbicular	近似圆形
neutronics	中子物理学
ripstop	防破裂
comber	梳机
panda	黑白相间的熊类
unshrinking	不收缩的
dunnock	篱雀之类的鸟
alphanumeric	包括文字与数字的
sialoid	唾液状
reap	收获
thud	轰的一声
tsoris	不幸
primarily	首先
at	对准
laurel	桂冠
calvinism	加尔文主义
cottonwood	三叶杨
exhort	忠告
subtractive	负的
college	高等专科学院
favorite	中意的
relucent	光辉的
pyrograph	烙花
variable	变量的
stratotanker	同温层加油机
frantically	狂暴地
treat	款待
idle	空转
relaunch	重新发动
beleague	围攻
abruptness	唐突
antimatter	反物质
thenceforward	从那时
unshakable	不可动摇
emasculate	柔弱的
plutocracy	富豪统治
chuff	粗人
autolithograph	用直嬗∷⒎
fool	浪费
hurst	丛林
weight	重量
included	内藏
sunken	沉没的
pianism	钢琴演奏技巧
foolish	卤莽
epochmaking	极重要的
today	现今
meromorphic	亚纯
fortification	筑城术
playwear	游乐装
inyala	林羚
resigned	听天由命
revisit	第二次访问
wealthy	富人
usga	United
lad	家伙
capucine	monkey
bathometer	水深测量计
daystart	晨间
unpaying	无利润
hill	斜坡
vertical	直立
glycoside	配糖类
intracity	市内
securely	安全地
draught	拖
weather	经受住
topknot	顶髻
ace	一流
unsalted	新鲜
regular	正式队员
duplicity	奸诈
kabyle	其语言
menado	万鸦老
saving	节约
obstetrical	产科的
tectrix	覆羽
suakin	萨瓦金
orderless	无条理的
ineducation	缺乏教育
curial	元老院
veronica	维罗妮卡
dopaminergic	多巴胺能
gaulish	高卢
brandling	幼鲑
trichomata	毛状体
pallid	苍白的
thriftily	繁荣
thermophil	嗜热的
herder	牧人
floodlit	泛光灯照明的
swim	游泳时穿戴
sia	Airlines
firearm	火器
abortion	夭折
frenchmen	法国人
echogram	音响测深图
heptose	庚糖
congest	使拥塞
prelexical	词前成分的
radio	无线电广播设备
cowbell	母牛的颈铃
rosulate	成玫瑰花形排列
unreasonable	不合理
baptismally	用作洗礼的地方
microphotograph	缩影照片
populate	使人民居住
nosogenesis	发病原理
piddling	微不足道
trouser	裤子
drastic	猛烈的
udometric	以雨量计测定
sebotrophic	刺激泌脂的
larger	大
oviferous	带卵
communistic	共产主义者
fairway	航路
unluckily	不幸
saucepot	蒸煮锅
appulsively	撞击
abyssal	深渊的
distal	末梢
underinflated	充气不足的
secondary	次要的
bountiful	宽大
solenoid	螺线管
lohengrin	罗英格林
swank	虚张声势
mattrass	=matrass
picofarad	皮
broad	宽
substitute	替代
semimilitary	半军用
histamine	组胺
homebrewed	家酿的
perforce	必然地
heading	标题
sideman	伴奏者
onomatopoetic	声喻的
foeman	敌兵
augite	普通辉石
adsorbent	吸附剂
er	symb
newsiness	新闻多
fidge	坐立不安
disclination	旋转位移
servosystem	伺服系统
calla	水芋
more	超过
compensability	可补偿性
leglet	脚饰带
richly	贵重地
agiotage	货币兑换
painsworthy	值得下功夫
pvm	Machine
unretarded	未延迟的
photosensitise	tosensitize
hodometer	车程计
acheulian	欧洲旧石器时代早期文化的
dative	与格语
bantingize	施以班亭氏疗法
photodegrade	光降解
accommodationist	妥协
kilohm	千欧姆
choice	可选的
immigrate	移来
motionless	不动的
pallidly	无光泽地
trias	三叠系
rasp	用擦菜板擦碎
ferry	渡口
laparotome	剖腹刀
ablutionary	沐浴
orderliness	整齐
crevalle	一种可供玩赏及食用的鱼
indomitably	不屈服
disconformity	不一致
vagabond	浪荡
ludicrous	可笑的
eristic	争论
swimmingly	轻易
underpinning	基础
endowmenfpolicy	人寿保险单
polecat	臭猫
woodland	森林
opponens	对向肌
solubility	可解释性
recommendation	介绍
cogged	骗人
zoisite	黝帘石
scagliola	仿云石
exemplary	惩戒性
entail	使必需
gemmiferous	产宝石
electrolier	吊灯架
width	广博
discontiguous	不连续的
melchiades	圣梅尔凯亚迪兹
cdgps	System
boadicea	博阿迪西亚
apocryphal	伪经
gainless	一无所获的
efficient	生效的
fructuous	多产的
thymol	麝香草酚
citizenize	赋予公民权
aerotaxis	趋气性
fakement	伪造
scrumptious	味美的
triboelectric	静电
shopboy	伙计
regretable	=regrettable
