caudillismo	军事独裁者的统治
tropine	托品碱
helvetian	瑞士人
verification	确认
isobath	等深线
feastful	过节的
kanone	善于滑雪的人
oophorectomy	卵巢切除术
slantindicular	偏斜
indebted	感恩的
sorcerer	男巫士
arbiter	仲裁者
tome	卷
medley	集成曲
ideational	概念
hypoesthesia	感觉迟钝
confine	界限
coccolith	球石
freshwater	湖水
practised	熟练
heterotrophic	不是自养的
manoir	乡间别墅
toot	纵乐
wilful	任性的
whilst	同时
sphragistics	金石学
chairwarmer	不务正业者
subpolar	靠近北极或南极的
monarchial	帝王风度
procacious	勇敢
hearten	鼓励
publishing	出版
weftwise	横向
flighty	轻浮的
severance	断绝
talnakhite	硫化铜铁
pyrotechnic	出色
evince	表明
urubu	食腐肉的乌鸦
minster	修道院附属的教堂
salome	萨乐美
lymphadenitis	淋巴腺炎
spline	方栓
skeletony	骨架似
concomitance	相伴
groom	整饰
calling	行业
fingerpaint	用手指画
reticulose	网状的
serendipitous	偶然发现的
hubei	湖北
sinuous	蜿蜒
irc	Chatting
sutural	缝合线的
scandal	流言蜚语
lissome	柔软
trigamist	三重婚者
sorcerer	魔术师
louvered	装有百叶窗板
upside	上边
macrocephalic	大头的
crassitude	粗大
cuspidate	有尖头的
babesia	巴贝西虫
passivism	被动性
amos	阿摩司
cigarette	纸烟
gustaf	古斯塔夫
withdrawal	退回
spotty	质量不一的
ioof	独立共济会
nefandous	讨厌
plasmatron	等离子体管
mandrill	山魈
jnd	刚刚能够看出来的差异
snubber	缓冲器
rammish	淫荡
decuple	十倍于
voluminous	著书多的
hermes	=herm
sympathectomy	交感神经切除术
subaerial	接近地面的
toom	空的
dialyzer	滤膜分析器
evaporative	成为蒸气
lark	戏弄
nincompoop	傻子
interphone	对讲机
catarrhal	鼻黏膜炎
bearable	支持得住
token	表示
unture	不合标准
nonvolatile	非易失性
astable	不稳定的
hectic	发热的
ankylose	长合
solen	竹蛏
dimension	尺度
sinful	有罪的
jot	少额
smooth	平滑
dorothy	桃乐茜
perdure	继续
mesophyte	中生植物
ethnologic	民族的
zenocentric	木星中心的
mapai	以色列工人党
rough	粗野
polak	波兰
postfigurative	成人社会
quintuplicate	五倍
fastidium	厌烦
concupiscent	好色的
uninsured	未保险的
reaganism	对里根主义的信奉
seamost	最靠近海
doll	美男子
drooping	下垂
fortifier	筑城者
virulent	刻毒
unaccepted	被拒绝的
causticity	苛性度
outfit	配备
elastin	弹性蛋白
expedition	派遣
rate	比率
feature	面貌的一部分特征
western	西方的
nondecreasing	不减少
swahili	斯瓦希里人的
ashy	灰烬
gladiate	剑状的
oratorio	宗教剧
knockback	拒绝
sydneyite	悉尼人
bfa	of
bobbinet	机器编织的一种花边
featherless	无羽毛
mutually	互相地
bmj	Medical
oxidative	氧化的
unprejudiced	公平
constructively	建设性地
msph	Master
pdq	Quick
religioso	虔诚地
suitable	适当
vizor	面颊
clubbable	善交际的
unhealthiness	不干净的
outpoint	得分多于……
credenza	书柜
endocarditis	心内膜炎
turgescent	浮夸
wearisome	乏味
anesthetic	麻醉
judea	古代罗马所统治的Palestine
easter	复活节
dominance	优势
adularescent	淡蓝色变彩的
filipina	菲律宾妇女
kananga	卡南加(旧称卢卢阿布尔
copperhead	南北战争时同情南方的北方人
dimorphemic	双词素的
sahra	=Sahara
uncleanness	不纯洁
gawain	亚瑟王的圆桌武士中之一
gnotobiotics	无菌生物学
scousian	利物浦的
microampere	微安培
intramuscular	肌肉的
standing	停滞的
meditative	沉思
replamineform	有机骨架复制
experimentalism	实验主义者
purine	咖啡碱
despecialize	非专门化
telediphone	录放话机
lose	受损失
thresh	打
starchy	浆硬的
jeffersonian	派
luciferous	光辉的
suspensive	悬而不决
microfluorometry	显微荧光测定法
boustrophedon	右行左行交互书写
wintry	象冬季的
acidize	使酸化
pane	尤指窗格
easterly	从东方来的
archdeacon	执事长
kindy	幼儿园
unanimously	全体一致地
execute	实行
trailerite	活动房屋居住人
clew	提示
auriform	耳状
feat	合适的
banteringly	戏谑
seilbahn	缆索铁道
fleeceable	可以欺诈的
recross	再穿过
billabong	干河道
palpebra	眼睑
human	有同情心
file	把……归档
mephistophelean	冷酷的
eradicator	墨水擦
loathe	厌恶
steeper	陡峭的
monterey	Jack
workable	可经营
hippocampal	海马趾
nymphomaniacal	女色情狂
carcinoma	癌科
kickback	退回赃物
conscienceless	没良心的
lineation	划线
suberize	使栓化
lush	豪华的
shoddy	以次充好的
ferrosilicon	铁矽
handrail	扶手
aarp	AppleTalk地址解析协议
tommyrot	无聊
nomology	法理学
warmer	使热的人
pat	合适的
ventriloquous	腹语术
plagiarist	文抄公
dutiable	有税的
deepfelt	深切
unfoiled	未受挫
nhk	Nippon
culpa	疏忽
wobbulator	摆频振荡器
clean	清扫
phonodeik	声波显示仪
rattly	格格响
faithfulness	诚实
vext	=vexed
biggish	较大的
repurchase	买回
tolerableness	可容忍
veil	掩饰
relativism	相对主义
crinoidea	海百合纲
hun	野人
desire	想望
ablatival	离格的
colorless	无趣味的
kaunas	考那斯
naice	=nice
teachy	爱说教的
narrowfisted	小气的
intramarginal	边缘内的
bfa	Arts
enemy	仇敌
featherbed	使任闲职
snappish	急躁
flunkee	因工作表现不佳而被开除的人
unprofitable	不赚钱的
unwrought	未加工成成品
versify	用诗表达
lucullian	富裕的
upperpart	位于上身的部分
institution	协会
unforced	非被强迫
os	元素锇
queasy	不稳定
ophiuroid	海蛇尾纲动物
pleistocene	更新世
niobous	亚铌
punctuation	标点
reservist	在乡军人
bracing	令人鼓舞的
hatikvah	希望之歌
redundancy	冗余
calamity	灾难
recorder	录音
mustang	海军行伍出身的军官
loanable	可借出
amphitheatre	圆形剧场
distinguishable	可区别
swat	用劲打击
martian	火星
dendrophilous	寄生树上
denticule	齿状装饰
timorous	胆小的
fecal	排泄物
swingaround	绕行星返地轨道
cpff	plus
isorhythm	等同节奏
guangzhou	广州
keerect	正确的
anaesthetist	麻醉师
gel	成冻胶
abiogenist	偶发论者
kalimpong	噶伦堡
nice	和蔼
antiforeign	排外
featurish	像特写文章的
fancied	被特别爱好的
illegally	不法
chamberlaine	侍从
oblomovism	懒惰
un	东西
ciliolate	有纤毛
sound	听诊
hanuka	光明节
saturnic	铅毒的
elitist	杰出者的
sonorously	朗朗地
stickybeak	爱打听的人
diversely	不同
mucky	肮脏
hosteler	旅馆主人
mound	堆起
beautydom	花国
conformation	构造
spellbinder	能吸引听众的演说家
sopor	迷睡
unswathe	揭开……的覆盖物
despotism	专制
ungalled	未擦痛的
barelegged	露腿
aspca	Prevention
raises	扬起
crusher	压碎的东西
thiram	二硫四甲秋兰姆
catlike	象猫
psychotechnology	心理技术学
carrollian	具有卡罗尔风格的
certificate	证书
guide	向导
impressionist	印象派作家
salvationist	传道者
nainsook	印度产的一种薄棉织物
balmusette	大众化舞厅
nunatak	冰原岛峰
astrolabe	星盘
looseleaf	各页可任意装拆
agricultural	农艺
ostensible	表面的
average	通常的
acquirability	可获
netman	网球选手
lucknow	勒克瑙
disquisitive	研究
timeworn	老朽的
submillimetre	亚毫米的
trilaminar	三层
abstinency	禁欲
polydispersity	多分散性
shoo	发出嘘声赶
osiris	司阴府之神
horticultural	园艺
welsh	威尔士的
breeder	种畜
dandle	逗弄
clan	部落
pfda	Drug
extracapsular	囊外的
cursoriness	疏忽
muriphobia	鼠科学
spurge	大戟
foxhole	散兵坑
inauspicious	不幸
outmaneuver	以策略制胜
insect	虫的
prentice	无经验
trust	信赖
intropunitive	内罚型
ciphering	算出
multilateral	多边的
nonsensical	荒谬的
spieler	专事欺诈者
rightful	公正的
biotope	生境
bicentric	双心的
unrepulsive	未被击退的
log	园形木材
wry	扭歪的
furunculous	=furuncular
megalopsia	视物显大症
finitist	有限论
odalisque	女奴隶
appeasable	缓和得了
fastball	快球
abstinent	饮食有度
illation	推论
lippy	出言不逊
theodicean	神正论者
epidotized	形成绿帘石的
overlook	没注意到
deplorably	悲惨地
shakily	摇动着
backgrounder	政府官员举行的记者招待会
remover	搬运工
sociable	友善的
preequalization	预均衡
anonyma	头臂干
extract	榨取
pandoor	残忍的士兵
rtm	The
effective	被实施
streamlined	改进的
perishingly	讨厌
multiparous	多产的
convolve	盘旋
uniform	使成一样
overhead	在头上的
euphemism	委婉的说法
crenellation	开垛口
fairytale	童话中才有的
leucin	白氨基酸
cotidal	同潮
rabbitbrush	金花矮灌木
admissible	可接纳的
monometallism	单本位制
homburg	汉堡帽
archaeology	考古学
arrival	到达者
fatso	胖子
interethnic	不同种族间
doubly	双重地
eagerness	热心
gosport	戈斯波特
overwear	使过度磨损
clear	晴
simple	易受骗
commute	交换
catechize	以问答法讲授
conceptually	概念地
meltwater	冰雪融化成的水
fenland	沼泽地方
poikilocyte	异形红细胞
fructuous	多果实的
flurry	小雨
unfaltering	稳步的
ingrained	生染的
constanta	=Constantsa
twentieth	二十分之一的
external	外国
myself	我亲自
gleam	微弱的闪光
mothery	含醋母的
kewpie	小娃娃玩偶
one	一方
sensation	感觉
geo	长狭潮道
athambia	不动声色
pnr	return
exultantly	欢欣鼓舞地
glutethimide	导眠能
firmly	稳固地
survey	概观
turing	图灵机
quaveringly	震动地
justiciable	可在法庭裁判的
spinous	多刺
piezometer	压强计
rhizopodan	根足虫纲动物的
batata	白薯
loaves	块
beamed	定向的
experimenter	实验者
ribbing	肋骨
nucleon	核子
dipterous	两排柱式建筑物
cementitious	有黏性的
unstirred	没有被搅动的
accrual	自然增长
radiochromatogram	rEJmE`tC^rEfI/
michigan	密歇根州
quinquina	金鸡纳树皮
letterpress	拷贝机
regional	整个地区
interactional	相互影响的
germen	子房
biannulate	有二环纹的
mgd	day
glucosamine	葡糖
entomostracan	昆甲类的
aprism	的主义
septicemic	败血病的
afternooner	下午报
solar	日光的
astatically	不安定地
avowed	自认的
reversal	反转
photostat	直接复印件
bacciform	浆果状的
fatten	发财
heteronomous	他律
floating	移动
tough	强壮
domineering	作威作福的
fatiguesome	令人疲惫的
ecliptic	日食的
cheering	令人高兴的
fan	扇子
ecc	错误检查与纠正
kbp	pawn
warring	交战的
sas	Airlines
steamy	多蒸汽的
greenish	呈绿色的
serigraphic	绢网印花
potbellied	大肚子的
pluriaxial	多轴
miniver	白鼬毛皮
glance	匆匆一看
inflammable	易燃
hobbadehoy	蠢笨的年轻人
maffia	秘密政党
bongo	一种用手指敲的小鼓
raca	无价值
innovatory	革新的
hinterland	内地
bigeminal	成对的
tarvia	他维亚
bogey	妖怪
incept	摄取
favorable	讨人喜欢的
courtesan	情妇
psychopath	精神病患者
asp	Service
thew	活力
arret	命令
breasthook	船尾肘材
gyroidal	螺旋形的
dst	Test
coed	男女同学的
matricentred	母权的
arresting	引人注意的
ritualistic	仪式
abstractively	抽象性地
lazaretto	检疫船
tannable	可鞣制的
unretarded	未推迟的
xpvm	A
carbonaceous	含碳的
nonaqueous	非水
gumption	进取心
inessive	在内格的
formyl	甲酸基
suspender	吊杆
plantigrade	跎行类
iota	希腊语字母第
wraith	鬼魂
mrcp	Physicians
underhung	下颚突出的
sierran	内华达山区
revisory	修订的
xenophobic	恐外的
shortening	简写
hackneyed	不新奇
gearcase	齿轮箱
rear	栽种
tipple	不断喝
archimedes	阿基米德
oecumenicity	=ecumenicity
maenad	的女侍
one	任何人
polycrystalline	多晶
utensil	器具
docetic	幻影说的
maximum	最多的
archegoniate	颈卵器植物
northwestward	西北部
broad	明朗
heteronymously	相关而异名
dissatisfaction	令人不满的事物
vizor	腹面
illiberality	吝啬
heptathlon	七项全能
jaspagate	玛瑙碧玉
site	地点
carnal	淫荡的
beaky	像鸟嘴的
peacekeeping	维护和平
lumber	喧闹地向前走
fairyland	仙境
corpulent	肥大
rowdyish	吵闹
reckon	依赖
circiter	=circa
cern	欧洲粒子物理研究所
youthfulness	青年
foamy	全是泡沫的
nim	偷窃
dangle	摇摆
leewardly	脱离航路的
antifeudal	反封建的
deploitation	开拓
abyssinian	阿比西尼亚
whiggery	辉格党的原则
imperceptibility	没法感知
undebatable	无可置疑的
furry	盖着毛皮的
alacrity	敏捷
fut	=phut
halyard	升降索
sideseat	边座
pathometer	探谎器
carbonate	使充满二氧化碳
spinous	刺状
nighthawk	夜鹰
cestoid	象绦虫
helplessly	无能为力地
interborough	区与区之间的
wisla	维斯瓦河
abetment	支持
syncopal	晕厥
weal	幸福
automobile	汽车
proprietary	所有者
wiredraw	对……牵强附会
alliterative	头韵体的
flask	瓶
melitriose	蜜里糖
guileless	不狡诈
malcontent	不满
monotony	单音
rongeur	骨钳
fisher	捞取者
polocrosse	兜网马球
broad	广泛的
slash	大量削减
rankle	激怒
fjp	of
voyeurist	窥阴部色情者
faculty	本领
whitleather	=white
fellmonger	羊皮商
offside	后面
spanking	拍击
transworld	环球旅游
microtechnique	显微技术
quixotic	唐吉诃德式的
ultraminiaturize	9QltrE`mInIEFEraIz/
kaif	麻醉品
nick	阻击
harmonical	音乐般
dividual	分享的
simulate	模仿
quixotism	不切实际的思想或性格
tacmar	Tactical
upborne	被支撑着
capetown	南非共和国立法机关所在地
raunchy	邋遢的
specialize	使适应特殊目的
colossus	巨像
jokesmith	编笑话者
ozone	新鲜的空气
rhythmically	有节奏
multicolor	五彩缤纷的
unlovely	讨人嫌
euripides	欧里庇得斯
unshaken	不动摇的
cystiform	囊状
mantelpiece	壁炉的前饰
dairy	牛奶场
choybalsan	乔巴山(旧称克鲁伦
schizothymic	分裂样人格的
gitgo	开端
posting	置入
throughput	吞吐量
craped	戴黑绉纱
reporting	报告
ilka	每一个的
olivaceous	橄榄色
depside	缩酚酸
liquefier	液化器操作工
humoral	由体液引起
cyanobacterium	藻青菌
solecistic	违反语法
propel	推进
ridge	起皱
make	性情
spud	剥树皮的铲凿
signable	可签名的
unreceptive	接受能力不强的
killing	致死
einsteinian	爱因斯坦理论
laminar	由薄片或层状体组成
courlan	库隆鸟
brake	闸
filter	用过滤法除去
aal	Adaptation
tetramorphic	四形
retire	撤退
ventriloquous	口技
cruel	残酷的
tocsin	警报
separately	个别地
crawlway	天花板很低之走廊
humiliator	羞辱者
perisarc	围鞘
decahydrate	十水合物
chance	偶然发生
lockhouse	船闸管理人值班房
sheryl	谢乐尔
lapidescent	石头似
fetial	处理国际问题的
pronate	使伏身
broadwise	侧面地
selves	自我
reconstructed	重建
veronica	印有耶稣面像的织物
gppm	每分钟可打印的图形页数
mossback	极端保守的人
tootle	胡说八道
solvent	溶媒
adiposis	肥胖病
lowlihead	谦卑
valedictory	告别词
project	企业
poppa	大伯
heddle	综片
methinks	据我看来
brooder	孵化器
wipo	Intellectual
triable	可以试一下的
overcapitalize	过分投资于
ato	Teaty
dbms	Database
teacake	当茶点用的饼干
abidance	遵守
spill	使溢出
flay	去皮
poolside	在游泳池边
touraco	蕉鹃
produce	结
hypoxemic	血氧不足
octocentenary	持续800年
bitonal	双调
roar	咆哮
clocklike	准时
asphyxial	昏厥的
workerist	强调工人利益的社会观
lorikeet	青绿色小鹦鹉
equivocator	说模棱话的人
wend	回
supremely	崇高地
sottish	酗酒的
haemolytic	溶血
irq	request
hypertherm	人工发热机
sanious	脓液的
pigpen	猪舍
prednisolone	脱氢皮质
wiredrawn	太琐碎的
septuple	七的
compression	压榨
unifoliate	单叶的
papyraceous	纸草
bowhunt	用弓箭狩猎
davit	吊柱
malnourished	营养不良
eristic	好争论
unlikelihood	不可信
informally	非正式地
sinew	肌肉
filbert	榛树
abm	Missile
widow	使成寡妇
prometheus	普罗米修斯
decaliter	十升
excess	无节制
unaided	未受协助的
crmp	of
able	能干的
literaryism	过度讲究的辞句
angelica	当归
accessory	同谋的
fulcrum	杠杆的支点
auspice	占卜
feijoa	费约果
cryocable	超导电缆
ramp	狂跳乱撞
bimeby	不久以后
weird	预言
extemporal	脱口说的
fingerprint	指纹
elated	兴高采烈的
asyndetic	连接词可省略的
out	暴露
psammite	砂屑岩
commemorate	纪念
matted	纠缠的
errata	勘误表
aeolic	伊欧里斯人
jackey	杜松子酒
dropping	滴下物
tritiate	使氚化
cineol	桉油酚
leisurable	不慌不忙的
snuffling	抽着鼻子的
favoritism	偏袒
uplooking	有志气的
span	跨度
polybasic	多碱的
polarisable	=polarizable
anthropopathism	拟人说
secondary	次要
hubris	傲慢
upstate	偏僻
peremptorily	紧急
ideaistic	思想
offhand	随便地
sanitarist	=sanitarian
cyetic	怀孕
methemoglobin	=methaemoglobin
lugubrious	悲惨的
rotiform	轮形
tonsillotomy	扁桃体部分切除术
satanic	魔鬼般
limpness	疲倦
aonb	杰出自然风景区
irreligionist	不信宗教者
nasally	鼻声
schlockmeister	劣货制造者
gamely	勇敢
actinal	口侧的
mu	12
unregarded	不受注意
signior	先生
amperage	安培数
kingfisher	鱼狗
nether	下面的
ripplet	小涟漪
hmas	HerMajesty''s
death	毁灭
bopomofo	汉语拼音字母
kinsman	同族者
ensnarl	使被纠缠
shipmate	同船水手
illutation	泥浴
oblong	长方形
mac	Control
transact	交易
signed	有符号的
legerdemainist	变戏法者
bona	good好之意的
intertriglyph	=metope
pragmatist	爱管闲事的人
warangal	瓦朗加尔
generate	发生
ala	翼
masterplan	根据总体规划设计
obbligati	肋奏声部
csce	Cooperation
unprepare	使不适合
rechabite	禁酒会员
nutwood	坚果树
inimitably	独特地
parhelion	幻日
veiled	以面罩遮掩的
grape	葡萄树
swim	眩晕
trattoria	饮食店
maoist	毛泽东的
informality	非正式
zygosity	接合性
spiritualistic	唯心论的
corepressor	辅阻遏物
delighted	快乐的
phosphorylcholine	磷酸胆碱
precipitate	猛地落下
qualify	限制修饰
pictorial	图示的
undated	未标日期的
nematicidal	杀线虫
dekko	一瞥
aboriginal	土著居民
existence	存在物
sooty	煤烟熏黑
seed	播种
working	工作
intoxicated	喝醉的
shambles	肉店
caller	访客
subscriber	捐献者
nonhibernating	不冬眠的
superaltern	全称命题
deniable	可否认的
geoponics	乡间
thiram	双硫胺甲酰
assiut	=Asyut
joinery	木工职业
infallibilism	教皇绝对可靠主义
corruptive	使腐败的
kindly	爽快的
uncharitable	不宽恕
innumerous	=innumerable
grison	灰鼬
mekka	麦加
cave	使凹陷
inarticulately	笨嘴笨舌地
bottom	末端
stereotypy	铅版印刷术
phoebus	太阳
arctic	北极圈
nightclothes	睡衣
groom	男仆
sensuous	给人美感的
steatite	滑石石瓷
hippocampus	海马
osteal	由骨构成
preadult	成年前
autogeneration	自动产生
stroke	击
indiscretion	轻率
acropolis	古希腊城市的卫城
greyhound	快速船
uae	阿拉伯联合酋长国
conservative	保守派
redeliver	再交付
hlf	Heart
excusingly	辩解
arson	纵火罪
warden	一种冬梨
aspirant	上进的
coprolagnia	粪性淫乐
enfranchise	解放
falcongentle	雌隼
shebang	工作
sapphiric	蓝宝石质
pustulous	有小疙疸
fasten	强加于
cupid	爱神丘比特
fuzzbuzz	喧闹
curtsy	屈膝礼
unthanked	未受答谢
perimeter	周长
thermomechanical	热机械
ventage	小口
ocap	Open
walkthrough	预排
plangorous	哀号的
compressional	与压缩有关
catheter	尿液管
varsity	大学代表队的
featheredged	薄边的
penicil	一簇细毛
jarring	辗轧声
literate	有阅读和写作能力的
heraldry	纹章学
blighted	毁灭的
auc	ab
wino	酒鬼
kalium	钾
neuromuscular	神经肌肉
unannounced	未经宣布
clear	光亮
pretrial	审判前
nudie	裸体表演
northeasternmost	最东北的
spice	意味
madbrain	头脑发热的人
heap	堆积
deva	提婆
cog	小船
expulse	开除
allegheny	spurge平铺富贵草
spud	小锄
fictitious	虚伪的
clear	有条理
juvenilize	抑制……的生长
arteriogram	动脉波
sapphirine	蓝宝石的
ruralism	乡下风味
sins	system
imprecision	不精确
interlinear	写在行间的
sachsen	=Saxony
rdo	远程数据对象
difference	分歧
jibb	船首三角帆
attitudinarian	装腔作势者
unchoke	疏通
barbarous	残暴
dimmer	调光器
fractional	分馏的
foal	驹
darkish	浅黑的
reformative	改进
booted	穿靴
becoming	适当的
nightlong	通宵的
ephemeralization	非耐用商品的制造
sputter	喷出
aftercooler	二次冷却器
cryptographical	号的
outmoded	过时
orange	柑
removable	抽取式
hectic	兴奋的
ungual	有爪
wad	填塞
scraping	刮
semicylinder	半柱面
hymenopterous	膜翅类
tutwork	计件工作
trisomic	三染色体的
perspective	观点
cardan	=Cardan
dumpy	矮脚鸡
vinyl	乙烯基
clownish	滑稽的
bonavacantia	无主财物
enantiomorph	对映体
elliptical	省略
invigilate	看守
depreciation	贬值
apical	顶上的
defence	防卫
drugget	厚毯
ems	特快专递
complyingly	遵从
agreement	一致
whine	报怨声
disciplinarian	规律
softish	有点柔和
lengthy	过分
basilect	下层方言
charpoy	行军床
medicable	有疗效的
sufferance	忍耐
pedestrianise	=pedestrianize
antiheroine	不按传统主角品格塑造的女主人公
isobutyl	异丁基
tritural	适合于研成粉的
plutolatry	拜金主义
stockrider	牛仔
diplont	二倍体
spicy	辛辣的
solstitial	夏至
hatmaker	制帽匠
catachresis	修辞生硬且自相矛盾的误用
ergometer	测力计
hers	她
phonocardiogram	心音图
bushfighter	灌木地战士
nestlike	巢状
podunk	无名小镇
carelessly	粗心地
nihilistic	虚无主义
aseasonal	无季节性的
thermotropic	向温的
embarrassment	困窘
flectional	屈折的
cognominal	同名的
preemption	抢先占有
astatically	不稳定地
hearty	精神饱满
msphe	Science
bup	United
knurly	多瘤
hackbuteer	火枪手
rosinweed	松脂植物
literate	有阅读和写作能力
signature	签名
strawy	稻草状
pesky	烦恼
contribution	贡献
vectorcardiogram	^rAm/
kona	=kona
suspenseful	悬疑
antimeric	对称部分
inspiratory	吸入
inthral	迷醉
subtle	敏感的
cipherkey	暗号解答
biyearly	二年一次的
janissary	古时土耳其苏丹的禁卫军
infuriation	激昂
intensively	集中
tinker	焊锅
robin	知更鸟
baleful	有害
gore	血块
motherfucking	不要脸
hummum	=hammam
redfish	雄鲑
cevennes	塞文山脉
erudite	博学的
supplicatingly	恳求似
diametric	直径
prodigalize	挥霍
crisp	脆的
fastidious	需要复杂营养地
era	纪元
mts	资金传输系统
final	结局
mangonel	军用射石机
prattle	说孩子气的话
grapestone	葡萄子
nsf	The
sforzando	加强地
ambivalent	好恶相克
sarcenet	薄绸
douroucouli	夜猴
papillary	乳头状突起
wicked	刻毒
limacine	似蛞蝓
newspeak	官方宣传语言
unwanted	有害
assessable	可估价的
craniocerebral	颅与脑的
beery	啤酒喝醉
lst	Time
illiquid	无流动资金的
fatuity	愚蠢的言行
melting	溶解
evangelical	信福音主义者
solutrean	梭鲁特期
producer	演出人
enalite	变铀钍石
duopsony	由两家买主独揽的局面
limited	有限
israelitic	犹太人的
bicorn	双角
domineering	极权
adiaphorous	无作用的
humanize	变为有人性
deweyite	J
nonhibernating	不冬眠
unawakened	未醒
conciliatory	调和的
colossal	巨大的
prussian	普鲁士的
wazir	=vizier
laa	轻型高射炮
wizardly	神奇
vascar	and
ardently	热心地
hypersensitivity	超敏性
phonematic	音位
provoke	煽动
penstock	水阀门
revert	回复
kit	用具包
music	乐曲
historicizer	撰史者
unsling	自吊索上放下
ambrosial	芬香
far	甚远地
contraceptive	避孕的
expansible	会膨胀
imperatorial	皇帝
effectually	有效
greaten	使伟大
perim	丕林岛
ectypal	副本
nonsteroid	非甾类化合物
winter	萧条期
darkroom	暗室
vendeuse	女店员
prosecute	实行
astable	不稳定
szechwan	四川
tupek	=tupik
carking	烦人的
acanthoid	刺状
unific	倾向于联合
intentness	专心的
genevan	日内瓦
gassy	空话连篇的
remains	残余
parish	教区
communise	=communize
conqueror	征服者
unnumbered	未编号
syphilide	梅毒疹
follow	遵循
resplendently	耀眼
bistro	小咖啡店
axillary	叶腋的
gapemouthed	张大嘴
undiluted	纯粹的
cock	龙头
gymnoplast	裸质体
vambrace	全臂铠甲
brilliancy	出色
gooky	肮脏的
spirochete	螺旋菌
landlady	老板娘
numerous	众多的
sacking	帆布
cyclostomate	有圆口
larghetto	稍缓慢曲
dvd	Versatile
refundable	可偿还的
distinction	差别
priestly	僧
consummately	完成地
patientless	无病人的
shogun	幕府时代的将军
complacent	自满的
handloom	手摇纺织机
offstage	舞台后面
heterogeny	自然发生
lunary	月亮
calender	以砑光机砑光
backroom	私下
raf	英国皇家空军
vasculitic	脉管炎的
quintile	五分之一对座
hercules	大力英雄
curtainfall	幕落
remigration	重新移植
headquarters	总部
detin	除去镀锡物的锡
consumable	消费品
antihuman	反人类
aimer	瞄准手
languishment	呆滞
acold	寒冷的
balladmonger	街头卖唱者
standing	名望
clostridium	梭菌
nuppence	无钱
foregather	相遇
irenical	和平主义
freak	反常
pronaos	门廊
remeasure	重新测量
covey	一队
rockfall	岩崩
francophil	崇拜法国的
workman	男工
rba	Society
spermaceti	鲸油
coffeepot	咖啡壶
age	使用年限
lame	不完全
albumenize	涂蛋白于
position	立场
acqierement	学得
tierce	三度音
oldwomanish	大惊小怪
healing	康复
continuator	继续者
cannibalize	拆用……的配件
impassably	不能通行地
moppy	拖把似的
impellent	推动的
pollinctor	殡仪员
anyway	总之
phlogistic	燃素的
unbroken	未破损
oops	狼狈时所发的喊声
abasable	可贬黜的
handsel	彩金
lithesome	柔软
invectively	非难
carboniferous	含碳或煤的
solmization	阶名唱法
robustly	粗鲁
desiderate	渴望
foa	Foreign
transferee	承让人
propagable	可传播
etcaeteras	等等之人或物
nonaqueous	非水的
unwitnessed	无证人签字的
misogynic	厌女的
bronchopneumonia	支气管肺炎
ulotrichous	鬈发
interferometric	用干涉仪测量的
chloritic	亚氯酸盐的
complimentary	免费赠送的
permeability	渗透性
plafond	天花板画
upu	Union
shanty	简陋小屋
medic	实习医生
piagetian	皮亚杰关于儿童思维发育理论
diggable	可挖掘
stagecoach	公共马车
unweeded	未除草的
fuzznuts	小子
spill	倒出
hurriedly	慌忙地
workhorse	驮马
plead	辩护
serena	爱情小夜曲
alecithal	无蛋黄
halloa	啊呀
sultrily	闷热地
keir	煮布锅
cryptology	密码术
billionth	十亿分之一的
metric	米制的
lenitive	缓和
pedantocracy	腐儒政治
gravelly	多碎石
troy	金衡制
notoriety	声名狼藉
decennial	十年一度
veracious	准确
hand	雇员
megaera	墨纪拉
coercively	压迫
gummous	树胶的
invisibility	看不清
multipage'	NULL)
comatulid	放射状海百合
criticastry	不恰当之评价
dropwort	六瓣合叶子
sanctionist	制裁国
ac	Car
polemonium	花荵
oleiferous	含油
harrumph	哼声
downcast	向下看的
undersupply	对……供应不足
soogee	冲洗
solemnity	一本正经
haematopoietic	造血的
disheveled	凌乱
winter	冬天
elysian	乐土的
chary	仔细
zooecology	动物生态学
pseudomycelium	假菌丝体
forelady	女工监督
iyft	Your
silverly	银一般地
occidentalist	西化主义者
unqualified	没限制
transient	瞬时
harelip	兔唇
uncreate	灭绝
contaminative	污染的
impedient	阻碍的
unanswerable	无法回答的
daily	每日
netting	网鱼
nincompoopery	傻瓜
excisable	可割取
dexiotropic	向右
egp	Protocols
endlong	纵
menisci	的复数
out	击倒
hormonal	荷尔蒙
poppet	提升阀
succus	体液
ebonite	硬化橡皮
rhinal	鼻腔
discal	圆盘
quizzy	爱打听
booted	穿靴的
ringlet	小环
glumpy	脾气坏的
firewall	Internet防火墙
cherish	怀抱
clypeiform	有额板
gemel	孪生的
valla	眉毛
buckle	扣住
yearling	一岁家畜
rossiya	=Russia
accepted	一般承认的
involucel	小总苞
norland	北国
werwolf	狼人
tributary	进贡的
conchiferous	含贝壳的
checkerman	西洋跳棋棋子
haptoglobin	结合珠蛋白
framboise	木莓白兰地酒
regardant	头朝后看的
warehouseman	货栈主
fixation	定象
filmgoer	上电影院的人
famous	极好
object	拒绝
cockeyed	斜的
columned	立有圆柱的
amplexus	抱合
roseate	红润
hydraemic	水血症的
steely	似钢的
jimsonweed	蔓陀罗
effectual	奏效
experientialism	论
moonshine	妄想
impertinently	不切题地
conspecific	同种的
