verandah	阳台
fabricable	能加工成形的
haemolysin	溶血素
glitzy	闪光
racialism	种族歧视
waterblink	水照云光
coterminous	相连的
kerplunk	扑通声
hedonic	享乐主义学说
cave	挖洞
mohism	墨子哲学
throughother	乱七八糟地
wafery	薄的
clipped	发音清楚
publishing	出版业的
precessional	因岁差而导致的
yeanling	小山羊
catsuit	女式紧身连衣裤
rotte	=rote
regret	懊悔
catchword	口号
tabid	憔瘦
adamite	亚当的后裔
salify	使变咸
unaided	独立的
fatheaded	愚笨的
underwing	后翅
hyaloplasmic	透明质
caritative	博爱
mitriform	主教冠形状
daunt	沮丧
farmergeneral	包税人
narrowband'	NULL)
veritas	真理
boss	老板
nightside	阴面
telephonic	电
onthe	在
digynian	二雌蕊的
verity	真实的陈述
clear	跳过
msy	可以长期保持的最大年开发量
deaminase	脱氨酶
fleam	锯齿口和锯条面所形成的角
combo	社团
facing	衣服等的贴边
coprophilous	嗜粪癖
commonwealth	共和国
depraved	邪恶
malayanize	使马来化
argufy	争论
scratcher	抓扒者
cutoff	新河道
fixative	防发挥
rhizophoraceous	红树科的
gradual	渐进
rollered	装在滑轮上的
regge	雷琪理论的
embed	使插入
overtalk	讲话太多
amoeboid	似变形虫
mosso	活跃的
edacious	狼吞虎咽
lalapalooza	=lollapalooza
judicially	依法判决
walkable	适于步行的
monostomous	具单盘的
aesthetic	有审美感的
complicit	有同谋关系
joyful	快乐
nature	自然
appetiser	=appetizer
prosit	祝成功
morosely	忧郁地
adagissimo	很慢的
spiroid	螺旋形的
graphitoidal	石墨状的
incontinuous	不连续的
obtected	有角质外壳
unquiet	动荡的
priderite	柱红石
holystone	甲板
erlang	厄兰
scarce	不足
trodden	tread的过去分词
firn	积雪
rental	租金收入
plebby	普通
blimp	软式小型飞船
oppressive	压制性
isoteniscope	液体蒸气压力计
primitive	粗糙的
rajahship	君主、王公或酋长的地位
overheat	使过热
nonexistence	无
xvi	16
ems	Electronic
caudle	粥汤
incb	国际麻醉药管制委员会
cogwheel	钝齿轮
depraved	邪恶的
shorten	缩短
transdisciplinary	涉及若干学科
guyanese	圭亚那
romping	嬉戏喧闹
nonconducting	不传导
cacodylic	二甲砷基的
firry	杉树的
jovial	朱庇特
tightrope	拉紧的绳索
langrage	钉弹
dextrose	右旋糖
spectacle	景象
form	表格
mopery	闲荡
sticky	粘
living	逼真
lardon	肥腊肉片
tractable	易处理
regulatory	调整
hula	呼拉圈舞
floorer	打倒
atapi	Interface
iraser	红外激射器
stellated	星状
exhibitioner	获得奖学金学生
foxiness	似狐性
put	赋予
phocine	像海豹
regain	恢复
triskelion	三曲腿图
frontage	前方
orator	请愿人
flub	瞎搞
girly	像少女的
glazed	像玻璃
dragon	严厉而有警觉性的女人
deplete	使衰竭
calciferous	含碳酸钙
hydroxy	氢氧根
following	党羽
gairfowl	auk
geoponic	乡间
poteen	私酿的威士忌
incomparably	无比
cycloparaffin	环烷
isd	International
lowest	最底下
hydrargyric	水银的
dragonnade	武力迫害
malawi	马拉维
draper	布料商
plc	Company
seminarist	=seminarian
expansion	扩张物
epsom	Epsom
everything	pro
hotpot	罐焖土豆烧肉
coeliac	腹的
metapsychical	心理玄学
redheaded	急躁
balanced	平稳
metaplasia	转化
mylohyoid	Ⅰ
squat	蹲伏
drouth	干旱
nom	有名无实的
uniplanar	单平面的
feederliner	支线班机
saltcat	盐块
internauts'	NULL)
idoneous	适合
lacrymal	泪瓶
weatherly	能抢风航行
succous	液
amphibiology	两栖动物学
cainite	诺斯替教之信徒
vpd	Vital
previously	先前
chronologer	历史家
schizophrenic	精神分裂症
unsuspectingly	信任
approbatory	承认的
ananda	完美的祝福
manciple	伙食委员
scheme	设计
nova	新星
zymosis	发酵
fatiguesome	累人
brownnose	拍马屁
chiao	角
exchequer	财源
cercaria	尾蚴
story	故事
egregious	惊人
changeless	不变的
contrafactum	换词歌曲
attrit	削弱
indisposition	小病
watchmaker	表的制造人
unmew	释放
apodictic	明白的
dopy	被麻醉
heaping	堆得很高
cribriform	有小孔
quaggy	泥泞的
dramshop	大型酒吧
fluke	倒霉
paleogeography	古地理学
yammer	气愤的抱怨
dickensian	狄更斯的
closeness	紧闭
aeroballistics	空气弹道学
desmitis	韧带炎
diplophonia	双音
housebreaking	盗取
thinnest	瘦的
pikeperch	梭鲈
diathermanous	透热的
heirdom	继承权
necessity	必需品
wsa	战时航运管理局
survive	幸免于
encyclopaedist	百科全书编纂作者
hypnopaedic	睡眠中教学的
sisterly	姐妹一般
christcross	十字形
subsonic	比音速稍慢
phonemicist	音位学家
depict	描写
eighty	八十个
swivet	狂乱
mazarine	深兰色
bistro	酒馆跑堂者
inflation	胀大
ground	地面
preagricultural	人类开始从事农业前
challis	印花丝毛料
jejune	缺乏营养的
hamza	代表闭锁音的符号
crisp	脆
ostensible	虚假
maniacal	狂乱的
brasflia	巴西利亚
nonfiltered	没有过滤嘴
untogether	混乱
cannabinol	大麻酚
paedagogue	=pedagogue
candle	蜡烛
equipment	固定资产
lanceolate	矛尖形的
tautomerize	现象
icky	粘得讨厌
dun	暗褐色的
pfui	呸
horsey	似马的
amaze	使吃惊
photocall	接受宣传媒体拍照的时间
craterwall	火口壁
dissever	分开
virilocal	居住在男方
ckd	完全分解的
pug	拌
weeksite	水硅钾铀矿
subcelestial	在天下面的
gpi	general
guardrail	护轨
sitting	孵卵中的
shade	渐变
unreconstructible	不能改建的
cosily	惬意地
helichrysum	蜡菊属植物
antidiphtheritic	预防白喉
kibed	患冻疮
eventual	最后
favorable	赞许
gobble	火鸡叫声
petasos	宽边帽
profile	轮廓
salify	使成盐
pacificist	反战主义者
agami	黄胸长脚长颈鸟
ssrc	Science
vacuity	空虚
ems	Mail
nse	国家证券交易所
mna	Nursing
scalper	黄牛党
incb	Narcotics
quietish	有点安静
antibusing	反对用校车接送跨区学童的
biography	传记
pilgrimize	漫游
frigidaire	电冰箱之一种
gainer	得利者
aim	目的
analgesia	痛觉丧失
psilophyte	裸蕨植物
bfr	缓存器欠载
dsrv	vehicle
insufflator	吹药器
icy	盖着冰
defraud	欺骗
nephric	肾
msph	in
policy	方针
laceless	无带子
diverse	变化多
polyzonal	多区域的
quadrisyllabic	四音节词
idolatrize	奉为偶像
synkaryon	受精核
burnout	歇火
etep	Electronic
very	完全
legionary	很多
bigeminy	二联脉
interwreathe	将……交错编扎成圈
pounce	突袭
preindicate	事先表明
hospitaler	宗教慈善团体的职员
equivalve	两壳形式和大小相同的
navigation	导航
sombrous	阴沉的
spherule	小球
yiddish	犹太人的
bobbly	不平的
bonze	僧
lamellibranch	瓣鳃类
allantoid	尿囊
wee	一会儿
zigzag	作Z字形地
gem	宝石
absorbingly	引人入胜
naughtily	无礼
discrimination	辨别力
msfm	of
binding	捆绑物
pertinent	中肯的
polarimeter	偏振器
faulty	不完美
calumniatory	中伤的
acknowiedged	到普遍承认
intrigue	用诡计取
monocular	单筒的
kbe	theBritish
couturiere	女性之女服设计师
arrantly	众目昭彰地
ctd	Development
siamese	暹罗猫
kavakava	=kava
utter	做声
injured	受损害的
enticing	引诱的
countersubject	对题
unselected	未经选择
crisscross	十字形地
tail	尾随
icelandic	冰岛的
christmastime	圣诞节期
mossbanker	=mossbunker
convergent	会集于一点
flutter	悸动
waxen	柔软的
curvy	弯曲
automaticity	自动性
unnecessary	多余的
loverboy	追求女色的人
midpoint	正中央
businesslike	有效率的
deconvolve	去……卷积
inker	墨棒
solutrean	梭鲁特文化
reinforce	加固物
loathe	憎恶
selectron	选数管
sternwards	在船尾
ephemerality	无常的事物
firedragon	喷火龙
discontentedly	不满
dimetric	四角形
infundibular	有漏斗状器官的的
vocative	呼格
multigraph	其商标名
ixia	鸢属科属植物
prayerful	常常祷告的
jesuitically	阴险
corrosible	可侵蚀
betel	萎叶
flagellated	生有鞭毛的
bomb	轰炸
community	社会
paisana	女同胞
forgive	原谅
transom	横窗
leewardmost	最下风
inappreciable	微不足道
lavish	非常大方的
dodgasted	迷惑
mind	头脑
mocker	嘲弄者
scintigram	闪烁图
affected	做作
exemplar	标本
trigger	板机
underclass	下层阶级
plaza	购物中心
rubberlike	如橡胶的
acetify	变酸
selenodesy	月面测量学
casuistry	诡辩
unwary	不警惕的
itinerant	巡回者
achievable	做得成的
nonfarm	非农业品
inarm	拥抱
palaestra	体育场
sixth	六分之一
rive	劈开
unculture	无文化
andromeda	仙女座
delphic	意义不明确
molest	骚乱
discombobulate	使困惑
graveward	向着坟墓地
frolicly	玩乐地
hump	峰丘
retractile	收回
dolly	推移动车
facinorous	极恶的
root	根源
convinced	确信
christhood	救世主的身份
forktailed	尾巴开叉的
fruity	洪亮
suggested	暗示
inclinometer	倾角计
transdisciplinary	学科间的
vain	自负的
emissive	发射
fuegian	火地岛的
gaga	愚蠢的
federative	有外交和国家安全的
auxochrome	助色团
sexivalent	六价
invincible	无敌
stoniness	冷漠
evenfall	傍晚
obsess	使困扰
vlcc	large
monarch	君主
summertree	大梁
drably	无生气地
cultivar	培育植物
microtron	电子回旋加速器
nicish	须慎重对待的
pouched	袋形的
depressor	压器
aforetime	早先的
lamplighter	点燃街灯的灯夫
trottoir	人行道
foxfire	狐火
extirpate	根除
macroscopical	宏观
jazz	爵士乐的
macrocosm	宏观世界
undescribable	难以叙述
deep	纵深的
associate	结交
composition	写作
in	Network
astronavigation	太空航行
stripfilm	片条
heatspot	雀斑
blandish	谄媚
magicube	魔方闪光灯
polak	波兰语的
weird	怪异的
interpandemic	流行病两次暴发之间的
lick	卷过
allantoic	尿囊内
palmitic	采自棕榈的
larrikin	喧闹的
moonstruck	多愁善感
bold	大胆的
con	console
rivalry	竞争
clathrate	插合物
convention	习俗
hyenoid	残忍的
viscosity	粘质
antiwhite	反对白人既成体制
farinose	粉末状的
irreproachable	不可非难的
toxicomania	嗜毒癖
tv	图瓦鲁
vitality	活力
bacteriostat	抑菌剂
accumulator	积聚者
hearted	呈……心情的
unconcerned	不关心
lahore	拉合尔
sunblasted	太阳晒枯的
flectional	可弯曲的
turin	都灵(即托里诺
scission	分裂
incitant	刺激
antiscience	反对科学的
unguardedly	没防备地
picador	骑马斗牛士
benevolently	慷慨地
infructuous	不结果的
dicebox	骰子盒
coenacle	=cenacle
walking	步行的
draughts	国际跳棋
bladdery	有气泡
expressionless	无表情
bravery	勇敢
scan	审视
potpie	肉炖面团
limicole	丝蚓
megamillionaire	亿万富翁
weazand	=weasand
taleteller	搬弄是非者
hereinbefore	在上文中
goodly	优秀的
florist	种花人
virtually	实质上
pathos	感伤
feat	功绩
symptomatic	表明……的症候
sentry	岗哨
qmg	quartermaster
lean	依赖
ammocolous	砂生
aforetime	从前
whisk	挥动
complyingly	遵从地
imperfectly	没完地
trifurcate	分成三叉
shambles	屠宰场
unlively	无生气的
reflect	细想
add	加
recurved	后弯的
drone	懒惰者
liechtensteiner	列支敦士登人
base	基数
churchwarden	陶制的长烟斗
fwpca	Administration联邦水污染控制管理局
something	有点象
carnally	肉体
wring	挤
tacticity	立构规正度
datcha	乡间邸宅
telephoto	电传照像
unsummoned	未被召集的
dantonesque	似丹东的
bullwork	重活
phycoxanthin	藻黄素
trifle	蛋糕
unroost	把……驱逐出
inverseimage	原像
ladronism	有组织的抵抗
evangelic	福音传道
assimilability	可同化性
whitepox	类天花
zyme	病菌
hysteritis	子宫炎
suprahepatic	肝上的
febriferous	产热
incalculable	不可计算的
handclap	拍手
battu	打脚的
virtue	效力
zillion	庞大的数字
dcs	Dorsal
peek	一瞥
fork	餐叉
gdr	Republic
refluence	逆流
ungainly	不雅地
observatory	气象台
versify	作诗
sassaby	南非大羚羊
ambuscade	埋伏
paladin	游侠
actual	真实
perennity	长久
fornication	乱伦
rigmarolish	冗长废话
tsunyi	遵义
apollyon	恶魔
eyebeam	一瞥
stogy	笨重的长靴
zoophytologist	研究植物形动物的学者
cowpea	豇豆
pasquale	帕斯夸里
ataman	首领
fettle	殴打
sclerotomy	巩膜切开术
renew	使更新
limpness	柔弱
undiscipline	无训导
willoughby	威洛比
erlang	占线小时
arrogant	傲慢
laced	绑带子的
infarction	梗死形成
unbent	未弯曲的
inspirational	灵感的
idiosyncratic	特殊的
alternant	交替函数
backhanded	间接
salvageable	可挽救的
tolerance	容忍
alfine	到头了
contrite	深感懊悔
nasty	淫秽
doubtfully	怀疑
great	全部
workmanlike	技巧精湛地
elyseeologist	法国问题专家
yair	=yeah
cologne	科隆香水
welt	贴边
autarchy	独裁
emulatory	竞争
exemplum	例示
flatways	平面朝前
haptoglobin	触珠蛋白
renitent	抵抗压力的
january	一月
anomic	社会道德沦丧
matchmaking	安排比赛
lamellate	薄片形
gemeled	成对
technologic	技术
consolute	会溶质的
work	操作
bulletheaded	圆头的
plc	Public
easiness	温和
lacustrian	湖上住屋
annotate	注释
reexportation	再输出
overtax	使负担过度
leisterer	叉鱼的人
authority	权威
gruel	稀粥
heteroousian	本体互异论者
hematogenous	血性的
toadflax	云兰属植物
kimberlite	金伯利岩
chocho	=choko
spunge	=sponge
aglow	通红
lipography	字母的脱漏
metaprotein	变性蛋白
fine	精炼
andromonoecious	雄花两性花同株
dogmatical	教理的
nicer	良好的
geromorphism	未老先衰症
peel	削
needlessly	不必要
medal	纪念章
undercurrent	潜流
swelldom	上流社会
princekin	小王子
coeliac	腹
narrowly	勉强地
chink	叮当响
gravesian	格雷夫斯风格
heptaglot	使用七种语言的
scrappy	不连贯的
tenny	=tenne
custom	定制
goldfield	采金区
spirit	幽灵
causeless	无显著原因
ecogeographic	生态地理的
might	威力
ammoniate	加氨
table	平地层
shammer	诈欺者
dragsville	令人厌烦的事物
aquicultural	水栽法的
diverticulosis	憩室病
associational	协会
nd	钕
atheoretical	与理论无关的
globalism	全球政策
escapee	逃亡者
liberte	egalite
chaw	咀嚼
tax	税款
afoot	进行中
ultramarine	群青色
asphaltene	沥青烯
plasmolysis	胞浆溶解
bulawayo	布拉瓦约
synapse	神经键
shoreless	没有支撑
irish	爱尔兰人的
irresoluble	不能解释的
rhapsodise	=rhapsodize
moggy	母牛
clocking	孵蛋的
cavern	巨洞
bedraggled	全身泥污的
deindustrialize	解除的工业生产能力
propoxur	残杀威
ciaa	Association大学间中央体育协会
sangfroid	泰然
emergent	自然发生
roast	暴露于某种热力下以得温暖
estheticism	唯美主义
pacesetting	定步速
chrysographed	以金色墨水书写
reasonableness	合理
obscurantic	蒙昧主义
hielamon	木制盾
paddlefish	匙吻鲟
pastureland	牧草地
laparotomy	剖腹手术
recommended	被推荐的
ppm	papers
voluble	健谈的
sororal	姐妹的
coanda	effect柯恩达效应
bother	烦扰
technophobia	技术恐惧
uncultured	无教养
saturnine	阴郁
abuse	辱骂
bakelite	人造树胶
averse	反对的
spermatic	生殖的
cranny	裂隙
echinated	有刺毛
inboard	舷内
staff	全体职员
oso	Observatory
now	既然
archpriest	主牧师
before	与其……宁可
acerbating	使发怒的
malinger	装病
louisianian	路易斯安那州
feedwater	给水
sinusoid	正弦曲线
civil	民事的
sporter	运动用品
equipotential	等位的
galvanometry	电流测定
quadrennially	四年一次地
tridental	=trident
hepatobiliary	肝胆
infuriate	激怒
greenshank	青足鹬
denticulate	有小齿状突
buryat	=Buriat
streamlined	最新型
threatening	胁迫
churchilliana	有关丘吉尔的收藏品
fittest	胜任
lecherous	挑动春情
mayest	may的第二人称单数现在时
wonder	惊愕
gynaecic	女性的
venal	贪污的
gemmule	芽球
psalter	诗篇
obeisance	鞠躬
polite	有礼貌的
convivialist	爱宴饮交际的人
vinaigrette	香料饰盒
maternal	母性的
authority	威信
paraldehyde	三聚乙醛
woodcarving	木刻
magnify	夸张
dghaisa	马耳他平底小划船
sterling	纯正的
construct	建造
metis	杂种动物
last	鞋楦头
netted	用网捕获的
worm	给除虫
pollack	绿鳕
federalism	联邦制度
divulgence	泄露
punditry	专家
ketogenic	生酮
formulation	明确地表达
retrofire	卷舌点火发动
petrophysics	岩石学
retort	反驳
imperception	无感觉
unintelligent	缺乏才智的
lissotrichous	头发直的
paranoea	妄想症
chew	咀嚼
mineral	矿物
openhearted	不客气
effusively	热情洋溢地
anglomaniac	亲英份子
pulseless	无脉动的
scheme	配置
quillet	托辞
villose	象绒毛一样的
virginity	童贞
blacksploitation	=blaxploitation
travel	旅行
psychodrama	心理剧
rhachis	=rachis
bracteal	苞
fecal	糟粕
isodrin	异艾氏剂
stimy	妨碍
biennial	二年一次的
stair	楼梯
general	综合
asexuality	无性
either	随便任一个
poppa	爸
lubber	粗笨
refractable	可折射
pusher	推动者
grimily	污秽地
sustentive	支撑的
labradorian	拉布拉多半岛
unicameral	单院
troop	成群而行
inconceivable	难以相信
splanchnology	内脏学
hefa	Facilities
tristylous	三花柱
reticulitis	蜂窝胃炎
enthalpimetry	热函测量
vermicular	蠕虫的
ingest	摄取
asexual	无性生殖
amendatory	改正
clericalize	在……中提高教权之影响力
everwhich	=whichever
southeastward	往东南
unexceptionable	无懈可击的
conflation	异文合并
flexibly	柔软
acclivitous	上斜的
imp	小鬼
logged	笨拙的
menad	暴怒的女人
suspensibility	可中止
ecc	Code
blob	斑点
triennially	每三年
intranational	一国之内
metaprogram	元程序
underplay	秘密行动
enrolment	登记
retour	归还
treat	对待
instamatic	"傻瓜"照相机
elope	私奔
divine	牧师
delicate	精巧
tokonoma	壁龛
dexiotropous	右旋
disruptive	分裂性的
ass	驴
undecided	未定的
summertime	夏
anthelmintic	驱虫剂
lampoonist	讽刺文作家
filial	当做子女的
yicker	=yikker
genitival	属格的
collet	镶进底座
oarswoman	女桨手
slopseller	廉价现成衣服销售商
kiss	拂
deodorization	除臭
foudroyant	爆发
flicker	扑动翅膀
retiform	网状的
goethe	歌德
tame	没精打彩的、顺从
dollface	娃娃脸
judicatory	审判制度
pruriently	挑逗性地
foregone	先前的
unsccur	Scientific
woolgathering	空想
rough	粗略叙述
ratbag	怪人
snapper	暴燥的人
verb	动词
xpvm	PVM
unsophistication	不懂世故
rangeland	放牧地
lustration	清净
tallinn	塔林
maligner	诽谤者
harmonist	和声学者
transpose	进行变换
inflectional	屈曲的
lett	列托人
kain	实物地租
mspe	体育硕士
ineluctable	无法逃避的
playdom	戏剧界
redemand	要求归还
coroutine'	NULL)
magistracy	地方行政长官
tableaux	舞台造型
figuration	成形
gilbertian	诙谐的
nascence	发生
microbial	由细菌引起的
monde	上流社会
sourdough	酵母
stringhalt	马的跛行症
specially	临时
voluntary	主动的
univac	Automatic
weatherproof	防风雨的
sakawinki	栗鼠猴
gyroscopic	回转仪的
acetum	醋酸溶液
phaedra	菲德拉
slapjack	薄煎饼
belgic	Belgae
japonica	日本产植物
canula	导管
loud	高声
macular	有斑点的
cogged	齿轮的
monarchical	帝王的
crimpy	皱缩了
lustihood	精力充沛
herdic	赫狄克式马车
renew	补充
gyrocompass	旋转罗盘
unfortunate	不幸
airproof	密不透气的
nagger	泼妇
unladen	unlade
depot	仓库
dentation	齿状
noctivagant	夜游
mrs	Sight
funny	滑稽的
inched	有英寸刻度的
fated	宿命
eugenicist	提倡人种改良者
dine	吃饭
drip	水滴
ionic	爱奥尼亚式的
uloid	瘢痕状
hydrogenation	氢化
cargador	监督畜群装运者
lamentableners	可悲
dutiful	恭敬
sanative	治疗病症
impotable	不能饮用的
oarsman	划手
creamer	盛乳皮的盆
populate	板上组装
hyperostotic	骨肥厚
toparch	小王国君主
nok	of
unshaped	粗糙
columbian	一种活字
bull	粗壮如牛的人
supposing	去……吧
conidia	的复数
pectoral	胸饰
dynamiter	炸药使用者
foxed	变酸
cyprinodont	小软鳍鱼科
utopiate	幻觉剂
fulvous	茶色的
nora	的昵称
metropolitan	首都的
reconnect	再接合
slosh	溅泼声
needlework	刺绣
swage	铁模
heterocotylus	=hectocotylus
hypoacid	酸减低的
inaccessible	达不到
rugulose	有许多皱纹的
postulate	基本条件
unwinnable	不能取胜
incapacitation	使无能力
super	冗员
faecal	排泄物的
ox	公牛
wga	of
rinforzando	特别加重
viviparous	胎生
relieved	放心的
ragnarok	世界毁灭
betray	泄露
murmur	低语
catmint	猫薄荷假荆芥
unpolarized	非偏振的
underground	秘密地
kickback	不良后果
hermatypic	造礁的
tex	电汇
parvulus	婴儿
mathematically	算术地
geoduck	巨蚌的一种
discontinuous	不连续
alveolate	蜂窝状的
screwworm	苍蝇的幼虫
achordate	无脊索
chartometer	在地图上测量距离的仪器
colourable	似是而非的
massasauga	侏响尾蛇
worm	蚯蚓
picture	化身
confectioner	糖果店
septimal	七的
eyebeam	一看
hwan	紫蓝子
ectochondral	在软骨表面上
technic	技术
cookstove	烹调用炉
ancipital	剑形的
inconvenient	有困难
ncaa	Association
sierran	锯齿山脊区的
moline	风车式
relator	叙述者
declaim	巧辩
keratoid	角状的
foil	金属薄片
person	人称
belgic	荷兰或比利时
eugenics	优生学
turrethead	转台
insistently	坚持
devastating	全然的
sharpener	磨床
byplay	附属行为
protochordate	原索动物
girondist	Gironde
misdoer	行为不轨者
hemorrhoidectomy	痔切除术
harare	哈拉雷
fcis	Secretaries特许文书协会会员
quarantinable	应隔离的
habitancy	居住
run	熔化
hqmc	Marine
oss	source
lick	克服
ulf	超低频率
yarraman	马
studbook	血统簿
mobbism	无法无天的行为
uncontainable	无法控制的
seepage	渗出的量
certain	可靠
zenaida	塞奈达野鸽
semiarc	半弧
beautician	美容师
slavish	奴隶的
newfashioned	新型
endurant	能耐劳
ldc	Less
thievish	有偷窃习惯
errhine	引涕药
tumbler	一杯量
domical	圆顶式结构的
linksman	高尔夫球员
underclub	使用达不到射距要求的球棒
sanguine	面色红润
victimless	不侵害他人
conquest	战利品
hormonal	激素的
impavidity	无惧
expectorant	除痰剂
admonitory	劝告的
myth	荒诞的说法
dehorn	切去角
frumety	牛奶麦粥
multidimensional	多面的
involve	使陷于
frunze	伏龙芝
apres	在……以后
reviewal	评论
shutter	关闭者
gradient	倾斜
eisegetical	肆意诠释
crushhat	折叠帽
whame	=gadfly
pornography	色情描写
ataractic	镇静剂的
spendable	可花费
longinquity	长久
panmictic	随机交配
currach	沼泽
bodily	身体的
volcanism	火山作用
amniotic	羊膜
samoan	萨摩亚人
gerontic	老年人的
marv	装备机动重返大气层分弹头导弹
striae	细沟
morphodite	=hermaphrodite
acculturate	使适应文化
unpenetrable	难穿入的
jumper	妇女穿的套头外衣
marathonian	马拉松
infirm	柔弱
roadable	兼用汽车的
freeman	享有市民权的人
mesopelagic	中层的
nature	大自然
rfe	Radio
lance	标枪
fading	衰退
charkha	手纺车
starched	硬挺
excise	货物税
serous	浆液的
clothes	各种衣服
icc	国际计算中心
aboil	激烈
granulocyte	粒性白细胞
ghazi	立誓与异教徒战斗的伊斯兰教徒战士
grutch	勉强地给
meltability	可融性
peripherad	向周围
thickheaded	愚蠢的
confer	把……赠与
rejectant	昆虫拒食素
immovable	不改变
ruck	弄皱
tyro	初学者
praenomen	第一个名字
geometrize	研究几何学
state	国营
froufrou	衣服的沙沙声
angary	常征用权
plater	镀金匠
character	印
consequential	相因而生的
haematopoietic	生血
chunderous	令人作呕
unwinnable	攻不破
dedicate	献
plasterboard	石膏板
convenient	方便
banquo	班柯
quotidian	日发虐
plural	复数
telephoto	用远距镜头照相的
pseudorandom	伪随机的
ourself	pro
parleyvoo	法国语
zoan	Tanis的圣经名
ashy	苍白的
remiped	桨足类
fructuous	会结果实
abstersion	洗涤
ratheripe	早熟的
suffixation	加词尾
yell	喊声
sociable	增进友谊的
sampler	取样器
magnanimous	有雅量
anticharm	反粲
inconsonant	不一致的
bourg	有城堡的村镇
tripolar	三极的
smartly	漂亮地
cement	接合剂
owe	欠钱
mahlerian	马勒乐曲
inconsecutive	不连续的
renavigate	再领港
ruffian	无法无天
stringer	上弦匠
rivet	固定
airport	私人飞机降落场
smoky	冒烟
bridewell	拘留所
incondensable	不能凝缩的
braunschweig	=Brunswick
phosphaturia	高磷酸盐尿
complimentary	问候的
samara	翼果
gurdwara	谒师所
socratism	苏格拉底哲学
unexploded	未发射的
racker	行拷刑者
meddler	干涉者
rusty	生锈的
indescribably	不可名状
easement	安心
viniferous	为酿酒而栽培
cloudscape	云景
indocile	难驯服的
saving	节约的
call	必要
pacesetting	定速度
masterwork	名著
nog	根株
pteridoid	如蕨类的
protestant	新教徒的
normally	正常地
abundant	丰富
phonematic	音位的
prevalent	普遍
smsa	Statistical
clangorous	响亮
tongueless	哑的
catadioptric	兼反射光及折射光
goody	身份低微之老妇
spectacularity	壮丽
undercut	砍口
picaroon	海盗
templar	法律家
katanga	加丹加省(扎伊尔沙巴区
lumber	笨重地行动
rad	拉德
corniness	谷类
portly	健壮的
raid	独立磁盘阵列
hangsman	刽子手
hutted	设在小屋里的
udt	Transfer
palatodental	腭齿
lamp	照亮
at	向
ghast	死人般的
tristesse	忧郁
overdaring	有勇无谋的
lay	层面
eastward	向东
overconfident	自负
rubredoxin	红氧蛋白
blackcoat	牧师
unholiness	无信心
hostageship	人质的地位
eduction	排出
demonetarize	不再把……用作货币本位
thymelaeaceous	瑞香科树和灌木
scimitar	单刃刀
economy	节约措施
phonasthenia	发音无力
potheen	私酿的威士忌
driller	钻孔机
westerner	西方人
xiamen	厦门
catamite	娈童
priestly	僧的
stipulation	契约
kechua	奇楚亚人
religionary	宗教
tubifex	水丝蚓
gunning	用枪搜索捕杀
trailside	小径一侧的
glandulous	有腺的
reirradiate	重新用辐射处理
albinism	皮肤变白症
invective	非难
deodorization	防臭
elect	选择
hyperphysically	超肉体地
cluw	Labor
hetaera	古希腊的高级妓女
microgauss	微高斯
unflawed	完美无缺的
evocative	唤出的
section	区
lustring	一种有光泽的丝织物
ungalled	未受伤
contemplate	预期
prosodial	=prosodic
hyalograph	玻璃书写器
playgirl	好寻乐的女子
subjectivism	主观主义
drop	点滴
boatyard	修船厂
professorship	教授之职
thecate	具鞘的
impulsion	冲动
inorganization	缺乏组织
shit	屎
hsien	县
muscle	瘦肉
icj	International
percutaneous	经皮的
fructan	果聚糖
phlebography	静脉造影术
snackery	小吃店
wacky	疯疯癫癫的
giantess	女巨人
prejudice	偏见
crybaby	软弱容易哭的人
forethoughtful	慎值
galactorrhea	乳漏
approximative	接近的
filmic	电影的
upset	颠覆
snaggletoothed	牙齿不齐
egregious	异乎寻常的
coalpit	煤坑
chaste	朴素的
drooly	非常可爱
irritability	易怒
emblaze	照亮
cylix	古希腊的高脚浅杯
bathochrome	向红团
skullduggery	=skulduggery
independence	自主
hit	找到
surd	无道理的
mace	肉豆蔻皮
razzia	掠夺性的军事袭击
jump	突升
passionflower	西番莲科的
conicity	锥形状态
adenomatous	腺瘤
halm	稻草
winegrowing	葡萄种植和葡萄酒酿造业
obediently	忠顺
overlusty	精力过于充沛
wordily	唠叨地
centisecond	厘秒
nigerien	尼日尔人
amok	狂乱
panchreston	万能解释
mmm	Mobil
symptomatic	征候的
squirish	适合乡绅身份的
camomile	甘菊
magnum	大酒瓶
msa	Science
territory	地域
linen	亚麻布
adversative	反意语
membraneous	=membranous
offset	分支
outrigger	桁等
wust	香肠
pathan	住在印度西北国境的阿富汗人
electoral	选举人的
coliform	象大肠菌
gassing	吹嘘
sponsor	保证人
humanize	有教化
osteometry	骨测量法
rough	粗糙地
infold	包
pious	尽责
orthonormal	标准正交
colliery	煤矿
condolent	哀悼
zoologic	关于动物的
distinguished	高贵的
risk	冒……的危险
partyism	党派心
orthopteran	直翅类的昆虫
latrine	厕所
dunnite	高性能炸药
shit	取笑
terminate	终止
mat	席子
cyclical	循环
tannage	鞣革厂
gigot	羊腿形袖子
tab	制表符
justicial	公平
brazier	火盆
inwound	inwind的过去式和过去分词
rfe	自由欧洲广播电台
stray	离群的
introducer	介绍人
pounder	捣杵
hedonistic	快乐主义的
unverbalized	非言语化
loafer	流浪者
pistachio	阿月浑子果实
surprise	诧异
fluxionary	微分
shady	阴暗的
