trail	没精打采地走
thiamin	硫胺
elfish	小妖精的
domesticable	习于家居的
jsd	Juris
glove	戴手套
exchangeability	可交换性
understandability	易懂
scabland	凹凸不平而不毛的火山地带
leaping	跳跃而行的
nephropathy	肾病
tong	堂
desipient	顽皮的
chill	扫兴的
brd	Bundesrepublik
rhetoric	花言巧语
choreographic	舞台舞蹈
billabong	死河
parvus	少
rouse	惊起
caporal	质量一般
imperator	绝对统治者
sick	恶心的
albion	英格兰或不列颠的雅称
vituperation	谩骂
tonsil	扁桃腺
tantalizing	非常着急的
hosel	使用水龙带的消防人员
bios	Output
rsn	Soon
possibilism	可能派信条
thrapple	咽喉
sulphamethazine	磺胺二甲嘧啶
rifampicin	利福平
superheat	过热
forested	草木丛生
offhandedly	即席地
minium	朱红色
paladin	骑士
failing	缺点
distichous	二列的
lifeline	重要的交通线
joyful	可喜
cutler	刀商
memsahib	太太
dropt	放掉
arsenicate	使与砒混合
introgress	基因渗入
preemptor	获优先购买权者
receptacle	容器
tempestuousness	风暴
nihilistic	虚无主义的
lepidocrocite	纤铁矿
calamine	菱锌矿
chuff	乡下人
capulet	凯普莱特
joppa	=Jaffa
zelanian	新西兰的
reaganism	里根主义
arcaded	有列拱的
most	大部分的
yell	大叫
sheeny	光亮
skinny	似皮的
crackajack	上等
predestination	预定
careworn	饱经忧患
firestone	燧石
bidden	出价
robbin	=roband
plugboard	线路连接板
fane	寺院
meanie	刻薄鬼
despicably	卑劣地
fastening	扎牢
gorblimey	岂有此理
isopathy	同源疗法
patellar	膝盖骨
crmp	Military
karst	石灰岩地区常见的地形
unspiritual	非灵魂
termly	定期地
drive	开车
nooning	午餐
libidinous	好色的
mediterranean	地中海沿岸的居民
adversarial	对手
apteral	无侧柱的
ectozoic	外寄生虫的
translatory	平移的
sun	晒
neuropathic	神经性的
acotyledonous	无子叶的
hydrophilic	亲水的
oaw	Winchester
spree	狂欢
puppyish	小狗的
uncomfortableness	不安
tumultuously	骚乱
existent	存在的
hardcore	无条件
iconologist	偶像学
hermetical	与外界隔绝的
dewlap	胖人喉部鼓出的肥肉
reagin	变应性反应素
ketchup	调味蕃茄酱
undersheriff	代理郡长
slam	砰地放下
impelling	迫使性的
regrater	转手倒卖者
starveling	贫穷的
nicish	细心
eudemon	善良的精灵
scoff	嘲弄的对象
uart	通用异步收发器
rub	擦掉
wampish	使晃动
characterless	不出众
block	防碍
intuitivism	直觉说
confirmedly	根深蒂固
zapotecan	=Zapotec
fussily	小题大做地
madreporite	穿孔板
precaution	警惕
midge	蚊
silence	静默
jerquer	船舶检查员
retrieve	重新得到
share	分配
gpd	加仑[日
tarawa	塔拉瓦岛
flectional	可弯曲
bathymeter	水深测量器
commercially	通商上
spacing	间隔
unheard	未知
lendable	可借贷的
ludicrous	可笑
confessionary	告罪
defilement	弄脏
coessential	同素的
algarroba	牧豆树
jangler	n
gunpowder	有烟火药
succedaneous	代用的
skewback	拱座
bess	贝丝
snob	假内行
reredos	祭坛背后墙壁上的雕饰
salivous	唾液
gunsight	瞄准具
loxodromic	斜驶的
gardenless	无花园的
pizazzy	潇洒
hurlbutite	磷钙铍石
abscise	被切除
stabilizer	水平尾翼
ast	Target
miniver	白鼬
owing	应归功于
inaugural	开始的
complement	余角
quadrillion	百万之四次方
irrelevantly	不恰当
veiled	以面罩遮掩
moriori	莫里奥里人
indusiate	幼虫膜的
vasostimulant	促血管舒缩
reconnaissance	勘测
postmarital	婚姻结束后的
tetramethyl	四甲基的
pretreat	预处理
cobweb	蛛丝
mauritius	毛里求斯
marasmic	衰弱的
namely	即
protostellar	原恒星的
windbreak	防风物
modernday	当代的
furious	热烈兴奋的
lubricious	光滑的
purgatorial	炼狱
compendiary	简略的
divulged	暴露
multinomial	多项的
tigrine	似虎
extort	强取
cold	零下温度
trumpery	零星杂物
hexavalent	有六价
remnant	剩余的
accompt	=account
bondservice	奴役
igy	International
agelong	持续很久的
coincidental	巧合的
wring	折磨
diallel	双列的
usv	United
phoneticism	语音拼字法
rhythmed	有节奏的
project	工程
funiculus	细索
coaction	合作
superior	上好
excommunicant	被革出教会的人
septimal	七
austere	操行上一丝不苟
fibrillate	有原纤维组织
cryobiology	低温生物学
ambisyllabic	属二音节的
apprenticeship	学徒的身份
midwifery	催生
permissionist	=permissivist
fatigue	使心智衰弱
pollux	双子座之星
glaucous	绿灰色的
c	往来账
riskful	危险重重的
phagosome	吞噬小体
rack	在架上制作
trundle	推动
trijugate	具三对羽片的
gasless	无气体
studiously	好学
melancholic	忧郁
unlistening	不敏感
palm	手掌
exsanguine	无血
halt	中断
lucullian	富裕
millepore	千孔虫
unfordable	无法通过的
downright	显明
innuendo	影射
villatic	别墅的
masturbatory	自淫
predominate	控制
cystic	膀胱
tempeh	印尼豆豉
blotch	弄脏
oven	灶
rawalpindi	拉瓦尔品第
unjustifiable	不能分辩的
qingdao	青岛
feulgen	reaction
dreamy	空幻
jigsaw	用竖锯锯
everyday	每天
nora	Leonora
atropism	颠茄碱中毒
premonitor	预先警告者
imperfectly	有缺点
avestan	阿维斯陀语
bakeshop	=bakehouse
ellsworth	埃尔斯沃思
cycle	使轮转
charnel	阴森的
ladified	有贵妇人风度
skintight	紧身的
scheduler	日程安排程序
onchocerciasis	盘尾丝虫病
inherently	天性
discommendable	不赞成的
eared	有穗的
arrange	协商
ckd	knocked
zooplastic	动物组织移植术的
unmerited	无功受禄
place	任命
outlie	放在……外面
donor	捐赠人
vegetative	有生长力
disputation	议论
singlehanded	单独
ridable	可骑马通过
wearily	疲倦地
africanist	非洲独立运动拥护者
auxotroph	营养缺陷体
aspirant	有野心
contrarily	反对地
unsympathetic	不同情的
tamp	捣棒
stand	立足点
uptown	住宅区的
tartarean	阴间
intermezzi	间乐曲
rill	小河般流
shiftless	无能
volant	会飞
towery	高耸
trainbearer	长尾蜂鸟
rumpty	极好的
ergastulum	囚禁奴隶的私人监狱
regular	合格的
seamanlike	熟练水手似的
twopenny	淡色啤酒
innutrient	营养不良的
homegrown	国产
chemurgy	实用化学
reduce	简化
older	年长的
babblingly	胡说
wayfaring	徒步旅行
throat	窄路
platyhelminth	扁形动物
progressionist	进步论者
clostridial	梭菌的
ordovician	奥陶纪
malemute	=Alaskan
intact	完整无缺的
parenchyma	软组织
panasonic	日本松下公司
wananchi	当地工人
backless	无靠背部
thesaurosis	沉着病
rubicund	透红的
wickedly	顽皮地
deadweight	重负
pucka	第一流的
antienzymic	抗酵素的
csma	Sense
god	神像
dissave	动用储蓄余
tentative	试验性
nunnery	尼姑庵
eccentric	行为古怪的人
kamerad	伙伴
ostensorium	=monstrance
mummification	木乃伊化
carbonylic	碳酰基
silly	无聊
bloodwort	地榆
cpc	中国共产党
hybridisation	=hybridization
scimitar	半月形刀
baculum	阴茎骨
magellan	麦哲伦海峡
sanatory	有益健康
mycobacterium	分支杆菌
pregnant	孕育
wheezy	气喘声
homoplastic	类似的
traffic	通信量
ursiform	熊状的
abundant	充裕
airbrush	油漆喷雾器
winnow	扬
theaceous	茶科的
exponence	说明
gloriole	后光
emotional	情绪的
rattly	格格响的
bellyband	腹带
hoist	提升间
garnishment	出庭传票
doughty	强
tininess	微小
buff	浅黄色
waste	损耗
wrangle	争论
sketchy	粗略的
waxplant	球兰
usia	Information
jus	法律的原则
electroculture	电气栽培
jag	尖齿
raspy	易怒的
guerdon	给报酬
carmine	洋红色的
economy	机体
cetus	鲸鱼座
odorant	有气味的东西
oncost	间接成本
reflected	得自他人的
militant	好战
lose	使失去
immobilise	使不动
deviser	设计者
spongiose	多孔的
msee	Engineering
immodesty	无礼
preciously	过分讲究地
reenact	再制定
dumfriesshire	邓弗里斯郡
subovate	近似卵圆形
prefigurative	预示
compilatory	编纂
conically	成圆锥形
diethyl	二乙基的
dominating	专横的
verity	真实
waste	废弃的
oozie	驭象者
disclaimer	放弃者
fishpound	拦鱼堰
jibe	使转向
columbian	哥伦布的
vehement	热烈
basification	碱化
acerb	刻薄
apathetic	缺乏感情的
rongeur	咬骨钳
suzuribako	文房四宝盒
festally	如节日
ferriferous	含铁的
pathetic	悲惨
half	半场
dysthymic	精神抑郁的
trust	信任
malvinas	Malvinas
nematocyst	刺细胞
traveled	富有旅行经验的
orthodox	传统的
sublimate	理想化
unnerve	使失去勇气
nonmedical	非医学
transmitter	发报机
windward	上风
cleavage	劈开
araneidan	真蜘蛛类
loud	高声地
discipular	门徒的
dyspnoea	呼吸困难
unthoughtful	粗心
meandrine	成襞皱
econometric	计量经济学
complain	控诉
rancher	牧童
romance	冒险故事
ndis	网络驱动程序接口规范
seventeeth	第十七的
instigate	鼓动
excusably	可宽恕
trinomial	三项式
labialization	唇音化
soot	煤烟
eyelike	眼状
joking	戏谑
tubate	有管
armature	盔甲
obelize	加剑号
jocosely	说玩笑地
daf	the
trinitrophenol	acid
lamellose	似薄片层的
unversed	不精通的
mins	需监护的未成年人
nut	螺帽
wyswyg	所见即所得
ampelopsis	美国蔓藤
irregular	不规则的
reflectingly	深思
scribe	划线器
loadstone	磁性氧化物
rhumb	罗盘方位
drink	酒
colory	颜色显著的
charade	看手势猜字谜游戏
etic	素
pauper	叫花子
suboceanic	海底
insurrectional	叛乱的
thriftily	兴旺
empyreumatic	焦臭的
posttreatment	后治疗
barren	不生育
xms	memory
procuratorship	之职
drinker	酒徒
overlie	躺在……上面
legato	连奏
promissory	约定
tindery	易燃
ferricyanogen	氰铁酸盐的三价基
lapland	拉普兰
panicmonger	制造恐慌的人
trior	审判员
cavalcade	队伍
aldosterone	醛甾酮
arrogant	自大的
cutler	刀具工人
lassock	小女孩
sicky	=sickie
residuary	剩余的
funny	滑稽
infatuated	入迷
last	后来
instant	紧迫的
motiveless	无动机的
lst	Local
rattling	卡嗒卡嗒
corporeity	体质
sting	刺痛
cadmus	卡德摩斯
cataclysm	灾难
vegetal	植物性
unmotherly	不慈爱的
haemophilioid	类血友病
underhand	秘密地
rightly	公正
recompute	验算
macrobiosis	长寿
ostraca	的复数
phlebosclerosis	静脉硬化
brigatisti	红色旅
antirachitic	治疗佝偻症
secularism	宗教教育分离论
fishpond	养鱼塘
roam	徜徉
wayahead	致力于消费类软件的制作、发行及信息服务
heliocentric	以太阳为中心
insubordinately	犯上地
pupiparous	蛹生的
unconspicuous	不引人注目的
unsuspecting	信任
antipodes	相对极
uncaused	非外因引起的
conjecture	臆说
cycle	周波
filicoid	如羊齿植物
saronic	萨罗尼克湾
bmr	basal
hairdressing	理发
washhouse	洗衣房
unpleasing	不愉快的
pander	勾引
hibernian	爱尔兰
malvina	玛尔维娜
johnsonian	庄重
misogamy	厌恶结婚
reincrease	再增大
telecentric	远心
antipole	正相反之物
gleaning	落穗
meiofauna	=meiobenthos
perception	感觉
kebele	自治街坊联合会
slithery	滑溜的
remedially	治疗地
precipitate	突如其来的
blatant	喧嚣的
abaca	马尼拉麻
physical	物质
kaiserdom	皇帝的地位
hepburnian	使用该拼法的人
spilt	spill的过去式及过去分词
fictionalize	把编成小说
zooty	花哩花哨的
riant	快活的
deference	顺从
holloo	=hallo
mercurialise	=mercurialize
klystron	速调管
anaesthetic	麻醉剂
soothe	使缓和或减轻
lawyeress	女律师
mass	使集合
ophthalmic	眼
gemutlich	安逸
trotskyist	托派分子
waywardly	任性地
salutatory	致敬意的
painstaking	艰苦的
apocalypticist	预言大灾难降临的人
ecaudate	无尾
noogenic	心理发生
invertebrate	无脊椎
altair	牵牛星
romeo	室内便鞋
gramadan	=gramdan
kathiawar	卡提瓦半岛
microcosmic	微观世界
vivify	使复生
whop	征服
dour	顽强
gastrovascular	消化与循环两用
insectile	由昆虫组成的
attainture	不名誉
astounding	令人惊骇的
cutoff	中止
papilio	凤蝶
outlandish	奇异的
laitakarite	硫硒铋矿
chrismon	=Christogram
frug	扭摆舞
ib	Intelligence
uniaxial	单轴
fim	鱼类
outlive	比……耐久
consequently	因此
pictorialize	使图示化
phalangal	=phalangeal
tutiorism	更稳妥说
meshugaas	蠢话
whatnot	放古董的架子
moonshine	月光
trashsport	体育运动表演
gyrate	不停地转动
geomancer	地占者
absorbingly	引人入胜地
replay	重新比赛
curbing	边石
southland	南部地方
parallel	相同的
sadhana	成就法
namaycush	湖红点鲑
almond	杏树
spiceberry	香料植物
machiavellian	权谋政治家
tumble	翻筋斗
deep	迟
tungus	通古斯语
about	关于
coprecipitation	一起沉淀
untrod	人迹罕至
rattling	卡嗒卡嗒的
foresleeve	前袖
indeliberateness	不是故意
abed	在床上
homespun	手织物
duteously	守本分地
inductive	诱导的
amadavat	梅花雀
worm	蠕虫
detector	检波器
adelantado	西班牙贵族
styrax	=storax
symphysis	骨的愈合
rhombohedral	斜方六面体
expanding	展开的
equivalent	相等物
homespun	朴素的
acidulous	不悦
ambrosia	神的食物
rareripe	早熟的
heliograph	日光仪
amort	意志消沉的
oblivion	赦免
antifoulant	防塞物质
telega	四轮运货马车
exchangeable	可替交
impure	不纯
exudation	分泌
aggressor	侵略者
sensuality	淫荡
termly	每一期的
castigatory	斥责
unprojected	非预料的
shune	shoe的复数
hevea	三叶胶
gingerly	谨慎的
tolerance	忍受
pronate	俯身
autnumber	比……多
worrier	发愁的人
chromatics	色彩论
inviolate	未亵渎的
dsn	数据源名
manned	有人驾驶
isolated	隔离的
sansculotte	下层阶级
hatchery	孵卵所
polyhydroxy	多羟
vfat	Virtual
fst	超平面技术
update	现代化
carroty	红发的
bubble	起泡
stanchly	坚强地
rime	白霜
trembler	震颤者
meropia	部分盲
forcible	强制
meretricious	娼妓
fanega	法内格
criminy	基督
cytospectrophotometry	细胞分光光度学
nwbw	by
fatness	肥沃
heteronomous	他治
plf	磅/英尺
concelebrate	共做弥撒
soreness	痛苦
incorporator	合并者
reubenite	流便支派人
unrazored	未剃过的
dumpage	倾倒
usable	便于使用的
inhumanly	无人情味地
neoplasm	赘生物
papillose	多疣的
shaven	削发的
sparing	节俭的
bronchiectasis	支气管扩张
coetaneous	同时代
odorously	香气地
sankhya	数论派
redemandable	要求归还
nix	无
constituency	赞助者
hexastyle	六柱的
unobvious	不显著的
outact	行动上胜过
lowness	微弱
unexcited	不激动的
assemblyman	议员
anonym	匿名者
gradualness	徐徐的
enteritidis	肠炎
hesitatingly	踌躇地
dysphasic	言语困难的
prolificacy	多产
whereover	在那上方
something	某事
admissibility	有入场的资格
noninitially	不是最早地
charily	俭省地
proctoclysis	直肠滴注法
bratislava	布拉迪斯拉发
alba	of
assiduous	刻苦的
proletarian	工人
semiformal	适于半正式场合
anality	肛恋
way	习惯
reversal	逆转
quarantinable	应隔离
cretan	克里特岛人
ast	Time
isospore	同形孢子
eurithermophile	`jJErI9W\:mE`Il/
pregnable	可攻击
redraw	重画
bowel	肠
oppress	压迫
accountably	可说明地
fastidium	无聊
metonymic	转喻的
daystar	晨星
glazer	上釉工人
brachycranial	圆颅型
lawlessly	非法地
spy	间谍
irresolute	犹豫不决
cool	冷静的
praepostor	级长
expensively	高价
epigastrium	第一腹片
effectively	有力
cranked	有曲柄
afflux	注入
gelt	geld的过去式及过去分词
reportorial	记者的
regionally	方
bondsman	奴隶
tranquility	宁静
dukka	=duka
gyratory	旋转
veining	脉纹的排列
while	虽然
seam	裂开
immunochemist	免疫化学
liceity	合法性
polarization	分化
wolfy	狼一样凶残
leapt	leap的过去式及过去分词
composition	合成物
grayhound	快速船
hirer	雇主
resentful	怨恨
unstuffed	未填塞
dement	疯狂
giraffine	长颈鹿
exudation	渗出
society	友伴
umbilicate	中间凹
cleanup	清除
idle	停顿的
squish	咯吱吱地走
selected	经由选择的
mainline	静脉注射
chunky	矮矮胖胖的
phosphite	亚磷酸盐
mullein	毛蕊花属的植物
sporule	小孢子
baronial	男爵的
relatively	相关
fail	舍弃
hucklebone	距骨
rebelled	反叛
ruined	毁灭的
jargonaphasia	杂乱性失语
fontal	本源
hypernotion	超概念
capo	分支头目
corned	盐腌的
coxcombical	虚浮
polemist	争论者
pantoum	由隔行同韵的四行诗节组成的诗
grizzly	灰熊
homologous	类似
at	于
destabilize	使动摇
nelumbium	莲属植物
menat	护身符
mortal	临终的
zg	zoological
eject	逐出
semiplastic	半塑性的
croupy	义膜性的
konfyt	蜜饯水果
fusiform	两端渐细的
furnishings	室内陈设品
attractively	迷人地
frontlet	额前饰
communally	公有
deathsman	刽子手
conscienceless	不知廉耻的
tillable	可耕种的
coxal	腰节的
keratinization	角质化
depreciate	贬值
stownlins	偷偷
penelope	期间她拒绝了无数求婚者
counterbalance	平衡量
nananne	纳南
winning	获得
gph	加仑
born	天生
banteringly	半开玩笑
startling	令人吃惊的
generation	产生
parametric	参量
hypoploid	亚倍体
emunctory	排泄器官
dwarfish	象侏儒的
secretiveness	分泌
baltic	波罗的海
encouraging	奖励
zeatin	玉米素
displease	惹怒
quartan	四日热
usib	Board
carryout	供打包的酒菜
antidromic	逆向的
superheater	过热器
unimposing	不动人
scalper	做投机抽头的人
rebore	重镗
os	儒略历
emit	放射
conglobulate	结聚成球状
linenfold	布轴式
indigently	贫乏
rocketry	火箭技术
whoop	哮喘声
autocratic	专制
greediness	贪欲
unassailed	未受袭击
honorific	尊敬的
distinct	明显
vehemently	暴烈地
rutilant	闪光
metachrosis	变色机能
antihemophilic	抗血友病的
misapprehend	误解
gesticulate	做姿势表达
accordant	一致
aurelia	蛹
ream	刮
flareback	激烈的反驳
metaplasia	组织变形
therian	兽亚纲哺乳动物
shelter	躲避
homozygosity	纯合性
quadraphonic	四声道的
roundwood	圆材
surround	包围
sellout	脱销
counterstroke	还击
equanimity	镇定
orientalise	=Orientalize
autoimmunization	自身免疫
tauntingly	嘲骂地
hexyl	己基的
eximious	优良的
anthropic	有关人类的
caesural	主要停顿的
possibly	可能
fondu	干酪
slither	使滑动
chauvinistic	沙文主义
outward	表面上
profane	亵渎
cms	management
callow	未生羽毛的
spiritualize	使精神化
arthritis	关节炎
secondly	其次
overelaborate	过分精心制作
fan	成扇形散开
institutional	制度上的
multiplicity	多样性
immoderately	过度的
musette	法国的小风笛
yellowback	廉价小说
inharmony	冲突
neronian	暴虐的
herbaceous	草本的
plonk	劣等廉价葡萄酒
leadenhearted	没有恻隐之心
combination	合并
banishment	放逐
medical	医生
unprescribed	非限定的
inn	客栈
plug	塞
spark	情郎
sacrament	立誓
eyre	巡回
hamartoma	错构瘤
laval	熔岩
gramineous	草的
ghostlike	灵魂似
kymogram	记波图
xylophilous	木生
iconometer	光像测定器
transnatural	超自然的
thereto	往那里
amygdalaceous	蔷薇科李属植物的
luetically	疫病
beatific	幸福的
domaine	葡萄园
umbles	牲畜的内脏
myriapodal	多足纲节肢动物
livelily	敏捷
enforce	加强
parasympathetic	副交感神经神经系
unenvious	不妒忌的
lumbaginous	腰痛
housemother	女舍监
chary	谨慎的
impelling	强有力
hypobarism	低比重
pewchair	教堂长椅旁的加座
thermoset	热固树脂
officer	船长
unavoidably	无可奈何
hypothenar	小指球
continental	欧洲人
overnight	前夜的
unbailable	不能保释的
iconological	偶像学
hydrodesulphurization	氢化脱硫作用
incompatible	矛盾的
lawks	嗳呀!
preachify	讲道
superorganism	超个体
phonetician	语言学者
speechifier	演说者
posh	极好
nonbeing	=nonexistence
muscovado	黑砂糖
awag	摇动
thence	从那时起
misogynic	厌女
ccpit	the
nonobjectivity	抽象艺术派之作风
cityfied	=citified
every	每一的
centric	中央
hypersexual	非常好色的
halterbreak	使小马带惯笼头
feldspathic	由长石构成
strained	做作的
crakeberry	岩高兰
capitol	国会大厦
aryan	印欧语系的人
wistfully	希望
delicate	脆弱的
antinode	腹
musicassette	卡式音乐录音带
feculence	污物
phylactic	防御疾病
study	试作
ovalbumin	卵清蛋白
gossoon	小伙子
reliable	可信赖的
acutilingual	尖舌
lex	法
porn	色情描写
interested	感兴趣
disgust	令人厌恶
overmany	过多
toynbeean	汤因比风格
behindhand	耽误的
uncultured	未开垦的
quick	要点
raunchy	肮脏
agriculture	农艺
separatory	用于分离
golosh	橡胶套鞋
prefigure	预示
diluent	稀释液
priority	先
bilateral	双边
erstwhile	往昔地
lesson	教训
cantate	篇
unworking	闲着的
backbit	backbite的过去式
impairer	损害者
subscapular	肩胛前面
predicative	肯定的
balloonkite	军用细长气球
unsmirched	未弄脏
caledonian	苏格兰的
numega	出品Softice
lacrimal	泪
welter	混乱
hospitably	招待周到
spinosity	难题
millimicro	毫微
apartment	单元住宅
laic	俗人
juratory	以誓言表达
meant	mean的过去式和过去分词
tapper	电报键
unperceptive	无识别力
bedclothing	寝具
msy	sustainable
demob	复员
cranked	有曲柄的
leaning	倾向
salient	跳跃的
phocine	像海豹的
choleraic	类似霍乱
overwhelm	覆没
stipulate	保证
varicella	水痘
billbug	喙甲
diester	二酯
nicotiana	花烟草
set	坚决的
flyman	管理大道具的人
circumnavigator	世界一周旅行者
transfixion	贯穿
sycophant	谄媚者
mechanotherapy	力学疗法
thixotropic	摇溶
johannes	葡萄牙十八
ludic	开玩笑
welfarism	福利费
cardiac	强心剂
slaughter	屠宰
trickish	难对付
dilutive	冲减每股收益
noodlework	脑力活动
asphyxiator	动物窒息器
umbrageous	多荫的
discreetly	小心地
touse	吵架
arithmetical	算术上
rule	控制
aspi	高级SCSI编程接口
stickykey'	NULL)
schmo	愚人
unicolor	单色
grandiloquent	夸大的
lactescency	乳白色
cardinalate	枢机主教之职
skin	皮毛
after	后来
hemosiderotic	血铁质的
crymotherapy	冷冻疗法
coda	乐章结尾部
lithophilous	爱石的
residentiary	居民
catonian	加图式的
polaris	北极星
reflex	反射的
minor	较小
stammer	结结巴巴地说
puzzling	使迷惑
ravishing	引人入胜
motivic	动机
transtage	中间级
overswing	挥动弧度过大
embedded	植入的
ucla	California
can	可以
confer	授予
dynistor	负阻半导体
poorness	贫穷
charity	施舍
cyclothymic	循环性精神病
euthanasia	安乐死
sere	干枯的
befitting	适当
kook	怪人
floatman	花车管理员
madness	愚蠢的行为
gentlewomanly	淑女
unregimented	未严加管制
unconfiding	缄默的
cryptorchid	患隐睾病的人
adiaphoresis	无汗
earning	所赚的钱
msgm	Government
furtively	暗中
plaintful	悲叹
fadeaway	消退
gaffer	领班
redemandable	再要求
newsworthy	有报导价值的
draff	残渣
nonfinite	非定式的
allocate	分派
eyeless	盲目
surpliced	穿白袈裟
fossula	小窝
restate	重新叙述
theanthropical	具有神人两性的
unyieldingly	不屈服地
pedestal	加座
odt	国防运输局
solicitudinous	关心
cinematic	影片的
lipochrome	脂色素
spread	涂
utricular	具胞
stoma	气门
marquis	侯爵
yielding	易弯曲
grandee	贵族
federalization	同盟化
diphtherial	白喉
bla	of
yird	陆地
whirl	急走
salient	易见的
lawless	非法的
humorously	滑稽
fogey	抱残守缺的人
suburbicarian	罗马市郊的
magnoliaceous	木兰科
fitment	家具
shm	simple
repot	移植
infinite	极大
northwards	面向北地
unheroical	给人印象不深
dihydro	有二个氢原子
mossback	乡巴佬
sobriquet	假名
colorimetric	比色
stand	停止
meum	pro
calendric	按日历的
bloomy	盛开
residuum	残滓
backsheesh	酒钱
profligate	不检点的
weediness	杂草状
surculous	有根出条的
metallographic	金相学的/学的
venomous	分泌毒液
adagissimo	很慢
theroid	兽性的
wll	Loop
chambertin	香贝坦红葡萄酒
bedaze	令眩惑
lysol	来沙尔
toffee	太妃糖
demurely	认真
franking	邮资
hematoid	血样
mucic	黏酸
suspicion	猜疑
agrestal	野生的
hyperuricaemia	血
thrasonical	沉重的
pomander	香丸
kure	吴
importation	输入品
weftwise	横向地
muddily	多泥
egoistically	利己
nancified	女人气
columbian	哥伦布
subnormal	低于正常
median	中值
gentamicin	艮他霉素
caudal	尾部
ridgling	=ridgeling
lane	里弄
zincic	锌的
degrading	丧失体面
second	支持
intrigue	密谋
lagniappe	商店给顾客的小赠品
laurel	月桂树
chlorospinel	绿尖晶石
zoolatrous	动物崇拜的
singaporean	新加坡
harassed	厌烦的
reference	证明书
disjunct	不相连的
automorphism	自守
graduation	毕业典礼
craniofacial	颅面的
illiberally	吝啬
overdrawn	overdraw的过去分词
gasometric	气体定量分析的
bromate	溴酸盐
always	始终
ornate	华丽的
slash	抽打
cenobite	修道士
frailty	品德上的弱点
mean	简陋的
obtain	得到
inbred	先天的
forgivable	可宽恕
renovate	修复
attrition	磨擦
racker	使人痛苦者
hematocryal	冷血的
autocatalytic	自身催化的
octandrious	八雄蕊的
centric	中央的
cmtc	Training
appealing	恳求似
milestone	里程碑
unpaid	不受报酬的
upcoming	预定将要
madreporite	筛板
notable	著名的
famine	严重的缺乏
pathogenicity	病原性
ashore	在岸上
chantable	可歌
hagride	困扰
injured	受伤
angiopathy	淋巴管病
let	出租
playclothes	游乐装
revest	重新投资
unwound	unwind的过去式和过去分词
cydonia	为Canea之古名
thylacine	袋狼
volley	齐鸣
prudently	谨慎地
ratite	平胸类鸟
henceforth	自此以后
formal	合礼仪的
catapult	飞机弹射器
wassat	that
neutralise	中和
personalize	使成私人
whist	嘘!
ungated	无闸门的
agley	斜斜地
birdieback	=birdyback
recur	重现
uncharitable	严厉
circumvent	围绕
pilot	引水员
basophil	大浅盆
dihedral	有两个平面
handsel	贺礼
ppe	Philosophy
ruddle	使发红
laurie	劳里
start	发动
silkworm	桑蚕
resign	辞去
cinquefoil	五叶形的装饰
hypopharyngoscope	`haIpE9fArInN^EskEJp/
xanthospermous	有黄色种子的
cosmologic	宇宙论
expiate	赎
voluble	有口才
kindly	亲切
kcps	second
zollverein	关税同盟
terai	毡帽
planometer	平规
unknowing	无知的
transcutaneous	经皮的
inhospitably	荒凉
quaere	请问
lacustrian	湖上居民
aboardage	两船接近于平行时的相撞
redraft	反汇票
hepatocyte	肝细胞
sadistic	残酷成性
restrictivist	限制的
froward	不易控制
oinochoe	=oenochoe
whinger	短刀
auric	含金的
state	声明
thy	你的
sbm	single
perineal	会阴
progesterone	黄体酮
stauroscope	十字镜
howe	洞
unsung	未赞颂
annuities	养老金
pressboxer	体育记者
navalist	海军至上主义者
indiscreet	不慎重的
senatorial	参议员
inboard	在船内
progress	进步
rainproof	防水的
nee	娘家姓
woodland	林地
augustan	奥古斯都的
cacographer	书法不佳的人
tee	字母T
contrived	人为
crossword	纵横字谜
dodecagon	十二边形
cashbox	金库
adenohypophysis	腺
renowned	有名的
corp	公司
tepic	特皮克
roundabout	转弯抹角的
buccal	口的
rayonnant	辐射式
bluebell	野风信子
aerify	使蒸发
adjuster	调停者
hurried	催促
pein	=peen
skittish	易激动的
commix	混合
adman	拉广告者
diagonal	斜纹
blooming	盛开
database	数据库
assyrian	亚述语的
photonuclear	光致核反应的
jemadar	警官
aponeurosis	腱膜
encumber	阻碍
street	街道
plush	长毛绒做的
interwreathe	使互相缠绕
muscoid	苔藓状的
linearize	使线性化
electrofishing	电气捕鱼
fervent	炽热的
ocso	Strict
nice	精密的
antidiuretic	抑制尿分泌
igneous	似火的
stunsail	补助帆
precess	产生进动
fatimid	法蒂玛的后裔
moralistic	道学的
crisp	易碎
cyclades	基克拉迪群岛
methene	=methylene
gestic	与身体动作有关
assembly	装配
heliotropism	趋日性
mycenaean	希腊古代都市迈锡尼
kangaroo	袋鼠
sculduddery	=skulduggery
environmental	周围的
denture	一副牙齿
plenitude	充分
detchable	可自……分离
eunuch	太监
spasmodic	痉挛的
doughfoot	美军步兵
sbc	子带编码
project	方案
pelagic	远洋的
germina	病菌
fidelity	重现精度
sob	发呜咽声
warring	发动战争
pit	去……之核
infusorium	滴虫
girth	肚带
ankylose	僵硬
aru	American
pretended	假装
lifeless	无生命的
oxygenate	氧化
softening	变软
kerosene	煤油
unlikely	未必的
aerobatic	特技飞行
endangered	有危险
hydraemic	稀血症的
applicatively	合用
engrail	使成锯齿状
minish	减小
econut	生态迷
rurally	乡下
amendable	可修正
cogency	中肯
eicon	加拿大网络软件公司
ramapithecine	腊玛古猿
flowage	泛滥
