vacuome	液泡系
polyesterification	聚合
glary	光辉的
adversative	意义相反的
troupial	黄鹂
compellation	姓名
object	抗议
fleetness	无常
gnomic	格言
maying	五朔节的庆祝
schizoid	精神分裂症
eusocial	完全社会性的
potty	琐碎
flexuous	之字形
nicish	精密
ionicity	电离度
privilege	基本公民权力
toplofty	自负的
monteverdian	蒙特威尔地音乐的
unmeaning	无意义
austenian	奥斯丁作品
wnp	Welsh
victorious	胜利
sublimate	气质高贵
cruciate	十字形
thermonuclear	高热原子核反应的
christiana	克里斯蒂安娜
terracotta	陶瓦
pullulate	充满
dinitrophenol	二硝基酚
available	可利用
incog	用化名的微行者
auditoria	观众席
bicoastal	大西洋和太平洋东西海岸
mulierty	嫡生
fractographic	金属断面的显微镜观察的
bloodless	不流血的
bliny	的复数
quit	辞职
weasel	狡猾的人
ointment	油膏
inconformity	不适合
clearstarch	给上浆
reform	改良运动
acosmism	无宇宙论
unscientific	不科学
titer	浓度测定
floeberg	冰山
kummel	莳萝利口酒
phyllome	叶
ceroplastic	蜡塑工艺
ghats	高止山脉
simple	朴素的
mutably	性情不定
extortionate	昂贵
whoa	惊叹声
cursoriness	粗率
dirge	挽歌
priority	优先权
preconscious	前意识的
counterproductive	使达不到预期目标
unwearied	不疲倦
abuse	虐待
hippish	有点忧郁
spiritualization	净化
rising	有前途
umbrette	鹭类
idealize	理想化
diel	一昼夜
cotyledonous	有子叶
nagpur	那格浦尔
lauraceous	月桂科属的
ketol	酮醇
syllepsis	轭语法
astoundment	震惊
drudgingly	苦役般地
vietnik	反越战分子
prelibation	先尝
higgle	讲价
dubitable	怀疑
offwhite	灰白色
patulous	张开
kerflop	扑通
dismally	阴暗
accessible	易接近的
locusta	状花序
abby	艾比
compliable	屈从的
encephalic	颅内
megalomania	夸大狂
ruridecanal	乡村主任牧师的
metamorphosize	=metamorphose
aver	主张
stook	整理成堆
rouse	觉醒
apse	教堂半圆形的后殿
african	非洲人
spc	South
clatter	咔嗒
pullout	拔
unreasonable	不切实际的
consortion	结合
prudently	慎重
calando	减小音量
rigorous	严格
lighter	驳运
unchurched	被逐出教会
nodous	多节的
kite	轻快地移动
perissad	奇价原子
ablaze	激动的
foremastman	水手
roister	喝酒喧嚣
yaf	Freedom
acronical	薄暮的
ectogenous	体外生活
hempy	爱恶作剧的
gulfy	多旋涡
sidelight	舷灯
sinuous	动作复杂的
rug	垫子
indetectable	不易发现的
henroost	鸡窝
marish	沼泽
unput	未提出
settleable	会沉淀
expressionistic	有表现派作风
poop	冲打
sustain	撑住
hamamatsu	滨松
corny	粗野
babyism	愚蠢
sulphide	硫化物
telltale	泄密
cling	粘紧
supercolossal	极大
zymosterol	酵母甾醇
retour	回到原
tontine	唐提联合养老保险制
rhodic	高价铑
monostome	具单盘
furibund	愤怒的
hirudinoid	似水蛭
aeroballistic	空气弹道学
reformatory	感化
physicky	药物似
carom	连击
bramley	绿色大苹果
fcic	Corporation联邦农作物保险公司
aeneid	作的叙事诗
dodo	渡渡鸟
pietistic	假装虔诚
incage	囚禁
mmm	移动媒体模式
poohed	疲倦
balmacaan	宽身连肩袖大衣
waveless	平静
cosmogeny	=cosmogony
besiege	包围
transvalue	重新评价
pirogue	独木舟
hinder	后面
hydric	氢气的
rensselaerite	假晶滑石
juristical	法律
peronism	庇隆主义
entry	条目
brand	牌子
replevin	财物的发还
suctorial	吸的
aeromedical	航空医学
explicit	直率
grey	灰白的
elaborately	精巧地
plated	装甲的
gutty	生气勃勃
unretarded	未被妨碍
omniscient	上帝
reversal	撤销
binding	捆绑
laundry	要洗的衣服
cadmean	卡德摩斯式的
jittery	战战兢兢
quaere	询问
balky	执拗的
kilt	撩起
saturant	使饱和
zuidholland	=South
hepatotomy	肝切开术
shutdown	关门
indictable	可起诉的
impartial	不偏不倚
gramdan	赠
quantivalence	原子价
widthwise	横着
toothbilled	有齿喙的
dormantpartner	隐名
oxybenzene	羟苯
spastic	痉挛的
brutish	粗野的
ringsider	在近处观看者
cupferron	铜试剂
albuminose	含白朊
abbreviatory	省略
novocain	奴佛卡因
tactless	不老练的
blurry	不清楚的
budo	日本武术
rebutment	辩驳
sizzler	极烫的东西
askance	斜视
soil	污辱
darg	一天的工作
tarry	等候
clubland	俱乐部区
tripping	流畅的
machinate	图谋
rsn	Real
ate	Test
velites	轻装步兵
tramontane	野蛮
transit	经过
parallelism	对应
mesh	落网
contiguously	接触地
maundy	濯足仪式时分发的救济金
gravy	肉汁
penological	刑罚学的
oviform	卵形
everyone	人人
headstrong	刚愎
handbookinger	赌马
afdc	Dependent
cavity	洞
mediatrix	mediator的女性
safeblowing	炸开保险箱行窃的行为
floatable	可航行的
brackish	可厌的
solidungulate	单蹄的
degree	度数
vituperation	辱骂
vault	拱顶
import	有重要性
espiegle	爱戏谑的
supinate	旋转
discoidal	=discoid
hippocampal	海马趾的
rivel	弄皱
fixure	坚定
subchaser	驱潜艇
popinjay	鹦鹉
thrift	海石竹
run	浇铸的
macronutrient	大量养料
dioptre	屈光度
boule	立法会议
monostome	具单口
cosmochemistry	天体化学
abskize	逃亡
manageable	便于管理的
enwind	缠绕
athenian	雅典人的
tedder	翻晒机
unconcernedly	不在乎地
lineament	面部轮廓
standaway	不贴住身体的
postmortem	死后的
supportable	可支持
polymolecular	几个分子厚度
acyclic	无环
funfest	娱乐会
matrass	蒸馏瓶
newsstand	杂志摊
swad	一群
ethnologist	民族学者
holyday	宗教节日
impatiens	凤仙花属植物
hesiodian	赫西奥德风格的
caddy	茶叶罐
disembogue	注入
pharmacy	药房
trinity	三个一组的
emotively	使感动
onstage	台上演出
arabesque	阿拉伯式图饰
napiform	上部粗圆下部细长
stream	流注
drizzly	下毛毛雨的
heah	多用于黑人英语
makeevka	=Makeyevka
necessitude	=necessity
lapidescent	石碑似
durable	持久的
paradise	天堂
pleading	起诉
tumefy	隆起的
phimosis	包茎
cloudwards	朝着云
rift	长狭谷
foremost	最初的
epochal	新纪元
indolently	不痛
yeastlike	似酵母的
screwball	精神有点怪的
dualpurpose	作两种用途
exuberant	华而不实
gayety	轻快
footrace	赛跑
ritzy	讲究的
gentle	温和的
relative	有关系
gks	计算机图形核心系统
paralyze	使瘫痪
unbalance	紊乱
excrescency	自然长出物
transpositional	变调
roseate	愉快的
veil	面纱
nabob	富豪
coleopterous	甲虫类
bonaci	鲈科食用鱼
decrepitude	老耄
examine	考试
metewand	尺度
another	另外
lola	洛拉
radiogoniometry	无线电测向术
peppercorn	空有其名的地租
bemist	笼罩在雾中
upborne	被举起
horologe	钟表
unlace	解开带子
antihemophilic	抗血友病
gneissose	像片麻岩的
idiolect	个人习语
sale	销售额
mullet	鲻鱼
cannular	管
rhodic	四价铑
sylleptic	兼用法
technosphere	技术领域
xerantic	除湿的
fauna	动物区系
classical	古典文学的
beefy	象牛肉的
teleprompter	讲词提示装置
languidly	无力地
thermometric	温度计的
tactical	战术的
argumentum	议论
evasion	逃避
sexto	六开本
contour	等高线
nounou	奶妈
replacement	复位
isobar	同重元素
unstep	由桅座移去
monobasic	单碱
unci	uncus
wadable	可涉水过的
cowpoke	牛仔
mcm	罗马数字
hippophagistical	食马肉
trapes	邋遢的妇女
pottery	陶器场
unapproved	未经同意
platinoid	假白金
reparations	赔款
acoasm	幻听
deerweed	菽豆科植物
weird	命运
beluga	白色大鳇鱼
ecologist	生态学者
contranatant	逆流的
swiple	连枷头
deckle	手工制纸的毛边
unveracious	假的
study	研究
nematocidal	杀线虫的
orthoepy	正确法
aquavit	白兰
limites	lime@的复数
allegiance	忠贞
brace	带子
retractile	缩回的
gunbattle	枪战
restlessly	不安
iconoduly	崇拜偶像
patresfamilias	paterfamilias的复数
parathyroidectomize	`dektEmI/
dixieland	爵士音乐的一种
calisthenic	柔软体操的
incompetent	不合格
gently	轻轻
howtowdie	配有水煮荷包蛋和菠菜的白汁鸡
unflaggingly	不屈不挠
unambivalent	明确
hydrotropically	向水性
pale	苍白
ignobly	下流地
expiable	可赎
extrachromosomal	染色体外
regret	惋惜
norbert	诺伯特
tetrahydrocannabinol	四氢大麻醇
unput	未放置的
hydrostatic	静水力学
solion	沙立昂
placate	安抚
steamship	汽船
cocurricular	辅助课程
delphi	因Apollp的神殿而著称
transpose	移项
gynaecomastia	男子女性型乳房
annihilationism	灵魂涣榛昙琶鹇
dinosauric	恐龙般大的
dou	Gerard
azeotropy	恒沸性
cumbersome	讨厌的
antidiabetic	抗糖尿病
doeth	do的第三人称单数现在式
unbalance	使心情紊乱
lashing	大量
antiemetic	止吐的药
tibial	胫骨的
yowie	野人
eddie	埃迪
roundworm	蛔虫
thunderation	到底
falteringly	支吾
yawper	抱怨的人
unobjectionable	不会招致反对的
theolatry	拜神
waterscape	海景
denim	粗斜纹棉布
squash	镇压
bazookaman	火箭筒操作员
orphean	迷人
potshot	肆意抨击
citrous	柑橘属植物
eccrine	外分泌腺
cataphract	古希腊之重装备战船
far	遥远
forecast	预报
octothorp	"#"号
thitherward	向那边
hesitant	吞吞吐吐
hasty	草率的
heavy	阴沉的
bto	Time
scoffingly	带冷笑地
discriminative	有区别
inequality	不平等
frug	跳扭摆舞
nobody	pro
blusterous	叫嚷
aqua	水
gi	Gibraltar
squabbish	有点胖的
twill	斜纹织物
tulsa	塔尔萨
yankeefied	美国化的
forested	被森林所覆盖的
wide	张大的
mfn	最惠国
engineering	工程
audiodontics	声齿学
perambulation	巡视
sigil	印记
quoit	铁环
serrulate	细锯齿边
deforciant	非法占有者
lps	Lord
logged	劈成木材
phosphene	压眼闪光
hunt	搜寻
agonistic	动机争胜性
testaceous	贝壳质
sheave	反桨划船
dowse	探寻水源或矿藏
aileron	副翼
animatingly	有生气
failure	不及格
rabid	狂暴的
bicapsular	两蒴的
tuberculate	结核性
zif	零插入力组件
oblong	椭园形
annalistic	编年史
gazette	政府的公报
devoted	深爱的
caseose	酪朊
mock	假的
home	国内
invent	发明
girondism	吉伦特党的政见或主张
shiny	晴朗
yoghourt	酸奶酪
buildup	集结
peart	快活的
archwise	成弓形
dishwatery	枯燥的
inhospitality	不和气
boulevard	林荫大道
sanguine	乐天
incurment	惹起
semihyaline	半透明
fossette	小窝
agenda	议程
gpi	the
barye	微巴
aversion	讨厌的事和人
atheneum	文艺协会
eeling	捕鳗
hellgrammite	翅虫的幼虫
array	排列
incommunicability	难表达
cockspur	鸡距
entirely	全然地
centaurae	矢车菊
snobol	SNOBOL语言
incb	International
joycean	乔伊斯的
appulsion	趋向
dulosis	奴役现象
mitchell	米切尔
endoscopic	内窥镜的
thundering	非常
fractious	倔强的
mythologize	讲神话
laputa	勒普泰岛
thermochemistry	热化学
ppb	10亿分之……
retroperitoneal	腹膜后
abetment	帮助
hamitic	哈姆
aeroamphibious	海陆空联合的
stale	变无味
glauconite	海绿沙
patroclus	普特洛克勒斯
keeve	洗矿桶
unashamed	问心无愧的
proclamatory	公告
socket	牙糟
livraison	分册
underwood	树林下的草丛
proptosis	突出
overcareful	过分用心的
voluntarily	自动地
pretersensual	感觉不到的
canaliculated	有细管
nyctitropism	感夜性
anchylosis	长合关节
sole	单独
tricarpellate	三心皮的
tryout	试用
escapement	逃亡的出口
downstate	在州里的南部
nondestructive	非破坏性
oxter	二腕的内侧
goldeneye	白颊鸭
tebriz	=Tabriz
crystallitic	微晶
maypole	五朔节花柱
feeling	触觉
dicom	Medicine
jenny	纺织机
drugstore	药房
broad	广泛
hearting	石墙的衬心
daredeviltry	鲁莽大胆
hyperkeratotic	角化过
childish	幼稚
crura	似腿的部分
osteal	侵袭骨
alligator	产于美洲的鳄鱼
moonlet	人工卫星
manual	手的
fledging	无经验的人
entrain	使乘火车
intitule	称为
whim	怪念头
strep	链锁状球菌
stead	对……有利
turncap	旋转帽
boiling	激昂
ethanolamine	胆胺
saving	节俭
testa	介壳
villatic	别墅
alterative	改变
gumdrop	水果糖之一种
adamite	裸体的人
unworthy	不值得的
camerawork	摄影操作
suspensive	暂停的
dialytic	透析
passado	向前交叉步
primary	根源的
samely	无变化的
consummate	完美的
qarnns	Service
orthodonture	=orthodontics[讹音变体
reflorescence	再开花
stuporous	麻木的
joint	大块肉
citadel	根据地
sib	有血缘关系的
unequally	不公平
fighter	奋斗者
swindle	诈骗
cfs	cubic
doloroso	感伤地
pitch	坠落
guiltless	无辜的
aciculate	针状的
littlish	相当小的
unexhausted	未用竭的
upcountry	向内地
cockcrow	破晓
predecessor	前任
garrison	要塞
magniloquent	华而不实的
neuroactive	刺激神经组织的
unhired	未租用的
martensite	马氏体
psn	serial
enantiopathy	对抗疗法
cattail	香蒲
transit	搬运
corkily	像软木地
mondrian	蒙德里安绘画风格
foretype	前面的典型
apologetically	辩解地
undisposed	未分配的
crackjaw	反常的
woodsy	树林多的
subside	平息
kokeshi	小木偶
acetaminophen	对乙酰氨基酚
aponeurotic	腱膜
nutritional	营养
pursiness	肥胖
isotactic	全同立构的
simulacrum	影
backlist	重版目录
underproduction	供不应求
courtlike	彬彬有礼的
songlet	短歌
knower	理解者
endurable	可忍受的
nucleophilic	亲核
dour	阴沉的
cryptographical	号
summit	政府首脑
adh	hormone
contest	争辩
calculably	可预料地
eventuate	结果为
topgallant	最高
downhill	每况愈下
exit	退场
playshoe	轻便鞋
seen	see的过去分词
psychophysiology	精神生理学
lensed	有透镜的
indented	犬牙交错的
muster	阅
frizzle	使卷缩
rectangularity	成直角
larksome	好嬉戏
cachinnate	哄笑
delimit	定界限
airlog	飞机计程器
emplacement	放列动作
effort	成就
irascibly	易怒
remove	搬家
sitting	孵卵中
carpeting	地毡毛毯
obtusely	圆头地
sports	有关运动
porteress	=portress
remind	提醒
reserve	预备队
headhunt	野蛮人猎取人头的出征
tholobate	圆屋顶座
canadien	加拿大的法国移民
ukrainian	乌克兰人的
mixage	影片剪辑
shirty	心情坏
hypaethral	露天的
abiotic	无生命的
endogamous	同族结婚
faint	衰弱
caterer	包办伙食者
hammering	锤打
tyrannically	专横
override	践踏
rhizoctonia	丝核菌
caliper	弯脚器
shimonoseki	下关
lunabase	月球上低平面的
raven	狼吞虎咽
angerly	愤怒地
scarfskin	表皮
semiarboreal	半林栖
pillory	使惹人嘲笑
strickle	刮光
azimuth	方位
epexegesis	增词
cetacean	鲸的
israelitic	希伯来人
recordak	文件微缩复制系统
presentational	直觉的
peroxyacetyl	硝酸过氧化乙酰
capsule	蒴果
converse	相反的事物
occident	西洋
nark	密告
unroyal	非君王
liposoluble	脂溶
scoff	狼吞虎咽
paraphrastic	说明性的
jealous	猜疑的
bifacial	有两面
strawy	稻草状的
antarctica	南极洲
dungy	肮脏
invidious	诽谤的
eucaryote	真核细胞
insurgently	汹涌
decanal	南侧唱诗班
sheerlegs	起重机柱
biceps	二头肌
earthling	凡人
sternum	胸骨
locomotive	运动
erotological	色情文艺
libellee	被诽谤者
desalination	减少盐分
telediagnosis	远距离诊断
xenial	异花受粉的
hippolyta	希波吕忒
epsomite	泻利盐
juridic	司法上
somnifacient	催眠药
synaesthesia	牵连感觉
fortitudinous	坚忍不拔的
dsp	Processing
equivalent	相等
decrease	减少
wynd	狭巷
prolocutor	主持会议者
couchy	茅草丛生的
coverley	Sir
vendeuse	女售货员
joint	共同的
wearisome	使疲倦的
kryptol	碳棒
prepositional	当前置词
laggardly	落后的
opern	歌剧
whisper	谣传
entophyte	内生植物
hyperthymia	情感增盛
welldoing	行善的
ipecac	n
gunnery	炮术
afforcement	加强阵容
snaphaunce	早期燧发机
uh	half
silkscreen	丝网印刷
health	健康
infructuous	不结果
aeronomy	超高层气流物理学
ensate	剑形的
conjurator	法师
comportable	适当的
versant	熟悉
sigmoid	S形
neurotomy	神经切断术
downswing	向下之一挥
flakily	薄而易剥落
urgently	迫切地
unblest	不幸
ferox	大湖鳟
assistant	助理的
grungy	脏的
monomerous	一基数的
baddeleyite	斜锆石
immalleable	非柔顺的
scaled	有鳞状斑点的
dysphasic	患言语困难
abo	土著
inappropriate	不相称
prelingual	有语言能力前的
gliding	滑顺
buckled	有扣
basilica	长方形基督教堂
judgement	判断力
compliably	屈从
loneliness	寂寞
autocue	自动提词机
spurious	伪造
battlesome	好争吵
icing	糖衣
inquisite	调查
tavr	Volunteer
ventriloquous	用腹语的
unthoughtful	考虑不周
radically	根本上
tweedle	琴声
kindergarten	幼儿园
filamentary	似丝的
infanta	郡主
determinately	有限花序地
blinding	使失去判断力的
irenicon	和平提议
running	连接的
huffish	生气
girlygirly	娇气十足
time	次数
proportional	相称
popular	通俗的
future	前途
exorcize	=exorcise
contributory	贡献人
fanatic	狂热的
vintage	葡萄收获期
flosculous	=floscular
phlogistic	热素
hydranth	水螅体
adiaphoretic	止汗药
zen	禅宗
vedic	吠陀
lampstandard	路灯柱
frequently	频繁
present	提出
levity	多变
aeronautics	航空学
excuss	依法索取
frostbitten	生冻疮的
gesture	手势
misrepresent	说假话
frightful	可怕的
brash	仓促的
hackle	乱砍
skete	隐士团体
bravo	好啊!妙!
ostium	口
octette	八重唱
deaccession	出售
hypotheses	臆测
therewith	于是
squall	哇哇地叫嚷
butcherly	如屠夫
galla	盖拉族
kolyma	科累马河
pukras	=pucras
goonda	暴徒
ingenital	内在
droppable	适于投下的
undiscernible	无法看出的
photodrama	电影剧
epizootic	家畜流行病
vanguard	领导者
age	时代
ineffectively	无效地
acetone	丙酮
continental	大陆性的
orthoepic	正音法的
sourly	坏心眼地
pit	使凹下
ballsy	有胆量
mixer	混合者
grenadilla	=granadilla
pillared	成柱状
slinkskin	胎牛革
serious	认真的
carbuncle	红宝石
transmitter	传达人
handpick	用手挑选
rim	为……装边
rasping	令人焦躁
liver	居住者
bluff	直率的
inhomogenous	非齐次
walty	易倾侧的
adverbially	当副词地
hydropical	=dropsical
locknut	对开螺母
vincible	容易征服的
vivacity	活泼
overcurious	多问的
exquisitely	精巧地
insensate	没有感觉
incretionary	a
trying	费劲的
print	印于
heredity	遗传
predicatively	肯定
rhine	莱茵河
lento	柔和的
makable	可制造
whoops	哎呦
relaxative	缓和
schoolroom	教室
padrone	主人
anticlastic	互反的
ease	灵活地移动
esurient	贪婪
death	死
spirochetic	=spirochaetic
schematic	示意性
entomophily	虫媒传粉
zemindar	收田赋者
disputed	争议
gdi	Devive
paralysis	瘫痪
callow	年轻而无经验
cheskey	捷克人之后裔
befog	使朦胧
majesty	雄伟
sheepish	懦弱
allose	阿洛糖
spermatocyte	精母细胞
banteringly	半开玩笑地
birefringence	双折射
kit	成套工具
rubricity	红色
hunchbacked	驼背
sealless	未盖印
ominously	不吉利地
antique	古时的
exonerate	免除
dialogic	问答体
reportable	值得报告
swag	垂下
skin	皮
crases	crasis的复数
seasonal	季节性的
gradient	倾斜的
envelop	包封
yap	狂吠
antitail	逆向彗尾
primrose	樱草花
playgame	玩笑
decoration	装饰
manageable	便于管理
bossy	专横的
unseparated	不分离
synthomycin	合霉素
zygospore	接合子
church	教堂
stable	稳定
osmoregulatory	渗透调节
lienteric	滑肠
unorganized	无组织的
polka	波尔卡舞
coppery	含铜的
consuetudinary	习俗的
benelux	比利时、荷兰、卢森堡三国经济联盟
array	编队
unwakened	未被唤醒
tremulousness	胆小
seaside	海边的
silkweed	芳草属植物
bilharziasis	裂体吸虫病
denudate	赤裸的
naillike	像钉
fishlike	似鱼
puberal	青春期
varangian	拜占庭皇帝的卫士
scotophil	适暗
esteem	尊重
bloat	肿胀病人
mucronulate	具尖突的
withershins	左向转动
retake	再取
cad	计算机辅助设计
polyhistor	博学的人
loxodromic	斜航
chargeable	可充电的
fluky	不可靠
jansenist	詹森主义者
astonied	大吃一惊
exigency	紧急
corrective	纠正的
uncap	打开
omega	欧米加
warn	通知
saponated	皂化的
farmhouse	农家
backstairs	后面楼梯
multipoint	多点的
filipine	菲律宾的
unenlivened	不活跃的
detectable	可发觉
contiguous	接近
hawaiian	夏威夷语的
podium	乐队指挥台
recapitulatory	概括性
distinct	清楚
inarguable	不容争辩
gnomical	=gnomic
mamillated	有乳头状突出物的
fjp	York纽约犹太慈善团体联合会
parade	游行
passim	到处
powerful	有力的
crackajack	杰出的
npa	报纸出版商协会
dominion	主权
redevelopment	重点恢复
logion	基督的话
caudal	近尾部的
bulgy	膨胀
glamourize	=glamorize
extrality	治外法权
transferrer	转送者
vermes	vermis
hommock	堆积冰
drubbing	殴打
sentiment	情绪
bicuspid	两尖齿
current	电流
coplanar	共面的
odds	不平等
service	耐用的
circumradius	外接圆半径
complicit	有同谋关系的
mythologize	编神话
lotusland	安逸乡
honeybunch	亲爱
embourgeoisement	变成资产阶级
victoriously	获胜地
scopulate	有花粉刷的
conglomeration	聚集
hibernian	爱尔兰的
morelia	莫雷利亚
bloodshot	有血丝的
apochromatic	高度消色的
counterpane	床罩
hershey	bar
waiwode	=voivode
entail	限定继承权
madman	疯子
viny	葡萄树
incendiary	煽动者
isdn	Integrated
falstaff	福斯塔夫
argentine	阿根廷的
suez	苏伊士
intangibly	不明白
golan	Heights戈兰高地
vesicular	小泡的
wpc	女警官
dihybrid	双因子杂种的
likewise	也
thesp	=Thespian
undiscipline	无纪律
seducement	怂恿
fencing	篱笆
forever	永远
thinnish	较瘦
unrent	未撕裂的
chilliness	寒意
momently	暂时
coastal	沿海的
fancied	空想的
swish	好看的
dare	敢
rejuvenate	使回春
owl	C++
honkers	喝醉
thyrotropin	促甲状腺素
twite	黄嘴朱顶雀
whyever	为什么
blusterous	夸大的
nunnery	女修道院
buddybuddy	亲热
leftover	剩余
reassign	再指定
will	意志
singularly	异乎寻常地
cacophony	刺耳的音调
everlasting	持久
geophyte	地下芽植物
ungraceful	下流的
journey	旅行
witchery	巫术
extemporal	脱口说
herniary	疝的
furthermost	最远方的
katrina	卡特里娜
endoergic	吸能的
emerge	暴露
encapsulate	装入胶囊
insensibly	徐徐
tripod	三脚架
maniacal	发狂的
fighting	好战的
voltage	电压
rockbound	僵硬
padrone	船主
sack	解雇
nematic	向列的
gladly	欢喜地
preventible	可预防
wire	金属丝制的
complimentary	称赞的
photoabsorption	光吸收
boodler	受贿者
satanize	使变得邪恶
agonizing	苦恼的
concussion	激动
xpvm	for
arpa	Agency
afebrile	无热的
land	田产
firefight	交火
gruffly	粗暴
copeck	货币单位
posttonic	重读音节后的
lateralize	使向侧面
striking	罢工
touching	至于
additional	另外
escapeproof	防漏泄
dyeability	可染性
jook	闪避
crumpled	弄皱的
poleaxe	战斧
convinced	深信
madrileno	马德里人
fighter	斗争者
redeemer	救世主
shul	=synagogue
afterdeck	后甲板
solanine	茄碱
temporary	暂时
taedong	大同江
homeward	在归途上的
abustle	忙碌的
insusceptibility	无感觉
xyloglyphy	木刻术
detectaphone	窃听器
tailband	书脊底带
chemosynthesis	化学合成
compelling	强制的
phenix	绝代佳人
putrid	腐烂
apriority	先验性
alienator	疏远者
photoflash	使用闪光灯的
wettable	可湿的
timesaving	节省时间
philomena	菲洛米娜
remorseful	懊悔
hypallage	换置法
timing	时间选择
sandy	桑迪
argillaceous	粘土的
zoom	使摄象机移动
asinine	象驴一样
imagist	意象派的
autoplastic	自体移植
hearsay	传闻的
saleroom	销售额
scanty	不充足
manifestation	显示
haemopoiesis	=haematopoiesis
excitant	使兴奋的
crisis	决定性时刻
flatling	直挺挺
counteraccusation	反控
underside	下腹
reblossom	重呈繁盛
supersubstantial	超物质的
rebroadcast	重播
ingeniously	贤明地
joke	玩笑
machineable	=machinable
hesitative	支吾其辞的
unifacial	单面精细加工
esculent	可食用
eudiometrical	空气纯度测定管
weenie	细小的
unsophisticate	单纯
sheria	=sharia
hammering	锤打的声音
rswc	right
perennial	长期
asean	of
unthought	未加思考的
overmatch	打败
inthral	迷惑
doctrinal	学说
coarseness	粗糙
feedback	回授
vitrophyre	玻斑岩
bathwater	浴缸里的水
financially	金融上
bullet	子弹
willingness	积极肯干
brachycephal	圆头型的人
sicilia	=Sicily
tyro	生手
interpellation	质询
derbyshire	德贝郡
transworld	环球旅游的
gummous	树胶
thrombi	血栓症
substratal	根本的
waspy	似黄蜂
respirable	可呼吸的
amniocentesis	羊水诊断
equanimously	安静地
cutthroat	杀人的
done	妥当
upswept	向上弯曲的
drearily	沉寂地
unpropitious	恶运
autofocus	自动对光装置
alumroot	矾根草
paillasse	草褥
whop	抽出
uncontested	无竞争的
menstrual	月经
circumcolumnar	绕着圆柱的
raptured	欢天喜地的
exosmic	渗入的
shaven	修过脸的
moonstruck	耽于幻想
cahier	笔记本
rascal	不诚实
nemesia	龙面花
gfr	German
bodleian	牛津大学图书馆
ironic	讽刺
scribble	杂文
unshed	未吐露的
halobacteria	盐杆菌
irrigator	灌溉车
moronic	低能
veil	戴面纱
baroque	巴洛克时期艺术和建筑风格
cristate	有冠毛的
supplely	易弯
autogenic	=autogenous
bba	of
lambdology	λ噬菌体学
traversing	穿越
unexploded	装着炸药的
stane	=stone
myotic	促成瞳孔缩小
pettitoes	脚
ibew	Brotherhood
freak	奇异的
syncrude	合成原油
gauffer	皱褶
tridimensional	`traIdI9menFl/
burstone	磨石
clincherwork	瓦叠排列
cerebrotonic	大脑紧张型
allround	多才多艺
dietotherapy	食物疗法
parian	帕罗斯岛产白色大理石
pocket	袖珍的
risc	Computer
hyperuricaemia	尿酸过多
riftless	无裂缝
recollected	被回忆起的
divulsion	撕开
atwirl	快速旋转地
sauerbraten	糖醋烤牛肉
underlay	向下延伸
molectron	集成电路
unneighbourly	不睦邻的
polemic	争论的
lunchroom	餐厅
carabine	卡宾枪
unregretted	无人对之表示悔恨的
cosily	惬意
tentatively	试验性
galoisian	伽罗瓦
isobathytherm	等温深度线
clipboard	有纸夹的笔记板
secondary	中级
optimal	最佳
subepidermal	表皮下的
anaphylactic	导致过敏
emr	mentally
displease	冒犯
mindon	心灵感应粒子
hydrophobe	憎水物
hoggish	贪婪的
isogeneic	同基因
palaeoanthropic	古人
tufoli	意大利通心面
acyclic	脂肪族的
lactonization	内酯化
micella	=micelle
analysable	可以分析
revokable	可取消
weasel	鼬鼠
gooney	bird
girlhood	少女们
barley	大麦
interconvert	互换
usage	用法
slack	闲散
pfeffernuss	番佛努斯香酥球
discipula	门徒
examination	考试
chingkang	Mountains见Jinggang
prosthesis	添字首音
overgrew	的过去式
override	不顾
neurofibroma	纤维神经瘤
dopant	搀杂物
terrine	陶制盖碗食品
reimpression	增印
godlike	庄严的
icekhana	赛车
slobber	口水
ruffian	流氓
dateable	可确定时代
acanthoid	刺状的
schmoll	笨蛋
dynamo	发电机
trot	骑马小跑
erotogenic	动欲的
uninformative	不增进知识
inconsequentia	InkRnsI5kwenFl/
binate	成对的
overhead	在空中
hincty	神气活现的
assessor	辅佐人
wither	使消亡
nds	Novell
devise	发明
flix	毛皮
sdram	同步DRAM
nyctitropic	夜间变更方向的
giraffine	像长颈鹿
scleroblast	骨针细胞
vasoactive	血管活性的
floral	花的
undercooked	得火候不足的
cdma2000	Division
merchantable	可买卖
nymphae	若虫
dynamoelectric	电动的
senatus	=senatus
itching	渴望的
savvy	了解
theater	手术教室
scrambling	不规则性
qualify	证明合格
easement	在他人土地上的通行权附属建筑物
stockman	仓库管理人
gouge	欺骗
confirmatory	证实的
asid	Designers
clef	音部记号
throughother	混乱地
clamjamfry	群众
tripterous	三翅的
rummy	拉米纸牌戏
thanks	感谢
comprehension	包含
scs	Soil
mysticism	谬论
disallowable	可否决
information	知识
hydrogenate	使氢化
desquamative	脱屑的
architectonics	结构设计
disrupt	使瓦解
propertied	有财产的
rapine	抢夺
cobbra	头
laborsome	吃力的
modelly	模特儿似
arabism	总称阿拉伯国家
baptismal	洗礼的
overfired	过烧的
aerial	生活在空气中
cultivatable	可栽培
deliberatively	慎重审议地
insobriety	无节制
shm	motion
concern	所关心的是
competent	有能力
bloated	傲慢的
numidian	努米底亚的
padishah	君主
extorsively	勒索
judicatory	审判的
sink	下沉
swami	哲人
