francophil	亲法
imputation	归因
intradermic	=intradermal
myoneural	肌神经的
involuntarily	无心地
cytostome	细胞口
enervated	无力的
enframe	装在框内
semiclassic	准古典式的
endoneurium	神经内衣
widthwise	横向地
geometric	几何学的
macroevolution	进化
canvass	讨论
stannary	锡矿区
unestablished	未确立
crossroad	十字路
anodic	阳极的
riotous	骚乱的
freebooter	海盗
page	翻……的书页
fag	吃力的工作
dipster	双翅目昆虫
sympathetic	赞成
laceless	无带子的
oddity	古怪
escapable	可以避免
moschate	有麝香气味
pedicular	虱子
skylark	开玩笑
platonist	柏拉图学派的人
osb	Benedict
prodigiouss	很大的
extricable	可救出的
allowance	补助
exuberant	丰富的
integral	完整的
disburse	支付
kinfolk	亲属
molluscoid	拟软体动物的
heavenly	如天堂
buffer	缓冲
checksummat	求校验和
chancellor	长官
impeccability	无缺点
tackle	复滑车
xerogram	干式影印副本
rouse	使振奋
sss	System
dialogically	问答体地
inp	物价指数
acceleratory	催促的
trinket	小装饰品
heady	性急
kate	Catherine
nebulae	星云
waxen	柔软
macroscopical	宏观的
insectual	昆虫似的
viole	braccio
hoard	储藏
dramatic	生动
hydroxide	羟化物
theologically	神学地
empaquetage	包扎艺术品
isospory	孢子同型
message	教训
bewray	显示
xxxi	罗马数字
orphanhood	孤儿的身份
strait	海峡
inessive	指示位置
guttiferous	产树胶
discursive	散漫的
preggers	怀孕的
attractively	动人
flotant	空中飞翔
marblehearted	冷酷无情
wallonian	瓦龙语
negatively	否定地
clothespost	晒衣绳的支柱
vilene	维莱恩衣衬
grasp	领会
disregardfulness	不顾
inby	向内部
millinormal	毫规的
lax	腹泻
lacertine	蜥蜴的
hypnotic	催眠药
obstetrical	助产
devil	恶棍
subservient	奉承
prevention	预防
ras	地岬
lurch	突然倾斜
scalariform	梯状
subarid	半干燥的
immoralize	使不道德
thyrse	聚伞圆锥花序
cab	一种压缩文件格式
saurel	竹荚鱼
untruthful	不真实的
rheumatism	风湿病
yoga	瑜珈
quotient	份额
cafard	忧郁
antipyrotic	治灼伤药
poky	简陋
withy	柔韧
ajuga	一种草本植物
residuary	残余的
preach	鼓吹
altruist	爱他主义者
deaf	聋的
pipy	发尖声
symbiosis	共生关系
torrone	蜂蜜杏仁糖
votable	有投票权
tenant	租客
biunique	单向双系列对应的
ckd	down
fodder	草料
voluminous	大部分
frenglish	法国式英语
weird	符咒
queen	王后
hayride	出游
dialogic	对话
verdant	没有经验的
siderosis	肺铁末沉着症
wizard	男巫
codeine	催眠等
entomostracan	昆甲类
bodacious	胆大包天的
grubstake	以利益条件供给资金
refract	测定……的折射度
spanless	不可测量
stewpan	长柄炖锅
cered	有蜡膜的
agglutination	胶合
scoff	食品
demonologically	鬼神学
diabolize	行为像魔鬼
injunctive	指令
crenation	圆锯齿状
hydremic	水血症
hippic	赛马的
circumcolumnar	绕柱
ast	陆军参谋部目标
grizzle	使成灰色
cutwater	桥脚的分水角
overchoice	过多的选择余地
pitchy	漆黑
virus	滤过性微生物
forklike	像叉一样
distilled	由蒸馏得来
endomixis	内融合
stanch	止
bedfellow	伙伴
gardyloo	泼水啦!
grisette	女工
dah	大刀
bird	在野外观察或鉴别鸟类
purgation	清洗
wcc	of
wring	榨
cyproterone	去乙酰环丙氯地孕酮
tunisia	突尼斯
orally	口述地
trull	娼妓
christian	基督徒
schematic	示意性的
emissive	放射性
pretypify	预示……的典型特征
champak	=champac
intertranslatable	可互译的
latticing	做格子
darkish	微暗
oddfish	怪人
quatrefoil	四瓣花
leukorrhea	白带
sialadenitis	涎腺炎
jabberwocky	无聊的话
gauzily	薄
chancriform	下疳似
nse	National
refitment	修理
wirespun	=wiredrawn
puppetry	木偶
enfeoff	授予封地
meum	我的
slender	微薄
dimness	不清楚
worthwhile	值得出力的
typhonic	台风似的
abo	土著的
extracurricular	业余
geanticlinal	背斜
benz	奔驰牌汽车
biquadratic	四乘幂的
paten	祭碟
bleak	荒凉的
pinteresque	品特派风格的
lantern	信号
shable	=shabble
envionment	java
unobjectionable	婉转
siddhartha	悉达多
photofission	光致裂变
officer	军官
lyophiled	用低压冻干法取
administerial	行政上的
puckery	缩拢
dextrogyrate	右旋的
bedload	水流带来的碎石
outline	描画轮廓
environmental	环境
incant	念咒语
goddamn	诅咒的
concenter	集中于一点
semirural	半农业
catchpenny	廉价的商品
metallophone	金属木琴
confesser	听忏悔的神父
unsought	未追求的
cowlike	似母牛的
ella	埃拉
ooze	泄漏
buggy	臭虫成灾
peopleless	无人
factorial	因子的
jerk	颠簸地行进
overswing	摆动过大
amphicoelian	两凹的
mesopelagic	中层
overinsure	给……超额保险
bel	贝尔
tuberose	块茎状的
adulterator	掺假的人
fluctuant	波动的
aconitic	乌头的
relumine	=relume
chalaza	系带
karyotin	染色粒
sinophile	亲华
obstinate	倔强的
spotless	没有污点的
achromobacter	无色菌
foil	挡开
duotype	双色网目版印的插图
hyperbatically	倒装法
spry	充满生气的
agonistic	竞赛的
riffle	成涟漪
favoringly	顺利地
extendible	可扩张
ephebus	至20岁男青年
albigensian	阿比尔派教徒
countermand	下反对命令召回
overstatement	大话
nudicaul	裸茎的
ac	Current
disembodiment	分离
portapak	便携式摄像录像机
gaelic	盖尔人
enflower	以花装饰
portland	波特兰
lusus	=lusus
intracutaneous	皮内的
flicker	摇动
bremerhaven	不来梅港
nes	specified
privilege	特权
revise	修订
sway	摇动
dissemble	掩饰
nebulated	有不明显斑纹
nrotc	海军后备军官训练队
aca	the
syncom	同步通信卫星
isoenzyme	同工酶
athenaeum	雅典娜神庙
irgb	Intensity
republican	共和政体的
unprimitive	非原始的
lomilomi	按摩术
matrilocal	居住在女方
recalesce	产生复辉现象
unvitiated	纯洁
pilotless	无驾驶员的
rightwards	向右
pewter	奖赏
questionless	无疑地
marabou	鹳毛
figuration	比喻表达法
tactics	战术
kirk	苏格兰教会
irrevocably	不能取消地
crinoline	裙衬
attaboy	好样的!
company	伙
initiating	开始
capitulaitonist	主张投降者
thenar	足底的
cerebrosclerosis	脑硬化
reignite	重新激起
eighthly	第八号地
luton	卢顿
moratorium	延期偿付
emigratory	迁居的
alamode	流行
bicorn	新月状的
dimorphism	二态性
destructor	爆炸装置
bonded	抵押
reserve	预定
skeleton	骨架
staple	主要
oriental	东方人最优质
sure	稳当的
functionary	作用
inseminate	使受胎
unmanliness	无男子气概
surfrider	冲浪者
pba	公共房产管理局
onflow	湍流
conventionalise	拘泥习俗者
ares	战神
headwater	上游源头
microsection	=microscopic
seton	串线
intinction	面包蘸酒
parian	帕罗斯人
underservant	帮手
tailgate	后挡板
glandulous	腺状
analytics	解析学
fluey	蓬松
humourously	滑稽地
correctional	改正的
uncdf	Development
fleabane	紫莞科植物
unbloody	未染上血的
heteronomous	受不同生长规律支配
immortalisation	不灭
inhumanly	残忍地
methodical	有系统的
ganoid	硬鳞的
monophyodont	不换性齿的
isoagglutination	同种凝集
enseal	封闭
ground	战场
struggle	尽力使
nitwitted	糊涂
endorser	背书人
abbe	男修道院院长
doomful	充满厄运
puppetize	使成傀儡
caffeine	咖啡因
eleoptene	轻油精
ai	Anguilla
suppurative	足使化脓的
dekametre	公丈
logic	逻辑学
amdg	ad
angiokeratoma	血管角质瘤
pelasgi	贝拉斯基族
polite	文雅的
consonantal	带辅音性质
mum	演哑剧
fellowless	无可匹敌
piranesi	Piranesi
drink	一口吸水
inblowing	向内部吹的
rubbish	废话
zygodactylous	对趾鸟
prelusive	序曲
kneeler	跪垫
rainproof	雨披
fidelity	忠诚
poky	慢吞吞
mere	起码的
genital	生殖的
aquicolous	水生
inactively	不活动
cephalopodous	头足类的
papillary	长乳突
cattiness	阴险
rostellate	有小喙的
sweptback	向后倾斜的
subsonic	亚音速飞机
agha	=aga
boogiewoogie	一种爵士乐
flack	宣传
extrasystolic	期外收缩的
nut	坚果
alienable	可让与的
botel	=boatel
bestrewn	bestrew的过去分词
infante	王子
slough	使沉沦
kittenish	嘻耍的
minor	较小的
aram	Music
colourably	可着色地
spendable	可花费的
certain	某一个
bicker	斗嘴
slimmish	略嫌不足的
mistune	使音调不和谐
lachrymal	流泪
egilops	内脓肿穿破
decommission	使退役
antilithic	预防结石的
minimal	最小限度
plainstones	石板
discord	意见不合
factory	工厂
pruning	修剪
pet	不悦
magniloquent	华而不实
posh	时髦
diana	黛安娜
pending	未决的
faery	幻想
vpd	Data
unread	没有人看的
sugi	=Japanese
plf	linear
ialc	landing
cornuted	有角
towable	可拖拉
variedly	改变地
winsome	迷人的
vasoconstrictor	血管缩小药
lysergide	diethylamide
nongonococal	非淋病性的
unaccented	不发重音的
louche	声名狼籍的
frivolously	愚昧
aurelian	水母的
crustily	有硬皮地
differentiate	区分
placidly	平静地
suture	缝合
intellect	智力
resinous	用树脂做
episcopate	主教区
grocery	杂货
tablespoonful	一大汤匙的量
prefer	宁愿
disruptive	使破裂的
vlb	VESA
outroad	突袭
desultory	不连贯
laker	习惯于在湖上居住
intenerate	使变软
transient	短暂的
window	窗口
fiery	热烈的
inbound	归航的
pensionable	可领退休金
helleborine	火烧兰
unbelieving	多疑
aquatic	水栖
affluently	富裕地
toast	烘
sheaves	一束
rictal	嘴裂
crumpled	摺皱
cannon	炮轰
albarrello	一种陶器瓶子
sottish	酗酒
monomachy	决斗
coxalgia	股关节痛
unwell	不舒服的
wayleave	通行权
upscale	迎合高层次消费者的
underpan	底盘
compo	灰泥
koza	教研组
ululant	吠
skin	兽皮
adscititious	补充
subsection	细分
zearalenone	玉米烯酮
briny	海水的
lappic	拉普兰人的
photobiologic	光生物学的
suggestibility	暗示感受性
egodystonic	自我失调的
rally	力量
backkward	向后
solatia	赔偿物
lush	青葱的
pruriently	好色
crotchety	反复无常的
interleaver	衬垫
antisepticize	消毒
sensualism	肉欲方面
battercake	煎饼
prophetess	女预言家
unfluctuating	不起伏
asexual	无性
zoophytic	似植物之动物
creamcolored	淡黄色
papillose	有小乳头突起的
inquisitress	女检查官
emulsive	可榨出油来的
dilettantism	浅薄涉猎
qualificative	限定
dprk	Korea
fixer	定色剂
fastigiate	圆束状
cppcc	Chinese
ped	土壤自然结构体
elegant	第一流的
stirring	激动人心的
contranatant	逆流
faggoty	同性恋的
oud	乌得琴
cadastral	土地清册的
adze	以扁斧劈
pattern	格调
pamiri	帕米尔人
submarine	海底
felwort	龙胆科的植物
dankness	阴湿
edacious	贪吃的
selvaged	有织边的
ast	Staff
broiling	炽热的
omnisexual	包括男性与女性
neurohypophyseal	垂体神经部的
attendance	伺候
halcyone	金牛座
circle	圆形物
cap	phase
invisible	看不见的
monsieur	绅士
defeature	使不能辨认
afterlife	死后的生活
calorifacient	发热的
troop	组
languishing	苦思
mean	卑鄙的
brooch	领针
nauplial	具有甲壳动物无节幼体特征
diadem	王权
wintry	寒冷的
unbranded	未打上烙印
gennemic	声象
asway	摆动的
undressed	裸体的
steep	险峻
schizoidia	分裂性气质
disabled	伤残的
serpentinous	蛇纹石的
dumpy	矮胖
blutwurst	血香肠
nomex	诺梅克斯
mariolatry	对圣母玛利亚的崇拜
santy	Claus
poikilothermic	冷血
zymoscope	发酵测定器
unmercenary	非雇佣的
unavoidably	不得已
doctrinism	的阐明
champion	冠军
illusionless	无错觉的
spectrography	摄谱术
ulnar	尺骨的
hyperpituitary	垂体机能亢进的
hma	Area
excogitate	想出
irak	伊拉克人讲的阿拉伯语
sonography	=ultrasonography
unassimilable	不可同化的
leaf	翻……的页
acreage	英亩数
viscosity	粘性
testiness	易怒
skegger	一龄鲑
unstrikable	禁止罢工的
uninterpretable	无法解释的
demonian	疯狂的
max	马克斯
lagomorpha	兔类
hubby	丈夫
tuitional	学费的
hereon	在此
unattended	没有同伴的
mail	邮政
unpleasure	不高兴
harlem	黑人住宅区
overfeeding	吃得过多
kalpak	羊皮帽
manuka	麦卢卡树
hyposulfurous	次硫酸
subduce	撤去
truelove	爱人
castigator	惩罚者
steamroll	用压路机碾
photons	光子
uninvited	未被邀请
tensile	张力的
aps	System
fanlike	扇状
inbound	归航
wintry	冷淡
appropriative	专用
forwards	向前方
disembosom	吐露
inassimilation	无同化作用
pinto	黑白斑纹
dissipated	沉迷于酒色
shiny	擦亮
prefatory	前言的
akene	瘦果
comical	好笑
glow	发热
venusberg	维纳斯山
homozygotic	纯合基因
cockleshell	鸟蛤壳
natural	自然的
quittance	赦免
bufalin	蟾蜍灵
segment	段
verge	濒临
broadcaster	播送设备
fastener	扣件
caponize	阉鸡
closefitting	紧身
northwesternmost	最西北的
neuropsychosis	神经精神病
portulacaceous	马齿苋属植物
perisperm	外胚乳
valet	贴身男仆
piezocrystallization	压结晶
appear	似乎
moccasin	软拖鞋
catalogic	如目录的
thingamy	装置
pore	凝视
skiver	削薄的羊皮
favourite	中意
misjudgement	判断不公
heterogeneous	不同种类的
syllabically	每音节地
materialization	物质化
intermediary	媒介
mithridatise	=mithridatize
dioptric	折射光学
glyceric	甘油
forebear	祖先
truckage	卡车搬运
nummet	便餐
kinetoplast	动基体
supersedence	=supersession
shareable	可分担
unexpectable	无法预料的
inciting	刺激的
glorify	赞扬
lastname	姓
immoderately	无节制
pitpan	独木舟
telephoto	远距摄影照片
pharmacolite	毒石
bighearted	宽大的
wattle	由编条做成
shorthorn	新手
antsy	坐立不安
uninterpretable	无法翻译
canadian	加拿大
pronouncing	表示发音的
gamely	勇敢地
section	截面
lactescence	乳汁分泌
tyg	双柄陶制大酒杯
estate	不动产
phagophobia	恐食症
unchurch	剥夺教会的特权
bloodsucker	吸血生物
upstate	在州的北部
viennese	维也纳文化的
indistinctively	不显著地
clanger	大失策
swimming	游水
ridge	背脊
subastral	星下的
impotence	阳萎
pamphlet	小册子
harvestman	盲蜘蛛
scrofula	淋巴结核
notecase	皮夹子
mats	Military
luxurious	豪华
endemic	风土
drollery	滑稽诙谐之事
tavr	and
dominion	领土
caressive	似爱抚
billowy	汹涌
tog	穿衣
retract	收回
fritz	德国人
nif	gene固氮基因
responsibility	责任
hushpuppy	南部的
outline	概要
penicillamine	青霉胺
underprop	支柱
pederasty	鸡奸
imperfectly	有缺点地
neuroleptic	精神抑制药
phonogram	形声字
proctology	直肠病学
plaister	=plaster
faery	仙女的
mystificatory	使人大为惊奇
gloriette	凉亭
overmountain	住在山上
trilocular	三室的
inbound	入站
whereabouts	在何处
uniparental	单性生殖的
zincous	锌的
emanatory	散发
bichromate	重铬酸盐
adrenergic	肾上腺素的
schematize	把……系统化
solubilise	=solubilize
helsinki	芬兰首都赫尔辛基
humidity	潮湿
meek	和缓
bombax	木棉树
finality	最后的言行
apfelstrudel	薄皮苹果卷
nonacquaintance	不相识
charmingly	迷人地
personal	人称的
ipts	Practical
fresno	弗雷斯诺
unscientific	非学术
race	疾走
territ	鞍环
adrenotropic	促肾上腺
fetterbush	绊脚灌木
saluki	萨卢基狗
dainty	讲究的
allowance	宽容
diastalsis	波状蠕动
conclude	缔结
polygynous	多雌蕊
wrongful	不正当的
crystal	结晶
squirrely	古怪的
missis	太太
fleshless	瘦的
botcher	笨拙的工人
thuggee	谋财害命
iridectomize	为……切除虹膜
identifiability	可鉴别性
infusion	灌输
mooch	流浪
galore	丰富地
pentazocine	戊唑辛
lealty	忠实
canonist	宗规专家
pessimistically	悲观地
daydreamer	空想家
withdrawal	停止服药
unsystematic	无系统
puristical	用语简洁
mouthy	说大话
gault	重粘土
syntagm	结构体
cone	球果
willing	乐意
proteide	含蛋白质的
yammer	无聊话
title	冠军
juggins	笨蛋
excurvature	向外弯曲
tumultuary	喧嚣的
delineator	万能纸型
penelope	丈夫远征20年
arguably	可论证地
reprovision	再给食品
boulevardier	闲荡者
operation	作用
unctuously	油腔滑调
premorse	啮蚀状的
galoot	笨人
irrigation	冲洗
ultima	最后一个音节
foresail	前桅的大帆
vertiginous	不稳定的
overly	极度
testaceous	红砖色
tallit	犹太教男人晨祷时的披巾
mounted	安在马上
empennage	尾部
stomachic	健胃的
programme	=program
unpeace	不安宁
exceeding	非常的
desalivate	切去唾液腺的
hearthstone	家庭
unformed	未充分发展
caressing	表现爱情
hackneyed	陈腐
antialcoholism	反对饮酒过多
downbeat	第一拍
diminutive	指小词
dextrocular	惯用右眼的
creasy	有折痕的
nancified	女人气的
peristome	口缘
honiton	lace
speckless	无斑点的
tinnily	锡
unworking	不在工作
quarrelsomeness	喜吵架
scobicular	=scobiform
bespoke	预订
scamp	流氓
clonesome	机器人般的
smartly	火辣辣
scotophil	适暗的
recommendatory	推荐的
ligate	结扎
gleg	活泼的
egyptologist	埃及古物学者
lingually	向舌
astroturf	阿斯特罗草皮
turkophile	偏爱土耳其风尚的人
qmc	Corps
tweet	小鸟啼叫
resolve	决心要
prothalamion	婚礼预祝歌
rivel	皱起
out	赶出
obviate	预防
intuitionalism	直观论
syncretise	=syncretize
columbary	鸽棚
scleroses	硬化
unordinary	少有的
terebinthine	松节油
gaby	笨人
reflectible	能反射的
motorbicycle	轻型摩托车
buttonless	没有钮扣的
takeoff	移去
rug	地毯
rudie	boy
fibrinogen	纤维蛋白原
subaqueous	水中的
explorative	探险
excisable	应交纳货物税
subapostolic	十二门徒之后
eib	Investment
rooty	多根
cyclecar	三轮式机车
hubbard	squash
soporose	昏睡的
mandi	大菜市
trustily	忠实地
autogamic	自花受粉
stick	刺
dismissive	表示轻视
phonophore	电报电话两用装置
whoop	大叫
eutrophic	富营养的
quarterly	季刊
dissected	切开的
increasing	渐增
west	西方的
monanthous	单式
craneman	起重机操作员
lad	伙计
bronzy	仿青铜的
nim	拿取
bleak	阴冷
collectorship	收税员的职权
taking	营业收入
wrong	不正当
affectlessness	冷酷无情
jeopardy	危险
farcically	滑稽地
codicil	附录
shiny	闪耀
editing	编辑的
deserved	当然
thanatology	死亡学
irrepressibly	无法抑制
execution	制作
lias	蓝色石灰岩
hostie	hostess
hypobaric	低比重的
penile	用阴茎
cissoidal	蔓叶线
swathe	带子
hydrops	=dropsy
famous	令人满意的
squeezer	扑克牌
allocable	可分配
autumnal	秋天的
mycenae	迈锡尼
bimanal	=bimanous
absorptiometer	吸收计
pitchman	广告员
reject	丢弃
baedeker	旅行指南
limpidity	透明
tun	大酒桶
videocast	电视广播
comecon	Council
unlearned	不熟练的
lipizzaner	利比扎马
monometer	单音步诗行
blowball	絮球
endocrinopathic	内分泌病
jams	短裤睡衣
gearcase	齿轮罩
scholastic	学校教育的
xanthosiderite	黄针铁矿
onomatopoetic	声喻
istle	中、南美洲产的各种热带植物纤维
exist	存在
nor	也不
innative	天生
anticatarrhal	抗卡他
cajolery	谄媚
garnetiferous	含柘榴石的
troubleshooter	调解纷争专家
gisborne	吉斯伯恩
cinquain	五行诗
stalactical	生有钟乳石的
obsoletism	废弃
lientery	不消化性腹泻
goofy	傻瓜的
ocap	Cable
campylotropous	弯生的
tenderly	体贴
isodynamic	等磁力线
raddle	涂……赭色
botswanian	博茨瓦纳人
poke	懒汉
bin	箱柜
patter	急速地说
salmonellosis	沙门氏菌病
fetterlock	球节
onlooking	目击
fraternization	结有深交
stopcock	旋塞阀
superconscious	超常意识
phyllade	鳞状叶
ashler	方石堆
extrahazardous	特别危险
unskillful	笨拙
sweepforward	前掠
louisville	路易维尔
propaganda	传道总会
wheelwright	车匠
brimming	满溢
breugel	勃鲁盖尔家族
undeclined	无字尾变化的
mischoice	错误的选择
parietal	顶骨的
hemoleukocyte	白血球
alec	亚历克
gastrology	美食家
tailgunning	机尾枪
semainier	七斗橱
hydride	氢化物
primrose	樱草
eminent	杰出
prythee	求您
satiation	饱满
momently	片刻
unjust	不公平的
astatically	不安定
octosyllabic	八音节
section	项
isometry	等距
article	表达清晰的
waiting	服侍的
clearstory	通风窗
by	用
enchantment	魅力
myelination	髓鞘形成
iridaceous	鸢尾科
rubredoxin	红素氧还蛋白
momental	动量
garamond	加拉蒙字体
languorous	怠惰
upsweep	向上曲
wll	无线本地环路
transitivize	使变成及物动词
curite	板铅铀矿
sack	装入袋
spc	Pacific
favous	形似蜂巢的
terrifically	可怕地
clamer	喧闹
redemandable	要求归还的
mononucleate	单核的
unforeseen	无法预料的
racecourse	跑马场
kotwal	警察局长
ensample	例子
superphysical	已知物理定律所不能解释的
lutose	覆盖有泥状粉质物
rye	黑麦
tilth	耕作
tavern	客栈
wacko	发疯的
plurally	以复数形式
faculative	任意
probe	查明
dote	昏聩
hibernation	冬眠
pizazzy	有精力的
ceasefire	停火
fractional	部分
lapel	翻领
flammable	可燃性
towie	托维桥牌
inauguration	开幕式
inclose	围起来
damascene	用波形花纹装饰
unexaggerated	未夸大的
diamond	菱形
hardy	辛苦地
impersonal	非个人的
arlene	阿琳
windblown	被风吹的
snakebird	蛇鹈鸟
echocardiography	心回波描记术
gunman	枪手
postliterate	采用电子传媒的
silica	硅石
washcloth	毛巾
overprescribe	开过量
discursive	不得要领
ambulatory	流动的
aicpa	American
wastepaper	废纸的
skitter	使掠过水面
capriole	跳跃
linguistic	语言上
starchy	含淀粉
caseation	干酪化
literacy	有文化
auriscopically	耳镜
ocdm	of
confusedly	受困惑地
short	短裤
chili	红辣椒
massacre	残杀
iatrical	医疗的
amort	濒于死亡
extraction	提取
ccitt	Telephone
circularity	环状
reduction	缩减量
rbe	相对生物效应
colic	绞痛
tawie	易驾驭
discomfiture	尴尬
surprise	惊人之事
cozzpot	警察
gym	gymnasium
cinnamonic	取自肉桂
eutaxy	井然有序
din	喧嚣
bottlenose	宽吻海豚
squish	压烂
coagulatory	引起凝结
extent	广度
deaminize	去氨基
hero	男主角
natsopa	OperativePrinters
kathi	伊斯兰教律的法官
fear	担心
associative	结合的
fertilize	使丰饶
imbrue	使充满
basso	低音歌手
grisliness	厉害
initio	在之开头
playgoer	爱看戏的人
lengthily	长
jauk	偷懒
hahnemannian	哈内曼
coercively	压迫地
proximate	最近
facility	设备
hydroplane	水上飞机
shred	破布
jar	争吵
placidly	平稳
punctulate	有小点的
soemba	=Sumba
enthronement	登基典礼
thrombocytosis	血小板增多
chortle	咯咯笑
synergize	协同加强……的活动
pyrogenic	高热所产生
malaysian	马来群岛的
diachylum	铅膏
gypsophila	麦的一种
dioxane	二氧杂环乙烷
eerie	怪诞
likely	有希望的
shepherd	带领
coprophobic	排粪恐怖
retardment	耽误
haggard	形容枯槁的
tegestology	啤酒杯垫子的收集
corollary	系
fly	机敏的
distractible	易于分心的
lightsome	轻快
predominate	占优势
vesa	Electronic
luxuriancy	繁茂
exteroceptive	感受外界刺激的的
tuckahoe	美洲茯苓
clearance	清除
intervenient	介于其间的
spartacus	斯巴达克思党
widen	放宽
plagiarise	=plagiarize
fragile	易碎的
mozzarella	一种意大利干酪
runelike	像北欧古文字的
needments	必需品
franco	邮费准免的
unexaggerated	不言过其实
solipsism	唯我论
paintbox	绘具箱
unsuitable	不相称
treacherousness	背叛
lcp	链路控制协议
fandom	影迷
sori	sorus
vibracula	的复数
reintegrate	再重新完整
bumf	纸
plasmapheresis	血浆取出法
haymaker	制作干草
administrators	管理员
embark	上船
commensal	同吃的
alack	表示"忧伤"之义
trivialism	平凡
exhaustibility	可用尽
householder	住户
ssafa	Soldiers''
rage	狂暴
northwards	面向北
indic	印度语
verminous	虫害
coprozoic	寄生在粪便中
cutify	成皮
beethovenian	贝多芬
founder	摔到
pat	合适
dye	染
axe	斧
brandade	鱼羹
soviet	苏联
quadriplegic	四肢瘫痪的
delator	告密者
trespass	过失
peremptory	专横
atmospherium	云象仪
unholy	不神圣
bearish	如熊的
swat	用力打下去
field	扫描场
preform	预先形成
worry	使焦虑
vaginate	似鞘
overfill	把……装得溢出
teasy	令人恼火
erasion	擦抹
jake	上等的
eburnated	似象牙般坚硬结实的
christmassy	有圣诞气氛的
fudge	捏造
spawn	产卵
market	销路
ceremoniously	隆重地
maenad	Bacchus
inseverable	不可分离
entozoic	内寄生的
amendment	改正
gruesome	可怕的
switch	电闸
tupelo	蓝果树
position	决定……的位置
sacculate	囊状
genetical	=genetic
cobaltic	含钴的
grievous	令人忧伤的
secularization	把教育从宗教中分离
predeterminate	先定
telpher	索道
harsh	苛刻的
bibliotheca	图书馆
brash	傲慢
rink	室内溜冰场
slivovitz	梅子白兰地
oldwomanish	婆婆妈妈
editola	影片剪辑机
eatery	餐馆
glen	峡谷
expeditious	迅速
disposal	支配
irretention	失禁
deprecatory	恳求
backslap	拍背以示友好
stealthily	悄悄
estate	时期
gum	泡泡糖
vintage	过时
methodenstreit	关于方法论的讨论
replacer	替代者
lienitis	脾炎
toner	调色者
leatherette	人造皮
zoolater	动物的崇拜者
downfall	落下
fuegian	人
sassy	厚脸皮的
imprinter	印刷机
liwa	省
engage	雇佣
unnoteworthy	普通
aristocracy	贵族
responsible	负责的
matelote	水手鱼
letdown	松弛
blotch	大斑点
fuddle	灌醉
baptisia	indigo
princox	自高自大的人
wash	洗的衣服
hapsburg	哈布斯堡王朝的
bay	狗吠声
interpolation	添写
abiogenist	自然发生论者
impromptu	即兴曲
cynicism	玩世不恭
desired	想得到
kevin	凯文
bosque	灌木丛
gabble	急促讲出而叫人听不清说的话
cyanogenetic	生氰的
unwed	未婚
carny	巡回演艺团
substantiality	实质性
pricer	评价的人
jowled	双下巴
exclusive	排外的
streaking	裸奔
polonia	波兰裔侨民
anomic	社会之紊乱
clearly	无疑
lunatic	精神错乱
slip	减退
fag	疲劳
superannuated	过时
glauconite	海绿石
mythicism	神话主义
examination	检查
unwarrantable	无正当理由的
proclamatory	宣言
hebron	希布伦(即哈利勒
subdividable	适于再分的
nefariously	穷凶极恶
jasmin	茉莉属
expatiation	详述
vivo	=vivace
unmortgaged	未抵押的
pontificate	教皇的职位
hitherto	迄今
hypophloeodal	皮层下
baptismally	圣洗
groundless	没有理由
heavyish	略重的
slip	闪开
usib	美国情报委员会
brigand	歹徒
baseball	棒球运动
wiredrawn	抽成铁丝
swift	立刻
provincialize	使地方化
intuitional	直观
optate	作出抉择
irritability	兴奋性
import	重要性
corrigibility	可改正性
flare	使张开
rap	厉声说出
metabiosis	后继共生
grand	主要的
anemic	贫血的
emerge	显现
dissentient	反对
triecious	=trioecious
sophistic	强词夺理的
pullulate	产生
stoutly	坚决地
paramilitarism	副军国主义
paralyse	使瘫痪
brook	容忍
arachnoid	蛛网膜的
increasingly	日益
allod	=allodium
whereabouts	行踪
kbp	bishop''s
daffodil	水仙花色
dysmenorrhea	痛经
zoopsychology	动物心理学
nonpartizan	无党无派
fore	船头
jaded	疲倦不堪的
decontamination	净化
palpal	须肢
audiotape	录音磁带
postal	邮政的
nonreturnable	不能退给卖主的
aerate	使充满气体
loop	线翻圈飞行
meadow	草
confront	使面临
prevent	预防
amendatory	修正的
ssr	Republic
ungainly	难看
usafe	in
radiance	深粉红色
staphylorrhaphy	悬雍垂缝术
heartrending	悲惨
frothy	空洞
meritocrat	精英领导阶级的一员
sarcolysis	软组织溶解
unstring	把弦解下
protoplanet	原行星
connotation	内涵
giovanna	乔凡娜
undersanded	含沙过少的
polyclonal	多细胞株的
swank	出风头
platyrrhine	阔鼻类的
conspiratory	阴谋
nomarchy	州长管区
chapel	小礼拜堂
resource	资源
sierran	锯齿山脊区
piggin	汲水桶
antiferromagnet	反磁tism/`AntI9ferEJ晕镏
ohmage	欧姆数
parabolic	比喻的
interwar	两次战争之间
epicardium	心外膜
gleam	闪烁
amah	女仆
corroboratory	证实的
connotative	内涵的
conciliative	融和
extrapolation	推断
centripetence	向心运动
narcissi	自恋
weevil	象鼻虫
over	在……之上
vividness	明亮
centisecond	百分之一秒
color	给……涂颜色
pansexualism	泛性论
hydrated	与水结合的
sippet	碎片
taciturnly	沉默寡言
electrician	电工
ancilla	附属物
average	平均的
unplucked	未摘下的
tentatively	暂时
tarmacadam	由其铺成之道路
cavendish	板烟
missile	导弹
dyspeptic	消化不良的人
manyat	村庄
sbc	Single
mycostat	灭霉菌剂
summand	被加数
