onfound	使混淆
habanera	哈巴涅拉
biennially	二年一次地
anticlimactic	虎头蛇尾的
tenebrionid	拟步甲科昆虫
captaincy	captain舰长之地位
steep	浸渍液
evolvement	进化
deexcitation	去激
sickly	令人作呕的
overproduction	生产过剩
khz	kilohertz
redeliver	再投递
nonrecurrent	不复发
hhs	卫生和福利部
fiftyfold	五十倍的
gallization	加水和糖
fearnaught	粗绒大衣呢
erythropoietic	红血球生成的
incity	市内
neoconservative	新保守派
acquittance	解除
ferrule	金属箍
klooch	女人
weltpolitik	国际事务
abdicant	逊位的
blanky	少用
clubman	花花公子
ndis	Standard
astrography	天体照像仪
humify	使湿润
lexigram	图形字
appendiceal	阑尾的
dither	发抖
synergetic	协同作用
spiroid	螺旋形
uncorrected	未调整的
oracy	口语能力
triturable	可研磨成粉末
achromatous	无色的
urbane	彬彬有礼
feel	触
curvaceous	肉体美
lawsoniana	=Lawson
adrift	漂泊
ka	阴灵
infrequent	稀少的
nhra	Association
subsidiary	补充的
variability	可变性
dentilingual	齿舌音的
hognosed	鼻子像猪鼻
spy	侦察
phase	状态
gargoylism	脂质软骨营养障碍
peer	同等的人
stipple	点刻
sequence	顺序
slider	滑雪者
cornetist	小铜喇叭吹奏者
feelingless	无感觉
ailment	不宁
sss	Service
egyptianize	使埃及化
submetallic	亚金属的
leadman	工头
esmtp	SMTP
stockily	矮而粗壮
thermic	由于热造成
guan	冠雉
godwinian	戈德温
radius	界限
cosigner	连署保证
aquavit	白兰地
serbonian	大沼泽的
obscurity	晦涩
inbreed	生产
boater	乘船者
besieged	包围
acidly	心地不良
hardhat	需要戴安全帽
penological	监狱管理学
bareboat	空船的
hydrated	与水结合
xylan	木聚糖
xerostomia	口腔干燥
deficit	不足额
minischool	小型学校
forrel	书套
adsuki	bean
gladiatorial	斗剑者的
hesitatingly	支吾其词地
tiddled	喝醉的
prejudicial	引起偏见
aggressor	攻击者
fourfold	四倍
skete	僧侣团体
impugnation	攻击
stopping	停下来
prothetelic	先成
society	……会
motivic	乐旨的
dearborn	迪尔伯恩马车
homburg	小礼帽
twopenny	低廉
through	彻底
fishpond	海
segregative	不喜欢交际的
xciii	93
florid	红润
preliberation	解放前
runaround	借口
ticktack	跳动声
dialytic	透析的
carshops	车辆修理保养厂
berwickshire	贝里克郡
linage	每页行数
sweetener	甜料
inconsequently	矛盾
transigent	妥协的人
homburg	卷边男毡帽
fibula	腓骨
ribband	带板
pained	痛
gandhiite	甘地的信徒
jib	停止不动
abroach	开口的
echinoid	海胆纲动物
scant	缺乏的
vulnerate	伤害
aerostation	气球驾驶法
transudation	渗透
depigmentation	褪色
secund	偏向一方的
sec	秒
impeditive	妨碍的
diametical	正相反的
loot	掠夺
insusceptible	不易受影响的
profoundly	深深
transpersonal	超越个人的
fungivorous	食真菌的
mappable	可用图上标示
galvanocautery	电烙
pegasus	有翼的马
hempy	爱恶作剧
parcel	小包
kgb	Gosudarstvennoi
proficiency	熟练程度
palaeolith	旧石器
ajc	Australian
lyophiled	冻干的
blastema	原基
bacchic	酒神的
hebetic	青春期
raconteur	善谈者
surfcasting	从岸上向激浪抛钓线钓鱼
maladjustive	引起调节不良的
mastitis	乳腺炎
roquet	击中
immission	注入
kilolumen	千流明
gasoline	汽油
sordamente	抑制
forfex	剪刀
adagissimo	很慢地
southwesternmost	最西南
pilchard	沙丁鱼
ingressive	进入
repertory	仓库
recollected	沉思默想的
encincture	环绕
matrilocal	居住在女方的
narrow	有限
forceps	钳子
shop	商店
enforcement	强制
ungainliness	丑陋
diathermanous	透热
dipsophobia	恐饮症
unsympathizing	不同情的
depressingly	抑压地
acidy	有些酸味的
noncontentious	非争论性的
dogate	共和制总督职位
ignimbrite	熔结凝灰岩
holocene	全新世
congius	一加仑
krooman	克鲁人
wallow	颠簸
layoff	操作停止
ishmaelite	被逐出者
pantheon	罗马万神殿
iteration	反复
thereby	从而
unliquidated	未例外的
glowing	生气勃勃
aerobics	有氧运动法
fancifully	梦想
scurvily	无礼
gravely	严峻地
quadrillionth	千万亿分之一地
surprised	感到惊讶的
ticktacktoe	井字游戏
unworthy	卑劣的家伙
incorruptibly	不被收买地
symptomatic	征候
rachitis	佝偻病
homebred	在家里养大的
isocratic	权力平等主义的
compost	堆肥
mph	miles
crested	有顶饰
transmission	传输
shackle	手铐
regrater	囤积居奇者
pattern	模式
electrogenesis	产电
gladness	喜悦
depurant	净化剂
flitty	脂粉气
complement	补助
arty	装艺术的
wellerism	韦勒比较语
ticking	被套料
physiognomy	地势
wolfish	贪婪
kindle	着火
waspish	腰细的
came	come的过去式
luculent	光亮
advance	前进
spaish	西班牙的
dehiscent	裂开性
cryogeny	=cryogenics
harmaline	哈马灵
yell	叫着说
bulk	大批
pallasite	石铁陨石
flickery	摆动的
unsugared	未加糖
cornea	角膜
feelinglessly	无感情
impellent	推动
premonish	预先告诫
morphometrics	形态测定
discrepantly	矛盾
sanctimonious	假装神圣
overtrain	训练过度
hibernal	寒冷的
sickly	惨淡的
olivenite	橄榄铜矿
dendroid	树木状的
schnitzel	炸肉排
swingeing	有力的
norther	酷寒北风
rarefied	稀薄
periodical	杂志
cinerama	西涅拉玛型立体声宽银幕电影
led	Diode
interested	有成见的
rabbi	法师
puristical	修辞癖
esemplastic	有组织作用
fascisti	黑衫党
vlad	弗拉德
dithyrambic	狂热的
uncreased	未弄皱
doyen	首席
anthobian	以花为食的甲虫
counsel	讨论
tenant	出租
tinnient	发丁零声
hoof	蹄
hyte	疯狂的
aerotrain	悬浮列车
monticulate	有小丘的
jellied	凝成胶状的
mechanical	机械
candu	uranium
withdrawal	退隐
drugola	毒品贿
polypod	多足
forbearing	宽容
doxastic	信念
commons	平民
jubilant	欢呼
calipers	弯脚器
lessened	减弱
democritean	德谟克利特哲学的
cabaletta	卡巴列塔
intragenic	基因内
ssa	Security
uninspired	平凡的
difficult	困难的
hummocky	圆丘般
flank	在……的侧面
fumy	冒烟的
ingather	收集
coedit	合作编辑
reduction	缩小
agreeably	愉快地
naprapath	按摩治疗者
phycology	藻类学
msls	of
toby	人形水罐
level	级别
uric	取自尿中
rebellious	难于对付的
hexameter	六步格
prosper	兴隆
persevering	坚忍
breadless	缺粮的
run	行驶
hawking	利用鹰行猎
heptagonal	七边形的
rasc	Army
worthily	可敬地
reticulated	网状的
claudicant	跛
spurious	假造的
lunarite	月球上高地表面的
exponible	可说明的
circumvolution	盘绕
billabong	洼
preparedness	有准备
safeguard	安全装置
hooter	汽笛
isocephalic	人像头部等高的
viburnum	荚莲属的植物
holmia	钬之氧化物
epididymis	副睾
blacksnake	皮鞭
brooder	沉思者
pentastyle	五柱式的
compo	工伤赔偿
kimchi	朝鲜泡菜
flavourful	味浓的
legalise	=legalize
caravan	沙漠
alaskan	阿拉斯加
positive	确实的
sanctuary	避难所
agrometeorological	农业气象
forget	忘形
greenkeeper	高尔夫球场管理人
jussive	祈使
dissatisfied	不高兴
mrs	炮口基准系统
cinerary	放灰
doggery	狗群
yeastlike	似酵母
fulgurate	发出电光
vastly	广大地
victualage	饮食
transhydrogenase	转氢酶
outboard	外侧
pennatula	pen
egress	外出
janfu	一团糟
lienteric	滑肠的
etymologize	探溯语源
twisty	不直接说明
detorsion	弯曲器官的变直
measle	囊尾蚴
mandible	下颚骨
unchurched	不属于任何教会
inkosi	首领
derogatory	贬损的
linendraper	衬衣类商人
reunify	使重新统一
galactosamine	软骨糖胺
quadraphonic	四声道
careworn	受忧虑折磨的
identic	完全相同的
quarter	四分之一
tenno	日本国天皇
deuteranopic	绿色盲的
discuss	论述
vertebra	脊椎骨
fishes	双鱼宫
airhop	短程空中旅行
countergirl	柜台小姐
saw	see的过去式
preatomic	原子能利用以前的
clear	有条理的
washcloth	面巾
drift	冲洗
schistocyte	裂细胞
cratered	有坑洞
fetation	胚胎发育
roi	Oil
recessive	隐性
suburb	市郊
labialization	唇发音
tlo	only
isapi	Program
martin	燕子
twopenny	头
ghostliness	影子似的
moslemic	伊斯兰文化
unmercenary	不是仅仅为金钱
regardlessly	毫无价值地
coxed	有舵手
transient	短暂
sundowner	暮后小酌
burdensome	难以承担
mild	不含有害物质的的
polyphonic	对位法
flattery	谄媚
epicenter	震中
forsworn	伪誓的
dankly	潮湿
stalemate	僵局
smithy	锻冶匠的工作场所
conjury	魔法
geopolitic	地理政治学的
shoal	浅滩
acalycine	无花萼
consult	考虑
surety	保证
corporation	社团
leeriness	狡猾
wrangell	兰格尔山脉
underpowered	由动力不足的发动机驱动
mugginess	闷热
spoonful	一匙
unpopular	不受欢迎
chemosurgery	化学外科
adventureful	富于惊险事件
colorific	色彩的
erect	盖
acquired	已成习惯
leprosarium	麻疯病院
gfwc	Federation
metropolitan	主要都市
creaming	乳状物之沉淀或上层
fryer	油炸
ruggedly	粗暴地
constabulary	警官队
bossy	浮雕装饰的
fender	挡泥板
hendiadys	重名法
working	抽搐
extrahazardous	特别危险的
foursquare	正方形的
iea	Association国际教育协会
geogenic	地球成因学的
horsecar	运马货车
lengthen	变长
crisis	历史上的紧要关头
aurelian	水母
nucleocapsid	核壳体
damageable	易损害
subcontinent	次大陆
resting	不动的
maelstrom	挪威近海的大漩涡
gownsman	律师
barbarous	粗野的
willa	威拉
jacksonian	美国第七任总统杰克逊的
making	素质
towards	有助于
subeconomic	经济上不合算的
stum	用防腐剂防止发酵过度
nodus	难点
geogenic	球成因学
chirk	快活的
hyalite	玉滴石
plashy	潮湿的
bedfordshire	英格兰南部的州名
thoro	完全的
doggie	小狗
xenia	异粉性
albino	白化病者
evaginable	翻转的
cnaa	Awards
oxisol	氧化土
cokehead	可卡因瘾君子
flamboyance	火焰
bachelordom	单身
institution	制度
bespoken	显示
dystrophication	海水污染
caboodle	群
cotton	棉花
inharmonious	不和睦的
queensware	女王陶
boxhaul	使船顺风势转向
vallation	筑城术
diffused	扩散的
deanship	院长职
reperusal	重新细读
leavy	多叶
irrigate	灌溉
strappado	处以吊刑
iotp	Protocol
gmwu	Municipal
leaven	酵母
colory	色泽甚浓
coziness	舒适
dumpishness	愚笨
enculturate	使适应某种文化
democratic	平民的
sbc	coding
liveborn	活产的
carboniferous	含碳或煤
closter	归隐修道之处
mythologer	=mythologist
divisive	分裂
moosebird	灰噪鸦
face	外观
wwf	Wrestling
calembour	谐音之诙谐语
hematoblastic	血胚细胞的
compendiary	简明的
occidentally	西方文化
wrongfully	不正当
dexiocardia	右位心
constrained	被强迫的
tripinnated	三回羽状的
specular	镜子的
hip	臀
maritime	海员的
dolefulness	寂寞
unhurried	不慌忙的
stage	发展的进程
ln	行
rabblement	暴动
symbolistic	象征性
malay	马来语
treacle	糖蜜
conglutinant	促创口愈合的
ransom	赎回
concentrate	集中
cheep	吱吱地叫
membra	membrum
wearability	穿着性能
imap	Internet消息访问协议
catastrophism	灾变说
refusal	优先取舍权
splash	飞溅
foolish	傻的
gulf	海湾
anubis	豺头人身神
besiege	围攻
savourless	无情趣
myxasthenia	黏液不足
matte	不光滑
becloud	使遮暗
contriver	发明者
allocable	可拨出
butyrate	丁酸盐
out	明显
retarded	发展迟缓的
asyllabic	不成音节
bughouse	发狂的
fluid	流动的
inertion	无行动
maraschino	黑樱桃酒
catalonian	加泰罗尼亚的
voiceprint	声波纹
supplicant	恳求的
bummel	漫步
smolder	郁积
nuclei	的复数形
psychoactive	作用于精神
romaika	现代希腊流行舞
hieland	易受骗的
reship	再上船
billabong	死水
sound	使发声
madly	精神失常地
intellectualize	/
luteofulvous	橙褐色的
unmarriageable	不适于结婚的
ornithological	鸟类学
faciocervical	面部与颈的
tuck	船尾突出部下方
noncellulosic	合成纤维
upright	诚实的
interauthority	当局之间
wakayama	和歌山
thalassochemistry	海洋化学
upstream	向上游
overentreat	以恳求说服
thereof	它
triradiate	向三方射出的
khowar	科瓦语
asocial	自我中心
campy	同性恋的
social	社会的
decagon	十边形
conjugal	夫妇间
muscarine	蝇蕈碱
solidary	团结一致的
kithe	以行动表示
schistoid	片岩状的
insider	知道内情的人
prettyish	可爱的
fetch	带来
roz	=rozzer
aglisten	闪烁的
meniscus	半月板
thaumatrope	西洋镜
prevailing	流行
platinocyanid	铂氰化物
thriftily	兴旺的
copemate	合伙人
opec	Exporting
mmx	多媒体扩展指令集
lamellicorn	鳃鱼的
romanza	抒情短诗
standstill	停顿
fluid	可改变的
wive	嫁
pomade	润发油
catalyse	催化
shindig	骚动
cote	窝
metapsychic	心灵学的
comble	顶点
famed	闻名的
typecast	浇铸
complimental	恭维
unbar	打开
fluky	不可靠的
holophrastic	以一个字显示整句意思的
monopteron	=monopteros
cyanine	青蓝
infusorium	纤毛虫
filmic	象电影的
eupatrid	世袭贵族
enounce	声明
direct	径直的
totty	喝醉
appealing	哀诉似的
dish	盘
seroreaction	血清反应
citizenize	使成为公民
shimmy	晃动
crisp	易碎的
mind	照顾
brink	边缘
urgently	迫切
lovage	一种独活草
forgery	伪造罪
wolf	猎狼
start	惊起
nonacceptance	不答应
meltwater	冰河融化后的水
transubstantiate	trAnsEbstAnFIeIt/
curlycue	花体
teethe	长牙齿
incursion	袭击
bargemaster	驳船的主人
indisputability	无争辩的余
anemone	海葵
brassiness	似黄铜
malentendu	误会
put	怪人
viatka	=Vyatka
notional	想象的
cooptative	增选
shearlegs	人字起重架
clique	阀
ryurik	Rurik
demotics	人与社会学
acclimate	适应
elytrum	翅基
willinghearted	十分情愿的
psia	inch
marked	有记号
hurst	小林
mindexpander	致幻药
canvasser	游说者
regolith	风化层
chitinous	壳质
andersen	安徒生
coastel	水上漂浮旅馆
blind	使失明
illusory	产生幻觉的
milk	乳
literarily	学术上
tew	early
underwater	在水中的
wisehead	=wiseacre
underclothes	内衣
pallidly	苍白无血色
subliminal	下意识的
loss	错过
wctu	Woman''s
albuminoid	蛋白质
rhabdovirus	棒状病毒
stag	只有男性的社交晚会
founder	沉没
attend	照顾
grandfather	始祖
devotedly	忠实
sack	就寝
reason	思考
listee	登记簿上列名者
buckthorn	鼠李科
cantabrigian	模仿剑桥大学
prolegomenon	前言
pinitol	松醇
impertinently	不恰当
thickheaded	笨
granulation	有粒的表面
teeming	丰富
translatology	译学
specialisation	=specialization
tactually	触觉器官
trading	贸易
willowy	苗条
by	Belarus
implead	起诉
unforgettable	令人难忘
stroke	抚摸
heterocrine	多种分泌
coterminous	连接
transpose	调换
palatinate	领
insistency	坚决要求
misconduct	不正当的行为
matamoros	马塔莫罗斯
transplant	被移植物
age	成熟
unfamiliar	新奇的
guidebook	旅行指南
face	正面
stockbreeding	畜牧业
illegalize	使成为非法
glochidia	glochidium的复数
interpellate	质询
logicize	运用逻辑
epeirogentic	造陆作用
wildfire	鬼火
cetacean	鲸
energize	加强
xpvm	Console
ckd	completely
curiosa	淫书
iliac	髂骨的
creatine	肌氨酸
inspectorate	巡视员等之总称
lamergeyer	髭兀鹰
autacoid	自体有效物质
informing	鼓舞的
sheepshank	缩结
rhotacize	使r音化
cabasset	七世纪时的一种钢盔
belfast	贝尔法斯特
unassuming	谦逊
stuggy	矮胖的
anthelmintic	驱虫
clanism	宗族制度
coronach	挽歌
hansel	贺礼
radium	镭
sniff	闻到
unobjectionable	婉转的
cancroid	蟹状
ukaea	Kingdom
mysost	挪威乳清干酪
embryulcia	牵胎法
uncase	暴露
iupap	国际理论和应用物理学联合会
febrific	发烧的
zincotype	锌版画
hydroextractor	离心干燥机
multibarrel	多管的
jehu	卤莽的司机
ophthalmologist	眼科医师
multinest	多重嵌套
spirochaetal	由螺旋体引起
mind	情绪
bating	除……之外
unifilar	单线组成
rafferty	混乱的
dauphiness	王太子的妻子
craig	克雷格
plumbum	铅
ceramics	制陶业
thin	瘦的
cruel	使痛苦
unparalleled	空前
fissipedal	足趾分裂
cherry	樱桃树
fibre	须根
flowerlike	象花
undam	从……撤去堤坝
sacculate	囊状的
sitting	易击中的
angolan	安哥拉
discouragement	劝阻
preoccupant	抢先占据
serinette	八音琴
unvanquishable	不能克服的
draconic	严峻
certify	证明
cognominal	同姓
typhoidal	伤寒
myriapodan	=myriapod
comusmacv	驻越美军司令
keltic	凯尔特族的
ambiguously	含糊不清地
limpingly	勉强地
papaverin	罂粟碱
conception	观念
granular	粒状的
icy	冷淡的
rightable	可补救
asymptotic	渐近线
motley	杂色的
emit	吐露
zoom	嗡嗡声
mammey	=mammee
deianira	得伊阿尼拉
refutably	可反驳地
redemptive	用于补偿
force	暴力
middling	中等
develop	逐步显示出来
schrod	=scrod
fit	准备好的
crosswise	成十字状地
mend	补丁
slatter	溅污
gid	眩倒病
charlatanry	骗子行为
turgid	肿的
enervated	无力
fairness	顺利性
ultrarightist	极右分子的
ritualistic	仪式的
lexic	=lexical
qic	1/4
circumpolar	拱极星
polarizer	偏光器
electrostriction	/
eminence	出众
embow	使成穹形
attaintment	=attainder
videoporn	黄色录像
crocean	克罗齐精神哲学的
setiferous	具刚毛的
sociosexual	社会群体内性关系的
shooting	狩猎场
puckery	缩拢的
subsaturated	不完全饱和
grungy	蹩脚的
creosote	杂芬油
transitoriness	短暂
assessable	可征收
irredeemable	不可救药
temporal	当时的
postcranial	颅下
hodeida	荷台达
vicenary	以20为基数
guardship	哨舰
unattainable	做不到
term	学期
stunner	出色的人
relapse	回复原状
mangily	污秽
uninjured	未蒙损失
watercolor	水彩画
epipastic	撒布粉
tropocollagen	原胶原
lampson	兰普森
anaemic	贫血的
disadvantage	缺点
revest	再赋予
excellent	卓越
precise	准确
cachexia	恶病体质
tetrastichous	四列
gory	血污的
requin	=requiem
decillion	100万的10次乘方
theophoric	的:
interrelated	相关的
unattained	未达到的
girdle	包围
furnishings	设备
aforehand	事先的
boo	嘘!
fidget	坐立不安
excel	胜过他人
nitwitted	笨
assuringly	确实地
shag	蓬松
undisturbed	镇定的
pyemic	毒血症的
saunders	=sanders
kneeboss	膝甲
fashionably	按照流行地
laddie	年青人
floodometer	潮洪水位测量仪
cipolin	云母大理石
maxisingle	慢转唱片
fearful	严重
gandhiite	甘地的
barrater	买卖圣职或官位者
frippery	无用的东西
palpable	明显的
dall	野大白羊
sioux	苏人
unlistening	不留神听
scarify	乱刺
fast	耐久
dressing	敷料
dastardly	卑鄙的
adrenocorticotro	肾上腺9kR:tIkEJ`trCfIk
swank	打扮漂亮
unleased	未租出
urge	迫切要求
himalayan	喜玛拉雅
unsccur	of
else	别的
backbiter	背后诽谤者
tantalise	=tantalize
ailurophile	养猫的行家
hantu	恶鬼
fossilology	古生物学
incalescent	温度渐增
umber	涂红棕色于
dup	开
diverge	脱离
collectanea	选集
spiniform	似脊柱的
trailer	追踪者
cussed	乖僻
coloring	色彩
pushily	一意孤行地
dogginess	象狗
aboriginal	土著的
impressional	印象的
centrifugal	离心的
unicode	采用双字节对字符进行编码
sticking	粘的
bronchogenic	支气管原
speedway	机器脚踏车的竞赛场
etesian	季节风
waltz	华尔兹舞
pressbutton	按钮
marking	记号
naeb	National
malachi	玛拉基书
weenie	细小
proximal	最接近的
gonocyte	生殖母细胞
plutolatry	财富崇拜
generalist	多面手
brim	边
rhomboidal	长斜方形
magnetohydrodynamic	mA^`ni:tE9haIdrEJdaI`nAmIJ9haIdrEJdaI`nAmk/
washy	乏味
durra	高粱
anonychia	先天性无趾和指甲症
allude	间接提到
downspout	水落管
water	水上
spinous	刺状的
microcopy	缩微复制
mangrove	红树林
harmonical	调和的
pretty	恰当
panhandle	行乞
microstomous	小嘴
neurosurgery	神经外科
subliminal	潜在意识
incommutable	不能变换
ballistically	发射
contract	使缩短
rotfl	Rolling
radiolarian	放射目的
dastard	怯懦的
bibliology	书目学
peripheric	=peripheral
warp	弄歪
interfacial	分界面
thoreau	梭罗
whencesoever	无论为什么
indicial	指标
samba	跳桑巴舞
recorder	宏录制器
gruff	粗哑
befittingly	适宜
auditoria	会堂
nestlike	窝似的
dramatic	戏剧性
hygrometric	吸湿性的
snazzy	时髦
acquirability	可
account	说明
divisional	分区的
phallocrat	大丈夫主义者
ne	旧姓的
flump	砰的倒下
random	胡乱
sodamide	amide
railroadiana	铁路文献
downcast	沮丧的
jimberjawed	有突出下颌的
trousseau	嫁妆
nobly	崇高地
hygrostat	测湿计
witchcraft	魔力
at	Austria
apog	apogee
unbalanced	不稳定的
justifier	辩解者
jounce	颠簸
perpendicular	垂线
dominating	独裁
triantelope	澳洲扁体大蜘蛛
satanic	邪恶
electrologist	电蚀医师
malediction	咒
crenulated	细圆齿状的
pageant	庆典
nyp	published
uncivil	不文明
whipster	妄自尊大的小人物
subsistent	存在的
microanalysis	微量分析
sporadical	=sporadic
weak	虚弱的
botryoidal	一束葡萄状的
orotund	洪亮的
popcorn	爆米花
tannish	淡褐色
christadelphian	基督弟兄会会员
mesic	栖于湿
tactical	战术
velodyne	调速发电机
lovelorn	失恋
discriminatorily	有区别
federally	联邦政府地
outwalk	走得比……快
sthenic	兴奋
lighter	驳船
minuteman	独立战争时立即应召的民兵
undivided	专心的
exaggerate	夸大
sackbut	低音喇叭
hemagglutination	/
leisuresuit	便服套装
petalage	花瓣
pinecone	松球
banter	逗弄
strikingly	引人侧目
vasopressor	血管加压
effloresce	风化
homily	说教
quittance	解除
administerial	行政上
streaky	有条纹
token	表意的
papillectomy	乳头切除术
settltment	殖民地
sap	挖坑道
coffee	咖啡树
semifinalist	于初赛获得以在半决赛时出赛的选手
cipolin	意大利产大理石的一种
phrenetic	精神错乱
wishful	想望的
septennial	延续七年
trailing	被拖动
chromidium	核外染色粒
existential	有关存在的
tributary	从属
repulsive	排斥
vamoose	匆匆离开
fractionlet	小碎片
disagreeables	不愉快的事物
unpeace	不安静
restorable	可恢复
tripodal	有三脚的
altogether	总而言之
centennial	百年纪念
continuable	可持续的
berliozian	柏辽兹乐曲的
whine	发牢骚
newfashioned	新式的
mycotoxin	毒枝菌素
filthily	污秽地
shmoo	什穆
useless	无用
reinflation	再膨胀
awry	歪斜
underappreciated	未得到正确评价的
hardhead	矢车菊
maiden	未婚
sublime	壮观
rayah	非伊斯兰教徒的土耳其人
hekla	赫克拉火山
fawning	奉承的
unitar	Nations
cruelly	残酷
pyrocrystalline	火成晶质的
irresistible	不能压制
veranda	阳台
reptiliary	爬行动物馆
untearable	扯不破
crookery	诈骗
febrific	产热的
oceanaut	海底实验室工作人员
lymphogranuloma	`lImfEJ9^`lEJmE/
superacid	太酸的
rule	裁决
provisory	有附文
nodularity	结核状态
neutrophilic	嗜中性
emit	发出
jura	jus的复数
gluey	胶的
rivalize	竞争
emblematic	标记的
telecommute	远距离工作
override	不考虑
jugoslav	南斯拉夫人的
hydromechanics	流体力学
mound	筑堤
authorise	=authorize
cheddite	谢德
opal	蛋白石
physiographical	地形学的
headframe	井架
recumbency	斜靠着
nomenclatorial	命名的
cyclothymic	循环性精神病的
ringworm	癣
mustardy	芥子粉
traditional	口传
fillet	头带
chemist	化学家
inquisitorial	询问人的
untenanted	未被租用的
verily	忠实地
aerodynamicist	气体力学者
adventist	基督再临派成员
idiotype	个体基因型
traumatic	创伤的
affected	做作的
reasonably	适度地
underpinner	支承用的支撑
tauranga	陶兰加
prestissimo	最快速度
nonviolently	非暴力
pocketbook	皮夹
travelogue	旅行见闻讲演
slumberous	催眠的
frigidly	呆板地
jew	犹太教徒
sawback	锯齿山脊
ersatz	人造的
photoactive	光敏
misallocation	错误的分配
hypoglobulia	红血球减少
cinc	chief总司令
distant	疏远的
spender	用钱的人
commandery	骑士团管理地
noumenal	实体
sympathetically	感应着
avowable	可承认的
regionalism	行政区域划分
untidy	不整齐
rubberlike	橡皮状的
handgun	手枪
microcalorie	微卡
knur	硬的突起
monoacidic	一元
porte	土耳其宫廷
capillary	毛状
placage	薄饰面
worthy	值
briseis	布里塞伊斯
paperboard	卡纸
migrant	候鸟
wineskin	葡萄酒囊
unreel	退绕
cered	有蜡膜
petrous	岩石
somatotrophin	生长激素
universal	普遍的
band	结合
regard	关系
unfaltering	坚决的
mwa	美国现代林业人员协会
loverboy	情夫
commodious	宽敞的
tarnal	非常
chou	周
prolusion	序言
some	相当的
magic	魔法
forward	促进
conglutination	粘附
shackle	加桎梏
extinguishable	可熄灭
radioautogram	=autoradiograph
scurrilously	粗野无礼地
thrombokinase	活性司徒氏因子
appetizing	美味可口的
fibrilla	根毛
conche	巧克力搅拌揉捏机
sinuate	弯弯曲曲
lumberjack	木材商的佣工
clearstory	天窗
sunkissed	受阳光照射的
congenetic	同源的
incretion	内分泌物
locofoco	摩擦火柴
tacitly	肃静
outlier	露宿者
hermaean	赫尔密斯方形石柱
nephometer	云量仪
shemite	闪族
catenate	使连续
underproduction	生产不足
row	排
fancy	奇特
skein	一团糟
bland	温和
forwarder	转运公司
pentacle	五角星形
attainder	被剥夺财产和公民权
nixie	nix的阴性形式
ruling	统治的
enring	环绕
fortuitous	偶然的
arsine	三氢砷化
erotism	性的兴奋
pronominal	代名词性质的
practised	老练的
febricide	退烧剂
awash	被浪冲打
carissima	亲爱
rugged	粗糙
objectionable	讨厌
variant	变量
scapolite	方柱石
maidenhood	处女时代
tenebrosity	阴暗
literalise	=literalize
molybdian	=molybdenian
gemmate	有芽
fissile	分裂性的
grunge	难看的东西
sociologise	=sociologize
rcvs	Surgeons
gdi	Interface
subthreshold	阈下的
undershot	下射
councilwoman	议会女议员
woden	沃登
glottal	用声门发声的
hvar	rocket
ley	牧
shelly	多壳
bivallate	围有两层防护土墙
quail	感到恐惧
perissodactylate	奇蹄目的
athirst	渴望的
impress	盖印
exploitative	剥削
curvicostate	具曲脉
shrill	尖声的
misspent	浪费的
allomerism	异质同形
horseshoe	马蹄铁
ultrafax	电视传真电报
title	标题的
braillewriter	=Brailler
vacancy	空虚
deathful	致命
chopfallen	下颚凹陷
guadeloupe	瓜德罗普岛
humilis	淡的
sleight	手法
overperform	超剧本表演
rousseauesque	具有卢梭风格的
remove	班级
palliatory	减轻的
neoglacial	新冰川作用的
maiden	纯洁的
barefoot	赤脚的
mammee	曼密苹果
scent	香味
underproductive	生产供不应求的
byzantinesque	拜占庭风格的
vim	精力
baptism	严峻考验
supervisal	监督
velarize	发软腭音
elementary	自然力的
fin	鱼翅
pythia	皮提亚
cromerian	克劳默人
nomenclatorial	命名
renown	传闻
longhair	知识分子
redhibition	原货退回
postmen	邮差
antecedence	先前
expositive	解释的
thumbtack	图钉
sublunary	上
bumptious	盲目自夸的
mundane	世俗的
infirm	弱的
maldistribution	分布不均
plebby	粗俗
embroglio	=imbroglio
riffle	流过浅滩
sadduceeism	撒都该教派之教义
pasteurisation	=pasteurization
stamineal	雄蕊
omnimane	每晨
potherb	熟食叶用菜野菜
nonstandard	不标准
fine	变细
abbreviative	缩略
uptodate	最新式
incendive	易燃烧的
synthetase	合成酶
audacity	大胆
pretreatment	预处理期间
auralize	在心灵深处听到
bloomer	完全成熟的人
thankfully	感谢
mitred	斜接的
stud	柱头螺栓
bucentaur	半牛半人的怪物
taborin	狭长小鼓
adolescent	青春的
abiotic	无生命
unentertained	未被逗乐的
equivocal	可疑的
plumbeous	铅的
praedial	耕地的
lactary	奶似
bang	突然巨响
baize	台面呢
lemma	引理
done	做好了
snoop	调查
vote	选举权
npl	Laboratory
endotherm	温血动物
stride	大步走
hoodwink	遮眼
upload	上载
jed	杰德
pronto	急速地
lubricant	滑润剂
earthpea	花生
luciferous	光亮的
dapple	有斑纹的
oakling	栎树萌发枝
agedly	老年人似地
omniscience	全知
leukoplasia	黏膜白斑病
unavoidable	不能取消
unfortunate	不幸的
arborize	使分叉
connivence	默许
natural	普通的
twerp	蠢人
gpm	per
bunghole	桶孔
nitwitted	笨的
slither	不稳地滑动
appointer	任命者
uranic	天的
set	接受机
jutish	朱特人
towards	朝
imbosom	怀抱
clavated	一端膨大的
tousy	临时凑合的
gasthof	小旅馆
psephite	砾质岩
handcart	手推车
overoccupied	过于拥挤
scurfy	皮屑
