chrysograph	中世纪时代用金色或金银色墨水所写的文件
prayerful	虔诚的
clamant	喧嚣
grouse	埋怨
codicil	遗嘱的附录
wizzled	干瘪
lordship	统治
pictish	皮克特族
leftish	左倾的
expressive	表现
jobmaster	出租马匹
eguttulate	无斑点
nondescript	无可名状的
solidus	古代罗马金币的一种
lapsible	应消失
spreading	撒布
embark	上飞机
anoxemic	血缺氧的
eftsoon	即刻
contemptuous	轻蔑的
waterworks	供水系统
intentional	故意
formic	蚁的
bogus	假
palmated	有蹼
equally	相等地
unwedded	未婚
quatercentennial	400周年纪念
rattlepated	愚蠢多嘴
oary	有桨的
delian	的ll
zany	滑稽
speakerine	电台女播音员
loculation	形成小腔或小室
effusiveness	唠叨
covered	掩藏着
macroptic	视物显大症
expresser	表达者
bread	面包
toxicoid	有毒化学物质
blintze	薄饼卷
misanthrope	厌恶人类的人
circumstantial	旁謎ty/`s\:kEm9stAnl/
paleornithology	鸟类化石学
sarcomata	恶性毒瘤
aculeate	有刺
actualistic	现实主义的
tranquilite	静海石
exposure	揭露
bloodwort	美洲血根草
fast	快速的
merriment	嬉戏
downcycle	下降性循环
silverless	不用银制的
telomerization	反应
tactually	触觉器官地
guy	盖伊
exemplary	可仿效的
duotype	双色网目版
toxoplasma	弓浆虫
illuminometer	照明光度计
sclerite	骨片
frankhearted	坦白的
sherpa	夏尔巴人
down	降下
casement	窗扉
cylindric	圆柱状
cookshop	小餐馆
spotty	发疹的
oddly	古怪地
underage	未成年
heterogeny	异型生殖
berliozian	柏辽兹乐曲迷
plebby	平庸
bluff	绝壁的
ichthyoid	成鱼形
unsound	不安全
animalistic	色情的
extortive	逼取
thaumaturgist	术士
inviolable	不可亵渎
worship	礼拜
unchurch	剥夺教会会员资格
nabob	在印度发财的欧洲人
grisliness	恐怖
nongovernmental	非政府的
microdot	微粒的
episode	插话
negligible	不予重视的
negligible	可以忽略的
wahhabism	瓦哈比教派的教义和习俗
monticle	小丘陵
sapient	装聪明样
international	世界的
mass	集中
irenic	和平主义的
cadence	韵律
supersonic	超声频
lav	轻型装甲车
weal	在……上抽打出条壮鞭痕
gunner	炮手
splashboard	挡泥板
countermortar	反迫的
tun	装入大桶
nodose	有节
epistolary	书信
pneumatic	装满空气
ataxia	混乱
grungy	丑
feed	吃东西
gun	向……开枪
pombe	非洲酒
am	A
scrupulousness	小心翼翼
catspaw	受人利用者
trochus	圆锥形螺壳
tail	后面来的
oldwomanish	婆婆妈妈的
ocherous	赭色的
commodious	宽敞
radon	氡
respect	尊重
cognitive	认识的
trembly	发抖的
bloat	膨胀
protonema	丝状体
unita	争取安哥拉彻底独立全国同盟
jiessie	杰西
heavy	沉重
fomes	传毒物
plenteous	丰富
fick	principle
fernery	蕨类丛生之处
floriferous	开花
cadet	军官学校学生
penult	倒数第二个
neutral	非彩色
encampment	露营
conflicting	相冲突的
coneflower	金花菊
unforensic	不适于法庭的
desecrate	污辱
unpretending	不装模作样
seaward	朝海
unsleeping	未入睡的
beidaihe	北戴河
dlemocrat	民主党党员
vexillate	有旗瓣
renegue	否认
orthogonalize	使成为正交
kersey	该粗绒布制裤子
hyperdactylia	多趾
colonel	陆军上校
byzantine	拜占庭式的
improperly	不正确
junk	舢板
evidential	证据
oversweep	扫过
londony	有伦敦特色的
indent	印凹痕
wart	瑕疵
sweetly	含糖
felonious	凶恶的
ruling	主导
early	在初期
woodskin	制造小划子的树皮
tempt	考验
northeastwardly	向东北的
innumerable	无数的
fungicide	杀真菌剂
scantily	缺乏地
unprejudiced	无偏见
moony	恍惚
infuse	泡
returnee	返回者
grinding	碾的
keffiyeh	阿拉伯人的头巾
lookup	查找
oct	十月
emporium	商业中心
sanborn	桑伯恩
jalap	泻药
gammadion	万字形
rhombencephalon	后脑
sonometer	听力计
electric	导电
codetta	小尾声
record	标明
aftersales	出售以后的
adfreeze	使冰冻黏附
avarice	贪财
aut	University
rapture	使狂喜
teachable	可教
postiche	画蛇添足的
faint	模糊的
succinct	紧身的
trigenic	三基因
cushat	斑鸠
plunderbund	掠夺联盟
hornless	无号角
molder	制模工
wicked	刻毒的
patrimony	继承物
towery	高耸的
nostologic	老年医学
authoritative	命令的
perspective	透视图
oxazepam	氯羟氧二氮草
oversoul	上帝
redefect	再度投奔
curvaceous	曲线美
compendiary	简略
spree	无节制的狂热行为
faubourg	郊外
synarthrodial	不动关节
satanic	恶魔
cuspy	整洁
monophyodont	不换性齿
leigh	利
superfine	特级
unreprieved	未缓解
reconnoissance	=reconnaissance
glisteningly	闪烁地
bassein	勃生
diffrangible	可绕射
divestiture	脱衣
intellectual	显示智力的
poise	姿势
acceptant	容易接受
narcoma	昏睡
cogency	力量
raconteur	健谈者
enterochromaffin	肠嗜铬细胞
wrecking	打捞业
costermonger	鱼叫卖小贩
bolton	可用螺栓固定
aphakia	缺少晶状体
unentangled	不纠缠
qei	inveniendum
amendatory	改善
scramasax	大刀
aeneas	特洛伊战争中的勇士
honkers	喝醉的
hyperthymia	心情激越
neighboring	邻近的
willingness	自动自发
repopulate	使人重新住入
usaid	美国国际开发署
indwelling	内在
unjelled	未定形
baronetage	从男爵
pileum	鸟冠
sulphonic	酸性硫酸基的
trilobed	=trilobate
druidic	督伊德教
rainbow	五彩缤纷的排列
abecedarium	入门书
aneurism	动脉瘤
mechanical	机械制的
cockroach	蟑螂
carry	射程
caucasian	白种人
cechy	=Bohemia
rampant	蔓生
valedictory	告别的
irgb	Green
seminal	种子的
hazel	榛树
lot	许多
merchant	批发商
mould	模具
tackey	=tacky
ewer	大口水罐
resonatory	引起共鸣的
noctiflorous	夜间开花的
insincerely	无诚意
steamboat	汽船
singing	歌声
lucidly	透明
quirkiness	诡诈
aether	太空
interwound	interwind的过去式和过去分词
villainous	坏人似的
pilaf	肉饭
dpg	diphosphoglyceric
liked	喜欢
illusage	糟蹋
wroth	激怒
flashboard	插板
preterhuman	超人的
undistinguished	平凡的
ameristic	非分裂组织
quadrilateral	四角
indecorously	无礼地
salvage	打捞
meritocrat	精英管理班子的一员
nuzzer	=nazar
seasonably	应时
kamet	喀美特峰
huskiness	粗嘎声
maintop	主桅楼
quench	淬火
nonparty	无党派
digitalize	以洋地黄治疗
fluently	通畅
bayreuth	拜罗伊特
laminated	薄板状
resonator	共鸣器
braid	编织物
bitonal	双调的
bond	公债
willow	柳木制的
endosteum	骨内膜
distress	不幸
upswept	朝上梳
peat	泥炭块
sumptuously	豪华地
gotcha	you
mount	乘马
naturalise	移植
fusion	熔合
indexless	无索引
pirozhki	=piroshki
sulfate	以硫酸或硫酸盐处理
resell	转售
vouch	证明
exosmosis	渗入
zygosperm	接合孢子
undefiled	洁净
proprietorship	所有权
hilly	多坡的
assignments	分配
ort	残屑
source	原始资料
chairman	会长
excavation	出土文物
hula	草裙舞
inhospitably	冷淡
coseismal	同震曲线
resentfluness	充满愤恨
ninette	尼内特
reformable	可改革的
staves	杖
bonded	以债券作保证
shave	削
nutgall	没食子
densify	使硬化
catachrestic	用词不当的
poplar	白杨
fecula	淀粉
hobbledehoy	青少年
flic	警察
silkscreen	用丝网印刷术印制
underripe	部分成熟
some	若干
activated	有活性的
mts	Moving
allegedly	依其申述
thowless	无生气
maxilla	上颌骨
expeditiously	迅速地
ultranationalism	极端民族lIst/
caffeic	咖啡
tribunitian	=tribunitial
kiddywink	小家伙
covert	掩蔽处
volant	会飞的
snuffy	讨厌
marasmic	衰弱
pattern	式样
inhuman	野蛮的
britannic	英国
baneberry	一种有毒植物
extramitochondrial	细胞中的线粒体之外的
mfp	Multiple
hydrargyric	汞
tergum	背板
knowledge	学问
ken	视野
presentational	表象的
conidia	conidium
fated	受命运支配的
experience	经历
federal	同盟的
continued	继续的
squamulose	有小鳞片的
insinuation	暗示
linkup	连接
pet	亲昵的
indicate	需要
envenomation	毒液螫入
hazard	冒……的危险
haemagglutinate	`hi:mE9^lU:teIt/
unfinished	未完成的
flabellinerved	神经呈扇形排列的
semiplastic	半塑性
mutably	无常
lallation	音
exotoxic	外毒素
pioneer	倡导者
antiunion	反对工会
dankly	透水
psychoneurotic	精神神经症的
leaky	漏的
pathologic	病态
uscf	United
jacquerie	扎克雷起义
recipe	处方
unfastidious	不苛求的
polytheist	多神论者
guarantee	保证书
moneygrubbing	积蓄钱财
saddlebow	鞍的前穹
proof	证明用的
pignus	典质
trashy	垃圾似的
kieselgur	硅藻土
radiodermatitis	放射性皮肤炎
very	特别
prey	掠夺
lanthanide	间的稀土元素
audio	声音
fluvioglacial	冰水
signalise	=signalize
quatrefoil	四叶片的叶子
redid	再做
niddering	卑鄙
checkout	校验
dmd	数字微镜装置
bergsonian	柏格森主义的
intercommunion	相互通讯
peridental	=periodontal
liquid	透明的
medicare	医疗保险制度
overcome	征服
nocuous	有害的
clever	机灵
trinomial	三名法
formerly	原来
misnomer	用词不当
miserable	痛苦
liquor	汁
provocate	激怒
twinborn	孪生的
weld	焊缝
silkworm	蚕
unsuitable	不相称的
kashmirian	克什米尔人
dutiable	应纳关税的
overearnest	过于热切的
ringdove	斑尾林鸽
phytocidal	除草
ribby	多肋骨状物
interprovincial	省际
pulvinus	叶枕
landowner	土地所有者
colourman	图画颜料商人
unaffected	未受影响
quadriceps	四头肌
oviparous	卵生
rotatory	使回转的
vouge	戟
adrenotropic	亲肾上腺
presidiary	驻防
sugarbush	枫林
medaled	佩带徽章
tradesman	零售商
coralline	产生珊瑚的
salted	盐味的
ruttish	淫荡的
thriftlessly	挥霍地
remex	鸟的拨风羽
royston	crow
pneumoconiosis	肺尘症
weatherproof	防风雨
flakelet	小薄片
section	部件
photoelectric	光电子照相装置的
sketch	绘略图
processable	适合加工
charactery	表达意思的文字
count	有价值
bedbug	臭虫
tracheate	用气管呼吸
eunomic	守法
cmtc	Camp
psychologic	心理学的
sarcelle	白眉鸭
vulnerable	易受……的攻击
mismatch	错配
manx	马恩岛的
rude	粗鲁无礼
runtishly	矮小
rackabones	骨瘦如柴的人
dedicated	献身
spigot	栓
protuberance	突出
unselective	没有选择力的
supremely	无上地
spr	for
zoogeny	动物发生论
testily	易怒
indisputability	明白
beaten	打败了
gilthead	乌颊鱼
yieldance	让步
accordatura	基调
quernstone	磨石
dealation	脱翅昆虫
cultivated	耕耘
forbidden	禁止
muffle	头巾
phobos	火卫一
pathogenesis	发病机理
cruelly	残忍
indefatigably	不屈不挠
advance	前面
blancmange	牛奶冻
senior	高级的
melange	混合物
hartshorn	鹿角
gnarled	粗糙的
trypanocidal	杀锥虫的
dumb	无声音
castaly	诗之泉
substitutionary	=substitutional
refractive	折射
agglutinative	会粘着
abyssinian	阿比西尼亚人
bilocular	两室
raffle	杂物
contrariwise	反之
outcrossing	远交
anatomist	解剖学家
jostle	挤拥
rear	举起
horseplayer	常赌马之人
triamcinolone	去炎松
telecamera	电视摄影机
bangup	把锁上
wholesale	趸售
pinfish	重牙鲷
eternally	常常
optimistical	乐观
fateful	重大
colugo	猫猴
congenetic	同源
tickie	=tickey
eguttulate	无斑点的
pensionable	可领退休金的
flycatcher	捕蝇草
prelature	=prelacy
resolutive	使分解的
peremptory	断然的
depth	深刻
catling	肠线
batch	一批
etcetera	附加物
lionship	名士地位
attachable	可连接的
asepticism	无菌外科学说
unbrotherly	不亲切的
orgasm	兴奋的高潮
elysian	象天堂
tmv	tobacco
crackled	有裂痕
scary	引起惊慌
anuretic	无尿症
joltheaded	笨头
epoxide	环氧化物
syllogism	三段论法
preconception	偏见
pedunculate	有肉茎的
underhung	轨上
borecole	羽衣甘蓝类
heartwood	心材
assistant	助手
rollered	具有滑轮
elegancy	优美
microphyte	微小植物
fitfully	发作地
avail	有益于
ccco	非战主义者中央委员会
cassette	盒子
patroclinous	=patriclinous
allium	葱属植物
sixain	六行诗节
pipelike	管子似的
haemoid	血样
roc	Capability
plinth	方形底座
hysteric	过度狂燥
metaxylem	后生木质部
formal	正式的
amerasian	美亚混血的
beholden	对……表示感谢
ko	击倒
tardy	拖拉非
oaw	光学辅助温氏技术
npv	net
cherrapunji	乞拉朋齐
quits	两相抵消的
kalpak	黑毡帽
recitative	吟诵
neuroanatomy	神经解剖学
bup	Press英国合众社
slip	Protocol
nimblewit	聪明的人
abirritation	缓和作用
command	克制
govern	支配
shearhog	第一次剪毛后的羊
holometabolous	全变形
extraterritorial	治外法的
warrior	尚武的
buzkashi	buz
bosnywash	波纽华地区
divert	转向
psychogenesis	心理发生
dispreader	向四方张开
untraceable	难以寻找
associative	结合
morphological	形态学
vertiginous	眩晕
brushland	灌木林地
swellish	时髦
hymenopteran	属于膜翅目
raft	大量
liza	莉莎
atishoo	阿嚏
tanglesome	杂乱
oligodendrocyte	少突细胞
jacinth	橘红色
grum	阴郁的
consummate	至上
methylase	甲基化酶
stretta	加快结尾段
ponderance	分量
occidentally	西方地
courier	旅行从仆
externalise	=externalize
unconsciously	无意中
weldment	焊件
livorno	里窝那
atmospheric	大气
driftingly	飘动
reenlist	延长服役
breadless	无食
sisterhood	姐妹之谊
sacrosanct	极神圣
fasciae	饰带
your	你
age	上年纪
circumlunar	绕月球运动的
uncertainty	不确定
guillotine	断头台
medicament	药物
gundog	猎犬
duvetyn	混纺毛织品的一种
cuttloefish	乌贼
frequentation	时常出入
vitiator	使失效的人
infinitely	无限地
pyramid	角锥、棱椎
floppy	懒散
ferric	三价铁的
horny	角状的
doddery	衰老
doer	实干家
remonstrant	抗议
score	获
sumptuosity	奢华
http	Protocol
skitter	掠过水面
hemodilution	血液稀释
curd	凝结物
unsoldierly	不适于军人的
potty	微不足道的
sulfurate	硫磺
ophite	辉绿岩之一种
revisable	可修改
inconvincible	无法使人信服的
honorary	道义上
interlocutory	对话体的
cdma2000	码分多址系统标准2000
study	学科
causalgia	灼痛
xanthism	黄色素过多症
awanting	短少
diarist	负日记专责的人
prehistory	史前史
basilar	基部
solidungulate	单蹄
gothamite	Gotham的人
pulchritudinous	标致
braunite	褐锰矿
dank	潮湿
polarization	偏振
salary	给……加薪
superplastic	超塑性的
argonautic	号船员的
catechize	盘问
napoli	=Naples
afterdamp	余留的毒气
bally	讨厌
remembrance	纪念品
reform	重组
maid	女仆
protoporcelain	原始瓷器
loop	翻筋斗
organically	有机地
dolichocephal	长头现象
oleate	油酸盐
symmetrization	使平衡
sawfly	叶蜂
raunchy	淫秽的
measled	患麻疹
minicalculator	袖珍电子计算器
lipopolysaccharide	脂多糖
contracted	已定约的
nix	禁止
hernioplasty	疝根治手术
domestically	家庭式
plasmogamy	胞质配合
sonderclass	特种竞赛用小快艇
calla	荷兰海芋
beltane	西洋旧历五月一日
bicorne	双角帽
accuse	谴责
keystone	拱心石
irritant	刺激物
dispatchbox	公文递送箱
periphonic	全向声系统
gustiness	阵风
recurrent	循环的
psn	处理器序列号
kiddie	小孩
insanitation	卫生设施的缺乏
mettlesome	勇敢
peritectic	包晶
interarticular	关节间
goanese	果阿的
unspiritual	非宗教
commonwealth	国民整体
mensual	=monthly
interbreed	杂种繁殖
dualistic	二元的
cremate	焚化
dastardly	懦弱
paganism	不信教
pedagogic	教师
sonagraph	=sonograph
indicative	可表示的
position	位置
desponding	意志消沉
soporific	安眠药
sclerosing	致硬化
oophore	=oophyte
douai	Version
deambulatory	散步的
obscenity	猥亵
himalaya	Himalayas
dogbane	毒狗草
graticule	显微镜的计数线
homicidal	杀人
hearse	柩车
pelt	投掷
unconstrained	不受拘束的
evolving	展开
zirconolite	钛锆钍矿
cone	锥形物
sexiness	性感
metamorphic	变形
gamecock	斗鸡
resume	概略
gare	低级毛织品
slipstream	气流
platitudinarian	平凡的
burger	碎肉夹饼
cockily	逞能地
hearted	有……之心的
dopplerite	天然沥青
rile	激怒
suborbicular	近似圆形的
pileup	堆积
saucer	茶碟
stroud	粗呢毯子
voluble	缠绕的
bagasse	甘蔗渣
grain	谷类
sundress	太阳裙
quicksandy	似流沙的
haematimeter	血球计
jampan	四抬轿
photoinduced	光诱导
rachiodont	具脊齿的
systematically	有系统地
irish	爱尔兰语
rounding	圆
ems	扩展内存规范
biopoesis	无生源说
ingoing	进入的
orient	上升的
echo	发回声
inbreed	生育
subinfeudation	领地分封
reclusive	隐居的
disrepair	失修
speciosity	华而不实
scholasticism	烦琐哲学
abominable	令人憎恶
carrion	似腐肉的
culminating	最后
prejudicious	有损害
unsleeping	未入睡
phonematic	音位学
phonomotor	声动机
phansigar	谋财害命的暴徒
bdellium	宝石
bandeau	细带
leniently	温和
prevention	防止
module	指令舱
abridgment	节略
external	表面的
tasse	腿甲
hoodlum	无赖
shearbill	剪嘴鸥
arciform	拱状的
sear	烤焦
copier	临摹者
rapc	Pay
favorably	亲切
opalesque	发乳白光的
salty	咸味浓
rudderless	无舵的
precatory	恳求的
skinful	一肚子
shabbiness	破旧
parallel	类似的
hlf	Lung
synchronously	同时地
pithead	坑口
hydrometric	液体比重测定的
distinct	截然不同的
digitate	趾状的
irridenta	=irredenta
gnotobiotics	限菌生物学
libidinous	性欲
piezoelectricity	压电
candied	糖果的
bonded	有担保的
shereef	穆罕默德的后裔
etaerio	聚心皮果
conversant	亲近
feraghan	费尔干纳地毯
bekaa	贝卡
redefector	再度投奔
epineurium	神经外膜
minipark	小公园
oecd	and
citybred	在城市
gaolbird	流氓
semiarid	半干旱的
instead	抵作
disk	圆盘状物
fzs	of
autocatalytic	自身催化
messenger	使者
adversarial	对手的
compulsive	由强迫产生的
approbatory	认可
disablement	无能力
overreach	走过头
ironmould	染上墨水迹
subsensible	比感觉范围更深
elementary	自然力
brambly	荆棘多
prosperously	幸运地
farkleberry	一种白莓
epicurean	伊壁鸠鲁
hmf	HerMajesty''s
pseudo	假
dossier	卷宗
yellowwood	产黄色木材的各种树
bathless	不洗澡
varistor	变阻器
fancywork	钩编织品
bedtick	褥套
parsonian	帕森斯社会学理论的
sidekick	伙伴
nightcap	睡帽
sensuously	感觉上
gingersnap	姜饼
inscience	无知
diane	黛安
skibby	日本人
bacteriolytic	杀菌
shoeless	未钉蹄铁
severalty	各别
unsure	不确定
uppiled	堆积起来
heterozygosis	异型结合
leavy	叶茂盛的
pesterous	讨厌
subtransparent	半透明
adenoidal	腺状肿的
prejob	职前
magnipotent	强有力
pressural	机械压力
nullipara	从未生育过的人
luxuriate	生活奢侈
indisciplinable	无法控制
diminutive	小型的
place	职位
gnn	Navigator
reform	革新
intersubjective	主体间
irredentism	民族统一主义
film	电影
dishwatery	乏味
vengefully	复仇心切
opec	Organization
bobbly	不平
jarvis	贾维斯
mow	谷堆
monobloc	单块
furibund	狂怒
niobous	三价铌的
avocation	副业
bipolar	有两极的
germanium	锗
caitiff	胆小的
pullulation	产生
azotic	氮
shakespeariana	=Shakespeareana
corinne	科琳
skyline	地平线
barren	不孕的
patagonian	南美南端地方
trochoid	车轮状的
ersatz	代用的
jest	嘲笑
cancroid	一种皮肤癌
vamplate	铁片护手
trainee	新兵
impartial	不偏不倚的
choline	维生素Ｂ复合体之一
homesite	家
nim	偷
noncompliance	不顺从
margaric	珍珠般
elastomeric	人造橡胶
rubrication	红字
nudicaul	茎上无叶的
quarterdeck	后甲板
figmentary	虚构
pebbly	多卵石的
shawmist	肖姆管演奏者
pulpous	纸浆状的
troostite	屈氏体
recessional	撤回的
unreserved	坦白的
unlikeliness	不大可能
subarid	半干燥
fast	牢的
ntfs	新技术文件系统
encirclement	环绕
aequian	埃桂语
comparable	可比较的
negrophobia	憎恶黑人
swayless	不摇摆的
pitchout	横传
clumsiness	简陋
golden	贵重
kamagraphy	卡马油画复制法
ceuca	Customs
fermium	镄
searchless	无法探究的
summoner	召唤者
fluster	使激动
doorsill	门槛
crumb	碎屑
hatching	影线
squeal	长声尖叫
applaud	赞同
inseverable	不可切断的
sweetsop	番荔枝的果实
bluebeard	乱取妻妾然后将她们杀害的男人
transferable	可转移的
kerchief	方巾
okra	黄秋葵
sozin	防卫蛋白
totemic	图腾
impoundment	扣留
winey	=winy
uglily	难看地
hub	中心
satchel	小背包
chilliness	严寒
zoetrope	西洋镜
accumulate	堆积
presentative	有推荐权
dago	西班牙人
recommendatory	推荐
semidigested	半消化
kendo	剑道
piscina	养鱼池塘
disarrangement	混乱
broadwise	横地
vexation	恼怒
nouadhibou	努瓦迪布
figurable	能定形的
eliminator	消除者
ternate	三个一套
inexcitable	冷静的
butcher	屠宰
autopista	track]
curtailment	缩短
stupid	麻木
dicer	玩掷骰子游戏者
keratometric	角膜散光计
reforge	新造
pose	引起
sedimentologic	/
unlively	不活跃
diametral	直径
subarea	分区
fontange	方当伊高头饰
moory	=moorish
appurtenant	附属
touse	骚动
dolesman	接受布施者
being	在
netfs	Service
bullhead	大头鱼
update	修正
dermatological	皮肤病学
indemnification	保障
tough	忍受
noogenic	心理发生的
triloculate	三室的
ablepsia	视觉缺失
makeshift	凑合的
goth	粗野的人
instigation	鼓动
infrequent	很少发生
stimulus	促进因素
monumental	纪念物
perjured	伪证的
transformative	变化
grouchy	不满的
clearsighted	聪明
firebrand	放火者
radicalization	激进化
vermiculated	蠕虫
sagely	贤明
salve	药膏
quinquecentennial	=quincentenary
survivorship	生存者对共有财产中死者权利部分的享有权
cotton	棉线
unnumbered	无数
polymorphic	多形态
scrag	脖子
alastrim	类天花
diaspora	散居在外的人
spirited	英勇的
nancified	女性化
jaygee	海军中尉
orthohydrogen	反转氢
cruces	难题
cayuga	卡尤加族
vehement	热烈的
iodophor	碘递体
rubeosis	发红
fact	实际
pyemia	毒血症
faddish	流行
maas	马斯河(上游为默兹河
carnation	康乃馨
recidivism	累犯
osmotic	渗透的
tmv	virus
fortlike	像城堡
thin	变淡
fenny	沼泽
plastics	整形外科
wallflower	桂香香水
fidgety	不沉着的
jazz	喧闹
priapism	淫荡行为
jager	贼鸥
diluent	冲淡
flotage	漂浮物
gdr	German
dialysis	透析
anaphoric	首语重复法的
erelong	不久
cerebrospinal	脑脊髓
cast	投掷
eleemosynary	施舍的
farthest	的最高级
coloury	品质优良的
antimonial	锑
wonderland	奇境
soaraway	进展神速的
soil	温床
overgreat	过大的
coevality	同时代
msie	Engineering
elise	伊莉斯
joyful	兴高彩烈的
informing	提供情报的
unprompted	未经鼓动的
johnson	约翰逊
amazedly	惊奇
jalopy	破旧车
xxv	罗马数字
indiscrete	不分开的
foreclose	妨碍
spat	口角
trample	轻视
fliting	争吵
jackaroo	无经验者
nabber	抓人者
romeo	热恋的男子
duodenostomy	十二指肠切除术
homologous	相应的
railfan	=railwayac
voguish	时髦
epipetalous	花瓣上着生
unheard	未听到
or	运筹学研究
gnaw	使苦恼
calamander	柿木
cuttle	墨鱼
inby	近于……
feracious	多产
pyritic	硫化铁矿
prearrangement	预备
motile	能动
dislocation	混乱
burdensome	烦累
upbind	围裹
duffel	粗呢
hessite	碲银矿
pulsometer	脉搏计
msphe	Engineering
jurisprudent	法理学家
unalienated	未让渡
poll	投票
defrock	剥去法衣
unmatched	无比
spacefarer	宇宙飞行员
draconic	严峻的
interfascicular	束间
osteocyte	骨细胞
omphalos	圆锥形石
sidereal	恒星
ruthenious	亚钌
binal	孪生的
cardigan	开襟羊毛衫
pedantic	书生气的
remilitarization	重新武装
fiddle	小提琴
apologetically	道歉
belemnoid	形像匕首的
downbent	弯腰驼背
mudflap	挡泥垂布
allegorist	寓言作家
reedy	似笛声的
halfheartedly	无兴趣
mystique	秘法
ambidexterity	怀二心
passman	普通及格学生
yerevan	耶烈万
meaning	内涵
procacious	大胆
stole	steal的过去式
stakhanovite	斯达汉诺夫运动
admetus	阿德墨托斯
yesteryear	不久以前
purserette	女事务长
isoprenoid	类异戊二烯
situate	使处于
ghaut	山路
aspheric	非球面
astragali	紫云英属
trivialize	使琐碎
cryophysics	=cryogenics
primula	樱草属
thinnet	细电缆网
radiogenic	由放射能产生
auric	似金
doloroso	悲痛的
idle	无用
queenliness	象女王
nomothetic	以法律为根据的
thromboplastin	促凝血酶原激酶
west	西部
imbecilic	愚笨的
previsional	有先见之明的
carefree	轻松愉快的
eserine	=physostigmine
impleadable	控告
france	法兰西
sexualist	性论者
picture	像
obovoid	倒卵球形
seedy	多种子
granuliform	具颗粒状结构的
obispo	四角羊
underlit	照明不足
fairly	相当
skish	旱地垂钓游戏
tiglinic	=tiglic
hautbois	=hautboy
obfusticated	=obfuscated
baroque	巴洛克式
punge	=punji
dismayful	令人惊愕
veins	纹理
recognizance	保证金
underwork	次要工作
arteritis	动脉炎
slaver	谄媚
hypothenuse	斜边
broad	显著
formerly	以前
dihedral	两面角
gasbag	废话连篇的人
reclassification	重新安排等级
semischolastic	半教育的
spectre	鬼性
unconstraint	自由自在
exchequer	国库
troostite	锰硅锌矿
swingby	绕行星变轨
cyclopic	庞大的
lavishness	过度
convulsant	发厥药
irrationally	无理性地
circle	派系
understate	有意轻描淡写
luminary	发光体
diphtheria	白喉
glary	闪耀的
xanthochroic	金发白种人的
lanigerous	有细毛的
finny	有鳍的
taper	逐渐减少
extramural	校际比赛的
indrawal	吸入
shona	=Mashona
spanking	疾行
irradiative	会发光
mitred	斜接
humanization	人类化
cap	帽
browbeat	恫吓
sabbatarian	严守星期日为安息日的人
imbody	使肉体化
habilatory	衣服的
standish	墨水台
rosewater	有玫瑰香水味
noisy	聒噪的
stromatolite	叠层
afghani	阿富汗尼
papable	适于并可能继承教皇职位的
wavellite	银星石
cultivatable	可耕种的
numeral	数字
musically	音乐上
congener	同类
dissipated	消散的
hamulus	钩
adiabatic	隔热的
winning	动人的
knob	鼓起
hawk	散播
discrimination	识别力
williewaught	一大口
honolulu	火奴鲁鲁
epiglottal	会厌
tripartizan	=tripartisan
moss	苔
usng	National
faint	暗淡
capitulation	投降条约
undoubled	不再握紧
guildhall	同业公会集会所
premonish	预先警告
untamed	不能抑制的
lambaste	严责
balibuntal	一种棕榈纤维
neuropathic	神经病的
endowment	捐赠的基金
curd	凝乳
quarterstaff	铁头木棒
short	松脆的
squirely	乡绅的
pratie	马铃薯
centrobaric	重心
prf	frequency脉冲重复频率
degasify	排除……的气
ecc	纠错码
karachai	卡拉柴语
cospar	on
sycophant	奉承
infaust	不利
thermogravimetry	热重
ordinary	普通的
talus	斜面
impolitely	无礼地
floodplain	漫滩
twinned	一胎双生的
velutinous	有绒毛的
supplemental	补足的
deprecative	=deprecatory
nuts	热衷的
wilkes	威尔克斯
exploration	探察术
amatory	情人
bandy	交换
arabis	筷子芥
poeticise	=poeticize
unthoughtful	未深思
hyperhepatia	肝功能亢进
humorous	异想天开
newbie	网络新手
drily	冷淡
concerted	商议定的
drop	交往
haircloth	马尾织品
gynaecoid	具女性特点的
cerigo	=Kithira
irv	警官
hep	蔷薇之实
bagged	松弛下垂的
maintainable	可维持
fimbriate	有毛缘的
abustle	熙来攘往
fluorescent	莹光的
cairo	开罗
mozzetta	=mozetta
indigenization	本国化
unashamed	不害羞的
past	往时
bimonthly	双月
wholesomely	有益健康
weal	杖痕
prove	证实
nidifugous	孵出后立即离巢的
masseuse	女按摩师
dimorphemic	双词素
unphysiological	不符合生理规律的
defilement	污秽
assaultable	可攻击的
expedite	迅速
sporades	斯波拉提群岛
ferromolybdenum	铁铜齐
roisterous	饮酒取乐
escolar	玉梭鱼
transpositional	变换的
detailed	逐条
agitato	兴奋
underwater	水面下的水
nasial	鼻根的
melting	混合的
stuffless	无实质性东西的
multivitamin	多种维生素
paiute	居于美国印第安人的一部族
atlantean	力大无双的
locomobile	自力推动车辆
ephemera	生命极短促之物
rendering	粉刷
slyboots	恶作剧者
apologized	道歉
plectognath	愈颌目
lignification	木化
unprizable	无多大价值的
unsuspected	无嫌疑
dour	严厉
franco	免费
smooth	平坦
triumphant	成功
odontalgic	牙痛
lopsided	不平衡
agog	热切的
tensiometry	张力测量学
preservative	防腐剂
indolence	懒散
fanatic	狂热
surrender	放弃
acetometer	醋酸计
unacquirable	不可占有的
airy	通风
gangdom	黑社会
