disunionist	分离主义者
oriole	白头翁科的小鸟
potbellied	大肚子
smart	严厉
flummery	冻状食品
impavid	无畏
issuer	发行者
remissive	减轻的
posh	优雅的
mort	大量
trivial	琐细的
spumous	起泡沫
buddhist	佛教的
chieftain	酋长
accomplishable	可达成的
girdle	束
ungifted	无才华的
hopping	忙碌
liberalistic	自由主义
sizzle	咝咝的响
pupillary	学生
unsuccess	徒劳
bouilli	红烧肉
mum	沉默的
refractive	折射的
superbike	超级摩托车
rehumanize	再教化
warbler	鸣鸟
legit	正统剧
physiognomic	相术的
pumiceous	象轻石
innavigable	不能航行
coliform	象大肠菌的
relaid	relay的过去式及过去分词
chiack	讥笑
basely	下贱
seismographic	测震学的
merrymaker	寻欢作乐的人
guiltiness	有罪
tereus	蒂留斯
discontinuance	停指
hemianopia	一侧视力缺失
security	安全
caprylic	辛酸
empennage	尾翼
tallyho	追捕的叫声
roast	烘
stirrup	镫形物
orthorhombic	斜方晶系
recidivist	惯犯
riverward	向河的
rime	使蒙霜
uneducable	不堪造就
communally	社区地
wilding	野生
wean	使断念
phloroglucinol	藤黄酚
monotheist	一神论者
feelinglessly	无感情地
cccs	CS
wadna	=would
bathless	不洗澡的
underact	不充分地表演
percipient	理解
zincky	似锌
reproachful	责备的
insurgent	起义
fulvous	黄褐色的
hardy	勇敢的
flush	直接的
reversedly	颠倒
wellborn	出身名门
airman	空军
gelatinise	=gelatinize
potecary	药房
barely	刚刚
industrialise	=industrialize
dyne	中国达因电脑集团
unenlivened	不快活的
curt	简略的
semiotic	症状
worthless	无价值的
dishoard	减少储存
slaister	一团糟
diminishing	逐渐缩小
lexicalize	编入词汇
sucre	苏克雷
standing	常备的
aquifer	含水土层
monad	单孢体
corporatist	社团主义者
rubasse	上等砂金石
iconographic	肖像
ochratoxin	赭曲霉素
usherette	女引座员
soli	独唱
dastard	畏缩的
twicer	兼做两件事者
lapsable	易变的
latter	后者
belat	强烈西北风
narrater	讲故事者
furzy	像荆豆属植物的
rumpy	无尾猫
superinfection	双重感染
illiteracy	文盲
filmmaking	电影摄制
algoid	水藻般
scrag	绞死
whorled	有螺纹
paupiette	鱼卷
accouter	供以军用品
glitzy	闪光的
remember	记得
febricide	退热
dubitable	可疑的
adipose	动物脂肪
yokel	乡下人
shirttail	远房
screaming	引人捧腹大笑
cruel	残酷
embrown	着褐色
weeping	下雨的
spiff	把……打扮整齐
negritude	黑人的品质素养
triptych	三张相联
walty	易倾侧
lanugo	胎毛
pinda	花生
cowbane	毒芹
flexural	曲折
flexor	屈肌
incendiary	纵火的
dickensian	狄更斯
scant	欠缺
laf	路易斯安那州人讲的法语
spa	游乐胜
makefast	系船的柱
injudicial	浅薄
overpassed	已废除
unstressed	不着重的
unpleasantness	煞风景的事
tubulate	管状的
liking	嗜好
splash	溅湿
basket	一篮
untamed	难控驭的
academize	使……成为刻板传统的
dinkum	公平的
sanyasi	=sannyasi
face	威信
vesicular	小泡
semiclassic	准古典式
toupet	=toupee
bombardier	炮兵下士
plantigrade	跎行类的
chatelaine	腰带
dst	驱动器自我测试
saditty	摆出优越神气
witty	富于机智
titrator	滴定器
busulphan	二甲磺酸丁酯
dayside	的光面
ministrable	适合的
forefather	祖先
caliche	硝酸钠
currently	现在
phyle	种族
proponent	支持者
mamba	树眼睛蛇
please	满足的
playbroker	=play
unsavory	令人讨厌的
sourkrout	=sourcrout
impersonate	模仿
ah	Helicopter
originator	发明人
run	运转
nonmonetary	非货币
lease	租期
bulgy	凸出
endgame	最后阶段
rpq	报价申请书
adipic	来自脂肪的
commiserate	同情
determination	决心
scathe	危害
baize	厚羊毛毯
waterfowl	水鸟
twister	缠绕者
gypsy	象吉普赛人的
blaze	光辉
implacability	无情
fellowman	人
truculence	致命性
bastinado	杖
overaggressive	过于积极进取
clisthenes	克莱塞尼兹
forklike	像叉一样的
information	资料
creta	漂白土
cilia	睫
corroboree	歌舞会
ventilation	流通空气
phyletic	种族
array	军队
cynocephalous	似犬面
savagely	野蛮
eurybathic	广深性
habited	穿着衣服的
chicory	菊苣
eda	Automatic
inaugurate	举行开幕典礼
huntaway	经训练可牧羊
gerald	男人名
negotiability	可转让性
glossarial	字辞注解
pestle	用槌磨
heathy	石南
facp	the
admittible	=admittable
conchiolin	贝壳硬蛋白
affection	友爱
emotive	感情的
bedazzle	使眩惑
wane	亏缺
adjudicator	判决者
poop	使精疲力尽
project	射出
aught	零
predication	论断
mutagenesis	突变形成
dread	畏惧
syllabary	字音表
resting	静止
massawa	马萨瓦
asiatic	亚洲人
elevated	欢欣
niobic	铌
sweeting	苹果的一种
impasto	厚涂颜料的绘画法
hemerocallis	=day
megaloblast	巨成红细胞
vapour	蒸汽
coadapted	相互适应
lettic	列托族的
condolatory	吊唁
phonic	声音的
battlefield	沙场
bedlamite	疯子
acierate	增碳
intuitional	直觉
uninvoked	未被祈求的
childish	幼稚的
kleptomaniac	有盗窃癖的人
aerarian	关于国库
financing	资金
deuteronomic	劝人行善的
flimflam	荒唐的
eventual	终于的
countryseat	郡政府所在地
denominational	宗派諩nElaIz/
loch	海湾
bulky	体积大
pompon	绒球
telerecording	电视影片
toga	参议员的职位
emporium	大百货商店
hardhearted	冷酷
shopfront	店堂
ergastoplasm	酿造质
olein	甘油之油酸脂
cany	藤制的
scene	场面
interferometric	干涉测量的
abandonee	被委付者
comedienne	喜剧女演员
olivaceous	橄榄色的
habile	熟练的
clocklike	有规律的
defeature	损伤外貌
lierne	枝肋
terminative	结尾
vane	翼
substantify	=substantivize
flimflam	骗
marrowy	多髓
hyperplastic	增生的
dodecaphonic	十二音体系的
adventurously	爱冒险地
intrados	内弧面
unconfessed	未承认
distraite	心不在焉
radiation	放射线
run	跑步
woopie	富有的退休人士
surpassing	超过
inconsequentia	不合逻辑鏊榈氖
carnivore	食虫植物
xpvm	and
conference	讨论会
congener	同属的动、植物
pensionable	有资格领退休金的
succinctness	简明
blockbusting	街区房地产跌涨牟利
penologist	刑罚学者
cystamine	乌洛托品
heterophony	衬腔式奏法
humiliatory	丢脸
coatdress	女式紧身外衣
coaly	煤状的
angry	生气
culmiferous	生成空心茎的
antennary	触角
lachrymal	泪腺的
schmutz	废物
inglenook	炉边
vegetarianism	素食主义
other	其他的
beseeching	恳求似的
unilocular	单房的
raucity	粗哑
grainy	木纹状的
jesuitical	阴险
neckwear	领带
nonjuror	不肯宣誓效忠者
sidestroke	侧泳
magniloquent	夸张的
closemouthed	嘴紧
shift	替换
tricksy	欺骗的
numerary	数目
accommodationist	妥协的
spa	矿泉疗养地
erotogenesis	性冲动发生
aftermentioned	后述
savoury	味香
sisterly	象姐妹
ultraviolet	紫外的
chance	碰巧
shunpiker	驾车走支路的人
nightwalker	夜间上街找客的妓女
foucquet	Jehan
scintillant	产生火花的
antler	鹿角
painty	着色过度的
bullionism	重金主义
saleswoman	女店员
trigamist	结过三次婚者
sheepwalk	牧羊场
fillet	带子
fogle	丝绸手帕
addressor	发言人
screech	发出恐惧或痛苦的叫喊声
ssid	Service
syriac	叙利亚的
derivation	出处
extradural	硬膜外
enjail	囚禁
depreciate	轻视
ccsa	arrangement
gyral	旋转
sordamente	柔和地
bedspread	床罩
commentate	解说
afflated	来自灵感
dutiful	恭敬的
reagin	梅毒反应素
greasy	油污
squadron	骑兵中队
lush	豪华
underdiagnosis	未能作出全面性诊断
tuitionary	讲授
snuggies	女式保暖长内衣
comprehension	理解
verein	协会
pallid	苍白
scutate	有鳞甲的
seminarian	神学校学生
erect	勃起
sacker	掠夺者
towable	可牵引
crackjaw	发音困难
habergeon	中世纪的高领无袖短铠甲
umbrous	被遮荫的
accelerated	加速
scratch	搔
metallurgical	冶金学的
tepee	美国印第安人的圆锥形帐篷
fray	使磨损
strigillose	被硬毛的
presenter	推荐者
lambskin	小羊皮
loathing	嫌恶
notornis	南秧鸟
scytheman	使用长柄大镰刀者
heterogonous	=heterogonic
hottest	热烈的
grouchy	不高兴
semicirque	半圆形
avigator	领航员
striate	有条纹
hyperpnea	呼吸过度
midsemester	期中考试
gunnery	射击学
anaphoric	首语重复法
choleraic	霍乱的
candlenut	桐树
bndd	Narcotics
friskful	有生气
ringent	开口
gom	傻子
filiferous	产丝状物的
saltier	=saltire
hilum	核
league	同盟
vexation	苦恼的原因
gilt	小母猪
fusional	熔解
ordure	粪
enarthroses'	NULL)
headachy	令人头痛
hum	吵杂声
flutter	摆动
picturesque	独特
recidivation	再犯
dumbbell	傻瓜
undebatable	无可争辩
hilch	跛行
riser	叛乱者
gunther	巩特尔
asclepiad	马利筋
constituency	支持者
efficiency	效率
hamah	=Hama
spent	精疲力尽的
key	键
ecuadorian	厄瓜多尔的
adjure	恳请
unwanted	不必要
scholarly	学者风度
cleaver	切割者
patrico	游方教士
latvian	拉脱维亚人
disimprison	释放
matriculability	符合入学资格
jackknife	折叠刀
preparative	预备
deflagrate	爆燃
pollinic	花粉的
rival	相匹敌
homeward	向家的
annihilation	歼灭
lincolniana	林肯文物
remarkable	显著的
courageous	勇敢
charlady	打杂女佣
marrism	马尔语言学说
crumby	低等的
hub	木片
aslant	倾斜地
budless	无蕾的
actual	真实的
fissionable	可分裂
sill	岩床
hematopoietic	造血
mow	收割庄稼
rawhide	生牛皮的
mcmxc	1990
terminable	有期限
uncontradicted	未遭否认的
veritably	真地
quadriphony	四声道立体声
injurious	有害
vocabular	词汇
famulus	私人秘书
chiseled	轮廓分明的
cheekily	厚脸皮地
leave	剩下
table	台子
snoop	探听
underfinanced	财力不足的
caecilian	蚓螈
ucky	令人厌恶
chairwarmer	懒虫
mammiferous	有乳房的
weighman	司磅
bootlast	=boottree
ferro	为西班牙耶劳岛的旧称
yielding	柔顺
technology	技术
boldfaced	冒失
thicket	灌木丛
church	礼拜堂
unbelievable	难以置信
semiannular	半圆形
disabuse	使省悟
swathe	裹
embryulcus	牵胎器
voiced	有声的
xenophile	亲外者
cultus	祭仪
jumpy	神经质的
obsecration	恳求祈祷句
iyft	Tip
tavr	Territorial
dedicatory	献呈的
photoproduct	光生产物
estrepement	滥垦
darshan	沾光
intragroup	社会团体成员之间
aerial	天线
hesiodic	赫西奥德风格
dogmatic	独断的
relocate	重新部署
catcall	嘘声
sked	程序表
avalanche	雪崩
discrepantly	矛盾地
bearnaise	蛋黄酱
patriarch	家长
logbook	航海日志
vorlaufer	先驱滑雪运动员
nidge	以凿子修削
systematization	分类
maxim	座右铭
literalize	拘泥于字句
slightly	苗条地
hiccough	打嗝
vincible	易于克服的
blinding	碎石子
aerocraft	飞行器
quarterly	一年四次
artefact	赝象
aural	听觉的
rattoon	=ratoon
unemployment	失业人数
led	Lead的过去式和过去分词
doughy	半熟的
motion	动作
ripeness	老练
poikilothermic	冷血的
gat	手枪
fanfare	吹牛
salivation	分泌唾液
dyeability	可着色性
thorax	胸膛
unneutral	偏袒
barefaced	不隐瞒的
lettering	刻出的字母
febriferous	产热的
intensivism	饲养
gothland	哥特兰岛
lemonish	似柠檬的
prejudice	成见
cribriform	有小孔的
exasperating	激怒人的
flackery	广告
governmentese	官腔
narrow	使变狭窄
caulicolous	附生在他种植物茎部的
blah	瞎说
hyposensitize	使敏感度减弱
icker	谷穗
laboring	劳动
inappreciative	不正确评价的
unprincipled	不合人道的
accompanying	陪伴
chocolaty	加巧克力的
buic	后援截击机控制系统
fall	来临
surety	担保
inflictive	加以打击的
cryocable	低温电缆
intermix	混杂
cap	carrierless
mephitis	毒气
fivescore	一百
barred	有木栅
try	努力
exemplary	可做模范
geriatric	老年医学
goethean	歌德派的
sharpshooter	奸商
blankbook	空白账簿
edacious	狼吞虎咽的
tugboatman	拖船工人
fishable	适合钓鱼的
deray	素紊
otherworldly	专注于精神方面
dirty	暴风雨的
proudly	骄傲
conventionalise	=coEm/
afric	非洲的的
jejunostomy	空肠造口术
elegiac	哀歌体的
deviously	绕道
bacchae	酒神之女伴
swither	犹豫
hitlerian	希特勒式的
leukosis	=leucosis
vigorous	精力旺盛的
administerial	管理上
profound	渊博的
discolor	退色
octachord	八度音阶
designee	被指派者
denudate	使裸露
teen	烦躁
lambdoidal	人字形的
tajiki	塔吉克语
depose	作证
revery	空想
utopia	空想的社会改良计划
ozoniferous	生臭氧
unroyal	不配为王的
undisposed	未分配
guest	客人
zucchetto	无边帽
tachisme	抽象绘画法
vagary	反复无常的行为
advisor	顾问
persevering	不屈不挠的
today	今天
categorial	范畴的
unmeaning	呆板
executant	演奏者
fictile	陶土制的
bacteriostatic	阻止细菌繁殖法的撤ǖ
vision	景象
copious	丰富
neologist	新语创造者
exsertile	可伸出的
antifertilizin	反受精素
mystificatory	使人大为惊奇的
mycelia	mycelium
pepla	peplum的复数
motherfucking	混帐的
versatile	通用
turfski	滑草板
hogger	火车司机
slack	马虎地
nuclide	核素
montbretia	鸢尾科植物的一种
cephalocide	智力虐杀
consanguinity	血缘
potassic	钾的
meningioma	脑膜瘤
inequilaterally	不等侧
lumphead	傻瓜
overhappy	过于幸福的
mutt	蠢人
playground	操场
pinko	左倾的
irrepressible	镇压不住
clinamen	偏见
indolent	不痛的
ase	Stock
rifeness	流行
simba	狮子
xylograph	木版印画
saith	的第三人称
pittypat	噗噗跳的
flexible	可通融的
belitung	勿里洞岛
fixation	定置
cruellie	挖苦人的笑话
axisymmetrical	轴对称的
mercilessly	无慈悲地
agriculture	农学
procreate	产生
pucka	真正
drowse	打瞌睡
joltheaded	笨人的
mongrelise	=mongrelize
apartment	公寓住宅
canthus	眼角
rubbery	橡胶似的
peitaiho	Beidaihe
wordy	多言
premeditated	预想的
frondesce	长叶子
gorp	高能量小吃食品
latish	稍迟的
oneself	pro
debouchure	山谷的出口
upbind	捆
pulsant	搏动的
pavilion	笼罩
fitter	胜任
cutaneous	皮肤
rattler	嘎声
wastery	=wastry
likability	可爱
eurytopicity	广适性
jarring	辗轧
abuse	弊端
mall	商业街
iphigenia	险被其父供神而牺牲
delay	延迟
akin	类似的
widgie	女无赖
mightily	非常地
regulable	可控制
refusal	推却
effectual	有效的
landaulet	轿式汽车
traffic	贸易
overseer	监督
daphnia	水蚤
torpify	=torpefy
eerie	怪诞的
recriminative	反控诉
galactopoietic	催乳的
comprehensible	易于了解
idol	偶像
paper	报纸
relique	遗物
dialectician	辩论的能手
nutlet	果仁
assyriologist	亚述研究者
photofit	照片拼凑人像法
defocus	使散焦
prosit	祝健康
yield	屈从
stigma	柱头
biff	打
depreciatory	蔑视
polite	客气的
oxbow	牛轭U字形部分
wrcb	Control
help	帮助
enclisis	附读
neologize	创造或使用新语
rooted	根深蒂固的
sashless	无窗框
charge	负荷
waldo	沃尔多
antiscriptural	违反圣经的
evangelistically	福音传教士地
suxamethonium	丁二酰胆碱
shade	荫
madly	发狂
complete	全部的
presentative	表象的
rantipoled	行为放纵
cladogenesis	系枝发生
depreciatory	贬值
slim	无价值的
consort	配偶君王或女王的配偶
polychromasia	变色性
he	氦
hainan	海南
beautility	美观实用性
quadrangularly	正方形或矩形地
tubbing	盆浴
catchpenny	不值钱的
ost	科学技术局
zmodem	是YMODEM的扩充
strawy	稻草的
fission	裂变
martin	马丁
subapical	位于顶点下
avaricious	贪婪的
unquestionably	无疑
hangfire	延时爆炸
leadwork	铅制品
short	浅薄
seagirt	四面环海的
stockbreeder	畜产业者
lynchet	=lynch
lay	形势
shippen	牛棚
agriculture	农业
misdirect	误导
theroid	野兽般
presumable	可假定的
jimberjawed	下颌突出的
designing	设计
somal	神经元体细胞
grizzle	变成灰色
versant	熟悉的
worthwhile	值得做
plodder	沉重行走的人
pitiably	卑劣
mfn	Nation
intrapsychic	心灵内部
troophorse	骑兵马
informidable	不足畏惧的
immixture	卷入
gatefold	大张折页插图
ingathering	收获
fraternity	兄弟关系
invulnerable	不会受伤害
accommodable	可适应的
stake	树桩
megimide	美解眠
telltale	告密的人
cyclist	骑脚踏车的人
sassenach	撒克逊人
sheave	滑车轮
aphthoid	似小溃疡
quavery	颤声的
seminivorous	食种子的
relique	遗迹
mustardy	芥末的
crosstie	枕木
indistinctly	不明了地
po	波河
aerial	生活在空气中的
parallel	平行的
superuser'	NULL)
poughite	碲铁矾
spermatophyte	种子植物
gourbi	帐篷
puzzler	使困惑的人
eutrophic	富营养
wormwood	苦恼
gelable	能变成胶状的
hoochie	=hootch
termer	服刑者
cymiferous	生长聚伞花序
collusion	勾结
glassy	象玻璃
unpremeditated	非预谋
druzhinnik	义勇队员
roomer	寄宿者
feudist	封建法学家
saturated	深颜色的
square	广场
dicker	做小生意
immure	监禁
set	安全电子商务协议
reginal	威严的
insectivora	食虫类
shipentine	四桅帆船
betray	出卖
ghast	死人般
piffle	做无聊事
sociogenic	社会因素影响的
dodgasted	被咒的
determine	使终止
puny	微不足道
disaffect	使疏远
opalesque	似蛋白石的
didakai	=didicoi
agp	Graphics
filigree	饰有金银丝细工的
egomaniac	极端自我主义者
veldt	草原
ebullient	热情
gramercy	不得了!
soporific	催眠剂
atrocious	凶恶
rescissible	可取消
lps	Seal
permanently	不变地
unbelieving	多疑的
eclipse	日蚀
wake	痕迹
pds	简便式诊断系统
vantage	有利情况
diadochic	同晶性型
messianic	弥赛亚
underproof	酒精含量在标准浓度下
airconditioned	备有空气调节装置
assumption	作态
palatogram	口盖图
qse	qualified
conjugal	夫妇间的
snooty	傲慢的
anomie	混乱
recuperation	恢复
stub	短而秃的
hijack	劫机
pregnant	孕育的
vfat	虚拟文件分配表
podgorica	波德戈里察(南斯拉夫南部城市铁托格勒
manway	人行巷道
relieve	减轻
mismanagement	办错
daddy	爸爸
hostile	敌对
agley	弯曲
kanji	日本汉字
ornate	华丽
cordiality	郑重
leipsic	莱比锡
canonize	使加入圣徒之列
exhortatory	告诫
monastical	僧院的
savagism	=savagery
hypoglycemic	血糖过低
trailside	沿山路
waddy	棍棒
kilograin	千英厘
bobsled	长橇
saucerian	飞碟
siesta	午睡
pothecary	药剂师
permeate	弥漫
cortex	皮层
constabular	保安队
vicarate	=vicariate
filmset	电影布景
nigerianize	把……置于尼日利亚政府之下
artificial	非原产
authoritarian	独裁
goat	山羊
faker	冒牌货
datable	可确定时代
belly	腹部
eponym	名字被用于命名地方的人
antituberculous	抗结核
awake	醒
bughouse	疯狂
unturned	未翻转
exultantly	欢欣鼓舞
nightstool	卧室用便器
sensitometer	感光计
haunt	神鬼出没
damascene	大马士革人
cholecalciferol	维生素D3
jitteriness	神经过敏
ruttish	发情中的
commissionaire	门警
offal	废弃物
ozoniferous	含臭氧的
frothily	起泡
silurid	鲶
chicquer	chic的比较级
buff	软皮
minor	小音阶
recital	独奏会
suppressible	可隐藏的
occultist	神秘学者
calliope	气笛风琴
glycollate	=glycolate
tranquilly	平静
injuriously	有害
indemnification	补偿
asperifoliate	有粗糙叶子
evolutionary	进化
wireworm	切根虫
ranter	豪言壮语的人
sportfishing	垂钓
peacemonger	和事佬
ozoniferous	含臭氧
ballottement	触诊子宫检胎法
vasopressin	后叶加压素
tome	大本书
welsh	逃避履行义务
underlaid	下有衬物的
stably	坚固
fruitive	能产果实
impiously	不信神地
wolfish	豺狼般的
childish	孩子气
skimeister	滑雪教练
ascosporic	囊孢子的
icing	结冰
disseat	夺席位
nomarchy	省长管区
extramitochondrial	细胞中的线粒体之外
plating	被覆金属
laevoglucose	左旋葡萄糖
righthearted	诚实
electrokinetic	I9lektrEJkaI`ntIk/
roentgen	伦琴
catchy	易记住
geelong	季隆
encurtain	用帘子围住
cyclometry	测圆法
impeccance	无罪
ahold	握
brainteaser	难题
swim	游
oversimplification	过度单纯化
swbs	south
puncturable	可穿孔的
expostulatory	训诫的
naysaid	拒绝
aucuba	桃叶珊瑚
matrilateral	母亲一方的
langue	语言
confusable	易被混淆
nonsignificant	无意义的
mlg	German
sinai	西奈山
vizir	元老
bobbysocks	短袜
orthodox	习惯的
spck	Promoting
spiculate	尖锐
believing	有信仰的
cismontane	山脉的这边的
precipitate	沉淀物
orient	适应形势
buffer	缓冲器
realizing	清晰生动
nameless	匿名的
balky	停止不前
unfading	不衰
winterkill	受冬寒枯萎
manuscript	手稿
predefine	预先确定
hypotensive	低血压
bromatium	饲蚁菌丝
loving	亲爱的
pilus	纤毛
uncongeal	融解
zwinglian	茨温利的
adipic	油质的
ruleless	无规律的
ventriloquous	似腹语的
volumetry	容量分析
nonreward	有意不给预期的奖励
unprincipled	无原则的
chemopsychiatry	精神病化学疗法
escapeproof	防逃脱的
obbligato	不可缺少的
institute	创立
footfault	脚步犯规
leyden	荷兰都市名
motley	五颜六色的
trust	赊卖
wearisome	使厌倦
shift	轮班
galactosamine	半乳糖胺
visibility	能见度
phlebolite	静脉石
glanderous	鼻疽病
permissive	许可
chipper	爽快的
catechetical	问答式教学法的
technologic	技术的
gfr	Republic德意志联邦共和国
loutish	无礼
sideboard	餐具柜
viaduct	高架铁路
social	社会
tee	T形物
waxen	蜡制
disoperative	侵害
apparat	地下活动组织
inelegantly	不优美地
spindleshanks	细长腿的人
ditto	同上符号
validity	合法性
therm	小卡
myrrh	没药
short	矮的
prawn	大虾
univalent	单价的
capacitor	电容器
humdrum	单调
hyraces	的复数
homological	=homologous
constitutional	/宪法
unmatched	不相配
monarchial	国王的
clectroscope'	NULL)
magnesia	镁氧
gsm	Global
lanuginose	=lanuginous
isotonic	等压
echinoid	海胆属
superduty	超耐用的
scrubwoman	打杂女工
chirographer	书法家
inquilinous	寄食的
trigonous	三棱
longer	比较久的
corporatism	社团主义
hyperphysically	超自然
quadrangularly	四边形地
preindustrial	工业化前
liker	爱好者
bluet	矢车菊
nattily	帅地
arbitrage	套利交易
worker	工人
druffen	醉的
xylographer	刻版师
dependency	信赖
lestobiotic	靠偷取异种动物为生
undistracted	注意力集中
bank	银行
elevatory	升高
escot	维持
membranate	有膜的
weak	不耐用的
siallite	硅铝土
charm	行魔法
homage	敬意
reconcentrate	集中于某一点
promin	普罗明
damnify	损伤
impotable	不适合饮用
sacramentalism	圣事主义
suboceanic	洋底的
provinciality	粗鄙
statutory	法令
fishable	适合钓鱼
hijaz	=Hejaz
subordinating	连接主句和从句
sclerosing	硬化性的
spirit	勇气
keynes	凯恩斯
wroth	愤怒
chaperone	伴护
landskip	山水
fiard	低峡湾
sitting	易击中
substantive	大量的
repeatedly	再三
effuse	涌出
subthreshold	阈下
downtrodden	被蹂躏的
disbelieving	不相信的
creaser	各种压摺之器具
gerenuk	非洲瞪羚
envier	妒忌者
luster	有光泽
eryngium	刺芹属植物
cordillera	山脉
infinitesimal	无限小的
runabout	流浪者
fiddler	弄虚作假
unhcr	United
bullate	起水泡
nogaku	=No
counterchange	变换
financial	金融的
syria	叙利亚共和国
sterile	消过毒的
scabbed	生疥癣的
sustentacular	支持的
superserviceable	过分殷勤的
exceptional	例外
cmd	电荷调制器件
allochthonous	外来
stinking	讨厌的
chronically	慢性地
carburettor	汽化器
fluf	波音737客机
neutralise	使中立
unfailingly	不倦
escaut	埃斯考河(即斯凯尔特河
dissidence	异议
jazzily	愉快地
jsd	Scientiae
narcotic	麻醉的
zone	地区
shoaly	多浅滩的
discoid	平圆形
uncustomed	未付关税的
oklahoman	俄克拉荷马州的
polynomial	多项式
afrikaans	南非荷兰语的
guianese	圭亚那语言的
arbalest	劲弩
impresario	舞台监督
barleycorn	大麦粒
mesquit	牧豆树
gsp	System
hip	蔷薇果
caliper	卡钳
poseuse	故作姿态的女人
theroid	野兽般的
fright	吃惊
cloudward	朝着云地
distributing	分发
tetramorph	四联像
fetichist	拜物教徒
galati	加拉茨
sphenographic	楔形文字
replicative	重复的
clement	宽厚
sarpedon	萨耳珀冬
busiest	最忙
exarch	主教
behoove	适宜
eartab	=earflap
lengthy	冗长的
subnuclear	亚核粒子研究的
nobody	谁也不
ptyalectasis	涎管扩张
roman	罗马
jesuitical	虚伪
flavourless	无趣味的
phalarope	矶鹞之类
hognut	=pignut
transiency	无常
perpetrate	犯
cold	感冒
earl	伯爵
begrudge	嫉妒
general	普通的
noneffective	无效的
bannerette	爵位
anonymously	不具名
lexicographic	词典编辑
tahiti	塔希提岛
monetary	金钱
curability	治愈可能性
mahlstick	腕杖
cordiality	诚恳
orology	山理学
mealworm	面粉中的甲虫之幼虫
rainstorm	暴风雨
backformation	倒反构词
burry	芒刺多
cupful	满杯
papoose	婴儿
unpromising	无前途的
kneed	有膝一般的关节
sweetish	有点甜
roupy	患黏膜炎
derwent	德文特河
bower	凉亭
rumpty	极好
smithite	斜硫砷银矿
allocution	面谕
victor	胜利者的
disharmonious	不和谐
alveolate	有肺泡的
unaccountably	无责任
keelage	入港税
assamese	阿萨姆的
feebleminded	无决断力
gnaw	消耗
syllable	分成音节
corona	王冠
vagarious	奇特的
photocoagulator	激光凝固器
helpfully	有益地
hawk	掠夺他人的人
corps	特殊兵种
israelitish	古以色列
vocalization	发声法
norwards	向北方地
misspelt	拼写错误
translator	翻译者
dekagram	十克
lacet	靴带
mafioso	黑手党成员
culminating	最后的
raiser	饲养者
languidly	无力
computational	计算的
crowhop	短距离
escapeproof	防逃脱
outlook	景色
hazardous	碰运气
fascismo	法西斯主义
housemasterly	男舍监式的
bawdily	淫秽
boffo	非常流行的
larruping	特别的
tmesis	插词法
fourierism	傅立叶主义
superzealot	极端狂热分子
heterogenous	异种的
stratal	层
trirectangular	三重正交
efface	抹掉
cholelithiasis	胆石病
oppugn	责难
keyed	键入
declination	偏差
physiographical	形学
playback	录音重放装置
farcetta	短闹剧
devotement	专心
orbiter	人造卫星
lovesick	为爱情而生病或忧愁的
taymyr	Peninsula
pandemonium	大吵大闹
boswell	为名人详细记述言行的人
vein	翅脉
cybernetic	控制论的
adverbial	副词的
logman	伐木工人
limpidity	清澈
maternity	产妇
tack	以大头针钉住
huanghe	黄河
gauze	薄纱
palankeen	担在肩上的轿子
decide	决定
postnasal	鼻后
combinatory	=combinative
gorget	饰领
praetorian	禁卫队
curage	刮除术
papilloedema	视神经乳头水肿
crusade	加入十字军
destructible	可破坏
geigers	辐射
cyclostomate	有圆口的
modesty	谦逊
pivot	枢轴
twirl	旋转
dichlamydeous	两被
hemistich	半行
tomahawk	印第安战斧
generalcy	将军的军阶、地位、任期、或权力
voluntarily	自动
betrothed	订婚了的
fair	美人
chrp	共用硬件平台
odt	Transportation
demimonde	品德有问题的女人
enow	充分
fake	假货
fluoresce	发荧光
cordite	无烟火药
somerset	=Somersetshire
faddist	好新奇的人
spoony	愚蠢
excitory	易刺激
persuader	强制的工具
excrescency	赘生物
whittret	=weasel
boding	凶兆的
leftwinger	左翼队员
baptistry	洗礼池
moot	未决议
clastic	碎屑状的
subcontrary	小反对关系
trachea	导管
airfare	飞机票价
unequable	不稳定
atlantean	岛的
agonize	使极度痛苦
boatel	汽艇游客旅馆
chin	下巴
colubrine	蛇似
kite	使用空头支票
brayer	用手复印的滚筒
spck	基督教知识普及协会
erythroleukemia	红白血病
rebato	披肩领子
lax	不严格的
tungstic	六价钨的
andante	行板
pyxides	药箱
semidomesticated	半驯养
birchen	桦木制
eluviation	淋溶作用
notoungulate	南美有蹄动物
inbound	内地的
traveled	旅客常到的
lathi	警棍
aristate	有芒
moonshiner	烈酒走私者
dodad	=doodad
sputteringly	气急败坏地
konzern	康采恩
missel	獬鸫
especially	特别
departmentalize	把……分为各部
thermoelement	热电元件
intimity	隐私
apagogic	反证法
hokkaido	北海道
quizzical	探询的
slavonian	斯拉夫尼亚人
progestin	黄体酮
charger	军马
incertitude	无把握
qarnns	亚历山德拉王后皇家海军护理队
stuff	塞满
lpg	液化石油气体
laguey	极端
malefactress	作恶的女人
flueric	=fluidic
vaticinal	预言的
argent	银色的
borrowed	借来
citizen	市民
pentagonian	五角大楼工作人员
reintroduce	再引入
dep	Productivity
aether	以太
puky	令人厌恶的
weatherly	能抢风航行的
carbonous	含碳
sulfhydryl	=sulphydryl
down	向下的
