colophony	松香
marathon	耐力的考验
piecewise	分段
foots	油滓
tee	T字形的
voltaism	流电学
drinkery	酒吧间
permease	透酶
aqua	水绿色
drainage	消耗
satyric	性好酒色的
repository	知识库
transit	通过
liable	易……
diagonal	斜
carangoid	参科鱼类
sawfly	锯蝇
elliptically	椭圆形地
turntail	逃跑者
uneducational	不推进教育
upper	上部的
cosmopolitan	世界性
polyandrous	一雌多雄的
chorizon	母质层
molucan	摩鹿加群岛
sporogonium	孢子体
cissy	有娘娘腔的
posy	花朵
pod	结荚
sulfury	硫磺
equus	马属
foundation	地基
facia	招牌
dichromic	重铬
widest	宽
ntfs	System
excusingly	辩辞地
statesmanlike	有政治家之身份
dedicated	献身的
unmerge	使分离
creesh	油脂
funny	奇异
scree	遍地小石的山的斜坡
cancha	牲口圈
metapolitics	空头政治学
conformity	一致
wake	激发
operable	可操作的
galago	狉
bhoodan	年代由
transmissible	可传送
modifier	修饰语
flop	笨拙地抛下
seagoing	适于远航
disazo	双偶氮的
digynian	二雌蕊
regulable	可调整
psalmist	诗篇作者
averment	断言
lordotic	弓背姿势
astronomic	星学的
banquette	驾驶后座
unparliamentary	不根据议会法的
quirk	遁词
whistleable	适合于用口哨吹
deracialize	使消除种族观念
clement	和蔼的
defendant	为自己辩护
hatless	不戴帽子
rabic	狂犬病
noisome	有害的
ovalbumin	卵白蛋白
smartly	刺痛
willowy	有弹性
matzoon	亚美尼亚酸奶
nsf	Foundation
humoral	温性的
dihedral	有两个平面的
teledrama	电视剧
waterworks	自来水厂
spiggoty	=spic
hirer	租借者
unloved	未被爱的
sequacious	盲从的
execution	执行
offal	尾
undissembled	非伪装的
impendent	迫近
brawly	好口角的
dangler	追逐女人的男人
archetypal	原型的
preclear	预先给……核发许可证
reseau	网状物
deflorate	过了开花期的
forbidding	可怕
durum	硬质小麦
foregone	过去
capitalintensive	需投入大量资本以增加生产力的
backstairs	秘密
pigout	过量的一顿
usual	平常的
derepressor	诱导物
scurviness	恶劣
buzz	嗡嗡声
rubelliform	似风疹
tersely	精练
ralline	秧鸡的
amiss	有毛病
truckle	屈从
trailing	被拖动的
borland	美国Borland公司
salty	有盐分的
unstress	非重读
creepage	漏电
catenulate	链状的
fishpond	鱼池
birman	缅甸猫
thankfully	感激
contain	包含
reversionary	继承
saurian	蜥蜴类
jagged	有凹口的
ponderability	有重
laudanum	鸦片酊
storyboard	情节串连图板
autocratic	专制的
nonhistone	非组蛋白的
nllst	National
thir	=these
argute	尖的
pseudoscorpion	拟蝎
wrong	道德不好的
physiognomy	相貌
infuscate	略带褐色
inciting	煽动的
wattage	瓦特数
monopolistic	独占的
exactitude	精密
neophilia	喜欢新奇
disconformity	假整合
ricochet	跳弹
polyhydric	多羟的
cylinder	圆筒
clergy	僧侣
abbreviator	缩写者
hurtless	不会受伤的
carlin	巫婆
mtu	最大传输单元
jingling	发叮当声的
wile	阴谋
vasoactive	影响血管的
alundum	人造刚玉的商标
slime	涂泥
crotcheteer	固守偏执的人
wuzzle	混杂
vesicular	有小泡的
baldness	率直
moffie	脂粉气的男人
oose	灰尘
glioma	神经胶质瘤
vast	巨额的
ingrowing	生进肉内
duplicability	可加倍
harrowing	悲惨
screech	尖着声音讲或喊
exclaim	呼喊
anglian	盎格鲁人
melezitose	松三糖
intransigency	不让步
dart	投掷
exploratory	探测
iowa	爱荷华州
swayless	不倾侧
crescentade	伊斯兰教军
tinkerly	拙劣的
cochromatograph	沧分析法
lull	麻痹
amiantus	石绒
caitiff	胆小
tenesmus	下坠
jag	一部分
fixedly	固定
lame	无说服力的
curragh	沼泽
frgs	Royal
agelong	久远的
deformalize	使非正式
pindaric	Pindar
allelic	等位基因
flocky	毛丛状的
alcaic	古希腊诗人
tackle	滑车
inequilateral	不等侧
monetarily	财政上
dryest	为dry之最高级之一
msie	in
carinate	有龙骨形
skidproof	防滑
megatanker	巨油船
passerine	雀形目的
apterygial	无肢
mouth	口
cumbrous	成负担的
carfax	交叉路口
yielding	柔顺的
dzho	=dzo
noncom	军士
peltate	盾状的
rebukeful	责骂性
shankaracharya	商羯罗查尔雅
migronaut	被迫流落异国者
violinmaker	小提琴制作家
shopsoiled	陈列久了
gallanilide	棓酚
electric	电的
frumpy	心地不良
evaluate	估计
dynastic	王朝的
spiracle	通气孔
proof	校对
lampless	无灯的
roumanian	罗马尼亚的
hurt	伤痛
cognisant	=cognizant
mallard	野鸭
quietive	止痛药
genome	基因组
cannery	罐头工厂
columnist	专栏作家
verdant	没有经验
quebracho	南美产漆树科乔木
hydrofluoric	含氢和氟
telluric	球
stratocracy	军人专政
laetare	大斋期的第四个星期日
omagh	奥马
feculence	渣滓
checkup	鉴定
princedom	王子的领土
founder	浸水
housebroken	经训练
reflow	流回
unpatterned	未成形的
microcosm	微观世界
mat	铺席子
source	水源
prudish	装正经
chemotactic	趋化现象的
caip	Over
heap	堆起
metabiosis	随从生活
iciness	冰冷
genette	=genet
renowned	有名
pathos	哀婉
imbrute	使沦为禽兽
quid	咀嚼物
nubbly	多瘤
encapsidate	使壳体化
evidence	证物
assaultive	好动武的
densify	使稠密
overcunning	过分狡猾
commando	突击队
nombles	=numbles
fls	Fellow
wordmongering	卖弄文字
sundae	圣代冰淇淋
degras	氧化鱼油
uncomely	不清秀
hesper	金星
awheel	骑脚踏车
aborative	煞费苦心
algraphy	老式套色印刷术
axseed	vetch
piteous	哀怨的
levy	征用
forcibly	强制
dribble	滴下
quiescent	静止
fslic	Corporation
irrepleviable	不准具保领回的
whorl	螺旋环
arabian	阿拉伯人
alphosis	皮肤色素缺乏症
carcinosarcoma	癌肉瘤
mucosa	=mucous
mmpi	Minnesota
uncovered	无盖
orthogon	长方形
desperately	拼命地
shit	欺骗
sanguiferous	运血
inceptive	开端的
wicket	小门
exercitorial	船主的
mim	假文静的
forecast	预兆
embody	使具体化
harmonization	融洽
mazurka	玛祖卡舞
manganous	锰
ensate	剑形
utricular	有小囊的
renter	租贷人
berme	城墙与外濠间之狭道
hardhearted	冷酷的
shelly	壳一般的
recremental	废物的
flowmeter	流量计
scaup	小潜鸭
tension	压力
batter	击球手
lawlike	似法律
sentinel	哨兵
midterm	中间
desolation	悲哀
brush	画笔
regional	方
bacteriolytic	溶菌的
glibly	流利
agonistic	论争
transaminase	转氨酶
pendency	悬而未决
digressive	枝节
lodger	寄宿者
sarcophagic	食肉的
impertinent	不相干
charge	费用
bunnia	商人
empyrean	九天
beloid	前窄后宽
enthalpy	焓
blundering	浮躁
undutiful	不顺从
leucocythemia	白血病
schvartze	黑人姑娘
uncorrectably	无法改正
angiomatous	血管肿的
ouster	驱逐
rhotic	辅音前的r全部读出的
heeled	带着钱
exercitorial	包船
overpassed	过去了的
extended	延长
necropolis	古代的埋葬
antoinette	安托瓦内特
vicinity	附近
unaffected	真挚
unprescribed	非限定
dilettantish	浅薄
deputation	代表团
reconfirm	再次确认
bobbly	跳动的
agrochemical	用农产品制得的化学品
half	部分地
closefisted	吝啬
erotical	=erotic
helminthiasis	肠虫病
verruca	疣
gain	财富的获取
piezoresistance	压电电阻
itt	International
eleusinian	市
quaint	做得很精巧
dupe	易受骗的人
subvertical	接近垂直
inversive	反逆的
tragicomedy	又悲又喜的事情
bacteriolytic	杀菌的
democritean	德谟克利特的
pragmatical	独断的
snubbingly	严厉斥责
ferity	野蛮
passe	已过盛年
intolerable	难耐的
castellated	有城的
hydroxyketone	羟基酮
mhw	平均高潮
unpitiful	不仁慈的
striking	打击的
bothnia	波的尼亚湾
inept	无能
triumphant	狂欢的
hieroglyph	图画文字
inbred	内在
nyse	Exchange
trust	希望
milon	麦伦
durham	一种产自该地的有短角肉牛
maladjustive	引起调节不良
moody	忧悒的
freshman	大学一年级学生
binary	二进位的
moat	护城河
trick	窍门
iraki	=Iraqi
gestic	与身体动作有关的的
manifesto	声明
serapis	塞拉皮斯
constabular	警察
pearlwort	漆姑草
ardent	热心的
annulment	废除
tugboatman	拖船船夫
antenuptial	结婚前的
emerge	浮现
invulnerable	不会受伤害的
pettifogging	骗人的
consistent	调和的
paunch	大肚子
learned	有学问
compressive	有压缩力
morbid	病的
unlighted	未被点燃
this	pro
hemolysis	溶血
pander	拉皮条
rational	推理
duplicable	可再发生
thurston	瑟斯顿
renogram	肾X光照片
footy	无足轻重
cyclopedic	百科辞典的
resist	抗
buzzsaw	圆锯
rejectamenta	排泄物海上漂浮物
sessional	法庭的
semidouble	半重瓣
nameless	匿名
astrogator	太空航行者
queenhood	女王身份
aleatory	侥幸
photoscan	光扫描图
smoky	烟熏味
testing	与试验有关
damfool	大傻瓜
repulse	拒绝
scenical	风景
glenurquhart	plaid
tintinnabulary	丁当响
emanant	发散的
tongueless	沉默的
hyphenate	以连字符号连接
frizzy	卷曲的
epicotyledonary	上胚轴
underground	在地下
seven	七个
backswordman	使用单刃刀者
sf	fiction科幻小说
osteocope	骨剧痛
trapshooting	飞靶射击
gastrologist	烹饪学者
semiformal	适于半正式场合的
bilocular	二格的
convenable	可召集
work	工作
hostelry	旅馆
rainbow	五彩缤纷
chut	啧!
everyplace	到处
propitiatory	安抚
tactful	得体的
cylindric	圆筒的
senior	年长
galactosan	半乳糖体
wrestler	摔跤选手
cobaltic	钴
chatelain	领主
adynamic	衰弱的
quince	温柏树
rhodesian	罗得西亚
dubitatively	半信半疑
marseilles	马赛
psychotherapy	精神疗法
colonelship	上校的身份或地位
shopworn	陈腐的
latency	潜伏
concertize	表演
nodose	有节的
interline	写在行间
qualificative	限定的
impartiality	不偏不倚
uncopiable	无法模仿
fixative	定色剂
labber	泼水
thereabout	在那附近
transmitter	转送者
gambado	马的跳跃
mime	Internet
travesty	使滑稽化
groundling	匍匐植物
weatherwise	至于天气
unsyllabic	不构成音节的
grume	凝块
minibike	小型机车
toxicologically	毒物学
pintle	舵栓
neuroplasm	神经浆
halma	哈尔马棋
ringworm	癣菌病
ruminant	反刍动物的
churchwoman	女信徒
barnstorm	到小城镇巡回演出
aggie	农校
nonpositive	负值的
acatalectic	音节数完整的
ideation	思维能力
cestus	腰带
littery	杂乱
grown	成年
offwhite	灰白色的
shareable	可分摊的
difficult	难相处
cardiotoxic	心脏中毒
metacenter	定倾中心
promote	提升
palmated	掌状的
maffick	狂欢庆祝
lingeringly	延迟地
grandiose	宏大
comake	上签字
transonic	接近音速
trusty	可信赖
gppm	Graphics
deep	远离中心的
romanza	叙事短诗
ares	阿瑞斯
hypertext	超文本
fixture	工作夹具
hear	听到
refundment	退还
guide	带领
sankara	商羯罗
unsullied	无污点
directoire	执政内阁
standard	旗
callous	冷淡
shoyu	酱油
umbral	阴暗
induce	劝诱
synch	=sync
luzon	吕宋岛
transferable	可转移
chantable	易唱
incomprehensibility	不可思议
conclude	决定
hast	have的第二人称单数现在式
stick	手杖
fst	Square
homebuilt	自制
skyport	直升机机场
solar	太阳的
edb	dibromide二溴化乙烯
cyclone	暴风
cirsotomy	曲张静脉切除术
bba	administration
unlucky	不幸的；不吉
beginning	开始
patternize	使符合一定型式
aquiline	弯曲的
gruffly	粗声地
agminate	成群的
shinto	1945年前为日本国教
niobium	铌
invisible	看不见
dinette	小餐室的餐桌和椅子
stopcock	管闩
xxix	29
lowlander	低地的人
spheric	球的
belly	胃
catoptric	反射
methoxybenzene	茴香醚
philabeg	=filibeg
rhomboidal	长斜方形的
ophthalmological	眼科
calipee	龟的腹肉
sauroid	蜥鱼亚目的鱼
firn	冰原
gabble	急促地说
hempen	大麻
telepathize	通灵
graininess	木纹状
miscreated	丑
abusive	辱骂
downy	柔和
leptophyllous	叶片狭长的
wholescale	大规模
superinduce	增添
muster	鼓起
glasswort	厚岸草
invective	恶言的
londonization	伦敦化
glowing	炽热的
seclusive	喜隐居的
safflower	红花
yuletime	圣诞季节
undeclined	无字尾变化
vibratiuncle	轻微震动
lenticellate	产皮孔的
muciferous	生黏液的
slow	减缓
transoceanic	在海洋彼岸的
yuan	元
engage	答应
gasdynamics	气体动力学
godet	用以显示褶纹
rising	增加
rantipole	顽童
adriatic	亚得里亚海沿岸居民的
goshen	肥沃的土
gratulation	祝贺
mend	修理部分
espanol	西班牙人
shaky	不安的
doggery	卑劣行为
handstaff	连枷柄
reactivate	恢复活动
meed	赏与
specific	种
imposturous	欺诈
ard	急性呼吸系统疾病
vaporous	蒸气多
revictualment	再供粮食
convincible	可使信服的
sorites	复合三段论
mellowness	芳醇
thresh	反复的打击
nizam	Hyderabad君主的称号
thumbnail	极短的
ghyll	溪流
pentagonese	美国国防部行话
sebe	east
antianxiety	防止精神不安的
established	已制定的
tonetics	声调学
praedial	不动产
alpine	阿尔卑斯山
deputy	代理人
peg	限制
arsenious	含砒素的
laminated	层积
unitar	United
steamy	蒸汽
crispen	使脆
initiatress	女创始者
staphylorrhaphy	腭裂缝术
cant	角落
etep	Trading
scuzzy	阴暗的
avariciously	贪婪
unbelieving	不信宗教
scraping	擦
embrave	激励
augean	Augeas王
concealment	隐蔽
modernistic	现代派的
expansionary	膨胀的
vocative	呼格的
unnumbered	数不清的
swagger	时髦
radiophony	利用辐射能发声的科学
appassionata	热情的
pluriglandular	多腺性
osteopathy	整骨疗法
synodal	会议的
folkloric	民俗
tripping	平稳地进行的
thermodynamic	使用热动力的
carabineer	卡宾枪手
phytogenesis	植物发生论
miseducate	给……错误
simplification	简化
lumpenproletarian	alI`teErIEt/
beakiron	砧
meaningful	意味深长的
rife	普遍的
bitterish	带苦味的
nerc	Research
whoremonger	嫖客
dominant	有统治权
imagery	比喻
intercross	杂交
front	前面
semiology	记号学
unbefriended	无朋友的
goldarn	=goddamn
scraggy	瘦弱的
luxuriant	丰产
natural	正常
tallyshop	赊销小商店
dispersion	离差
greenweed	染色用植物的一种
imitability	可仿制
crabbily	乖戾
arabian	阿拉伯
mortification	禁欲
maror	苦菜
unselected	非精选的
almsman	受救济者
dissentient	不赞成
foremastman	前樯水手
elimination	除去
tankstand	贮水柜架子
tamely	温顺地
scholastic	学究
surd	无道理
berime	以诗讽刺或祝贺
shang	商
broomball	类似曲棍球的球戏
uart	Asynchronous
soldierlike	雄纠纠
choush	官使
heterosexual	异性爱的
waltz	与……跳华尔兹舞
damned	使人憎厌的
synallagmatic	对双方具有约束力的
leukopenia	白血球减少症
beech	山毛榉树或其木材
amerciable	应罚款的
microcosmic	微观宇宙的
fermentor	发酵罐
mudskipper	跳跳鱼
receivability	可接纳
ufology	飞碟学
anytime	无论何时
columned	圆柱状的
reprehensibly	应受斥责地
monovalent	单价
mechanism	机械装置
colossal	庞大
nauseate	厌恶
engage	使忙碌
slip	有活结的
poona	浦那
chew	认真考虑
frequent	时常发生
mace	钉头
cotquean	忙家务活儿的男人
lingo	行话
homilist	说教者
extendable	=extensible
personal	私人的
mild	温和的
scholastic	学校
relatival	关系词的
preconvention	大会前
outlook	展望
anthropology	人类学
aerobe	需氧菌
inappreciative	不正确评价
rewire	再打电报
initial	词首大写字母
cryosorption	低温吸附
sexualize	使有性特征
quadrillion	千之五次方的
unaccustomed	奇怪的
paralegal	律师帮办
laudable	值得赞美
emulator	竞争者
geocentric	以地球为中心
propagandize	宣传
florin	弗罗林
pedology	儿科学
hawk	清嗓
infracostal	位于肋骨下面的
selenosis	硒中毒
glutton	暴食者
hypolydian	副利第亚调的
brownstone	上流社会
plush	长毛绒
monostrophic	单韵律的
tunicate	有被膜
soloistic	独唱的
tenrec	马岛猬
naderite	纳德主义者
octu	Cadets
vesuvian	火山的
moor	固定
ergocalciferol	=calciferol
filling	饼馅
fructosan	聚果糖
regerminate	重新发芽
ichthyologist	鱼类学者
can	装进罐中
repudiate	批判
shilka	石勒喀河
circumforaneous	冒牌
watchfully	警惕
oestrous	诱发发情的
projecting	伸出的
niobic	含铌
revolution	革命
naperville	内珀维尔
danseuse	女芭蕾舞演员
secondhand	间接获得的
aggravating	恼人的
anticlockwise	逆时针
coadjacent	互相连接
unconstrained	不做作的
panleucopenia	猫传染性粒细胞缺乏症
macroptic	视物显大症的
copious	很多
nandin	南天竹
cue	提示
unemployable	不能受雇
preadapted	预适应
admissibility	可容许
clotho	克洛索
force	精力
sustenance	支持
overrule	制服
mathematical	数学
aplastic	成长不全的
anapaest	抑抑扬格
extirpation	根除
goonda	打手
spiculate	由针状物覆盖的
proclaim	宣布
colloid	胶体
possession	领
ineloquent	不雄辩
constringe	使收缩
commanding	发号施令
mime	Extension
deck	装甲板
eldorado	理想中的黄金国
sunglow	日光
hardly	刚刚
variedly	改变
enrollment	入学
melanophore	载黑素细胞
fatten	使充实
latent	隐藏
giddy	眩晕
bialy	比亚利碎洋葱面包卷
homophonic	齐唱的
shandrydan	破旧的马车
basswood	椴木
spinnery	纺纱工厂
saltigrade	跳行型
teaspoonful	一茶匙的量
neutrodyne	中和接收法
greenhouse	花房
taiyuan	太原
jis	Standards
ostracize	排斥
uncensored	未经审查的
heliotropin	向日葵香精
bannister	栏干
dodgasted	被咒
muddily	污浊地
antimilitarism	反军国主义
semitropical	亚热带的
stupa	佛塔
nonfarm	非农业品的
cusp	尖端
hairline	极细的织物
panbroil	油煎
standing	直立
yvonne	伊冯
downplay	不予重视
ineligible	不合格
dmd	Micromirror
eelpout	粘鱼类
teruggite	水合钙镁砷硼酸盐
dovap	多瓦浦
metaxenia	后生异粉性
nonenzyme	非酶的
swabber	笨手笨脚的人
elegant	文雅
interline	插写进去
phantomlike	幽灵似
theban	底比斯
snaky	蛇一般
doglegged	弯曲如狗后腿
cuirassier	胸甲骑兵
pulseless	无生气的
jinrikisha	人力车
tough	吃苦耐劳的
unfearing	不畏惧
hent	目的
atrocious	凶恶的
intrenchingtool	挖壕工具
uncomplex	不复杂的
decontamination	排除污染
uncivilized	未开化的
firebrand	燃烧的木柴
incrust	生外皮
crus	后腿
gladiate	剑状
delivery	交货
learned	学术上的
retire	退休
flabbily	松弛
corresponsive	反应的
potassa	=potash
lacker	漆
brede	刺绣
labourious	费劲
directness	笔直
uncord	拆下……的绳子
backlist	列入重版目录
lobworm	沙蚕
organization	团体
sri	Sacrum
vacationer	度假者
stanch	止流
stoical	坚忍
newsroom	阅览室
reclosable	能重新盖紧的
waldensian	韦而多教派的
clannish	宗族排外
hochheimer	豪客海沫白葡萄酒
respect	考虑
nature	天性
hippocentaur	半人半马的怪物
neurotomy	神经解剖学
displeasing	令人发火的
sinapin	芥子酸胆碱
ultrasonic	超音速的
handedness	用右手或左手的习惯
dependent	依赖
usableness	使用方便
bland	冷漠的
zodiacal	黄道带的
sialidase	唾液酸酶
lunge	套马索
centromere	着丝点
subdual	抑制
downright	率直
miniature	缩小
sandy	沙的
cultivable	可耕种
dissemblance	伪装
mats	Service
rpq	request
ribosome	核糖体
setenant	连在一起面值不同
this	本
unfaltering	专心的
recidivous	经常犯罪的
trifilar	三点
ravel	散开
glaucous	覆有白粉的
color	脸红
gantry	桶架
chromite	亚铬酸盐
lane	狭窄的通道
halidom	圣地
uncorrupt	未堕落
forbearing	忍耐
xix	19
gutter	开沟于
nourishing	有营养
peppy	精神充沛
fissile	易分裂
courier	送快信的人
kidderminster	英国
polytonal	多调的
styli	唱针
fogdrop	雾滴
winterly	冷淡
tensor	张肌
unaccounted	未解释的
bewitching	迷人的
sneeze	喷嚏
unitary	单一
exceptional	异常
helpful	有益
emigratory	移民
ominous	预兆的
inwall	内墙
scrap	打架
rhesis	名句
cretan	克利特岛
tax	税金
angus	安格斯
cycle	循环
argillaceous	似粘土
banausic	物质
fact	实情
strictness	严重
temperateness	适度
niphablepsia	雪盲
unattended	未被注意的
beset	困扰
nullipennate	无飞行羽的
centimetre	厘米
classis	长老监督会
eastabout	向东
uninucleate	单核
persistent	持久稳固
productiveness	赢利性
grabbing	抓
amazing	令人惊异
msls	Library
indiction	古罗马每隔15年一次的财产评价公告
rcvs	皇家外科兽医协会
antiferroelectricity	反铁电现象
carbonicacid	二氧化碳
peachful	爱好和平
coralliferous	含珊瑚
phytogenous	=phytogenetic
rebukeful	充满责备
undistorted	未失真
muciferous	充满黏液
bacchic	醉
knopkierie	=knobkerrie
enscroll	慎重记载
mongoloid	象蒙古人
dna	deoxyribonucleic
ineptly	不适当地
backlash	后冲
saltmouth	大口瓶
salvoconducto	通行证
jackeroo	新手
stricture	责难
wyswyg	所见即所
zhdanov	日丹诺夫(1991年恢复使用旧称马里乌波尔
fuscin	暗褐菌素
slavophil	亲斯拉夫人的
ascomycetous	子囊菌类的
ionogram	电离图
insouciant	漠不关心
valuate	对……作评价
treasure	财产
dissector	解剖者
anthomania	酷爱花的人
alimentative	提供营养的
amiss	出差错
enormous	庞大
dna	分布式网络应用程序体系结构
eleanora	埃莉诺拉
devoid	缺乏的
plumpish	较丰满的
multiscreen	多银幕放映的
mandy	=Mandrax
mycenaean	希腊古代都市迈锡尼的
roundabout	兜圈子的话
migrate	移植
unfermented	没有发过酵的
braaivleis	烤肉野餐会
cissy	柔弱胆小的
monumental	纪念物的
submaster	副校长
bequeath	把……传下去
endite	=indite
enshroud	掩盖
upstream	溯流而上
lucerne	紫花苜蓿
esne	底层社会的人
rhythmizable	使有节奏的
globate	球状的
rejoicing	高兴
aspersion	中伤
salable	适于销售
pet	拥抱
biphenyl	联苯
mendable	可修理
amah	奶妈
ruefully	悲伤地
mint	铸造
regular	正规军
flammable	易燃的
proctorial	代诉人的
sudatory	发汗药
sclerometer	硬度计
disclaimatory	否认
nefandous	邪恶
armoric	阿莫里凯语
surplice	白色法衣
antimonial	含锑
interfinger	互相楔接
pedalo	脚踏船
burglarproof	防盗的
ephraim	以色列民族
clyde	老古板
yuk	引起大笑的趣事
bartend	当酒吧侍者
unwittingly	无意
onionskin	薄的半透明纸
chromophotograph	彩色照片
activation	激活
femora	腿节
heteropterous	半翅
ultimacy	根本性
transamination	转氨作用
mirthless	不快乐
adjure	命令
extended	伸出
snick	刻细痕于
grand	重大
demythologise	=demythologize
face	面容
cachexia	恶病质
quoit	金属环
trigoneutic	一年三抱
genital	生殖器
sphere	圈子
trinket	无关紧要的小事
inexplicable	无法说明
glottalize	把声门化
sara	萨拉族
bottom	到达底部
harlot	人尽可夫之女人
evidentiary	证据
opponency	对立
unsure	没有自信
windblown	被风吹斜的
easterly	向东方的
deactivate	使无效
crevasse	使有裂缝
puling	呜咽的
fastness	要塞
unbury	挖掘
succinct	压缩在小范围内
coalescence	联合
resiniferous	含树脂的
snooker	阻挠
trust	盼望
pedal	踏板
mephistophelean	险恶而狡猾
taper	锥形
demonstrant	示威者
skepsis	=scepsis
disvalue	贬值
thermotensile	热抗张强度的
chemosmotic	化学渗透现象
thorough	十分
yearlong	整整一年
wastrel	废物
paygrade	薪饷等级
cnut	克努特
goody	感伤的
gruntle	使满意
genoese	热那亚的
functionalism	机能主义
gunnybag	黄麻袋
lockfast	锁牢的
metathoracic	后胸
unlock	开启
weather	侵蚀
scandal	诽谤
twinborn	双胞胎的
mulch	覆盖树根
crabbed	易怒的
aspca	美国防止虐待动物协会
cornucopia	哺乳宙斯的羊角
identic	形式相同的
veronal	巴比妥
gab	瞎扯
affect	假装
observantly	敏锐
angst	焦虑
originate	发起
planetesimal	星子的
alfa	A
riot	挥霍
consuetudinary	惯例上的
biocidal	毁灭生命
dm	音乐博士
corequisite	并修课程
egghead	理论家
elevated	提高的
frostbitten	生冻疮
aerosiderolite	陨铁石
abnegate	放弃
notionate	充满幻想
uncivil	不文明的
vial	小瓶
unlovely	不漂亮
meek	谦恭
hydrographic	与水文地理有关
twelvemo	十二开
sacred	神的
aerotropic	向气性的
laggardly	行动缓慢地
crinum	文珠兰属
obligatory	必须
scratch	打草稿用的
bacterization	借细菌作用治疗或改变
gum	齿龈
mipafox	丙胺氟
croquis	草图
floriferous	花盛开的
irrespectively	无关地
archiepiscopate	大主教的职位
rasped	刺耳的
adi	acceptable
intervocalic	出现在两个元音间的元音间的
versatile	多面手的
mandatory	托管的
disinclination	厌恶
chimpanzee	黑猩猩
gastronomical	美食学
serviceability	适用性
orthodox	东正教
superfine	特级的
louver	屋顶窗
vacancy	空白
biennialy	每二年一次地
indusiate	幼虫膜
rounder	卫理公会牧师
exequies	殡仪
vomitus	呕吐
conducively	有助
marriageability	结婚适龄
proscript	被放逐的人
corespondent	共同被告
rheogoniometer	流变测角计
chlorid	漂白粉
aerocade	飞行队
ringing	响亮的
esfahan	=Isfahan
stagger	交错
fanon	臂巾
cutup	诙谐的人
fall	砍倒
pliancy	柔顺
slan	sine
allotmenteer	小块园地经营者
patrilocal	居住在男方的
consequentially	必然
pintle	枢轴
crafty	狡诈
remigial	飞羽
ethos	道义
dowery	=dowry
extractor	抽出器
flammulation	红色斑纹
costless	无须付出代价
enrollment	入会
ultramicrochemistry	超微量化学
apiece	每个
erythrosine	新品酸性红
unceremonious	随便的
stem	滋生
fructify	富有成果
biedermeier	稳健的
washy	浅
astir	骚动
you	pro
intercession	代为求情
miaul	猫的叫声
nonfeeding	不进食
justifier	辩护者
optoacoustic	光声
strait	苦恼的
negrillo	矮小的非洲黑人
pictograph	象形文字
hemodialyzer	人造肾脏
baguio	碧瑶
amps	高级移动电话服务
causerie	漫谈
evidential	可作证据的
cryptical	含义模糊
yaf	Young
trijugate	具三对小叶
gag	打诨
skulker	偷懒的人
wampus	开襟绒线衫
couture	服装设计或其服装店
repristinate	使复原
stump	砍成树桩
enthronement	就任主教的仪式
fine	精美
rhapsodical	狂想曲的
patter	轻快脚步声
senorita	小姐
burse	奖学金
dypass	侧路
hygeian	健康
crested	有冠毛的
avocation	业余爱好
extant	未毁
sophisticate	使变得世故
protogine	绿泥花岗岩
argot	暗语
wired	接有电线的
yeoman	自耕农
unsearched	没有寻找过
sullen	愠怒
astilbe	落新妇属植物
boorish	粗野的
bushtit	丛山雀
sgml	通用标记语言标准
swellish	漂亮的
supinate	仰转
engage	预定
mpm	minute
othin	=Odin
chibouk	土耳其长烟管
strangulation	勒杀
divot	草皮断片
emblazonry	纹章描画法
swabian	斯瓦比亚
countermovement	反向运动
kirschwasser	樱桃酒
phonology	语音体系
agminate	聚集
phytoflagellate	鞭毛藻
intendance	管理
superserviceable	极肯帮忙的
cephalopodous	头足类
videodisc	录像盘
graftabl'	NULL)
harshly	严厉地
jobbernowl	愚蠢的
strabismic	斜视
multimer	多聚体
diomedes	狄俄墨得斯
conspirator	反叛者
bill	法案
dionysos	狄厄尼索斯
giddy	眼花缭乱
integraph	积分器
ratissage	"回扒"
revelation	新发现
centricity	中心性
laywoman	layman
campanological	鸣钟术的
shad	美洲西鲱
mythological	神话学的
avirulent	无毒力的
bussbar	bar
ciscaucasian	内高加索
mongolian	先头愚型症的
cercopithecoid	猕猴科
acidly	不悦
unary	一元的
wmo	世界气象组织
supersedeas	停止控告的令状
festa	祝宴会
electrophotometer	光电计
osteological	骨学上的
abuttal	毗连
derivable	可引出的
milligrame	千分之一公分
gracilis	股薄肌
semiabstract	半抽象
doloroso	感伤
gleeful	愉快的
contraceptive	避孕品
client	客户
laciniate	有细长裂片
pigmentize	染色于
coronavirus	日冕形病毒
monobus	单总线
gestate	孕育
mosaicist	镶嵌细工师
vagina	叶鞘
psychologise	=psychologize
cureless	无法医治的
wider	宽
patchouli	广藿香油
atopic	遗传性过敏症的
manana	不久以后
absorbency	吸光率
laurentian	劳伦系
unvitiated	未被污染
antiarrhythmic	抗心律失常
tipsily	喝酒地
undersanded	含沙过少
corporeity	身体
running	运转
decolorant	漂白
adipose	脂肪
recumbently	靠着
wardership	看守人
stogie	笨重的长靴
cognovit	认债书
feudalize	使封建化
lawless	违法
vanishingly	消遁似
halogenoid	类卤基
pitchy	漆黑的
disinfest	驱除害虫和有害动物
vacationist	休假者
psychoneurotic	神经病的
cinematographic	电影
fastening	结扎工
hopelessly	绝望地
result	计算结果
reproacher	责备者
muskwood	麝香树
libidinous	淫荡
abortion	失败
pardonably	可宽恕地
