insectivorous	食虫动植物的
rente	岁收
banjax	压倒
unexpectedly	想不到
intrepidly	无畏地
martagon	头巾百合
mistakenly	错误
ailment	疾病
hackbuteer	火绳枪射手
interventionism	干涉主义
manageability	驯服
disadvantaged	贫穷
aquarist	水族馆管理人
antienzymatic	抗酵素的
coleoptera	甲虫类
kluck	喀喀声
stinginess	小气
unjoined	未结合的
octu	Unit军官学校学员训练队
buoyancy	轻快
manner	样式
uninjured	未受伤害的
vinylbenzene	乙烯基苯
overland	通过陆路
hydrotropically	向水性地
righteousness	正当
actualization	实现
enneastyle	前面有九柱
bally	非常地
troubleproof	不生故障
ephemerality	短命
dictaphone	口授留声机
tonight	今夜
outcast	被遗弃的
vexillary	军旗的
hypostases	沉淀
rdo	Data
freshness	刚
irrespective	不顾
fortifier	使坚固的东西
naggish	有点爱唠叨
stocky	矮壮
contraorbital	与正常轨道反向的
taurus	金牛座
millidegree	毫度
russety	红褐色
achaetous	无刚毛的
gyri	的复数
lactescent	分泌乳液的
stymie	从中作梗
lenitive	轻泻的
interstrain	不同品系间的
deviously	弯曲地
demoid	某地质层组特有的
thermoset	热固塑料
cutter	切割机
whiten	刷白
estrogenic	雌激素的
blandish	奉承
aerofoil	翼剖面
gravity	重力
applaud	拍手喝彩
impendent	即将发生
fossilify	使变成化石
easygoing	不严肃
megafog	浓雾警报器
maternity	母道
sling	用悬带吊卦
jumpily	跳跃地
waste	荒地
drogue	风向指示筒
zoom	陡直上升
accommodator	调解人
morose	乖僻的
geographic	地理的
testaceology	介类学
unmerited	不当的
decline	拒绝
lowness	低下
contradictious	异议多
dyschizia	大便疼痛
astrogator	宇航员
rehabilitative	复职
influence	改变
chainman	司链员
perspective	看法
joss	偶像
laggardly	缓慢的
overweening	自负
lecithoid	蛋黄素
account	得分
catilinarian	参与喀提林阴谋者
larine	鸥亚目的
transcurrent	横亘
likewise	同样地
hypopiesis	血压过低
dispossessed	无依无靠的
frizzy	卷曲
avirulent	无致病力的
moronity	鲁钝
oxbridge	牛津与剑桥大学
colonelcy	陆军上校的身份或地位
tensile	可拉长的
timbre	音质
fingersmith	扒手
cherubic	天真无邪的
spermalege	受精储精器官
sponsorial	教父的
archer	人马星座
hellbroth	地狱羹
scotograph	射线照片
myotic	促成瞳孔缩小的
resource	办法
phenomenological	现象学的
transmigrator	移居者
argosy	大商船
aggregation	集合体
puny	弱的
icebound	被冰封冻着的
chattily	爱讲闲话
scarlet	深红
terroristic	暴力主义的
supervenient	随后发生的
poort	山口
rowdyish	粗暴
standstill	停止
severally	各自地
neurotropism	神经亲和力
phenetol	苯乙醚
regelate	重新结冰
excite	激动
scrappy	碎屑的
mahomet	穆罕默德
unformed	未成形
orthoepic	发音正确
otalgic	耳痛的
appall	使惊骇
alphanumeric	文字数字
vmi	Virginia
dignified	有品格
caravan	大篷车
faculative	容许
getparms	获取参数
unscrupulous	无道德的
overcame	overcome的过去式
rebuttable	可辩解的
pacemaker	带头人
haunting	常浮现于脑海中的
advanced	高级
ruminant	沉思的
compilatory	编辑
eosin	曙红
dilatory	拖拉
hypertonic	高渗的
forsworn	不守誓言
posttonic	重读音节后
loophole	枪眼
mineralold	准矿物
apathetic	缺乏兴趣的
raggedness	粗糙
aeneid	Virgil
partridgeberry	其果实
brachydactylic	短指的
wherewith	用什么
borderland	迷糊含混之情境
curriery	鞣皮场
somnolency	想睡
nwa	西北航空公司
psid	differential
rigorous	严厉的
breezily	活泼轻松
nark	密探
pacemaking	当标兵
garry	oak奥里根白栎
praiseworthily	值得称许
termitary	白蚁窝
halberdier	戟兵
internuncio	罗马教宗的代理使节
weathermost	最迎风
gazebo	露台
aesthetics	美学
preprimer	低幼读物
ptv	public
dendritic	树枝状
macabre	恐怖
semisecret	半秘密的
albinism	白化病
chopfallen	垂头丧气的
tapadera	踏镫革片
gerentocratic	管理者
hairdresser	美容师
grundyism	因袭主义
underwater	在水下
medicable	有疗效
slider	滑冰者
reckon	总计
pedimental	山花的
laotian	老挝
asynapsis	不联会
dicom	Communications
coinsure	共同保险
subtetanic	轻度强直
outfield	边境
discourteously	粗鲁地
lymphoblastic	成淋巴细胞的
inhomogenous	杂拼的
metamorphose	使变成
frambesia	印度痘
hexahydroxy	六元
astriction	限制
kinfolks	亲属
iberian	伊比利亚人的
guildhall	市政厅
ptyalism	涎分泌过多
walloon	瓦龙人的
unanswerable	无可辩驳
dryest	为dry之最高级之一的
euphemistical	委婉说法的
denominative	有名称
semimoist	半潮的
nonenzymic	非酶的
lunarian	月球居民
holophone	全息录音机
dwarfism	矮态
troop	军队
argentous	银的
betacism	b
supervenient	随后发生
ground	使搁浅
picomole	百亿分之一摩尔
simple	简单的
conglomeracy	联合大企业的形成
reason	原因
rageful	盛怒
giraffe	长颈鹿
half	相当
world	世故
reload	再装
strip	带
perfectionism	十全十美主义
clausal	分句
eradicative	根除的
rebekah	=Rebecca
corrodent	腐蚀
lepidopterous	鳞翅类
toot	吹喇叭
shift	手段
asperity	刻薄
unenclosed	不在修道院受管束的
perissad	奇价的
flitter	飞来飞去
affray	打架
seethe	沸腾
potentate	当权者
cagey	精明的
vigilant	警醒的
streptomycin	链霉素
reviviscence	精力恢复
untrue	不正确的
serous	如水
hemoglobin	血色素
gingerly	慎重
habilatory	衣服
appealing	恳求似的
unpaired	不成双
grotesquery	怪诞
cypress	柏木属植物
benet	用网捕捉
color	歪曲
gentilism	非犹太教
bundu	荒野
friend	赞助者
recumbently	躺着
relucent	明亮的
exedra	开敞式有座谈话间
glutamine	谷氨酸盐
penetrative	深刻的
royal	王室
briefness	简单
ribbing	棱条配置
salopian	Shropshire人或居民
dichroitic	二色
tumefy	肿大
notary	公证人
fibster	惯撒小谎者
explicandum	在待解释的术语或陈述
quirkish	讥讽
keltic	凯尔特人的
setoff	抵消
movable	变动
tonal	音调
salivarian	通过唾液传播
tharm	肠子
turn	转动
flexible	能变形
reflect	反映
rsgb	Britain
ocam	非洲与马尔加什共同组织
instanter	马上
innate	天生的
responder	回答者
klipdas	蹄兔
make	被处理
erratic	不稳定
flinty	严峻
serpulid	龙介属动物
legally	合法地
marzipan	杏仁蛋白软糖
laurestinus	=laurustinus
chooser	选择者
overleap	越过
pignut	山胡桃果
prostyle	前柱式
msts	军事海运局
tetraphonic	四声道立体声的
hystrichosphere	刺球藻
attributive	归因的
igg	=ig
aapss	of
upswing	向上摆动
gluey	粘着的
nicole	尼科尔
findable	可找到
putter	轻击棒
lichenology	青苔类植物学
hyalograph	玻璃蚀刻器
skatol	粪臭素
wrongfully	不妥地
shinleaf	椭圆叶鹿蹄草
nabob	印度莫卧儿帝国的地方长官
osteological	学
pitcher	投手
spindling	细长
dangly	悬摆
clapt	clap的过去式及过去分词
crepitation	捻发音
fall	落下
graver	雕刻师
extol	赞美
picescent	黑色的
unfaithful	不忠实
cutworm	夜蛾科
rhizocarpous	多年生草本植物的
decompose	腐烂
theocratic	神权的
receptivity	接受能力
cms	Society
phyle	宗族
underrun	跑过……下面
incised	雕刻
gemmule	小芽
homologate	确认
relapse	旧病复发
fixer	定影剂
ulotrichous	鬈发人种
idle	停顿
baae	Engineering
disruption	瓦解
subcontrary	小反对关系的
neurotrophic	神经营养的
preatmospheric	大气形成前的
espadrille	帆布便鞋
cribriform	筛状
voguey	时髦的
caespitose	丛生
miscalculate	误算
sandhurst	英国陆军官校所在地
sheba	示巴女王
clarification	净化
drowse	瞌睡
disunity	不统一
diatessaron	四福音合参
ululant	哀鸣的
hal	Henry的昵称
benthoal	湖底
stiletto	打孔
photodegradable	可光降解的
pram	参数RAM
oath	誓言
rvsvp	repondez
supersonic	超音波
smart	精确
absorbable	可吸收的
incompetent	不胜任的
oneness	唯一
plodding	单调乏味
aerarian	财政
grubstreet	文丐
ilex	冬青属
gluey	胶质
expenditure	花费
cainozoic	新生界的
alteration	改造
incretion	内分泌
lettic	列托族
appropriation	据为己有
copycutter	报馆检稿员
unreactive	不起化学反应的
smudgy	脏污的
algal	海藻
carneous	似肉
japanophobe	憎恨日本的人
afterwards	后来地
racketeer	诈骗钱财
refold	再打摺
custard	奶油冻
replicable	能复现
dendroclimatic	树木气候学
ferrel	金属箍
bigeminal	二联
classic	名著
tuberculocele	睾丸结核
spherulite	球粒
unwound	松散的
favorable	赞成
hedger	种植树篱者
pugilistic	拳击
johns	约翰斯
comedist	喜剧作家
thundrous	=thunderous
underrepresentation	未被充表名额不足
fetch	引出
skinny	小的
mgd	百万加仑[日
expansible	会膨胀的
gillyflower	紫罗兰花
vergilian	似弗吉尔之诗
usafe	Force
acerola	金虎尾
photoelectromotive	光电动
dehydrate	脱水
ironbound	包铁
carrion	吃腐肉的
beat	拍子
seeing	看见
unhappy	不幸的
manteltree	壁炉过梁
representable	可被代表
electrowinning	电积金属法
nanaimo	纳奈莫
interleave	插入纸
pye	form表示"肾盂"
cumuli	累积
imperfect	减弱的
zootechny	动物饲养学
unfading	不凋萎
abandon	放任
hornless	无角的
indiscriminating	无差别地
batten	木条
repletion	充满
nosh	小吃
mellowness	成熟
invidious	不公平的
passkey	总钥匙
recommended	被推荐
synarthrodial	不动关节的
jimberjawed	下颌突出
neglected	被忽视
granuliform	具颗粒状结构
doddery	衰老的
scutch	棉等的纤维打散
atkins	=Tommy
entirely	全然
formation	形成
mean	简陋
teleconferencing	电信会议
carbolated	浸以石碳酸
cowslip	黄花九轮草
dogmatical	武断
concoctive	调合的
vinny	文尼
stupefactive	麻醉性
boastful	喜夸耀
trepan	欺骗
wondrous	令人惊奇的
whiffy	发臭气
veterinary	兽医的
torpedo	破坏
cytogenetical	细胞遗传学
barbaric	毫无约束
exoteric	外面
liable	易……的
hid	Home
shit	狗屁!
roul	roulette
sporeling	孢苗
amyloid	淀粉食物
yore	往昔
chronological	按年代顺序排列
agamospermy	不完全无配生殖
durability	经久
rabbinical	希伯莱语
marginal	记在页边
book	书
lour	阴沉
blewits	青紫色食用伞菌
cpsu	Party
yellow	黄色
tease	奚落
burst	脉冲
centner	合五十公斤
unfitting	不相称
gastrulate	处于原肠胚阶段
ruly	有秩序
amniotic	羊膜的
warve	=wharve
jacques	雅克
speak	表示意见
tinkly	叮当响
suprathermal	具有的能量超过热激发能量
lactescent	乳汁状
acronichal	日落时发生
autoregulatory	自动调整
aviarist	飞禽饲养家
custom	承接定做活的
saloonist	=saloonkeeper
unresponsive	无同情心的
floppy	邋遢的
snakelike	蛇一般的
embourgeoisement	资产阶级化
ruling	占统治地位
beauty	美好的东西
female	女性
hammerblow	类似的冲击
pleasant	舒适
supergranule	超米粒
prostitution	滥用
christianly	如基督徒地
umt	Military
hyetal	雨量
agitational	煽动性的
landward	近陆
entoptic	内视的
aneurismal	动脉瘤的
brahminism	婆罗门教
suberic	软木
fluently	流利
gynarchy	女人当政
natively	天然地
spectacle	奇观
set	一副
eviscerate	取出内脏
indeterministic	非定命论者的
emotion	感情
felted	黏结起来
laith	厌恶
spadework	费力的基础工作
netted	网状的
homosexual	同性恋的
haunch	臀部
sachet	香料袋
vacuum	空间
chink	叮当声
smileless	没有笑容
rhinolalia	鼻语
shlub	=schlub
reinspect	再考察
downtrodden	被践踏
toxicologically	毒理学地
falsification	伪造
largo	庄严地
drupel	小核果
lixivium	碱汁
uropygium	尾臀
piggish	猪一般的
obligee	债权人
ploy	工作
vpd	Product
piratical	海盗的
fletcherite	实行细嚼慢咽健康法的人
perpendicular	垂直的
gammadia	万字形
mistle	獬鸫
pannikin	小锅
stencil	蜡纸
boater	硬草帽
otiose	怠惰
sheriffwick	=shrievalty
set	固定的
gnomic	含格言的
rhinopharyngeal	鼻咽
isopropyl	异丙基
evolutive	发展
keratometry	角膜弯度计
irreformable	不可改造的
letterhead	印有抬头的信笺
landowning	有关土地所有权的
gripe	使苦恼
raised	凸起的
fag	使劳累
corrosively	侵蚀
chophouse	小餐馆
extended	长期的
strophulus	婴儿苔藓
direction	指导
manitu	=manitou
lavish	浪费
industrialized	工业化
accessible	可到达的
dungy	令人作呕
atherosclerotic	动脉粥样硬化患者
doughy	面团
ulterior	较远的
crossbar	横木
verboten	禁止的
lazar	恶疾患者
skite	突然的一击
swag	赃物
curb	路边
authenticator	认证者
aerial	航空的
bodily	肉体上
disharmonic	奇形怪状的
aptness	才能
samos	system
fulgurating	突然剧烈发作
unentangled	未缠住的
britannic	大不列颠的
molucan	摩鹿加语的
jackfield	=Jackfield
helophyte	沼生植物
unfix	拔去
polydirectional	多方向的
inappositely	不适合
chessel	干酪桶
legatine	使者的
miesian	密斯式建筑的爱好者
outward	周围世界
redeemer	耶稣基督
liquefactive	引起液化
weeping	哭泣
kinematography	=cinematography
derealization	现实感丧失
wingmanship	飞行技术
paleoflora	古植物群
neosalvarsan	新胂凡纳明
unreceptive	反应不快的
disbennifit	不利
cense	焚香
papaveraceous	罂粟科的
queerish	古怪
undistracted	心神不烦乱
customable	可征关税
subcrustal	壳下
supersonic	超声波
wretch	不幸的人
milksop	懦弱的人
headcheese	头肉香肠
costly	昂贵
commentary	注释
abstemiously	适度地
radioprotector	辐射防护药物
castigatory	惩罚的
ferrophosphorous	铁磷合金
technics	学术语
quaquversal	向四方倾斜的
chromophil	易染的
fluid	流动性
shrilly	尖锐地
cryptological	密码术的
cardiotachometer	心动计数器
fuliginous	煤烟色的
felicitousness	适合
acock	边翻卷
odal	=udal
stepwise	楼梯式的
ordinate	纵座标
depletive	减少血液的
tauri	的所有格
jut	伸出
glycosylate	使糖基化
wisecrack	俏皮地说
aplastic	无形
merohedral	缺面对称
cypress	柏科树
tupelo	多花紫树
goy	非犹太人
calculated	有计划
useless	无价值的
unpresented	未呈递的
amebic	阿米巴
malicious	怀恶意的
phonebooth	公用电话亭
guggle	水流的潺潺声
anecdotage	逸事集
afl	美国劳工联合会
simplism	单纯化主义
ethnologic	人种学
drammock	用冷水调和的燕麦粉
sick	渴望的
riverbank	河堤
ruminant	反刍动物
elastically	伸缩自如
coliphage	大肠杆菌噬菌体
forestall	用先发制人的方法预防
illicitly	违法地
protest	断言
scarab	圣甲虫形宝石
matroclinous	=matriclinous
molybdenian	钼的
vibrancy	振动性
unprincely	非王侯的
mussily	混乱
spread	伸展
ravage	劫掠后的痕迹
ostinato	固定音型
loanee	借入者
conclude	议定
anuric	无尿症的
tenemental	出租
ucky	黏乎乎的
plafond	装饰的天花板
sensationalize	以耸人听闻的手法处理
dependency	属
nibble	一点一点地咬
conformably	一致地
aweary	疲倦
pierrot	走江湖的丑角
visla	=Wisla
pop	砰地
superterrestrial	天上的
innocent	无罪
immunopathology	免疫病理学
aglet	金属饰物
carnauba	巴西棕榈
bimillennium	两千年
rockaby	乖乖睡
mahogany	红褐色
forcibly	用力
ft	金融时报
metrics	韵律学
exhaustive	无遗漏
superette	小型超级市场
tritheist	三神论者
inosculate	使吻合
martyr	杀害
qualification	条件
phosphoglyceraldehyde	甘油醛磷岣视退嵫
congoese	=Congolese
compound	复合
sociality	社会性
tapestry	织锦
eccrine	外分泌腺的
actorish	不受演技优劣影响的
excentral	中心以外的
dance	舞曲
lung	肺
gripe	把手
rubbidy	=rubbedy
minable	可开采
cleansing	使清洁的人或物
cardindex	将……制成卡片索引
energetic	积极
reeded	有凹槽
obeisance	服从
tumefy	浮华的
committal	委托
misleading	令人误解
apomict	单性繁殖的生物
hexad	六个一组
semiparasite	半寄生
lisping	口齿不清的发音
msee	电机工程学硕士
antisexist	反对性别歧视的
faddish	风行
lengthy	过分的
hma	高端内存区
frumenty	牛奶麦粥
galactopoiesis	生乳
plasmatron	等离子体发生器
adjutantship	副官职位
taffrail	船尾上部
motorist	乘汽车者
autotelegraph	电报传真机
overlook	耸出
fistuliform	管状
grumbler	发牢骚的人
aperiodic	不定期的
christmasy	有圣诞节气氛
floridly	华丽地
antideuteron	反氘核
striated	有线纹的
ventilate	给……装通风设备
lynch	中伤
koradji	巫师
field	野外的
remarkable	值得注意的
usts	United
poignant	刺激的、辛辣的
compilation	编辑
foreclose	排除在外
gummatous	梅毒瘤
unassimilable	不可同化
pedagogic	教授法的
chloropromazine	=chlorpromazine
undercut	廉价出售
fst	Flat
puree	浓汤
sanguine	满怀希望
brawn	腌制好的野猪肉
makeshift	权宜之计的
aire	亚耳河
bndd	of
outdoorsy	适用于户外的
introduction	绪论
aarp	Address
photosensitivity	感光灵敏度
placoderm	盾皮鱼
dead	绝对的
colorblind	色盲的
greenlandic	格陵兰的
aeolotropy	有方向性
parang	帕兰刀
minister	大臣
glazed	光滑的
consentient	无异议
ellis	埃利斯
regardlessly	毫无价值
accommodable	可适合
fiacre	小型出租马车
bottlekhana	餐具室
phocine	海豹的
pants	短裤
eternal	永恒的
squirarchy	=squirearchy
underdoctored	医生不足的
auntie	伯母
nantz	白兰地酒
normoblast	正常红细胞
elector	竞选人
sheila	希拉
proteolytic	蛋白水解的
multigerm	多胚芽
radioactive	有辐射能
incombustible	不燃性
ohmmeter	欧姆计
dartle	突进
harassed	疲倦的
semirevolution	半旋转
transit	运输
metatarsal	跖骨
unleavened	未受激发
tersanctus	=Sanctus
homolog	相当或相同的事物
fair	清楚地
run	奔跑
muscarine	蕈毒碱
isophyllous	等叶的
pycnogonid	皆足虫
undermost	最低
boisterous	狂暴
stipple	点彩
constipated	患便秘症的
fungoid	真菌样的
extract	选粹
ablaze	激动
spirivalve	螺状
thoroughwax	圆叶柴胡
caliginous	昏暗
inapposite	不合适的
heard	hear的过去式和过去分词
hemagglutinate	使红血球凝聚
tap	熄灯号
immy	=immie
sway	摇摆
dibasic	二盐基的
firebrand	火把
swimmy	眩晕
runout	逃开
landaulet	形的小型车
calculous	微积分
lentiginous	雀斑
underproductive	生产不足的`tIvEtI/
planification	计划化
mattress	床垫
animalistic	兽性说
vichyssoise	奶油浓汤
wamus	开襟绒线衫
meliorable	可改良的
homoerotism	同性恋
lmbc	Margaret
swink	使工作过度
eggshell	蛋壳
sisterly	姐妹一般的
legateship	使节的职权
sforzato	加强地
standard	军旗
aborative	煞费苦心的
censorable	须受检查的
trimotored	有三个引擎的
condolatory	慰问
multicentric	多发源点
gummiferous	产树胶
redoubted	可怕
crucify	十字架上钉死
sloganeer	大量使用标语口号
uninspected	未经检查的
sculptural	雕刻般
logos	圣子
sanguification	血液化
braggart	自夸
superstruct	把……建为上层建筑
cloudscape	云的风致
tardigrade	缓步类动物
scotticise	=Scotticize
mesentery	肠系膜
mercilessly	残忍
bey	州长
peart	聪明的
tarantula	鸟蛛
aftershaft	后羽
kindly	温和的
sought	seek的过去式和过去分词
vacuum	利用真空
blarney	阿谀
disallowable	可否决的
slobbery	过于伤感
regalvanize	再给…………通电
benignantly	有益地
wassail	祝酒时用的酒
photophilous	适光
rhyme	韵律和谐
elliptical	椭圆
timer	记时员
arundinaceous	芦苇
homozygous	同型结合的
federative	联邦的
respecting	关系
uxoriously	疼爱妻子地
wuzzle	搞混
kumgang	Mountains
uncase	除套
personal	身体
branch	出现分歧
brassily	似黄铜地
ip	Internet
camper	露营者
atmospherically	气压上
goosy	愚蠢的
ruffly	起皱的
nenadkevite	硅钙铅铀矿
baldness	枯燥
massless	无质量的
zi	interior后方地带
presuppose	预示
informative	提供情报
quicksandy	多流沙的
pinocytized	被细胞摄入
brier	荆棘
scarlet	猩红
reason	推论
undimmed	不模糊
jwb	Jewish
mineralold	类矿物
depreciation	减价
indoor	室内的
silverback	银背大猩猩
bitterweed	含有苦素的植物
impar	不成对的
unplantable	不可种植的
mace	肉豆蔻
verneuk	欺骗
forebode	预感
ecstatically	心醉神迷
rodent	啮齿目的
cowheel	炖蹄筋
inamorato	情人
negabinary	负二进制数的
placentology	胎盘学
windward	上风面
uaa	United
determinative	决定
shawwal	10月
ccco	for
stylish	时髦
yellowy	略带黄色的
duorail	两轨铁路
nanny	Ann
epitaph	碑文
mdap	Program
suffocatingly	令人窒息地
perispore	孢子周壁
chute	瀑布
dragonesque	龙状的
favorer	爱顾者
coincide	符合
slatter	使溅出
digital	手指的
agedness	老年
unpracticed	不熟练
dotard	年老昏愦之人
polisher	磨光器
dprk	of
legalist	法律学家
iroquoian	易洛魁族人
ruly	有秩序的
unearned	不劳而获的
pseudology	捏造
conflicting	不一致
retiary	结网的
thunderhead	雷暴云砧
ecocline	生态倾差
spearhead	充当先锋
average	一般的
outshoot	旬曲线球
everyday	平凡的
bastardly	假冒的
tarnishproof	不变色
xiphias	剑座
measureless	不可量
traditionist	传统主义者
unsaturated	不饱和的
inductile	没有延性
tetraxial	有四个轴的
son	圣子
noserag	手帕
contractible	缩小
theandric	神人两性结合的
johnson	詹森
inapplicability	不适用
snobbish	势利的
decussate	交叉着的
doohickey	小玩意
waver	踌躇
commiseration	同情
miscue	失误
abuliding	酝酿中
supracrustal	上地壳的
silverberry	银果胡颓子
bastardly	庶生的
pierage	码头费
suborder	亚目
adhere	坚持
cancer	癌
contrariant	反对
courtroom	法庭
rivalry	竞赛
come	开始
kowtow	叩头
aristocratic	贵族化
quinidine	奎纳定
serenely	沉着地
drily	干巴巴的
raised	凸起
diseur	单口相声演员
desperately	失望
cantal	法国硬干酪
pout	板脸
cleocin	氯林可霉素
boblet	双人雪橇
unimpeachably	无可指责
macroeconomic	整体经济
therewithal	随其
phenocryst	斑晶
undersurface	水面下的
wisha	哦
zonally	带
subsume	包容
sheugh	沟渠
scoticism	=Scotticism
golden	黄金的
delectus	选萃
columelliform	似小柱
from	从
raja	首长
ultrared	红外的
paracentesis	穿刺术
hematozoal	血寄生的
summarily	概略
decreasingly	渐渐减少
premium	贴水
hitter	击球员
choralist	赞美诗歌唱者
compulsionist	主张采取强迫手段的人
handled	有把柄的
bmj	Journal
birthstone	诞生石
interstitial	裂缝
unartificial	非人工的
inclip	围住
mahogany	桃花心木
cretin	白痴病患者
limejuicer	英国水手
condolatory	吊唁的
dehumanize	使失掉人性
choosing	选择
firmness	稳固
banausic	实用的
stub	断株
rattlebrained	愚蠢多嘴的
undisturbed	没受到干扰
westward	西部
crop	种植
fleetingly	疾驰地
skinny	似皮
vamper	即席伴奏者
personality	个性
comminjute	分割财产
dry	干
logbook	飞机航程表
nurseling	养子
iran	伊朗
spodumene	锂辉石
canniness	精明
veil	假托
looper	作线环的装置
zoroastrianism	火袄教
saltant	跳跃
forestry	林学
badian	=Barbadian
hummer	发嗡嗡声的东西
unnecessary	不必要的
verecund	害羞的
frequency	频率
iterance	复述
course	流动
oscan	欧斯干人
wizard	有魔力的
actual	实际的
letterweight	镇纸
ruffled	有褶饰边的
taking	捕获
dolorology	痛学
autoptical	实地考察
vapor	水蒸气
pogonip	冻雾
inconducive	无益
wifely	妻的
seminar	研究会
ceramic	陶瓷制品
unpresented	未提出的
carton	硬纸盒
deb	初上舞台的人
jaunce	策马腾跃
downy	丘原的
minty	有薄荷香的
wakefully	提高警觉地
phyllary	叶状苞
msie	Industrial
fixedness	稳固
guesthouse	上等旅社
mithraistic	=Mithraic
jauntily	高兴
hpv	human
fledging	羽毛初长的雏鸟
lorn	孤单的
carefree	不负责
microporosity	微孔率
dysplasia	发育不良
backbiting	中伤
uniaxial	单轴的
duckling	小鸭子
harvesttime	收获季节
dampish	稍湿
exchangeable	可交的
postulate	基本原理
parenthetical	插句的
leptonic	轻子
randomicity	任意性
saturate	使充满
seti	search
truelove	轮叶王孙
templet	样板
libyan	代利比亚语的
fidget	烦躁
expertize	任专家
prosody	韵律学
disquiet	不安
compoundanimal	群体动物
postirradiation	辐照后的
pugwash	conferences帕格沃什会议
malfeasant	贪官污吏
curse	祸根
atheistical	无神论的
cartoner	纸板包装机
mountain	山
vertical	竖向
horntail	树蜂科动物
chance	偶然
jade	绿色
rmb	Renminbi
microsporangiate	小孢子囊
servomechanism	跟踪器
ironmongery	铁器类
amply	详细地
plump	使鼓起
restively	倔强地
diphtheritic	患白喉的
multirole	多作用
plainclothesman	侦探
wham	重打声
orchidaceous	兰花般的
gooky	粘的
aloetic	芦荟制的
precedency	领先
eristic	好争论的
aquiver	兴奋
clausal	分项的
augustan	奥古斯都时代
second	第二者
showroom	陈列室
template	模板
reclassification	重新分类
zeugma	轭式修饰法
mover	行动者
saturnian	土星
twelvefold	十二倍的
unquestioning	不问是非的
unvalued	未评价过
unerringly	正确地
zapu	African
aglare	耀眼
distressful	不幸的
provable	可证明的
sitzmark	滑雪者向后摔倒又坐起后留在雪地上的凹坑
archaize	使具古风
locoplant	洛苛草
britannic	大不列颠
fiery	火
turnstile	十字转门
antiphlogistin	消炎膏
denaturation	改变本性
caulome	茎的结构
ostensible	可公开得
avp	抗病毒程序
bum	乞讨
crispate	卷缩状的
seawater	海水
yh	youth
pruth	=Prut
unimpugned	未受怀疑的
phanerogamous	开花的
divinely	庄严
gearless	无传动装置
war	作战
barbiturism	因过度使用巴比妥酸类药品而引起的慢性中毒
foliate	覆有叶
annealing	退火
unaccountably	不可解释
prohibitor	阻止者
melodious	音调优美的
paraphrasis	变换措辞
sound	合理的
telltale	搬弄是非的
unweary	不疲倦
tricrotic	三重搏的
dissociably	不调和
competitory	竞争的
gdynia	格丁尼亚
episode	插曲
egesta	排泄物
digitate	有趾
aspca	for
benzocaine	苯坐卡因
westernmost	极西的
yhwh	耶和华
nationwide	全国性
factory	制造厂
hatbox	帽盒
nicker	马嘶
exceptant	例外
phosphorolytic	磷酸解
tawse	皮鞭的一种
throwback	大倒退
nonperiodic	非周期的
uneventfully	太平无事地
lacerant	折磨人
pike	矛
designing	有计划
berme	崖径
inconvertibility	不能兑换
phrenetic	精神错乱的
aic	Chemists
lhd	Litterarum
determinatum	被定体
experiential	根据经验的
rarefied	纯净的
choking	窒息
burglarproof	防盗
arsenic	砒霜
luxuriously	奢侈
assamese	阿萨姆
jubilize	欢庆
embosom	围绕
hartshorn	鹿角精
ligate	绑
undereducated	未受良好教育的
crumb	少许
omnisex	包括男性与女性
moorish	摩尔人风格的
overcome	胜过
jerk	肌肉抽搐
mend	加快
pent	被关闭
fond	多情的
distinction	显赫
haustellum	吸器
uncontested	没有人争的
fogfruit	石苋
culpable	有罪
western	西的
blodge	斑点
reflect	反射
gloss	上光于
pliers	老虎钳
margarita	玛格丽塔
yva	Valley
vrm	CPU电压调节组件
hoodlum	阿飞
whirlabout	旋转的
intervallic	音程
nomarch	州长
cool	凉爽
foremost	首要
wader	跋涉者
postcranial	颅下的
pillular	=pilular
uninquiring	缺乏好奇心
antenuptial	结婚前
parallel	并联
cheek	厚颜
astrolater	天体崇拜者
amaryllidaceous	属石蒜科
inextricably	逃不掉地
retroverted	倒退的
reclama	申请复议
disjunct	分离的
impavid	无畏的
zenithward	向天顶
embalm	涂香油于
sphygmoscope	脉膊检视器
respective	各自
undermost	最低的
capsize	倾覆
imagist	意象派
strongpoint	战略要点
flocculi	小叶
trillium	延龄草
brainless	愚笨的
osmidrosis	腋臭
aristocratic	贵族
brand	商标
geomantic	风水
meek	温顺
cosey	安逸
cylindraceous	圆筒状
eccentrically	离开中心
gumptious	机灵的
flagellate	有鞭毛的
radiator	电暖炉
forepaw	前蹄
rga	Artillery
snook	嗅
flavorful	可口
scanty	稀疏的
dalliance	调戏
prow	勇敢的
philippic	痛斥
screeve	告地状
dexter	幸运的
echinoid	海胆属的
fascine	柴捆
thyrsoid	聚伞圆锥花序状的
park	停放
ilk	同类
reinsurance	再保险
pyelonephritis	肾盂肾炎
gravitate	倾向
hebetic	青春期发生的
traitoress	=traitress
crinite	有长软毛的
grandaunt	姑婆
tractate	论文
autotrophic	自给营养的
autecious	=autoecious
featheriness	羽毛状
asyllabic	不成音节的
afl	Federation
petard	爆竹
gruffly	粗暴地
trematode	吸虫
scalar	分等级的
antienzymatic	抗酵素
embryectomy	胚胎切除术
reunify	再联合
umbilici	种脐
bill	给……开帐单
dogmatical	教义
approbate	许可
warrantee	被担保人
vieta	维也塔环形山
bey	土耳其对要人的尊称
