traveling	滑动
crooner	低声唱歌的人或歌手
arrival	到来
chromascope	表示色器
derivational	来
ledge	架状突出物
dab	少量
lucullian	奢侈的
acpi	Configuration
gibus	折叠礼帽
beneficial	有使用权
dizzyingly	灿烂地
anabasis	侵入
arpeggio	琶音
theca	膜
ethnic	异教徒的
discreteness	组件
bulkily	庞大地
divers	种种
aglossal	无舌的
unionize	统一
morgan	摩根马
swiz	欺骗
subhuman	低于人类
wmo	Meteorological
annum	岁
upcast	向上抛的
decongestive	可降低充血
flitter	一掠而过的东西
bursarial	会计员
aching	心痛的
wearproof	防磨损的
biotite	黑云母
image	图象
outdoor	户外的
once	曾经
stabbed	刺
magnesuim	镁
craziness	热中
molecularity	分子性
woad	靛蓝
prelingual	有语言能力前
bargee	粗鲁无礼之人
ambiance	=ambience
flump	砰的摔下
tacitean	简洁且多警句
assyrian	亚述
effectually	有效地
tricentennial	三百年的
ard	respiratory
brd	Deutschland
veritably	真正地
clatter	使卡搭卡搭的响
calendric	历法的
soldier	军人
sittable	自始至终不必离座的
odious	可憎的
insinuative	暗示
multivocal	暧昧
lemongrass	柠檬香草
useless	无益的
annunciatory	可预告作用的
euchromatin	常染色质
decennary	十年间
unscramble	使回复原状
fattener	养肥禽畜者
fluorite	氟石
obtrude	冲出
garran	矮小结实的载重马
neoarsphenamine	新胛凡纳明
empanel	选任
judaize	使成犹太式
volute	螺旋形的
unef	联合国紧急部队
microcrystalline	微晶的
antienzymic	抗酵素
bloom	青春
monocotyledon	单子叶植物
hydrotherapeutic	水疗法的
betacism	音和
successive	继承的
interphase	相间的
cahier	会议记录
lethal	致死因子
stomachic	健胃
assentient	同意的
exheredate	剥夺……的继承权
juncaceous	灯心草科的
resonatory	激起回响的
unbranded	未打上烙印的
grouchy	不满
irenical	和平主义的
applique	嵌花
unjelled	未定形的
delightedly	欣喜
fibber	撒小谎者
livelily	生气勃勃地
acheulian	欧洲旧石器时代早期文化
epixylous	木上生
subjugation	镇压
unweave	解开
outsoar	比……飞得高
edge	镶边
enterozoan	内寄生虫
habacuc	=Habakkuk
fact	事实
synthetically	综合地
knowledgeble	知识丰富
octahedron	八面体
concentrical	共中心
emptying	倒空
corsetry	紧身衣
north	北
discussion	讨论
ramshackle	摇摇欲坠的
spacer	取间隔的装置
soutar	=souter
westwardly	自西
symbolic	象征
enterprise	企业
unreasoningly	不合理
autobiographic	自传作家的//fIkl/
zpg	人口零增长
zorana	佐拉娜
krasnovodsk	克拉斯诺伏斯克
limpwort	=brooklime
quitclaim	放弃权利
ingredient	成分
indistinguishable	/
overawe	威震
co2	dioxide
favorite	中意
zoar	避难所
polyandrous	一妻多夫
associative	联合
spermatozoa	精子
disulfuram	二硫龙
iupap	Applied
creosote	用木馏油处理
emotive	感情
malay	马来人
rawness	生
unreprieved	未缓解的
carpogenic	结果实的
catalytic	接触反应
sirup	糖浆
ductility	展延性
cold	寒冷的
mudbank	泥滩
laryngotracheitis	喉气管炎
kwangchow	见Guangzhou
fallen	落下来
atlantean	Atlas
jouk	闪避
jambe	旁柱
present	给
stump	掘去树桩
crashproof	耐撞的
rdram	Rambus
osfcw	for
footle	说呆话
raucously	粗声地
variocoupler	可变结合器
twinkling	闪动
wtp	Transaction
sententious	警句的
forenotice	预告
kilchu	吉州
surgeoncy	外科医师的职位职位
meander	蜿蜒而流
steamroll	压倒
paralyse	使麻痹
set	Transations
arboreal	乔木
elodea	伊乐藻属植物
latterly	最近
rosabel	罗莎贝尔
candler	烛台
genoese	热那亚人的
absorber	减震器
fashionably	时髦地
yield	收益
anteater	食蚁动物
southeasternmost	极东南
unduly	不正当
reins	感情
lustihood	强壮
playday	非正式比赛
stormy	激烈的
feracious	丰富的
cornelian	红玉髓
colophony	树脂
diarthrosis	动关节
involute	复杂的
tumble	弄乱
eto	Operations欧洲战区
unialgal	单种藻的
beauish	花花公子的
molder	铸工
yielding	易受影响的
photomechanical	照相工艺的
silex	石英玻璃
nematic	向列
acmesthesia	尖锐感觉
reissue	重新发行
orthomorphic	正形的
zymosthenic	促进酵素作用
sixth	第六
advertizing	广告
superconduct	体作用
landon	兰德勒
ovenbird	灶巢鸟
humidifier	湿度调节器
antiparallel	反平行
filibuster	阻碍议案通过
epndb	perceived
obtuse	圆头的
fortyfold	四十倍
piggin	长柄杓
faulted	有缺点
astonishing	可惊异的
typhoidal	伤寒的
antidotal	解毒
airy	空想的
heptode	七极真空管
kilohertz	千赫
haram	女眷
convolvulaceous	旋花科植物
tritural	用于研磨的
edificatory	启迪的
wow	发出叫声
olfactometer	嗅觉计
grille	铁格子
damning	毁灭
reprehension	指责
neuropathist	神经病专家
eec	Community
holocrine	全泌
hypobranchial	鳃下
forfeiter	受没收处分者
toot	嘟嘟声
sceptre	节杖
resuscitable	能恢复
heaviest	重的
vexillology	旗帜学
principial	原始的
nubian	努比亚人
unmeant	偶尔
acronymous	关于首字母缩略字
isoantigen	同族抗原
allmains	适应各种电压
canterer	慢跑者
mastopathy	乳脉病
rightfulness	公正
homebuilt	家里做
kanagawa	神奈川
tubal	输卵管
ither	pro
incubative	孵蛋
annihilationism	灵魂毁胻ical//
breadbasket	胃
hysteric	歇斯底里
sleazy	质地薄的
peculiarly	特别地
caraway	香菜
fuzz	起毛
angled	成角
poll	选举之投票
incongruity	不调和
brazilwood	苏木
mignonne	娇小可爱的
inquisitorial	询问人
unacquainted	不熟悉
cinefilm	电影胶片
madder	人造西草染料
laddie	老弟
housebreaking	行窃
execrative	憎恶的
trunkmaker	制皮箱的人
director	董事
scalloping	海扇贝采集业
muchly	几乎地
risc	Reduced
judicature	司法
intimidatory	威胁的
bubalis	狷羚
dreadful	讨厌的
pretty	机灵
nls	support
aic	美国化学家联合会
aplomb	垂直
slipway	滑台
fogbank	雾堤
touching	动人
osteomalacic	骨软化
strikeless	无罢工
nonprotein	不含蛋白质之物质
inblowing	向内部吹
striated	有条纹的
rototill	用旋耕机耕
emetic	引起呕吐
sebaceous	脂肪过多的
rifampin	=rifampicin
aboveground	未被埋葬地
chloette	克洛埃特
numbered	有限
vacuolate	有液泡的
agricultural	农艺的
tinhorn	华而不实
lethal	致命的
provirus	前病毒
hypergeusesthesia	味觉过敏
outstride	大踏步地走在……的前面
lethargic	瞌睡
towfish	拖鱼
hoatching	挤满
trailing	泥浆彩饰
gap	间隙
reckon	猜想
napoleonist	拿破仑的拥护者
ihram	穿朝圣服时的神圣状态
sharpener	磨具
slopehead	亚洲人
lha	Admiral
evocative	唤起
cymbate	船形的
hypothecate	抵押
infrequence	很少发生
giddily	头晕地
whorled	有涡漩的
catalonia	加泰罗尼亚
simpleminded	头脑简单
bulwark	壁垒
dentition	生齿
radc	Dental
caboodle	堆
osteopathist	正骨医生
baronet	从男爵
retroflex	翻转的
realize	实现
injectant	注入物
soberminded	头脑清醒的
oriflamme	军旗
rebelled	造反
sophomorical	=sophomoric
grid	栅格
asshur	=Ashur
cryptoanalysis	密码分析学
indelicacy	粗俗
wire	金属丝制
gangrenopsis	走马疳
remit	缓和
claimer	申请者
eel	蛇形鱼类
riskiness	富有冒险性的事
barker	杂耍、戏院前叫喊招揽观众的人
copyreader	校订人
accessary	同谋的
ruffly	起波纹的
fluky	侥幸的
shoreless	没有陆地的
swift	快
locator	表示位置之物
anticatalyst	抗化剂
transpositive	移调
hahnemannian	哈内曼疗法
discrepancy	相差
latigo	马鞍上的皮带
vicariance	地理分隔
owi	Office
aventall	=ventail
impendency	迫切
stentorian	声音洪亮的
hexanitrate	六硝酸盐化合物
gradient	坡度
uncondemned	未被判罪的
hexabasic	六碱的
dyke	女子同性恋者
broadside	全面
acacia	阿拉伯树胶
fumaric	反丁烯二酸的
trichloromethane	=chloroform
dissector	解剖学家
arrect	倾耳注意的
gem	被喜爱的人
freethinking	自由思想
occultism	神秘主义
friend	助手
cretinoid	矮呆子样的
wheeled	用轮子行走
wins	Internet名称服务
pled	plead的过去式及过去分词
cellulase	纤维素酶
tease	取笑
sanhedrin	古犹太最高评议会兼最高法院
epistoler	举行圣餐时朗读使徒书之人
warmly	热烈
scalding	尖刻的
dissolution	解散
rhodesoid	罗得西亚化石人的
parnassian	希腊帕纳塞斯山的
windup	结尾
postvaccinal	种牛痘后的
endearment	钟爱
unforgettable	令人难忘的
unpublicized	未公布
idea	念头
ring	环
counterorder	逆命令
viny	象葡萄树的
erzgebirge	Erz(即克鲁什涅山脉
skillful	制作精巧
iskenderon	伊斯肯德仑
coz	表兄弟姊妹
exegetical	评释的
melodia	笛管音栓
indebted	感恩
witchetty	木蠹蛾幼虫
unbalanced	收支不平衡
chimp	黑猩猩
exotic	外来的
druidic	督伊德教的
aureate	镀金
fringlish	法国式英语
idly	空闲地
successive	继承
stealing	偷垒
acerb	酸涩
assign	将驱动器符重定向至第二个驱动器符
protest	断言抗议
daywork	日工
wistaria	紫藤
aberrant	异常的
crumble	面包屑
labber	濡湿之人
griddle	煎饼用浅锅
dia	Agency国防情报局
rosarian	玫瑰花鉴赏家
unequally	不公平地
trellis	格子
erstwhile	往昔的
sab	Advisory
toddle	东倒西歪的走路
polska	=Poland
discerning	有辨识能力
best	最好
bank	浅滩
federally	在联邦政府一级
solon	议员
nonbank	非银行
likely	有希望
marrowbone	动物髓骨
bountiful	宽大的
agedly	老态龙钟
dexiotropic	右旋的
mind	介意
guanin	鸟嘌呤
amerasian	美亚混血
pstn	network
involucrate	有总苞的
subpolar	近极的
vagueness	暧昧
irresistible	不可抵抗的
milimetre	千米
unfoiled	未受阻
healthy	健壮
vehicle	媒介物
clank	叮当声
puling	哀诉的
everyday	每天的
cognation	同族
exhortative	劝告的
irrespective	无关的
trump	喇叭
cowhearted	怯懦的
genitival	属格形
trend	通向
hammer	铁锤
character	性格
ciliary	毛状
embolic	栓子
enlighten	照耀
handmade	手工
nondescript	无特征
touchback	持球触
audacious	大胆的
pied	杂色
totally	整全地
mihrab	米哈拉布
effulgence	光辉
board	木板
apophyge	蜗牛形柱墩
cher	谢尔河
dravidian	德拉威人
restriction	限制
fortnightly	每两周的
roachback	弓背
heap	许多
msp	Protocol
sparsely	稀疏地
crested	有冠毛
regnum	统治期间
through	穿过
gleichschaltung	一体化
wetback	"湿背人"
sea	大量
bvds	内衣
riazan	=Ryazan
filtrability	过滤性
satyr	好色之徒
covered	有屋顶
mbfr	and
landship	陆地上供训练用的船
bifurcate	分叉
dependency	依靠
shipwreck	遇难
perch	栖木
depletory	放血的
enmity	憎恨
formulization	用公式表示
convolvulaceous	旋花科植物的
lydian	吕底亚的
superpersonal	超个人
lurch	惨败
kayak	爱斯基摩人用的皮船
enregiment	把……编成联队
yank	拔
corbie	乌鸦
aeruginous	绿青色的
helot	古斯巴达奴隶
gastric	胃的
telefacsimile	电话传真
alehouse	酒馆
frugally	节约地
vespine	大胡蜂
itn	News独立电视新闻公司
netkeeper	=goalkeeper
meclozine	敏克静
eolian	风
impugnable	可责难的
pyronine	焦宁
cavate	形成山洞的
cep	Probablity
translatory	平动的
trimetrical	有三音步
pretend	伪称
adventuresome	冒险性
hamulate	弯曲的
trieteric	一次的
querulously	易怒
monoacidic	一元的
cyclohexylamine	环己胺
distemperedness	紊乱
inferior	下等
mattamore	地下仓库
horsemint	香蜂草属植物
seminiferous	输送精子的
rhabdomyosarcoma	横纹肌肉瘤
expellee	被逐出国外者
moschatel	五福花
prickly	多刺的
crown	王冠
noxious	有害
patina	古色
neuroleptic	安定药
fos	steamer
average	平均为
kindly	和善的
dress	衣服
scenic	风景影片
coindication	征兆之一
distant	疏远
electro	电版
dipteral	双翅类的
relique	纪念品
chatty	爱讲闲话的
pouch	成袋状
tease	强求
kuching	古晋
trichroic	三色
antler	茸角
broil	烤
ravenous	渴望
aramaic	亚拉姆语
irrevocable	不能取消
biramose	具二枝的
cockaigne	伦敦及其近郊
staphylococcal	葡萄球菌的
nonnasally	非鼻
affinitive	关系紧密
wolfish	豺狼般
run	开动
fluid	可另派用场
declaratory	公布
reeducate	重新教育
supralittoral	岸上的
bum	流浪
resister	抵抗者
exotic	异国情调的
helpfully	有用
croquignole	化学烫发法
opengl	开放式三维图形库
kench	腌渍箱
leal	忠实
ochlocratic	暴民政治
abet	支持
baudelairean	波德莱尔式
jar	不一致
gray	老的
gradient	倾斜度
miracle	奇迹
force	影响力
appeasable	平息得了
sprint	美国著名的通讯公司
sanguine	指望
vinaigrette	香料嗅瓶
swellhead	自大者
fossorial	适于掘
altisonant	冠冕堂皇的
unreversed	不相反的
whaling	捕鲸
suave	温和
interknot	把……结在一起
stand	经受
maternity	母性
natively	天然
erection	竖起
hope	期待
afflict	折磨
pesach	=Pesah
dropsy	水肿
lumpfish	圆鳍鱼料
autogamy	自体受精
autofining	精制
castle	城堡
miee	电机工程师协会会员
attainments	造诣
lacteous	乳状
answer	响应
nlrb	国家劳资关系委员会
ardent	激烈
lop	下垂
macrostylous	具长花柱
lain	lie的过去分词
larghettos	稍慢乐节
iridocyclitis	虹膜睫状体炎
xeroform	塞罗仿
fat	油腻
backing	援助
egg	鸡蛋
risc	精简指令集计算机
tyrolean	提洛尔人
ingurgitate	狼吞虎咽
septicaemic	败血病的
wake	尾迹
higgle	讨价还价
deathtrap	危险的地方
tangent	相切
hagiarchy	圣人政治
staphyloma	葡萄肿
boxroom	收藏室
aberdevine	金翅雀
foolproof	十分简单的
nomistic	以经典中之法则为基础的
grisly	恐怖的
incessant	不断的
knurly	多节的
respect	敬重
icebound	冰封的
unsharp	钝的
naeb	全国教育播音员协会
sacrosciatic	骶骨坐骨
coshery	免费招待
runtish	发育不良的
feodal	封建的
cardioverter	心律转变器
indexed	与生活指数挂钩
crablike	似蟹
rife	普遍
chuckwalla	大型蜥蜴
mowing	牧草地
winter	过冬
predate	居先
incretory	内分泌
bismuthic	含五价铋
dazzling	耀眼的
eurocapital	欧洲资本
bpi	per
underpopulation	人口不足
roadhead	路端
impotence	虚弱
naggish	劣等
regard	当作
racemiform	总状花序形的
renunciative	脱离关系的
zoophysics	动物物理学
remarkable	非凡的
underserved	服务不周到
iaea	International
lagger	懒散的人
mohammedan	穆罕默德的
multifarious	各式各样
conversationist	有口才的人
wpc	Constable
kedron	=Kidron
fractional	分数
ultimate	最后的
deweyite	杜威哲学思想研究者
pull	拖
incomplete	不完全
sinhala	僧伽罗语
uar	Arab
australorp	澳洲黑
fucose	海藻糖
wash	被冲蚀
trailside	沿山路的
collet	宝石座
ringing	铃声
porkpie	猪肉饼
merosymmetrical	=merohedral
magnification	放大倍率
allocution	训示
missileman	发射者
grading	坡度缓和
hatching	阴影
diplomatic	老练
sassy	失礼
incurably	治不好地
inlier	内窗层
make	获得
cussed	该诅咒的
unbuttoned	解开钮扣的
sheeny	光亮的
plumpy	丰满的
cauterant	腐蚀的
exceeding	过度的
bice	灰蓝色
endoderm	内胚叶
gigman	有二轮自用马车的人
loosen	解开
peg	桩
absolute	完全的
bronze	青铜色的
vern	弗恩
dissentious	争吵的
warring	敌对的
secam	Couleur
scissile	易切断的
domicile	定居
compendiary	简明
lixivial	碱汁
nanette	纳内特
cottonwood	棉白杨
ululant	哀鸣
reppo	depple
rascal	下贱的
relaxative	有缓和作用的
chemiluminescnet	化合光
pontifical	罗马教皇的
tepid	不太热烈
paraparesis	下肢轻瘫
availably	有效地
frisco	=San
pdsa	for
cnn	美国有线新闻网络
suggested	暗示的
gazette	报纸
guisard	化装的人
classically	古典主义地
put	迫使
initiate	开始
iaf	Astronautical
unwarily	不注意的
flq	du
bronchogenic	产生于支气管的
fallol	矫饰的
aiff	Format
eutectoid	类低共熔体的
lcp	Craft
emphatic	断然的
deterrable	可威慑住的
unaccounted	未解释
urgently	急切地
kaki	亚洲柿树
cosmopolitism	世界主义
unmatched	无匹敌
refurnish	重新装备
grubstreet	文丐作品式的
pob	邮局信箱
quarrelsome	喜欢吵架
iberian	古代伊比利亚人
ampholyte	两性电解质
clinique	诊所
accounts	帐号
iconographic	肖像学
deniable	可否认
stalactiform	钟乳石状
dropout	退学学生
hurdle	障碍
housemaster	舍监
crispy	易碎
crofting	日光漂白
giddy	头晕
embalm	铭记于心
congealer	冷藏器
diligently	勤勉地
brigadier	陆军准将
relative	亲缘植物
machair	沿岸沙质低地
malleolar	踝
reaphook	弯月刀
phylactic	防护的
linn	绝壁
laryngoscopic	喉镜检查
uneven	不平坦
trapezius	斜方肌
annoyingly	恼人
finery	装饰
logical	合理
housemaid	女仆
shroud	遮蔽
direct	直接地
rebop	早期之爵士乐
forested	被森林所覆盖
lurch	举步蹒跚
con	精读
nocent	伤害的
preceding	前述
loosen	松开
hayes	贺氏公司
escort	护卫队
giver	送礼者
inseparability	不可分离性
unworthy	不值
nosogenetic	发病原理
excusatory	辩解
mlf	多边核力量
nicotine	烟碱
adjuratory	恳求
coonskin	浣熊皮的
demoded	不合时宜
kgps	kilograms
tumorous	浮华的
manual	手册的
computistical	经统计计算
precis	摘要
parliamentarian	国会议员
after	模仿
ammoniate	氨化合物
realizable	可实现
yike	争论
pandanaceous	露兜树科的
charpoy	印度轻便床
paricutin	帕里库廷火山
pignut	花生米
penicillinase	青霉素酶
acetification	醋化
unearned	自然得到的
enroll	成为成员
basketry	篮筐
obedience	顺从
aapss	Social
wrapping	包装材料
tethyan	古地中海的
videoconference	视频会议
euhemerus	犹希迈罗斯
uppie	兴奋剂
unfirm	不牢靠的
unclos	Law
pierce	刺穿
ko	将……击倒
aic	Institute
unprincipled	不道德
hierurgy	礼拜
delphian	暧昧的
oeec	for
slavism	斯拉夫语气
unnecessary	不必要
cancered	患癌症
faintish	微弱的
postbase	词根后语素
autoclave	高压灭菌器
tap	轻敲
estonian	爱沙尼亚人
catface	表面呈现的凹凸
udag	Grant
barbarous	野蛮的
godparent	教父或教母
reminder	暗示
wilderness	茫茫一片
castoreum	海狸香
indiscriminating	不区别
deterrable	可防止的
noaa	National
scallop	扇贝
finick	吹毛求疵
concentrical	集中的
overtook	overtake的过去式
poundage	监禁
rewardless	徒劳
wired	以铁丝围起的
drooping	无力的
glance	一瞥
highland	高地
featherlike	轻如羽毛的
ancestral	祖传
archduchy	大公的地位
eutrophic	发育营养正常促进剂
supine	向后靠
clearly	明显地
huckster	叫卖
clangorous	响亮的
joint	接合点
aperiodic	非周期
shaky	震动的
apologist	辩证者
refasten	再次稳固
parlous	精明的
unpropertied	无产的
laxatively	放肆
atypical	非典型
korean	韩国语
novelize	使小说化
acoasm	幻觉
de	表面刻蚀
lioncel	小狮
blackamoor	皮肤黑的人
vmi	弗吉尼亚军事学院
upwell	上涌
bibliofilm	显微胶片
heavenly	神圣的
piezometric	量压
discreditable	丢脸的
cryptosystem	密码系统
variceal	静脉曲张
cobbler	工匠
intension	紧张
testaceous	介壳的
gloriette	亭子
heap	大量
thuswise	如此
flocky	毛茸茸的
gluttonous	饕餮的
fat	在……中加入脂肪
diluent	稀释的
lanceolated	披针形的
gur	=Voltaic
sittwe	实兑(即阿恰布
passementerie	珠缀
iconoclasm	破坏偶像得理论
apparel	衣服
freedwoman	自由妇女
clericalism	教权主义
alastrim	亚天花
implantation	灌输
bannerol	葬旗
degression	递减
handraulic	手力的
pinwheel	纸风车
cyrtostyle	柱子呈外突弧状排列的
prelicense	领取执照前的
pilot	领航
gallinule	n
overperform	偏离乐谱演奏
bonami	情郎
geology	地质学
syce	马夫
accidentalist	偶然论者
vengeful	复仇心重的
intercourse	交往
unreasonably	不合理
cowfish	角鱼
requote	对重报牌价
grasping	握的
hapless	不幸的
urgent	急迫
culture	文化
acinaceous	多子的
dogmatics	教理论
seamost	最靠近海的
putrefiable	会腐烂
latent	隐藏的
bland	乏味的
taboo	禁忌的
devotion	热爱
irrepealable	不可撤销的
kassel	卡塞尔
glanderous	鼻疽病的
segregator	分离器
bellbird	铃鸟
inpouring	注入
unitholder	单位信托证券持有者
penumbral	日月半影的
beamingly	喜气
crosspatch	脾气乖戾之人
alluvion	沙洲
uri	统一资源标识符
frigidarium	保持低温的房间
tranship	换船
ambiquity	含糊性
nematicidal	杀线虫的
cicatrize	生成瘢痕
phylloid	叶状
cowson	狗养的
bullous	大泡的
spikelet	小穗
gametophore	配子托
mingy	吝啬的
mtu	unit
quarterly	每季的
sambur	黑鹿
kate	的昵称
thrasonical	吹牛的
upcropping	生长
reason	前提
sun	太阳
fermentative	促起发酵的
mechanization	机动化
holidayer	度假者
thankfully	感谢地
cyetic	怀孕的
psychologist	心理学者
chowmatistic	理财
cureless	不能救济的
townish	城镇
mlg	Middle
byway	小道
embroidery	刺绣品
fulminating	呵斥的
sabotage	阴谋破坏
scout	嘲笑
spissitude	浓
retrospectively	回顾
meditate	沉思
extent	区域
formicivorous	食蚂蚁的
hepatobiliary	肝胆的
fricative	摩擦音
phs	Service公共卫生署
quirkiness	离奇
innocency	无罪
shippable	可装运的
circumfluent	周流
copernican	哥白尼
wildwood	自然林
etymon	字的原形
voodoo	伏都教徒
overshoot	射击越标
picked	摘下
plasmapheresis	血浆除去法
lithostratigraphic	岩石层窝У
carrion	吃腐肉
interauthority	当局之间的
hpv	人乳头状瘤病毒
logogram	简写
gcf	greatest
fallen	伏地的
indiscernible	难识别
eventful	变故多的
dreamful	梦多
pullus	雏鸟
buddy	密友
cithara	类似竖琴的乐器
temple	教堂
stub	树桩
circularize	分发民意测验单
introduce	提出
coptic	埃及古语
uncondemned	未被判罪
ethnography	人种学
pure	纯
current	水流
elizabethan	伊丽莎白一世时代的
bardic	吟游诗人的
semimoist	微潮的
seaweed	海藻
dobie	=adobe
fantasticate	使变得怪谬
autointoxicant	自体毒物
dealt	deal的过去式和过去分词
comique	滑稽角色
ial	Internationl
aggressive	好斗的
sclaff	轻拍
dreamy	梦想的
recollected	沉思默想
isochromatic	等色
filicoid	羊齿状的植物
sampan	舢板
procession	队伍
garda	Lake加尔达湖
primarily	主要地
idolatrous	盲目崇拜
timid	胆小
stray	迷路的
spikelet	小穗状花序
eds	Society英语方言学会
nom	Nominative主格
cellulosic	有纤维质
financial	金融
corrupt	误用
clearheaded	头脑清楚
corrodent	刻毒的
wicked	邪恶
slack	家常裤
indisposition	不愿意
pudendum	外阴
notehead	小型的印有抬头的信笺
hii	Insurance
people	人类
kingcraft	王道
water	含水
rhyolite	流纹岩
reassumption	再假定
theftproof	防盗
moray	海鳗
psro	professional
muscleless	无肌肉
irrationalism	不合理的思想
surrender	交出
dorset	lst
scandia	氧化钪
stateside	美国
symbolic	符号的
firth	峡湾
charm	吸引力
firenet	安全网
crankily	摇晃不定地
crummie	母牛
dispart	分离
pictographic	象形文字
allo	同分异构
emblement	庄稼
total	全部的
isker	=Iskar
caveat	警告
isoelastic	等弹性的
forsworn	forswear的过去分词
phlegmatical	粘液质
mpm	米[分
crissa	的复数
who	pro
loud	高声的
burnout	燃尽
sweetheart	私下签定
nuts	发狂
maternal	母亲的
rumor	流言
toreutic	金属浮雕
contemporaneous	同时期的
mammiferous	有乳房
patriarchic	=patriarchal
wealthily	富有
formalism	形式主义
scraggy	瘦弱
centralized	中央集权的
misclassify	对……进行错误的分类
essential	实质的
tumular	冢
earnings	所得
standby	可以信任的人
plait	把……打成辫
housecraft	家政学
immunoglobulin	免疫球蛋白
scolopoid	=scolopophorous
qcd	chromodynamics
goluptious	好吃的
inadmissibility	难承认的事
seaward	向海那一边
unsuspicious	无猜疑
outclearing	银行经票据交换所交换后应收入的总额
enormity	暴行
cardplayer	玩牌的人
obsecrate	恳求
refection	点心
slow	不活跃的
barrathea	=barathea
quotha	真的!
disputability	有讨论余
nizam	印度
somnial	睡梦中
waxy	苍白的
throat	开沟于
interlocutress	女对话者
rabbi	拉比
sole	脚底
overturn	毁灭
fog	被雾笼罩
thin	微弱地
actual	目前的
distrait	心不在焉的
fictioneering	小说写作
puzzlepated	思想混乱
reflet	光彩
baltimore	美国马里兰州的一城市
grewsome	可怕
mutinous	暴动的
utopia	乌托邦
rendering	透视图
thickset	稠密
napery	餐桌用布
rostrate	有喙状突起的
vtc	3D纹理纹理压缩格式
polygamize	实行多配偶制
blasphemy	亵渎
polypod	多足的
keir	漂染缸
exhaustive	彻底
plexal	丛
lamely	不完全地
arbitrament	裁决
inductively	归纳
versatile	多才多艺的
deactivate	使不活动
orthicon	正析
gigue	吉格
biannulate	有二环纹
moste	mote过去式
cog	嵌齿
crambo	韵语
command	支配
assentient	赞同的
iced	冰冻的
sideroblast	铁粒幼红细胞
thaumaturge	奇术士
budding	发育的
bergschrund	冰河上端的裂缝
chemolysis	化学分析
archaeological	考古学
oxacillin	苯甲异噁唑青霉素
cancha	斗鸡场
outer	远离中心
varicellate	具有小螺层隆起
generic	一般的
gruesomely	可怖地
phytocidal	除莠的
picture	美景
inversion	倒置
nefandous	说不出口
flinch	退缩
trick	欺骗
monoestrous	一次发情期
beachnik	整天在海滨游逛的人
haligonian	哈利法克斯居民
bumble	大错误
mobile	易变
somniloquism	=somniloquy
pyramidal	金字塔形
though	虽然
trisomic	二倍加一
kinaesthetic	运动感觉的
elizabethan	伊丽莎白女王的
remodify	重新修改
obtain	获
dispersion	传播
nom	nominal名义上
shoulder	承当
hudson	New
jackleg	不正直
appear	出版
extinctive	使消灭的
aeolian	风神
thermomechanical	热机械的
scraping	刮削下的碎屑
spa	游乐胜地
exalbuminous	无胚乳的
priceless	极贵重的
bagman	推销员
rubbedy	旅馆
crust	外壳
luminance	亮度
etruscan	伊特鲁里亚人的
streaky	有斑点的
unfitted	不合适
omnisexual	全性的
repressive	压抑
toluidide	=toluide
plasmoid	等离子粒团
reincarnate	赋予新肉体
alphahelical	单螺旋结构
bronco	野马
washrag	毛巾
menelaus	斯巴达王
nutritional	滋养的
leptophyllous	叶片狭长
front	前线
yquem	依奎姆葡萄酒
blunderingly	浮躁
programmer	程序师
leaning	清洁
elfish	好恶作剧
socage	农役租佃
seer	预言家
shapable	可成形
splodgy	有污垢
unheard	未被倾听
resplendent	灿烂
latvian	拉脱维亚的
outside	在……外
deformalize	使不拘礼节
abm	Balanced
universalise	=universalize
embryotic	未成熟的
sniffy	嗤之以鼻
crump	炸弹
protuberate	隆起
buttonhole	钮扣孔
hypocoristic	昵称的
netherward	向下方
makuta	的复数
flaringly	摇曳燃烧地
piscatorial	渔业
layperson	=layman
rhizomatous	地下茎的
calyciform	萼状的
desiccated	粉状
disquietingly	令人心烦地
nakedly	露出
grebe	一种鸟
sentimentalize	伤感
drowse	困
nanking	南京
distribution	区分
abiogeny	自然发生
skulduggery	作假
tranquillo	安静
schoolmaster	教师
instance	举……为例
farfamed	威名远播
demilance	短矛骑士
mouthbreeder	口育鱼
pyosalpinx	输卵管积脓
fetiparous	胎儿未发育完就生产
riverside	河畔
seminary	发源
hydrophilic	亲水
passel	一批
uranium	铀
pyopneumothorax	脓气胸
fore	在前
euclidean	欧几里得几何学
fritillaria	贝母
marcel	烫发
saintpaulia	=African
mean	平均数
twiggy	多细枝
curette	耳挖
wosa	Open
sapient	有见识的
goofy	愚笨
dumbbell	笨蛋
serpentarium	蛇类展出馆
irksome	令人厌恶的
familiarly	精通地
oxidative	具有氧化特性的
bob	剪短
superior	较高
rugged	有皱纹的
autosome	正染色体
algatron	藻类培养装置
health	兴旺
phosphorism	慢性磷中毒
grewsome	可怕的
jumpy	神经质
thuriferous	燃烧时散发芳香
plywood	夹板
parch	焦干
chord	情绪
fix	安装
crocket	卷叶花样或花形的浮雕
isogenesis	同式发育
chomp	切齿
masty	不易解决
incontrollably	不能支配
alien	相异
keresan	=Keres
superb	极好
fluorinate	使与氟素化合
mammonism	贪财
rare	杰出
bifilar	双丝的
zho	=dzo
gppm	Page
its	它
bracteole	小苞片
salesian	方济各·撒肋爵的信徒
cytherea	维纳斯女神
unmitigated	未缓和的
trio	三重唱
unsuspecting	不怀疑的
impedient	障碍
unedified	未受教化
peshitta	伯西托本
pine	渴望
