unknown	不知名的
supportability	可支持
taint	污点
lollypop	棒棒糖
sigmatropic	单键转移的
bohr	波尔
phototypy	凸版照相术
tutti	合唱
hilt	刀把
intentional	有意图
phrenitis	谵妄
bestow	安放
sermonesque	讲道
ranker	出身行伍的军官
sigmatropic	单键转移
gonorrhea	淋病
utricle	小胞
ata	高级技术附件
comprehensible	易于了解的
levee	防洪堤
champion	拥护
miswrite	写错
qr	rook
peenge	抱怨
monopolistic	专利
embalmment	薰香
reentrant	再进去的
kirigami	剪纸艺术
cutis	真皮
thermidor	热月
jointly	连带地
kook	愚蠢
spadable	可铲掘的
fibrillous	纤维状
innervate	促使活动
leftism	急进主义
crepuscular	拂晓
agminate	成群
barelegged	没有穿袜子
razzle	眼花缭乱
dreamful	常易梦见的
departure	出发
lateralization	偏侧性
exorcise	除怪
unclouded	晴朗
awshucks	质朴无华的
hydrosere	水生演替系列
timecard	工作时间记录卡
rally	集会
confoundedly	恼人地
bba	business
licet	那是合法
distinction	声望
restaurateur	饭店主人
upswept	向上斜的
wellingtonian	威灵顿
adjuvant	助理员
loser	输者
cinematics	电影艺术
exfiltrate	溜出敌军阵
honied	甜如蜜的
treat	宴请
tagmemicist	序位学家
unheroic	胆怯的
justificatory	起辩护作用
stearine	硬脂
superjacent	在上的
hatless	不戴帽子的
gravelly	铺有碎石
threadworm	蛲虫
uncle	伯父
ost	of
nyt	Times
namely	也就是
tew	战术预警
liaison	联络
sbn	Number
quadrivial	四路交叉
riverside	河岸
fissure	裂沟
preignition	提前点火
fabled	寓言中
plasmoid	等离子体团
colonnaded	有列柱的
ditto	与前同
ips	second
screed	冗长的句子
repentant	有悔改表现
geriatric	老年医学的
heritor	嗣子
gray	广告商的
profligate	肆意挥霍
enculturative	使适应某种文化
unobservant	不遵守
eonian	永远的
isomerization	异构化
lolly	棒棒糖
subchairman	副主席
proof	试验
microcosmic	微观宇宙
urinose	尿
unsung	未赞颂的
doctrinal	学说的
nannoplankton	微型浮游生物
uri	Identifier
amuse	使愉快
wiredrawn	太琐碎
urgent	紧急的
calif	哈里发
titaniferous	产钛的
stage	筹备
autography	亲笔
fleece	诈取
basehearted	性情卑鄙
peenge	发牢骚
norwards	往北地
reentrant	凹角的
frowsty	闷的
msee	Science
monumental	非常
inner	内部
decongestive	可降低充血的
ephemeris	短命的东西
fastigiate	倾斜
merry	欢乐的
cdma2000	Multiple
armour	装甲部队
lienal	脾
ramona	拉蒙纳
slothfulness	懒惰
smtp	Protocol
distressing	使痛苦
cos	余弦
pseudomemory	记忆错误
formation	编队
washery	洗涤处
unescorted	无人陪同的
bountifully	慷慨
retardance	迟缓
waterbrain	=gid
reprehensible	应斥责的
monarchic	国王的
actomyosin	肌纤凝蛋白
stymie	妨碍球
twinge	如刺一样痛
anapestic	短短长格
abstractionism	抽象派艺术
egotistical	自我本位的
surfmanship	凌波舟驾驶技巧
crosscourt	斜线
fan	迷
oecd	Development
superb	堂堂
minus	负的
zwieback	烤干面包
descensive	下降的
inexpressive	缺乏表情
palaestra	角力学校
corporative	社团
fecal	糟粕的
autocratic	独裁
erasure	记号等
chartered	受特许的
irruption	侵入
tawny	茶色
kennetic	认知的
literalness	文字的
disemploy	开除
ribosomal	核醣体的
promotee	被提升者
oos	Out
zymosan	酵母聚糖
bradycardia	心搏徐缓
racemulose	串状排列的
filmgoer	常看电影的人
exterminatory	有根绝作用
cytoplasm	细胞质
separate	单独的
kaonic	含有K介子
state	情形
oscinine	鸣禽类的
ornithischian	鸟臀目恐龙
wonsan	元山
rowdedowdy	=rowdydowdy
eventual	结局的
klipdas	野兔
dastardliness	懦弱的行为
scorzonera	鸦葱
lah	6
yarak	强健
razorback	剃刀鲸
knockabout	粗造
argot	暗号
ideaed	主意多的
incorporeal	无实体
karelian	卡累利阿人
infirmity	衰弱
emancipatory	解放
discommodity	麻烦
unattended	没人照顾
yagi	引向反射天线
chafferer	恶作剧者
zn	元素锌的符号
sourcebook	原始资料
strikethrough	删除线
maternal	母性
mutafacient	诱变
banality	陈腐
colonnaded	有柱廊的
solanum	茄属植物
jouk	躲避
reflector	反射镜
languishing	渴望
awry	歪曲的
tartness	酸
noplaceville	偏僻小镇
repeated	再三的
multilateral	多国的
braincase	脑壳
mizzle	蒙蒙细雨
viny	象葡萄树
oogamous	卵配生殖
cither	齐特拉琴
tidily	整洁地
affright	惊吓
lame	僵痛的
maytime	五月时节
phytol	叶绿醇
dimply	有凹处的
explode	使爆炸
ventage	小孔
believing	有信仰
imprecise	不精确
flyaway	宽大不合身的衣服
circumscissile	周裂
guilt	内疚
rabbiteye	兔眼乌饭树
poloist	马球比赛者
contempt	不尊敬
ergodic	各态历经
filter	筛选
eurocrat	欧洲共同市场的官员或职员
stubbed	残断
guesthouse	宾馆
macroptic	患视物显大症
moorhen	雌苏格兰雷鸟
fetter	脚镣
anticatarrhal	抗卡他的
czarina	沙皇皇后
teacup	茶杯
peradventure	可能
exudation	渗出物
posterize	多色调分色印
synovial	分泌滑液的
gnn	全球网络导航器
pulverulent	满是粉
confiscable	可没收
modulo	以……为模
civil	民间
excursion	短程旅行
result	以……为结果
moll	Mary
semilustrous	略有光泽的
vaginated	有叶鞘
paper	用纸糊
asternal	不连胸骨的
lectin	植物血凝素
egg	怂恿
vaaljapie	劣质新酒
geitonogamy	同株授粉
stow	装载
monovalent	仅能抵抗某种病菌
jeeringly	嘲弄
angel	天使
northwestward	向西北
pubescent	思春期的
underhand	秘密
msha	of
slipslop	无味的
freehand	凭手画的
drawsheet	抽单
schizont	裂殖体
biter	咬人的动物
succedaneous	替代
entirety	完全
telemetric	遥感勘测的
spaewife	女术士
interchange	交换
souse	扑通地一声
brocaded	穿锦缎的
please	使喜欢
fall	瀑布
killing	使人疲乏的
more	大大高于
capsicum	辣椒
rsv	Version
impressibility	易感动
simper	假笑着说
estrepe	浪费
assumption	假装
retail	以零售方式
axunge	猪油
exhaust	用不完的
allowance	允许
centralist	中央集权主义者
pressure	强制
polysaccharid	多醣
axenic	无菌
contributing	贡献的
nonfiltered	没有过滤嘴的
mephistophelean	险恶而狡猾的
torment	痛苦
irksome	令人厌烦
baltic	波罗的海诸国
multiracial	多民族
thessaloniki	=Salonika
woman	使成女人腔
withershins	逆时针方向
premeditated	预谋
raca	一文不值
cauterant	腐蚀剂
restart	重新启动
octocentenary	800年
failingly	似将断绝地
radicant	从茎部生根
rustler	积极分子
coccid	介壳虫
invocation	祈祷
logion	名言
sitomania	贪食症
dianetic	排除有害印象精神治疗法
sublattice	子格
vine	藤
sangfroid	冷静
reconstructed	改造
poussie	小猫
sib	近亲的
auramine	金胺
appendices	appendix的复数
hitlerian	希特勒
slimmish	稍为苗条
thunderbolt	霹雳
micell	=micelle
radioactive	有辐射能的
antalkali	碱性中和剂
megadyne	兆达因
dinkum	可靠
queuetopia	到处排长队的社会
dvd	数字光盘
quadrillionth	千万亿分之一
respect	尊敬
fancydan	华而不实的
excruciation	酷刑
forethoughtful	adly//
clothe	给……穿衣
polemical	辩论法
fordless	没有浅滩
lpn	Licensed
mass	大多数
whorl	螺纹
beckoning	引诱人的
nocturnality	夜间活动的习惯
dissipator	浪子
dowel	销子
schuss	高速直线滑雪
scramble	拼凑
wordily	唠叨
rite	礼拜式
wired	以铁丝围起
psychotic	精神病的
complacence	自满
vagotonia	迷走神经紧张
eriophyllous	叶上有绒毛
apt	有……倾向
cantonment	宿营
ecstatically	入神
gleam	一丝光线
cyathiform	杯形的
catalyst	催化剂
underabundant	不够富裕的
slablike	平板状
lathy	板条似的
latu	lat的复数
nitroso	亚硝基
knob	使有球形突出物
actuation	刺激
ciliiform	a
inextirpable	无法根除的
muteness	哑
johnstown	约翰斯敦
scandinavian	斯堪的纳维亚人
dystopian	反面乌托邦
serviceability	有用性
armourial	纹章的
unshakeable	坚定不移的
voltolization	高电压处理
autotomy	自割
waver	摇曳
redbrick	新大学
biogeocoenosis	生物地理群落
agamous	无性生殖
shaker	混合器
stygian	阴暗
party	社交会
banquet	宴会
urc	Uniform
acceptant	容易接受的
dlp	Light
recital	背诵
reprovingly	责难地
decapacitation	除能
lit	light的过去式及过去分词
basilica	长方形会堂
lateritic	含有红土
blastissimo	极强
primiparous	初产的
dinner	宴会
pulverization	粉碎
aetatis	在……岁时
afterschool	课外的
roxana	罗克珊娜
windsail	风车之翼
dirtiness	污秽
gradation	分等级
flaunty	虚华
pourable	可倾倒
multichain	多链的
sneaky	鬼祟
disguise	假装
bargain	合同
gallican	教宗权制限主义派
cornily	带乡下味地
adipose	肥胖的
paunch	腹
painfully	痛苦
bored	无趣
hornpipe	角笛舞
gdmo	for
wifie	=wife
gene	吉恩
breadless	无面包
neurohypophyseal	垂体神经部
midiskirt	中长裙
bechic	镇咳
sailfish	旗鱼
changeful	不稳定
produce	招致
vacuum	利用真空的
capitoline	古罗马的七个山丘之一
heterecious	=heteroecious
correctional	修正
venezuelan	委内瑞拉人的
colourless	乏味的
navar	指挥飞行的雷达系统
intervenient	介于其间
cristated	有冠的
appoint	任命
fissureless	无裂缝
menstrual	一月一次的
besmear	涂
spillover	外流人口
hetaera	妾
hurtlingly	疾驰地
modestly	谨慎地
autoimmunization	自身免疫作用
prognose	预测
jerboa	跳鼠
quick	活泼
saintship	圣徒的地位及品格
dropping	兽粪
oaec	Asian
sweetener	甜味佐料
semiarid	半干旱
illustrational	例证的
uscgr	Guard
nantes	南特
maidy	小女孩
unfreeze	融化
spine	剌
hypnos	许普诺斯
slantingwise	=slantwise
cultivation	耕作
salicylaldehyde	邻羟基苯醛
refinery	精炼厂
yahata	=Yawata
unprevailing	不起作用
scurrilous	下流
percentage	百分比
medium	半生熟
phleboid	静脉似的
exaltedly	意忘形
erogenous	性感的
barren	荒
terminological	专门名词
lithia	氧化锂
hippodrome	竞技场
wreck	拆毁
cockerel	小公鸡
mullet	胭脂鱼
gorki	高尔基
aplasia	成形不完全
comble	高潮
snowdrop	雪花莲
bystreet	胡同
filmdom	电影业
reservation	预定
hymenopteran	膜翅目昆虫
sissified	女人腔的
dispersedly	散乱
outsang	outsing
euphuistical	词藻华丽的
something	大约
direct	径直
theoretically	理论
apothecary	药剂师
discuss	讨论
unkindly	不近人情地
ruffianize	行为残暴
vouchsafe	允许
feathery	柔软如羽毛的
controvert	议论
amaldar	经理
sheave	捆
whole	所有
grizzly	略灰色
sax	萨克斯管
wisely	精明
ficin	无花果蛋白酶
nondiscrimination	9nCndI`skrImI`neIFEn/
employless	失业的
undersanded	掺沙太少的
jawan	印度士兵
distribution	配给物
discombobulate	使泄气
perceptible	可察觉
suit	一套衣服
regurgitant	反刍
pointillist	分色主义画家
ontologize	用本体论的观点看待
moabite	摩押人
floristic	植物种类的
typhomalarial	伤寒型疟疾的
nutburger	坚果牛肉饼
contribution	投稿
trembler	震动的东西
antimonic	锑的
cashmerette	仿开士米斜纹绒
hand	协助
automan	=automaker
sacral	圣礼
relight	再点火
banger	鞭炮
anticatarrhal	消炎
honorary	名誉
pulverulent	满是粉的
attestor	证明者
usurpatory	侵占的
cocket	海关之图记
negligible	可以忽略
sanative	有益于健康的
adulterer	通奸者
hawksbill	玳瑁
vexillary	旗兵
consentient	同意的
hyaloplasm	透明质
indigested	未消化的
bromize	用溴处理
sameness	同一
halogen	卤素
guileful	狡诈的
grotesque	奇异
nitty	多虱卵
slum	贫民窟
proclinate	向前
floriferous	开花的
snot	卑鄙下贱的人
assuming	傲慢的
heroicomical	英雄喜剧
venomous	有毒腺
logorrhea	多言癖
microtechnique	显微镜使用术
codeclination	余赤纬
aiche	Engineers美国化学工程师协会
callisthenics	运动
judgement	判决
tirelessly	不知疲倦地
spadebone	肩胛骨
toltec	托尔特克人文化
nameable	可命名的
contrite	深感懊悔的
nhra	Rod
atlantean	Atlantis
balsamic	如香油
simoleon	1元
epicurean	伊壁鸠鲁的
polyploid	有多倍染色体
ostentatious	装饰表面的
resitting	再次开会
wadset	抵押
inchmeal	徐徐地
extemporaneous	无准备
nyse	New
slugger	打击力强的选手
flank	侧面与……相接
monachal	僧院的
usage	使用
marquise	侯爵夫人
nonmonetary	非金融
regenerative	再生的
ratable	按比例
tensile	拉力
chinoperl	and
italian	意大利文化的
cpaffc	with
ebony	黑檀树
resistibility	抵抗力
rotational	轮流
dominating	主要的
califate	伊斯兰教国王的地位
hqmc	海军陆战队司令部
overdare	使气馁
lapboard	放在膝上代替餐桌的小板
smothery	令人透不过气
clonally	无性系
blockhouse	木舍
flex	折曲
jag	使成缺口
organochlorine	有机氯
spirochaetosis	螺旋体病
block	印版
atypic	不合型
innervation	动感
plumbaginous	石墨
baptism	洗礼
whirlwind	旋风
unvoiced	无声的
linen	亚麻布制
cornily	粗野地
controversy	论战
fine	优良
camlet	一种轻的布料
indecomposable	不能分解的
bronc	北美西部产的野马
ophidian	蛇类的
capitalintensive	投资密集
sclc	Conference
dallis	毛花雀稗
discommendable	不赞成
overcharge	过度充电
nucleolar	核仁的
modernbuilt	现代化结构的
nummulated	钱币形
tomo	灰岩洞
introspectionism	9IntrEJ`spekFstic/`IntrEJ9speLnIzLm/
cerebrotonic	大脑紧张型的
prove	证明
matronly	尊严的
pockmark	麻子
conceptually	概念
monofilament	单丝
cashmerette	仿开士米织物
antichurch	反对教会
poort	关口
impolitely	没规矩
phototransistor	光电晶体管
glamorous	富有魅力
cystiform	胞状
drawgate	运河中之水闸门
minty	有薄荷味的
silicula	=silicle
cosher	娇养
englishism	英国精神
zs	Society动物协会
alkalify	碱化
gorge	胃
backless	无背的
soilborne	土壤传播
mammal	哺乳动物
spark	发动
planification	规划化
photoelectric	光电
ingenital	天生的
semidetached	半离
auc	of
supplely	柔软地
gainable	可得到
scalene	不等边的
ryan	赖安
animatingly	有生气地
algerian	阿尔及利亚人
encyclopedic	百科全书式
aftersales	出售以后
sociality	社交
chanceless	无接球机会的
sunniness	向阳好的
extensimeter	=extensometer
grisliness	恐怖的
inductive	感应
petiole	叶柄
ssbn	Ballistic
reface	重修表面
beastly	如野兽
upbind	束
herbaceous	似绿叶的
aptotic	无变化
nonofficial	非公式
unprizable	无多大价值
influxion	注入
rituality	仪式性
indolence	懒惰
lunatic	疯人
dispersedly	分散
lixivia	浸滤液
strabismus	斜视
smithereen	把……击碎
nisei	第二代日裔美国人
glitch	失灵
cognoscente	行家
flexometer	曲率计
ranula	舌下囊肿
stringer	长条支承木材
international	世界
eyeground	眼底
wizard	术士
helical	螺旋状
aboveground	在地上
confab	会谈
begrime	积垢
microcode	微码
endorsement	签注
calvous	光头的
interdependent	坏
existent	存在的事物
manor	庄园
ble	Brotherhood
exploiture	开发
curvy	曲线美的
minisub	袖珍潜艇
silly	失去知觉
icecap	常积不消的冰
hosepipe	橡胶软管
ironic	讽刺的
haiti	海
hydrargyric	水银
uninterpretable	无法说明
unshakable	坚定不移的
marchman	边境居民
exorbitant	过高
coalbreaker	碎煤机
periodical	定期
subscapular	肩胛下的
pectinate	栉齿状的
dumpishly	迟钝
sewage	污水
prolong	拖延
dour	严厉的
wrappage	包装材料
tass	Soviet
vandalic	破坏艺术的
malang	玛琅
townwards	=townward
furbelow	俗丽的装饰
fagot	加调味品的烤肝片
pentathlon	五项全能运动
grizzled	头发斑白
quirkish	含糊其辞的
earnest	热心的
mammoplasty	乳房成形术
dainty	秀丽
heloise	海洛薇兹
quandary	困惑
unpublicized	未公开
rearward	向后方
esthesis	知觉
influence	有影响的人感应
corollaceous	象花冠
monosemy	单义性
hereon	关于此
quaquversal	穹状的
bushelbasket	容量为一蒲式耳的圆篮子
clausal	分项
aphthoid	似小溃疡的
prospect	前途
multilist	多目表
aru	Railway
abetment	煽动
escap	Social
heady	顽固
penitent	悔过的
refer	提交
globetrotter	世界观光旅行家
ackemma	飞机修理工
monotrichate	=monotrichous
monoprix	"不二价"商店
obedience	服众
unmirthful	一本正经的
leftist	左撇子
fat	肥
mythopoeic	创作神话
disassimilation	异化
removed	离开的
station	身份
heady	猛烈的
uncorruptible	不会腐败的
taciturnly	沉默寡言地
somatological	人体学的
paramagnet	顺磁物质
sparkling	闪烁
dc	Certificate
festive	欢乐的
x	字母x
vestiary	衣服
recriminative	互相责备的
archaistic	拟古的
reproduction	繁殖
courthouse	法院
orthocephaly	正颅型
galvanism	电疗法
nationalism	国家主义
febricide	退热的
foredate	倒填日期
ethernet	以太网
sniffle	抽鼻涕
trypsinization	胰蛋白酶化
clochard	钟楼
penannular	近于环状的
pelycosaur	盘龙
electrohydraulics	液内放电法
specializing	专攻
fourthly	第四
stirabout	麦或玉米稀饭
emanatory	发出
phrenetic	精神病的
pitfall	缺陷
veiling	帐幔
detectaphone	侦探用电话机
hogwild	放纵的
seasonably	合时令
hypnotoxin	催眠激素
object	目标
bailiwick	范围
soursop	刺果番荔枝
pusillanimous	胆小的
scarce	不充足
expansible	能扩张
nationality	国籍
blackish	带黑色
consonant	协调一致的
extant	显著的
ncsa	Supercomputing
mouthpart	口器
burst	急于
micromethod	微量测定
dipsy	深海的
transitional	变迁的
teleology	目的论
multiflora	野蔷薇
longhair	演奏留长发者
vitebsk	维帖布斯克
sprawl	四肢伸开地坐
lancang	澜沧江
reflex	反射
inby	在附近的
marron	=maroon
undercharge	充电不足
intranasal	鼻内
uproar	喧嚣
brindled	有斑
jesu	耶稣
thermoset	热固的
polydemic	多地区生长的
imposition	强迫接受
angelhood	天使
unslumbering	从不睡眠
collide	碰撞
latania	拉塔尼亚芭蕉
injectable	可注射
revolvably	能旋转
overrun	超出限度
disallow	不接受
sun	恒星
volute	向上卷的
retarded	智力迟钝的
biomaterial	生物材料
penitentiary	收容所
intersatellite	卫星间
minitance	好战
anglicist	英语学者
metamorphic	变形的
doughtily	强地
intercommunity	共有
beflag	插满旗子
infix	使……钻进
summit	最高阶层
mistaken	犯错的
zoonosis	人畜共患病
mtbf	平均故障间隔时间
persist	坚持
lithic	石
hypoblast	内胚层
thin	微弱
goldie	金奖唱片
actualization	现实化
diminutive	小型
forewarning	预先警告
orthodox	东正教的
ruth	Ruth
greyly	带灰
unconformity	不服从
salut	干杯
forwhy	因为
gastrologist	胃病学家
nonrepresentational	非写实的
splenetic	脾气坏的
spongy	多孔而有弹性
metalwork	金属制造
poignant	剧烈的
flocculent	丛毛状
televisor	电视播放者
hypomagnesemia	血镁过少
gelatose	明胶膘
aubade	抒情器乐曲
unimplemented	未生效的
seviche	酸橘汁腌鱼
arresting	可观
dance	飘扬
overplaid	套格子花纹织物
gso	Staff
plasmalogen	缩醛磷脂
threeman	三人共同管理的
lockram	粗亚麻织物
dynamoelectric	发电的
indolently	怠惰
clod	土块
hydrocrack	氢化裂解
lavendery	有熏衣草香味的
haggis	肝等内脏和燕麦粉煮成的食物
noogenic	心理演化
solder	焊料
vasodilator	血管扩张神经
gutturalize	使发颚音
bolwtorch	乙炔吹嘴
volumetric	测定体积的
labialized	唇音化的
cool	无所顾虑
hebetic	青春期的
pinball	钉球戏
exhalant	呼出的
divinely	庄严地
prosperously	幸运
sunfed	Development
agelong	久远
legatine	具有使者职权的
faucial	喉头音的
clung	cling的过去式及过去分词
limpingly	勉强
greet	获悉
safety	安全
cinerous	灰烬
laminarization	分层
dangler	耳环
riskily	危险万分地
nora	Honora
derivative	系出的
bill	钞票
psychoanalyst	心理分析学者
graduand	即将毕业的学生
brimful	盈满的
hypergamous	与相同阶层的人结亲
leak	漏
frap	收紧
wy	美国怀俄明州邮递区号
avventurina	故名
threnody	哀歌
godhood	神性
supercargo	押运员
downhill	下坡
ntfs	New
reject	抵制
inescapable	不可避免
anschluss	联合
swish	带着嗖嗖声挥动
bombe	甜点心
cursive	连接
toughly	能吃苦耐劳地
widthwise	与宽同方向
profligate	享乐者
catchweight	无体重限制地
adhere	粘附
rhodesian	罗得西亚的
chequebook	支票簿
arboreal	树
homozygous	纯合子
cottage	村舍
triolet	八行两韵诗
communize	使共有化
plo	Palestine
osfcw	作战用固体燃料协调人办事处
haut	豪华
eutomous	容易解裂的
corer	挖核器
csce	in
bure	草屋
temptation	诱惑
emplastic	黏性物质
delusive	虚妄
taurine	金牛座的
quilt	制成棉被
curt	简略
inquietness	焦急
run	赛跑
capataz	工头
still	还要
blacklist	记于黑名单中
flop	拍击声
vraic	海草
ute	小卡车
fetch	绕道而行
humidity	湿气
beckon	招手
soembawa	=Sumbawa
unrelenting	冷酷
fujisan	富士山
yauld	活跃
retort	回报
gladsome	令人高兴的
reformative	改进的
voluble	爱说话
immurement	监禁
subdural	硬膜下
kinglike	君王似
scalloppine	煎小牛肉片
enchantment	迷惑
debone	将去骨
fortunate	幸福
flagellator	鞭打者
overset	排版过密
invigilate	监考
rattling	活泼的
logicize	使合乎逻辑
monstrous	畸形
riskily	冒险
oligophagous	寡食性
saccate	有囊的
hypercautious	极其小心
slavdom	斯拉夫民族
jain	耆那教徒的
sunwise	向右转地
pierce	深深感动
literature	文学
generic	类的
gadfly	讨厌的人
rhizopus	根霉
gelatiniferous	产树胶
depravation	堕落
xenophobic	恐惧外国人
verriculate	覆盖竖毛的
exclusive	排外
viscerogenic	出自脏腑
drambuie	苏格兰威士忌利口酒
uso	Organizations
covert	偷偷摸摸
phyllotactic	叶序的
noodge	=nudzh
acceptable	可接受
smacking	拍击
mallorca	马略卡岛
subtractive	减去的
jal	Japan
whip	车夫
say	想说的意见
longipennate	长羽
vigilantly	警惕地
absorptive	有吸收力
airspace	空域
awninged	挂有帆布篷
push	推行
unscripted	不用剧本
sexagesimal	六十
jib	移转
scrap	拆毁
osteoradionecrosis	放射性骨坏死
epitomize	成为……缩影
ferry	摆渡
glomerulonephritis	血管球性肾炎
seemly	适宜的
insatiable	贪求无厌
splenectomy	脾切除术
crenulate	细圆齿状的
outhaul	驶帆索
ingoing	深入
flagman	信号旗手
egoistical	利已主义
nonpolitical	非政治性的
respectant	向后看
informed	见多识广
tearjerker	使人流泪的电影、歌曲、故事
csma	Access/Collision
pester	纠缠
superable	可征服的
historicism	历史相对论
ingenuous	直率的
reposefully	平稳
conversant	有交情
readable	易读的
nascar	Association
phs	Health
flagitate	恳求
contumacious	顽固的
grandiose	堂皇
antiphlogistin	消肿膏
mistrust	不信任
marinescape	海景
illinoisan	伊利诺斯州人
floridly	浮华俗气
shippable	可装运
supernatural	超自然物
unascertainable	不能确定的
filth	污物
gauzily	纱似地
lantern	幻灯
gluon	胶子
tutor	辅导
jangle	吵嚷
unsuspected	无嫌疑的
moorings	系泊处
shiftless	偷懒的
ethnohistoric	人种史学的
shred	碎片
nosogeographic	疾病地理学的
whoop	唤起
borrow	借
outwardly	表面
almuce	皮兜帽
engorge	充血
pneumatolytic	气化
torrefaction	干燥
intercalate	设置
indiscreet	轻率
citron	香木缘
thousands	数千
omphale	翁法勒
promptive	敦促的
prelusive	序言的
literal	无夸张的
unglamorous	乏味
ominously	不吉利
hypoazoturia	尿氮过低
insurrectionary	起义者
disposure	布置
neuropathist	神经病学家
flinty	含燧石的
triassic	三叠纪岩石
dorp	小村
reminisce	回忆
epilepsy	癫痫症
kinetonucleus	=kinetoplast
undercharge	填不够量的火药
affluency	=affluence
ceorl	自由民中最下层的人
assumpsit	允诺
whipcord	鞭绳
lemnaceous	水萍科植物的
hemoglobinuric	血红素尿的
phoenician	腓尼基人的
trisubstituted	三元取代的
wheaten	小麦的
irl	中断请求线
eyestrings	眼神经
rage	情绪激动
rhomb	菱形
depeople	减少人口
autoist	使用汽车的人
strafe	惩罚
region	层
cranialgia	头痛
goad	激励
geoponic	乡间的
undress	便服
johannisberger	Johannisberg
traffic	交往
spread	蔓延
effortless	容易的
ble	of
mesogaster	=mesogastrium
rape	强奸
mandi	大市场
cockscomb	鸡冠花
twentieth	二十分之一
amphipath	两性分子
semiautobiographical	半自传性的
vouch	传出庭作证
memoirist	传记
acetate	醋酸盐
aymaran	艾马拉族
speak	说话
vulgarization	俗化
cleansing	有去污作用的
antimonide	锑化物
nonproletarian	非无产阶级的
mendable	可改进
clique	小圈子
uniflow	单流
puddling	搅炼
agateware	玛瑙花纹的搪瓷铁器
msfm	Master
aerial	空气的
frictionize	摩擦
convoy	护航
moralistic	说教的
fulbe	富尔贝人
hydroponist	水栽专家
clothing	衣服
empress	女皇帝
coleoptera	鞘翅类
pythogenic	腐生
shilingi	1坦桑尼亚先令硬币
marginal	边际的
con	反对
prompting	促进
itching	贪得的
superserviceable	急于帮忙
polynuclear	多核
yike	争吵
extort	勒索
emery	刚玉砂
appd	approved
calisthenic	柔软体操
station	……局
bicentric	双心
rowena	罗威娜
undergarment	内衣
dignity	高贵
spaetzle	鸡蛋面疙瘩
pinocytotic	胞饮
antihypertensive	抗高血压的
kilostere	千立方米
flashbulb	闪光灯泡
phoney	膺品
triform	在种不同形式合成
agog	兴奋
mythical	虚构的
hypophysectomize	切除垂体
eutopia	乌托邦
serail	=seraglio
koine	以阿提喀方言为主的希腊共通语
swart	有毒
pitiably	卑劣地
reoccupy	再占领
irreproachability	无懈可击
reputably	好评地
crablike	似蟹的
lymphokine	淋巴因子
galen	伽林
tenositis	腱炎
embroider	装饰
oblique	间接的
depositional	沉淀的
subdeacon	副补祭
conversant	熟悉
froward	不易控制的
attestant	证人
autocephalous	自治的
wsb	Board
quarrel	怨言
barbarous	沙哑的
interrogation	问号
sizzle	烧灼
orotund	夸大
limiting	限制
hierarchism	僧侣政治
aquiver	颤抖
machiavellian	权谋术的
noncarcinogenic	非致癌
iced	冰冷
reflectance	反射比
bedeck	装饰
inestimable	无价的
tussal	咳嗽的
roach	使成拱状
clairaudience	超人的听力
disharmonic	不和谐的
epicondylian	上髁
reemerge	再度出现
unambitious	无奢望
damned	被咒骂
farming	耕作
flexible	柔软
dde	动态数据交换
absonant	不协调的
smackeroo	1英镑
cornered	有角的
fasciated	用带子束住
haloperidol	氟哌啶醇
unenlivened	不快活
ineffective	工作效率低的
truest	确实
undesigned	偶然的
subtemperate	亚温带
awkwardness	笨拙
diabolical	恶魔的
fenny	长在沼泽地带的
supportability	可忍耐
denazify	消除纳粹影响
punchboard	放荡女人
scandal	耻辱
spieler	商业宣传员
pocket	小型
logomachy	对词的争议
exposure	暴光
creationism	创造宇宙说
soulful	深情的
impertinent	无关
friability	易碎性
sweltering	酷热的
israelitish	犹太人
tuppence	两便士
tremolo	颤声
indiscretion	不慎重
multiplicable	可乘的
compulsory	被强制的
liftgate	提升式门
systemless	无规则的
anthropomorphic	神、人屯壅
anabasis	远征
gothicism	哥特式
tributary	从属的
lotiform	莲花状的
cheerly	兴高采烈
argala	印度或非洲产的鹳类
reflectional	反射
ichnographically	平面图法
nausea	恶心
smart	时髦
enthrall	奴役
headquarters	司令部
aline	排成直线
radiate	辐射
skull	头脑
chop	官印
fatefully	宿命地
dialectal	方言
pear	梨子
venogram	静脉造影
dirty	变脏
sculpt	雕刻
divine	非常可爱
diorite	闪长岩
amimeche	Institution
snr	信号噪声比
moppet	小孩
scratch	擦
abridgement	删节
sincerely	真诚地
swanky	炫耀的
preconcerted	预定
phytane	植烷
gct	Civil
examinant	主考人
safekeeping	警卫
drivel	流口水
antennary	触角的
lentoid	透镜状
wivern	双足飞龙
remotely	偏僻地
subadult	接近成年
hurtlingly	飞奔
extraordinaire	异常的
done	妥当的
wpc	Woman
thujaplicin	大叶崖柏素
controllable	可控制的
shovelhead	窄头双鬓鲨
galactophorous	输乳
leone	利昂
subantarctic	亚南极
mmpi	Multiphasic
tenemental	出租的
superempirical	超经验
lax	松的
chondrosarcoma	软骨肉瘤//tous//
design	谋划
erythrosin	四碘荧光素
inquilinous	寄居
tog	打扮
preferment	优先
mercery	绸布类货物
cockcrow	黎明
repeated	重复
scenery	景色
heathy	石南似的
boneblack	骨黑
potentially	潜在
powerbook	强力笔记本电脑
feretrum	尸架
scaremonger	散布谣言的人
durst	dare的过去分词
temerity	卤莽
