disagreement	争论
medium	中间
undercellar	下层地下室
lenticel	皮孔
unsubmissive	不服从的
stoutness	坚固
everlasting	无止境的
fartlek	法特莱克训练法
conciliationism	调解政策
cosmologist	宇宙论者
hummocky	多圆丘
epizootiology	兽疫学
oceanic	海洋产出的
neuropath	神经病患者
shadowy	有阴影的
snift	=sniff
daniel	男子名
vaunting	傲慢
floppy	邋遢
knockabout	粗造的
averse	反对
branching	分歧的
featherbed	任闲职的
amidate	化为醯胺
rsgb	of
damned	该死的
vanishingly	难以察觉
oaten	燕麦
exosmic	外渗
enate	母系
generator	发电机
rantankerous	不怀好意
revolera	举斗篷过头顶的挥舞
unsuspected	未被怀疑
buccal	口腔的
paillasse	草铺
jell	果子冻
whine	牢骚
mitt	露指手套
gagwriter	笑料设计人
deft	敏捷熟练的
feldspathic	含长石的
apertured	有洞
theta	希蜡字母的第八字
swabia	斯瓦比亚
transmountain	穿过山的
duorail	双轨铁路
catchy	易使人上当
bale	捆包
delirifacient	引起精神错乱的
avail	利益
dedicatory	献纳的
superheterodyne	超daIn/
uncorrectably	无法改正地
adream	做梦
sheshbesh	中东巴加门
loco	火车头
nongreen	非绿色的
marly	泥灰质的
monographic	专题论文
exploiter	开拓者
approachability	可接近
moire	波纹丝绸
oblique	倾斜
mural	墙壁上的
akimbo	两手叉腰的
superserviceable	急于帮忙的
futilitarian	悲观的
cuboid	立方体
superfemale	=metafemale
uncharted	未知的
thermal	热量的
scoter	黑海番鸭
random	随便的
inflect	改变
malice	怨恨
backstroke	反手拍球
aetna	=Etna
farewell	别了!
rallicart	四人座的小型二轮马车
lettered	有文化修养的
transmit	传输
leatherneck	海军陆战队员
guest	旅客
dolefully	悲哀
resident	居民
undersanded	掺沙太少
tuitionary	学费
uppsala	乌普萨拉
unhuman	无人类属性
chabouk	一种长鞭
handless	笨手笨脚的
fake	捏造
transworld	遍及全球的
sac	囊
pyic	脓的
cohere	凝结
merman	男性人鱼
gradine	阶梯形座席之一排
tocologist	产科医师
draughty	通风良好
raises	饲养
frequently	常常
applaud	称赞
underwater	在水线以下
core	果核
dichromatism	二色
sodomy	鸡奸
zoology	生态
clypeus	唇基
microvillus	微小突起物
forgiveness	宽恕
osage	奥色治人的
cuticolor	肉色
fractionalism	分裂政策
malassimilation	同化不全
idiomorphic	自形的
metrazol	五甲烯四氮唑
subsequently	后来
toyon	类似枸骨而结红果实的常绿树
filer	文件装钉员
cenobian	修道士的
reeducate	再教育
helicity	螺旋性
heteronomy	他治
allopatrically	在不同地区发生
organon	推理法
palisander	黑黄檀
clouding	暗晦
facs	the
weatherboard	挡风舷
epure	草图
undissolute	不放荡
vibrational	振动的
supportably	可支持地
grundy	拘泥礼节的人
volumeless	不占容积的
wholescale	不加区别的
amaigamate	混合
dipteran	双翅类的
wound	创伤
smooth	平滑的
ethos	社会思潮
angioma	血管瘤
terminating	使终结
counterpunch	回击
vinous	葡萄酒
blitzkrieg	闪电战
uncharted	不详
inexpugnable	不能攻占的
profound	渊博
favorable	良好
biotin	维生素H
other	pro
bay	海湾
unveracious	不讲真话
detainer	非法留滞
lanceolate	矛尖形
circumfuse	围绕
nonfulfillment	不履行
oniongrass	鳞茎臭草
saltchucker	海钓者
zanyism	滑稽表演
formicate	爬动
criterion	准据
sumatra	苏门答腊岛
bantu	班图人
weasel	躲避
ukaea	United
biowarfare	warfare
guide	操纵
experience	阅历
pastellist	粉笔着色画家
maritime	海事
loose	变松
gnaw	咬
banausic	机械式
coordinate	坐标
balmy	止痛的
auditorial	通过听觉
unscrupulous	无道德
lode	复成矿
tricentenary	三百年的
tired	疲倦
gallery	图库
phrenetic	精神病
devalue	减值
augural	卜占
revolted	起来反抗
legalism	拘泥于法律或规定的人
retroflexion	子宫后屈
splenic	脾脏
subflooring	地板下的粗地板
fast	牢固地
bush	矮树丛
unhasty	不慌不忙
folklorish	带民间传说
visit	调查
uprise	上升
cantabank	漫步的歌唱者
clinical	病房用的
inexcusable	不可宽赦的
iterance	重复
kattowitz	=Katowice
complainant	发牢骚的人
artiodactylous	偶蹄动物
windowsill	窗台
floppy	松软的
beige	浅褐色的
stagy	做作的
appear	看来
yucatec	尤卡坦人
charcuterie	猪肉店
barnaby	巴纳比
disaccharose	二醣类
sartorial	缝匠肌
hydrated	含水的
codling	幼鳕
interjaculate	呈弧形射出
balmy	芳香
balky	停止不前的
notably	显著
unconfirmed	未经认可
plessor	敲诊槌
bargaining	议价
upheave	推上去使上升
colorfast	不褪色的
chance	偶然的
foredone	筋疲力竭的
leningrad	列宁格勒
huggermugger	混乱
nonarticulate	不分节的
unnourishing	无营养
asyndetic	使用散珠格的
featured	有……的面貌特征的
motivator	激起行为
warden	看守人
coyly	害羞
fairytale	童话式
harari	哈拉尔族人
msbc	Science
deglutinate	从
moat	城壕
outlet	出口
snifty	傲慢的
tagmeme	序位
directionality	方向性
curse	降祸
develop	进步
exonerative	免除的
egality	平等
crasher	猛击
diriment	使无效的
seed	根据
rattailed	细长的
compossible	可共存的
oxycalcium	氧钙
steal	窃取
misrule	施暴政
demodulator	解调器
hypocytosis	血球过少
primely	最好地
thuriferous	燃烧时散发芳香的
jobbery	假公济私
cutter	刀具
consultive	=consultative
torn	tear的过去分词
centre	集中
nonstriker	不参加罢工的人
shrewish	泼妇一样的
merozoite	裂殖子
dedicatory	奉献的
disillusionary	令人失望
forbye	其他
labyrinthian	错综复杂的
grapey	=grapy
velma	维尔玛
overland	陆路的
qea	康达斯帝国航空公司
cephalometric	头部测量学
unspoiled	未损坏
nasial	鼻根
finity	限定
untuneful	刺耳
sarmentum	长匐茎
caution	警告
forewing	前翅
solan	塘鹅
diligent	细心而继续不断的
notably	特别
reinforce	补充
indiscriminating	无差别
samsara	轮回
azure	天蓝色
disorientation	方向知觉的丧失
pithily	有力地
roughly	概略
tessera	票子
cymogene	粗丁
course	进程
expletory	=expletive
externality	外在性
asturian	阿斯图里亚斯文化
weatherwise	就天气来说
underactor	次要演员
equilibratory	保持平衡的
megadose	大剂量
glycerin	甘油
personify	赋与……以人性
ectal	外侧的
extraofficial	职务以外
drudgingly	苦役般
puritanical	严格
don	先生指导教师
anaculture	细菌混合培养
dreamfully	常易梦见地
nim	窃
crenulated	细圆齿状
gypsite	石膏土
sinuate	波状
gothamite	纽约市民
bluebeard	残酷的丈夫
eventual	万一
tamanoir	大食蚁兽
hypnotist	催眠士
unshroud	暴露
straightforward	dly//
despotically	专制地
torture	曲解
woodbox	=woodbin
felted	黏结起来的
interrelate	相互关连
apl	APL语言
speckless	无斑点
comtesse	女伯爵
uncate	有钩
salomonian	所罗门
birdlime	粘鸟胶
acheron	阴间
inheritrix	女继承人
mizo	米佐人
varvel	对……感惊异
perceivable	可知觉的
quadrilled	方眼的
negrohead	压榨的烟砖
devoice	使清化
grace	优美
ammo	军火
hydrostatical	静水力学的
incondite	粗劣的
pygidium	尾板
weatherly	能驶向上风的
raptured	销魂的
endogamous	同族结婚的
answer	答复说
unhealthy	对健康有害的
nephelitic	霞石
coralline	产生珊瑚
home	在本国
overceiling	超出最高限额的
panchromatic	全色
ladino	拉地诺语
uric	取自尿中的
dress	女服
indulgent	纵容的
miniature	缩影
ryurik	即
octandrious	八雄蕊
pure	纯粹的
stivy	气闷
nonself	异物
flashy	浮华的
jowl	面颊
sudatory	发汗室
rosiness	愉快
pmpo	峰值音乐输出功率
intercity	城市间的
cathedra	主教的座位
polite	客气
garrotte	绞刑
stopover	中途停留
frigging	要命的
start	惊动
reflectoscope	反射灯
umbrageous	多荫
stucco	涂以灰泥
agp	Port
buccal	颊的
swayless	不摇摆
deflocculant	悬浮剂
embryoctony	碎胎术
ireful	忿怒的
account	估计
carper	吹毛求疵者
irak	伊拉克
murrhine	默勒石的
breeder	饲者
convenient	便利
rsv	Revised
unicostate	中脉显明
inequiaxial	不等轴的
deductive	推论
bezazz	活力
roily	生气
triturate	粉碎
awe	敬畏
flex	电线
suction	抽气
weightily	重要地
carnal	肉体的
electriferous	带电的
tapescript	磁带录音稿
kellock	锚
execrate	痛骂
recompense	报偿
swagger	昂首阔步
fast	牢固
embraceor	收买法庭或陪审团的人
exclusively	专有地
plumb	用铅增加重量
threat	威胁
paraphernalia	随身用具
tormentor	使苦痛之人
bookmatches'	NULL)
warrant	辩解
amimeche	A
hematin	血色素
recondensation	浓缩
octette	八重奏
beaux	情郎
drogher	与此类似的船
resolution	分辨率
feticidal	打胎
strumpet	妓女
unimplemented	未实现的
cocurricular	辅助课程的
fleecy	羊毛似的
stressable	可重读的
yield	出产
laboursome	费力的
noteworthy	显著
meanings	含义
squawfish	大型食用淡水鱼
kneesie	碰膝盖
unchangeably	不易
fond	多情
leucin	亮氨基酸
imperceptivity	无感觉
ritualize	使仪式化
mummery	哑剧表演
upfold	使折起
phoneticist	=phonetist
disorder	扰乱
quartziferous	含石英
bimonthly	两月一次的
pruning	剪枝
aspirer	追求者
interceptive	截断的
unsureness	不确定
talonavicular	距的
dogshore	支船柱
fingerling	一指长
sequestered	幽静
activize	激起
conceit	意见
arsenism	慢性砷中毒
godship	神格
cunctation	迟缓
nigrescence	发黑
renew	重申
unconventional	非传统
bruiser	粗壮的人
fist	抓牢
nobody	无人
giving	礼物
untilled	未开垦的
frostbound	冰冻的
khansu	肯聚长袍
declivity	下坡
floriate	用花卉图案装饰
bottomless	难解的
eventful	多事
halves	一学期
fluey	绒毛似
managerialist	经理主义拥护者
foamy	泡沫
magician	魔术师
proctorial	训导长
fallow	未孕的
jestingly	闹着玩地
phaeacian	费阿刻斯人
catv	有线电视
jaggery	粗糖
hoo	呼!
seafox	长尾鲛
laibach	卢布尔雅那
snubby	好轻视人
supergranulation	超米粒组织
positivism	自信
hypervisor	管理程序
fastish	有些放荡的
skintight	紧身
exoderm	外胚层
dyadic	双值的
pgdn	翻下页
lax	松懈
titanic	钛的
mantic	预言性
illumine	使明艳照人
kpc	kiloparsec
dispersal	分散
underappreciated	未受到充分赏识的
impenitent	不悔悟的
premium	奖赏
distensile	会膨胀
capeesh	=coppish
antalkaline	解碱
satisfy	满足
roulette	转迹线
pungent	刺激性
undiscerning	无辨别力的
inexpugnable	不能攻占
mspe	Master
delusterant	去光剂
luniform	月状
eared	有耳的
tumidly	肿胀地
pretense	借口
rampant	狂暴的
glume	颖
chitchat	聊天
pleiotropic	多效性的
investigative	研究
vassalic	封臣
greaser	加油器
temptable	可诱惑
hideous	可怕
benthal	水底
whitepox	乳白痘
sighthole	检查孔
sniffle	抽鼻子
radiography	X光线照相术
expellant	驱逐剂
ccpit	Council
pondweed	水池草
spurt	迸发
endoglobular	血球内的
fissionable	可分裂的
garnett	扯松
angostura	安古斯图腊树皮
alaskan	阿拉斯加人
acoustic	声学
pale	使变苍白
urticariogenic	致荨麻疹
lessee	租户
laevorotation	反时钟旋转
deceiver	欺人者
gnarl	瘤
upborne	被升高
hypothesis	假设
camion	军用卡车
tartarian	鞑靼人的
microcontinent	微大陆
diallel	异雄同雌
halophilous	适盐质环境生长的
lucius	卢修斯
dividend	股息
bootjack	脱靴器
posnjakite	一水蓝铜矾
dissidence	意见不同
tinkerly	笨拙
costean	井探
uss	United
conjury	变戏法
nationalization	同化
hindustani	印度斯坦的
tournament	锦标赛
inferior	下级的
ashen	苍白的
sonority	响亮
benthos	海底的动植物群
incised	雕刻的
hornbook	小孩学习用的文字板
acting	起作用的
distaffer	家庭中之女性
slickness	巧妙的
ramous	多枝
counterbalance	使平衡
incombustible	不燃性的
jittery	战战兢兢的
seat	所在
flavourful	美味
gigmanity	庸夫俗子
materials	原料
pestiferous	邪恶的
chymic	化学
alleviative	缓和剂
offhand	即时地
suspectable	值得怀疑的
garlicky	大蒜似
suddenness	突然
manor	领
lumphead	笨人
hawk	咳嗽
miniscule	草写小字的
impassably	无法通行
heatproof	抗热的
pessimal	最差
gambol	耍闹
peruse	细读
harlotry	淫妇
easterly	从东方来
distortion	失真
overcolour	过份润色
pertly	冒失
wiriness	铁丝状
adult	成年人
diallel	双重的
paediatric	儿科医学
arability	适合耕种
information	信息
depressingly	抑压
inconsonance	不调和
anastomosis	接合
agamic	无性生殖的
railery	善意的嘲笑
nu	纽埃
retrochoir	的后部
wwf	World
opportunist	机会主义者
swash	虚张声势
zoophoric	具有动物形
epipteric	翼上骨
slummer	出入贫民区工作的人
boorish	粗鄙的
slapdab	正好
nearness	接近
lean	歉收的
niff	恶臭
lurch	击败
piping	平静的
controllable	可管理
adytum	内院
pity	可怜
unappealing	无吸引力
riba	Royal
expugnable	可突击的
impendent	迫近的
direct	直系
angled	成角的
ping	子弹飞过空中的声音
collaborative	协作的
leeward	在下风方向
caitiff	卑鄙男人
tumorous	肿瘤性
colorimetric	比色的
simpleness	单纯
lull	使安静
speakerine	电视节目女主持人
snowflake	雪花
convulse	使抽筋
tobacco	抽烟
micelle	微胞
cling	坚持
belabour	不断辱骂和嘲弄
bang	发巨响
bernice	伯妮斯
abundant	丰富的
demagog	群众领导者
subdiaconate	副助祭之职位
batty	古怪
naupathia	恶心
hydrocephalic	脑积水
uncomfortable	不安的
ignoramus	不学无术的人
topocentric	地面点的
moil	混乱
encyc	encyclopedia
unprison	把……从监狱释放出来
belligerent	交战国的
caffeol	咖啡油
monied	=moneyed
fsf	自由软件联盟
blazon	广布
specialist	专家
ecdysis	蜕皮
redden	变红
overdub	原带配音
tumidly	隆起
dutiful	顺从
mercury	墨丘利神
aline	排列
reconcile	使和谐
intermediate	媒介
hyperplastic	数量性肥大
capernaism	迦百农主义
overtime	超时的
whimsey	奇想
rrl	Reference
atmospherically	气压所致
unregistered	未注册
scheelite	白钨矿
talonavicular	距
variegate	使多样化
lenitive	润泽
expend	把绕在杆上
vmd	兽医学博士
nibble	细咬
emptiness	空虚
zooflagellate	动鞭亚纲原生动物
unsanctioned	未认可的
sudanese	苏丹人
lemonish	有柠檬香味的
chiromegaly	巨手畸形
tennantite	砷黝铜矿
vacuum	真空的
hyperphysical	超自然
mystagogue	秘法家
walkable	适于步行
polymorphous	多形的
pyrographer	烙花人
waver	开始退让
perineal	会阴的
affenpinscher	猴绠
confirm	确认
chandelier	树枝形的装饰灯
unintelligible	莫明其妙
oleomargarine	人造黄油
volucrary	鸟类论
xsl	Language
flaring	发光
emunctory	排泄管
equability	平静
talon	爪
religionist	宗教狂热者
chillness	冷淡
apposite	适当
darshan	增禄
horizon	地平线
legalize	公认
rightfully	正直地
incongruent	不一致
bluntly	坦率地
machinability	机械加工性
crisscross	画十字形于
smack	拍打
fretsaw	圆锯
chemosterilize	用化学绝育剂使
oenophile	嗜酒的人
rejectamenta	废弃物
function	作用
alingual	任何语言都说不流利
horizontal	水平的
flockbed	装有毛屑的床
gab	多嘴
libelous	用言语中伤他人的
sesquipedalian	令人厌倦的
ariose	如歌的
winona	威诺娜
pavilion	搭帐蓬
codiscoverer	共同发现者
kindly	爽快
defensibly	可辩护地
eterne	=eternal
subabdominal	腹下
mishandle	胡乱操作
immission	允许进入
corresponding	相应
plo	巴解组织
pons	连接部分
celeb	名流
unbarbered	未理发的
heterogen	异型杂种
irritating	刺激的
kavass	武装警察
untenanted	无人租赁
irrotationality	无旋性
zaratite	翠镍矿
symbol	记号
jabot	胸部装饰
ceaselessly	不断
aspherical	非球面的
farthest	最远
disfranchisement	剥夺公民权
tablet	便笺簿
entire	完整
wire	铁丝网
proteiform	多型的
essentic	有表情
bpi	bytes
disillusionary	令人失望的
patrician	贵族
thrust	强行推进
sniffy	自命不凡
tefillin	经文护符匣
buttony	多钮扣的
complicitous	=complicit
unbesought	未恳求
preludial	序言
tideway	潮路
asi	空速指示器
powerfully	强大地
trigram	三字铭
liege	列日
pragmatist	实用主义者
interoceanic	大洋间的
aaup	University
frgs	Geographical
or	Operations
promotional	奖励
lowland	低地
recreancy	变节
geocarpy	地下结果性
sorosilicate	俦硅酸盐
acetaminophen	醋氨酚
sureness	确实
vasectomize	切除……的输精管
inquiring	爱追根究底的
chitarrone	基塔隆尼琴
laughing	笑
roseate	乐观
vraisemblance	真实性
detrusion	推落
neapolitan	那不勒斯
plan	平面图
extraparliamentary	国会权力以外
reductant	=reducing
flabbiness	软弱
socotra	索科特拉岛
error	过失
regulate	控制
perjured	犯伪证罪
administrative	court//
wastebasket	废纸篓
iupap	Union
puffy	气喘吁吁的
tousy	凌乱的
worry	烦恼
dysphasic	患言语困难的
warrant	授权
nabobess	女财主
nested	嵌套
hamiticize	使含语化
storage	贮藏库
moviedom	电影圈
bivouac	露宿
inebrious	醉
camisa	女用衬衫
iconically	形象地
noumenal	实体的
repentant	有悔改表现的
uncommon	不凡
unseemly	不恰当
extravasation	溢出物
bubble	泡沫
accountably	可辩解
profile	侧面
impartibility	不可分
luxuriously	豪华
triphenylmethyl	三苯甲基
fmi	国际货币基金组织
turnspit	负责旋转烤肉叉的人
charge	指示
tutor	家庭教师
bere	大麦的一种
melissa	梅利莎
integrate	使成整体
neoarsphenamine	九一四
scholastical	=scholastic
quasar	类星体
cyclonic	飓风
dipteran	双翅类
recalcitrant	顽抗
inform	通知
boskage	树丛
ocotillo	马鞭
whet	磨快
flagellated	生有匍匐茎的
exclamative	=exclamatory
liberian	利比里亚人
aluminate	铝酸盐
sunfed	Economic
gearchange	=gear
masterless	无主人控制
playstation	游戏站
folie	疯狂
defier	挑战者
piripiri	红辣椒酱
matin	晨歌的
waste	使荒芜
segregable	可分离
iasi	雅西
summons	召唤
local	慢车
indefensible	无辩护余地的
sanskrit	梵语的
dishearten	使……失去勇气
vocational	职业的
relatum	被关系者
dad	爸爸
specific	特效的
retrofocus	反远距的
internetwork'	NULL)
somnambulate	梦游
gracile	细长
executive	行政的
result	导致
trailing	曳尾
feces	粪
cernet	and
uneventful	平凡的
lassen	Peak
discursiveness	推论
disconnected	分离的
speciology	物种学
untoward	困难的
dippy	昏头昏脑的
aeriferous	装气
limberneck	肉毒棱菌中毒
towhee	红眼雀
ultraviolet	紫外线
diaspore	水铝石
poise	准备好
abrupt	突然
vagabond	漂泊
carnie	游乐场管理员
martialize	使具有尚武精神
temporomandibular	颞下颌的
unitar	Training
repose	建立于
gobang	联珠棋
unlawfully	不正当地
corporately	共同
tularaemia	土拉菌病
ssfdc	State
verjuiced	不高兴
parlous	危险
mistune	使走调
ps	附录
scrouge	挤
corrupt	腐败
jacksonian	杰克逊思想的
spatiography	空间物理学
coterminous	连接的
overcharge	讨价过高
unversed	无经验
bowery	有亭子
emanate	发源
usual	惯例的
mgd	per
hirudinoid	水蛭
ninepence	九便士硬币
homefelt	舒适自在
virulent	有病毒的
gaming	赌博
gagman	笑料的作者
rechargeable	可再充电
ganefo	Emerging
searching	透彻的
nidnod	使点着头打盹
ghazze	=Gaza
lepcha	雷布查人
triandrous	三雄蕊
lumping	很多的
supercolossal	超大
snog	接吻
postal	邮局
economizer	节约装置
feigned	假的
gastronomical	美食学的
misquotation	错误的引用
feoff	封
trample	践踏
handwrought	手工的
scapular	肩
glandular	起腺体功能
falseness	不正确
hidrotic	发汗
trivialness	琐碎
unassailed	未受攻击的
tawie	顺从
imperviously	透不过地
stiletto	钻孔锥
exalt	晋升
collect	由收件人付款
mushroomy	蘑菇
stopper	塞子
plexiglas	树脂玻璃
ariot	长得过于茂盛的:
iridize	以铱覆盖
ring	环形物
telodendrion	终树突
fallacious	靠不住
coppery	铜一样的
gama	grass鸭茅状摩擦禾
wingman	边锋
liegeman	忠实的部下
undermost	最下的
mappable	可用图上标示的
wineshop	酒店
msphe	Master
positive	肯定的
shuffleboard	推圆盘游戏
tradable	可买卖
diacid	二酸
tinge	微染
hii	Health
pedograph	纸上脚印
sputteringly	结结巴巴
fidelity	逼真度
eminence	崇高
hilac	重离子直线加速器
emarcid	凋谢
nervy	肌肉发达的
sig	Special
elliptoid	椭圆状的
overtop	高耸……之上
fisher	食鱼动物
farinose	含粉
interfoliaceous	叶间的
lanigerous	有细毛
reinvigorate	使再振作
hong	商行
short	弱
keeping	遵守
ragamuffinly	流浪的
transcurrent	横推
hideously	可怕地
qse	engineer
deplumation	除去羽毛
papery	象纸
misgive	使怀疑
salve	涂油膏
convergent	会集于一点的
entity	实体
inquiring	咨询
neoplasia	瘤形成
jaundiced	有偏见
producing	生产的
pickapack	=pickaback
coenogenetic	=cenogenetic
coda	终结句
refluence	倒流
selectorate	代表选举团
manhood	成年
alkylate	烷基化物
starting	出发
working	经营的
pnr	no
conformism	因循守旧
remnant	残留
phyllary	总苞片
fibrotic	纤维变性的
resettlement	再定居
unclos	of
crudeness	不成熟
ranging	广泛搜索
presidial	总统的
umbrous	荫处
pyrethroid	拟除虫菊酯
associate	合作人
disorganized	无组织
petrifactive	造成石化
resorptive	再吸收
twentymo	二十开本
attire	服装
wobble	摇摆
postimpressionism	后期印象派的
iocu	Consumers
overplow	对……犁耕过度
sclerodermatitis	硬化性皮炎
slapdash	匆促
stallman	摊贩
homoeothermic	同温的
tremolo	震音
exaggerated	夸张的
ideaistic	思想的
unconformity	不适合
nucleochronology	核子年代学
tankman	坦克兵
popedom	辖区
hypoacid	酸度过低的
scenic	风景照片
inevitably	不可避免
echovirus	人肠道孤病毒
deformalize	简化:
pacemaker	标兵
blossom	花
enunciative	宣言的
thalamium	闺房
faconne	细花纹织物
spinneret	喷丝头
tromba	小号
endearing	可爱
saturnian	土星的
assimilation	同化
megadose	给予……大剂量
butyral	丁缩醛
hilum	脐
pmkd	邮戳盖讫的
iamap	国际气象学和大气物理学协会
tribesman	部落男子
irascibility	脾气暴躁
sniff	发觉
currejong	=kurrajong
thereinbefore	前头
puristic	修辞癖
avertible	可防止的
semidesert	半沙漠
causalgic	灼状神经痛
paraquet	=parakeet
hectic	脸红
festally	愉快
sweated	使用血汗劳工的
unpunctuated	未加标点
busier	比较忙碌
chary	吝啬的
mulch	覆盖
fls	of
pamper	纵容
trepan	诱入圈套
radicalness	极端
cloze	填充测验法的
unneutral	片面的
auspice	预兆
fusimotor	肌梭运动神经的
rework	重写
ymha	Association
impreg	浸渍木
plagiarism	剽窃物
treescape	树木风景
politely	客气
jadish	疲倦
decimal	小数
pachysandra	富贵草属长青地被植物
dossy	好看
guts	狼吞虎咽
virulency	恶意
epidermal	表皮
fossilize	搜集化石标本
sphalerite	闪锌矿
jabez	杰贝兹
unglamorous	乏味的
rockfest	摇滚音乐节
ho	Ho
description	种类
experience	经验
urination	撒尿
limburgite	玻基辉橄岩
spinous	难弄
picture	照片
dissociability	孤癖
eikon	画像
abruptness	突然
mpls	Label
unenlivened	不活跃
great	强烈的
righthearted	正直的
depart	过去
teeny	极微的
earthshine	地球反照
extraterritorial	rI9tR:rI`AlEtI/n权地
maladaptive	显示不适应的
reformatory	改革的
spatiotemporal	时空的
overdaring	过于大胆的
gentile	非摩门教徒的
bluff	直率
dentary	有齿的
busyness	繁忙
converse	颠倒
quemoy	见Jinmen
wbo	Organization世界拳击组织
faltering	支吾
bravo	亡命徒
phloroglucinol	根皮酚
garrya	嘎瑞木
protestor	抗议者
takovite	水铝镍石
dieffenbachia	花叶万年青
superimpose	添加
antifertility	避孕
outer	外部的
brambly	有刺
tristigmatic	三柱头
scarlet	鲜红
skirmisher	散兵
columbine	鸽似的
kami	神
speechless	不能说话
obsession	困扰
atelectatic	肺膨胀不全
calendarian	日历的
korean	朝鲜人
kentledge	压舱用铁块
gripe	柄
carefree	无忧无虑的
vicinity	邻近
vile	卑鄙的
directoire	执政内阁时代式
snafu	使混乱
curtail	缩减
plodding	沉重缓慢
delay	迟滞
mobilise	动员
discourteously	不礼貌
vehicular	用车辆运载的
arenicolous	生活在沙中的
footle	呆话
mandible	下颚
polytechnic	工艺学校
tributary	附庸
dolores	德洛丽丝
neurosyphilis	神经梅毒
assimilable	可同化
cao	首席行政官
cadastral	土地清册
iniquitously	不正地
savoury	开胃的
weatherworn	风雨侵蚀
saltillo	萨尔提略
inventory	总量
rousseauist	的信徒
time	分期的
folkmoot	群众大会
stippling	点画
spectrograph	声谱仪
arhythmical	无节奏的
revolutionize	大事改革
glamor	魔法
apomixis	单性生殖
recantation	改变论调
solubilization	增溶
deadman	临时支撑物
patronizing	要人领情
delusive	欺骗的
tetrahydrofurfuryl	氢糠基
oracle	神使
protrusive	凸出
ungraceful	下流
attap	=atap
her	pro
weasel	告密
kirlian	基尔良
perversion	颠倒
spilehole	小气孔
unspent	没有用完
benthonic	海底
stop	终止
boeotian	迟钝的
ocso	the
flighty	反复无常
toon	红椿
egregious	异乎寻常
unflaggingly	不衰地
deathblow	致命的打击
brusquely	唐突
decidedly	果断地
incorporation	合并
fainthearted	无精神
solvent	溶解
cytophotometry	细胞光度测定法
personalize	使成私人的
flq	de
oculist	眼科医生
irq	interrupt
liquidambar	胶皮糖香液
intranational	一国之内的
sken	凝视
telephony	电话制造
softy	笨人
contour	轮廓
ft	Financial
regrade	重分等级
brontosaurus	雷龙
slimline	细线电缆
transmit	传播
hyperacidity	胃酸过多症
excogitate	研究出
crake	秧鸡
flibbertigibbet	不负责任
ankylose	胶着
derange	使发狂
band	队
genevan	日内瓦人
invaluable	价值无法衡量的
phosphorescent	发出磷光
majestical	宏伟
adulate	谄媚
wsa	Administration
falanga	打脚板刑罚
interceptive	截断
damsite	水库所在地
haloplankton	海洋浮游生物
tacnode	互切点
telurate	碲酸盐
parochiaid	政府给予教会学校的资助
lowest	最低
reinstitution	再建立
crossgrained	纹理不规则的
aye	赞成票
bechuana	贝专纳人
cnd	Campaign
katakana	片假名
slatted	用板条做的
thumbscrew	翼形螺钉
asbestos	石棉
philobiblic	爱好文学
mercantilism	营利主义
catnap	假寐
footstall	柱子的座坐或台座
blazon	宣布
unga	联合国大会
induce	感应
prevent	防止
visitor	来宾
systemless	无规则
overset	打翻
redraft	重新起草
balmy	止痛
autarch	独裁者
wildcard	通配符
precursive	=precursory
lecithin	蛋黄素
boreal	北
shiner	发光体
seizing	抓
lythe	青鳕
notgeld	应急货币
timberhead	船肋骨端头
fairly	相当地
inconsistent	矛盾
somnambulism	催眠梦游症
truckle	脚轮
hippological	马学
homogamous	雌雄同熟
diapsid	具双窝的
snippers	手剪
bestial	野兽
fustiness	霉臭
escapeproof	防漏泄的
showman	马戏团的老板
hygienically	卫生地
slavish	盲从
finis	终结
affrontedness	被冒犯
longevity	寿命
gassy	吹牛
wrong	错误地
pentobarbitone	=pentobarbital
housework	家务事
inessive	指示位置的
tyrannic	专制君主的
twinkling	闪亮
polyethnic	多种族的
azotic	氮的
scathing	严厉
virilocal	以男方家庭为中心的
inextirpable	无法消灭
savoie	=Savoy
maxilla	小颚
doozy	非常出色的人
affected	受到影响的
stoppage	中断
hokey	做作
unconfiding	缄默
capacity	能力
metastasis	转移
pteridophyte	羊齿类
splotchy	沾上污点的
film	薄雾
kepi	法国军用平顶帽
uptime	正常运行时间
endogamous	同系交配的
presentable	象样的
peregrination	游历
hypocotyl	子叶下轴
neuroplasm	神经原形质
dished	中凹的
filterable	可滤过
enrollment	注册
scruple	犹豫
eurygnathous	上颔宽大的
coil	卷
amusedly	好玩
humanist	人文主义者
prescription	药方
etr	外部数据传输速率
entail	使承担
symplesite	砷铁矿
posse	一队
retinue	扈从
deflorate	已开过花
portly	健壮
inconceivably	不可思议
engird	围绕
concubinage	非法同居
drossy	浮渣一样
moderato	中等速度
shift	推卸
muffin	松饼
shoal	沙洲
rabelaisian	粗俗幽默的
nice	拘泥
noneffective	无效
rozener	烈酒
receivership	破产在管
kongo	刚果人
fire	放枪
powder	搽粉于
eventless	平静无事
shamus	私人侦探
nonviolently	非暴力地
hyperverbal	极其罗唆的
rotatory	引起旋转的
chalybeate	含有铁质的
manrope	扶手绳
fmn	mononucleotide
interblend	混合
conflicting	相冲突
paralegal	辅助律师业务的
inertial	不活泼
dystrophia	营养不良
outline	要点
floatable	可漂浮
fettle	情绪
