fondly	情柔地
incunabula	古版本
gluey	粘着
handmaiden	侍女
trirectangular	三直角
eisegetical	肆意诠释的
clamant	吵闹的
ncaa	Collegiate
inkling	模糊概念
bans	结婚预告
wheezily	气喘地
urokinase	尿激酶
unapproachable	不可亲
lungful	两肺的容量
rifle	掠夺
cutcha	晒干
sticking	粘
seafarer	船员
blm	Land
volatilization	挥发
tutsi	图西人
shindy	大宴会
rawhead	妖怪
educationalist	教育家
astutely	伶俐地
allot	分配
liberia	利比里亚
oniony	洋葱似的
fascicule	束
phytocidal	杀死植物
isolator	隔音装置
very	十足的
scurrilous	嘴损
bakelite	电木
psalmody	唱赞美诗
franchisor	授予特许者
bohai	渤海
xerantic	使干燥
taxonomy	分类法
paced	步调的
atonalistic	无调性
backbench	后座议员席
sheathy	紧身的
billiard	台球
warring	敌对
tempt	试探
postpone	延迟
autogenesis	无生源说
doubtful	可疑的
platinocyanid	氰亚铂酸盐
retiree	退休人员
lewisson	鸠尾起重机
avouchment	断言
cpsu	Communist
woundy	极度的
plumbing	铅管品制造
pentateuch	摩西五书
pageboy	小听差
flippantly	没礼貌地
bled	流血
benny	安非他明药片
redo	再做
yellowbird	金翅雀
noncontent	英国上议院中投反对票的议员
rcaf	Air
fallway	朝上的坑口
disedge	使无生气
searchless	无法探究
upper	上面的
spheriform	球形的
disputably	有讨论余地
chevrotain	麝香鹿
processionist	走在队伍里的人
clad	在金属外覆以另一种金属
gelidity	严寒
steam	蒸汽
rascaldom	流氓行径
piezometric	压力的
incipience	起初
paronychia	甲沟炎
characterful	表现性格的
georgic	农业
nymphaeaceous	莲科植物的
beclomethasone	氯地米松
syrtic	流沙
reticulated	网状
cyclical	轮转
alkalimeter	碱浓度测量器
bailable	可交保
dangler	吊着晃来晃去之物
plexiglass	树脂玻璃
trencher	挖沟者
diphtheroid	类白喉
razorjob	恶毒攻击
southpaw	用左手的
vapidness	没有生气
incompatible	不调和
adventurous	充满危险的
felv	leukemia
dinkey	小型电车
cupric	二价铜的
reedy	细长
bba	工商管理学学士
plutocratical	富豪政治
aries	白羊宫
ncte	English
pickerel	小梭鱼
rigid	严格的
demiurge	物质世界创造者
synanthropic	生态上与人类关联的
larch	落叶松属植物
word	诺言
politely	客气地
pedigree	家谱
peke	哈巴狗
handwork	手工艺
juicer	酒鬼
straight	整齐
usis	美国新闻处
kalimantan	加里曼丹
unbloody	未流血
transcendency	超然性
diplococcus	双球菌
lifeless	无生命
toolroom	工具间
snakey	=snaky
appalachia	阿巴拉契亚
hapsburg	哈布斯堡王朝
puncta	punctum的复数
riboflavin	核黄素
infringement	违反
semiautonomous	半自治的
shaker	摇动者
vagus	迷走神经
whistly	似口哨
marl	泥灰砖
mitsein	同在
healthy	健壮的
cheeringly	兴高采烈
grizzled	灰色
levee	码头
dower	给以嫁妆
uncorrectable	不能补救
electrostatic	静电
corticated	有树皮
sandbluestem	美洲须芒草
xylonite	假象牙
emulational	仿真
aseismatic	抗震的
nuclear	原子能
colidar	激光雷达
rational	有理数
udal	土地自由保有权
rogallist	悬挂式滑翔机运动员
autopsy	验尸
nonferrous	非铁
writable	可写下
provocation	挑拨
rubefacient	使发红
conidial	分生孢子的
nanna	保姆
arret	判决
trichord	三弦乐器
spongioblast	无轴索细胞
eucharistic	圣体的
tail	在后面
sarajevo	萨拉热窝
winningness	动人
insolence	傲慢
extravasation	溢出
coronetted	戴冠的
ichor	败液
twaddle	废话
atomy	微粒
rarp	Protocol
exculpatory	辩明无罪的
talisman	辟邪物
verification	作证
immature	不成熟的
remarque	印版边上的标记
pisgah	毗斯迦山
smalti	smalto
sclerosis	硬化
antiviral	抗滤过性病原体的
pyriform	梨形的
contoid	像辅音的
curculio	象鼻虫
turgescence	肿胀
holophrase	表句词
destination	目的单元格
doubly	二倍地
canalage	运河
maidless	没有侍女的
bluestone	硫酸铜
doughty	刚强的
beekeeping	养蜂
abstinent	禁欲
flamboyancy	浮华
jump	使跳跃
dainty	美味
microeconomics	微观经济学
cacumen	物体之顶端
maltworm	酒徒
excess	剩于
olive	橄榄色
downdrift	往下漂流
glaciologist	冰河学家
cutey	可爱之女孩
instantaneous	瞬间的
blues	抑郁
dominant	支配的
beggarweed	山蚂蝗
button	按钮
sea	许多
infibulate	夹住
touse	粗暴对待
lueshite	钠铌矿
abuzz	嘁嘁喳喳
stipulation	约束
ptomaine	尸碱
nooky	多角隅
gloriously	辉煌地
docent	讲师
planting	装备
infected	被感染的
unworldly	非尘世
tcb	of
dronish	懒惰
inequable	不一样
measureless	无限的
granitic	由花岗岩形成
prolative	补足谓语
quaggy	沼
invulnerability	不会受伤害
theism	有神论
surpliced	穿着白色法袍的
dupery	诈欺
sesquicentennial	一百五十年
ungraceful	无礼貌的
usv	Volunteers
callous	冷淡的
reciprocator	报答者
takeoff	卸除的
liberte	自由、平等、博爱
platonize	依从柏拉图哲学解释
azonic	不限于一地方
emblazon	盛饰
uno	Organization
fragmentized	破碎的
whitehanded	诚实的
spherical	球的
serpiginous	匐行
spherics	球面三角学
subception	perception
splenius	夹肌
anthophagous	食花的
sweathog	流大汗的苦学生
erythrosin	赤藓红
lur	Railway伦敦地下铁道
exuberant	华而不实的
ketolic	有酮醇官能团的
plowland	可耕
stockroom	商品储藏室
opaquely	不透明地
recalcitrance	反抗
unkink	使变直
demivolt	半跃
computative	喜欢计算
agonizing	苦恼
visiting	拜访
reliance	信心
rounding	环绕的
crowned	有王冠
drugpusher	贩毒者
quarterback	担任四分卫
poculiform	杯状的
raising	高
alpine	高山的
quip	讽刺
presentive	直接表示概念的
process	作用
hygeian	健康女神的
tagrag	乌合之众
paragoge	语尾加音
mandatory	命令的
edaphic	土壤的
expellant	有驱逐力
engarland	戴以花圈
caucus	核心小组会议
stagger	蹒跚
simple	易受骗的
rid	使去掉
permissibility	允许
thin	使稀少
circumpolar	极地附近
displease	使不快
hassle	争论
asc	altered
softback	平装书
dead	完全
aspi	Programming
vdc	志愿保卫队
hedgy	多灌木树篱的
multifarious	种种
waterproof	防水
unimposing	没有威信的
setback	退步
musk	能发出麝香的各种各样的植物
comous	多毛
etherealize	使灵妙
raid	袭击
impeccable	没有缺点的
subsea	海底
mutter	咕哝
spud	用小锄锄
vaticanism	梵蒂冈主义
cpo	chief
thio	含硫的
unmelodious	不入调
debe	听头
hereinbefore	以上
sublunar	地上的
extraatmospheric	大气层外
quarter	方向
spent	精疲力尽
querist	询问者
chrysanthemum	菊花
chelonian	海龟
nonsolvency	非溶剂
sheltery	遮蔽的
yate	桉树的木材
limp	易曲的
pitchman	商品宣传员
enactory	制定法律的
anemochore	由风散布种子的植物
birdbrain	愚蠢
obtuse	钝
consequence	推理
hydroformer	加氢重整装置
study	努力
stray	偶遇的
desolately	荒凉
thermophil	嗜热生物
homogametic	同
holocaust	大毁灭
anthophilous	虫媒
areolet	昆虫翅脉之间隙
thereout	从那里
votive	奉献的
bum	免费得到
downfall	大雨
habilatory	服饰的
reindict	再控告
grizzly	略灰色的
arenaceous	多沙的
wartwort	grass
ebb	退潮
pubes	阴毛
grace	雅致
albumen	胚乳
plagiotropic	斜向的
communicatee	交流对象
comber	卷浪
recivilize	使恢复文明
caginess	小心
nonpathogenic	不致病的
ate	Automatic
couchant	俯伏的
blob	一滴
distention	延伸
infectivity	传染性
lampless	无灯
bgp	边界网关协议
abcd	加快收寄投递系统
dictograph	侦听器
andirons	铁制柴架
ontogenetic	个体发育的
leporid	兔科的
rheotaxis	趋流性
rejective	拒绝
chocolaty	如巧克力般的
tractive	曳引的
haemodynamic	血液动力学的
zirconate	锆酸盐
funereal	适合葬礼的
gateman	收票员
monition	警告
foreboding	预感的
primary	原来
coital	性交的
vlbi	甚长底线干涉量度法
bilobate	二裂片的
stygian	阴黑
inamorato	情郎
interfere	干预
faltboat	一种可折叠的帆布艇
comecon	Economic
contradictory	抗辩
industrialist	实业家
insectual	昆虫似
demoded	过时的
trifilar	三点的
glutethimide	苯乙哌啶酮
conenose	吸血昆虫之一种
unhorse	推翻
kneed	有节的
calculably	可预料
amandine	含有杏仁的
wardmote	区市民会议
iatrogenic	因医生的治疗而引起的
phenacetin	非那西汀
turgid	浮夸的
gun	用枪射击
chordamesoderm	脊索中胚层
telescopically	望远镜
subpolar	靠近北极或南极
hypognathous	下口式的
rallyingly	嘲笑
prejudice	损害
squish	压扁
hallali	吹号声
vacancy	空闲
largo	庄严
scurvily	下流地
overall	全部
exenterate	取出……的内脏器官
backmarker	不享有让分优待的参赛者
coco	椰子树
pronounced	明确的
www	万维网
shiv	剃刀
jingoish	好战主义的
tungstate	钨酸盐
diffusionist	传播论者
prithee	求求你
prepositional	前置词
presidial	省区
alcoholize	醇化
frisk	搜身
antlion	蚁狮
seaboard	海岸
amnesia	健忘症
fibre	构造
amputee	受切断手术的人
aggregative	集团的
snell	精明的
codominant	等显性的
episterna	上胸骨
approvingly	满意
euhedral	自形的
graveclothes	寿衣
aga	将军
photochromic	对光反应变色
chirography	书法
square	结清
sexennial	每六年的
tramontana	干冷北风
eventual	可能的
herculean	巨大
catchy	易记住的
arenicolous	生活在沙中
sic	原文如此
christianly	如基督徒
hexahedral	六面体
torpefy	使麻痹
having	所有
slow	不活跃
terret	供穿缰绳的环
sizz	嘶嘶声
volume	卷
treasure	财宝
germanic	日尔曼语言
lippie	口红
weak	不耐用
hairdressing	美容
syncretize	融合
cowish	胆小的
stand	立
stowp	=stoup
pyretic	发烧的
arundinaceous	芦苇的
polyhidrosis	多汗
yawper	吵闹者
cofferdam	围堰
unbelievably	不可信地
portulaca	马齿苋属的植物
smirch	污迹
diversion	解闷
pulpify	使柔软
imputation	归咎
spicy	出产香料
flute	笛状物
southeastern	东南方
originate	引起
bushland	未开垦森林地带
emporia	商业中心
charmed	喜悦
vambrace	前臂铠甲
placentography	胎盘造影术
greenwing	巴鸭
extant	现存的
style	风格
faint	虚落
shvartzer	=schvartze
amused	开心
discutient	消散的
simper	痴笑
dichloromethane	二氯甲
berliozian	柏辽兹乐曲研究者
doghole	狗窝
inferno	地狱
meatman	肉商
hell	训斥
atrocious	残暴
esculent	可食用物
zaire	扎伊尔
flogging	鞭打
ramshorn	鹦鹉螺
dodecagon	十二角形
ouachita	沃希托河
heptavalent	七价的
tcd	College
plastron	胸饰
somatoplasm	体细胞原生质
phyllodium	=phyllode
unsized	未上浆的
replacement	补充兵员
preferences	参数选择
regenerator	交流换热器
foremost	最初
macrophyllous	具长叶的
setting	底座
amphichroic	两性反应
distichous	二分
infold	抱
gallery	走廊、戏院、教堂等中最高的楼座
sanguine	有望的
contadina	农妇
dlitt	doctor
upbraidingly	谴责
electrometallurgy	电冶金学
antitoxic	抗毒素的
squamaceous	多鳞
indomitably	不屈服地
pleading	恳求的
mirable	极好
aslope	成斜坡
glittery	闪光的
fearfully	非常
lignicolous	长在树上的
remarkably	显著
protectingly	加以保护地
addlepate	傻瓜
successional	接连
whittle	损害
uniform	统一
slavonian	斯拉夫尼亚人的
metonymical	换喻的
raec	皇家陆军文教队
olympian	庄严
alphahelical	α螺旋结构
obtected	有皮壳的
shandite	硫铅镍矿
ergophobia	对工作之厌恶
highway	公路
bors	鲍斯爵士
unequivocable	明确的
napiform	芜菁状的
maximum	最大量
elizabethan	伊丽莎白女王
premise	前提
remythologize	使重新神话化
agglutinative	会粘着的
molestation	骚扰
unexpanded	未被扩展的
whiskers	胡须
coprophobia	粪便恐怖
polychromic	=polychrome
unitarian	一神论者
gambado	恶作剧
vahine	中太平洋波利尼西亚
independence	独立
moor	沼地
crispate	有皱边儿的
splinterless	不会裂成碎片
feelingless	无感情的
differentiable	可微的
sudaria	有耶稣像的手帕
unoffended	未被得罪的
mainmast	主桅
cohesion	内聚力
isolation	隔离
weco	=WEC
x	第二十四的
galliambic	由两个抑扬格音步组成
distressing	使烦恼
northbound	北行的
acritical	不危险
brimful	满到边际
procathedral	代主教座堂
echovirus	ECHO
herakles	=Hercules
piscine	鱼
hent	抓
undistracted	心神不烦乱的
prostate	前列腺
premalignant	癌变前的
lecithoid	磷脂的
impreg	浸脂材
provitamin	维他命原
hydroxylate	化
covered	有屋顶的
delirifacient	谵妄促成剂
plutocratic	富豪
deific	予以神化的
ripsnorting	大不了的
beetleweed	=galax
wsa	War
tremolo	颤音
valuate	对……作估价
diamond	钻石
backfisch	未成年的女学生
caterpillar	毛虫
eaglewood	沉香木
lexicographical	词典编纂
euphemistical	婉转
leftward	在左侧
geggie	巡回演出
forethoughtful	慎重
abortive	流产
ghent	根特
sopranist	女高音歌手
aircondition	装冷气机于……
commoner	平民
filamentary	单纤维
endnotes	尾注
tonkin	东京
arrestive	引人注意
unknowable	不能知道的
goaf	废矿
sideward	向侧面地
brightness	光亮
pneumothorax	气胸
asteroid	小游星
cannoneer	炮兵
medalist	受领奖章的人
peak	使竖起
explicable	可说明的
heavier	沉重
pterodactyl	翼龙
obtestation	抗议
peppertree	胡椒树
phatic	仅仅是交际性的
pushiness	粗鲁
hoist	升起
unveil	使公诸于众
laboured	吃力的
pizazz	潇洒
counterfeiting	伪造
postmarital	婚姻结束后
oma	orderly
terran	地球人
extortionate	过高的
pressure	紧迫
lobola	男方在婚前送给新娘的财礼
overland	经过陆地的
idiotropic	内省
deb	初进社交界的女孩
sesquicentennial	一百五十年的
mainour	在盗贼身上搜到的赃物
dystrophication	河水污染
interseptal	隔间的
unio	珠蚌
multicentric	发生于多中心
cokey	可卡因瘾君子
repose	静卧
heptaglot	使用七种语言
tribometer	摩擦计
weirdie	古怪的人
toltec	托尔特克人的
seedsman	播种者
malconduct	错误行为
electrodynamometer	电测力计
abrade	摩擦
firry	多枞树的
rising	增加的
eerie	可怕
tee	搁在球座上
allround	多才多艺的
moral	道德的
reticulose	网状
semishrub	小灌木
haemodynamic	血液动力
burl	树节
sympathetically	怜悯
unfastidious	不爱挑剔的
jollop	泻药
plover	珩科鸟
furry	有锅垢的
causey	堤道
overlook	远眺
metagenesis	世代交替
tungus	通古斯人的
cosponsor	共同主办人
safebreaking	=safecracking
polyether	多醚
intestinal	侵袭肠的
terahertz	太
hypogyny	下位
availably	有效
unmethodical	无顺序的
pray	请
badness	恶劣状态
riflery	打靶练习
graniteware	花岗石花纹的陶器
whorl	盘旋
gossipmonger	爱说闲话的人
megagametophyte	雌配子体
jussive	命令
scrupulously	多顾虑地
prostacyclin	环前列腺素
washerette	自助洗衣店
dialectology	方言学
gloam	黄昏
saloop	以黄樟皮等加味的热饮料
cullis	天沟
unimpressible	不可铭刻的不易受感动的
counterweight	称锤
spermatogenic	=spermatogenetic
irdp	Protocol
carbonatite	碳酸盐岩
perfective	完成
counterchange	使互换位置
melting	熔化
network	广播网
carneous	肉色的
bloodguilty	杀人
nonpositive	非正
decapitation	解雇
suspension	暂停
polyconic	多圆锥
conroy	康罗伊
bacchante	酒神巴克斯的女祭司
kmps	公里/秒
xinca	辛卡语
gutter	装订线
carborane	碳硼烷
circuitously	曲折地
antituberculous	抗结核的
thrive	繁荣
alternation	交替
reincrease	再增加
straight	正直的
bursiform	囊形
distichously	二列地
alternant	交替
dizzy	使人晕眩
lean	瘦的
jadishness	毫无价值
exine	花粉粒外壁
crustquake	壳震
inoculum	接种体
copyread	修改
piezometric	压力
verso	封底
courage	勇气
sclerophyte	硬叶植物
perusal	精读
fortitudinous	顽强的
march	进军
uss	Ship
submissive	顺从
conferee	参加会议者
sulfanilamide	磺胺
disadvantage	劣势
flyweight	次最轻量级的拳击选手
encomiastic	阿谀
epigene	表成的
cyanidation	氰化
readjust	再调整
microdiagnosis	微诊断
leptosomatic	细长型的
splenial	夹肌的
chary	吝啬
feathery	生有羽毛
overgraze	在上实行过度放牧
baae	Astronautical
nerka	红大麻哈鱼
warrior	战斗的
rap	敲击
dolt	呆子
sheriffalty	=shrievalty
unpicturesque	不生动
gangplank	踏板
thermae	温泉浴场
palmiped	蹼足的
reincarnate	使转生
ulotrichan	有鬈发
shamois	=chamois
abustle	熙来攘往的
candu	deuterium
rammish	好色
gallinule	鹁类小鸟
supranational	超民族的
amorce	点火药
declension	倾斜
salted	有经验的
samaritan	撒马利亚人的
tetchy	脾气怪的
fill	充分
improper	不合适的
larksome	嬉戏
impressionistic	印象派
charmless	不美的
lordotic	弓背姿势的
tartrated	自酒石
cleidoic	与环境隔离
slideway	滑道
pharmaceutist	药剂师
cloud	使黯然
scrofulous	堕落的
tew	warning
plumulate	有漂亮羽毛
doored	有门
tap	开发
survey	通盘考虑
countrify	使粗俗
existence	存在
astronaut	太空人
vassalage	隶属
warp	乖戾
seasoned	老练
ladefoged	拉迪福吉德
shrillness	尖锐刺耳
simplicidentate	单门齿目的
chitarrone	长双颈诗琴
mirror	镜子
featherlet	小羽毛
rhombohedron	菱面体
choice	选择机会
offal	垃圾
polypragmatical	多管闲事
fisted	握成拳头
brow	额
retinue	随行人员
burgomaster	市长
mechanism	机制
forbore	bear的过去式
receptive	能接纳
evaluable	可评价的
quatrain	四行诗
grinningly	露齿
gallantly	漂亮地
faradize	用以感应电刺激
cleared	清除
jibboom	第二斜桅
total	总
pahoehoe	绳状熔岩
bloop	做蠢事
childermas	儿童节
spirituelle	活泼
pet	爱抚
rejectamenta	垃圾
vaccy	=vacky
christocentrism	以基督教义为中心
lunarian	研究月球的人
workbasket	针线袋
evolutive	发展的
upbind	包扎
hearthrug	炉前的地毯
atrous	深黑
plu	与我们一样身份的人
vexillum	军旗
robustious	强壮的
confuse	使糊涂
transilient	飞越的
dysthymic	心情恶劣的
pliant	顺从
correctly	恰当
virogenic	病毒所致的
developmental	发展的
curiosa	珍本
sentiment	多愁善感
ticklish	难对付的
ruthful	充满感伤的
flicker	使摇曳
unsubmissive	不服从
tuan	先生
proclamatory	布告
hijack	抢劫
larkishly	好嬉戏
cheliferous	带螯的
fatefully	决定性
spirochaeticide	杀螺旋体药
snorty	令人讨厌
unacquainted	不熟悉的
acidanthera	非洲鸢尾
tuition	学费
insufflate	吹进
coronetted	戴冠
twister	歪曲事实的人
inshore	沿海岸
expediency	权宜
framed	加外框
claimer	要物求者
tenderly	温和
pearmain	红苹果
underpinning	支柱
reemergence	再度出现
rigidification	僵化
naturopath	理疗家
gymnastic	体操的
flavodoxin	蛋白
unprovided	无支援的
hell	地狱
integral	整体的
penile	用阴茎的
pull	牵引力
allantoic	有尿囊
apa	全点可寻址
bareheaded	不戴帽子的
idolatrize	盲目崇拜
shrilly	尖锐
adulterate	通奸
forwardness	热心
willing	乐意的
waterworks	眼泪
arthropod	节肢动物的
scenic	戏剧性
puri	宫殿
forbidden	严禁的
pomiculture	果树栽培
papalize	教皇制度化
administrative	行政法庭
perioeci	珀里俄基人
unsc	联合国安全理事会
cyclopedia	百科辞典
basting	涂油
warlord	军阀
hrs	hours
reflexological	反射论的
extricable	可解救
cacogastric	消化不良
mulligatawny	咖哩肉汤
jarovization	春化处理
bimbo	女人
illiberally	小气地
demandable	可要求
flightism	逃跑主义
baculiform	杆状
totter	动摇
ropemanship	走索技术
exophthalmos	眼球突出
mesh	网丝
flow	淹没
deep	深渊
confirm	使有效
unfathered	私生
upstart	暴发户
aglare	闪耀
lutist	弹琵琶者
breather	剧烈的运动
wdp	Layer
cultivatable	可耕种
interpolatory	插入
angular	有角的
excuse	原谅
renovate	刷新
expenses	开支
oesophageal	食管的
hors	不必
expire	断气
ncte	全国英语教师理事会
feat	漂亮
flump	砰然声
kazatski	哥萨克舞
quadrable	可自乘的
mystically	神秘
cryptozoic	生于偏僻地区
arthrotropic	致关节疾病的
minitanker	小型油船
tipsily	倾斜
setup	计划
foliate	覆有叶的
oceanic	生活于海洋
digit	阿拉伯数字
linkboy	持火炬的人
submuscular	肌肉下的
resolve	分解
synchronously	同步地
dichogamic	雌雄异熟的
tortuous	转弯抹角的
farce	闹剧
amiably	和蔼可亲地
hammercloth	马车车夫座上的布篷
msj	Master
violinist	小提琴家
gpl	License
fond	宠爱的
fluorescent	荧光的
dissuasive	劝戒
erodent	腐蚀药
pure	纯净
typecast	配合其型而决定角色
brushy	毛茸茸
otherguess	别种的
kailyard	菜园
undemonstrable	无法证明
chondrification	软骨化
firefly	萤火虫
taxonomic	分类学的
doubledome	有高度文化修养的人
chomskian	乔姆斯基语言学理论的
controvertible	有辩论余地的
carboniferous	石炭层
barren	单调的
zoograft	动物体素之移植
lankiness	又瘦又高的
nescient	无知
arrival	到达
melting	熔化的
mlw	平均低潮
existent	现存
mf	混帐东西
aptotic	无变化的
guatemala	危地马拉人
orpington	鸡的一种
antirheumatic	防风湿病
distolingual	远中舌
enugu	埃努古
identic	恒等的
slower	减慢
flavescent	逐渐变黄
deutoplasm	滋养质
tho	不过
undynamic	无生气
rac	Aero
dicker	还价
phencyclidine	苯环己哌啶
ferrophosphorous	磷铁
schizo	精神分裂症的
edd	Dictionary
interknit	使交缠
transat	大型甲板躺椅
incomer	进来者
selfishness	自私自利
komati	科马提河
blatant	吵闹的
imperceptible	感觉不到
pleadingly	诉愿
lualaba	卢瓦拉巴河
crush	压垮
echoism	形声
palladium	钯
supinely	仰卧
naeb	Broadcasters
inconsequently	不合适
erosible	=erodible
spermagonium	性孢子器
udp	User
greenmail	绿票讹诈
singlehanded	单手的
authorless	匿名的
somewise	用某种方法
augural	卜占的
unperforated	=imperforate
scr	Reconnaissance
aquatint	凹铜版腐蚀制版法
instill	慢慢地灌输
harlotry	妓女
interlard	混入
genii	魔仆
vaporization	喷雾器
dernier	最终的
westy	terrier
nehemiah	5
automatic	自动
circumgyration	旋转
perspective	透视画法
trifilar	三股
ambulation	移动
kuchen	德国式的蛋糕
spend	度过
hippish	悲伤的
launder	洗黑钱
assiduous	刻苦
multipoint	多位置
efficacity	功效
knockabout	小游艇
popery	天主教会
regard	重视
diagonalize	斜向移动
acknowledged	公认
prettily	悦人
smooth	平坦的
sordamente	柔和
cannular	管状
directorial	指挥者
capitular	牧师会法规
unsteadily	摇摆
tailored	剪裁讲究
way	大大地
mathematical	精确
anacidity	酸缺乏
excusal	免除
northwesterly	向西北
pit	正厅后排、正厅后排的观众
nonconformity	不一致
crankish	古怪的
dedicator	献身者
bouffe	喜剧性的
caracol	螺旋楼梯
pajama	=pajamas
anuresis	无尿
grazioso	幽雅的
supplicatory	恳求的
unspiritual	尘世的
chime	鸣
conditionality	受限制性
nigerien	尼日尔人的
bandy	打来打去
uncommon	罕有
legalize	使得到法律认可
ahum	轻哼的
averse	不愿意
inactively	不活动地
polling	轮流检测
reversedly	颠倒地
ineffectively	无效
excerption	抄录
filarial	丝虫
essoin	缺席允准
attending	主治
articulatory	关节
electrostatics	静电学
merry	欢乐
lazaret	检疫船
eastside	纽约市曼哈顿东区的
genially	亲切地
fjp	New
metamorphic	改变结构
heighten	升高
hydrometric	液体比重计
pyin	脓蛋白
tanto	太多
remedy	赔偿
nephology	云学
flimsy	没有价值
average	平均
inimicable	不利的
intrigant	奸夫
knotless	没有结
primitivity	原始性质
iconize	盲目崇拜
mavourneen	亲爱的
misplacement	遗忘
impossible	不可能的
awheel	骑脚踏车的
ventriculography	脑室造影术
balzac	巴尔扎克
diploblastic	双胚层的
dateline	国际日期变更线
gerardia	假毛地黄属植物
variorum	集注版的
inquilinous	寄居的
xms	specification
eversible	可外翻
methinks	我想
rosiness	玫瑰色
faldstool	折叠式椅子
laburnum	金链花
slade	Designers
gul	蔷薇属植物
freezing	冷冻用的
nereus	海神
glitzy	眩目的
myelosclerosis	脊髓硬化
commanding	发号施令的
wps	中文字处理系统
hamam	大众浴室
hennery	养鸡场
pawl	用制转杆使停转
gawk	呆子
cedar	雪松
serve	当仆人
kikladhes	为Cyclades之希腊文名称
incflds	包含域
span	范围
gmbh	beschrankter
inessive	指示地点
neurology	神经病学
passivism	消极主义
cromerian	克劳默人的
aidedecamp	副官
fontanel	囟门
gramineous	青草味
smoothness	光滑
potation	饮料
virosis	患病毒性疾病的
aeroballistic	空气弹道学的
princesse	公主装
levee	大堤
eonian	永久
vermicular	蠕虫
englobement	变成球状
malignance	恶意
spicy	加香料
choochoo	火车
inaugural	就职的
cycle	骑自行车
arbiter	判优器
wildwind	=hurricane
constrained	拘泥的
cocker	西班牙长耳猎犬
rapscallion	流氓
gallop	使飞跑
axseed	=crown
unequable	不平和的
endosmose	内渗
hippomania	爱马癖
hatefully	可憎
revolt	反抗
upright	正直
acetin	甘油醋酸酯
pietist	虔信派教徒
unisonous	协调的
romanza	浪漫曲
recalcitration	反对
riskily	危险万分
indeterministic	非定命论者
foresaid	上述
cardamine	碎米荠属植物
labialism	发唇音的倾向
suspension	悬浮
eleusinian	古代希腊
nondelivery	没有送达
antiquity	古代
unrwa	Agency
rhythmizable	予以节奏
fenestrate	有窗的
contagion	传染
reticence	沉默寡言
rambling	漫步的
amelioration	改善
modus	形式
tarn	小湖
prelicense	发放执照前的
hunger	欲望
levorotatory	左旋
terraneous	生存于陆地上
mediative	=mediatory
ichthyotic	鱼鳞癣的
marathonian	马拉松平原的
skeptically	怀疑
tangency	相切
jay	鸟
klan	三K党
multicollinearity	多重共线性
nightwear	寝衣
tempestuous	有暴风雨
independent	中立派
touching	动人的
preocular	眼前
housemaid	女佣
scuttle	急促地跑
ucky	脏兮兮的
corrupt	使恶化
paybox	售票处
phalanstery	共同居住之团体或其共居之房屋
breathless	无声息
hierogram	神符
boding	前兆
technicality	学术性
hydrometallurgical	湿法冶金
crayfish	小龙虾
maximin	使得点最多的战术
course	学业
lippen	依靠
pseudoalum	假矾
kokanee	红大麻花鱼
pilliwinks	夹指刑具
anemography	风论
davida	黛维达
recoronation	从立
taws	鞭打
indent	切割成锯齿状
overbrilliant	过分光辉灿烂的
fluorine	氟
distasteful	讨厌
deformation	变形
abide	坚持
sodomite	兽奸者
drum	鼓室
hadaway	快干!抓紧干!
incapability	无能
connection	亲戚
emulously	竞赛性地
ferdus	费尔德斯
skyline	以天空为背景映出轮廓
epidendrum	美洲石斛
quarte	第4姿势
figuline	陶器
pulmonic	由肺进行地
organophosphorous	有LrEs/
alkalinize	成碱性
davenport	小型写字台
meanly	吝啬地
extraterritorial	在疆界以外
afc	C
terminological	术语学的
helot	奴隶
concentrical	集中
qse	scientist
coenocytic	多核体
rezident	驻外特工
unwearied	不累
nerving	神经切除
unisonous	协调
rising	上涨
conjuration	咒语
superior	高手
sokotra	=Socotra
inkstone	砚
hypnotize	使着迷
evident	明显的
schlockmaster	次品制作者
expect	认为
theosophical	神智学的
graininess	粒状
disloyalty	背信弃义
cms	教会传教士协会
inky	漆黑
sbr	Butadiene
favour	宠爱
compossible	可共存
creak	吱吱响声
easier	更容易
bpi	每英寸字节数。
unslaked	未满足
flammability	易燃
verdancy	幼稚
refutably	可反驳
greening	绿皮苹果
slate	铺石板
radiac	辐射计
heptasyllable	七音节的诗行
gentlemanly	绅士派头
abdicant	退位者
nazirite	=Nazarite
pragmatical	独断
flatly	无力气
bemused	困惑
nlp	program
epizoic	体外寄生
transversal	横肌
ft	英尺
paratonic	外来刺激引起
book	篇
nailer	制钉者
shin	攀
dyfed	德韦达郡
intrepidress	无畏
wakeless	酣
extracranial	颅外的
colourably	可着色
shagginess	长成浓密繁茂的样子
hearth	壁炉地面
embryotic	萌芽期
brooky	多溪流的
comte	伯爵
herbarium	腊叶集
periodide	高碘化物
capillarity	毛细管现象
lucida	明星
ascham	阿斯克姆
unexhausted	未用竭
autodecrement	自动减量
preferential	优先
encephalomalacia	脑软化
fictionally	杜撰地
signory	领域
respectfully	谦恭
xxxix	39
ceremonious	隆重的
submundane	面下
unwinnable	不能赢
church	教会
rabbi	先生
unambivalent	肯定的
unbefriended	无朋友
crispation	挛缩
wantage	缺少
grandiose	宏大的
salvage	获救的财货
crabbily	乖戾地
periodate	高碘酸盐
unpretending	谦逊
unequaled	无比的
opponency	对抗
heckelphone	黑克尔管
countercoup	反政变
