bier	棺材架
noncommittal	不明朗
heavier	巨大的
histopathologic	组织病理学说CdVIk/
scottie	苏格兰的一种野狗
ureterostomy	输尿管造口术
bombardon	低音簧舌塞子
windowy	窗多的
cask	木桶
kingpin	中央木柱
wolfram	钨锰铁矿
yodel	用真假嗓音陡然互换地唱
smelt	smell的过去式和过去分词
blastocyst	胚泡
scouting	童子军的活动
reschedule	重订……的时间表
unrifled	滑膛的
uc	case
woodwind	木管乐器
linstock	火绳杆
anglewing	一种翼前有凹痕的蝴蝶
culpably	该罚地
viciousness	邪恶
fledgy	盖以羽毛
bedmaker	制床者
insipidly	没有味道地
www	Wide
slopwork	成衣
mariology	圣母马利亚研究
edification	熏陶
unclimbable	爬不上去的
downy	绒毛
apery	摹仿
podiatry	脚病学
conmanship	骗子手法
officialize	使官方化
cravenly	胆怯地
gaudiness	华美
basined	为盆地所围绕
animalistic	兽性说的
doloroso	感伤的
heterochthonous	外来的
breechless	无后膛的
epicurean	贪口福
hulking	粗陋
chandleress	女蜡烛贩卖商
rushes	工作样片
compulsively	禁不住地
tenderize	使嫩
timebargain	期货交易
dairy	奶品场
injunctive	禁止令
pupillage	未成年
heptagonal	七边形
expatriation	放逐国外
buggy	双轮单座的轻马车
landplane	陆上飞机
wheeled	有轮
espanol	西班牙的
ettu	原来还有你啊
twyformed	=twiformed
exception	异议
camorrism	克莫拉的活动
precambrian	前寒武层
cinerous	灰烬的
expositive	说明的
dockside	码头前沿
ittf	Table
stratigraphy	地层学
contract	婚约
galvanise	=galvanize
cryptococcus	aI隐球酵母
instead	代替
harm	损害
skive	磨
quass	=kvas
hetaera	交际花
partite	深裂
creta	白垩
carter	运货马车夫
ultrarightist	极右
fsb	Side
pop	汽水
vanadous	亚钒的
fm	密克罗尼西亚
imprudently	不小心地
aciniform	如成串葡萄状
inauthoritative	v/
geraniol	香叶醇
correlated	有相互关系的
ritz	豪华的旅馆
asinine	象驴一样的
actualize	实现
aba	长袍
volation	飞行
undynamic	无生气的
mahatma	大圣
flandre	=Flanders
hotchkiss	一种机关枪
gluey	胶质的
hairsbreadth	极狭的
fibula	扣针
intercommunion	互相来往
recliner	可躺式椅
haemophilia	血友病
enterocolitis	小肠结肠炎
mistakable	易弄错
hypotheses	假定
admonition	警告
thioguanine	硫鸟嘌呤
robbery	抢夺
sheep	羞答答的人
laf	French
swift	迅速地
poke	闲荡
pallia	pallium的复数
latchet	鞋带
kickback	强烈反应
distress	忧伤
untoward	倔强
kaisership	皇帝的职位
whoopla	狂欢
disciplinarian	训育
telegraph	发电报
upswing	改进
pyin	脓素
test	检验
workpaper	作业报告
salivarian	通过唾液传播的
ectoplasm	外质
davit	吊艇柱
insouciant	无忧无虑
baht	铢
haemocytoblast	成血细胞
recognizant	意识的
victoriously	胜利
majestic	宏伟的
orient	确定方向
crus	后腿的
monocle	单片眼镜
windstorm	暴风
bunkum	废话
inextricably	解不开
tastefully	风流
alcoholometer	酒精表
wardship	监护
barbaric	毫无约束的
abbreviation	缩写词
shellproof	防弹的
arafura	Sea阿拉弗拉海
polite	有礼貌
firmer	坚硬的
photosystem	光合体系
boutonniere	插于钮孔上之花
wany	=waney
goodby	=goodbye
eleventhly	在第十一号
gaba	伽马氨基丁酸
unhurried	不慌忙
watcher	看守人
handbag	手提包
semidiurnal	一天两次的
fiftieth	第五十
lutrine	水獭
gust	一阵狂风
typeface	字体
trifilar	三股的
painstaking	辛苦
protractile	伸出
gargle	漱口
xylocarpous	结硬木质果
tremulousness	发抖
asce	Civil
dodo	还不能单独飞行的航校学员
potboil	为混饭吃而粗制滥造
softish	有点柔和的
quaint	奇怪
pomeranian	波美拉尼亚
stag	全是男人
inevitable	必然
celloidin	火棉胶
carpetbag	毯制的旅行袋
extricable	可救出
shopworn	陈腐
addible	可添加
disappoint	使失望
explain	说明
can	把食品装罐
congest	使充满
floristic	植物种类
millisecond	毫秒
becky	贝基
sleeve	袖子
climactic	渐层法的
yakitori	串肉扦上腌泡过的小鸡块
contemplative	祈祷
divarication	分叉
radioscopy	X光透视
unfailingly	可靠地
nacrous	=nacreous
exertive	费力
controvertist	=controversialist
rathskeller	设在地下室的德国式饭馆
celebration	庆典
fusional	熔化
defeat	战胜
tetrasporangium	四分孢子囊
fuzzy	有绒毛
musingly	沉思
crenulate	小圆齿状的
sorta	近似
uncalled	未叫到的
decoder	解码器
unite	联合
bizonal	二地区的
automate	自动操作
overcoat	外套大衣
tranquilization	安静
banyan	菩提树
show	假装
suasive	劝说
sequelae	结局
amazingly	可惊
mfh	Master
abstentious	有节制
exophasia	外部语言
digitated	趾状的
telium	冬孢子堆
dystrophia	营养障碍
doubled	加倍努力
edificatory	教诲的
redwood	红木树
lovingness	钟情
augmented	增音的
ate	自动试验设备
nullah	水路
golan	Heights戈兰高
stanch	使止血
independent	无党派者
overnight	通宵的
anourous	无尾的
sinopite	赭石
ablutionary	洗礼
emancipative	有助于解放的
kalevala	芬兰的民族史诗
hexameter	六步格的诗
bailment	寄托
subsellium	凸出托板
outcast	被遗弃
pully	具吸引力
tetrasyllabic	四音节
exsect	根除
temple	神殿
predeterminate	先定的
epidotic	绿帘石的
unabroken	无破损
reconfirm	再次证实
signboard	布告板
inauthoritative	膊豢煽
sinsemilla	精育无籽大麻
zoophoric	具有动物形的
gammon	腌猪腿
surpassingly	超群
perfective	完成的
corneous	似角的
saturable	可饱和的
blackart	魔法
nih	Health
comments	注释
ogreish	鬼似
physical	自然的
monstrous	恐怖
exhortative	劝告
slinky	偷偷摸摸的
equiprobably	等概率
unglamorous	无浪漫色彩
functionalist	机能主义者
compressure	抑制
geohydrology	地下
tuck	缩拢
exedra	半圆形室外坐椅
obstetric	产科
point	指出
bladebone	肩胛骨
masterwork	极品
forced	动用武力
color	获得颜色
micromanipulation	[蓀jJleItE
wosa	Architecture
muzzy	酩酊的
dypass	绕道
dumpling	面团布丁
steep	陡峭的
youngly	年纪尚轻时
berne	伯尔尼
autographical	亲笔
deliquescence	液化
samphire	一种伞形科植物
special	专门的
guardee	卫士
tellable	值得说的
lacunar	有花格平顶的
abominator	憎恶者
xeroderma	皮肤干燥症
floriculture	花艺
degree	次数
subservient	屈从
chanciness	危险性
isokeraunic	=isoceraunic
sabina	萨拜娜
invidious	诽谤
pauper	乞丐
eurybathic	广深性的
keystone	楔石
hypercorrect	纠正过头的
celature	浮凸纹饰
sombrous	阴沉
coven	女巫大聚会
alfresco	在户外
silentious	习惯性沉默
polynuclear	多环的
inartistic	无味
laryngeal	喉
early	早先
vodka	伏特加酒
rebel	反抗
tartarean	狱
simonstown	西蒙斯敦
obit	讣告
catastrophist	劫数难逃论者
bivallate	围有两层防护土墙的
upcoil	=coil
epanaphora	首语重覆
archangel	大天使
pusher	文书
carbuncle	红榴石
feasible	切实可行的
domiciliation	决定住处
antipodal	对跖的
twill	斜纹织物的
medicine	给……用药
colocynth	用苦西瓜提取的泻药
sinicize	使中国化
hereon	从此
parlous	非常地
asymptomatic	无症状
chemakuan	彻默库安语
ammino	氨络的
branchia	鳃
gaping	多洞穴
radioacoustics	无线电声学
discernable	可辨别
smell	嗅觉
solarium	日晷
singular	持异议的
tret	添头
borosilicate	硼硅酸盐
compression	密集
flow	涌流
soed	English
castigatory	修订
dedans	球场发球线后的观众席
impeditive	阻碍
pasticheur	仿作者
sisyphean	徒劳的
counterphobic	反恐怖的
landsman	未出过海的人
unload	卸
vitriolic	象硫酸
greasy	油污的
atalanta	捷足善走的美女
fellmonger	皮革商
integrate	使一体化
asepticism	无菌法
awol	擅离职守
upright	垂直
desmoenzyme	不溶性酶
crosswalk	人行横道
locale	现场
gallinipper	咬人的昆虫
seta	刺毛
siree	=sirree
prodigiouss	惊人的
chemostat	恒化器
variolate	给……接种人痘
lessened	减少的
indophenol	靛酚染料
anesthetize	使麻痹
neomorphic	新变体的
vermicide	驱虫剂
chaussee	公路
greenhorn	缺乏经验的人
declamatory	朗读式
handmaiden	女仆
dandify	打扮得时髦
multidisciplinary	有关各种学问
respectively	分别
episcopalism	主教制主义
hyposarca	全身水肿
band	联合
unforgiving	不可宽恕
cutcha	暂时
blacklist	黑名单
fco	外交联邦部
confessant	供认者
warrior	尚武
huntingdonshire	亨廷登郡
sverige	=Sweden
tatiana	塔蒂阿娜
dragline	索斗铲
ashy	灰
contextless	无连贯性
incipience	发端
inveterate	成癖的
spumous	泡沫状的
ephor	监督官
meretricious	适合娼妓
frad	Device
wherethrough	经其处
underproduce	使减产
halogenide	卤化物
supramundane	远离俗世的
bodice	女服的紧身胸衣
tellable	可述说
vitally	极其
unpresentable	拿不出去的
ackemma	上午
corpus	本金
microporous	多微孔
commons	英国国会下院
superstruct	把……建在另一结构之上
openmouthed	张嘴的
ashen	灰色的
hmv	Master''s
engird	使佩带
sententiously	简洁
ecc	and
unwrought	未加工
stride	大步行走
inoperable	手术不能治愈的
bridgeable	可架桥
aniconic	象征的
blackmailer	勒索者
motherly	母亲
grizzled	灰色的
venezuelan	委内瑞拉人
ibew	Electrical
dogwatch	两小时换班的值班
narcotic	催眠
retinol	视黄醇
inhaust	吸
offput	使倒胃口
explore	探险
kinaesthetic	动觉的
switch	转换
heptavalent	七价
ebullism	体液沸腾
aboriginal	原来的
sweetness	可爱
laced	有花边的
popular	流行的
flustration	紧张不安
hypoesthesia	触感减退
cast	投
actinozoan	珊瑚虫
ahold	抓
strain	损伤
satyagrahi	不合作主义者
nympha	蛹
maladjustment	失调
desolation	荒废
untidy	凌乱
whereunto	向何处
isocephaly	人体等高构图法
brasil	=Brazil
illume	启发
traveling	移动
parle	谈话
toynbeean	汤因比
ideational	构思
early	及早
debug	改正有毛病部分
dqdb	Bus
retrieval	取回
scrag	弱不禁风的植物
debauch	使堕落
breezily	活泼轻松地
aspi	Advanced
doubly	双摺
terminate	停止
singly	逐一
seminal	精液的
thin	稀疏
ground	打基础
various	多样
zinckiferous	=zinciferous
driftwood	浮木
abscond	避债
danish	丹麦语
uricolysis	尿酸分解
last	末尾
monotype	单版画
faintish	微弱
uddi	Integration"
ural	乌拉尔河
uncommon	难
breadless	缺粮
laddie	少年
leaning	倾斜
pedigreed	血统明白的
antiaircraft	防空的
easiness	容易
spurious	欺骗的
oss	开放源代码软件
entertainment	娱乐
rayon	人造丝织物
multirole	多作用的
chloritize	把岩石中的矿物变为亚氯酸盐
astronautically	太空航行员
conscientious	尽责
coolly	沉着
andromeda	埃塞俄比亚的公主
cavity	腔
rouge	胭脂
epiblast	外胚层
trenail	木拴
gunn	基于耿氏效应
hypermetrical	音节过多
gcf	factor最大公因子
trusting	信赖
autoaggressive	disease=autoimmune
cloistered	隐居的
pessimist	悲观论者
fecundity	肥沃
ferrety	似雪貂的
tapestried	织在绣帷上
paisan	=paisano
driftingly	漂流地
kinetosome	基体
strigillose	覆盖着糙伏毛
intoxicate	醉人
rushing	急流
shebang	酒馆
refinance	再为……筹钱
layoff	失业期
megapolis	多人口
attitudinal	根据个人态度
aicpa	Certified
cannabinol	大麻醇
oneirocritical	解梦的
yellowy	略带黄色
reposal	休息
oak	橡木制
lesson	课
lycian	利西亚语的
varied	杂色的
closter	修道院
arteriogram	动脉X光照片
residuary	残余
obdurately	顽固
whitley	惠特利协议会
ecdysiast	脱衣舞女
alveolar	齿槽的
musicotherapy	音乐疗法
inchoative	开始状态
resid	残油
orins	橡树岭原子核研究所
imponderabilia	无法估量之事物
victimize	牺牲
thin	淡的
inconnu	食用淡水鱼的一种
fiddle	无意识而不停地拨弄
subdividable	适于再分
fusional	熔化的
arnhem	阿纳姆
acerbic	尖刻
karma	因果报应
intenerate	软化
microprogrammed	微程序控制的
submission	投降
hecatonstylon	百柱式建筑物
perineuritis	神经束膜炎
diploblastic	双胚层
auk	海雀
cordial	热忱
peckish	饥饿的
apyretic	无热的
meadowsweet	绣线菊属的灌木
incorrect	错误的
jovial	朱庇特的
rarest	最稀罕
strange	生疏的
tunicate	有被囊的
culprit	犯人
punji	尖竹钉
sustainable	足可支撑
cuprum	铜
tinny	锡的
lapidicolous	生长在石头底下
handle	易于操纵
patrin	路标
afdc	to
hypochromia	着色不足
gah	嗨
hindbrain	脑的最后部
loudmouth	高声谈话的人
stylite	修行的人
massagist	按摩师
fat	肥的
gaillardia	天人菊属植物
condemned	被责难的
pyjamas	睡衣
whithersoever	无论何处
vitta	色条
crt	Cathode
beastly	残忍的
cac	帐户管理中心
beautifully	美好
motor	发动机
hoggerel	小羊
endlessly	不断地
octopodes	octopus的复数
uncorrectably	无望地
concretive	凝结性的
sleeping	睡着
ferocious	凶猛的
plasticity	塑性
piranesi	Giambattista
strobilation	横裂
pathetical	可怜
sanctified	神圣化的
tuberose	似块茎的
cinematographer	放映技师
inkyo	引退者
odditional	加添的
marquee	大帐篷
telfordize	用大石块铺砌
whittle	削减
woodruff	车叶草
spinachy	具菠菜特点
incomprehensibility	不可理絣e/InkRmprI5hensly//
uncivil	失礼的
flyspeck	弄脏
evitable	可避免的
ultravirus	超显微病毒
unweary	不疲倦的
once	从前
triradius	指纹三角
skyward	向天空的
vitriolate	把……变成硫酸
equalarea	等面积
backroom	密室
salification	成盐作用
sbc	subband
halfheartedly	无兴趣地
denverite	丹佛市居民
hirable	能租用的
sudoriferous	分泌汗的
breeding	饲养
lawk	嗳呀!
raiment	服饰
overspill	过剩人口
my	我
raver	社交场常客
gulfy	遍布裂口
tagger	附加物
phenylethylamine	苯
fairyland	奇境
duff	布丁的一种
vrml	Reality
slapdash	匆促的
flowing	流动的
paint	逼真地描述
recolor	重新着色
neolithic	新石器时代
nonbeliever	不信上帝的人
misshapen	奇形怪状
uninterpretable	无法说明的
fillip	激起
skin	外皮
mdr	日最低需要量
originative	有发明之才能
gypsy	吉普赛语
recheat	猎犬集合号
confide	倾诉
ally	结盟
remorseless	坚持不懈的
tindery	火绒似的
franklinite	锌铁尖晶石
heaps	很
retention	保持力
idealistic	空想主义的
latex	橡胶
envy	羡慕
nucleocapsid	病毒粒子
irrepleviable	不准保释的
waucht	大口的吞饮
thermoregulation	体温调节
shane	谢恩
muddily	下流地
reprovingly	申斥
automata	自动操作
wifely	适合做妻子
sermon	训诫
stirring	忙碌的
gnp	国民生产总值
hibernian	爱尔兰人
writable	可写下的
etesian	每年发生
quitch	茅草类植物
enweave	=inweave
icj	Court
subaqueous	水中
imperatorial	至尊的
zilch	无价值之物
treasonable	不忠的
embosom	环绕
lambert	朗伯
lifeboatman	救生艇人员
exhaustive	彻底的
corruptive	使堕落的
neoimpressionism	新印象主义
incomparably	无比地
expand	扩张
clottish	笨
hoar	灰白
winifred	威妮弗蕾德
valuable	贵重的
reft	reave的过去式及过去分词
ryukyuan	琉球人
albania	阿尔巴尼亚
financing	融资
hashery	廉价小饭馆
stick	粘住
apatetic	拟色
hillock	小丘
gerry	格里
thinly	稀疏
beetling	悬垂
usia	States
finis	结尾
inextricable	逃脱不掉的
effeminize	使柔弱
businesslike	公事公办的
starchy	浆硬
ovulation	产卵作用
obsequious	奉承的
meconic	罂粟的
luxe	奢侈
liquid	液体的
limner	画匠
fungivorous	食真菌
temporal	暂时的
chimera	妖怪
sexidecimal	16进位
insatiably	不知足地
bestir	激励
arenaceous	沙质
navigate	驾驶
new	新
overexert	用力过猛
adrenocorticotro	nEJ质荷尔蒙
domeliner	设有玻璃圆顶车厢的列车
leaflet	传单
radically	以激进的方式
lacunar	有花格平顶
official	官方的
salvageable	可挽回
zwinglian	茨温利教义的
performing	表演的
reimbursement	退还
unsight	未见过的
bodmin	博德明
cineast	=cineaste
cissoid	凹边的
besieger	围攻军
undeviating	坚定不移的
entomostracan	切甲类
unlessened	未减少的
immusical	不和调的
frolicly	嬉戏
unseen	看不见的
trapball	射球戏
connatural	固有的
supposable	可假定
hymnary	=hymnbook
palingenesis	轮回
sulfate	使变为硫酸盐
way	大大
acknowiedged	公认的
ravined	布满沟壑
ultraviolet	紫外线的
rhythmed	有节奏
beefeater	伦敦塔守卫者
unstressed	不着重
outlook	观点
iota	9位
circumstantial	间接证据
affiance	信托
scriber	描绘标记的用具
khz	千次每秒
injudicial	欠思考
bedraggled	荒废的
fulgurous	闪电似的
brutehood	兽性
decrescendo	渐弱
encroachment	侵犯
footpath	小路
grand	豪华的
jealous	猜疑
colory	颜色显著
genuine	真正的
specific	特殊
unpruned	任其自然生长的
ligamentary	韧带的
contrapuntal	对位
confucian	儒家学者
elusively	易忘记地
roadworthy	适于行路的
blackhearted	邪恶
resplendent	光辉
swashbuckler	流氓
outbreak	发作
wizard	奇才
rear	高耸
ravc	Veterinary
defacto	事实上
phytolaccaceous	商陆科的
ragabash	=riffraff
loose	散漫的
namaland	=Namaqualand
effortful	显示努力
tarantella	一种快速旋转舞
effloresce	开花
leafy	树叶茂盛的
great	大人物
fuzzbuzz	忙乱
burra	大人
sialic	硅铝质
orthophotograph	=orthophoto
gangue	脉石
beaverette	轻装甲车
concise	简明
dubitable	怀疑的
thermolabile	感热
hanoverian	汉诺威的
melodist	旋律美妙的作曲家
remunerative	有利的
vote	投票
inscription	碑铭
tableaux	静态画面、场面
disulphide	二硫化物
dukhobors	=Doukhobors
haver	消磨时间
riant	快活
darner	缝补针
greenhorn	不懂世故的人
anonaceous	=annonaceous
locomotive	运动的
reversionary	倒退
sanatory	治疗病症的
fulcrum	支点
calendarian	历书编纂人
chd	heart
mommy	妈咪
mild	温柔的
bromidic	平庸的
gauze	纱布
inveigle	诱骗
dipterocarp	龙脑香科树
frequence	频繁
pontoon	浮桥
decomposer	分解体
toup	=toupee
astarte	阿施塔特
frizzle	卷毛
alley	巷
bedside	枕边
ozonic	含臭氧的
diarrhoea	腹泻
acupuncture	针刺疗法
existential	存在判断
killing	猎护品
manrope	安全索
surfeit	饮食过度
loamy	肥沃的
diligent	细心而继续不断
textile	纺织的
presbyter	长老
symmetrization	使对称
eclaircissement	说明
subeconomic	缺乏经济意义
thriller	使人毛骨悚然的东西
blowtorch	喷灯
activity	活跃
dendrophagous	食树的
dysteleological	生活或自然之漫无目标
scoutcraft	童子军活动
whist	肃静!
fireplug	消防塞
zoom	急速上升
lux	勒克斯
conditionality	制约性
doubly	双摺地
waver	动摇
uscf	美国国际象棋联合会
vestock	长绸领带
slush	溅湿
miotic	瞳孔缩小
isopycnosis	等凝缩
ocher	赭土
emasculate	使无力
viridian	鲜绿色的
shoji	亦作shoji
swink	辛苦
cubicule	=cubicle
california	加州
commute	抵偿
unworthy	不足取
decolorant	有脱色作用的
thermopylae	塞莫皮莱
downshift	调低速档
ludicrously	滑稽
gravelly	碎石构成
convey	转让
sebaceous	脂肪质
incretionary	a的
demolishment	破坏
reverberatory	反射的
soucar	银行家
agonizing	痛苦难忍
slipware	施釉陶器
outrigged	装有外伸支架
anaplastic	退行发育术的
physicky	由药物引起的
nouakchott	努瓦克肖特
interior	内部
fabrication	构成
amity	友好
stigmatic	丑恶的
succous	汁的
ladderman	云梯消防队员
ineffectually	无益
vixen	坏心眼的女人
vagrant	漂泊
reprogram	程序重调
awhirl	旋转的
rural	田园的
trowelman	泥工
needless	不必要
tractile	可拉长
boxy	矮胖
aacs	Airways
fourteener	一行有十四个音节的诗
hulking	笨重
tempi	拍子
lemberg	=Lvov
readily	容易地
gloss	使有光彩
outsat	outsit的过去式
toric	环形圆纹曲面
flaring	燃烧
microhm	微欧姆
cobber	好友
supercolossal	超大的
gnathonic	谄媚的
allantoic	尿囊
fevertrap	易使人感染热病的地方
nonjuring	拒绝立誓效忠的
metacommunication	元信息传递
x	X形
rimester	打油诗人
honeyed	甜如蜜的
arouse	引起
vituperator	责骂者
ragamuffinly	衣衫褴褛
spacesickness	宇航病
distillable	可由蒸馏而
acetarious	凉拌用的
overplay	打得比……好
everydayness	平淡无奇
exceptant	以外
kindle	点燃
hydrophanous	水蛋白石
amboceptor	溶血素
decuplet	十个的一组
slipslop	懒散的
lucidity	明朗
guesstimate	估计
shebang	住所
dairyman	乳品加工工人
thine	你的
tonometer	气压计
sunken	sink的过去分词
solanaceous	茄属的
delawyer	使
lampstandard	灯柱
mediterranean	中海
doored	有门的
odea	odeum的复数
crinkle	起皱
sicative	促进干燥的
antihero	反英雄
manchuria	满洲
intersexual	两性间的
maritime	海员
barbarous	粗野
psf	磅[平方英尺
smoke	烟
sponsorship	赞助者的地位
hypostyle	多柱式建筑
crackdown	镇压
variegate	使成斑驳
gentile	非摩门教徒
karate	空手道
malversation	贪污
alkanet	由朱草根部提制之红色染料
rimrock	顶岩
fossilify	成为化石
cut	削减
unprecedented	空前的
entomologize	研究昆虫学
kinsfolk	亲属
sturdiness	雄壮
blurry	模糊的
breather	喘息者
grandisonian	模范绅士的
ghibli	基布利风
idiochromatic	自色
indian	印度人的
repoint	重嵌
gammasonde	γ探空仪
firn	万年雪
icecap	冰盖
gilbert	吉伯
prankish	恶作剧的
corrugate	成波状
divisibility	可分割
vote	建议
monarticular	单关节
successivity	接连
benchmark'	NULL)
dermatoid	皮状
azinphosmethyl	保棉磷
absoluteness	无限制
jumbled	乱七八糟
goluptious	可口
mandi	大集市
irresolute	犹豫不决的
vein	静脉
arbitrariness	任意
electrosynthesis	电合成
walk	散步
regenerate	更新
veni	came
pintoresque	可作绘画题材
mobile	机动
silviculture	森林学
osf	方济各会
umbilic	脐带
farcically	闹剧一般地
weightily	沉重地
antisexist	反对歧视女性的
adulterate	掺假
bagwash	初洗
benefit	利益
excitron	单阳极汞池整流管
bluff	断崖
dextrocular	惯用右眼
stubbed	多梗株的
abolisher	废除者
garcon	未婚男子
webernesque	韦伯恩音乐
neglect	漏做
ninetieth	九十分之一
misinform	告诉错误的消息
interrogation	审问
sihanouk	西哈努克
chasse	以快滑步跳舞
nopal	胭脂仙人掌属植物
royal	皇家
nonage	青年时期
ironbound	包铁的
circa	大约
phytochrome	光敏色素
realize	实行
uvula	小舌
phanerozoic	显生宙的
isodiaphere	等超额中子核素
kgps	second
spermatogeny	=spermatogenesis
brooklyn	布鲁克林
painful	使痛苦
talc	云母
bahaism	一种穆斯林教派
visualisation	=visualization
rubricity	遵守教仪
pleasurably	欢愉
westralian	西澳大利亚人的
mediant	中音
symptomatical	=symptomatic
aliphatic	脂肪族
illusory	虚假的
duenna	少女的保姆
oriole	金莺类
extraofficial	职权外的
uncivilized	无文化的
suck	吸
agrestic	粗野
parthenogenetic	单性生殖
cherry	处女
brisk	活泼
mask	参加化装舞会
taintless	纯洁清白
saboteur	从事破坏活动者
choreodrama	舞蹈剧
lung	肺脏
rouge	擦口红
leapfrog	竞相提高
bunned	挽成小圆髻
couth	有礼貌
subform	衍生形式
autoharp	自鸣筝
incommensurability	不能比较
milium	粟粒疹
capable	有能力的
anthropic	人类
cancerian	出生于巨蟹宫时段的人
pitier	同情者
surrender	投降算了
trimly	整齐
hermetic	与外界隔绝的
ingot	工业纯铁
curricle	一种轻便马车
cherrystone	小蛤蜊
orbicular	圆满的
unbusinesslike	无效能的
indulge	纵容
snook	轻蔑的一种动作
isobar	等压线
oilpaper	油纸
glycosuria	糖尿
undated	无限期的
trowbridge	特罗布里奇
gauchesco	加乌乔诗体
nicker	闷笑
fastuously	炫耀
selfishly	自私地
unitar	联合国训练研究所
hugely	巨大
mesityl	oxide
initial	最初
immunize	赋予免疫性
barbellate	有短硬毛
entremets	附加甜点心
ellipsis	省略
acquiescently	默认
towable	可拖拉的
keratode	角质纤维
vend	出售
available	有用的
frosted	受霜害
affected	受到影响
theomancy	求神问卜
myotropic	影响肌肉的
porphyroid	残斑岩
levamisole	左旋
conference	协商会
spica	角宿
gandhian	甘地主义
yakin	扭角羚
sheepshead	羊头
veil	隐藏
northerner	北方人
oligodontia	少牙
dc	直流电
crafty	善于骗人的
biparasitic	双重寄生
philanthropize	从事慈善事业
profane	亵渎的
knout	皮鞭
inswept	前端狭窄的
manito	具有超自然力的事物
crofter	小农场中的佃农
magellanic	麦哲伦海峡的
remit	传送
promiseful	有希望
melphalan	美法仑
slough	腐肉
horsewhip	用马鞭鞭打
cedarapple	苹果胶锈病
knightly	勇武的
pds	Slot
drone	靶标
clever	机灵的
veracious	诚实
thesis	论题
estral	=estrous
league	联合会
insinuate	使迂回地潜入
neronian	尼禄似的
window	窗
rough	粗糙
upright	垂直的
arbo	由节肢动物传播的
broadwise	侧面
striolate	具细线条
underside	下侧
dreadnaught	厚呢
antiwhite	反对白人既成体制的
prawn	对虾
assembly	汇编
exuberant	繁茂的
buddybuddy	亲热的
welfarism	社会福利制度
ancillary	副的
scrappy	不连贯
unaccepted	被拒绝
leer	恶意的目光
eec	Economic
craggy	多峭壁的
time	定时
wasteful	浪费
gutturonasal	软颚鼻的
grotesque	奇形怪状的人
auto	汽车
stivy	塞满的
buddie	军中伙伴
disrelish	讨厌
valediction	告别
roper	诱人进入赌场者
kinsmanship	类似
trikini	三点式女泳装
undergird	巩固……的底部
forbye	接近
surculous	有根出条
inodorous	无气味的
dirty	卑鄙的
omnipresent	同时遍在的
sunny	快乐的
darch	建筑学博士
posthouse	驿站
rashly	无见识地
appointer	指派者
unselfishly	不自私
excerption	精华录
speculation	做投机买卖
ya	年轻人
uninstall	卸载软件
phytography	记述植物学
underlit	照明不足的
scotophil	喜暗
troth	誓言
displeasing	不愉快
unbefriended	无人扶助
tensile	可伸长的
wether	阉过的公羊
incontinuous	间断的
idiocy	白痴的行为
ungated	无闸门
photonuclear	光核
pygmyisn	侏儒似
bukovina	布科维纳
sandy	Sandy
augment	增大
holohedry	全对称晶形
comment	意见
infectivity	易传染
perfector	press双面印刷机
inverse	倒转的
chare	杂务女佣
laudable	值得称赞的
underclothing	内衣
cockle	弄皱
coprocessor	协处理器
colorway	色彩设计
dephosphorization	除磷
jupe	上衣
volcanicity	火山性
labourious	费劲的
decomposite	再混合物
russian	俄国
eff	咒骂
cab	乘出租马车
bacteriostatic	阻止细菌繁帜
hydrophyte	水生植物
sadly	悲哀
atropos	阿特洛波斯
systemless	无系统
floreat	祝他事业兴旺
sunniness	向阳好
resemble	象
palliative	减轻的
webfoot	蹼趾动物
kinsfolk	血族
gombroon	冈布龙陶瓷器皿
kickplate	踢板
deodorant	除臭剂
diffuser	扩散体
afrikaans	南非荷兰语
glomerulate	聚成密集小群
bessarabian	比萨拉比亚
terdiurnal	一日三次的
minimi	minimus
chief	主任的
dinky	整洁的
audacity	厚颜
lumbricoid	蚯蚓状的
algebraical	代数学
tcp	Transfer
stewardess	女乘务员
crock	瓦罐碴
koniscope	尘粒镜
zpg	Population
inducement	动机
crocky	老朽的
bifocal	双焦点
pellicular	薄膜的
kuru	苦鲁病
wonted	习惯的
waver	挥动者
reverberation	反响
pharmacologist	药理学家
disputative	爱争辩的
hemingwayesque	海明威作品特色的
oily	油滑
barrelled	有枪身
clavicytherium	立地型大键琴
felicitous	幸福的
outsole	大底
zveno	作业组
scalariform	阶纹
testaceous	有贝壳的
po	symb
millage	厘计税率
embolic	插子
incessant	不断
judaist	犹太教信徒
ticker	断续器
beclomethasone	倍氯米松
dimethylnitrosamine	二甲基亚硝胺
tsouris	烦恼
alkermes	地中海区的一种酒
halalah	哈拉拉
pinto	有花斑的
vilifier	诬蔑者
folksy	和气的
else	其他
subsequent	后来
analects	文选
true	忠诚
autolithograph	直接平皏t
say	念
peptic	助消化
battleplane	战斗机
division	分割
sonsy	开朗
deva	天神
mandatory	强制
difunctional	双官能的
affinal	同源的
trousering	裤料
exterior	外用的
admeasure	配给
brucine	二甲马钱子碱
tympanic	鼓皮似的
granulometric	粒度测定的
baboonery	笨拙
lightstruck	曝光而不能用
campaign	竞选运动
stope	在采矿场采矿
bathless	无浴室的
vasculotoxic	血管毒性
gutter	贫民区
warp	使翘曲
partnership	队友关系
emanatory	发出的
calibrator	口径测量器
scoff	嘲笑
decathlete	十项运动员
scramble	抢夺
shillalah	橡木棍
spreadhead	大标题
downhill	往下
