rail	责骂
dichromism	二色
waygoing	出发
usphs	Service
potshot	肆意抨击
invalidism	病身
tamarack	美洲落叶松
jump	跳跃
riotous	暴动
bacteriolysin	溶菌素
encapsule	做成囊状
hippic	马的
mycenaean	希腊古代都市迈锡尼的
rearmouse	=reremouse
flaunt	飘扬
value	估价
chassis	底盘
justicial	正义的
established	已制定的
spine	脊骨
zeroth	零的
clavated	一端膨大的
baccate	浆果状
discipula	门徒
undersecretary	副部长
unfading	不凋萎的
sarracenia	瓶子草
generosity	慷慨
blissful	有福的
cowtail	似牛
accurately	正确地
ceraceous	蜡状
literature	文艺
drainage	排水装置
trickiness	狡滑
hyoid	U字形
rude	残暴
manhattanite	曼哈顿区人
rawinsonde	无线电探空测风仪
callous	冷淡
flickery	闪烁
chiricahua	奇里卡华人
vilely	卑劣
lowlander	低地的人
haylage	窖藏半干草饲料
expressionist	表现主义的
rosewater	有玫瑰香水味的
cephalic	头的
macaroon	蛋白杏仁饼干
lullaby	催眠曲
eusol	优苏
punctulate	有凹陷的
hyperbolize	运用夸张法
amphibole	闪石
nationalism	民族之特性
overdestroy	超量击毁
malvinas	=Islas
padova	=Padua
neutrality	中性
god	上帝
undimmed	明亮的
leafless	无叶
olympian	庄严的
educe	得出
unconcernedly	不在乎地
price	代价
superabound	过剩
sullage	淤泥
dialogize	谈话
enthronement	就任主教的仪式
subjunctive	虚拟
mid	中间
drossy	碎屑
primidone	扑痫酮
umptieth	=umpteenth
agamic	无性生殖的
reperforator	复孔机
unready	没有准备
thew	体力
inhibitory	抑制的
horseless	不用马的
messroom	食堂
howff	住宅
endhand	三人牌局中之发牌者
anthropometrist	人体测量学家
tricoloured	有三色
tong	钳
combatant	战斗
murmur	低沉连续的声音
memomotion	延时摄影
flagellated	生有匍匐茎的
fanged	有尖牙的
transfiguration	变貌
hemishere	地球的半面
smith	金属品工匠
refreshing	提神的
seam	缝合线
crassitude	粗糙
insusceptible	不为所动
coplanar	共面的
byronic	拜伦的
councilwoman	议会女议员
heterokaryotic	异核体的
undemanding	容易
heraclid	自称为大力神赫拉克勒斯后裔的人
faery	仙子
triable	可判定的
cubic	立方的
cruelty	残酷
peplus	=peplos
mammary	乳房的
apiarian	养蜂的
helpful	有益
furnishings	家具
foolish	傻的
illation	推理
insuperable	不能制胜
start	出发
grouch	心怀不满
rancour	敌意
illimitable	无限
stuporous	昏迷的
thermalgesia	热性痛觉
incremate	火葬
kempt	整洁的
plan	平面图
theatric	剧场
midsection	中央部分
unaccompanied	无随从的
demonian	魔鬼似的
vendable	=vendible
ramp	斜坡
decontamination	排除污染
beylik	土耳其省都辖区
banalize	使陈腐
amplexicaul	抱茎的
hight	名叫
female	妇女
lordliness	权势
vida	维达
inflect	弯曲
emasculate	删削
cap	帽子
luxuriously	豪华
kolyma	科累马河
sanskritist	梵语学者
sheave	反桨划船
greensick	患绿色贫血的
lps	Privy
heatronic	高频加热处理的
bishopric	主教职位
sororal	姐妹
unpaid	不受报酬
