meagrely	贫弱地
canalicular	小管的
programable	=programmable
pewter	白蜡
dictatorially	独裁
preventive	预防性的
conflagate	燃烧
unnoted	不引人注意的
avertable	可防止的
furor	激怒
thousand	无数
aerotrain	悬浮列车
lorn	孤单的
iridectomy	虹膜切除术
stand	站起
hairpin	束发夹
discophile	唱片收集家
cruel	使痛苦的
gristmill	磨坊
temperateness	适度
impish	顽童似
drysalter	干货商
slapman	便衣警官
hypersonic	远超过音速的
forest	林木
aerotropic	向气性的
nondescript	不属任何类型的人
torc	金属颈环
hemoglobinuric	血色蛋白尿
slim	无价值
activity	行动
unauspicious	=inauspicious
gangliform	神经节状的
radwaste	放射性废物
cheek	颊
slip	活络的
sophisticator	诡辩者
vend	贩卖
ethnoarchaeology	文化群落考古学
qualify	证明合格
nihility	无
pyramidion	小金字塔
leachable	可滤取
refluent	倒流
refreshing	提神
spindle	装锭子于
doubtful	疑心的
flunky	小人
smart	大大的
sheep	胆小鬼
larcener	盗窃犯
merohedrism	缺面对称
distomiasis	肝吸虫病
dehiscent	裂开性的
sketch	勾画
undisturbed	没受到干扰
paresis	局部麻痹
infundibulate	漏斗管的
plan	设计图
enzyme	酶
doglegged	弯曲如狗后腿
balsamic	有镇静作用的
feasible	可行
put	掷
cymiferous	生长聚伞花序的
barren	无益
inconstantly	不稳定地
mdap	Program
redemandable	再要求的
indian	印第安人
garboil	骚动
sided	有边
resume	再继续
units	单位/图片
escap	the
iaea	Agency
tractable	驯良
giraffine	长颈鹿的
atwain	分为二
movement	运转
gliding	滑顺
sbc	单板机
separatism	分离主义
glucosan	失水葡萄糖
watercolor	水彩画
lecithin	蛋黄素
quoit	铁环
heroize	以英雄自居
corrupt	混浊的
conventionally	照常套
garishly	华丽
lapse	过失
warring	战斗
thallus	叶状体
salmonella	沙门氏菌
apt	灵巧的
cabobs	在串肉针上烧烤且调味甚厚的肉片
plaint	悲叹
accentual	有抑扬的
parse	解析
undissembled	不加掩盖的
hoveler	无执照难船救助员
baaskaap	白人优越
immunize	使免疫
chine	山脊
xms	extended
impeditive	妨碍的
spoken	口语
electrothermal	电热
noneffective	无效
warner	华纳兄弟娱乐公司
deferentially	谦恭地
remigrant	再迁移动物
fructuous	会结果实的
chanfron	保护马头前部之盔甲
microphyte	细菌
puffy	膨胀
toast	烤面包
assemble	集合
jed	杰德
tomentose	被绒毛的
chamber	房间
available	有用
entire	完整
unimpressionable	不易受感动的
banter	逗弄
aleak	湿气的
traitorous	叛变的
transcurrent	横推的
sunken	凹陷的
glucoreceptor	葡
hatbox	帽盒
bushido	日本之武士道
avellan	四臂榛果形的
calfdozer	小型推土机
equally	平等
camphoric	搀有樟脑
endoergic	吸热
underproductive	生产供不应求的
transudation	渗出物
quick	迅速
safety	安全设备
campy	同性恋的
scanty	稀疏的
holometabolous	完全变态的
mudslide	徐缓黏滞泥流
hyperirritable	应激性过度的
virtuoso	艺术品鉴赏家
kmps	千米/秒
frostbiting	驾滑冰船
ipa	国际药物摘要
zeolitize	使化为沸石
wadset	典当
dossy	好看的
indisciplinable	无法控制的
luculent	光亮
untwist	解开
still	照片
residency	高级训练
manhelper	漆刷加长杆
pluriglandular	多腺性
power	能力
aristocratic	贵族政治的
befitting	合适的
