druidical	督伊德教的
dependent	依赖的
unsubmissive	坚强不屈
isobar	同重元素
remonstration	规劝
acrid	辛辣
sportsdom	体育圈
interoceanic	大洋间的
ambivalence	正反感情并存
womankind	女性
heaps	非常
voudou	=voodoo
sirupy	糖浆
desolate	荒凉的
accredited	可信任
directional	方向
lapidarian	刻在石头上的
stable	稳定
megabit	兆位
whorl	使成涡漩
illusionless	无幻觉
miniature	缩影
pickerelweed	一种多年生植物
blueing	带青色的
microalgae	微藻类
vagabondize	漫游
vizsla	维希拉猎犬
starry	布满星星的
stolen	steal的过去分词
intragalactic	星系内
cutup	爱炫耀的人
extemporise	=extemporize
maghrib	马格里布
pinocytotic	胞饮作用形成
barbadian	巴贝多人
interspace	留……的间隔
tope	佛塔
sparsely	稀少
childbed	产褥
mechanical	呆板的
sudoriferous	发汗
wive	嫁
devastatingly	讥讽
shemite	闪族
mandible	下颚
dead	绝对的
stroke	打击
twelfth	第十二
detectible	可看穿的
thinnish	较瘦
syncrude	合成原油
kemp	冠军
discordancy	不一致
stylebook	样本
crosspiece	横档
whipper	似用鞭子抽打者
otb	betting
unsound	不稳固
degenerative	退步的
depressingly	抑压地
abreaction	消散
exhaust	使精疲力尽
dealer	经销商
sparklingly	闪烁
expositive	评注的
bnd	Bundesnachrichtendienst
stabbing	伤感情
necrophagous	吃腐尸
bilharziasis	裂体吸虫病
tea	茶树
propoxyphene	丙氧芬
schnitzel	炸肉排
reedy	尖声
ralline	秧鸡科的
iaf	Federation
battlement	城垛
curvaceous	肉体美
gharial	=gavial
interdependent	相互依赖
pedestrian	步行者
crackable	会裂开
streptococcic	链球菌
cowrie	宝贝科宝贝
vasectomize	切除……的输精管
rann	Applied
criminological	犯罪学的
woodcarving	木雕品
amr	声音和调制解调器插卡
sniff	轻视
interstellar	星际
aroid	天南星科
nom	有名无实
fibrillous	纤丝状
lordship	支配
domestically	家庭式地
gray	老练的
antiallergenic	抗变应性的
yha	Hostels
madcap	狂妄
adaptor	改编者
jubilize	欢庆
floral	花的
chesterfieldian	温文儒雅
unscrupulous	不谨慎的
verily	忠实
repent	后悔
ambulation	步行
leadman	工头
flatwoods	低洼地区的树林
initial	最初的
yachtsman	游艇所有者
biomathcmatics	生物数学
duplicate	使成双
perigynous	周位的
uses	United
ruddleman	红土商
buzz	逼近
confederacy	邦联
closely	接近
escap	for
waterbury	沃特伯里
hesternal	昔日
mpls	Label
amphisbaena	无足蜥蜴
hazardous	危险的
subcelestial	在天下面
wolf	狼
imprecise	不严密的
coalhole	地下煤库通到街上的洞穴
vote	选举权
unloose	放松
extragovernmental	政府管辖之外的
questioner	质问者
redoubted	可惧的
subequal	近似相等
chewy	不易嚼碎
kona	storm
posturize	使摆出特定姿势
dreamland	睡觉
circumfusion	从周围灌注
her	pro
perfusion	灌注
dolefully	寂寞地
clamant	急迫的
conversant	有交情的
personality	人格
crabwise	横斜地
glandered	患鼻疽病
aeroplane	飞机
remunerative	有利
summons	传唤到法院
waltz	与……跳华尔兹舞
construable	可做……解释
platte	普拉特河
eastward	向东的
