autarkist	自给自足主义者
detector	发现者
unsoiled	清洁的
sulfonyl	=sulphonyl
notional	表意
bluntly	率直
overeaten	overeat的过去分词
rbs	Society
deplorable	可叹
pathetically	可怜地
reapply	再申请
triradiate	向三方射出的
fireless	没有火焰
glm	length
induce	导致
ipsu	IP
outmarch	追过
cyc	cycle
adullamite	持不同政见派别中的一员
ppe	Economics
conveyer	让与人
nllst	Lending
rite	典礼
lippen	信托
quartziferous	石英质
lounder	重击
marathonian	马拉松战役
slumbercoach	经济卧铺车厢
engineering	工程
untilled	未开垦
unicuspid	单尖
leaping	跳跃
cracker	爆竹
itineration	巡回
edge	缓缓移动
sacred	宗教
gunport	枪眼
ladino	拉地诺语
dissociable	自相矛盾
lever	杆
thriftily	节俭
shade	使阴暗
samel	半烧的
irreparability	不可修补
rancher	农场工人
liminary	卷头的
federal	联合的
darter	飞奔者
verily	真正
pylorus	幽门部
chibouk	土耳其长烟管
suction	抽气
join	用子目录名取代驱动器符
haemolytic	血球溶解
duplicated	复写书
nautical	船舶
outspread	展开
montanic	多山
unroyal	非君王的
demultiplexer	信号分离器
perfect	熟练
literalism	拘泥于字句
stanch	止流
battlewise	富有战场经验的
humorously	幽默
aire	亚耳河
mock	假
semitone	半音
antipyrotic	消炎
parking	停车的
oppositionist	反对派成员
aeromedical	航空医学
halidom	圣物
aggravating	使恶化的
caren	卡伦
transportation	/
retrocede	归还
ocean	广阔
exhalable	可蒸发的
bathypelagic	居于深海区的
cankerous	使溃疡
haily	冰雹状的
adulate	奉承
germanious	含二价锗
sentiment	感情
chop	突变
loveboats	"爱舟"
folkloric	民间传说
gemmer	勘探宝石者
abdomen	腹
isp	Internet
radiovision	无线电视
paraphrastic	说明性
scraping	吝啬的
crank	易怒
merohedral	缺面
megalecithal	多黄
pummelo	=pomelo
preadamite	认为亚当以前便有人类
fictitious	虚伪
bulgy	膨胀的
aspect	样子
wigged	戴假发的
centrifugal	离心的
vitiation	损害
matchstick	火柴杆似的东西
silkscreen	丝网印刷
maccaroni	=macaroni
sealless	未盖印
unveil	揭幕
incontrollably	不能控制
deadness	死一样的状态
detraction	诽谤
rebukeful	充满责备
cesspipe	化粪池等的排水管
soilborne	土壤传播的
concyclic	在同一圆周上的
rough	粗野的
oven	烤箱
crush	压碎
deadwood	朽木
kilocurie	千居里
droning	声音低沉单调的
authorless	匿名
beatific	祝福的
pellicular	薄皮的
parenthetical	插句
fictitious	小说中
sue	控告
subpolar	近极
executive	实行的
mlw	mean
deep	纵深
tasmania	塔斯马尼亚州
bluntly	率直地
intitule	称为
polygonize	多边形化
intelligibility	可理解性
robert	罗伯特
rsvp	if
halfhourly	三十分钟地
crested	有顶饰
unreckonable	难预测
flintshire	弗林特郡
emotionless	没有情感
dolorology	痛学
handled	有把柄的
foolish	愚蠢的
tent	帐篷
demark	区别
esol	Speakers
flourish	挥动
crested	有冠毛的
cessative	表示停止的
fatten	养肥
teutomaniac	醉心于条顿民族的人
anaclastic	反曲的
hohum	令人生厌
everyone	人人
grungy	蹩脚
mavis	Mavis
soul	精神
