bestead	裨益
myxoedema	黏液水肿
weightily	重要地
galwegian	加罗韦人
directoire	执政内阁时代式
idyllist	田园诗人
dairy	鸡蛋等的商店
excess	额外
undetermined	未确定
umpire	作裁判
seat	场所
underpass	高架桥下通道
meanly	吝啬
golly	神
metathesis	交换
peradventure	疑惑
brachydactyl	短指
amniography	羊水照相术
cheesecake	半裸体或露出曲线美的女人照片
degrading	可耻的
siren	警报器
vertumnus	威耳廷努斯
quoth	说
knurly	多瘤的
vacuous	空洞的
forgivingly	慈悲
contretemps	不幸的
accessible	易接近的
garibaldian	加里波第的
lionlike	狮子般的
intercellular	在细胞间的
unreserved	不隐瞒
capacious	广阔
inherency	固有
remove	搬家
feature	特色
jointing	填料
raiser	酵母
plethoric	多血症
amniote	脊椎动物
hammam	澡堂
reassign	再指定
simplicity	直率
embus	装入大客车
aeronaval	海空的
disconnected	分离的
upturned	朝上的
mrs	炮口基准系统
bifid	两裂的
lickerish	讲究吃
unveracious	假的
parathyroid	副甲状腺
transmit	传播
decreasingly	渐渐减少
auditor	计员
intomb	安葬于墓中
dialyzate	=dialysate
whisht	默然的
dantesque	但丁式的
asturian	阿斯图里亚斯语
climate	思潮
increasable	可增加
gardner	加德纳
pumiceous	轻石的
helminthology	寄生虫学
rebarbative	令人讨厌的
discovery	发明的东西
hairsplitter	拘泥于琐事的人
vendible	可被普遍接受
quotable	可引用的
rhenic	含铼
seafarer	航海家
allopatrically	单独地发生地
synergic	协作
mystificatory	使人困惑不解
xvii	罗马数字
rbe	relative
radiophysics	无线电物理学
equivalent	相当的
tumidly	隆起
scorecard	记分卡
aeropause	适航大气界层
sbr	Styrene
cowish	胆怯的
revolution	革命
nobbily	华丽
noted	著名
ravel	使纠缠
alible	有营养的
flyer	传单
taffrail	船尾栏杆
compliably	屈从
threnode	葬歌
perthshire	佩思郡
adgb	Britain
flsa	Labor
vvip	very
suprarenalin	肾上腺素
polarizer	偏光器
intercity	城市间的
crossly	横
sneeshing	鼻烟
uncontested	无异议的
porterage	搬运业
temporal	世俗
ipsu	Utility
philanthropic	博爱
talon	魔爪
scurviness	无礼
omniscient	全知的
serve	服役
regrant	重新批准
plantigrade	跎行的
fetch	演绎出
peccancy	违章
possibly	或者
forbearing	宽容
squall	哇哇地叫嚷
contemporaneity	现代
unreasonably	不合理地
sleet	雨夹雪
whole	所有的
bmw	德国宝马汽车公司
sweated	低工资
filterable	可滤过的
ransom	勒索
overrun	泛滥
rally	重整旗鼓
thankless	不讨好的
bani	恶骂
psn	serial
santy	=Santa
wettable	可霑
stanch	忠实
baccate	浆果状的
trioxide	三氧化物
swat	猛击
superduty	超级耐高温的
galloot	愚笨的人
cathartic	导泻的
unthinking	不留心的
coasting	沿海贸易
auralize	在心灵深处听到
hotter	热
sheerhulk	人字起重架船
device	发明物
smear	涂污
inlook	内心省察
beelzebub	魔王
overmodest	过分谦虚
becloud	蒙蔽
fairyhood	小神仙
gallantly	漂亮
tornado	大雷雨
ingrained	根深蒂固的
mepacrine	麦帕克林
involvement	连累
equipotential	有相等潜力
