folkloric	如同民间传说的
baric	含钡的
start	着手
kickup	舞会
cocky	自大
lambkin	宝贝
extraordinaire	特别
bathwater	浴缸里的水
pasteurise	=pasteurize
coagulin	凝固素
writer	作家
whim	反复无常
chauvinistic	盲目的爱国心的
discriminative	有区别
duplicate	副本
apologetically	辩解地
sanguine	血红色的
unassuming	不装腔作势
cinnamonic	取自肉桂的
benedictive	赐福的
exarch	总督
coordinate	整理
doggery	狗群
teleprompter	读稿机
villose	有绒毛的
extensible	可扩张的
overhead	天花板
stirabout	活动分子
refreeze	再冰冻
scotticism	苏格兰方言
acrogenous	顶生的
patrician	贵族
usha	Housing
poisoner	毒害者
antiarrhythmic	抗心律失常
dantesque	庄重
sabbatarian	守安息日的
treatise	论述
interpunction	标点
redpoll	无角的红牛
facp	College
eacm	East
leaflike	像叶子的
juniper	刺柏属丛木或树木
option	选项
infinitesimal	极小
yokefellow	配偶
altarpiece	组塑
basanite	试金石
incognizance	不认识
revolvably	能旋转地
neocosmic	新宇宙论
sackbut	低音喇叭
undefendable	无法防御的
perfunctorily	马马虎虎
galactosamine	氨基半乳糖
cooptative	增选的
primarily	主要
townie	城市生活
ravc	Royal
shoehorn	硬塞进
undo	解开
electrobath	电镀浴
nonparous	未生过婴儿的
kiel	基尔
flank	腰窝
anglocentric	以英格兰为中心的
overcrop	连续耕作使土地贫瘠
acervate	成堆生长的
zwitterion	两性离子
indiction	古罗马每隔15年一次的财产评价公告
alexis	亚历克西斯
formulate	明确地表达
epigeal	浅水生长的
anigh	靠近
jackeroo	新手
rhemish	Rhemish
pinto	黑白斑纹的
pyretic	热病的
pluralise	=pluralize
condignly	应受
pigmentize	获得
colonic	结肠的
ergograph	示功器
syren	诱惑者
interuniversity	大学校际的
combustibility	燃烧性
andante	缓慢地
unconscious	未发觉的
submission	降服
ruggedness	粗野
applique	缝花
pram	RAM
hyperbatic	倒装法的
mothy	多蛾的
campcraft	露营术
breakaway	脱逃
perceivable	可知觉的
jollify	高兴
pythia	皮提亚
follicle	滤泡
moslemic	伊斯兰教的
dustpan	粪斗
phytobiology	植物生物学
polonaise	波兰连衫裙
expositive	解释的
fissile	易裂
ubiquitarian	基督圣体遍在论者
scillism	海葱中毒
compression	压缩
southernwood	青蒿
thereagainst	与之相反
yugoslavic	南斯拉夫的
whopping	异常地
upflow	向上流
camper	露营者
factualistic	求实精神的
flexure	打褶
looped	成圈
persecute	迫害
wastebasket	废纸篓
grubber	孜孜工作的人
fulgurate	发出电光
clannish	宗族排外
stylish	时髦
retook	retake的过去式
obsidionary	=obsidional
extraocular	眼外
spline	齿条
easterly	向东方的
extracurricular	业余的
ladder	梯子
last	结论性的
injunct	命令
subluxation	不全脱位
subequal	几乎相等
lubricious	不稳定
deathly	象死一样
porphyrization	研细
ceremonial	正式的
speaker	说话者
easement	在他人土地上的通行权附属建筑物
apocarp	离心皮的果实
paperboard	卡纸
phelps	费尔普斯
precaution	防范
extramundane	超越现世
coloured	有色
corpulent	肥胖
dependency	属地
lull	使安静
coloured	有彩色
dewy	如露
hostility	不友善
nasty	威胁
diapente	五度音程
unweave	拆
lumbago	腰痛
frug	跳扭摆舞
unattainable	做不到
mingily	吝啬地
flexible	柔软的
desire	愿望
