excusably	可宽恕地
iba	Authority
prickle	刺痛
undimmed	不模糊
sensed	了解
spectrally	可怕地
uncomplex	易懂的
pulsate	搏动
lenitive	润泽
asymptotic	渐近线
rensselaerite	假晶滑石
microcalorie	百万分之一卡
unwilled	非故意
swami	哲人
sniveler	假哭的人
senorita	小姐
cogwheel	木齿铁轮
nsa	National
octocentenary	持续800年的
tremulously	畏惧地
virilocal	以男方家庭为中心的
cancelation	=cancellation
hardcore	绝对
moonshiny	月照似
voluntarily	自动地
outright	直率地
elaborately	精巧
pilferage	偷盗
glost	铅釉药
chloromycetin	氯胺苯醇
prismy	棱柱的
theirselves	pro
osb	本笃会
attributive	定语
macronutrient	大量养料
girondism	吉伦特党的政见或主张
maternal	似母亲的
hemichordate	半索动物纲的
hadith	穆罕默德言行录
peroxyacetyl	nitrate
austenite	体
gozzan	=gossan
unconsolidated	疏松
corruptive	使腐败
parsonian	帕森斯社会学理论
recense	校订
complicit	有同谋关系的
tonetics	声调学
cake	蛋糕
tackling	抱住
innovatory	革新
dixieland	爵士音乐的一种
masterless	无主人控制的
flexure	弯曲部分
haemophilic	血友病
matsudo	松户
reelect	重选
inconvenient	有困难的
sooty	乌黑
micromere	小裂球
hydrothorax	水胸
tufoli	意大利通心面
configurate	使成形
inexplorable	无法研究
indolently	不痛
diphycercal	圆尾鳍
daemonic	似魔鬼的
styptical	收敛的
retire	退休
tamp	打夯的工具
onychomycosis	甲真菌病
gnomic	格言
downhill	每况愈下
ragazza	女孩
flyspeck	小斑
sixfold	六重
floatage	漂浮
connecter	连结物
coextend	在同面积或长度扩张或伸张
tentatively	试验性
asexually	无性
relatum	被关系者
virtually	事实上
cokehead	可卡因瘾君子
sexto	六开本
salopian	Shropshire地方的或人的
slummer	出入贫民区工作的人
hypnotically	用催眠术
egoistical	自我中心的
astrolater	天体崇拜者
mesaxon	轴系膜
hades	地狱
stem	滋生
subsidise	下沉
mitigatory	缓解
biomathematics	生物数学
commercialese	商业语言
recast	重铸
starting	出发
darwinism	达尔文学说
odontalgic	患牙痛
thrust	刺
exceptional	异常的
compliable	依从的
saccharomycete	酵母菌
atmological	水蒸气学的
fibrovascular	维管
bung	桶孔
lhc	High
immelmann	半斤斗翻转(德国飞行员殷麦曼
dropt	掉下
toparch	小国统治者
objectivity	客观性
streamy	多水流
egyptianize	使埃及化
mouse	搜寻
studious	勤学的
poky	慢吞吞的
plumb	铅锤
assignment	委派
headily	性急
logaoedic	由混合韵律组成的诗行
hoatching	密集
versatile	多面手的
roily	被激怒的
galvanograph	电铸版印刷品
disinhume	掘出
skirmisher	散兵
smriti	传承
divisive	分裂
legalist	守法主义者
photomechanical	照相工艺
refer	咨询
recapitulate	摘要
recalcitrance	顽抗
awake	醒的
oscan	欧斯干人
mock	仿制品
crappie	刺盖太阳鱼属鱼
counterplot	对抗另一计谋的计谋
whisker	使有须状物
biphenyl	联苯
entomophily	虫媒传粉
galop	该舞曲
mtu	transmission
loricate	有甲壳
depraved	堕落的
