bottine	半长靴
physiological	生理学的
eudiometrical	空气纯度测定管
cloud	云
spill	摔下
castalian	灵感源泉
irrepealable	不可废除的
deb	初上舞台的人
sternness	严厉
grasping	贪婪
micella	=micelle
wellspring	水源
jointing	焊接
renerve	恢复勇气
unnecessarily	未必
onwards	在先地
unexceptionable	无懈可击
foulmouthed	口出粗俗的
gis	geographic
sympathizer	同感者
inkling	略知
lowell	洛厄尔
entomologic	昆虫学的
wye	Y字
revelation	新发现
specially	临时地
fastening	扣紧
sombre	昏暗的
lipolytic	引起脂肪分解的
hippological	马学
dead	突然的
home	国内的
holophrase	整句字
amentiferous	具葇荑花序
scurrilous	使用低级粗俗语言
coach	长途汽车
neapolitan	那不勒斯
underlie	位于……之下
rsc	Royal
usable	可用的
microprojection	显微投影
narrow	严密
flagstone	石板
minelayer	布雷舰
snuff	烛花
serrulate	细锯齿边
cornish	康沃尔人
dualpurpose	肉兼用
unsheathe	抽出鞘
lustful	贪欲的
fulgid	闪耀的
festa	节日
aerarian	财政的
wisperer	低语者
chapeaubras	绸三角帽
suborning	受贿
dayle	黛尔
rowton	罗顿屋
lamia	女怪
greensand	绿砂
hexagonal	六角形
federally	联邦地
joss	神像
physiographic	文学
adjustive	调整的
symptomatic	有症状的
milton	米尔顿
hypoacid	酸度过低
counterproof	反转打样
nietzschean	尼采哲学的
reinsertion	再插入
untapped	塞子未开
ripsnorting	了不起的
wintertide	冬
podalgia	足痛
mannered	守规矩的
aluminate	铝酸盐
prang	飞机坠毁
colossians	歌罗西书
bland	冷漠的
kumgang	Mountains
rugger	英式橄榄球
hindrance	妨碍
ravelin	半月堡
microporosity	微孔性
riffy	连复段过多的
trivalent	三价
canniness	精明
eggshell	蛋壳
strained	做作
maculation	污点
probationership	缓刑期间
airdent	气磨洞形器
ytterbite	硅铍钇矿
blunderingly	粗笨地
encouraging	可奖励的
heeled	带着钱的
flask	长颈瓶
remissness	不小心
tonometer	张力计
eastabout	向东
aquatic	水
resurge	复活
weldable	可焊的
transitivize	使及物
leftover	剩余
boggy	沼泽多
idiomorphic	自形
recondense	再浓缩
scowl	怒目而视
hyacinthine	紫青色
crankily	任性
fucked	受骗
distress	使穷困
microsporangiate	小孢子囊
inspectoral	检查员的
muzzleloader	前装炮
imputation	归罪
interdigitate	相间错杂
gruziya	格鲁吉亚共和国名
pyretic	发烧
distributively	分配
demochristian	基督教民主党党员
ternate	三出
fuck	他妈
spodumene	锂辉石
accidentally	意外
breton	法国布里多尼人
methodism	美以美教派教会
radiate	发光
limbless	无翼的
pubic	阴毛的
flighty	反复无常
objettrouve	被发现之物
prepositor	级长
philomena	菲洛米娜
minorca	米诺卡鸡
vinegarroon	大形蝎子之一种
microanalyzer	微量分析仪
complicitous	=complicit
necrology	死亡启事
rancidly	讨厌地
euphoriant	使人欣快
fear	害怕
apollinian	=Apollonian
censorable	可诟病的
invective	非难的
methyl	木精
residency	住院医生实习期
ingathering	收集
mna	护理管理学硕士
coiner	伪造货币者
relate	使联系
bibulosity	酗酒
wistfully	渴望
idol	幻象
stop	被塞住
asean	Nations
procacious	勇敢的
pestle	乳钵
correlative	关联的
vigorously	精神旺盛地
mousetail	鼠尾巴
bibiolatrist	书籍崇拜者
envelop	包裹
convivial	欢宴的
riot	骚乱
oleic	油的
soak	浸
oni	Intelligence
surrejoin	第二次辩驳被告
hexadecane	=cetane
flocculi	小叶
tetrabranchiate	四鳃的
poser	难题
retinispora	扁柏属植物
yh	hostel
