inappropriate	不相称
chief	最有价值的部分
exorbitancy	不当
qnp	knight''s
markhoor	捻角山羊
carbonaceous	碳的
specific	特效药
youthfulness	少壮
fosterer	鼓励者
modestly	适当
adviser	顾问
dutifully	忠实地
intransitivize	使不及物化
areocentric	以火星为中心
behest	要求
pear	梨树
boresome	烦人的
supermalloy	镍铁钼超导磁合金
weak	无力
provincial	省的
greener	生手
corticole	生于树皮上的
iranian	伊朗人
therme	=therm
papaveraceous	罂粟科
counterbalance	势均力敌
costotome	肋骨刀
moral	精神的
serotonergic	血清素激活
aps	Advanced
currier	鞣皮匠
undependable	不可靠
meed	奖赏
choregus	合唱团之指挥
hesitatingly	支吾其词地
homeward	向家
start	惊起
sexualize	使有性特征
deicide	杀神者
soluble	可溶
hershey	bar
homburg	卷边男毡帽
morning	上午
snick	刻痕
lsat	法学院入学考试
orthoepic	发音正确的
fishfag	渔妇
outfox	以计取胜
hydroxy	羟基的
singular	非凡
amitrole	氨基三唑
talonavicular	距
epical	英勇的
inferable	能推论
diomedes	狄俄墨得斯
sweated	使用血汗劳工
gravific	产生重量
pituitous	黏液
juvenal	羽毛未丰的
ungual	爪似
flickeringly	闪烁
aphthong	不读音字母
antalkaline	抗碱
ginnel	小巷
troffer	凹形反光槽
pillared	有柱
brownette	棕发女人
fumatory	烟薰的
doited	老糊涂
thickheaded	笨
cybernate	使受电脑控制
transcurrent	横推
grocery	食品杂货店
result	计算结果
conclusive	确实的
outercoat	轻薄大衣
baric	钡的
eminence	崇高
apatetic	拟色的
parthenon	帕台农神庙
meliorative	改善
hornful	一个角制容器所容纳的量
tinty	色彩不调和的
computative	喜欢计算的
quadripartite	分成四组的
submissively	顺从
folknik	民谣迷
aep	AppleTalk
untenanted	无人租赁
tapping	出铁
cleocin	氯林可霉素
gallantly	献殷勤地
exponential	指数
hoyt	霍伊特
diagonal	对角线的
hypertext	超文本
aloetic	芦荟制的
pathfinder	探险者
rainily	下着雨
backbiting	诽谤
snorer	打鼾者
thickleaf	青锁龙属植物
egghead	理论家
restoration	复职
sudatorium	发汗室
optimal	最理想
unfurnish	搬走的家具
italicize	在字下划横线
agricultural	农业
scoticism	=Scotticism
spicknel	伞形科植物
delustering	去光法
lankly	细长地
acetylcholinesterase	乙酰胆碱酯酶
possess	拥有
refreshing	凉爽的
accrete	附着
antarctica	南极洲
oceanicity	海洋度
furnishings	设备
cusp	尖端
wild	疯狂
breechless	无后膛
unbounded	极大的
consequential	结果的
dotty	多点的
perfervid	非常热心的
nouny	多名词
syllabically	分成音节地
vertebratus	脊状
hypervisor	管理程序
clamp	夹住
viscoidal	有黏性
corroboratory	证实
exponible	可说明的
rebellious	难于对付的
scratch	抓痕
interocular	两眼间的
exhausted	疲惫
crista	羽冠
tribesman	部落男子
diffrangible	可分解
nephrocardiac	肾脏和心脏的
nucleus	核子
duteously	守本分
latten	镀锡铁板
service	服务性
studded	布满颗粒
conceivable	可想像
sarcoplasm	肌质
bloated	发胀的
prepared	精制的
canaller	运河货船
carsickness	晕车
laciniate	有细长裂片
acrospire	幼根
weenie	细小
edb	dibromide二溴化乙烯
carabid	步甲
infirm	柔弱的
converse	认识
transfixion	凝固
body	身体
shareable	可分摊的
unsoldierly	不英勇
choanocyte	环细胞
singaporean	新加坡人的
