spew	喷涌
decanal	牧师管辖的
peachful	爱好和平
grain	谷粒
resultingly	因此
inbuilt	嵌入的
overdose	配药过量
redoubted	可怕
trayful	满盘
resourceless	无资力的
blazing	炽烧
endodontist	牙髓学
quartersaw	把原木锯成四块
antique	过时
most	多数
pannikin	小盘
society	……会
pike	矛
oas	办公自动化系统
shindig	吵闹
spastic	痉挛的
timbal	鼓膜
bakkie	小型厢式轻便货车
nonintervention	不干涉
cleome	白花菜属植物
irritating	刺激
trigynous	具三雌蕊
exploder	爆炸装置
serena	塞丽娜
tensignal	以10开头的信号电码信号
presidial	主持
rhapsodical	狂想曲的
stotinka	保加利亚的货币名
sorites	复合三段论
bioautography	生物自检法
retour	回到原
cordial	热忱的
corresponsive	相当
howl	嚎叫
swbw	west
silicosis	硅肺病
sile	流下
learned	有学问的
experimentalism	试验者
ocso	the
lazyboots	懒人
cashdrawer	存放现金的抽屉
adolescent	青春期
spermous	精液的
eristical	=eristic
herbalism	草药医术学
criminative	使负罪
current	当前的
cometary	彗星的
jagged	有凹口
chronon	时间子
caboodle	群
glowworm	萤火虫
radula	齿舌
repurchase	重新买
megasporogenesis	大孢子发生
jurisprudence	法学
lambdology	λ噬菌体学
lenitive	缓和的
reflexible	可反射
heliocentricism	太阳中心说
elegiacal	挽歌
this	这
assimilable	可同化
countertype	相等物
gravy	肉汁
cribber	剽窃者
suspectable	值得怀疑的
fluidity	流度
volatilizable	易挥发
seventeenth	第十七
baize	台面呢
pbx	branch
stocky	健壮结实
abbreviatory	缩写的
checkman	查票人
weedy	杂草多的
unwarmed	未温热过的
legatary	遗产的
parenthetic	插句的
subdivide	细分
famed	闻名的
swathe	包装品
complimental	恭维
diffidently	踌躇地
speediness	迅速
chitchat	闲谈
overparted	分配担任力不胜任的角色的
watering	排水沟
lordly	贵族般地
send	寄
generation	发生
agonist	收缩筋
crimmer	克里亚卷毛羔皮
metacenter	定倾中心
upstream	逆流地
unknown	不知名
arborescent	树木状的
ruthenium	钌
jimberjawed	有突出下颌的
chain	镣铐
fit	健康
inequiaxial	不等轴的
incommutable	不能变换
coi	中央新闻署
sclerodermatitis	硬化性皮炎
hesperornis	黄昏鸟
capitalintensive	资本集约的
mythopoeic	神话时代
globelet	小球体
marionette	牵线木偶
catlike	象猫的
cmh	of
perivascular	血管周
bifoliate	双叶的
isopycnic	等密
foundation	创立
sat	sit的过去式
commercioganic	吸引力
backlist	列入重版目录
sixern	苏格兰长型六桨渔船
septuplicate	一式七分的
thracian	色雷斯人
maneuver	机动
redeliver	再投递
beauideal	十全十美
requin	shark
delicate	微妙
patter	急速拍打声
oni	Office
cmb	Bank
discontentedly	不平地
lie	说谎
rebate	给……回扣
serenade	小夜曲
toxaemic	患血毒症的
dinoceratan	恐角兽
plazolite	杂水榴石
ventricle	心室
spirochaetal	由螺旋体引起
yttrium	符号Y
staphylococcal	由葡萄球菌引起
rwanda	卢旺达
apyretic	无热
wrangle	放牧
slack	松弛
rapprochement	和睦
silicious	=siliceous
repossession	恢复
froward	刚愎的
monsieur	先生
allelomorph	对偶值
accurst	可憎恨
soak	泡
postimpressionism	后期印象派的
rebutment	辩驳
gulf	海湾
fissile	可分裂的
embody	收录
impalpably	不能感知地
scrofulous	淋巴结核
prosperously	繁荣地
import	引入
cruelly	残酷
