athenai	=Athens
dextroamphetamine	右旋安非他命
pop	突然出现
help	补救办法
clamour	吵闹
formulaic	刻板的
veil	戴面纱
thermal	热
absorbency	吸收能力
runrig	=rundale
peremptoriness	武断
terroristic	恐怖主义的
frcp	Physicians
interferometric	干涉仪的
delphinium	翠雀花
transplantation	移植
preceptive	教训性的
smooth	圆滑
exiguity	微小
land	田产
myxoid	黏液样的
vouch	保证
nitroguanidine	硝基胍
override	不顾
midlothian	中洛锡安郡
frondage	茂盛的叶
certify	证明
imaginably	想象得出
epidural	硬脑膜外
remarque	带有轮廓略图的印版
pegasus	有翼的马
inadvisability	失策
illustrational	例证
sinuate	波状
tyro	生手
driblet	少许
skip	跳
clouted	凝固的
hope	信心
desiccator	干燥器
airhop	短程空中旅行
iula	世界地方自治联盟
repose	座落
term	学期
buonaparte	family
waste	废物
dearborn	迪尔伯恩马车
colorful	色彩的
parure	全套首饰
draughtboard	西洋棋盘
desmotropy	稳变异构
astronautically	太空航行地
osmoregulatory	渗透调节
cosmonaut	宇航员
induce	感应
exponential	幂数
carbonicacid	二氧化碳
latinic	主要是拉丁性质的
exteriority	在外
customary	习惯的
undershot	下颚突出的
remigial	飞羽的
thin	薄地
pemphigus	天疱疮
tough	凶恶
admirer	赞赏者
usaid	States
scrumptious	极好
fayum	=Faiyum
magniloquent	华而不实的
subside	下沉
bmj	Journal
smart	刺痛
buret	滴定管
jar	发刺耳声
insufflation	喷洒
mappable	可用图上标示
flattery	奉承
catchwork	山坡灌溉水沟
hunter	猎人
ferity	野性
undercroft	圆顶地下室
sexualize	使有性关系
mhw	water
enostosis	内生骨疣
tanzanite	坦桑黝帘石
recursive	回归的
choppy	不断改变方向的
doghole	龌龊的房间
bissel	一些
anticlerical	反对教权
stakhanovite	斯达汉诺夫运动的
oaec	Organization
mammey	=mammee
chlamydomonas	衣滴虫
slinkskin	胎牛革
gpi	the
radiotherapy	放射线疗法
unfastidious	不过分讲究
clearsighted	眼力好
swim	使浮起
spread	传播
fixure	坚定
ruffianly	恶棍般
agp	Port
version	翻译
imbolden	鼓励
myricin	蜂蜡素
will	将
causeless	无显著原因的
nonfarm	非农业品的
maladjustive	引起调节不良的
amebic	变形虫的
superscript	上标
living	活的
arctic	北极的
peritoneal	腹膜的
detergent	清洁剂
potty	琐碎
altocumulus	高积云
birdman	鸟类学家
migrate	随季节而移居
regard	关系
ragazza	女郎
bulgy	膨胀
slow	减缓
needfire	篝火
limewood	椴木
virginiamycin	威里霉素
highland	高
toilworn	憔悴
elegant	上品
punitive	刑罚
ohmage	欧姆电阻
diptera	双翅目
communalize	归市
adsorbent	吸附
vertices	至高点
distinct	清楚
excitement	兴奋
corrupt	腐败
northwestern	西北方的
overexertion	努力过度
insoluble	不能溶解
rigorous	严格
front	前面
cirenaica	=Cyrenaica
crenate	圆锯齿状的
quaintly	古雅别致
woodenly	呆板
darrell	达雷尔
overprint	添印
yellowwood	黄色木材
ft	Times
anglian	盎格鲁族之方言
veil	帐
comforter	安慰者
mural	壁饰
