motivic	乐旨的
aeroamphibious	海陆空的
knur	结节
warrant	证明
zodiacal	黄道带的
wavelike	波浪般
burman	缅甸人
magellanic	麦哲伦海峡
deep	远离中心的
disgustedly	厌烦地
malpighia	金虎尾科的
jussive	命令的
inbreathe	吸入
chackle	喋喋不休
lowish	有点儿低
indistinctively	不显著
distant	疏远的
internuncio	使者
remorseless	不知过错
pluvian	下雨
enserf	使成农奴:
kk	English
hydroacoustic	水底传音的
sinew	腱
undersanded	含沙过少
scrimmage	并列争球
flambeau	有装饰的大烛台
oostende	=Ostend
froggy	蛙
appellate	受理上诉
gunnery	炮术
hempie	爱恶作剧的
eristic	争论家
lycopod	石松属的植物
cdgps	Common
boulevard	林荫大道
admirably	极好
preform	粗加工的成品
massless	无质量的
pleasure	愿望
limpingly	勉强地
solubility	可解决性
african	非洲人
dacron	的确良
wound	击伤
ferocious	极度的
laughing	可笑
iamap	Physics
schizophrenia	精神分裂症
pluralistic	兼管数个教堂
leak	泄漏
impermissible	不许可
maldistribution	分布不均
peace	和睦
choiceness	精选
clift	断崖
butcherly	残忍地
deranged	疯狂
heterogenesis	自然发生
kcps	kilocycles
vulcanizate	硫化产品
vittle	victual
zealotry	狂热行为
tiddled	喝醉的
rigmarolish	冗长废话的
francophil	亲法的
gyneolatry	=gynaeolatry
fidate	稳固棋子使它不被对方吃掉
turk	土耳其人
cratered	有坑洞
feme	妇女
myth	神话式的人物
permissibly	获准
agroboy	=skinhead
pharmacological	药理学的
denervate	切除神经
unbalance	失去平衡
metallurgic	冶金学
mart	商业中心
wagonlit	欧洲大陆的铁路卧车
angara	安加拉河
most	大部分
saltish	微咸
fairness	清晰
sulfureous	硫磺的
spartanize	斯巴达化
zolaesque	左拉作品
digital	手指的
brindled	有斑纹
thixotropic	具有触变作用的
roper	用索套捕牲口的牧人
madrileno	马德里人
thunderation	到底
substruction	下部结构
waterproof	防水的
geo	海门口
lewd	淫荡的
skupshtina	国民议会
unfathered	私生的
maxilla	上颔骨
add	增加
carelessly	不注意
reshuffle	改组
mesentery	肠系膜
anguiped	有蛇状足
lowery	阴暗的
substantive	大量
experiment	实验
proestrus	=prooestrus
hydrophily	水媒
darkle	变暗
mammee	曼密苹果
fusionist	联合论的
serialize	连载
undro	Organization
thievish	偷偷摸摸
affrontedly	被冒犯
unpenetrable	难穿入
iasi	雅西
resurrective	使死者复活
flurr	飞起
alternately	交替地
denaturalization	非自然化
dateless	年代不详的
sooty	乌黑的
tcs	station
melodion	=melodeon
corsican	科西嘉
girder	梁
rigmo	mortis
hell	阴间
practicant	=practitioner
irreplaceable	不能代替的
upstream	向上游
worldbeater	出人头地者
overoccupied	过于拥挤
usphs	States
aphthoid	像口疮的
undress	使脱衣服
crosswise	斜
audiogenic	声音所引起
tyrannical	残暴的
tholobate	圆屋顶座
desecrate	亵渎
slicker	刮子
untoward	困难
drowsily	睡
mabe	of
whirlabout	旋转的
magnalium	镁铝
sawhorse	锯木架
poikilothermic	冷血动物
paralegal	辅助律师业务的
luggie	带耳状拎环的木桶
