techy	易怒
eupepticity	消化良好的感觉
irrepleviable	不准保释
dynamograph	握力计
cc	Cocos
sunlit	阳光照射
diastolic	心脏舒张的
scalprum	骨锉
bingle	短发
tiptop	出色的
confluent	汇合的
excursion	漂移
mint	铸造
breathlessly	气喘
goodman	夫
foamy	起泡沫的
jambe	侧柱
replacing	更换
slaughter	屠杀
redwood	红杉
anatomise	解析
therapeutics	治疗学
globate	球状
analyzer	分析者
secretory	分泌腺
chunnel	水底铁路隧道
reembark	重新搭载
george	男子名
cosmologic	宇宙哲学
procurement	获得
winchman	绞车手
set	固定
pygidium	尾板
elkhound	猎鹿犬
detrimental	有害的
prague	布拉格
ardor	热情
carbonation	碳酸饱和
cowheel	炖蹄筋
bactrian	大夏的
eventless	平静无事的
limejuicer	英国水手
blighty	老家
ponderosity	笨重
ashiver	颤抖
undivided	专心
detonation	爆炸
stage	发展的进程
chunderous	令人厌恶
impermissibility	不允许
unwisdom	无知
npcf	Foundation
nyp	published
fh	fire
enthral	奴役
castigatory	斥责的
gentleman	男盥洗室
merchandising	商品之广告推销
multigerm	多胚芽的
marriage	结婚
semeiology	症状学
worriment	苦恼
uncontrollable	无法控制
matinee	白天举行的音乐会
centricity	中心
paleohabitat	史前动物栖息
melissa	蜜蜂花
contain	容纳
hominoid	似人猿
cerebrotonic	表示大脑紧张型特性
riblike	像肋骨
chez	在
oceanaut	海底实验室工作人员
thrust	戳
containershipping	货柜装货
vagal	迷走神经
ordinary	罪犯的忏悔牧师
epidural	硬脑膜外的
bionic	利用仿生学
headguard	橄榄球员的头盔
prefatorial	=prefatory
colorblind	色盲的
fornix	穹
metol	甲氨基粉
secretary	秘书
autocrat	独裁者
time	定期的
sided	有面的
azedarach	楝树
taoist	道士
unaccountable	无责任
goodwill	亲切
rayah	非伊斯兰教徒的土耳其人
arcuation	弓曲
unforced	不勉强的
distaffer	家庭中之女性
obscene	猥亵的
deposition	沉积物
plump	变丰满
invidious	易招嫉妒
introspective	反省的
brainpower	智囊团
denaturalization	剥夺国籍
babiroussa	野猪
chainless	无链的
apostatic	背信的
defog	从……除雾
cold	伤风
imprest	预付款
inchoate	未形成
squelcher	毫不放松的反击
sailer	船
helplessly	无能为力
komondor	匈牙利种牧羊犬
lancinating	刺痛的
finlike	鳍状
sebaceous	脂肪过多
semideaf	不完全聋
syrphid	食蚜蝇
vintage	洒
hobohemia	游民所居之贫民窟
brimful	满到边际的
volute	向上卷
scanty	稀疏
painty	用涂料弄脏的
mungarian	匈牙利的
huffish	不高兴
superior	高傲的
nira	Act
mesh	网孔
speakerphone	喇叭扩音器
wsa	Administration
hormone	激素
austere	简朴
victualing	装贮粮食
goosy	似鹅的
odontoblast	成牙质细胞
regionalism	行政区域划分
rident	兴高采烈
lpg	Gas
becloud	使遮暗
pacemaker	标兵
prejudicial	引起偏见的
roadeo	卡车司机车技表演比赛会
elaborately	精巧地
unpresentable	见不得人
faintness	模糊
suiyuan	绥远
residue	渣滓
lenience	仁慈
