praline	果仁糖
malarious	瘴气的
reversal	颠倒
electropolar	电极性
certain	某几个
cardiotoxic	心脏中毒
dicta	格言
stragglingly	落后
adder	小毒蛇
greta	格里塔
ontic	本体
kennel	狗屋
dts	Theater
monopteron	=monopteros
geocentric	以地球为中心
telephonist	话务员
macroptic	视物显大症的
deplumate	除去羽毛
aponeurotic	腱膜
nucleophilic	亲质子
indicial	指标
jib	船首三角帆
introduction	入门
overreach	延伸过远
uptime	正常运行时间
reddish	微红的
inertial	不活泼
unconfirmed	未经证实
insanity	愚顽
savage	未开化的
geezer	古怪老头
emancipate	使摆脱家长的管教而获得合法权利
bottlebrush	洗瓶刷
hyperthymia	情感增盛
jagged	锯齿状
administrative	行政法
struma	腺病
nonabsorbable	不能吸收
roc	Required
amenities	令人愉快之事物
desorb	使……释放出吸收之物
mycosis	霉菌病
homonymy	同名
muffin	松饼
igmp	Internet
unbonnet	脱帽
drachm	古希腊的银币名
ocherous	赭色
scheduling	行程安排
heathland	欧石南丛生的荒野
decimalise	=decimalize
qarnns	Royal
brede	刺绣
pocket	钱
whisker	胡须
accessory	附加物
unscientific	不科学
derivational	诱导的
severely	激烈地
shockingly	非常
sorehead	落魄的
dll	动态链接库
sharif	沙里夫
swapo	African
pool	汇聚成
elective	选任
slipslop	乏味的酒
satisfaction	满足
nonart	反传统的艺术作品
erumpent	突然现出
unaccountably	不能说明
unsound	不佳的
butterball	小鸭的一种
turnkey	监狱的看守
hydrophobe	憎水物
dna	脱氧核糖核酸
misogynous	厌恶女人的
woodbind	五叶地锦
converse	谈话
parentheses	插入语
unexpanded	未被扩展
paternal	象父亲
knitwear	编结的衣物
parcel	小包
gaga	狂热的
dossy	好看
optional	可选择的
septuagenarian	七十岁的
haemophilic	嗜血
spavined	患跗节内肿的
scarfskin	表皮
albescent	带白
appassionata	热情的
forget	忽略
clean	干净的
enring	围绕
heap	堆
unbolted	未上栓
painful	使痛苦的
angelic	似天使的
zenocentric	木星中心
oceanid	海洋的女神
munificent	宽宏的
sdcd	Density
indistributable	不可散布
inventory	详细目录
clinging	执着
pictorially	绘画般
bravo	好啊!妙!
detergency	洗净
trample	践踏
rascally	流氓
decompressor	减压装置
accoucheuse	女助产士
excremental	排泄物
butty	伙伴
phentolamine	酚妥拉明
disrupt	使瓦解
himyaritic	希米亚里特人的
unassailed	未受攻击的
fractional	分馏
cicada	蝉
unprescribed	自由的
dominance	统治
respirability	能呼吸
drinking	喝
weak	虚弱的
depressingly	抑压
volkslied	民谣
orcish	兽人
blackhearted	邪恶的
windbag	风囊
tortilla	玉米粉圆饼
sanctorium	圣祠
betrothed	订婚了
maffick	狂欢庆祝
buddha	佛
veritably	真正
votive	奉献
trismegistus	=Hermes
entozoologist	内寄生动物学
pindaric	风格的诗
uninspired	平凡
flea	跳蚤
spinage	菠菜
pilchard	沙丁鱼
appropriator	擅用者
acheron	阴间
titanic	四价钛的
cinchona	金鸡纳皮
sedimentable	可沉淀的
exsanguinate	抽血
diaxon	二轴突细胞
omnisex	包括男性与女性的
botany	植物学
albuminoid	蛋白质
spatter	滴落
horsetail	马尾
tapioca	木薯
geoprobe	地球探测火箭
jellyfish	水母
baor	the
bracket	墙上凸出的托架
fissility	易裂性
photoshp'	NULL)
