stricture	责难
galvanoplasty	电铸法
konstanz	=Constance
recompense	报偿
ambsace	最无价值的东西
distance	一长段时间
pendent	未定
congealment	冻结
unneutral	不公正的
tatty	不值钱的
unventilated	空气不流畅的
leucin	亮氨基酸
agglutinin	凝集素
changeful	富于变化的
enforceable	可强迫的
flabbergast	哑然失色
headlike	头状的
binnacle	罗盘箱
posy	花束
banket	含金砾岩层
arty	装艺术
excogitate	研究出
rasped	刺耳的
triserial	排成三列
fruticose	灌木状的
storiology	传说学
makeevka	=Makeyevka
vizir	高官
spiritualistic	降神术
yokohama	横滨
sycophancy	拍马屁
rcvs	Surgeons
emulable	可赶上的
zigzag	作Z字形
extraterritorial	治外法权ality/`ekstrE9teally//
seastar	中国海星电脑集团
hermoupolis	厄木波利斯
stockbroker	股票经纪人
pressbutton	电钮
covert	隐藏处
semidiurnal	每12小时一次的
accelerant	促进剂
radiosymmetrical	辐射对称
cocktail	鸡尾酒的
multipliable	可乘
chauvinism	沙文主义
tcb	care
boule	立法会议
sermonesque	说教
leafage	叶子
exhilaration	愉快
triserial	只有三个轮生体的
secondary	中级
orally	口头上
coder	编码装置
sublime	异常
floriculture	栽培花卉
nonnuclear	非核的
avail	效用
octu	Cadets
desalination	减少盐分
biovular	二卵生双胞胎特有
worktable	缝纫桌
ndis	网络驱动器接口标准
anorak	带风帽的粗呢大衣
woodworking	木工艺
salbutamol	柳丁氨醇
deodorizer	除臭剂
programme	编程
retiform	有交叉线
eclectic	折衷
unsized	不依一定尺寸制造的
calypso	卡里普索
demarch	市长
millet	稷
excusatory	辩解的
dumbartonshire	=Dunbartonshire
britishly	似英国人地
froth	泡沫
methodology	方法论
refluent	回流的
uneducable	不堪造就的
thanatopsis	死亡观
pitch	掷
delenda	被删去之部份
unselective	不加区别
superficialize	使表面化
unwisdom	愚昧的言行
gwyniad	白鲑
indigence	穷困
dormie	=dormy
cloudwards	朝着云
duplicate	完全相同
cruck	曲木
still	仍
burglarproof	防盗的
chastiser	儆戒者
copiously	丰富地
sordamente	抑制
fledging	羽毛初长的雏鸟
brahma	宇宙最高的永恒的实体或精神
brd	德意志联邦共和国
nonexportation	禁止出口
venous	静脉
jwb	Jewish
ansate	有柄状部分
regard	关心
adopt	收养
egoboo	自我赏识
suberose	似软木
pentyl	戊基
phylloclade	代叶枝
agrology	土壤学
accommodable	可适合
veritably	真实地
ccpit	Promotion
thrifty	节约的
stridulate	吱吱叫鸣
hempie	似麻
semiferal	半野的
mussily	混乱地
sulfurate	硫磺的
surgically	如外科手术般地
determine	测定
anticoherer	散屑器
reviviscent	复活的
recede	后退
croquis	略图
golden	金色的
strac	Corps
smeary	弄脏的
autodestruction	art
seedy	不适
manyatta	村塞
austria	奥地利
crabbed	易怒的
cassegrain	卡塞格伦望远镜
amimeche	I
sigil	魔诀
typesetting	排字
examinatorial	考试的
inflammatory	煽动性
lack	短缺的东西
paternal	父亲
cannes	戛纳
gayety	愉快
barbiturate	巴比妥酸盐
locoplant	疯草
