zoogeology	化石动物学
xenia	异粉性
unsubstantial	无实质
pompano	鲳参鱼
rabia	=Rabi
prepositional	当前置词
pulverise	=pulverize
aeroballistic	空气弹道学
gooky	粘的
piety	孝行
foulmouthed	出言不逊
handling	操作的
amazing	令人惊异
fh	hydrant
bluebottle	青蝇
front	外表
vinegary	有酸味的
lesbos	莱斯博斯岛(即米蒂利尼岛
material	物资
irksome	讨厌
scramble	混乱
clime	地方
prohibitor	阻止者
do	给予
performance	演奏
syrupy	像糖浆的
freeload	一种离线浏览主页的工具软件
priority	优先
optional	随意的
quadricornous	=quadricorn
function	运行
gustiness	狂风
lincolnite	林肯拥护者
dehiscent	裂开性
scleroprotein	硬蛋白质
voltolize	对……作高电压处理
unhip	不谙时髦
ucla	of
ground	面上
mask	化装
areographer	说明火星形状的人
ecclesiastes	传道书
opponent	对抗
pyramidalist	埃及金字塔传说的解说者
cc	科科斯群岛
proportional	成比例
ebb	衰落
egodystonic	与自我不相容的
vitellogenous	卵黄的
ornamentation	装饰
shoal	鱼群
hyoid	舌骨的
fortune	给……以大宗财富
undesirous	无欲望
econometric	计量经济学的
moistureless	干燥的
doughty	勇敢的
imminent	逼近
kokobeh	果皮粗糙的
impeachable	可控告
jurassic	侏罗系的
seducement	怂恿
fire	给加燃料
adjure	命令
subhepatic	肝下
uncharming	缺少魅力
bronchography	支气管造影
phos	=phoss
diatonicism	全音阶
fancied	虚构的
graduate	毕业
unlearned	没有文化的人们
anonymity	作者不明
unitary	整体
discovery	发现
cozily	舒服地
viviparity	胎生
undouble	松开
mauley	手
verbid	动词的非谓语形式
hardhattism	高压手段
linux	一种可免费使用的类UNIX操作系统
amerceable	可罚款
spun	纺成的
radiocardiogram	放射心电图
intellectual	知识分子
recitative	背诵
emprise	行动
tensegrity	无一定尺寸限制的结构
majorcan	马略卡岛
distortedness	扭歪
aye	赞成票
operation	业务
hexabasic	六盐基
eudipleural	左右对称
holden	hold的过去分词
leak	漏出
whiting	白垩
chill	寒战
soggy	沉闷的
pronouncing	发音的
resedaceous	木犀草属
numerously	多数地
contrived	做作
triturator	磨粉的人
cryptozoite	潜隐体
waltz	华尔兹舞曲的
nonenforceable	不可实施的
silence	寂静
lendable	可借贷
aubergiste	小旅馆主人
ignitible	=ignitable
extent	长度
reluctation	表示勉强
refraction	折射
tgv	里昂间高速火车
tackle	解决
foe	危害物
stockpot	什锦锅
grinding	磨
tail	跟踪
nematology	线虫学
jesuitical	虚伪的
apopemptic	告别的
methaqualone	安眠酮
canonist	圣典学者
caressing	爱抚
throughother	杂乱
misshapen	奇形怪状的
phrenetic	精神错乱的
rimous	龟裂的
paper	文件
transire	结关许可证
elastically	有弹性
cytotropic	向细胞
tattersall	塔特萨尔花格呢
glumpy	闷闷不乐的
circuit	电路
unicef	联合国儿童基金会
downcourt	前场篮下方向的
pustular	脓疱的
serve	侍候
unanswerable	无法回答
organically	器官上地
latter	较后的
quicksand	流沙
curtailment	缩减
scarlet	鲜红
positivist	实证主义者
untenanted	未被租用的
nabob	富豪
walloping	殴打
headily	任性地
cooptative	由原任委员投票的
slapdash	匆促
equivocally	含糊
oda	办公文档体系结构
thenceforth	其后
tragus	耳屏
sexfoil	六叶性的植物
