catchweight	无体重限制的
findable	可发现
moondown	月落
flyaway	轻浮的
transmit	发射
fall	垮台
dicom	医学中的数字图象和通信
blackboard	黑板
failing	弱点
buckthorn	人心果科属树
bicoastal	大西洋和太平洋东西海岸的
faddish	趋于时尚
tsetse	采采蝇
fantastically	捕风捉影地
airdrome	机场
whinger	短剑
kvass	克瓦斯
forcibly	硬
bigeneric	两属的
my	我的
illustrative	说明性
bedehouse	=beadhouse
millinormal	毫克当量的
feldspathoid	似长石
logo	标识语
titanothere	雷兽
euphuism	华丽词藻
examination	细查
whiz	发出呼啸声
ceeb	大学入学考试委员会
secretarial	书记
literalise	=literalize
capsulotomy	囊切开术
discarnate	脱离肉体的
sanctified	批准
tearaway	行为鲁莽的
behave	举止
cpaffc	Friendship
indrawal	内流
infrequent	稀少的
copperworm	衣裳蛀虫
standard	标准的
apulian	阿普利亚区
asyllabic	不成音节的
lousy	污秽
overcurious	多问的
rising	上升
phosphorescent	磷光性
wale	使有鞭条痕
burstone	磨石
sweepstakes	赌金
oeillade	秋波
freeform	形式自由的
fumy	冒烟的
colligative	依数
smd	of
merger	合并
continental	大陆性
bbb	breakfast
trichomonal	毛滴虫引起的
lichenometry	地衣测量年代法
vlad	弗拉德
placing	出售
dearness	高价
foremastman	前樯水手
vicarious	代理人
submicron	亚微细粒
niggard	吝啬
panchromatize	使成全色性
wild	野蛮
cap	戴帽子
nikethamide	尼可刹米
aquiver	颤抖的
hairsbreadth	窄如发丝
voiceprint	声波纹
patter	喋喋快语
infective	会传染的
uaa	United
nounou	奶妈
riverine	河流
guiltily	罪
tractorman	拖拉机手
bream	鲤科鱼
eucharist	圣餐
ciseleur	镂刻者
gorgerin	柱颈
execrate	痛骂
fill	饱
exterior	外交
gentlemen	gentleman的复数
gearshift	变速排档
closet	厕所
fidget	慌张
mirabilite	芒硝
xylophagous	蚀木的
tsaritsyn	(苏联伏尔加河下游城市伏尔加格勒
wide	宽的
soybean	大豆
madcap	轻率的
positive	绝对的
circumnavigate	环航
eleven	十一
callable	请求即付的
ldc	不发达国家
convinced	深信
adrift	漂泊
occident	西洋
proteus	希腊海神
fluster	狼狈
gastroduodenostomy	胃与十二指肠吻合术
symbiotic	共生
retia	网
sylvatic	栖息于森林的
disastrously	悲惨
gamesmanship	竞赛时使用的虽不光明但不犯规的方法
totem	图腾
surveillant	监督的
seignory	领
inegalitarian	不均等
escap	Pacific
myelitic	侵入脊髓的
romanaccio	罗马方言
photopia	昼视
roundabout	转弯抹角
pierce	刺破
gnomical	=gnomic
freeheartedness	慷慨
perception	DPS公司出的数字影像压缩卡
archduchy	大公国
eerie	不安的
mediterranean	地中海民族的
scrubber	洗刷者
antiserum	抗血清
adina	艾迪娜
horsepox	马痘
webbing	带子
bullionism	金银通货主义
assertion	声明
befitting	适当的
eclamptic	惊厥
everyday	平凡的
pyloric	幽门的
bejewlled	以珠宝装饰
felicitation	庆祝
lactary	奶的
winning	胜利的
unexpiated	未赎回的
curie	居里
dll	Link
homophonous	齐唱的
undertip	对未给足小费
mellowness	怡然
violin	小提琴手
obiit	逝世
swimgloat	继续奋发的喜悦
working	经营的
exsanguine	贫血症
underactor	次要演员
escapement	逃亡的出口
rigorous	严酷的
equal	均等的
bathed	沐浴
westernmost	极西
jansenist	詹森主义者
hawk	叫卖
hit	讽刺
knight	武士
acquired	已成习惯
blaze	照耀
snippet	摘录
fslic	Savings
handcraft	手艺
tunicate	有被囊
hematozoal	血寄生的
reinstitution	再建立
incapsulate	装入胶囊
abandoner	遗弃者
impermanent	非永久的
mooneyed	患夜盲症的
pediculicide	灭虱的
tallyho	呔嗬!
