callow	年轻而无经验
struthonian	不敢正视现实
tetraxial	有四个轴的
brunhild	布伦希尔特(德国史诗
wealthily	丰富地
dryness	干
bannister	栏干
monteverdian	蒙特威尔
stress	重点
slinkskin	早产仔畜皮革
shock	震惊得
iterance	复述
subcapsular	囊下
catechist	问答式教授者
dutiful	孝敬
francophobe	反法国
imperfectly	没完
subhumid	有足够雨量供草木生长的
noncaloric	热量极低的
palaestra	健身房
whop	打败
saharanpur	萨哈兰普尔
bdtr	Data
topocentric	地面点的
ate	Test
unembroidered	简单的
lumber	乱堆
unpardoned	不被原谅
tervalent	三价的
maidenly	适合于少女的
expense	费用
refractable	可折射的
propound	提出
benignly	亲切地
wildfowl	野禽
tobacco	抽烟
calm	镇定
straightforward	正直
necessary	必需品
sustenance	支持
feathering	附装羽毛状
lexigraphic	词素文字
sizable	相当大的
unlikely	不太可能的
redevelopment	重点恢复
gardant	面部正对观看者的
suspensive	未决定的
mispleading	申诉
symplesite	砷铁矿
disclaimatory	表示否认的
dystrophia	营养不良
now	目前
exhaustive	无遗漏的
tigrine	虎的
upright	诚实的
recordist	录音员
geomedical	风土医学的
flee	逃走
panduriform	提琴形
seeker	探求者
reflexible	反射性
repentant	后悔的
tame	沉闷
polyembryony	多胎
vascar	Speed
diproton	双质子
figurable	能成形的
autotelic	自己本身具有目的的
deepwater	海洋上
idiocratically	癖好地
celadon	灰绿色
suprarenal	肾脏上的
boffo	开心的大笑
hallstatt	初期铁器时代的
postmortem	死后发生
exoteric	一般人所能理解的
brash	性急
receipt	收到
steamy	多蒸汽
ectomorphic	外胚层体型的
trivalve	三瓣
irak	伊拉克
periodical	杂志
uncorrected	未调整
enterpriser	企业家
dardan	特洛伊人
exegetical	解经
needless	不必要的
mortar	臼
hornless	无角
featherhead	蠢人
unmeant	无意
nonenzymic	非酶
salop	英国行政区之一
delinquent	拖欠债务
partner	舞伴
bto	Time
lisping	口齿不清
regional	域性
sustain	维持
mamillated	有乳头状突出物的
put	航行
pravda	俄
warty	有疣
bender	弯腰者
hydrocrack	加氢裂化
flintily	冷酷
uncalculated	一时冲动而造成的
hexenbesen	扫帚病
shelly	壳一般
springhalt	跛行症
bachelor	文理学士
cockleboat	轻舟
degree	度数
arbitrational	关于仲裁的
knit	密接
counterappeal	抗告
trenchplough	深耕犁
knitgoods	针织品
semifinalist	于初赛获得以在半决赛时出赛的选手
zymogram	酶谱
socket	牙糟
crossed	十字的
flop	砰然落下
contemptuous	侮辱的
cuss	坏话
nehemiah	世纪的希伯来领导人
comminatory	威吓的
shimmy	晃动
fjp	York纽约犹太慈善团体联合会
towel	手巾
with	由于
remedy	矫正
zeugmatography	软组织结构的映像
incisal	割的
chasmophyte	在石缝中生长的植物
celibate	独身的
excerpt	引用
pulperia	酒店
illegibly	难读地
podzolise	=podzolize
antipodal	正相反
inimically	有敌意地
araliaceous	五加科
enclisis	与前词连接发音
lunkhead	呆子
remittent	弛张热
dockworker	码头工人
cardinal	主要
pained	痛
demagoguism	煽动方式
overdraw	透支
listenable	值得一听
boiling	激昂
insectivize	施行强暴统治使沦为奴役
demagoguery	散布谣言
outfield	外场
plumy	用羽毛装饰
mtbf	Failures
hardy	难
