snubby	好轻视人
socialistically	社会主义地
eutrophication	超营养作用
feign	捏造
heartstricken	悲痛欲绝的
regardant	头朝后看
pluralist	兼管数个教堂者
impayable	无与伦比
janfu	一团糟
factoried	多工厂
subacute	稍尖
unserviceable	无用的
galibi	加勒比人
pregnant	怀孕的
explainable	可解说的
hookshop	妓院
intermetallic	金属间的
urc	Citation
sensitive	灵敏的
gay	尤指男性同性者
produce	引起
accumulative	积聚
lemme	=let
spontaneously	本能地
dysphasic	患言语困难的
firn	冰原
jiangsu	江苏
cureless	不能救济
monarchical	国王的
coetaneous	同时代的
pants	短裤
peck	吃一点点
huxley	贺胥黎
monospermal	单种子
revolutionist	革命家
ps	推出的一种计算机
slack	软弱的
incorporable	可包含的
undreaded	不被畏惧
abscondee	潜逃者
excoriation	严厉的责难
autorotation	自转
korean	朝鲜人的
backstairs	诡秘
wane	衰退
pish	表示轻蔑
tubate	形成管
falsehearted	不忠实的
dna	deoxyribonucleic
roister	喝酒喧嚣
cabana	小屋
subtilize	过分精细
lamination	迭片结构
petiolule	小叶柄
hollywood	美国电影业
mordacity	讽刺
scoffingly	带冷笑地
prosperity	繁荣
dye	染色
colossal	庞大
ferromagnetic	铁磁
bachelorism	独身
aclu	Civil
parosmia	嗅觉异常
tardigrade	节肢动物
fashionable	流行
chuffy	像农夫
suberect	几乎直立的
nonself	异物
undistributed	未分发
efficaciously	有效地
unseeing	没有看到
oscular	接吻
panelling	镶板
curtal	切短
anking	安庆
valuable	颇有价值
underlay	垫起
preceptive	好教训人
tup	公羊
existential	有关存在的
readableness	易读
alienist	精神病学家
esr	resonance
unexpiated	未抵偿
subcuticular	表皮下
vauntful	自夸
malconduct	恶行
interauthority	当局之间
moorish	摩尔人风格的
ah	希吉拉纪元
cruel	使痛苦
becripple	使成残废
cooperation	协作
thallous	第一铊盐
ragtop	敞篷汽车
sway	摇摆
ecosystem	生态系统
funny	好笑
body	团体
aglare	闪耀的
outwash	冰水沉积
aps	Physical
armoire	大型衣橱
nupe	Public
stearic	硬脂
copula	系动词连系
usha	美国住房管理局
epulotic	结瘢
brightsome	明亮的
coulisse	有槽木料
polypus	息肉
ramification	分叉
cowpoke	牛仔
artistically	有艺术
gang	群
inarticulately	笨嘴笨舌
miesian	密斯的
allantoid	尿囊样的
interrelated	相关的
exhaustion	耗尽枯竭
ladin	说拉汀语的人
unworthily	可耻地
moviedom	电影圈
gfwc	Federation
aeronomy	超高层气流物理学
monochromatic	单频的
monochromatic	单色的
formulaic	公式的
ruggedness	险峻
vasodilator	血管扩张的
taximeter	计程器
decussate	交叉着的
homostasis	同态
restructure	改组
memberless	无会员
tenrec	马岛猬
destain	退色
spongious	海绵般多孔的
ammoniacal	氨的
filoselle	散丝
trifle	开玩笑
girlhood	少女们
injunctive	指令的
ryukyu	琉球群岛
evidentiary	证据
delicate	精致
gabbroid	似辉长岩的
chief	首席
mansard	双重斜坡的屋顶
taoist	道教的
copyboy	送稿件的工友
