bornite	斑铜矿
unidentifiable	无法鉴定
tolerant	宽恕
attend	照顾
redden	变红
zilpah	悉帕
ox	牛
archaize	仿古
petting	抚摸
sweepingly	扫荡地
floridly	华丽
discoid	铁饼状
disembarrassment	使免于困窘
impar	奇数
surgy	大浪翻腾的
japan	日本
hangfire	延时发火
triturate	粉碎
wolfess	性行为如狼似虎的女人
standard	军旗
lionhood	名人地位
tepidarium	温水浴间
redintegration	复旧
serrate	锯齿状的
prompting	提示
wirehaired	硬毛
breaking	破坏
bittersweet	又苦又甜
icekhana	赛车
slatted	装有板条的
yell	叫声
firearm	枪炮
induce	劝诱
scurvy	无礼的
cystic	胞囊的
partnership	合股
tradespeople	开商店者及其家属
computernik	电脑迷
floeberg	冰山
fogfruit	石苋
rapturous	欢天喜地的
daze	使晕眩
luniform	月状
scurvily	无礼
federate	同盟的
colicroot	各种可用以治腹痛植物
elegance	雅致
decapitator	斩首者
manageress	女经理
coastal	沿海的
weave	编织
beefy	健壮的
unary	一元的
mage	魔术师
prattle	孩子话
listenership	听众
underlet	廉价出租
presenile	未老先衰的
sentiment	情绪
faa	联邦航空局
brocade	锦缎
yellowhammer	黄鹉
eupatrid	世袭贵族
confirm	确认
choleraic	霍乱
receivability	可接纳
philosophical	哲学
scapular	无袖外衣
moulder	制模工
scruple	有顾忌
leninism	列宁主义
mainly	大体上
lagune	泻湖
fernery	蕨类栽培地
reasoned	详尽论述的
unaware	没觉察到的
nondrinking	不喝酒的
jadish	精疲力竭
shh	show
gallican	教宗权制限主义者
allowance	定量供应
iranair	伊朗国家航空公司
monumental	纪念物的
uncreated	尚未产生
levy	征集
delectus	选萃
unfluctuating	稳定的
laicise	=laicize
excorticate	剥去……的外皮
fix	贿赂
thymocyte	胸腺细胞
plectra	plectrum
spatiotemporal	时空的
thickset	繁茂
desquamative	脱屑的
aja	日裔美国人
intestinal	侵袭肠
enquiry	询问
ursine	熊
unshakable	不可动摇的
stannic	四价锡的
craze	狂热
avocation	业余爱好
placentiform	胎盘形的
monophobia	孤独恐惧症
globate	球状的
masticatory	咀嚼用的
volkslied	民歌
quad	在……填补空铅
unqualified	没限制的
plo	Organization
saturnian	农神
calcareousness	石灰
ominously	不吉利地
hausa	豪撒语
schmuck	笨人
lactonize	内酯化
sculk	=skulk
mummer	伶人
crubeen	脚爪
nuchal	项的
canting	貌似虔诚
founder	中国最著名的电子照排系统的生产商
systematism	体系化
mace	肉豆蔻
magnetogasdynamic	^AsdaI`nAmIks/磁气体动力
sexton	寺庙里的杂役
commando	水陆装备突击队
fissile	易分裂
carnallite	光卤石
hyp	疑病
pierogi	=pirogi
volitant	能飞
corrupt	误用的
