advisee	受教授指导选课的学生
trivet	三脚铁架
trivet	三脚火炉架
ithyphallic	猥亵的诗
ithyphallic	猥亵的
ithyphallic	猥亵
pliskie	恶作剧
ammoniac	氨的
ammoniac	氨
ammoniac	含氨的
ammoniac	含氨
ammoniac	氨树胶
subserviency	有用
subserviency	裨益
glumaceous	有颖的
glumaceous	有颖
glumaceous	颖状的
glumaceous	颖状
revelry	狂欢
bowleg	O形腿
bowleg	内弯腿
bowleg	弯腿
chaunt	歌
chaunt	圣歌
union	联合
union	合并
union	结合
union	联盟
union	协会
superego	超自我
superego	上位自我
unvoice	使变成无声音
unvoice	发无声之音
wes	韦斯
incipit	开始
jataka	本生经
detroit	底特律
detroit	美国密歇根州东南部的大城市
detroit	位于底特律河流上
charbroil	用炭烧烤
snakelet	小蛇
corrival	竞争的对手
famously	著名地
famously	著名
famously	极好地
famously	极好
sarcomatous	肉瘤样的
sarcomatous	肉瘤样
spondylolisthesis	脊椎前移
perspicuous	明白的
perspicuous	明白
perspicuous	明了的
perspicuous	明了
sagacious	有洞察力的
sagacious	有洞察力
sagacious	有远见的
sagacious	有远见
sagacious	精明的
sagacious	精明
sagacious	敏锐的
sagacious	敏锐
snare	陷井
snare	诱捕
polly	Mary
polly	的昵称
whangdoodle	废话
ichinomiya	一宫
beamy	放射光线的
beamy	放射光线
beamy	光亮的
beamy	光亮
beamy	象梁一样的
beamy	象梁一样
beamy	船身宽大的
beamy	船身宽大
moldau	=Vltava
acoelous	无体腔的
acoelous	无体腔
repealer	撤销者
repealer	废止者
jetbead	鸡麻
yapp	卷边装钉
yapp	卷边封面
intimidate	胁迫
troublesome	麻烦的
troublesome	麻烦
troublesome	讨厌的
troublesome	讨厌
troublesome	棘手的
troublesome	棘手
cyst	胞
cyst	包囊
cyst	膀胱
cyst	囊肿
seriocomic	庄严又诙谐的
seriocomic	庄严又诙谐
vicomte	子爵
langley	兰勒
langley	兰利
retest	v
retest	再测验
retest	再考验
retest	再测验
retest	再考验
tenderfoot	新手
cleft	裂缝
cleft	隙口
cleft	劈开的
cleft	劈开
cleft	劈开
cleft	分开
jural	法律上的
jural	法律上
jural	有关权利义务的
jural	有关权利义务
employ	雇用
employ	用
employ	使用
employ	使用
employ	雇用
actualise	实现
actualise	现实化
indigo	靛
indigo	靛青
choreographer	舞蹈指导
lineolate	有细条纹的
lineolate	有细条纹
pager	呼机
pager	寻呼机
lady	女士
lady	夫人
lady	小姐
gunilla	格尼拉
demonologic	鬼神学的
demonologic	鬼神学
supplication	恳求
supplication	祈愿
supplication	哀求
gallow	恐吓
gallow	使害怕
numbingly	使麻木地
numbingly	使麻木
numbingly	使失去感觉地
numbingly	使失去感觉
pentagonal	五角的
pentagonal	五角
pentagonal	五边形的
pentagonal	五边形
largest	大的
largest	大
largest	多量的
largest	多量
flaps	马唇肿胀
credo	信条
credo	任何信条
lollop	懒散地闲荡
devastation	毁坏
gouache	树胶水彩画
trolly	手推车
trolly	货车
homogenate	均匀混合物
homogenate	匀浆
norm	标准
norm	规范
laundromat	自助洗衣店
acaulescent	无茎的
acaulescent	无茎
sorrowfully	悲哀地
sorrowfully	悲哀
sorrowfully	忧愁地
sorrowfully	忧愁
slowpaced	缓慢前进的
slowpaced	缓慢前进
slowpaced	进展缓慢的
slowpaced	进展缓慢
stumblingly	绊倒地
stumblingly	绊倒
stumblingly	蹒跚地
stumblingly	蹒跚
volcanic	火山的
volcanic	火山
volcanic	象火山的
volcanic	象火山
volcanic	猛烈的
volcanic	猛烈
volcanic	易突然发作的
volcanic	易突然发作
volcanic	爆发的
volcanic	爆发
volcanic	火山岩
snead	=snath
cilantro	芫荽叶
droughty	干旱的
droughty	干旱
droughty	干燥的
droughty	干燥
mailbag	邮袋
pyro	=pyrogallol
bindlestiff	流浪者
siderochrome	铁铬
viridin	绿胶霉素
horde	游牧部落
ivy	常春藤
ivy	常春藤联合会的
ivy	常春藤联合会
ivy	名牌大学的
ivy	名牌大学
ivy	Ivy
ivy	艾维
presynaptic	突触前的
presynaptic	突触前
intentionally	有意地
intentionally	有意
intentionally	故意地
intentionally	故意
pleasureless	不快乐的
pleasureless	不快乐
pleasureless	无乐趣的
pleasureless	无乐趣
insularity	岛国性质偏狭
insularity	性僵化
exp	exponential
viper	毒蛇
viper	毒蛇一样的家伙
viper	阴险人
viper	毒品贩子
hokonui	私酿的酒
savorless	不风趣的
savorless	不风趣
savorless	缺少风味的
savorless	缺少风味
savorless	无情趣的
savorless	无情趣
interclavicle	间锁骨
interclavicle	锁间骨
cataclastic	碎裂的
cataclastic	碎裂
allottee	被分予者
allottee	接受分配物者
proselytise	=proselytize
nectariferous	分泌花蜜的
nectariferous	分泌花蜜
valorization	物价稳定措施
zoospore	游走孢子
brolly	伞
duka	零售商店
reading	阅读
reading	知识
reading	读物
reading	表演
reading	对法律条文的解释
reading	阅读的
reading	阅读
agist	替人饲养牛马以收取代价
vanaspati	人造黄油
ftac	Foreign
ftac	Trade
ftac	Arbitration
ftac	Commission对外贸易仲裁委员会
plano	普莱诺
plano	平的
plano	平
ulvaespinel	钛尖晶石
guangxi	广西
zibeline	紫貂皮
zibeline	一种面上带有短毛之柔软毛织物
zibeline	紫貂的
zibeline	紫貂
kinder	有一点
kinder	有几分
ike	艾克
ike	光电摄像管
ike	存储式摄像管
marquisette	薄织物之一种
jam	果酱
jam	拥挤
jam	堵塞
jam	困境
jam	挤进
jam	使塞满
jam	混杂
jam	压碎
jam	使堵塞
jam	堵塞
jam	轧住
jam	拥挤
darmstadt	达姆施塔特
whiskerage	胡须式样
whiskerage	须式
foiled	有叶形装饰的
foiled	有叶形装饰
inglorious	不名誉的
inglorious	不名誉
inglorious	不体面的
inglorious	不体面
inglorious	可耻的
inglorious	可耻
turrical	塔楼的
turrical	塔楼
turrical	似塔的
turrical	似塔
detestation	憎恶
detestation	厌恶的人
detestation	嫌恶
solidity	可靠性
arthromeric	体节的
arthromeric	体节
miry	泥泞的
miry	泥泞
interestedly	抱持兴趣地
interestedly	抱持兴趣
carmela	卡梅拉
hexaplarian	用六国语对译的书的
hexaplarian	用六国语对译的书
deuteropathy	副症
deuteropathy	续发病
bagging	装袋
bagging	制袋材料
madhouse	精神病院
madhouse	极为吵闹的场所
dull	感觉或理解迟钝的
dull	感觉或理解迟钝
dull	无趣的
dull	无趣
dull	呆滞的
dull	呆滞
dull	阴暗的
dull	阴暗
dull	使迟钝
dull	使阴暗
dull	缓和
dull	变迟钝
dull	减少
dhobi	男洗衣工
sendee	接收人
sendee	收件人
specification	详述
specification	规格
specification	说明书
specification	规范
phlegm	粘液
phlegm	痰
phlegm	粘液质
equinia	马鼻疽
equinia	马皮疽
supremacist	n至上主义者
superset	超集
superset	扩展集
superset	父集
ideomotor	观念运动的
ideomotor	观念运动
groundskeeping	抚球场草地磨蹭
view	景色
view	风景
view	观点
view	见解
view	观察
view	观看
view	意见
view	认为
view	观察
view	观看
bookrack	阅览架
bookrack	书架
observe	观察
observe	观测
observe	遵守
observe	评述
observe	说
debonaire	快活的
debonaire	快活
debonaire	清爽的
debonaire	清爽
strapwort	海滨寇秋罗
heteroplastic	异种移植的
heteroplastic	异种移植
heteroplastic	异种成形的
heteroplastic	异种成形
seabee	海军修建营成员
bonn	波恩
pseudoclassicism	伪古典主义
pseudoclassicism	拟古体
keelson	内龙骨
keelson	底材
boffola	=boff
paleface	白人
willfulness	任性
willfulness	存心
spendthrift	挥霍者
vita	个人简历
vita	生活
vita	生命
pepo	浆果
pepo	瓠果
whacker	重击的人
whacker	大吹牛
tendon	腱
healthily	健康地
healthily	健康
unbudgeable	不可动摇的
unbudgeable	不可动摇
unbudgeable	不可改变的
unbudgeable	不可改变
nailsea	glass
nailsea	内尔西玻璃制品
ita	Independent
ita	Television
ita	Authority
ita	独立电视管理局
ortanique	柑和橘的杂交种
worldlet	小世界
congee	告别
congee	鞠躬
congee	粥
heterodox	非正统的
heterodox	非正统
heterodox	异端的
heterodox	异端
posttensioning	后张
posttensioning	后加拉力
alcoholicity	酒精含量
bugeye	平底轻帆船
deionize	除去离子
septotomy	房隔造口术
shylock	狠毒的放高利贷者
shylock	Shylock
shylock	夏洛克(莎士比亚
keratoconus	圆锥形角膜
forsake	放弃
forsake	抛弃
bevin	boy
bevin	达到服兵役年龄但被选去当矿工的青年
noodle	面条
noodle	笨蛋
noodle	傻瓜
ax	斧头
ax	削减
interstratification	间层
ramsey	拉姆齐
maratha	马拉地人
symbology	象征学
symbology	象征的使用
reasoning	推理
reasoning	评理
reasoning	论证
reasoning	推理的
reasoning	推理
triphenylcarbinol	三苯基甲醇
hosen	短袜
hosen	蛇管
epsilon	希腊语字母之第五字
prismatic	棱镜的
prismatic	棱镜
plunger	跳进的人
plunger	潜水者
plunger	活塞
missy	少女
missy	小姑娘
abandoned	被抛弃的
abandoned	被抛弃
abandoned	自甘堕落的
abandoned	自甘堕落
abandoned	没有约束的
abandoned	没有约束
abandoned	放荡的
abandoned	放荡
athletic	运动的
athletic	运动
oxyparaffin	含氧煤油的
oxyparaffin	含氧煤油
algometric	痛觉测验计的
algometric	痛觉测验计
immanence	内在
immanence	固有
bilharzia	裂体血吸虫
unsectarian	非宗派的
unsectarian	非宗派
unsectarian	不闹宗派的
unsectarian	不闹宗派
cytosine	胞核嘧啶
cytosine	氧氨嘧啶
moviemaker	电影制作人
parawing	翼伞
genealogize	追溯……的系谱
genealogize	制定系谱
yorkshire	约克郡
yorkshire	约克夏
wheelsman	=wheelman
chillsome	寒冷的
chillsome	寒冷
sunfast	久晒也不褪色的
sunfast	久晒也不褪色
antilogarithm	逆对数
apothem	边心距离
embolden	使大胆
embolden	使有胆量
embolden	使勇敢
chough	乌鸦的一种
chough	红嘴山鸦
semanticize	使语义化
whsle	wholesale
quinquagenary	五十岁的人
quinquagenary	五十周年纪念
quinquagenary	五十岁的
quinquagenary	五十岁
unche	United
unche	Nations
unche	Conference
unche	on
unche	the
unche	Human
unche	Environment
unche	联合国人类环境会议
epiphenomenal	附带现象的性质的
epiphenomenal	附带现象的性质
escutcheon	有花纹的盾
escutcheon	锁眼盖
escutcheon	孔罩
bellyache	腹痛
bellyache	无故抱怨
hemacytometer	血球计
metamerism	体节性
kart	小型赛车
kart	装有轮子的小车
molten	熔化
molten	熔铸的
molten	熔铸
posttranscriptional	转录后的
posttranscriptional	转录后
maladdress	笨拙
maladdress	不圆滑
tearoom	茶室
humanitarianism	人道主义
humanitarianism	博爱主义
labia	下唇瓣
gasholder	煤气容器
gasholder	储气罐
gasholder	储气器
nurturance	养育
nurturance	培养
khayal	克雅尔
crime	犯罪
crime	犯罪行为
crime	罪行
crime	罪恶
shoon	shoe
shoon	的复数
uptilt	向上
uptilt	向上倾斜
excretive	排泄的
excretive	排泄
excretive	促进排泄的
excretive	促进排泄
excretive	分泌的
excretive	分泌
unlay	解散
unlay	拆开
unlay	松一松
schlimazel	经常倒霉的人
schlimazel	生来倒霉的人
gaeltacht	爱尔兰语地区
kinephoto	显像管录影
kinephoto	屏幕录影
archivolt	拱门饰
archivolt	拱门内侧的穹窿
zetland	=Shetland
nubecula	角膜混浊
sweden	瑞典
antisocial	不擅社交的
antisocial	不擅社交
antisocial	非社交的
antisocial	非社交
antisocial	反社会的
antisocial	反社会
galena	方铅矿
shoebrush	鞋刷
arcjet	=arcjet
arcjet	engine
ornery	爱争吵的
ornery	爱争吵
ornery	卑下的
ornery	卑下
ornery	一般的
ornery	一般
chiffonier	西洋梳镜柜
chiffonier	小衣橱
expostulatingly	告诫地
expostulatingly	告诫
damosel	少女
gingivitis	齿龈炎
excessive	过多的
excessive	过多
excessive	过分的
excessive	过分
excessive	额外
flexuosity	屈曲
flexuosity	波状的起伏
flexuosity	弯曲
picturegoer	常看电影的人
stannate	锡酸盐
rehalogenize	使再卤化
frost	霜
frost	霜冻
frost	严寒
frost	结霜
forcedly	强迫地
forcedly	强迫
forcedly	硬
dysgenic	对人类有不良影响的
dysgenic	对人类有不良影响
dysgenic	非优生学的
dysgenic	非优生学
deprivable	可剥夺的
deprivable	可剥夺
admiralty	海军上将职位
admiralty	舰队司令职位
admiralty	海军部
medulloblastoma	成神经管细胞瘤
makkoli	麦酒
chigoe	跳蚤的一种
chigoe	沙蚤
relaxor	鬈发矫直剂
efflorescence	开花
efflorescence	风化
vivisectional	活体解剖的
vivisectional	活体解剖
murderee	被谋杀者
tiewig	后系缎带的假发
shillong	西隆
hejaz	汉志
autoexec	自动执行批处理文件
cometic	彗星的
cometic	彗星
cometic	彗星似的
cometic	彗星似
downtown	在市区
downtown	往市区
downtown	市区的
downtown	市区
beast	兽
beast	畜牲
beast	人面兽心的人
uintahite	硬沥青
grow	生长
grow	成长
grow	渐渐变得
grow	渐渐变
grow	增长
grow	增高
grow	种植
grow	栽培
grow	培育
theme	题目
theme	主题
theme	学生的作文
theme	作文题
theme	主题
theme	主题曲
theme	主旋律
megacurie	百万居里
megacurie	兆居里
native	本地人
native	土产
native	土人
native	本国的
native	本国
native	出生地的
native	出生
native	本地的
native	本
native	与生俱来的
native	与生俱来
native	天赋的
native	天赋
native	土产的
native	土产
native	土著的
native	土著
smiercase	=smearcase
loge	包厢
loge	池座
aesthesia	感觉
aesthesia	知觉
whinsill	=whinstone
underburn	未烧透
underburn	欠烧
novio	男友
novio	情郎
mistflower	雾花泽兰
serrated	锯齿状的
serrated	锯齿状
serrated	有锯齿的
serrated	有锯齿
panspermia	有生源说
panspermia	胚种论
income	收入
income	收益
income	进款
income	所得
income	所
screechy	声音尖锐的
screechy	声音尖锐
screechy	喜欢尖声喊叫的
screechy	喜欢尖声喊叫
booster	热心的拥护者
booster	后推的人
booster	支持者
booster	后援者
booster	调压器
substandard	标准以下的
substandard	标准以下
substandard	不合规格的
substandard	不合规格
radiochemical	放射化学的
radiochemical	放射化学
radiochemical	已含放射性同位素的化学物质
colleen	少女
colleen	姑娘
hooked	钩状的
hooked	钩状
churchlike	像教堂的
churchlike	像教堂
berseem	埃及车轴草
berseem	亚历山大车轴草
defender	防卫者
defender	拥护者
defender	辩护者
defender	卫冕者
passalong	转嫁
electrotactic	向电性的
electrotactic	向电性
arsenide	砷化物
odeon	剧场
odeon	音乐厅
warb	卑鄙的人
warb	小人
warb	微不足道的人
coastguard	海岸警卫队
coastguard	水上警察
coastguard	美国海岸警卫队
octant	八分圆
octant	八分仪
octant	离角
octant	45
octant	度的位置
mercer	稠布商
drillable	可钻孔的
drillable	可钻孔
drillable	可操练的
drillable	可操练
jato	喷射机起飞促进
gocart	手推车
gocart	小儿习步车
schizophyceous	裂殖藻纲的
schizophyceous	裂殖藻纲
axolotl	蝾螈
legion	古罗马军团
legion	众多
legion	大批
wildcat	野猫
wildcat	莽撞的人
wildcat	鲁莽的
wildcat	鲁莽
wildcat	不可靠的
wildcat	不可靠
wildcat	盲目钻探
wildcat	盲目开掘油井
wildcat	从事非法商业活动
pereonite	胸节
macrology	烦冗
macrology	烦冗的语句
photoreception	光感受
photoreception	感光
photoreception	视觉
kaput	过时的
kaput	过时
kaput	故障的
kaput	故障
kaput	失败了的
kaput	失败了
numbles	内脏
numbles	下水
hearer	听者
hearer	听众
antiworld	反物质世界
assemblagist	装配艺术家
sexology	性科学
spongeable	可用海绵擦拭的
spongeable	可用海绵擦拭
cosmetic	化妆品
cosmetic	化妆用的
cosmetic	化妆用
unquenchable	难抑制的
unquenchable	难抑制
unquenchable	不能消灭的
unquenchable	不能消灭
dimout	半灯光管制
myriapod	多足类
myriapod	多足类的
myriapod	多足类
sleep	睡
sleep	睡觉
sleep	睡眠
evolve	进化
glisten	闪光
waggery	滑稽
surah	斜纹软绸
breakwind	防风林
gloze	注释
gloze	解释
gloze	掩饰
gloze	文饰
gloze	谄媚
ephedra	麻黄属植物
inefficient	效率低的
inefficient	效率低
inefficient	效率差的
inefficient	效率差
inefficient	不能胜任的
inefficient	不能胜任
inefficient	无能的
inefficient	无能
afterward	然后
afterward	后来
unloosen	解开
unloosen	放开
unloosen	释放
news	新闻
news	消息
fraternal	兄弟的
fraternal	兄弟
fraternal	兄弟般的
fraternal	兄弟般
fraternal	友爱的
fraternal	友爱
strangle	扼死
olmec	奥尔梅克人
zinkite	=zincite
perle	珠剂
trawler	拖捞船
reb	南军士兵
unchangeableness	不变
prologize	作序
prologize	写序诗
prologize	念开场白
countertenor	男声最高音
finnick	吹毛求疵
finnick	懈怠
envelopment	包封
envelopment	封套
expansile	可扩张的
expansile	可扩张
expansile	扩大的
expansile	扩大
expansile	膨胀性的
expansile	膨胀性
beaded	饰以珠的
beaded	饰以珠
beaded	珠状的
beaded	珠状
giant	巨人
giant	大力士
giant	巨大的动物或植物
giant	伟人
giant	天才
giant	庞大的
giant	庞大
giant	巨大的
giant	巨大
coccoid	球菌样的
coccoid	球菌样
coccoid	球菌状的
coccoid	球菌状
tact	机智
tact	手法
tact	老练
tact	角觉
tact	对操作性应答
eight	八的
eight	八
eight	八
eight	八个
eight	第八
eight	八字形
limburg	林堡
whitmonday	圣灵降临节后第一个星期一
crossbedded	交错层的
crossbedded	交错层
virginhood	=virginity
kinchinjunga	=Kanchenjunga
absquatulation	开小差
assume	假定
assume	设想
assume	采取
assume	呈现
remiss	玩忽职守的
remiss	玩忽职守
unbathed	未洗澡的
unbathed	未洗澡
unbathed	不湿的
unbathed	不湿
isorhas	是
isorhas	有
kashrut	犹太教的饮食教规
astrobotany	天体植物学
workbox	工具箱
workbox	针线盒
philistinism	庸俗
philistinism	没有文化修养
farruca	法鲁卡舞
calicoback	甘蓝菜的害虫
montpelier	蒙彼利埃
microcamera	显微镜照相机
ropewalker	走钢丝
ropewalker	绳索特技表演者
olericulture	蔬菜栽培
olericulture	蔬菜园艺
pooka	鬼怪
pooka	恶精灵
affluence	富裕
affluence	富足
neanderthalic	原始人似的
neanderthalic	原始人似
neanderthalic	凶暴粗鲁的
neanderthalic	凶暴粗鲁
trickily	欺骗着
trickily	用奸计
foremast	前桅
growth	生长
growth	种植
growth	栽培
growth	发育
growth	等比级数
nonpareil	无比的
nonpareil	无比
nonpareil	极上品
cymric	威尔士之赛尔特语
cymric	威尔士人的
cymric	威尔士人
gratulate	欢迎
gratulate	祝
sanctimonial	修女
laulau	"捞捞"菜
sciosophy	假知识
mercapto	含巯基的
mercapto	含巯基
mercapto	含氢硫基的
mercapto	含氢硫基
endistance	使对剧情产生间离感
trimphone	轻型电话机
girandole	一种旋转的焰火
cholecystagogue	利胆药
antic	丑角
antic	滑稽动作
antic	奇特的
antic	奇特
antic	滑稽可笑的
antic	滑稽可笑
cup	杯子
cup	酒杯
cup	奖杯
cup	使成杯状
cup	为……拔火罐
galliardise	欢乐
galliardise	享乐
josd	Jukebox
josd	Optical
josd	Storage
josd	Device
josd	自动换盘光盘存储设备
spasm	一阵发作
spasm	痉挛
premiere	初次公演
premiere	初演主角
premiere	初次的演出
premiere	突出的
premiere	突出
premiere	杰出的
premiere	杰出
mythologist	神话学者
mythologist	神话作者
alissa	艾丽萨
smartless	无剧痛的
smartless	无剧痛
countryfied	乡野的
countryfied	乡野
countryfied	村野的
countryfied	村野
provenly	经证明属实地
provenly	经证明属实
provenly	无可怀疑地
provenly	无可怀疑
provenly	确凿地
provenly	确凿
descender	下降者
descender	下降物
descender	下行字母
fuoro	金牛座T型星的
fuoro	金牛座T型星
palatine	巴拉丁伯爵的
palatine	巴拉丁伯爵
palatine	在领地内行使王权的
palatine	在领地内行使王权
palatine	上颚的
palatine	上颚
palatine	巴拉丁伯爵
palatine	宫廷官
palatine	毛皮围巾
sumner	萨姆纳
metoclopramide	灭吐灵
metoclopramide	胃复安
columna	一列圆柱
columna	人体各种圆柱形结构
allodial	完全保有所有权的
allodial	完全保有所有权
allodial	完全保有地产所有权的
allodial	完全保有地产所有权
zinger	精神抖擞者
zinger	有力的反驳
deucedly	非常
deucedly	过度
direfully	可怕地
direfully	可怕
direfully	悲惨地
direfully	悲惨
unslung	unsling的过去式及过去分词
prompt	提示
prompt	付款期限
prompt	提示
prompt	鼓动
prompt	促使
prompt	提白
prompt	敏捷的
prompt	敏捷
prompt	迅速的
prompt	迅速
prompt	即时的
prompt	即时
prompt	准时地
prompt	准时
justifiability	合理
justifiability	可辩解
ocelli	ocellus的复数
ekalead	类铅
flipper	鳍状肢
flipper	潜水用橡皮制鳍状肢
flipper	手
deicer	除冰装置
coin	硬币
coin	铸造
spinifex	三齿稃
papilliform	乳头状的
papilliform	乳头状
semilegendary	半传奇的
semilegendary	半传奇
miniaturist	微型图画绘制者
miniaturist	微图画家
unentangle	=disentangle
no	否定
no	投反对票者
no	没有
no	不许
no	反对
no	不
no	并不
no	毫不
no	Norway
no	挪威
laterize	使变成红土带
laterize	使砖红壤化
laterize	使含红土
foretopsail	前桅中桅帆
mollycoddle	娇惯的男人
mollycoddle	懦夫
mollycoddle	溺爱
mollycoddle	娇生惯养
songman	歌手
songman	唱诗班男歌手
spadix	肉穗花序
spoutless	无喷口的
spoutless	无喷口
schnockered	=snockered
danaides	丹尼亚斯的五十个女儿
guarded	被防护者的
guarded	被防护者
guarded	被看守着的
guarded	被看守着
guarded	被监视着的
guarded	被监视着
guarded	警戒着的
guarded	警戒着
ecdysterone	脱皮甾酮
hickory	山胡桃树
hickory	山胡桃木
mutable	易变的
mutable	易变
mutable	性情不定的
mutable	性情不定
policyholder	保险客户
celiotomy	n
celiotomy	剖腹手术
celiotomy	开腹术
bikeway	自行车专用道路
pyroelectricity	焦热电
rescission	废除
catabasis	军事撤退
catabasis	下降
demiurgic	造物主的
demiurgic	造物主
demiurgic	创造世界的
demiurgic	创造世界
demiurgic	造物的
demiurgic	造物
denounce	公开指责
denounce	公然抨击
denounce	谴责
fdr	Franklin
fdr	Delano
fdr	Roosevelt富兰克林·德兰诺·罗斯福
antiroman	反传统小说
antiroman	新小说
pahlavi	巴列维金币
dagwood	多层三明治
dagwood	多层夹肉面包
smoodge	搂抱接吻
surfnet	SURFnet网
semimajor	axis半长轴
achromic	色素缺乏的
achromic	色素缺乏
cliometrics	计量历史学
hemorrhoidal	痔的
hemorrhoidal	痔
hemorrhoidal	直肠及肛门的
hemorrhoidal	直肠及肛门
usurer	高利贷者
omissible	可省略的
omissible	可省略
omissible	可删节的
omissible	可删节
dublin	都柏林
dublin	爱尔兰共和国的首都
splendid	壮丽的
splendid	壮丽
splendid	辉煌的
splendid	辉煌
splendid	极好的
splendid	极好
inexplicit	含糊的
inexplicit	含糊
telemechanics	遥控动力学
telemechanics	遥控机械学
inconsiderably	微不足道地
inconsiderably	微不足道
nauru	瑙鲁
thrombocytopenia	血小板减少
externship	校外实习期
windowlight	=windowpane
clapboard	墙板
clapboard	隔板
clapboard	桶板
clapboard	遮以墙板
wirily	铁丝状地
wirily	铁丝状
real	真的
real	真
real	真实的
real	真实
real	不动产的
real	不动产
hymnody	赞美诗
hymnody	歌唱赞美诗
hymnody	赞美诗研究
frit	n
frit	玻璃料
frit	使熔为玻璃原料
tiglic	巴豆的
tiglic	巴豆
unafraid	不怕的
unafraid	不怕
heftily	重地
heftily	重
heftily	肌肉发达地
heftily	肌肉发达
multiprograming	多道程序设计
multiprograming	多路规划
inventec	英业达集团
inventec	以软件开发为主
retardarce	阻滞
retardarce	迟缓
kumpit	商船
clawhammer	抓奏的
clawhammer	抓奏
tellurize	使与碲结合
tellurize	用碲处理
emboss	饰以浮饰
emboss	使浮雕出来
dorcas	缝制施舍贫民的衣服的妇女会
aladdin	阿拉延
sarsar	刺骨冷风
tellurion	地球仪
curtate	缩短的
curtate	缩短
curtate	缩减的
curtate	缩减
batoon	=baton
publicise	=publicize
telecommuting	远程交换
telecommuting	远程办公
reluctant	不顾的
reluctant	不顾
reluctant	勉强的
reluctant	勉强
reluctant	难得到的
reluctant	难得到
reluctant	难处理的
reluctant	难处理
eaves	屋檐
parasexual	准性的
parasexual	准性
parasexual	拟有性的
parasexual	拟有性
hued	有某种色调的
hued	有某种色调
faia	Fellow
faia	of
faia	the
faia	American
faia	Institute
faia	of
faia	Architects美国建筑师协会会员
accelerative	加速的
accelerative	加速
accelerative	催促的
accelerative	催促
expediently	方便地
expediently	方便
expediently	得当地
expediently	当
expediently	便利地
expediently	便利
heptahedron	七面体
panamanian	巴拿马的
panamanian	巴拿马
panamanian	巴拿马人
rossby	wave
rossby	罗斯比波
heilong	River
heilong	黑龙江
repartimiento	分配
repartimiento	分割
euphenics	人种改良运动
hindlimb	后肢
hindlimb	下肢
stinkstone	臭石
monstrance	圣体匣
scaleboard	衬板
kilopound	千磅
gniezno	格涅兹诺
communion	交流
communion	恳谈
communion	共有
communion	共享
communion	宗教团体
signaler	信号员
mizzly	下着毛毛雨的
mizzly	下着毛毛雨
mizzly	蒙蒙细雨般的
mizzly	蒙蒙细雨般
mizzly	雨雾弥漫的
mizzly	雨雾弥漫
mayence	=Mainz
telodynamic	传送动力的
telodynamic	传送动力
cutch	儿茶
centipoise	百分之一泊
centipoise	厘泊
pondoland	蓬多兰
rated	定价的
rated	定价
rated	额定的
rated	额定
roundtree	美国山地白杨
enjoyable	令人愉快的
enjoyable	令人愉快
enjoyable	可享受的
enjoyable	可享受
lutheran	路德教会的
lutheran	路德教会
lutheran	路德教会
galgenhumor	=gallows
galgenhumor	humour
doggerelize	写打油诗
doggerelize	改写成打油诗
negrophil	亲近黑人的人
hydrocephaloid	水脑状的
hydrocephaloid	水脑状
hydrocephaloid	脑积水样的
hydrocephaloid	脑积水样
argand	圆筒芯的灯
monkish	僧侣的
monkish	僧侣
monkish	修道士的
monkish	修道士
monkish	禁欲的
monkish	禁欲
dehors	在外
dehors	在……之外
gcm	greatest
gcm	common
gcm	measure最大公约数
gcm	最大公测度
woolman	羊毛商人
thermidorean	热月党人
strobilization	=strobilation
bushveld	灌木丛生地区
pensively	沉思地
pensively	沉思
pensively	焦虑地
pensively	焦虑
nay	否
nay	不
acyloin	偶姻
acyloin	酮醇
acyloin	酰某醇
win	胜
win	赢得
win	赢
win	劝诱
win	取得胜利
win	赢
win	胜利
functor	起作用的东西
functor	算符
emotionally	在情绪上
socialist	社会主义者
socialist	社会党党员
ingratiating	逢迎的
ingratiating	逢迎
ingratiating	迷人的
ingratiating	迷人
potion	一服
potion	一剂
elchee	大使
elchee	使节
glorious	光荣的
glorious	光荣
glorious	显赫的
glorious	显赫
subduple	二分之一的
subduple	二分之一
subduple	一比二的
subduple	一比二
canopy	天篷
canopy	遮篷
eurybenthic	广深性的
eurybenthic	广深性
unbeseem	对……不合适
unbeseem	与……不相称
unbeseem	与……不相配
notch	槽口
notch	凹口
notch	刻凹痕
notch	用刻痕计算
notch	开槽
notch	切口
notch	得分
notch	山间小路
notch	刻痕
notch	峡谷
motorbike	摩托车
trashman	运垃圾工人
trashman	垃圾清理工
stenographic	速记的
stenographic	速记
stenographic	利用速记的
stenographic	利用速记
scolopendrium	荷叶蕨
superencipher	对进一步加密
unanimated	无生气的
unanimated	无生气
unanimated	不活泼的
unanimated	不活泼
unanimated	无精打采的
unanimated	无精打采
bourgogne	=Burgundy
lusatian	劳济茨地区的
lusatian	劳济茨地区
lusatian	劳济茨人的
lusatian	劳济茨人
autarkic	自给自足的
autarkic	自给自足
autarkic	经济独立的
autarkic	经济独立
increase	增加
increase	增大
increase	增长
increase	增加
increase	加大
increase	增加
increase	繁殖
comorin	科摩罗
fluorin	氟
connie	康妮
disconnection	断开
meditatively	冥想地
meditatively	冥想
trophallaxis	交哺
intoxicant	使醉的东西
intoxicant	使醉的
intoxicant	使醉
traverse	横贯
traverse	横断
traverse	横木
traverse	障碍
traverse	否认
traverse	反驳
traverse	通廊
traverse	横过
traverse	穿过
traverse	经过
traverse	在……来回移动
traverse	反对
traverse	详细研究
traverse	横越
traverse	横断
traverse	旋转
traverse	来回移动
traverse	横断的
