karstology	岩溶学
chuckle	吃吃的笑
chuckle	咯咯叫
onomatopoeia	拟声
onomatopoeia	拟声法
eremite	遁世修行的人
eremite	隐士
glazy	玻璃似的
glazy	玻璃似
glazy	失神的
glazy	失神
glazy	上过釉的
glazy	上过釉
pishpek	皮什彼克
jonesian	琼斯学派的
jonesian	琼斯学派
jonesian	琼斯语音学说的
jonesian	琼斯语音学说
discontinuation	停止
discontinuation	废止
discontinuation	中止
gypseous	石膏质的
gypseous	石膏质
gypseous	含石膏的
gypseous	含石膏
milfoil	耆草属植物
milfoil	西洋耆草
arsenal	兵工厂
arsenal	军械库
depositary	保管人
depositary	受托人
depositary	受托公司
depositary	存放处
depositary	储藏所
depositary	仓库
pompadour	一种往后梳的发型
acumen	敏锐
acumen	聪明
dentelated	有细齿状斑纹的
dentelated	有细齿状斑纹
dentelated	细齿状的
dentelated	细齿状
hemocyanin	血蓝质
hemocyanin	血蓝蛋白
janitor	看门人
platypodia	扁平足
lupanar	妓院
phosphide	磷化物
prosimian	原猴亚目的
prosimian	原猴亚目
zoned	划成区域的
zoned	划成区域
zoned	束带的
zoned	束带
newly	重新
newly	最近
newly	以新的方式
reit	Real
reit	Estate
reit	Investment
reit	Trust
reit	不动产投资信托公司
reit	房地产投资信托公司
jiulong	九龙
bismuth	铋
deedy	积极的
deedy	积极
deedy	活跃的
deedy	活跃
deedy	勤奋的
deedy	勤奋
deedy	认真的
deedy	认真
keyhole	锁眼
aft	在船尾
anta	壁端柱
liken	把……比作
underfeed	由下部加添燃料的
underfeed	由下部加添燃料
underfeed	未给予足量食物
underfeed	添加燃料
germ	微生物
germ	细菌
lockup	锁住
lockup	监禁
lockup	监狱
lockup	拘留所
calciner	锻烧之人
calciner	锻烧炉
lorisid	懒猴科动物
foehn	焚风
alsike	紫苜蓿之一种
sot	醉鬼
sot	酗酒者
sot	因酗酒浪而费掉
sot	嗜酒
traumatize	使受损伤
traumatize	使受精神上创伤
varech	海藻
varech	海藻灰
naumachia	海战演习
naumachia	水战剧场
reply	答复
reply	报复
reply	答辩
reply	答复
reply	回击
reply	报复
reply	答辩
reply	回答
carcinogenicity	致癌力
carcinogenicity	致癌性
truism	真实性
homunculus	矮人
homunculus	侏儒
reinterpret	重新解释
escudo	埃斯库多
escudo	葡萄牙的货币单位
smocking	装饰用衣褶
adroitly	熟练地
adroitly	熟练
adroitly	敏捷地
adroitly	敏捷
gabby	饶舌的
gabby	饶舌
pre	Petroleum
pre	Refining
pre	Engineer炼油工程师
dayworker	按日计酬的工人
dayworker	日班的工人
denaturalize	使不自然
denaturalize	使改变本性
denaturalize	使变质
nephrotomize	进行肾切开手术
superrace	超级种族
coenenchyma	共质轴
coenenchyma	共骨骼
serum	浆液
serum	血清
serum	免疫血清
serum	树液
sidebar	其他选项
sidebar	工具条
triquetra	三角形图案装饰
vince	文斯
soprani	soprano
soprani	的复数
flowstone	流石
seafood	海产食品
seafood	海味
hypermarket	高级百货商店
breeching	马的屁股带
breeching	炮索
lyme	arthritis
lyme	莱姆关节炎
lyme	grass
lyme	欧滨麦
graffito	乱画
graffito	粗糙雕刻
tensiometer	张力计
caruncle	肉冠
caruncle	肉阜
caruncle	肉瘤
prosthodontics	假牙修复学
prosthodontics	假牙修制术
fbi	美国联邦调查局
cannulation	管子
cannulation	中空
counterreconnaissance	反侦察
counterreconnaissance	对抗侦察
wolverine	狼獾
wolverine	豹熊
wolverine	狼獾皮
arrogance	傲慢态度
arrogance	自大
oakland	奥克兰
eek	唷
eek	呀
planless	无计划的
planless	无计划
planless	漫无目的的
planless	漫无目
planless	无系统的
planless	无系统
extinguishment	消灭
extinguishment	绝灭
frobnitz	小东西
frobnitz	小玩意儿
armenoid	类亚美尼亚人
armenoid	类亚美尼亚人的
armenoid	类亚美尼亚人
monochromasy	全色盲
excrementitious	粪便的
excrementitious	粪便
excrementitious	排sly//
excrementitious	粪便地
excrementitious	粪便
excrementitious	泄物的
excrementitious	泄物
damp	湿气
damp	潮湿的
damp	潮湿
damp	使潮湿
damp	阻尼
damp	使衰减
damp	使沮丧
damp	控制
damp	抑止
vesiculose	=vesicular
nodical	交点的
nodical	交点
fistic	拳击的
fistic	拳击
fistic	拳术的
fistic	拳术
depreciable	可贬值的
depreciable	可贬值
depreciable	可蔑视的
depreciable	可蔑视
multiposition	多位置的
multiposition	多位置
multiposition	可在多种位置上使用的
multiposition	可在多种位置上使用
multiposition	可放在多种位置上的
multiposition	可放在多种位置上
lamarckian	拉马克的
lamarckian	拉马克
selenotropic	向月性的
selenotropic	向月性
bestrode	bestride的过去式
parliament	国会
parliament	议会
uredosorus	=uredium
plottage	地皮面积
tetradymite	辉碲铋矿
videlicet	就是说
videlicet	换言之
iconoclastic	偶像破坏的
iconoclastic	偶像破坏
iconoclastic	打破旧习的
iconoclastic	打破旧习
parallelveined	平行脉的
parallelveined	平行脉
rpm	每分钟转数
superblock	车辆禁行区
saxatile	=saxicoline
orthomolecular	调整分子的
orthomolecular	调整分子
orthodome	正轴坡面
mucinolytic	黏蛋白分解的
mucinolytic	黏蛋白分解
fertilizin	受精素
abdication	退位
abdication	让位
variolite	球颗玄武岩
winner	胜利者
winner	优胜者
winner	获胜的事物
zooblast	动物细胞
rooter	拔根者
rooter	挖土机
ofs	Orange
ofs	Free
ofs	State
flavin	黄素
flavin	四羟酮醇
unaccommodated	不适应的
unaccommodated	不适应
unaccommodated	不适合的
unaccommodated	不适合
protistan	原生生物的
protistan	原生生物
aretine	=Arretine
accent	重音
accent	口音
accent	重音符
demander	要求者
demander	请求者
nostalgist	怀乡者
nostalgist	怀旧者
pause	中止
pause	暂停
pause	休止符
pause	暂停
pause	中止
pause	停顿
pause	踌躇
pause	暂停
tyrolese	蒂罗尔人
tyrolese	蒂罗尔的
tyrolese	蒂罗尔
rooinek	红脖子
neoterist	创造新词者
haemostasia	=haemostasis
coldly	冷淡地
coldly	冷淡
impolder	填成平地
impolder	填成平
odontoscope	牙镜
odontoscope	口腔镜
odontoscope	口镜
geosynchronous	=geostationary
trimester	三个月
trimester	学期
entree	入场许可
entree	主菜
bodega	酒窖
bodega	酒店
rdb	Research
rdb	and
rdb	Development
rdb	Board研究与发展局
toko	鞭打
toko	惩罚
valentina	瓦伦蒂娜
kpelle	格贝列人
glasswork	玻璃厂
glasswork	玻璃制品
incorruptness	清廉
incorruptness	廉正
heartsore	悲痛的
heartsore	悲痛
heartsore	苦恼的
heartsore	苦恼
sacciform	囊状的
sacciform	囊状
xanthate	黄酸盐
histiocyte	组织细胞
supermart	=supermarket
jeans	斜纹布裤
jeans	牛仔裤
alate	有翼的
alate	有翼
alate	有翼状物的
alate	有翼状物
disaccharidase	二糖酶
disaccharidase	双糖酶
immediately	立即
immediately	马上
immediately	直接地
immediately	直接
bata	巴塔
tectorial	顶盖的
tectorial	顶盖
tectorial	覆膜的
tectorial	覆膜
fornicator	私通者
scarey	=scary
naze	山甲
naze	海角
schwarz	施瓦兹的
schwarz	施瓦兹
reorganize	改组
reorganize	再编制
reorganize	改造
parliamentarism	议会政治
parliamentarism	议会制度
ethnolinguistics	民族语言学
peevish	易怒的
peevish	易怒
peevish	暴躁的
peevish	暴躁
peevish	带怒气的
peevish	带怒气
peevish	倔强的
peevish	倔强
spanrail	两腿间横木
scaliness	多鳞
midland	中部地方
midland	内地
midland	内
midland	在内陆的
midland	在内陆
hyperbaric	高比重的
hyperbaric	高比重
hyperbaric	施压力以供氧气的
hyperbaric	施压力以供氧气
obese	肥胖的
obese	肥胖
obese	肥大的
obese	肥大
predecease	先死
predecease	比……先死
predecease	先死
subarctic	亚北极区的
subarctic	亚北极区
atavism	隔代遗传
atavism	返祖现象
halter	缰绳
halter	笼头
separable	可分离的
separable	可分离
separable	可分的
separable	可分
brighten	愉快
apennines	Mountains亚平宁山脉
scooterist	骑小轮摩托车的人
nap	小睡
nap	打盹
nap	细毛
nap	孤注一掷
nap	小睡
nap	疏忽
nap	使拉毛
nap	修整
nap	预测……为获胜马
nap	Nationa
nap	Attachment
nap	Point
nap	国家附属站点
flatulent	肠胃气胀的
flatulent	肠胃气胀
flatulent	自负的
flatulent	自负
flatulent	空虚的
flatulent	空虚
flatulent	浮夸的
flatulent	浮夸
flatulent	自负的
flatulent	自负
confectionary	像糖果的
confectionary	像糖果
confectionary	糖果商的
confectionary	糖果商
confectionary	糖食
confectionary	糖果店
caesardom	恺撒辖地
caesardom	恺撒辖
caesardom	恺撒之尊
reformed	改革过的
reformed	改革过
reformed	革新的
reformed	革新
astrochronology	天文年代学
favus	黄鳞癣
favus	白癣
peacoat	=pea
peacoat	jacket
smirnoff	司木露
torturous	拷问的
torturous	拷问
torturous	痛苦的
torturous	痛苦
neglectfully	怠慢地
neglectfully	怠慢
neglectfully	不注意地
neglectfully	不注意
moldboard	犁板
bowline	帆脚索
panentheism	万有在神论
tubby	桶状的
tubby	桶状
ultracold	超冷
mop	拖把
mop	洗碗
mop	用拖把拖洗
mop	擦
mop	抹
mop	扫荡
duetto	二重唱
duetto	二重奏曲
vandendriesscheite	橙黄铀矿
redecorate	重新装饰
redecorate	再装饰
exoterica	大众化的观念
exoterica	理论
exoterica	作品
syndiotactic	间同的
syndiotactic	间同
hagbut	一种老式手枪
hagbut	火绳枪
tenpins	保龄球游戏
titan	提坦
titan	太阳神
titan	巨人
hemopolesis	=haemopoiesis
footslog	在泥泞中费劲地步行
pigg	=pig
unipartite	一部的
unipartite	一部
unipartite	单部的
unipartite	单部
unipartite	未分成若干部分的
unipartite	未分成若干部分
unipartite	不可分的
unipartite	不可分
campsheeting	=campshot
rain	雨
rain	下雨
rain	雨天
rain	下雨
rain	使大量落下
rain	大量地给
nemoricole	生长在树丛中的
nemoricole	生长在树丛中
exequial	葬礼的
exequial	葬礼
exequial	殡仪的
exequial	殡仪
dissoluble	可溶解的
dissoluble	可溶解
dissoluble	可解除的
dissoluble	可解除
dissoluble	可分解的
dissoluble	可分解
intumesce	膨胀
intumesce	肿大
intumesce	隆起
intumesce	沸腾
untrained	未经训练的
untrained	未经训练
handwringer	手摇搓衣机
handwringer	搓手表示绝望者
spherically	球状地
spherically	球状
spherically	球地
spherically	球
akureyri	阿库雷里
corn	谷物
corn	五谷
corn	鸡眼
corn	腌
stiff	硬的
stiff	硬
stiff	僵直的
stiff	僵直
stiff	拘谨的
stiff	拘谨
stiff	呆板的
stiff	呆板
stiff	艰难的
stiff	艰难
stiff	费劲的
stiff	费劲
stiff	僵硬的
stiff	僵硬
paleontologist	古生物学者
paknampho	北榄坡(即那空沙旺
lysate	溶解产物
quartertone	四分音
shellfishery	贝类渔业
senseless	不省人事的
senseless	不省人事
senseless	无感觉的
senseless	无感觉
senseless	无意识的
senseless	无意识
benday	用本戴制版法制
faun	半人半羊的农牧神
novemdecillion	10的60次幂
repudiation	批判
corsica	科西嘉
mastermind	策划
inactive	无行动的
inactive	无行动
inactive	不活动的
inactive	不活动
inactive	停止的
inactive	停止
inactive	怠惰的
inactive	怠惰
inactive	非活动的
inactive	非活动
bloodthirsty	嗜杀的
bloodthirsty	嗜杀
bloodthirsty	残忍的
bloodthirsty	残忍
deaden	使减弱
deaden	隔阻
deaden	防住
deaden	变得如死一般
deaden	失去活力等
meatworker	屠宰场工人
meatworker	肉类包装厂工人
legislatrix	女性立法者
legislatrix	女国会议员
hibernacle	动物冬眠的场所
gladiator	古罗马公开表演的格斗者
gladiator	精于辩论和格斗的人
gladiator	职业拳击者
ph	pH值
agapemone	自由性爱者的群居处所
bonanzagram	填充游戏
cantrail	上侧梁
autonomist	主张自治者
autonomist	自治论者
lunular	新月形的
lunular	新月形
electrotherapist	电疗医师
tetrameter	四音步句
restudy	再行检讨
restudy	重新研究
calefy	变暖
cephalothorax	头胸部
clapper	铃舌
falsely	虚伪地
falsely	虚伪
falsely	不实地
falsely	不实
falsely	错误地
falsely	错误
scorn	轻蔑
scorn	嘲笑
scorn	被叱责的人
scorn	轻蔑
scorn	不屑做
hydrase	水化酶
rodenticide	灭鼠剂
nightshirt	男用长睡衣
poseidon	海神
cheerfully	高高兴兴地
cheerfully	高高兴兴
creek	小溪
creek	小河
creek	小港
creek	小湾
neurula	神经轴胚
neurula	神经芽
degeneration	恶化
dulcimore	杜西莫琴
modernist	现代主义者
modernist	现代人
seaport	海港
seaport	港口都市
relentless	无情的
relentless	无情
chad	乍得湖孔屑
syllabarium	=syllabary
gangstress	女匪徒
impropriate	移交私人保管
impropriate	供诸私用
impropriate	占用
impropriate	挪用
isochore	等容线
isochore	等体积线
sniffer	嗅探器
sniffer	以鼻吸毒者
rheebuck	=rhebok
ringless	没有戒指的
ringless	没有戒指
ringless	无环的
ringless	无环
keelless	没有龙骨的
keelless	没有龙骨
keelless	没有龙骨瓣的
keelless	没有龙骨瓣
keelless	没有龙骨突起的
keelless	没有龙骨突起
cerement	寿衣
cerement	蜡布
misremember	记错
desiccate	使完全变干
desiccate	干贮
desiccate	变干
activator	催化剂
activator	触媒剂
silkiness	丝般
silkiness	柔软
gentlehearted	仁慈的
gentlehearted	仁慈
torch	火把
torch	启发之物
torch	像火炬一样燃烧
torch	用火炬点燃
aurum	金
dib	将饵在水面轻轻地上下拉动
dib	轻轻垂钓
wittingly	有意地
wittingly	有意
wittingly	存心地
wittingly	存心
largehearted	宽宏大量的
largehearted	宽宏大量
largehearted	慈悲心肠的
largehearted	慈悲心肠
peaceless	不平静的
peaceless	不平静
peaceless	不安宁的
peaceless	不安宁
treillage	棚架
treillage	格子荫棚
convolute	回旋
convolute	卷绕
convolute	盘旋
convolute	旋绕的
convolute	旋绕
druggy	吸毒者
druggy	瘾君子
druggy	吸毒的
druggy	吸毒
druggy	吸毒引起的
druggy	吸毒引起
amylolysis	淀粉分解
immersion	沉浸
casing	包装
casing	保护性的外套
redescription	重新描写
redescription	重新描述
redescription	完备新描述
kjolen	基阿连山脉
vicesimal	=vigesimal
imponderable	不可估计的
imponderable	不可估计
blest	神圣的
blest	神圣
blest	成功的
blest	成功
blest	幸福的
blest	幸福
snub	故意怠慢
snub	斥责
snub	故意怠慢
snub	责骂
snub	压熄
snub	冷落慢待
fraenulum	=frenulum
demolition	破坏
demolition	毁坏
demolition	毁坏之遗迹
seism	地震
leading	领导的
leading	领导
leading	第一位的
leading	第一位
leading	最主要的
leading	最主要
thermosensitive	热敏的
thermosensitive	热敏
oddball	古怪的
oddball	古怪
oddball	古怪的人
aflare	闪耀着
ochlocracy	暴民政治
ochlocracy	暴民统治
pucras	喜马拉雅山雉
lowbred	未受过好教育的
lowbred	未受过好教育
lamentations	耶利米哀歌
minigunner	轻机枪手
anoesis	无思维的纯感觉状态
anoesis	纯被动的意识
wick	蜡烛心
wick	灯芯
wick	油绳
wick	通过毛细作用带走
disimpassioned	平静的
disimpassioned	平静
disimpassioned	沉着的
disimpassioned	沉着
cankerroot	三叶黄莲
frontad	向前
frontad	朝前
paradichlorobenzene	对二氯苯
jaunt	远足
jaunt	短途旅游
jaunt	远足
jaunt	短途旅游
disoblige	失望
lottery	抽彩给奖法
gustatory	尝味的
gustatory	尝味
gustatory	味觉的
gustatory	味觉
labra	外唇
labra	唇状边缘
kantianism	康德哲学
chuck	抚弄
chuck	赶走
chuck	扔
chuck	抛弃
chuck	颈肉
chuck	咯咯声
chuck	卡盘
chuck	解雇
chuck	轻拍
chuck	抛掷
chuck	驱逐
chuck	丢弃
chuck	用卡盘夹住
chuck	i
chuck	作咯咯声
laigh	低的
laigh	低
laigh	低矮的
laigh	低矮
acetylic	乙酰基群的
acetylic	乙酰基群
philibeg	=filibeg
unharmonious	=inharmonious
nodal	节的
nodal	节
nodal	结的
nodal	结
nodal	节似的
nodal	节似
halmahera	哈马黑拉岛
should	应该
should	将要
bigarreau	甜樱桃
newsagent	报纸或定期刊物之经销商
thoracicolumbar	胸腰的
thoracicolumbar	胸腰
unicellular	单细胞的
unicellular	单细胞
nautic	水兵
nautic	水手
endarteritis	动脉内膜炎
engrossed	全神贯注的
engrossed	全神贯注
jetavator	喷流偏转器
jetavator	喷流偏转舵
cochairman	副主席
oe	o与e之合字
oe	亦可将oe合写
spanner	以指距测量的人
spanner	测量机量扳手
spanner	扳手
lethe	遗忘河
lethe	忘却
lethe	遗忘
addlepated	头脑糊涂的
addlepated	头脑糊涂
addlepated	愚蠢的
addlepated	愚蠢
addlepated	怪僻的
addlepated	怪僻
trapnest	自闭式产蛋箱
rhombic	菱形的
rhombic	菱形
rhombic	斜方形的
rhombic	斜方形
rhombic	正交的
rhombic	正交
emergency	紧急情况
emergency	突然事件
emergency	非常时刻
emergency	紧急事件
simoniac	买卖僧职者
solonetz	碱土
superiority	优越
superiority	高傲
impudent	放肆无礼的
impudent	放肆无礼
impudent	厚颜无耻的
impudent	厚颜无耻
racehorse	赛马
tribute	贡品
tribute	礼物
tribute	颂词
tribute	殷勤
tribute	贡物
soapwort	肥皂草属之植物
soapwort	肥皂草
sewan	西温
biographic	传记的
biographic	传记
biographic	传记体的
biographic	传记体
ridgeback	=Rhodesian
ridgeback	Ridgeback
electroacupuncture	电针刺
macrospore	大胞子
tomcat	雄猫
coronet	宝冠
coronet	小冠冕
leukopoiesis	白血球的形成
sapidity	动人
watch	注视
watch	注意
watch	手表
watch	看守
watch	守护
watch	监视
watch	值班人
watch	看
watch	注视
watch	照顾
watch	监视
watch	警戒
watch	守护
watch	看守
watch	观看
watch	注视
watch	守侯
watch	手表的
watch	手表
watch	挂表的
watch	挂表
cofounder	共同创办人
cofounder	共同创始人
anchorless	无锚的
anchorless	无锚
anchorless	漂泊的
anchorless	漂泊
clanswoman	同氏族的女人
sinography	窦腔X线照相术
innominate	未名的
innominate	未名
innominate	无名的
innominate	无名
innominate	匿名的
innominate	匿名
bandanna	大手帕
geonavigation	地标航行
verjuice	酸果汁
verjuice	尖酸刻薄
agile	敏捷的
agile	敏捷
agile	轻快的
agile	轻快
agile	灵活的
agile	灵活
memphite	孟斐斯人
vulgarly	通俗地
vulgarly	通俗
vulgarly	普通地
vulgarly	普通
vulgarly	庸俗地
vulgarly	庸俗
monoscope	单像管
monoscope	测试图像信号发生管
shebeen	地下酒吧
shebeen	低级的酒吧
apprentice	学徒
apprentice	当学徒
cambist	外汇经营者
cambist	各国度量衡、币比较表
cambist	兑换商
exert	尽
exert	努力
exert	发挥
exert	竭尽全力
exert	尽
calicle	小杯状体
veridically	不虚伪地
veridically	不虚伪
veridically	诚实地
veridically	诚实
bidirectional	双向的
bidirectional	双向
ayd	American
ayd	Youth
ayd	for
ayd	Democracy美国争取民主青年组织
lambling	小羊
lambling	好孩子
pyritohedron	五角十二面体
thyroidectomy	甲状腺切除术
sham	佯装
sham	伪品
sham	虚假的
sham	虚假
liberality	宽大
liberality	磊落
groggy	酒醉的
groggy	酒醉
groggy	东歪西倒的
groggy	东歪西倒
groggy	摇摇晃晃的
groggy	摇摇晃晃
groggy	头昏眼花的
groggy	头昏眼花
cabstand	出租车停车场
corozo	象牙棕榈
liquate	熔解而分离
liquate	熔解
reheat	再热
understaffed	人员不足的
understaffed	人员不足
understaffed	人手不足的
understaffed	人手不足
thundersheet	雷声金属条屏
trijet	三喷气发动机飞机
trijet	三引擎喷气机
heating	加热
tigerflower	虎斑草
ootheca	卵囊
ootheca	卵鞘
shouting	大喊大叫
shouting	在电子信件中全部用大写字母
layard	莱亚德
remortgage	再抵押
remortgage	转抵押
remortgage	转抵押借款
babel	巴别塔
babel	混乱
babel	嘈杂
althorn	高音喇叭
althorn	高音萨克斯
feedlot	饲育场
snake	蛇
snake	迂回前进
adjudicative	有判决权的
adjudicative	有判决权
adjudicative	宣告的
adjudicative	宣告
enanthema	黏膜疹
lht	Lord
lht	High
lht	Treasurer
numerable	可数的
numerable	可数
numerable	可计算的
numerable	可计算
pathless	没路的
pathless	没路
carboxylase	碳酸酵素
quartzose	石英的
quartzose	石英
quartzose	主要为石英构成的
quartzose	主要为石英构成
lipoma	脂肪瘤
thaumaturgical	奇术的
thaumaturgical	奇术
infradyne	低外差法
infimum	下确界
miscast	指配不适当的角色
miscast	角色分配不适当
tostada	炸玉米粉圆饼
budgie	相思鹦鹉
attu	Asian
attu	Table
attu	Tennis
attu	Union亚洲乒乓球联盟
avon	英国中部一河
palaeoclimatology	古气候学
devoir	礼貌
devoir	尊重
devoir	敬意
retrorse	向后弯的
retrorse	向后弯
neutrin	微中子
nfs	Network
nfs	File
nfs	System
nfs	网络文件系统
fcfs	First
fcfs	Come
fcfs	First
fcfs	Served
fcfs	先来先服务
confederative	同盟的
confederative	同盟
confederative	联邦的
confederative	联邦
confederative	联合的
confederative	联合
accordion	手风琴
accordion	可折叠的
accordion	可折叠
estrus	动情期
estrus	动情周期
conduct	行为
conduct	操行
conduct	引导
conduct	管理
conduct	为人
conduct	传导
implantable	可植入的
implantable	可植入
implantable	可移植的:
paludament	战袍
pausal	停顿的
pausal	停顿
starless	没有星的
starless	没有星
starless	没有星光的
starless	没有星光
papermaker	造纸工
papermaker	造纸者
khotan	和阗河
arithmetician	算术家
wasteland	荒地
wasteland	荒
wasteland	未开垦地
wasteland	未开垦
wasteland	废墟
wasteland	贫乏
deus	上帝
deus	神
surra	苏拉病
surra	伊氏锥虫病
neckverse	保命诗
macro	宏
macro	巨大的
macro	巨大
macro	大量使用的
macro	大量使用
ounce	盎司
ounce	少量
ounce	雪豹
corrodible	会腐蚀的
corrodible	会腐蚀
corrodible	可侵蚀的
corrodible	可侵蚀
mwami	姆瓦米
summer	夏季
summer	避暑
summer	过夏天
summer	夏季的
summer	夏季
summer	在夏季的
summer	在夏季
insulator	绝缘体
insulator	绝热器
terbium	铽
shiai	柔道比赛
bacilliform	杆状的
bacilliform	杆状
oes	Order
oes	of
oes	the
oes	Eastern
oes	Star东星会
mixed	混合
mixed	混合的
mixed	混合
titbit	量少味美的食品
titbit	珍品
titbit	珍闻
prelusion	前奏
prelusion	序幕
prelusion	引子
prelusion	开头
fireworm	萤火虫
vanadium	钒
vanadium	铅矿
sambuke	萨姆布克琴
streptomycete	链霉菌
surefooted	脚踏实地的
surefooted	脚踏实
surefooted	稳当的
surefooted	稳当
surefooted	无差错的
surefooted	无差错
rappini	嫩芜青
flyboy	飞机驾驶员
kiddush	祁福式
harridan	形容枯槁的老妇人
harridan	名声不好的老泼妇
citation	引用
exudative	渗出的
exudative	渗出
wilder	困惑
clammy	湿粘的
clammy	湿粘
clammy	湿冷的
clammy	湿冷
figurine	小雕像
antheap	=anthill
reemploy	重新雇用
reemploy	重新使用
sagitta	天箭星座
nullity	无效
nullity	无效的行为
nullity	无效的证书
lectern	诵经台
allergist	过敏症专科医师
eloquence	雄辩
eloquence	口才
eloquence	修辞
thyrotoxicosis	甲状腺毒症
thyrotoxicosis	甲状腺功能亢进
heteroclite	不规则名词
heteroclite	不规则变化的
heteroclite	不规则变化
bedkey	床架调节扳手
bedevilment	着魔
bedevilment	迷惑
greenly	绿色地
greenly	绿色
greenly	未熟练
haliotis	鲍属软体动物
landline	陆上运输
violate	违犯
violate	亵渎
violate	冒犯
violate	干扰
violate	违反
violate	妨碍
violate	侵犯
violate	强暴
croppy	剪短发的人
falter	支吾地说
falter	结巴地讲出
falter	支吾
falter	蹒跚踉跄
falter	摇摆
falter	颤抖
falter	颤抖
falter	支吾
falter	踌躇
predatory	掠夺的
predatory	掠夺
predatory	食肉的
predatory	食肉
raillery	开玩笑
raillery	逗趣
ungoverned	不受统治的
ungoverned	不受统治
ungoverned	粗野的
ungoverned	粗野
ungoverned	放纵的
ungoverned	放纵
ungoverned	放肆的
ungoverned	放肆
eliminable	可消除的
eliminable	可消除
eliminable	可消去的
eliminable	可消去
eliminable	可排除的
eliminable	可排除
maritagium	=maritage
insolubilize	使不溶解
bigamy	重婚
bigamy	重婚罪
lardaceous	猪油的
lardaceous	猪油
percussion	打击乐器
scupseat	木座
tinman	洋铁匠
tinman	洋铁器商
worn	用旧的
worn	用旧
worn	疲倦的
worn	疲倦
worn	wear的过去分词
astigmometer	散光度计
adhesively	黏附地
adhesively	黏附
adhesively	胶着地
adhesively	胶着
reinfect	使再感染
reinfect	使再传染
edentulous	缺齿的
edentulous	缺齿
karyogram	染色体组型
niacinamide	烟酰胺
psychological	心理的
psychological	心理
andaman	安达曼人
ferny	蕨类的
ferny	蕨类
ensphere	使成球形
ensphere	包围
petition	请愿
petition	情愿书
petition	诉状
petition	陈情书
petition	请求
petition	恳求
petition	请愿
sadness	悲哀
sadness	悲伤
vig	=vigorish
scanties	短裤
quicky	草率赶出来的作品
quicky	罢工
ofm	Order
ofm	of
ofm	Friars
ofm	Minor小兄弟会
ganoin	硬鳞质
ganoin	闪光质
preferably	更适宜
apophyllite	鱼眼石
abnormalism	变态性
abnormalism	反常性
tensibility	伸长性
tao	道
tao	Track
tao	At
tao	Once
tao	轨道刻录
intoner	吟诵者
yinchuan	银川
hatchling	人工孵化的鱼苗或小鸟
mendicity	乞丐生活
mendicity	化缘
voronezh	沃罗涅什
conirostral	有锥形尖喙之鸟的
conirostral	有锥形尖喙之鸟
stockyard	牲畜围栏
trioxid	三氧化物
taught	teach的过去式和过去分词
acclaim	喝彩
acclaim	欢呼
acclaim	欢呼
acclaim	称赞
microlepidopteron	微鳞翅目昆虫
marker	作记号的人
marker	记分员
marker	纪念碑
marker	标记
marker	里程碑
marker	标兵
magnetophone	磁带录音机
flyboat	快速平底船
martyry	忠烈祠
martyry	烈士纪念堂
subtend	对向
subtend	包在叶腋内
bowshot	箭可到达的距离
bowshot	箭程
bandkeramik	斑纹陶器
incross	杂种
incross	品种内异系交配体
lysosome	溶酶体
indefeasibility	难使无效
indefeasibility	难废弃
sprayboard	防溅板
contraction	收缩
contraction	缩写式
contraction	紧缩
rawin	无线电测风
rawin	无线电测风仪
unopened	没有打开过的
unopened	没有打开过
meet	会
meet	集会
meet	适宜的
meet	适宜
meet	合适的
meet	合适
meet	遇见
meet	与……相识
meet	对付
meet	相遇
meet	接触
educated	受过教育的
educated	受过教育
educated	有教养的
educated	有教养
misapprehensive	误会的
misapprehensive	误会
misapprehensive	误解的
misapprehensive	误解
lexicographer	词典编纂者
splendiferous	了不起的
splendiferous	了不起
splendiferous	极好的
splendiferous	极好
splendiferous	虚华的
splendiferous	虚华
lymphangioma	淋巴管瘤
bhamo	八莫
pamirs	帕米尔高原
boardinghouse	寄宿公寓
toweling	毛巾料
gele	非洲女用头巾或头饰
morula	桑椹胚
calendulin	金盏花属
spellbind	用妖术迷惑
spellbind	迷住
outswinger	外弧线球
seriary	序列的
seriary	序列
accessing	访问
crosstab	交叉表
geobiology	地理生物学
tammerfors	=Tampere
eschscholtzia	金英花
condone	宽恕
condone	赦免
pyrocatechin	焦儿茶酚
pyrocatechin	邻苯二酚
triadelphous	三体雄蕊的
triadelphous	三体雄蕊
confucianism	孔教
confucianism	儒教
unsworn	unswear的过去分词
sgraffito	五彩拉毛粉饰
sgraffito	五彩拉毛陶瓷
nonterminating	无尽的
nonterminating	无尽
laryngopharynx	咽喉
fulfillment	履行
fulfillment	实行
dacker	摇摇摆摆
dacker	犹豫
glandes	glans的复数
seating	就座
seating	座位数
seating	座套
retentive	保持的
retentive	保持
paramenstrual	经前及行经初期的
paramenstrual	经前及行经初期
cruiser	巡洋舰
astrologist	占星家
astrologist	占卜师
corndodger	玉米烤饼
corndodger	玉米团子
stadle	=staddle
nosey	大鼻子的
nosey	大鼻子
nosey	爱追问的
nosey	爱追问
excisionase	切除酶
escarpmetnt	急斜面
escarpmetnt	悬崖
escarpmetnt	马头丘
whitewall	白胎壁轮胎
psittacism	鹦鹉学舌似的复述
psittacism	重复而无意义的言语
agoraphobic	广场恐怖的
agoraphobic	广场恐怖
agoraphobic	旷野恐怖的
agoraphobic	旷野恐怖
agoraphobic	恐旷症的
agoraphobic	恐旷症
