celticist	研究凯尔特文化的人
eleemosynary	施舍的
eleemosynary	施舍
eleemosynary	接受接济的
eleemosynary	接受接济
eleemosynary	慈善的
eleemosynary	慈善
bland	温和的
bland	温和
bland	柔和的
bland	柔和
bland	乏味的
bland	乏味
bland	冷漠的
bland	冷漠
bland	刺激性少的
bland	刺激性少
haggai	哈该
stanniferous	含锡的
stanniferous	含锡
dungy	满地是粪的
dungy	满地是粪
dungy	肮脏的
dungy	肮脏
dungy	令人作呕的
dungy	令人作呕
iraser	红外激射
iraser	红外激射器
billiardist	打台球者
billiardist	打弹子者
certified	被鉴定的
certified	被鉴定
reubenite	流便支派人
punctilio	细节
punctilio	拘泥形式
psychoneurotic	精神神经症的
psychoneurotic	精神神经症
psychoneurotic	神经病的
psychoneurotic	神经病
psychoneurotic	患精神神经症的
psychoneurotic	患精神神经症
went	go的过去式
cedrol	雪松醇
cedrol	雪松脑
realize	认识到
realize	了解
realize	实现
realize	实行
baconianism	认为莎士比亚戏剧为培根所著的主张
unanswerable	无法回答的
unanswerable	无法回答
unanswerable	没有责任的
unanswerable	没有责任
unanswerable	无可辩驳的
unanswerable	无可辩驳
edwin	男子名
botswanian	博茨瓦纳人
ozonic	臭氧的
ozonic	臭氧
ozonic	含臭氧的
ozonic	含臭氧
androgenous	雄性单性生殖的
androgenous	雄性单性生殖
neuristor	类神经器件
precapillary	前毛细管的
precapillary	前毛细管
photocatalysis	光催化
stagey	=stagy
kluck	喀喀声
covenantor	契约之授方
zagros	Mountains扎格罗斯山脉
sandal	凉鞋
sandal	檀香
sandal	便鞋
sandal	穿上便鞋
burns	络腮胡子
burns	大鬓角
irremediable	不能治疗的
irremediable	不能治疗
irremediable	不能挽回的
irremediable	不能挽回
upu	Universal
upu	Postal
upu	Union
upu	万国邮政联盟
luck	运气
luck	好运
luck	幸运
versitron	高敏度温差遥感器
pyuria	脓尿
trying	难受的
trying	难受
trying	费劲的
trying	费劲
trying	令人厌烦的
trying	令人厌烦
proven	prove的过去分词
nomenclative	命名的
nomenclative	命名
nomenclative	术语的
nomenclative	术语
bachelordom	单身
amebocyte	=amoebocyte
backlining	背衬料
jewelry	珠宝
jewelry	珠宝类
cyclades	基克拉迪群岛
trichomonad	毛滴虫
buckeroo	=buckaroo
lateroversion	侧倾
brickfield	制砖场
brickfield	砖厂
shade	荫
shade	阴暗
shade	荫凉处
shade	图案阴影
shade	黑暗
shade	颜色深浅
shade	遮光物
shade	帘
shade	渐变
shade	遮蔽
shade	使阴暗
shade	使渐变
shade	微减
septillion	百万的七乘方
whittret	=weasel
spanless	不可测量的
spanless	不可测量
questura	警察局
questura	警方
irresolute	犹豫不决的
irresolute	犹豫不决
fungal	真菌的
fungal	真菌
switchgrass	柳枝稷
andersen	安徒生
holi	胡里节
oakling	小栎树
oakling	栎树萌发枝
convergescence	聚合之倾向
crises	危险
crises	危险期
crises	紧要关头
involuntarily	不知不觉地
involuntarily	不知不觉
involuntarily	无心地
involuntarily	无心
crate	板条箱
crate	柳条箱
effacement	抹消
effacement	抹杀
workday	工作日
othin	=Odin
embarrassingly	使人尴尬地
embarrassingly	使人尴尬
embarrassingly	使人为难地
embarrassingly	使人为难
embarrassingly	使人难堪地
embarrassingly	使人难堪
couturier	女裁缝师
couturier	女服设计师
metaprogram	元程序
importation	进口
importation	输入品
epeirogentic	造陆作用的
epeirogentic	造陆作用
latter	后面的
latter	后面
latter	后者的
latter	后者
latter	较后的
latter	较后
latter	近来的
latter	近来
energetic	精力充沛的
energetic	精力充沛
energetic	积极的
energetic	积极
brokenhearted	心碎的
brokenhearted	心碎
brokenhearted	极度悲伤的
brokenhearted	极度悲伤
brokenhearted	极度沮丧的
brokenhearted	极度沮丧
acrogen	顶生植物
geoanticline	地背斜
pettifog	讲歪理
pettifog	诡辩
pettifog	做讼棍
erosive	侵蚀性的
erosive	侵蚀性
erosive	腐蚀性的
erosive	腐蚀性
insentient	无知觉的
insentient	无知觉
sunfish	翻车鱼
sunfish	淡水产小鱼
cultivable	可耕种的
cultivable	可耕种
cultivable	可栽培的
cultivable	可栽培
monotropy	单变性
lockout	停工
onager	中亚野驴
sandrock	沙岩
scandic	钪的
scandic	钪
falsification	弄虚作假
falsification	串改
falsification	伪造
falsification	歪曲
loment	节荚
extracranial	颅外的
extracranial	颅外
irrationalism	不合理的思想
irrationalism	反理性主义
encyclopaedic	如百科辞典的
encyclopaedic	如百科辞典
encyclopaedic	百科全书式的
encyclopaedic	百科全书式
nephanalysis	云层分析
nephanalysis	卫星云图
obscurity	阴暗
obscurity	朦胧
obscurity	偏僻
obscurity	含糊
obscurity	隐匿
obscurity	晦涩
obscurity	身份低微
selenodont	月齿动物
bucephalus	亚历山大王的战马
riflery	打靶练习
riflery	射击技术
riflery	步枪射击
ilka	每一个的
ilka	每一个
ilka	各自的
ilka	各自
teether	出牙嚼器
abruptness	突然
abruptness	唐突
abruptness	粗鲁无理
shunter	扳道员
shunter	能干的组织者
coralbells	珊瑚钟
overbid	出价高与
overbid	过高出价
overbid	过高的出价
overbid	过高的叫牌
incrossbred	品种内异系杂种
complimental	恭维的
complimental	恭维
dispatchbox	公文递送箱
fishbed	鱼化石沈积层
illimitable	无限的
illimitable	无限
illimitable	无边际的
illimitable	无边际
baptismal	洗礼的
baptismal	洗礼
mushroomy	蘑菇的
mushroomy	蘑菇
cirrhotic	肝脏硬化症的
cirrhotic	肝脏硬化症
millisecond	毫秒
wrappage	包装材料
tiber	台伯河
ketogenic	生酮的
ketogenic	生酮
ketogenic	生成酮的
ketogenic	生成酮
ketogenic	能转化为酮的
ketogenic	能转化为酮
gastralgia	胃痛
out	外面的
out	外面
out	下台的
out	下台
out	出局的
out	出局
out	在外
out	出声地
out	出声
out	显露出来地
out	显露出来
out	明显地
out	明显
out	从头至尾地
out	从头至尾
out	外面
out	外出
out	外观
out	赶出
out	击倒
out	使退场
out	外出
out	暴露
out	通过
ovular	胚珠的
ovular	胚珠
ovular	卵子的
ovular	卵子
zincography	锌版术
zincography	刻锌版
thionine	硫堇
thionine	劳氏紫
antiemetic	止呕吐的
antiemetic	止呕吐
antiemetic	止吐的药
nearshore	近岸水域的
nearshore	近岸水域
strengthen	加强
strengthen	巩固
frantically	狂暴地
frantically	狂暴
frantically	疯狂似地
frantically	疯狂似
militate	产生作用或影响
crooknecked	颈部弯曲的
crooknecked	颈部弯曲
crooknecked	曲颈的
crooknecked	曲颈
haemostatic	止血的
haemostatic	止血
haemostatic	能够止血的
haemostatic	能够止血
inofficial	非官方的
inofficial	非官方
inofficial	非正式的
inofficial	非正式
doven	=daven
mass	块
mass	大多数
mass	质量
mass	群众
mass	大量
mass	群众的
mass	群众
mass	大规模的
mass	大规模
mass	集中的
mass	集中
mass	使集合
mass	聚集
dcm	Distinguished
dcm	Conduct
dcm	Medal
spherometer	球径计
grivet	黑长尾猴
angiocardiogram	心血管X线照片
franseria	佛伦塞属植物
faecal	排泄物的
faecal	排泄物
faecal	渣滓的
faecal	渣滓
antihelium	反氦
whereunder	在其下
whereunder	在那下面
tumbril	双轮运货车
tumbril	施肥车
deserved	应得的
deserved	应
deserved	当然的
deserved	当然
angary	常征用权
jaywalking	走路不遵守交通规则
streptomyces	链霉菌
wimbledon	温布尔登
diproton	双质子
memcon	谈话备忘录
grits	粗磨粉
grits	粗面粉
grits	粗燕麦粉
grits	粗玉米粉
sinusoid	正弦曲线
elusory	难以捉摸的
elusory	难以捉摸
greenmail	绿票讹诈
ephemerous	=ephemeral
macrocosm	宏观世界
suspensibility	可中止
suspensibility	可悬挂
suspensibility	悬而不决
agave	龙舌兰属植物
rousseauist	的信徒
armillary	手镯的
armillary	手镯
floweret	小花
bilharziasis	裂体吸虫病
bilharziasis	血吸虫病
volvox	团藻
ligula	唇舌
hit	打击
hit	打
hit	碰撞
hit	讽刺
hit	成功
hit	打
hit	打击
hit	碰撞
hit	击中
hit	袭击
hit	偶然发现
hit	伤……的感情
hit	找到
hit	打
hit	打中
hit	打击
hit	碰撞
hit	偶然碰上
seafarer	船员
seafarer	航海家
perseverant	能坚持的
perseverant	能坚持
varuna	伐楼拿
encipher	译成密码
shorthorn	短角牛
shorthorn	刚到边远地区的人
shorthorn	新来的人
shorthorn	新手
camenae	克米尼
inundate	淹没
betcher	=bet
betcher	you
resolved	下定决心的
resolved	下定决心
resolved	断然的
resolved	断然
trackway	踏出来的路
trackway	古道
soybean	大豆
poikilothermic	变温的
poikilothermic	变温
poikilothermic	冷血的
poikilothermic	冷血
poikilothermic	冷血动物的
poikilothermic	冷血动物
forced	被迫的
forced	被迫
forced	强迫的
forced	强迫
forced	动用武力的
forced	动用武力
mothy	多蛾的
mothy	多蛾
colonelcy	陆军上校的身份或地位
fissility	易裂性
fissility	分裂性
fissility	可裂变性
declivous	下坡的
declivous	下坡
declivous	向下倾斜的
declivous	向下倾斜
pursy	肥胖的
pursy	肥胖
pursy	皱起的
pursy	皱起
perversion	颠倒
perversion	曲解
preediting	预先编辑
hwyl	炽热感情
hwyl	雄辩
homochrome	=homochromatic
unacted	未演出的
unacted	未演出
isospory	孢子同型
missourian	密苏里州的
missourian	密苏里州
missourian	密苏里州人
shag	粗烟丝
shag	粗毛
shag	蓬乱一团
shag	使蓬松
shag	使杂乱
shag	追赶
shag	蓬松
abraser	磨石
abraser	研磨器
mozzarella	一种意大利干酪
mozzarella	色白味淡的
mozzarella	色白味淡
invidious	易招嫉妒的
invidious	易招嫉妒
invidious	不公平的
invidious	不公平
invidious	诽谤的
invidious	诽谤
gamekeeper	猎场看守人
dwarfish	象侏儒的
dwarfish	象侏儒
dwarfish	矮小的
dwarfish	矮小
reseat	使再坐
reseat	使复位
reseat	换……的底座
reseat	给……装新座
ileal	=ileac
gelignite	一种含硝化甘油的炸药
chestful	一满箱之东西
sonifer	=Sonifier
invulnerable	不会受伤害的
invulnerable	不会受伤害
invulnerable	无懈可击的
invulnerable	无懈可击
neurohormonal	神经激素的
neurohormonal	神经激素
wallpiece	舷炮
sigurd	西格德
telerecord	给……作电视屏幕录像
dispread	向四方张开
dispread	向各方展开
lateritic	含有红土的
lateritic	含有红土
lateritic	含有红土之特性的
lateritic	含有红土之特性
boss	老板
boss	上司
boss	指挥
tawdry	俗丽的
tawdry	俗丽
tawdry	非常华丽的
tawdry	非常华丽
tawdry	俗丽的东西
cathead	船首锚架
fense	篱笆
fense	栅栏
fense	墙
fense	围住
fense	防护
therian	兽亚纲哺乳动物
declarative	宣言的
declarative	宣言
declarative	公布的
declarative	公布
choleric	易怒的
choleric	易怒
expenditure	支出
expenditure	花费
nejd	内志
steam	蒸汽
steam	水汽
steam	蒸发
steam	蒸
domical	圆屋顶的
domical	圆屋顶
domical	圆顶式结构的
domical	圆顶式结构
sarracenia	瓶子草
reprogram	改编
reprogram	程序重调
resemblant	相似的
resemblant	相似
resemblant	摹仿的
resemblant	摹仿
synthomycin	合霉素
knightage	骑士
knightage	骑士名录
waterproof	防水的
waterproof	防水
waterproof	不透水的
waterproof	不透水
nigerianize	使尼日利亚化
nigerianize	把……置于尼日利亚政府之下
wisteria	柴藤
regalvanize	再给…………通电
regalvanize	重新振奋
regalvanize	再激励
guanethidine	胍乙啶
bilbao	毕尔巴鄂
scolopophore	具橛神经胞
geneva	日内瓦城
betweenmaid	女佣
endoergic	吸能的
endoergic	吸能
endoergic	吸热的
endoergic	吸热
breeding	饲养
breeding	教养
adumbral	遮阳的
adumbral	遮阳
adumbral	成荫的
adumbral	成荫
auspicate	v
auspicate	卜得吉兆而开始做某事
uncommunicative	拘礼的
uncommunicative	拘礼
uncommunicative	沉默寡言的
uncommunicative	沉默寡言
keratoderma	角皮病
purebred	纯种的
purebred	纯种
purebred	纯种的动物
radiography	X光线照相术
radiography	放射线照相术
everyway	无论怎样看法
everyway	任从那一方面来看
orangery	橘园
orangery	橘子的温室
creephole	躲藏之洞穴
creephole	借口
endlessly	不断地
endlessly	不断
endlessly	无穷尽地
endlessly	无穷尽
ldc	Less
ldc	Developed
ldc	Country
ldc	不发达国家
creepered	蔓草丛生的
creepered	蔓草丛生
daze	使茫然
daze	发昏
daze	使晕眩
daze	迷惑
daze	眼花缭乱
lupin	羽扇豆
subsection	分部
subsection	分段
subsection	小部分
subsection	小单位
subsection	细分
impar	奇数的
impar	奇数
impar	不成对的
impar	不成对
microchip	微芯片
prestigious	享有声望的
prestigious	享有声望
prestigious	声望很高的
prestigious	声望很高
jacksy	屁股
curd	凝块
curd	凝乳
curd	凝结物
iridectome	虹膜刀
hospitality	好客
hospitality	宜人
hospitality	盛情
sprint	疾跑
sprint	美国著名的通讯公司
seminole	米诺尔人
jeepney	吉普尼车
residuary	剩余的
residuary	剩余
residuary	残余的
residuary	残余
surfcaster	激浪投钓者
semidivine	半神的
semidivine	半神
solaceful	充满慰藉的
solaceful	充满慰藉
solaceful	带来安慰的
solaceful	带来安慰
uncate	有钩的
uncate	有钩
uncate	钩状的
uncate	钩状
fallow	休耕地
fallow	休耕
fallow	休耕的
fallow	休耕
fallow	未孕的
fallow	未孕
fallow	潜伏发
fallow	不活跃的
fallow	不活跃
fallow	使
ectoenzym	外酶
gameland	狩猎区
gameland	猎场
spieler	招揽顾客者
spieler	商业宣传员
spieler	专事欺诈者
shit	拉屎
shit	对……胡扯
shit	企图欺骗
shit	取笑
shit	欺骗
shit	粪
shit	屎
shit	狗屁!
flatbed	有平台可装货的卡车
stopover	中途停留
security	安全
mutiny	兵变
mutiny	反抗
mutiny	叛变
mutiny	造反
mutiny	兵变
vastness	巨大
chariot	战车
scotchman	苏格兰人
niaiserie	无知
niaiserie	愚笨
lanceted	矛尖状装饰的
lanceted	矛尖状装饰
lanceted	有尖拱的
lanceted	有尖拱
catechist	问答式教授者
catechist	盘问者
microfiche	单片缩影胶片
hermes	heavy
hermes	element
hermes	and
hermes	radioactive
hermes	material
hermes	electromagneticseparator
hermes	重放射性同位素电磁分离器
hermes	=herm
orthogonalize	使成为正交
orthogonalize	使正交化
diffusible	可散播的
diffusible	可散播
diffusible	可传播的
diffusible	可传播
diffusible	扩散性的
diffusible	扩散性
asperifoliate	有粗糙叶子的
asperifoliate	有粗糙叶子
coral	珊瑚
coral	珊瑚虫
cokuloris	调光板
one	pro
one	一个人
one	任何人
one	一方
one	一
one	一个
one	一方的
one	一方
one	某一
one	同样的
one	同样
annuation	周年变异
annuation	生物数量年变化
phyllo	制成极薄层的生面
thralldom	奴隶的身份
thralldom	束缚
bouillabaisse	浓味鱼肉汤
lientery	不消化性腹泻
lientery	滑肠
detoxicant	麻药的
detoxicant	麻药
detoxicant	麻醉的
detoxicant	麻醉
unproposed	未提出的
unproposed	未提出
unproposed	未提议的
unproposed	未提议
thioarsenite	硫代亚砷酸盐
mingily	吝啬地
mingily	吝啬
mingily	小气地
mingily	小气
petalled	有花瓣的
petalled	有花瓣
morpheus	摩尔莆神
morpheus	催眠物
lerp	昆虫分泌出来的一种蜜
ruben	鲁本
disseise	=disseize
gynander	雌雄嵌体
gynander	两性体
cycloparaffin	环烷
mitomycin	丝裂霉素
landrail	=corncrake
cytophotometry	细胞光度学
cytophotometry	细胞光度测定法
cytophotometry	细胞分光光度法
neogene	晚第三纪
tacticity	立构规正度
fernanda	费尔南达
spectrofluorometer	分光荧光计
backwards	向后
brawling	争吵
brawling	喧嚷
pursuit	追击
maccabees	马加比家族
buildup	组合
buildup	集结
buildup	累积
buildup	形成
gettysburg	盖茨堡
haematogenesis	造血作用
haematogenesis	生血
prosodic	作诗法的
prosodic	作诗法
sainfoin	红豆草
screwy	螺旋形的
screwy	螺旋形
screwy	扭曲的
screwy	扭曲
screwy	怪僻的
screwy	怪僻
screwy	疯疯癫癫的
screwy	疯疯癫癫
dissimilate	变得不同
remedially	治疗地
remedially	治疗
remedially	矫正地
remedially	矫正
bibliotherapy	读书疗法
solyanka	色尔扬可汤
solyanka	蔬菜肉汤
tropine	托品碱
stunt	阻碍……发育
stunt	妨碍……生长
stunt	作惊人表演
stunt	使绝招
stunt	发育迟缓
stunt	矮小的人
stunt	惊人表演
stunt	绝技
janizary	土耳其士兵
janizary	亲信
irruptive	突入的
irruptive	突入
irruptive	深入的
irruptive	深入
irruptive	穿入的
irruptive	穿入
multiform	多种形式的
multiform	多种形式
erasure	擦除
erasure	抹掉
erasure	擦除的字
erasure	记号等
polyhedral	多面的
polyhedral	多面
polyhedral	多面体的
polyhedral	多面体
successful	成功的
successful	成功
hyalinize	透明样化
ismaelian	=Ismailian
edgily	刀口锐利
edgily	轮廓过分鲜明
edgily	尖利
contemplative	沉思的
contemplative	沉思
contemplative	冥想的
contemplative	冥想
contemplative	祈祷的
contemplative	祈祷
resettlement	再定居
resettlement	重新安置
whish	呼呼作声
whish	以呼呼声催促
whish	呼呼声
echolocation	回声定位能力
echolocation	回声定位法
princess	公主
vantage	优势
vantage	有利情况
unsex	使失去性功能
unsex	使失去性征
pam	帕姆
dipsophobia	惧酒症
dipsophobia	恐饮症
salpingotomy	输卵管的切除
immunohistochemical	免疫组织化学的
immunohistochemical	免疫组织化学
ripstop	防破裂的
ripstop	防破裂
kickboard	踢水板
professorship	教授之职
thornlike	象刺一样的
thornlike	象刺一样
trippy	由致幻药引起幻觉的
trippy	由致幻药引起幻觉
corporation	社团
corporation	法人
corporation	公司
corporation	企业
corporation	大肚皮
spacefarer	航天员
spacefarer	宇宙飞行员
saltant	跳跃的
saltant	跳跃
saltant	突变型
moot	大会
moot	审议会
moot	未决议的
moot	未决议
moot	无实际意义的
moot	无实际意义
moot	提出……供讨论
titaniferous	含钛的
titaniferous	含钛
titaniferous	产钛的
titaniferous	产钛
boysenberry	一种杂交草莓
recede	后退
hypomotility	运动不足
hypomotility	动力减退
arrhythmia	心律不齐
arrhythmia	心律失常
civicism	市政
civicism	市民政治
summertree	大梁
sopaipilla	油炸蜜糕
neuroendocrinology	神经内分泌学
limitless	无限的
limitless	无限
limitless	无界限的
limitless	无界限
consultative	咨询的
consultative	咨询
puffbird	喷鴷科鸟
ldh	lactate
ldh	dehydrogenase
gsm	Global
gsm	System
gsm	for
gsm	Mobile
gsm	communication
gsm	一种数字移动电话系统
electrodialysis	电渗析
schottische	慢步的
schottische	慢步
schottische	polka
schottische	舞的一种
schottische	其舞曲
methylene	亚甲基
gunrunning	军火走私
canid	犬科动物
salary	薪水
salary	给……加薪
tabour	小鼓
tabour	敲单面小鼓
inflorescent	开花的
inflorescent	开花
lwop	leave
lwop	without
lwop	pay留职停薪
function	官能
function	功能
function	作用
function	职责
function	典礼
function	仪式
function	函数
function	活动
function	运行
function	行使职责
deawood	韩国大宇集团
firefight	交火
firefight	火战
firefight	炮战
renunciate	放弃
renunciate	抛弃
renunciate	宣布中止
evitable	可避免的
evitable	可避免
jumbly	混杂的
jumbly	混杂
sierran	内华达山区
sierran	锯齿山脊的
sierran	锯齿山脊
sierran	锯齿山脊区的
sierran	锯齿山脊区
sierran	锯齿山脊区居民的
sierran	锯齿山脊区居民
sorefalcon	1岁的游隼
advices	报道
advices	情报
tho	可是
tho	不过
retch	作呕
retch	恶心
mercery	绸布类货物
mercery	绸布业
nom	nominal名义上的
nom	nominal名义上
nom	有名无实的
nom	有名无实
nom	Nominative主格的
nom	Nominative主格
graftabl'	NULL)
almond	杏树
almond	杏仁
almond	杏仁壮物
foxhound	猎狐用猎狗
platiniridium	铂铱
siddhartha	悉达多
sailflying	滑翔飞行
centre	中心
centre	中央
centre	中心区
centre	集中
euphemistical	婉转的
euphemistical	婉转
euphemistical	委婉说法的
euphemistical	委婉说法
arteritis	动脉炎
mantelletta	无袖法衣
mallard	野鸭
mallard	野鸭肉
hypnotism	催眠术
hypnotism	催眠状态
titlist	冠军
hematoxylin	苏木精
pinocle	一种纸牌游戏
jomon	绳纹文化的
jomon	绳纹文化
jipijapa	巴拿马草
jipijapa	巴拿马草帽
her	pro
her	她的
her	她
her	她
jaundice	黄疸
jaundice	由妒嫉引起的偏见的心理状态
jaundice	使患黄疸
jaundice	使怀偏见
billowy	巨浪似的
billowy	巨浪似
billowy	汹涌的
billowy	汹涌
crackled	有裂痕的
crackled	有裂痕
crackled	有脆皮的
crackled	有脆皮
weedkilling	除草
weedkilling	灭草
quantifiable	可以计量的
quantifiable	可以计量
provocation	激怒
provocation	刺激
provocation	挑衅
provocation	挑拨
thylacine	袋狼
sabulite	强烈炸药
falcial	镍的
falcial	镍
lcvp	landing
lcvp	craft
lcvp	vehicle
lcvp	and
lcvp	personnel车辆人员登陆艇
paiute	居于美国印第安人的一部族
aciniform	如成串葡萄状的
aciniform	如成串葡萄状
aciniform	多小核的
aciniform	多小核
ningbo	宁波
unpersuasive	无说服力的
unpersuasive	无说服力
cultch	贝壳屑
illegally	不法地
illegally	不法
supplementarity	增补
shintoism	日本之神道教
sectile	可切的
sectile	可切
polarization	偏振
polarization	两极化
polarization	分化
clavicornia	锤角组
preaxial	躯椎前的
preaxial	躯椎前
preaxial	中轴前的
preaxial	中轴前
preaxial	上肢内恻的
preaxial	上肢内恻
tinge	淡色
tinge	色调
tinge	些微气味
tinge	气息
tinge	风味
tinge	微染
tinge	使带气息
mithridatize	在……之中产生毒物而免疫
goyische	=goyish
drubbing	殴打
drubbing	彻底击败
ghaut	河边的石梯
ghaut	山路
imbrown	=embrown
sinhala	僧伽罗语
photolithograph	影印石版
puerperal	分娩的
puerperal	分娩
puerperal	产后的
puerperal	产后
supposal	想象
supposal	推测
saltcat	盐块
gumminess	树胶质
gumminess	黏性
bunraku	文乐木偶戏
perpetuator	永久保存的人
fondu	溶化奶油
fondu	干酪
banditti	匪徒
procuratorship	procurator
procuratorship	之职
watermelon	西瓜
blastocyst	胚泡
mindoro	民都洛岛
spittoon	痰盂
glandulose	有腺的
glandulose	有腺
exceptional	例外的
exceptional	例外
exceptional	异常的
exceptional	异常
nucleochronometer	核子年代学标准
abiogeny	自然发生
abiogeny	自然发生论
holoparasitic	全寄生物的
holoparasitic	全寄生物
preservationist	保护主义者
hydroxylase	羟化酶
hindward	往后的
hindward	往后
hindward	往后地
hindward	往后
intro	的引子
coterminous	相连的
coterminous	相连
coterminous	连接的
coterminous	连接
trumpeter	喇叭手
trumpeter	号兵
savable	可救的
savable	可救
savable	可节省的
savable	可节省
savable	可储蓄的
savable	可储蓄
omniphibious	全能着陆的
omniphibious	全能着陆
ensorcel	迷惑
ensorcel	蛊惑
tonnish	=tonish
mugwump	酋长
skip	跳
skip	蹦
skip	急速改变
skip	跳读
skip	遗漏
skip	跳跃
skip	跳跃
osbert	奥斯伯特
questioner	质问者
questioner	发问者
initio	在之开头
initio	在卷首
gynaecomastia	男子女性型乳房
buckthorn	鼠李科
buckthorn	人心果科属树
extractor	拔取的人
extractor	抽出者
extractor	抽出器
extractor	退弹簧
telangiectasis	毛细管扩张
tumultuous	喧嚣的
tumultuous	喧嚣
cashaw	红南瓜
cashaw	长颈南瓜
idyllist	田园诗人
idyllist	牧歌作者
ebulliometer	沸点测定器
ebulliometer	酒精测量器
cantabrigian	模仿剑桥大学的
cantabrigian	模仿剑桥大学
cantabrigian	模仿英国的
cantabrigian	模仿英国
illogic	不合逻辑
illogic	缺乏逻辑
lecithoid	磷脂的
lecithoid	磷脂
lecithoid	蛋黄素的
lecithoid	蛋黄素
disciplined	受过训练的
disciplined	受过训练
disciplined	遵守纪律的
disciplined	遵守纪律
tacoma	塔科马
blanche	布兰奇
orphanhood	孤儿的身份
orphanhood	孤儿状态
cardiotachometer	心动计数器
cardiotachometer	心率计
reason	理由
reason	原因
reason	动机
reason	理智
reason	前提
reason	说服
reason	推论
reason	辩论
reason	推论
reason	劝说
reason	思考
jcb	作业控制块
encomiastic	赞颂的
encomiastic	赞颂
encomiastic	阿谀的
encomiastic	阿谀
ss	纳粹党卫军
heliogabalus	黑利阿加巴卢斯
caliduct	暖气管
skoal	祝您健康!
skoal	干杯!
productile	可延长的
productile	可延长
productile	可拉长的
productile	可拉长
siallite	硅铝土
marblehearted	冷酷无情的
marblehearted	冷酷无情
marblehearted	铁石心肠的
marblehearted	铁石心肠
spatiography	空间物理学
hermatypic	造礁的
hermatypic	造礁
stableboy	马夫
tupamaro	图帕马罗城市游击队队员
internship	实习医师
internship	实习医师期
circumnutation	回旋运动
html	Hypertext
html	Markup
html	Language
html	超文本链接标示语言
specilization	特别化
specilization	专门化
incorrigibility	难望矫正
exhaustive	无遗漏的
exhaustive	无遗漏
exhaustive	彻底的
exhaustive	彻底
exhaustive	详尽的
exhaustive	详尽
exhaustive	无遗的
exhaustive	无遗
asdic	潜艇探索器
discoverture	无丈夫的人
discoverture	未婚
larmor	precession
larmor	拉莫尔旋进
larmor	拉莫尔进动
kalif	=caliph
exclusive	排外的
exclusive	排外
exclusive	孤高的
exclusive	孤高
exclusive	唯我独尊的
exclusive	唯我独尊
exclusive	独占的
exclusive	独占
exclusive	唯一的
exclusive	唯一
exclusive	高级的
exclusive	高级
karachai	卡拉柴人
karachai	卡拉柴语
ossiferous	含骨化石的
ossiferous	含骨化石
immolate	牺牲
immolate	献出
immolate	献祭
orphean	迷人的
orphean	迷人
hydrogenize	使与氢化合
banco	审判官席
quasimodo	=Low
quasimodo	Sunday
gossip	闲话
gossip	闲谈
promiseful	有希望的
promiseful	有希望
anovulation	停止排卵
zoomy	利用促镜拍摄的
zoomy	利用促镜拍摄
diatribe	恶骂
diatribe	诽谤
kirghizia	吉尔吉斯
araneology	蜘蛛学
demophil	人民之友
snowcraft	冰雪知识
wakeful	不能入睡的
wakeful	不能入睡
wakeful	觉醒的
wakeful	觉醒
pachinko	弹球盘
phonetic	语音的
phonetic	语音
phonetic	语音学的
phonetic	语音学
phonetic	表示语音的
phonetic	表示语音
granular	由小粒而成的
granular	由小粒而成
granular	粒状的
granular	粒状
kanji	日本汉字
cheerioh	=cheerio
stypticity	止血
exultingly	兴高采烈地
exultingly	兴高采烈
exultingly	得意地
exultingly	意
heavily	很重地
heavily	很重
heavily	沉重地
heavily	沉重
cystiform	胞状的
cystiform	胞状
cystiform	囊状的
cystiform	囊状
siphonage	虹吸
cutout	挖剪图画
cutout	终止
cutout	剪切块
cutout	删除部分
unceremonious	随便的
unceremonious	随便
dolores	德洛丽丝
gatekeeper	看门人
allogamy	异花受粉
allogamy	异体受精
octillion	千的九次方
octillion	千的十六次方
shamanize	萨满教化
shamanize	信奉萨满教
ailurophobe	极其讨厌猫的人
thorax	胸
thorax	胸膛
thorax	胸腔
pirineos	=Pyrenees
inherent	固有的
inherent	固有
inherent	内在的
inherent	内在
inherent	与生俱来的
inherent	与生俱来
coagulative	凝结物的
coagulative	凝结物
coagulative	凝固物的
coagulative	凝固物
feverwort	泽兰属植物
twelvemonth	十二个月
twelvemonth	一年
nummular	硬币形的
nummular	硬币形
nummular	圆形的
nummular	圆形
giggly	傻笑的
giggly	傻笑
giggly	吃吃笑的
giggly	吃吃笑
nantz	白兰地酒
racecard	比赛程序单
chancre	下疳
chancre	硬性下疳
genesis	起源
shapable	可成形的
shapable	可成形
shapable	样子好的
shapable	样子好
hrs	hours
assify	愚弄
gestagen	促孕激素
dyke	女子同性恋者
lothsome	=loathsome
hematin	血色素
bather	入浴者
bather	浴疗者
quadrumvir	四人团体中的一员
manageress	女经理
manageress	女管理人
recommendation	推荐
recommendation	介绍
recommendation	劝告
recommendation	建议
multiphoton	多光子的
multiphoton	多光子
dextrane	=dextran
other	其他的
other	其他
other	另外的
other	另外
other	从前的
other	从前
other	pro
other	其他的
other	其他
other	他人
other	另外一个
other	另外地
other	另外
other	不同地
other	不同
adream	梦想的
adream	梦想
adream	做梦的
adream	做梦
reciter	朗诵者
silicify	硅酸化
philosophical	哲学的
philosophical	哲学
concorde	协和式飞机
acoustical	听觉的
acoustical	听觉
acoustical	声学的
acoustical	声学
isohyet	等雨量线
