mis	管理情报系统
acranial	缺颅骨的
acranial	缺颅骨
magnetotelluric	大地电磁的
magnetotelluric	大地电磁
bureaucratist	官僚主义者
nub	小块
nub	瘤
nub	结节
nub	要点
nub	残端
nub	残根
dripping	滴
dripping	滴下
dripping	滴下物
dripping	油滴
begnaw	咬
begnaw	啃
irreparable	不能挽回的
irreparable	不能挽回
acervulus	分生孢子层
conga	康茄舞
conga	其曲子
conga	跳康茄舞
robotization	自动化
robotization	像机器一样地行为
zonate	有环层带的
zonate	有环层带
zonate	有带状斑纹的
zonate	有带状斑纹
thewy	肌肉发达的
thewy	肌肉发达
thewy	有力的
thewy	有力
obstructionist	妨碍者
roband	束帆索
hundredfold	百倍的
hundredfold	百倍
hundredfold	百倍地
hundredfold	百倍
hundredfold	百倍
hundredfold	百重
hepatize	肝样变
hepatize	肝变
irrelative	无关系的
irrelative	无关系
sarcocarcinoma	癌肉瘤
syndactylism	=syndactyly
outisland	附属小岛
outisland	外围岛屿
semitotalitarian	半极权主义的
semitotalitarian	半极权主义
foreshore	前滩
foreshore	海滩
allurement	诱惑物
allurement	魅力
sexagenary	六十岁或六十至七十岁间的人
sexagenary	六十岁的
sexagenary	六十岁
sexagenary	六十岁或六十至七十岁间的
sexagenary	六十岁或六十至七十岁间
dikey	=dykey
cataphoresis	电透法
commandable	可指挥的
commandable	可指挥
earom	electrically
earom	alterable
earom	read
earom	only
earom	memory
earom	电改写只读存储器
limbus	异色边缘
limbus	异组织边缘
stratospheric	同温层的
stratospheric	同温层
pacifically	和平地
pacifically	和平
istana	王宫
unbridled	放肆的
unbridled	放肆
flyness	机智
flyness	敏捷
perique	一种浓黑色的烟草
cuscus	有袋类的一种树上动物
lci	Landing
lci	Craft
lci	Infantry
lci	步兵登陆艇
bunchy	成串的
bunchy	成串
bunchy	束状的
bunchy	束状
crying	叫喊的
crying	叫喊
crying	显著的
crying	显著
crying	嚎哭的
crying	嚎哭
gbh	Grievous
gbh	Bodily
gbh	Harm
gbh	重伤
ausform	形变热处理
swearword	诅骂
swearword	骂人的话
lobed	浅裂的
lobed	浅裂
lobed	叶状的
lobed	叶状
ballistician	弹道学家
pashm	羊绒
tatar	鞑靼人
projection	发射
shove	推挤
shove	猛推
shove	强使
shove	推
convertible	可改变的
convertible	可改变
convertible	自由兑换的
convertible	自由兑换
archean	太古代的
archean	太古代
lowering	使低劣的
lowering	使低劣
lowering	减少体力的
lowering	减少体力
lowering	昏暗的
lowering	昏暗
matronymic	出自母亲或女性祖先的名
matronymic	表示母系的
matronymic	表示母系
matronymic	母姓的
matronymic	母姓
stonemason	石工
stonemason	石匠
ornithine	鸟氨酸
ago	以前的
ago	以前
ago	以往的
ago	以往
gentlemanatarms	国王的侍卫
adulterant	掺杂用的
adulterant	掺杂用
adulterant	掺杂物
unlid	揭开……盖子
splitting	爆裂似的
splitting	爆裂似
splitting	极快的
splitting	极快
necrotize	坏死
hocktide	霍克节
mhl	Master
mhl	of
mhl	Hebrew
mhl	Literature
mhl	希伯来文学硕士
dotterel	一种小鸟
dotterel	易上当受骗的人
endless	无止境的
endless	无止境
endless	无穷的
endless	无穷
vivace	活泼的
vivace	活泼
introrse	内曲的
introrse	内曲
introrse	内向的
introrse	内向
weep	哭
weep	哭泣
weep	滴下
weep	哭泣
weep	流泪
weep	哀悼
weep	滴落
weep	哭着使……
weep	悲叹
weep	滴下
encarta	微软的电子百科全书
sashay	到处走动
sashay	行走
sashay	滑步而舞
sashay	大摇大摆地走
sashay	一种方块舞
sashay	快滑舞步
sashay	远足
inheritress	女继承人
scattergood	大肆挥霍的人
gummite	脂铅铀矿
survivor	生还者
survivor	残存物
mannequin	服装模特儿
mannequin	人体模型
flaky	薄片的
flaky	薄片
flaky	成片的
flaky	成片
flaky	薄而易剥落的
flaky	薄而易剥落
flaky	极古怪的
flaky	极古怪
flaky	与常人不同的
flaky	与常人不同
vip	Very
vip	Important
vip	Person
vip	贵宾
vip	大人物
aparejo	墨西哥风格的皮制荷鞍
briefs	贴身的短内裤
oxidizer	氧化剂
patten	一种西洋套鞋
patten	木鞋
nonchalantly	漠不关心地
nonchalantly	漠不关心
nonchalantly	冷淡地
nonchalantly	冷淡
cliche	陈词滥调
cliche	铅版
cliche	陈腐的
cliche	陈腐
wainable	可耕种的
wainable	可耕种
wainable	可耕作的
wainable	可耕作
unclutter	使整洁
unclutter	整理
tricycle	三轮车
tricycle	机器三轮车
rearrest	重新扣留
polyamide	聚酰胺
ungrudgingly	慷慨地
ungrudgingly	慷慨
ungrudgingly	情愿地
ungrudgingly	情愿
cyder	苹果酒
cyder	苹果汁
isochronize	使成等时
lammister	=lamister
pudency	羞怯
pudency	害羞
factorable	可分解因子的
factorable	可分解因子
nephritis	肾炎
heliconia	海里康属植物
dissective	仔细分析的
dissective	仔细分析
dissective	剖析的
dissective	剖析
kirman	科曼地毯
peculiarize	使变得特别
peculiarize	使变得怪异
peculiarize	使与众不同
fourchette	指叉
fourchette	阴唇小带
cabinetmaking	组阁
tinware	洋铁细工
myrrhic	没药的
myrrhic	没药
myrrhic	没药树树胶脂的
myrrhic	没药树树胶脂
autarkical	经济独立的
autarkical	经济独立
autarkical	自给自足的
autarkical	自给自足
overinspirational	十分鼓舞人心的
overinspirational	十分鼓舞人心
satirical	好讽刺的
satirical	好讽刺
satirical	爱挖苦人的
satirical	爱挖苦人
nomisma	通行的钱币
hardheaded	冷静的
hardheaded	冷静
hardheaded	脚踏实地的
hardheaded	脚踏实
hardheaded	无懈可击的
hardheaded	无懈可击
hardheaded	顽固的
hardheaded	顽固
embankment	堤防
embankment	筑堤
mongol	娘娘腔的男人
mongol	先天愚型病人
mongol	懦夫
mongol	蒙古人
mongol	患先天性白痴的
mongol	患先天性白痴
mongol	Molly
mongol	莫利
megalops	大眼幼体
prevalence	流行
prepayable	可预付的
prepayable	可预付
prepayable	应预付的
prepayable	应预付
peeblesshire	皮布尔斯郡
ceiling	天花板
ceiling	最高限度
belligerency	交战状态
exfacie	从表面看
oddment	碎屑
surfman	擅长在大浪中驾船之人
carolina	卡罗莱纳州
ahistoric	无历史记载的
ahistoric	无历史记载
hogman	养猪人
hogman	猪倌
appraisement	评价
appraisement	估价
burnouse	带有包头巾的呢斗篷
revolutionary	革命的
revolutionary	革命
manipulate	操作
manipulate	巧妙地处理
belsen	贝尔森
partiality	偏爱
rev	一次回转
rev	转速
rev	加快转速
chestnutting	拾栗子
cosiness	舒适
cosiness	安逸
calorifier	水加热器
calorifier	热发生器
search	搜寻
search	查究
search	搜索
search	搜寻
search	探求
search	调查
abomination	憎恨
abomination	厌恶
abomination	可憎的事物
emp	Electro
emp	Magnetic
emp	Pulse
emp	电磁脉冲
emp	Emergency
emp	Management
emp	Port
emp	应急管理端口
semiglobe	半球
semiglobe	半球形
semiglobe	半球结构
chrysotile	温石绒
chrysotile	温石棉
acetophenetidin	乙酰氧乙苯胺
reconvert	恢复故态
epileptic	癫痫的
epileptic	癫痫
epileptic	癫痫性的
epileptic	癫痫性
epileptic	癫痫患者
listing	清单
listing	列表
listing	list的进行时
soniferous	传声的
soniferous	传声
soniferous	发声音的
soniferous	发声音
soniferous	有响声的
soniferous	有响声
semiliquid	半流体
mesembrianthemum	松叶菊
fishbowl	玻璃鱼缸
leaseholder	租赁人
leaseholder	租借人
leaseholder	承租人
nazar	礼物
nazar	贡品
pugmark	野兽的足迹
megadont	巨牙的
megadont	巨牙
zoomancy	动物占卜
inception	起初
inception	获得学位
boot	靴
boot	靴子
boot	导入
reprehend	责备
inexistence	不存在
modello	模型
cajeput	白千层
disturbed	扰乱的
disturbed	扰乱
moorstone	花岗石
dent	凹
dent	凹痕
dent	齿
dent	弱点
dent	使凹下
dent	凹进
dent	削弱
orchidotomy	睾丸切开术
seafowl	海鸟
thermohaline	热盐的
thermohaline	热盐
thermohaline	温盐的
thermohaline	温盐
immoderacy	过度
immoderacy	无节制
marmes	man
marmes	马米斯人
undoubted	无疑的
undoubted	无疑
undoubted	确实的
undoubted	确实
terrella	内部环境与地球表面环境相同的太空舱
inhabitance	=inhabitancy
rhathymia	无忧无虑
rhathymia	安乐的心理
octaroon	=octoroon
econometrician	计量经济学家
indrawing	吸入
indrawing	纳入
mandeville	曼德维尔
whirleybird	=whirlybird
calycoideous	似杯状小体的
calycoideous	似杯状小体
loculate	具隔室的
loculate	具隔室
loculate	分为小腔的
loculate	分为小腔
antarthritic	关节炎治疗剂
antarthritic	治疗关节炎的
antarthritic	治疗关节炎
miscall	叫错……的名字
miscall	误称
legionaire	美国退伍军人协会会员
legionaire	军团的兵士
bullheaded	顽固的
bullheaded	顽固
bullheaded	顽强的
bullheaded	顽强
haggada	哈加达
photomicroscope	显微照相机
tracasserie	烦扰
tracasserie	混乱
tracasserie	忙乱
tracasserie	小争吵
decryptograph	=decrypt
swordman	剑术家
swordman	军人
swordman	剑客
polleniferous	=polliniferous
diffractometry	衍射测量
diffractometry	衍射学
amicable	友善的
amicable	友善
amicable	和平的
amicable	和平
speculator	投机者
ryokan	日本式旅店
weighbridge	地秤
weighbridge	桥秤
weighbridge	称量台
annihilate	消灭
annihilate	歼灭
cerated	上蜡的
cerated	上蜡
cerated	涂蜡的
cerated	涂蜡
stasis	停滞
stasis	郁积
penguin	企鹅
hatable	可恶的
hatable	可恶
hatable	讨厌的
hatable	讨厌
gummose	=gummous
aeroelastic	空气弹性变形的
aeroelastic	空气弹性变形
circummure	为……筑围墙
sweatproof	不透汗水的
sweatproof	不透汗水
sweatproof	防汗的
sweatproof	防汗
spotlight	聚光灯
rightie	=righty
leadership	领导能力
leadership	领导阶层
decent	正派的
decent	正派
decent	端庄的
decent	端庄
decent	有分寸的
decent	有分寸
decent	得体的
decent	体
decent	大方的
decent	大方
decent	相当好的、象样的
decent	相当好的、象样
protean	变化多端的
protean	变化多端
protean	变化无常的
protean	变化无常
distent	膨胀的
distent	膨胀
distent	扩张的
distent	扩张
plasticated	塑炼的
plasticated	塑炼
plasticated	合成的
plasticated	合成
plasticated	人造的
plasticated	人造
misterioso	神秘的
misterioso	神秘
lo	瞧!
lo	看!
lo	Land
lo	Operation
lo	地面作战
reptilian	象爬虫的
reptilian	象爬虫
inclement	险恶的
inclement	险恶
inclement	严酷的
inclement	严酷
sphingid	天蛾
skid	刹车
boulter	粗长钓丝
majolica	意大利产花饰陶器及仿制品
undercliff	副崖
cavalierly	像骑士般地
cavalierly	像骑士般
cavalierly	傲慢地
cavalierly	傲慢
parahydrogen	仲氢
improvably	可改良似地
improvably	可改良似
improvably	可改善似地
improvably	可改善似
doomsday	最后审判日
doomsday	世界末日
indistinct	不清楚的
indistinct	不清楚
indistinct	模糊的
indistinct	模糊
indistinct	朦胧的
indistinct	朦胧
fiasco	惨败
fiasco	大失败
fiasco	可耻的下场
invoke	调用
biweekly	双周的
biweekly	双周
biweekly	半月刊
disbelief	怀疑
formicide	杀蚁剂
formicide	除蚁剂
have	有
have	持有
have	拿
have	从事
have	已经
radiocast	=radiobroadcast
sdmi	Secure
sdmi	Digital
sdmi	Music
sdmi	Initiative
sdmi	数字音乐安全组织
dispirit	使沮丧
dispirit	使气馁
endpaper	书籍卷首及卷尾之空页
mutant	突变异种
croton	巴豆
spelt	斯佩耳特小麦
spelt	spell的过去式及过去分词
gametangium	配子囊
gametangium	接合子囊
pressing	紧迫的
pressing	紧迫
pressing	挤压
psilomelane	硬锰矿
copular	连接的
copular	连接
copular	系动词的
copular	系动词
telephonograph	电话录音机
borofluoride	氟硼酸盐
borofluoride	氟硼酸酯
propyne	丙炔
rosaceous	蔷薇似的
rosaceous	蔷薇似
rosaceous	玫瑰色的
rosaceous	玫瑰色
hegemonic	支配的
hegemonic	支配
hegemonic	霸权的
hegemonic	霸权
camoufleur	伪装专家
satirize	讽刺性描写
repatriation	遣送回国
repatriation	归国
hibernicize	使爱尔兰化
exonumist	准钱币专家
radiotoxin	放射性毒素
retaliatory	报复的
retaliatory	报复
spermatoblast	=spermatid
cornu	角
buckshot	大型铅弹
perplexedly	困窘地
perplexedly	困窘
perplexedly	为难地
perplexedly	为难
creosol	木焦油醇
inurbane	粗野的
inurbane	粗野
inurbane	粗鄙的
inurbane	粗鄙
inurbane	无理的
inurbane	无理
renierite	硫铜锗矿
siogon	等角多边形
bicultural	二元文化的
bicultural	二元文化
bicultural	二元文化的
bicultural	二元文化
bicultural	两种语言的
bicultural	两种语言
undauntable	吓不倒的
undauntable	吓不倒
undauntable	无畏的
undauntable	无畏
undauntable	大胆的
undauntable	大胆
globin	球蛋白
corsair	海盗
corsair	海盗船
yum	极好的
yum	极好
yum	妙的
yum	妙
yum	美味的
yum	美味
yum	滋味好的
yum	滋味好
dicophane	二氯二苯三氯乙烷
dicophane	杀虫剂之一种
privileged	有特权的
privileged	有特权
privileged	有特别恩典的
privileged	有特别恩典
ger	=yurt
airdrop	空投
airdrop	空投
stylograph	笔尖成细小管状的自来水笔
respondent	回答的
respondent	回答
respondent	回答者
osteon	骨单位
gunwale	船舷上缘
silty	淤泥的
silty	淤泥
silty	塞满了淤泥的
silty	塞满了淤泥
apomorphine	阿朴吗啡
apomorphine	脱水吗啡
spelean	=spelaean
crateriform	喷火口状的
crateriform	喷火口状
crateriform	似火山口的
crateriform	似火山口
crateriform	漏斗状的
crateriform	漏斗状
arisings	副产品
arisings	废弃物
arisings	剩余物
uncrowded	不拥挤的
uncrowded	不拥挤
uncrowded	宽敞的
uncrowded	宽敞
voracious	狼吞虎咽的
voracious	狼吞虎咽
voracious	贪婪的
voracious	贪婪
dunedin	达尼丁
stipular	托叶的
stipular	托叶
stipular	有托叶的
stipular	有托叶
stipular	生在托叶上的
stipular	生在托叶上
frustum	平截头体
inexecution	不执行
inexecution	不履行
subdwarf	亚矮星
scarabaei	圣甲虫
scarabaei	甲虫形宝石
scarabaei	金龟子科甲虫
lamplerss	无灯的
lamplerss	无灯
lamplerss	不点灯的
lamplerss	不点灯
hangzhou	杭州
intermodulation	/[礗FLn/
intermodulation	互调
fancily	爱幻想地
fancily	爱幻想
fancily	做作地
fancily	做作
balkanite	巴尔干半岛各国的人
balkanite	巴尔干人
titanomachy	提坦巨神反宙斯战争
onomatology	=onomastics
spitdevil	喷火不倒翁
odyssean	奥德修斯历程的
odyssean	奥德修斯历程
waffle	闲聊
waffle	胡扯
waffle	华夫饼干
waffle	无聊话
waffle	动听而无意义的话
estimation	估计
estimation	预算
estimation	评价
estimation	判断
estimation	尊重
stiffness	坚硬
stiffness	硬度
fistulous	管状的
fistulous	管状
fistulous	中空的
fistulous	中空
fistulous	漏管的
fistulous	漏管
bumbling	装模作样的
bumbling	装模作样
recollect	回忆
recollect	想起
recollect	记起
recollect	忆起
recollect	记得
recollect	记
amide	氨基化合物
neufchatel	法国原产的软白干酪之一种
ic	interchange
ic	高速公路转换出入口
ic	集成电路
ic	指令计数器
concave	凹的
concave	凹
concave	凹入的
concave	凹入
concave	凹
concave	凹面
villi	长茸毛
gynaeceum	闺房
gynaeceum	雌蕊
turkey	火鸡
turkey	无用的东西
turkey	Turkey
turkey	土耳其
carbonara	烤面条加干酪沙司
eyeshade	遮光眼罩
fatherless	无父的
fatherless	无父
apothegm	格言
apothegm	箴言
apothegm	警句
uncompensated	未得补偿的
uncompensated	未得补偿
uncompensated	没有得到赔偿的
uncompensated	没有得到赔偿
levelman	水平仪器操作员
levelman	水平测量员
inconnected	不相干的
inconnected	不相干
unfold	打开
unfold	显露
unfold	开展
unfold	阐明
unfold	伸展
unfold	开花
unfold	呈现
unfold	放出栏
caodaism	高台教教义
torah	律法
torah	圣经旧约之首五卷
oxysulphide	氧硫化物
impetiginous	小脓疹的
impetiginous	小脓疹
impetiginous	像小脓疹的
impetiginous	像小脓疹
bogged	陷于泥沼的
bogged	陷于泥沼
nyctophobia	黑夜恐怖症
ulcerogenic	产生溃疡的
ulcerogenic	产生溃疡
saltando	跳弓地
saltando	跳弓
trispermous	三种子的
trispermous	三种子
informational	报告的
informational	报告
informational	情报的
informational	情报
dareful	大胆的
dareful	大胆
dareful	勇敢的
dareful	勇敢
dareful	鲁莽的
dareful	鲁莽
amm	antimissile
amm	missile
amm	反导弹导弹
birdturd	可鄙的家伙
birdturd	讨厌透顶的人
telesis	目的性利用
mush	软块
mush	多情
mush	碎冰
mush	压碎
mush	控制器失灵
mush	作长途旅行
mush	走!
scm	Single
scm	Chip
scm	Micyoco
scm	单片机
scm	Supply
scm	Chain
scm	Management
scm	供给链管理
impeyan	pheasant棕尾虹雉
malvaceous	锦葵属的
malvaceous	锦葵属
bayard	勇武异常的人
symposiac	讨论会的
symposiac	讨论会
lifeblood	生命必须的血液
lifeblood	活力的源泉
devotee	热爱家
devotee	皈依者
devotee	献身者
hypoendocrinism	内分泌腺功能减退
droplet	小滴
fireflood	火驱
clammily	发粘地
clammily	发粘
clammily	粘粘糊糊地
clammily	粘粘糊糊
urethrectomy	尿道切除术
obsolete	荒废的
obsolete	荒废
obsolete	陈旧的
obsolete	陈旧
obsolete	废词
obsolete	陈腐的人
kktp	king''s
kktp	knight''s
kktp	pawn
kktp	王翼马前兵
begetter	生产者
begetter	父
crispin	鞋匠
uncoded	未编码的
uncoded	未编码
pathway	路
pathway	径
voidable	可使无效的
voidable	可使无效
voidable	得撤销的
voidable	撤销
tread	踏
tread	步态
tread	梯级
tread	踏板
tread	轮胎面
tread	交尾
tread	鞋底
tread	踏
tread	行走
tread	踩碎
tread	践踏
tread	交尾
tread	踩
tread	踏
tread	践踏
tread	跳
qibla	=kibla
skier	滑雪的人
guerrilla	游击战
guerrilla	游击队
conelrad	电磁波辐射控制
congelation	冻结
picayune	西班牙小币
picayune	不值钱东西
picayune	不值钱的
picayune	不值钱
picayune	无聊的
picayune	无聊
recognitory	承认的
recognitory	承认
recognitory	认识的
recognitory	认识
kelt	鲑鱼
jube	祭廊
overdear	过分昂贵的
overdear	过分昂贵
jingoistic	强硬外交政策的
jingoistic	强硬外交政策
jingoistic	侵略分子的
jingoistic	侵略分子
adequacy	适当
adequacy	足够
accordingly	因此
accordingly	从而
scaroid	鹦嘴鱼
sentimental	感伤性的
sentimental	感伤性
sentimental	感情脆弱的
sentimental	感情脆弱
faceless	姓名不祥的
faceless	姓名不祥
faceless	不露面
nitrosoamine	=nitrosamine
markoff	chain
markoff	=Markov
markoff	chain
scarificator	划痕器
beetlebung	山茱萸科大树
iu	international
iu	unit
somnambular	梦游者的
somnambular	梦游者
somnambular	梦游的
somnambular	梦游
sonochemistry	声化学
bloodroot	罂粟科植物
alleviatory	减轻的
alleviatory	减轻
alleviatory	缓解的
alleviatory	缓解
alleviatory	起缓和作用的
alleviatory	起缓和作用
gervais	没加盐的法国软干酪
digitiform	指状的
digitiform	指状
recusal	宣布不合格
recusal	取消资格
staffordshire	斯塔福德郡
jumbal	轮状的薄糖果
bissextile	闰的
bissextile	闰
bissextile	闰年
troublesomely	麻烦地
troublesomely	麻烦
troublesomely	令人苦恼地
troublesomely	令人苦恼
rumanian	罗马尼亚人
rumanian	罗马尼亚文
rumanian	罗马尼亚的
rumanian	罗马尼亚
symbiont	共生有机体
symbiont	共生体
furuncular	疖的
furuncular	疖
furuncular	有疖子特征的
furuncular	有疖子特征
skippable	可跳过的
skippable	可跳过
skippable	可略过的
skippable	可略过
unwise	无智的
unwise	无智
unwise	愚笨的
unwise	愚笨
unwise	轻率的
unwise	轻率
epineurial	神经外膜的
epineurial	神经外膜
epineurial	神经外衣的
epineurial	神经外衣
translationese	翻译文体
translationese	翻译腔
rearrangement	重新整理
semiflexion	半屈
coppersmith	铜匠
coppersmith	铜器制造人
patty	小馅饼
patty	肉饼
greeneland	"格林兰"(与格陵兰
senescent	老了的
senescent	老了
senescent	衰老了的
senescent	衰老了
dulcitol	卫矛醇
dulcitol	己六醇
prone	倾向于
dunam	=donum
mizpah	米士巴
absinthin	苦艾素
crew	全体人员
crew	队
crew	crow的过去式
jaculation	投掷
componential	成分的
componential	成分
componential	与成分有关的
componential	与成分有关
homie	=homey
veriest	十足的
veriest	十足
veriest	完全的
veriest	完全
veriest	真正的
veriest	真正
veriest	极度的
veriest	极度
glycoprotein	糖蛋白类
glycoprotein	醣蛋白
hubbly	多瘤的
hubbly	多瘤
hubbly	多坑的
hubbly	多坑
phosgenite	角铅矿
preterition	省略
philistine	腓力斯人
philistine	仇敌
philistine	俗气的人
philistine	非利士的
philistine	非利士
philistine	俗气的
philistine	俗气
philistine	无教养的
philistine	无教养
imperatival	命令语句的
imperatival	命令语句
imperatival	祈使的
imperatival	祈使
endomorphism	内变质作用
endomorphism	内容现象
tailsitter	立式起落飞机
johannine	使徒约翰的
johannine	使徒约翰
johannine	约翰福音书的
johannine	约翰福音书
helvetii	赫尔维西亚人
crustal	地壳的
crustal	壳
crustal	地球或月球外壳的
crustal	球或月球外壳
pinprick	针刺的孔
pinprick	小孔
pinprick	小烦恼
interregna	休止时间
unpublishable	不可出版的
unpublishable	不可出版
unpublishable	不宜出版的
unpublishable	不宜出版
reproducible	能繁殖的
reproducible	能繁殖
reproducible	可再生的
reproducible	可再生
reproducible	可复写的
reproducible	可复写
improvidence	目光短浅
neocene	新第三纪的
neocene	新第三纪
neocene	新第三纪
thrice	三次
ergodicity	各态历经
ethlyn	埃塞琳
deionization	消电离作用
methyltransferase	转甲基酶
floruit	全盛时期
floruit	在世期
astrolithology	陨石学
vitiate	损害
solate	溶胶化
kangarooing	猎袋鼠
kangarooing	猎袋鼠之方法
lycee	法国的国立高等学校或大学预科
lycee	公立中等学校
mintech	技术部
smattery	点滴的
smattery	点滴
smattery	肤浅的
smattery	肤浅
loadometer	地磅
loadometer	测荷仪
loadometer	轮载测定仪
scornful	轻蔑的
scornful	轻蔑
safrole	黄樟油精
photobiology	光生物学
eudemonics	幸福学
eudemonics	获得幸福之方法
sensitisation	=sensitization
haemocyanin	血蓝质
haemocyanin	血蓝蛋白
worrisome	令人不安的
worrisome	令人不安
thermoelectric	/
thermoelectric	热电的ity/`W\:mEJI9lek/
thermoelectric	热电的
thermoelectric	热电
bend	弯曲
bend	专心于
bend	屈服
bend	弯曲
anicut	水坝
photosensitive	感光性的
photosensitive	感光性
scaldingteass	辛酸泪
involution	卷绕
involution	回旋
jabalpur	贾巴尔普尔
subvene	前来救助
subvene	前来支援
nodulus	小节
temporization	因循
temporization	妥协
lamaze	心理助产法的
lamaze	心理助产法
psychohistorical	从心理学观点撰写历史的
psychohistorical	从心理学观点撰写历史
psychohistorical	心理历史学的
psychohistorical	心理历史学
psychohistorical	历史的心理方面的
psychohistorical	历史的心理方面
carbolic	碳的
carbolic	碳
osteoblast	造骨细胞
phyllite	千枚岩
phyllite	硬绿泥石
relational	亲属的
relational	亲属
relational	相关的
relational	相关
relational	有关的
relational	有关
discus	铁饼
discus	掷铁饼
unruly	不受拘束的
unruly	不受拘束
unruly	不守规矩的
unruly	不守规矩
unruly	蛮横的
unruly	蛮横
unruly	难驾驭的
unruly	难驾驭
gadabout	游荡者
gadabout	游荡的
gadabout	游荡
subumbrella	内伞
dunkerque	=Dunkirk
bruvver	兄弟
consuetude	习俗
consuetude	惯例
brother	兄弟
ida	International
ida	Development
ida	association
ida	国际开发协会
cloacae	下水道
cloacae	阴沟
cloacae	泄殖腔
cloacae	室外小厕所
cloacae	抽水马桶间
cloacae	藏污纳垢之地
cloacae	藏污纳垢之
unlanguaged	讲话不清楚的
unlanguaged	讲话不清楚
synoptical	概略的
synoptical	概略
synoptical	以相同观点叙述的
synoptical	以相同观点叙述
canebrake	藤丛
canebrake	甘蔗丛
canebrake	长满藤或竹的地区
decartelize	非卡特尔化
sample	标本
sample	样品
sample	例子
sample	取样
sample	采样
sample	抽取……的样品
sample	试验的一部分
sample	尝试
flagon	酒壶
flagon	大肚酒瓶
cyberphobia'	NULL)
hathor	哈索尔
simultaneous	同时的
simultaneous	同时
simultaneous	同时发生的
simultaneous	同时发生
circumfluence	环流
circumfluence	回流
viral	滤过性毒菌的
viral	滤过性毒菌
viral	滤过性毒菌引起的
viral	滤过性毒菌引起
idiomorphically	自形地
idiomorphically	自形
idiomorphically	整形地
idiomorphically	整形
disciplinant	苦行者
disciplinant	严于律已者
disciplinant	自笞教教徒
bemoan	哀叹
lugansk	卢甘斯克(苏联乌克兰东部城市伏罗希洛夫格勒
hyperparasitism	重寄生物学
resurrection	复苏
limnaeid	椎实螺
juiced	有汁的
juiced	有汁
juiced	喝醉的
juiced	喝醉
prudentialist	谨慎第一主义者
prudentialist	谨慎小心的人
contractor	订约人
contractor	承包人
disposition	部署
succinylcholine	琥珀酰胆碱
anticlinorium	复背斜
reducer	缩减者
reducer	减压器
reducer	还原剂
neocolonialist	新殖民主义者
neocolonialist	新殖民主义的
neocolonialist	新殖民主义
raveling	被拆散的东西
raveling	纠缠
tellurous	亚碲的
tellurous	亚碲
songster	歌唱家
sitology	营养学
sitology	饮食学
sitology	新建筑选址学
zealously	热心地
zealously	热心
zealously	热情地
zealously	热情
zealously	积极地
zealously	积极
zealously	狂热地
zealously	狂热
nagor	小苇羚
plumbicon	氧化铅摄像管
sylva	=silva
barodynamics	重量力学
demiworld	下流社会
demiworld	下流圈子
offenseless	不惹人的
offenseless	不惹人
offenseless	无攻击力的
offenseless	无攻击力
repandly	残波状地
repandly	残波状
areography	火星的描写
desiccation	干燥
hypnosophy	睡眠学
hypnosophy	睡梦学
stainability	可染性
leanness	瘦
leanness	贫瘠
leanness	缺乏
unencumbered	没有阻碍的
unencumbered	没有阻碍
unencumbered	不受妨碍的
unencumbered	不受妨碍
transfer	迁移
transfer	移动
transfer	传递
transfer	转移
transfer	调任
transfer	转帐
transfer	过户
transfer	转让
transfer	转移
transfer	调转
transfer	调任
transfer	传递
transfer	转让
transfer	改变
transfer	转移
transfer	转学
transfer	换车
sprinkler	洒水车
sprinkler	洒水装置
balloon	气球
lottie	洛蒂
chemoreceptor	化学受体
chemoreceptor	化学感应器
commanddoman	突击队队员
mutton	羊肉
mutton	女性生殖器
mutton	性交
agarose	琼脂糖
lint	绷带用软麻布
afghanistani	阿富汗人
blain	脓疱
blain	水疱
blain	痘
diplomatically	外交上
diplomatically	外交地
diplomatically	外交
thruster	向上钻营的人
thruster	推进器
dyewood	染料木材
dyewood	木本植物染料
incan	印加人的
incan	印加人
rosewood	红木
rosewood	澳洲蔷薇木
trigonometry	三角法
jcc	Junior
jcc	Chamber
jcc	of
jcc	Commerce
jcc	青年商会
implosion	内破裂
implosion	闭塞
barkentine	三桅帆船
diaphorase	心肌黄酶
diaphorase	黄递酶
diaphorase	硫辛酰胺脱氢酶
safen	使安全
safen	以安全剂降低……的毒性
parsonage	牧师住宅
parsonage	圣职薪俸
lipid	脂质
lipid	油脂
socred	Ⅰ
socred	社会信贷党的成员
socred	社会信贷运动的支持者
facecloth	洗脸毛巾
idiosyncracy	特质
hematose	充血的
hematose	充血
hematose	多血的
hematose	多血
arachne	阿拉克尼
methoxide	甲醇盐
methoxide	甲氧基金属
pick	精选
pick	掘
pick	鹤嘴锄
pick	摘
pick	掘
pick	凿
pick	挑选
pick	挖
pick	挑剔
pick	摘
pick	掘
pick	凿
pick	挖
pick	挑选
pick	拾取
necktie	领带
excommunicative	放除的
excommunicative	放除
excommunicative	逐出教会的
excommunicative	逐出教会
seigniory	君主权
seigniory	领主权
seigniory	领地
seigniory	领
seigniory	领土
fatalism	宿命论
rotorcraft	旋翼飞机
incise	切割
incise	雕刻
statesmanly	像政治家的
statesmanly	像政治家
statesmanly	与政治家身份相称的
statesmanly	与政治家身份相称
analgesic	止痛的
analgesic	止痛
analgesic	不痛的
analgesic	不痛
analgesic	止痛剂
disgraceful	可耻的
disgraceful	可耻
disgraceful	不名誉的
disgraceful	不名誉
depilatory	脱毛的
depilatory	脱毛
depilatory	有脱毛作用的
