varioloid	假性天花
enceinte	城廓
enceinte	围廓
enceinte	怀孕的
enceinte	怀孕
limewater	石灰水
jeopardously	危险地
jeopardously	危险
jeopardously	冒险地
jeopardously	冒险
rakehell	浪子
rakehell	放荡者
antisubmarine	对抗潜艇的
antisubmarine	对抗潜艇
tuneup	调整
tuneup	准备
tuneup	预演
cruzan	圣克罗伊
sunbake	沐日光浴的一段时间
imageable	可成像的
imageable	可成像
imageable	能引起意象的
imageable	能引起意象
chimaerism	=chimerism
forbade	forbid的过去式
livability	适于居住性
futile	琐细的
futile	琐细
futile	无用的
futile	无用
futile	无效果的
futile	无效果
futile	没有出息的
futile	没有出息
adusk	在黑暗中的
adusk	在黑暗中
adusk	在黑暗中
pardy	=pardi
almug	檀香树
almug	檀香木
negress	女黑人
height	高度
height	海拔
height	高地
height	高
height	顶点
ramjet	喷气引擎之一种
superinvar	超殷钢
superinvar	超级因瓦铁镍合金
tenter	张布钩
tenter	张布架
thermoelectrometer	`W\:mEJI9lk`trCmItE/
thermoelectrometer	热电计
crossjack	从桅下桁上挂的帆
phonologist	音韵学者
turnhalle	体操学校大楼
lymphatic	含淋巴的
lymphatic	含淋巴
lymphatic	淋巴腺的
lymphatic	淋巴腺
sldram	SyncLink
sldram	DRAM
sldram	同步链接内存
disentangle	解脱
disentangle	解开纠结
disentangle	松开
disentangle	解决
disentangle	解开
disentangle	松开
combinatorics	组合学
combinatorics	组合数学
protectant	杀虫剂
tacheometer	=tachymeter
toile	一种薄麻布
toile	一种棉质印花布
swigger	畅饮者
swigger	牛饮者
decremeter	衰减测量器
villous	覆有一层绒毛的
villous	覆有一层绒毛
villous	覆有长茸毛的
villous	覆有长茸毛
killed	被杀死的
killed	被杀死
killed	断开的
killed	断开
subduplicate	平方根的
subduplicate	平方根
petaurist	鼯鼠
lancers	枪骑兵方块舞
lancers	枪骑兵方块舞曲
hypergol	自燃火箭燃料
souvenir	纪念品
caiquejee	浆手
anguiform	形状或动作像蛇的
anguiform	形状或动作像蛇
transcultural	跨文化的
transcultural	跨文化
transcultural	适合于多种文化的
transcultural	适合于多种文化
transcultural	交叉文化的
transcultural	交叉文化
transcultural	涉及多种文化的
transcultural	涉及多种文化
controller	管理员
controller	控制器
onerous	繁重的
onerous	繁重
onerous	费力的
onerous	费力
onerous	负有法律责任的
onerous	负有法律责任
brownout	警戒灯火管制
brownout	使电灯暗淡
undound	不健全的
undound	不健全
demoiselle	闺女
demoiselle	少女
enhearten	鼓舞
enhearten	使振奋
kanazawa	金泽
bricklaying	砌砖
bricklaying	砌砖工作
cornual	角的
cornual	角
wringer	敲诈者
edt	东区时区
unbendable	不屈不挠的
unbendable	不屈不挠
unbendable	一心一意的
unbendable	一心一意
unbendable	专心致志的
unbendable	专心致志
unbendable	坚定不移的
unbendable	坚定不移
dunemobile	沙丘汽车
lawn	草地
lawn	草
lawn	草坪
lawn	菌苔
sombrero	宽边帽
tank	桶、箱、罐、槽
tank	池塘
tank	坦克
tank	战车
tank	柜
tank	储水池
tank	储于槽中
tank	击败
tank	大量喝酒
screenload	全屏装载
caponette	被注射雌性荷尔蒙的小公鸡
reconquer	再征服
reconquer	夺回
dreamworld	梦样世界
dreamworld	幻想世界
imprudent	轻率的
imprudent	轻率
imprudent	鲁莽的
imprudent	鲁莽
apolune	远月点
gallerygoer	艺术的喜好者
neurite	神经突
norfolk	诺福克
foldaway	折叠式的
foldaway	折叠式
handtruck	手推车
handtruck	手推运货车
grig	爽朗的人
grig	轻松愉快的人
worldly	世间的
worldly	世间
grainer	画木纹者
grainer	画木纹用的刷子
hacky	=hackie
fraudulence	欺诈
fraudulence	欺骗性
rudaceous	砾状的
rudaceous	砾状
rudaceous	砾质的
rudaceous	砾质
railbird	赛马场围栏边看客
lanciform	矛状的
lanciform	矛状
lanciform	标枪状的
lanciform	标枪状
deconsecrate	使不圣洁
deconsecrate	把……改作俗用
mothball	卫生球
mothball	樟脑球
mothball	封存
mothball	后备的
mothball	后备
canescence	灰白色
canescence	灰白绒毛
gasteropodous	=gastropodous
salus	萨卢斯
gliwice	格利维策
revoice	重新表达
revoice	应答
marline	双股细缆
xenomorphic	他形的
xenomorphic	他形
aspermia	射精不能
aspermia	精液缺乏
aspermia	无精虫
respectably	体面地
respectably	体面
orrin	奥林
granulosa	cell粒层细胞
ascend	攀登
ascend	上升
fuzee	耐风火柴
fuzee	红色闪光信号
plowstaff	=ploughstaff
bielorussia	=Byelorussia
scleromyxoedema	硬化性黏液水肿
emaciated	瘦弱的
emaciated	瘦弱
emaciated	衰弱的
emaciated	衰弱
logger	樵夫
logger	圆木装车机
keef	吸毒后的迷糊状态
keef	麻醉品
gheld	昔英国之赋税
defi	挑战
defi	违抗
deratization	消除老鼠
deratization	消灭老鼠
foment	热敷
foment	热罨
foment	煽动
zoftig	丰满的
zoftig	丰满
zoftig	性感的
zoftig	性感
twiggery	细枝
twiggery	嫩枝
dasymeter	气体密度测量器
orthogonal	直角的
orthogonal	直角
orthogonal	直交的
orthogonal	直交
eer	无论何时
eer	曾经
layman	外行
yso	young
yso	stellar
yso	object幼星体
vagrom	流浪的
vagrom	流浪
vagrom	漂泊的
vagrom	漂泊
acidoid	似酸的
acidoid	似酸
acidoid	可能变酸的物质
snit	焦急状态
anteport	外门
hurter	引起损害之人或事物
anticapitalist	反对资本主义的
anticapitalist	反对资本主义
teredo	蛀船虫
raggle	水槽
maglemosian	马格尔莫斯文化的
maglemosian	马格尔莫斯文化
maglemosian	北欧中石器时期文化的
maglemosian	北欧中石器时期文化
kobo	考包
gradational	有等级的
gradational	有等级
gradational	渐次的
gradational	渐次
bifrost	连接天地的彩虹桥
heteroclitical	=heteroclite
unpurposed	非故意的
unpurposed	非故意
unpurposed	无目的的
unpurposed	无目
anaphylactoid	过敏反应的
anaphylactoid	过敏反应
anaphylactoid	有中毒反应的
anaphylactoid	有中毒反应
hippiatrical	马医学的
hippiatrical	马医学
electrokymograph	心脏动态摄影机
tryworks	鲸油提炼炉
tryworks	鲸油提炼厂
diphthong	双重元音
diphthong	双元音字
diphthong	连元音字
lalopathy	言语紊乱
lalopathy	言语病
fgetchar'	NULL)
weichsel	=Wista
sulphuration	硫化
ligniferous	木质的
ligniferous	木质
undock	使出坞
undock	驶离码头
sultanate	伊斯兰教君主的领地
sultanate	伊斯兰教君主的领
sultanate	伊斯兰教君主的地位
alterant	改变的
alterant	改变
miscellaneous	各色各样混在一起
miscellaneous	混杂的
miscellaneous	混杂
miscellaneous	多才多艺的
miscellaneous	多才多艺
teleprocessing	远程处理
ridiculousness	滑稽
ridiculousness	荒谬
uteritis	子宫炎
manslaughter	杀人
manslaughter	一般杀人罪
tinkle	使发清脆的声响
tinkle	丁当地发出
tinkle	丁当作响
genitive	属格的
genitive	属格
genitive	属格
bouquet	花束
tussocky	草丛的
tussocky	草丛
bejabbers	啊讶
bejabbers	糟糕
astraea	阿斯特来亚
oasis	沃洲
oasis	舒适的地方
dobson	水虿
trisect	把……分成三分
trisect	三等分
gueber	=Gheber
statuary	雕象
tallow	牛脂
tallow	动物脂
tallow	涂脂油于
legendize	使传奇化
legendize	使富有传奇色彩
cronyism	任用亲信
comsat	通讯卫星
comsat	通讯卫星公司
worldwide	全世界的
worldwide	全世界
epicureanism	伊比鸠鲁学说
roadblock	障碍
roadblock	障碍物
opprobrious	嘴不干净的
opprobrious	嘴不干净
opprobrious	无礼的
opprobrious	无礼
opprobrious	粗野的
opprobrious	粗野
opprobrious	该骂的
opprobrious	该骂
opprobrious	可耻的
opprobrious	可耻
singultus	呃逆
governor	统治者
governor	管理者
governor	地方长官
governor	主管人员
whirlaway	急速的旋转
whirlaway	飞速的发展
gullywasher	倾盆大雨
gullywasher	大暴雨
medline	联机医学文献分析和检索系统
hydrophone	水中听音器
hydrophone	水诊器
hydrophone	检漏器
thoracostomy	胸廓造口术
stakeout	监视
japura	雅普拉河
woodprint	木版画
aegean	爱琴海的
aegean	爱琴海
aegean	爱琴海
microphage	小噬细胞
nonsyllabic	不成音节的
nonsyllabic	不成音节
nonsyllabic	非音节的
nonsyllabic	非音节
usr	U
usr	S
usr	Robotic
usr	公司
usr	著名的调制解调器制造商
sigillum	符号
sigillum	记号
sigillum	识别符
sigillum	缩写词
jacobethan	詹姆斯一世建筑款式的
jacobethan	詹姆斯一世建筑款式
trebly	三倍地
trebly	三倍
trebly	三重地
trebly	三重
trebly	高声地
trebly	高声
trebly	尖声地
trebly	尖声
sidesplitter	令人捧腹的笑话
sidesplitter	极滑稽的故事
woful	悲伤的
woful	悲伤
woful	不幸的
woful	不幸
jeanette	细斜纹布
jeanette	三页斜纹呢
shah	伊朗王
allow	允许
allow	承认
modification	更改
modification	修改
modification	修正
quinquennial	每五年发生一次的事件
quinquennial	每五年的
quinquennial	每五年
quinquennial	每隔五年发生一次的
quinquennial	每隔五年发生一次
pep	活力
pep	气力
pep	锐气
pep	精力
pep	精神
pep	鼓起精神
pep	激励
pep	个人参股计划
pep	PEP
ween	料想
ween	以为
ween	想
ween	认为
properties	道具
polarizability	极化性
polarizability	极化率
polarizability	极化度
trolleyman	电车司机
trolleyman	电车售票员
laterality	对一侧面的偏重
laterality	偏向一侧状态
cacanny	怠工
cacanny	拖延
ulcerous	溃疡性的
ulcerous	溃疡性
ulcerous	患溃疡的
ulcerous	患溃疡
globulicidal	破坏血球的
globulicidal	破坏血球
planospore	游动孢子
mho	姆欧
opac	Online
opac	Public
opac	Access
opac	Catalog
opac	在线公共访问目录
patio	天井
patio	院子
ecclesiarch	教堂司事
pavulon	巴夫龙
pavulon	溴化双哌雄双酯
zooplasty	动物组织移植术
southernmost	最南的
southernmost	最南
urinate	小便
urinate	撒尿
gingerade	=ginger
gingerade	beer
phytotaxonomy	植物分类学
chubbily	敦实地
chubbily	敦实
chubbily	胖乎乎地
chubbily	胖乎乎
pedodontics	儿童牙科
phycocyanin	藻青蛋白
mitigator	缓和者
fuse	保险丝
fuse	熔丝
fuse	熔合
punter	用篙撑船的人
punter	船夫
gingko	银杏
typical	典型的
typical	典型
typical	象征性的
typical	象征性
immunoreaction	免疫反应
berry	浆果
trouble	烦恼
trouble	麻烦
trouble	动乱
trouble	纠纷
trouble	疾病
trouble	故障
trouble	问题
trouble	烦恼
trouble	麻烦
trouble	打扰
trouble	麻烦自己
trouble	费神
trouble	费心
allargando	逐渐减慢转强的
allargando	逐渐减慢转强
allargando	逐渐减慢转强
expatriate	逐出国外
expatriate	脱离国籍
expatriate	放逐
expatriate	移居国外
expatriate	亡命国外者
propraetor	地方长官
axotomy	轴索显微外科术
electrocorticogram	I`lektrEJR:tIkE^rAm/
electrocorticogram	皮层脑电图
polygynoecial	多雌蕊的
polygynoecial	多雌蕊
roughshod	铁蹄上装有防滑钉的
roughshod	铁蹄上装有防滑钉
medial	中间的
medial	中间
medial	平均的
medial	平均
medial	向中央延伸的
medial	向中央延伸
fascination	魔力
fascination	入迷
fascination	魅力
fascination	迷恋
fascination	强烈爱好
eyewitnesser	见证者的报告
eyewitnesser	目击报导
sebs	southeast
sebs	by
sebs	south
hiawatha	海华沙
cosmine	齿鳞质
shucks	表示不满或歉意时所发的声音
perfectly	极佳地
perfectly	极佳
perfectly	完美的
perfectly	完美
perfectly	很
perfectly	完全
perfectly	完美地
perfectly	完美
oversweet	过甜的
oversweet	过甜
anaphylaxis	过敏性反应
moorland	高沼地
moorland	高沼
frae	从
frae	自
pachouli	=patchouli
uniformity	同样
uniformity	一式
uniformity	一致
uniformity	均匀
pentolite	彭托利特炸药
trunks	中继线
agitative	煽动性的
agitative	煽动性
badger	獾
badger	獾皮毛
badger	迫使
unpardoning	不宽恕的
unpardoning	不宽恕
unpardoning	不原谅的
unpardoning	不原谅
phillida	菲莉达
plight	情况
plight	状态
plight	困境
plight	盟誓
plight	保证
plight	约定
brazilein	氧化巴西木素
jalousie	百叶窗
giaour	邪教徒
giaour	异教徒
wanderingly	徘徊地
wanderingly	徘徊
wanderingly	流浪地
wanderingly	流浪
osteectomy	骨切除术
pointless	无意义的
pointless	无意义
douma	=Duma
cutpurse	小偷
cutpurse	扒手
hygrograph	自动湿度记录计
chloropicrin	三氯硝基甲
gingili	芝麻
gingili	芝麻油
harslet	内脏
harslet	肚杂
illocutionary	语内表现行为的
illocutionary	语内表现行为
jibba	长布袍
ragwort	刘寄奴属植物
papaverine	罂粟碱
sonny	宝贝
sonny	小家伙
frilled	有饰边的
frilled	有饰边
tuberosity	有块茎
tuberosity	块茎状物
tuberosity	结节
threateningly	胁迫地
threateningly	胁迫
threateningly	险恶地
threateningly	险恶
phosphorescence	磷光
kweiyang	见Guiyang
ghanaian	加纳人
ghanaian	加纳的
ghanaian	加纳
rutted	有车辙的
rutted	有车辙
ungenteel	不雅的
ungenteel	不雅
ungenteel	无礼的
ungenteel	无礼
esv	earth
esv	satellite
esv	vehicle人造地球卫星
graustark	格劳斯塔克
pedimeter	=pedometer
coleorhiza	胚根鞘
bre	Bachelor
bre	of
bre	Religious
bre	Education宗教教育学士
broadbrim	宽边帽
broadbrim	戴宽沿帽的人
broadbrim	教友派教徒
montessorian	蒙台梭利教育法采用者
cenogenetic	新性发生的
cenogenetic	新性发生
elevate	举起
elevate	提拔
elevate	振奋
elevate	提升……的职位
roemer	德国锥脚球形酒杯
cockloft	顶楼
cockloft	阁楼
liepaja	利耶帕亚
hyperploid	超倍的
hyperploid	超倍
willable	可以要怎样就怎样的
willable	可以要怎样就怎样
willable	可凭意志决定的
willable	可凭意志决定
eland	大羚羊
unfruitful	不结果实的
unfruitful	不结果实
unfruitful	不生子女的
unfruitful	不生子女
unfruitful	无效果的
unfruitful	无效果
unfruitful	徒然的
unfruitful	徒然
unfruitful	空的
unfruitful	空
positional	位置的
positional	位置
positional	地位的
positional	位
dappled	有斑点的
dappled	有斑点
sclerotized	硬化的
sclerotized	硬化
jacobean	詹姆士一世的
jacobean	詹姆士一世
jacobean	黑橡木色的
jacobean	黑橡木色
jacobean	詹姆士一世时期的
jacobean	詹姆士一世时期
disputable	有讨论余地的
disputable	有讨论余
disputable	真假可疑的
disputable	真假可疑
receival	接受
receival	收到
pointillism	点画法
involucrum	包膜
nihil	无
nihil	虚无
peronist	庇隆的
peronist	庇隆
peronist	庇隆主义的
peronist	庇隆主义
peronist	庇隆主义者的
peronist	庇隆主义者
negativism	否定论
negativism	消极论
negativism	反对癖性
playfield	室外运动场
playfield	球场
reeligible	可重选的
reeligible	可重选
prejudge	预先判断
susurrate	低语
susurrate	沙沙响
susurrate	喃喃低语
adrenalectomize	肾上腺切除
santana	桑塔纳汽车
prostie	=pross
anarthrous	无关节的
anarthrous	无关节
anarthrous	无节足的
anarthrous	无节足
anarthrous	不用冠词的
anarthrous	不用冠词
graunch	发出吱吱嘎嘎的声音
graunch	发出刺耳的声音
graunch	使发出吱吱嘎嘎的声音
collectivity	全体
collectivity	集体
collectivity	总体
too	也
too	太过份
swimsuit	游泳衣
congruence	适合
congruence	一致
congruence	叠合
congruence	全等
congruence	相合性
acton	铠衣
acton	皮铠衣
premillenarian	9pri:
premillenarian	mIlI`nEn/
premillenarian	千禧年前论者/eErIEnIzLm/
premillenarian	=premillennialism
multifoliate	多叶的
multifoliate	多叶
exoterical	=exoteric
linofilm	照相排版机
silesia	西里西亚
urga	库伦(现称乌兰巴托
capsomere	壳粒
capsomere	衣壳粒
petrogram	岩画
instruct	教
instruct	教导
instruct	命令
instruct	指示
instruct	通知
caddice	毛线
epistolic	=epistolary
photoelectrotype	照相电铸版
alidade	照准仪
accessorily	附从地
accessorily	附从
accessorily	附属地
accessorily	附属
dollfaced	娃娃脸的
dollfaced	娃娃脸
oregonian	俄勒冈州的
oregonian	俄勒冈州
oregonian	俄勒冈州人
diphosphoglycerate	/二^lIsEreIt/
diphosphoglycerate	[生涣姿岣视退
brownish	呈褐色的
brownish	呈褐色
spooky	幽灵般的
spooky	幽灵般
spooky	怪异的
spooky	怪异
spooky	神经质的
spooky	神经质
unprized	不被珍视的
unprized	不被珍视
multicolour	多色
multicolour	五彩缤纷的
multicolour	五彩缤纷
interclavicular	锁骨间的
interclavicular	锁骨间
killock	小锚
killock	石锚
exophoria	外隐斜眼
velodrome	室内赛车场
cultural	文化的
cultural	文化
chouse	欺诈
chouse	诈骗
chouse	瞒骗
chouse	欺骗
hellhound	地狱之犬
hellhound	恶鬼
twofer	可半价优待的两张戏票
ultrasecret	极端秘密的
ultrasecret	极端秘密
ultrasecret	高度机密的
ultrasecret	高度机密
rover	流浪者
rover	漫游者
breeches	马裤
breeches	裤子
weeny	微小的
weeny	微小
weeny	细小的
weeny	细小
exhibitionist	倾向自我宣传的人
exhibitionist	裸露症患者
salerno	萨勒诺
quartet	四重奏
quartet	四重唱
quartet	四部合奏曲
settlor	财产增与者
settlor	托管财产者
insemination	授精
insemination	播种
linguistics	语言学
trichinella	旋毛虫
trichinella	旋毛形线虫
abetter	教唆者
abetter	怂恿者
may	可能
may	也许
may	可以
may	祝
may	愿
may	五月
may	能
may	可能
cartopper	可放在汽车顶之小舟
fluorspar	氟石
persuasive	说服者
persuasive	劝诱
persuasive	善说服的
persuasive	善说服
interlinkage	链接
interlinkage	互连
genethliac	生日的
genethliac	生日
megalocephaly	=megacephaly
serai	客店
serai	客栈
dahlia	大丽花属
intubatton	插管
right	正义
right	公正
right	正确
right	权利
right	右边
right	右派
right	正当的
right	正当
right	正确的
right	正确
right	对的
right	对
right	合适的
right	合适
right	恰当的
right	恰当
right	健康的
right	健康
right	健全的
right	健全
right	正面的
right	正面
right	正当地
right	正当
right	正确地
right	正确
right	一直地
right	一直
right	直接地
right	直接
right	完全地
right	完全
right	彻底地
right	彻底
right	在右边
implicity	不怀疑
implicity	不问原因
electrometer	静电计
paginate	标页数
obsequies	葬礼
vacherin	夹心蛋糕
nonpsychotic	非精神病的
nonpsychotic	非精神病
edelweiss	高山
edelweiss	火绒草
unify	统一
unify	使成一体
autotrophy	自养
whiggism	辉格党教义
triquetrous	三角形的
triquetrous	三角形
triquetrous	三面形的
triquetrous	三面形
resolvedly	断然地
resolvedly	断然
newsie	=newsboy
karzy	厕所
karzy	抽水马桶
civility	礼貌
civility	端庄
hesiflation	伴有通货膨胀的踌躇回升
hesiflation	趑趄增长
racily	保持原味地
racily	保持原味
racily	津津有味地
racily	津津有味
racily	爽快地
racily	爽快
racily	生动地
racily	生动
obturator	闭塞物
obturator	密闭装置
develope	发展
develope	揭露
bighorn	大角羊
bighorn	加拿大盘羊
technica	技术性细节
technica	技术
technica	技巧
technica	技能
fatality	命运决定的事物
fatality	不幸
fatality	灾祸
fatality	天命
nectareous	神酒似的
nectareous	神酒似
nectareous	甘美的
nectareous	甘美
uncontrived	未事先计划的
uncontrived	未事先计划
uncontrived	未预谋的
uncontrived	未预谋
differ	不一致
differ	不同
exilian	放逐的
exilian	放逐
exilian	流亡的
exilian	流亡
reexchange	再交换
poco	少
poco	稍
flytable	有垂片或摺叶桌子
flytable	印刷机上承受印就纸张的台面
unhung	unhang
unhung	的过去式和过去分词
ret	浸水使柔软
ret	受潮湿腐烂
notifiable	须申报的
notifiable	须申报
predaceous	捕食生物的
predaceous	捕食生物
predaceous	食肉的
predaceous	食肉
assuror	=assurer
swot	用功读书
swot	用功学习
swot	苦读的人
swot	辛苦的工作
northeasterly	向东北的
northeasterly	向东北
northeasterly	来自东北的
northeasterly	来自东北
northeasterly	在东北地
northeasterly	在东北
albiness	女性白化病人
incipiency	起初
incipiency	发端
yokosuka	横须贺
colonization	殖民地化
colonization	殖民
crystallogram	晶体衍射图
nightglow	夜气辉
photosynthate	光合物
photosynthate	光合作用的产物
grammaticaster	迂腐的语法学家
grammaticaster	低劣的语法学家
adpersonin	从事广告业的人
apartheid	种族隔离
ifip	International
ifip	Federation
ifip	for
ifip	Information
ifip	Processing
ifip	国际信息处理联合会
puzzle	难题
puzzle	谜
puzzle	为难
puzzle	迷惑不解
truncate	截去平截的
truncate	截去平截
truncate	平头的
truncate	平头
abstersive	使洁净的
abstersive	使洁净
abstersive	去垢的
abstersive	去垢
gangplow	复合犁
gangplow	运动犁
tireless	不疲劳的
tireless	不疲劳
biogeny	=biogenesis
liguria	利古里亚区
opulent	富裕的
opulent	富裕
opulent	丰富的
opulent	丰富
opulent	丰饶的
opulent	丰饶
opulent	繁茂的
opulent	繁茂
swimmer	游泳者
bespake	bespeak的过去式
recon	reconnaissance的缩略形式
recon	侦察
robomb	无人飞机
escalator	电动扶梯
escalator	自动扶梯
dipolar	两极性的
dipolar	两极性
dipolar	偶极的
dipolar	偶极
encopresis	大便失禁
standee	站着看的人
standee	站客
midway	中途
midway	半路
midway	中途的
midway	中途
midway	在中途
plenilune	望月
plenilune	满月
plenilune	月满之时
ubiquitously	无所不在地
ubiquitously	无所不在
luing	林岛菜牛
profanity	亵渎
sapindaceous	无患子科的
sapindaceous	无患子科
gothic	哥特式
gothic	哥特式的
gothic	哥特式
gothic	野蛮的
gothic	野蛮
elding	燃料
indomitable	不屈服的
indomitable	不屈服
indomitable	不屈不挠的
indomitable	不屈不挠
caustically	尖刻地
caustically	尖刻
caustically	讥刺地
caustically	讥刺
caustically	挖苦地
caustically	挖苦
timothy	牧草之一种
timothy	Timothy
timothy	蒂莫西
bullwhip	粗而长的鞭
wbc	World
wbc	Boxing
wbc	Council
wbc	世界拳击评议会
kelter	良好状态
kelter	舒服
pulj	=Pula
timberdoodle	林鹬
lethality	致命性
lethality	毁坏性
parellel	并行的
parellel	并行
biauricular	双心耳的
biauricular	双心耳
syllabus	课程提纲
ham	火腿
ham	大腿的后部
ham	大腿及臀部
ham	笨拙的演员
ham	过火的
ham	过火
ham	做作的
ham	做作
ham	演得过火
epiglottic	会厌的
epiglottic	会厌
acceptor	接受者
acceptor	接收器
smogout	烟雾笼罩
smogout	烟雾弥漫
quill	羽茎
quill	大翎毛
quill	刚毛
quill	刺穿
hashigakari	桥廊
rhapsodist	叙事诗朗诵者
rhapsodist	狂文
rhapsodist	狂诗或狂想曲作者
withouten	=without
foofaraw	褶边
foofaraw	华丽的装饰
foofaraw	大惊小怪
invitation	邀请
invitation	招待
zelig	齐利格
cuboidal	立方形的
cuboidal	立方形
cuboidal	骰子形的
cuboidal	骰子形
bohunk	从东欧来的低层无技术工人
terminology	术语学
moveable	可移动的东西
moveable	可移动的
moveable	可移动
moveable	活动的
moveable	活动
pom	砰的一声
pom	发出砰砰声
paperback	平装本
paperback	纸面本
unpersuadable	不能说服的
unpersuadable	不能说服
unattractive	不引人注意的
unattractive	不引人注意
thelma	西尔玛
hydrogenous	氢的
hydrogenous	氢
hydrogenous	含氢的
hydrogenous	含氢
exuberancy	丰富
exuberancy	充沛
mimetic	模仿的
mimetic	模仿
mimetic	好模仿的
mimetic	好模仿
mimetic	类似的
mimetic	类似
colour	颜色
colour	气色
colour	风格
colour	外貌
colour	把……涂颜色
colour	粉饰
colour	脸红
colour	歪曲
colour	变色
anthophagy	食花
inoculator	接种者
inoculator	注射器
inoculator	接种器
bigemony	两国霸权
sacch	=sac
chokecherry	美洲稠李
chokecherry	樱的一种或其果实
cowgate	在公地上放牧一头牛之权利
osa	Order
osa	of
osa	St
osa	Augustine
osa	奥斯定会
manu	摩奴
baas	老板
zircon	锆石
recognizor	担保人
recognizor	具结人
imperturbation	沉着
imperturbation	冷静
samoa	萨摩亚群岛
elder	年长者
elder	老人
elder	父辈
elder	年长的
elder	年长
elder	资格老的
elder	资格老
flankerback	侧翼队员
historical	历史的
historical	历史
historical	有关历史的
historical	有关历史
retting	浸解
retting	沤麻
interabang	=interbang
doctrinairism	空理
doctrinairism	教条主义
doctrinairism	空论
quonset	匡西特活动房屋
facetious	幽默的
facetious	幽默
facetious	滑稽的
facetious	滑稽
facetious	喜开玩笑的
facetious	喜开玩笑
thousandfold	千倍的
thousandfold	千倍
thousandfold	千倍地
thousandfold	千倍
thousandfold	千倍
visceral	内脏的
visceral	内脏
visceral	影响内脏的
visceral	影响内脏
flintstone	燧石
flintstone	打火石
cardcastle	势必倾倒的建筑
cardcastle	即将失败的计划
deutzia	溲疏属植物
aground	搁浅地
aground	搁浅
aground	地面上
gemology	宝石学
hierology	圣典学
hierology	古埃及象形文字的研究
siriasis	日射病
siriasis	中暑
straightbred	纯种的
straightbred	纯种
finest	警察
ectrodactyly	先天性缺指畸形
carve	雕刻
carve	切开
yukata	浴衣
lederhosen	皮短裤
pard	豹
pard	伙伴
neurochemical	影响神经系统的化学物质
crasis	融合
crasis	元音缩合
crasis	二元音的融合
pompeian	庞培的
pompeian	庞培
narrowness	狭小
narrowness	小气
doccia	多西亚瓷器
biogeocoenose	=biogeocoenosis
yestereven	昨晚
yestereven	昨夜
yestereven	在昨晚
camouflage	伪装
camouflage	伪装
sellers	北京赛乐氏科贸有限责任公司
sellers	从事软件为主体的信息产品销售公司
risible	能笑的
risible	能笑
risible	爱笑的
risible	爱笑
risible	可笑的
risible	可笑
risible	滑稽的
risible	滑稽
mischievously	有害地
mischievously	有害
mischievously	淘气地
mischievously	淘气
staggerer	摇晃者
staggerer	犹豫者
dahabeeyah	尼罗河的三角帆客船
soleiform	拖鞋状的
soleiform	拖鞋状
hypothetic	假设的
hypothetic	假设
hypothetic	假定的
hypothetic	假定
chaetopod	毛足动物
introductory	介绍性的
introductory	介绍性
isolantite	陶瓷高频绝缘材料
unearthly	非尘世的
unearthly	非尘世
unearthly	神秘的
unearthly	神秘
unearthly	怪异的
unearthly	怪异
unearthly	理想的
unearthly	理想
anyhow	无论如何
anyhow	总之
gallice	用法语
maccaboy	一种鼻烟
unabsorbed	不全神贯注的
unabsorbed	不全神贯注
unabsorbed	不专注的
unabsorbed	不专注
unabsorbed	不集中注意力的
unabsorbed	不集中注意力
location	位置
location	场所
location	特定区域
location	外景拍摄场地
location	外景拍摄场
profit	利润
profit	益处
profit	得益
profit	得益
profit	利用
profit	有益于
profit	有利于
xanthinin	一种类似尿素的盐基性白色结晶
tow	拖
tow	拖曳所用之绳
tow	麻的粗纤维
tow	拖
tow	曳
tow	牵引
tow	拖行
tow	被拖带
limmasol	=Limassol
minutious	=minutiose
omelet	煎蛋卷
nautch	舞蹈表演
contentious	好争吵的
contentious	好争吵
contentious	争论的
contentious	争论
contentious	有异议的
contentious	有异议
tambourine	小手鼓
ental	内的
ental	内
ental	中央的
ental	中央
diachronic	探求现象变化的
diachronic	探求现象变化
diachronic	历时的
diachronic	历时
coolgardie	safe
coolgardie	保冷食柜
firebug	放火者
firebug	萤火虫
firebug	放火狂
kangting	康定
grandchild	孙子
grandchild	孙女
ecotecture	生态建筑
galeated	盔状突起物
hillsite	位于山顶或山坡之所在
carder	梳刷的人
carder	起毛工人
comprehensibly	使能理解地
comprehensibly	使能理解
comprehensibly	易了解地
comprehensibly	易了解
misprint	印错
misprint	印刷错误
concussive	给与冲击的
concussive	给与冲击
concussive	震荡性的
concussive	震荡性
serially	连续地
serially	连续
serially	连续刊载地
serially	连续刊载
zachary	圣扎迦利
lattermath	再生草
lattermath	再萌草
swell	膨胀
swell	增大
disciplinary	训练的
disciplinary	训练
disciplinary	训诫的
disciplinary	训诫
disciplinary	规律的
disciplinary	规律
coercion	强迫
coercion	威压
coercion	高压政治
ecmnesia	近事遗忘
cadmaean	=Cadmean
conspicuity	=conspicuousness
unrevenged	未报仇的
unrevenged	未报仇
aeolianly	飒飒地
aeolianly	飒飒
aeolianly	悦耳地
aeolianly	悦耳
goop	态度粗野的人
goop	粘糊的东西
fugato	赋风曲
gymnastics	体操
gymnastics	体育
cousin	堂兄弟姊妹
cousin	表兄弟姊妹
soothly	真正地
soothly	真正
soothly	确实地
soothly	确实
soothly	事实上
topmast	中桅
bedstraw	篷子类植物
eatable	可以吃的
eatable	可以吃
eatable	食物
eatable	食品
saltglaze	盐釉
