desoxycorticosterone	=deoxycorticosterone
shame	羞愧
shame	可耻的人
spout	喷管
spout	喷口
spout	水柱
spout	喷流
spout	管口
spout	喷出
spout	滔滔不绝地讲
spout	喷涌
smashing	粉碎性的
smashing	粉碎性
smashing	猛烈的
smashing	猛烈
smashing	了不起的
smashing	了不起
ichthammol	鱼石脂
demiquaver	十六分音符
metonymy	转喻
mungo	再制呢绒
authorship	作者的身份
authorship	著述业
authorship	原创作者
authorship	根源
scarus	鹦嘴鱼
eucaine	优卡因
anthracitic	无烟煤的
anthracitic	无烟煤
anthracitic	似无烟煤的
anthracitic	似无烟煤
semiannually	每半年
dipt	dip的过去式和过去分词
allograph	代书
allograph	代签名
allograph	异形字
supercountry	超级大国
overdrove	overdrive的过去式
carnarvonshire	=Caernarvonshire
raze	夷为平地
raze	夷为平
phrygia	佛里吉亚
caracal	狞獾
caracal	狞獾皮毛
mathsort	数学排序
cynic	愤世嫉俗者
yttric	钇的
yttric	钇
yttric	含钇的
yttric	含钇
foreshorten	透视缩短
foreshorten	节略
foreshorten	省略
ain	自己的
ain	自己
ain	艾因河
ain	Advanced
ain	Intelligent
ain	Network
ain	高级智能网络
turnup	翻起物
turnup	卷起的部分
turnup	被翻起的
turnup	被翻起
turnup	被卷起的
turnup	被卷起
turnup	翘起的
turnup	翘起
stomachache	胃痛
stomachache	肚子痛
xanthoprotein	黄色蛋白
smuttily	淫秽地
smuttily	淫秽
chondroma	软骨瘤
dale	宽谷
dale	溪谷
net	网
net	网络
net	网状物
net	净利
net	实价
net	净余的
net	净余
net	纯粹的
net	纯粹
net	用网捕
net	净赚
net	得到
net	编网
net	Nerwork
net	operations
net	and
net	service
net	centers
net	网络服务商
niggra	老黑
niggra	黑人
herero	赫雷罗族
herero	赫雷罗人
herero	赫雷罗语
juberous	怀疑的
juberous	怀疑
juberous	犹豫的
juberous	犹豫
homey	家庭似的
homey	家庭似
homey	舒适的
homey	舒适
homey	自在的
homey	自在
terminational	末端的
terminational	末端
terminational	终止的
terminational	终止
skymark	显示在天空背景前的物体
kincardinshire	金卡丁郡
measured	标准的
measured	标准
measured	整齐的
measured	整齐
measured	有规则的
measured	有规则
aguti	=agouti
psittacine	Ⅰ
psittacine	鹦鹉的
psittacine	鹦鹉
psittacine	鹦鹉般的
psittacine	鹦鹉般
dispersedness	分散
dispersedness	散开
invaluableners	宝贵
invaluableners	无价
ecumene	世界上有人居住的部份
modelletto	=modello
lingering	延迟的
lingering	延迟
lingering	逗留不去的
lingering	逗留不去
haplosis	减半作用
sexuality	性特征
russify	=Russianize
hairbell	钓钟柳
hairbell	山小菜
retardee	智力迟钝者
uraniferous	含铀的
uraniferous	含铀
instrumentality	手段
safest	safe的最高级
shive	薄型软木塞
shive	面包片
shive	片
bight	曲线
belleek	伯利克陶器皿(一种上有珠光彩釉的薄陶瓷
belleek	亦作
pilch	婴儿外衣
pilch	尿布垫
restricted	受限制的
restricted	受限制
restricted	有限的
restricted	有限
mentholated	含薄荷脑的
mentholated	含薄荷脑
recriminatory	互相责备的
recriminatory	互相责备
recriminatory	反控诉的
recriminatory	反控诉
bouncer	巨大的东西
bouncer	巨人
bouncer	跳跃的人
bouncer	同类中最大者
bouncer	保镖
seminate	播种于
seminate	传播
seminate	散布
cassocked	身着法衣的
cassocked	身着法衣
testability	易测性
clavecin	一种有键乐器
pipal	菩提树
supermolecule	微胞
supermolecule	超分子
neuraxitis	脑炎
neuraxitis	延轴索发炎
teutophil	亲条顿
intrathoracic	胸内的
intrathoracic	胸内
intrathoracic	胸廓内的
intrathoracic	胸廓内
aflutter	飘扬的
aflutter	飘扬
aflutter	激动的
aflutter	激动
aflutter	飘扬
flourishing	繁茂的
flourishing	繁茂
flourishing	繁荣的
flourishing	繁荣
flourishing	欣欣向荣的
flourishing	欣欣向荣
diversity	差异
diversity	多样性
microhenry	微亨
boffin	研究员
boffin	科学工作者
boffin	技术专家
kwangtung	见Guangdong
tomboyish	顽皮的
tomboyish	顽皮
tomboyish	放肆的
tomboyish	放肆
tehsil	=tahsil
breakout	脱逃
breakout	越狱
breakout	突围
galactagogue	催奶剂
galactagogue	催奶的
galactagogue	催奶
cider	苹果酒
teetotaller	禁酒者
teetotaller	禁酒主义者
infiltration	渗透
embolismic	闰的
embolismic	闰
embolismic	栓塞的
embolismic	栓塞
detach	分开
detach	分离
detach	分遣
detach	派遣
sternal	胸骨的
sternal	胸骨
frisure	鬈发发式
frisure	理发
omphali	omphalos的复数
moke	黑人
atoll	环状珊瑚岛
atoll	环礁
alexandra	亚历山德拉
libellant	诽谤者
polyvinylidene	聚偏二乙烯的
polyvinylidene	聚偏二乙烯
reffo	欧洲难民
reffo	欧洲避难者
homunculi	矮子
harmonise	=harmonize
sheena	希娜
joyfully	喜悦地
joyfully	喜悦
joyfully	高兴地
joyfully	高兴
circumrotate	旋转
circumrotate	循环
porcelanic	瓷质的
porcelanic	瓷质
porcelanic	像瓷的
porcelanic	像瓷
diesinker	戳记制作
diesinker	制模工
subdialect	次方言
appendant	附属品
appendant	添加的
appendant	添加
appendant	附属的
appendant	附属
gourdshaped	葫芦状的
gourdshaped	葫芦状
sylvanite	针碲金银矿
estrangedness	疏远
estrangedness	离间
patience	耐性
patience	忍耐
patience	Patience
patience	佩兴斯
desperation	绝望
nonagon	九边形
sideswipe	擦边撞击
ocular	眼睛的
ocular	眼睛
ocular	视觉的
ocular	视觉
ocular	目镜
ocular	眼睛
modernus	现代人
desequestrate	发回归还原主
strutter	高视阔步的人
citrange	枳橙
merlon	城齿
leaver	离开者
leaver	者
groan	呻吟
groan	叹息
groan	呻吟
groan	受折磨
groan	受压迫发出嘎吱声
groan	呻吟着说
autoinfection	自体传染
trichlorfon	三氯磷酸酯
trichlorfon	敌百虫
microhardness	微硬度
microhardness	显微硬度
authorize	批准
scylla	锡拉岩礁
trichology	毛发学
manly	男子气概的
manly	男子气概
manly	果断的
manly	果断
manly	雄赳赳
manly	雄赳赳地
manly	雄赳赳
wrongheaded	判断错误的
wrongheaded	判断错误
wrongheaded	固执的
wrongheaded	固执
wrongheaded	坚持错误的
wrongheaded	坚持错误
portosystemic	门体静脉的
portosystemic	门体静脉
retreat	撤退
retreat	退却
retreat	撤退
retreat	退却
furitless	徒劳的
furitless	徒劳
furitless	不结果实的
furitless	不结果实
furitless	不毛的
furitless	不毛
unbend	不拘泥
superstate	超大国
superstate	极权主义国家
hosta	玉簪属植物
lignitoid	如褐煤的
lignitoid	如褐煤
obdurate	冷酷无情的
obdurate	冷酷无情
obdurate	顽固的
obdurate	顽固
obdurate	执拗的
obdurate	执拗
fossate	有窝的
fossate	有窝
fossate	凹的
fossate	凹
cosmea	大波斯菊
caravel	小吨位轻快帆船
reconsignment	再交付
calligraphist	书法家
schutzstaffel	党卫军
hamite	诺亚次子
hamite	Ham
hamite	的后裔
hamite	哈姆族人
acronymic	关于首字母缩略字的
acronymic	关于首字母缩略字
roomage	空间
minah	=myna
rhododendra	杜鹃花
osmometer	渗压计
fowl	家禽
fowl	禽
fowl	禽肉
fowl	捕野禽
metalaw	星际法
balanceable	平衡的
balanceable	平衡
crustacea	甲壳纲动物
crustacea	a
crustacea	甲壳纲的
crustacea	甲壳纲
inerasable	抹不掉的
inerasable	抹不掉
inerasable	擦不掉的
inerasable	擦不掉
evocable	唤出的
evocable	唤出
evocable	引起的
evocable	引起
evocable	唤起的
evocable	唤起
adenovirus	腺病毒
happenings	事件
happenings	意外发生的事
plankter	构成浮游生物的每一微生物
kg	公斤
kg	Kyrgyzstan
kg	吉尔吉斯斯坦
interassembler	交互式汇编程序
catfish	鲶鱼
inferoanterior	位于下面及前面的
inferoanterior	位于下面及前面
inferoanterior	下前方的
inferoanterior	下前方
hesperinos	晚祷
tythe	=tithe
catchpole	法警
catchpole	执法员
ceroma	搽油间
magian	魔术师
magian	古波斯之祭司
magian	拜火教祭司的
magian	拜火教祭司
inapproachable	难接近的
inapproachable	难接近
inly	在内心中
inly	衷心地
inly	衷心
herpetologist	爬虫学者
phenomenize	=phenomenalize
epicycle	周转圆
bitchery	贱女人的行为
rheumatiz	=rheumatism
benzalacetone	苯亚甲基丙酮
trechometer	行程计
trechometer	轮转计
micrometry	测微法
plumassier	羽毛商
plumassier	羽毛工人
caramelization	生产焦糖
caramelization	变成焦糖
cannulate	将导管插入
ginger	姜
ginger	生姜
ginger	有姜味
ginger	活泼
ginger	元气
ginger	精力
ginger	淡赤黄色～
tympanitis	中耳炎
evaporite	蒸发岩
evaporite	蒸发盐
hypothalamic	丘脑下部的
hypothalamic	丘脑下部
hypothalamic	下丘脑的
hypothalamic	下丘脑
surrejoinder	原告的第二次辩驳
fetishistic	崇拜物神的
fetishistic	崇拜物神
fetishistic	迷信的
fetishistic	迷信
handwheel	手轮
handwheel	驾驶盘
bruit	散播
radiant	发光的
radiant	发光
radiant	辐射的
radiant	辐射
radiant	容光焕发的
radiant	容光焕发
miscolor	=miscolour
killer	杀手
killer	凶手
killer	杀人魔
perlis	玻璃市州
translucid	半透明的
translucid	半透明
machodrama	硬派男子汉电影
machodrama	宣扬大男子气概的戏
mulligrubs	意志消沉
mulligrubs	腹痛
fifi	菲菲
refire	再点燃
refire	重新点燃
hyperadenosis	腺增大
cynology	犬类学
cynology	狗学
cynology	狗的研究
fumade	烟熏鲱鱼
daft	愚蠢的
daft	愚蠢
midgard	尘世
midgard	人世
magnetoelectric	mA^`ni:tEJIktrIk/
magnetoelectric	磁电的//9lek`trIsEtI/
magnetoelectric	磁电
lackwit	笨蛋
lackwit	傻瓜
zipper	拉练
ciceronian	西塞罗的
ciceronian	西塞罗
ciceronian	西塞罗作品的
ciceronian	西塞罗作品
ciceronian	西塞罗修辞风格的
ciceronian	西塞罗修辞风格
ciceronian	雄辩的
ciceronian	雄辩
ciceronian	古典的
ciceronian	古典
ciceronian	有韵律的
ciceronian	有韵律
hypnus	=Hypnos
propaedeutic	预备的
propaedeutic	预备
propaedeutic	基本的
propaedeutic	基本
propaedeutic	入门的
propaedeutic	入门
propaedeutic	预备教育
bestrow	覆盖
hysteresis	滞后作用
hysteresis	磁滞现象
awakening	唤醒的
awakening	唤醒
awakening	激励的
awakening	激励
clearweed	美豆
quantile	分位数
concrescence	愈合
concrescence	合生
allowably	可容许地
allowably	可容许
allowably	不碍事地
allowably	不碍事
eponymist	使得名者
neper	奈培
peddlery	的小贩
whortle	=whortleberry
earthmover	重型推土机
interwind	互卷
interwind	互相盘绕
clamor	喧闹
clamor	叫嚷
clamor	大声的要求
clamor	喧嚷
clamor	大声的要求
laboratorial	实验的
laboratorial	实验
laboratorial	实验室的
laboratorial	实验室
duricrust	硬壳
duricrust	铝铁硅钙壳
nataraja	舞王
nataraja	舞王像
picasso	毕加索
shipside	码头
prolotherapy	增生疗法
heresiarch	异教的创始人
heresiarch	异教首领
gibe	嘲笑
gibe	嘲笑
rheophilic	=rheophil
tricotine	斜纹针织物
superiorly	卓越地
superiorly	卓越
superiorly	超越其他地
superiorly	超越其他
notchy	有凹口的
notchy	有凹口
notchy	有锯齿状的
notchy	有锯齿状
casa	房屋
gooseflesh	鸡皮疙瘩
gooseflesh	起鸡皮疙瘩
chirospasm	手痉挛
lkg	leakage
selenology	月球学
incalescence	渐热
incalescence	温度渐增
peltier	effect
peltier	珀耳帖效应(塞贝克效应
gesamtkunstwerk	总体艺术作品
gesamtkunstwerk	合成艺术作品
galenobismutite	辉铅铋矿
offend	犯罪
offend	冒犯
offend	违反
offend	得罪
offend	使……不愉快
dsl	deep
dsl	scattering
dsl	layer
dsl	深散射层
magdalenian	马格达林期的
magdalenian	马格达林期
endanger	危及
turnaround	回车场
turnaround	转变
turnaround	转向
turnaround	突然好转
anionic	阴离子的
anionic	阴离子
anionic	带负电荷的离子的
anionic	带负电荷的离子
antaeus	安泰
menoschesis	经闭
menoschesis	月经潴留
outshine	比……更亮
outshine	使相形见绌
outshine	胜过
outshine	放光
outshine	照耀
oao	Orbiting
oao	Astronomical
oao	Observatory
organelle	细胞器官
eudiometry	气体检验法
eudiometry	空气纯度测定法
analogical	相似的
analogical	相似
analogical	类推的
analogical	类推
analogical	有相似之处的
analogical	有相似之处
saccharoid	糖状结构的
saccharoid	糖状结构
sclereid	石细胞
sclereid	硬化细胞
abridged	削减的
abridged	削减
abridged	删节的
abridged	删节
kerning	字距调整
aminotriazole	氨基三唑
recelebration	重新庆祝
recelebration	再庆祝
reargument	再争论
reargument	重新辩论
juvenocracy	由年轻人管理的国家
squatter	蹲着的人
squatter	涉水而过
robusticity	粗壮性
howling	嚎叫
myriad	无数
myriad	无数的人或物
myriad	一万
myriad	无数的
myriad	无数
myriad	一万的
myriad	一万
myriad	种种的
myriad	种种
wobegone	悲哀的
wobegone	悲哀
wobegone	忧愁的
wobegone	忧愁
wobegone	寒碜的
wobegone	寒碜
protoplasmic	原形质的
protoplasmic	原形质
silicothermic	硅热的
silicothermic	硅热
imponent	强加者
imponent	强加义务的
imponent	强加义务
belshazzar	伯沙撒
governmental	政府的
governmental	政府
sonsie	幸运的
sonsie	幸运
sonsie	健美的
sonsie	健美
fascicular	成束的
fascicular	成束
fascicular	丛生的
fascicular	丛生
fascicular	簇生的
fascicular	簇生
fascicular	群生的
fascicular	群生
campsite	野营地
campsite	野营
campsite	露营预定地
campsite	露营预定
despondently	沮丧地
despondently	沮丧
despondently	意志消沉地
despondently	意志消沉
astrometeorology	天体气象学
uma	上端内存区
tombouctou	=Timbuktu
gipsy	流浪
berley	欺瞒
berley	愚蠢
berley	撒食
devilfish	大鳐鱼
devilfish	章鱼
limaceous	蛞蝓的
limaceous	蛞蝓
limaceous	像蛞蝓的
limaceous	像蛞蝓
wagnerite	者
rachitic	佝偻病的
rachitic	佝偻病
mukluk	用裘作衬里的长统靴
predial	土地的
predial	土
predial	不动产的
predial	不动产
predial	乡村的
predial	乡村
gerbera	大丁草
histolysis	组织解体
histolysis	组织溶解
breast	胸部
breast	乳房
breast	胸怀
breast	心情
breast	以胸对着
breast	对付
island	岛
island	岛屿
island	岛状物
island	安全岛
island	使成岛状
island	孤立
copyholder	校对助手
copyholder	根据官册享有土地者
craunch	=crunch
telephonable	电话打得到的
telephonable	电话打得到
telephonable	可用电话联系上的
telephonable	可用电话联系上
schul	=shul
vinedresser	修剪葡萄树的人
vinedresser	葡萄园丁
lonicera	忍冬
amphotericin	两性霉素
amphotericin	两性霉素B
orchestrate	编管弦乐曲
toxicology	毒物学
psychoanalyse	给……作精神分析
rhinoplastic	鼻整形术的
rhinoplastic	鼻整形术
undesired	非想望的
undesired	非想望
undesired	不受欢迎的
undesired	不受欢迎
solidly	坚硬地
solidly	坚硬
solidly	稳固地
solidly	稳固
data	datum的复数
data	资料
data	数据
drfeelgood	兴奋剂医师
drfeelgood	老是开出安慰性药方的人
dispossess	霸占
dispossess	剥夺
dispossess	使失去
dispossess	逐出
mountaintop	山顶
musical	音乐的
musical	音乐
musical	悦耳的
musical	悦耳
musical	音乐喜剧
postnatal	出生后的
postnatal	出生后
upc	Universal
upc	Product
upc	Code
upc	通用产品代码
upc	Unit
upc	Production
upc	Costs
upc	单件生产成本
nemathelminth	线虫
disdainfulness	轻蔑
disdainfulness	藐视
gravel	砂砾
gravel	砂砾层
albertine	艾伯丁
ineradicably	不能根除地
ineradicably	不能根除
ineradicably	根深蒂固地
ineradicably	根深蒂固
dovishness	诉诸和平
unruled	不在控制之下的
unruled	不在控制之下
unruled	未加统治的
unruled	未加统治
belgian	比利时人
belgian	比利时的
belgian	比利时
ameliorable	可改善的
ameliorable	可改善
northpaw	右手投手
yokkaichi	四日市
exnihilo	从无
exnihilo	出于无
fadeproof	不褪的
fadeproof	不褪
supralapsarian	9sjU:prElAp`rIEn/
supralapsarian	堕seErIEnIzEm/
supralapsarian	[茁淝霸ざ的//赸堕落前预定论
longaeval	=longeval
buss	接吻
buss	一种帆船
buss	接吻
subcordate	近似心脏形的
subcordate	近似心脏形
reinvestigate	再调查
reinvestigate	重新调查
lungwort	疗肺草属
ifni	伊夫尼
cavea	古罗马剧场的梯形座位
cavea	古罗马之兽笼
misally	作不相称的结合
misally	使不匹配的联姻
anencephalia	无脑畸型
roominess	广阔
sheet	张
sheet	薄片
sheet	被单
sheet	被褥
passeriform	雀形目的
passeriform	雀形目
arrestant	昆虫抑制剂
periarteritis	动脉外膜炎
periarteritis	动脉周炎
cholecystography	胆囊照相术
satin	缎子
satin	假缎
satin	缎纹
satin	绸缎做的
satin	绸缎做
satin	缎子一般的
satin	缎子一般
satin	光滑的
satin	光滑
em	全身长
subimago	亚成虫
swig	痛饮
swig	大喝
swig	满满一口喝下
swig	牛饮
swig	大喝特喝
resthome	养老院
resthome	疗养院
chambray	有条纹或格子花纹的布
woodcutting	木雕的
woodcutting	木雕
woodcutting	伐木的
woodcutting	伐木
woodcutting	伐木
woodcutting	木刻
monocycle	独轮车
andromedotoxin	马醉木毒素
corium	真皮
yare	敏捷的
yare	敏捷
yare	灵敏的
yare	灵敏
lichenification	苔藓样硬化
lichenification	苔藓样硬化斑
stockpile	积蓄
stockpile	库存
stockpile	储蓄
stockpile	贮存
intercom	连络用对讲电话装置
intercom	内部通信联络系统
stylet	短剑
stylet	匕首
stylet	探针
transvestist	男扮女装或女扮男装者
transvestist	易装癖
indict	起诉
indict	控告
indict	指控
indict	告发
illusionary	错觉的
illusionary	错觉
illusionary	幻影的
illusionary	幻影
anti	反对者
anti	反对论者
anti	反对的
anti	反对
disc	圆盘
disc	唱片
disc	灌唱片
keelivine	铅笔
antimechanized	反装甲的
antimechanized	反装甲
farthermost	最远的
farthermost	最远
syllabise	=syllabize
luminescent	发冷光的
luminescent	发冷光
luminescent	发光的
luminescent	发光
lunt	火矩
lunt	冒烟
phytohormone	植物激素
phytohormone	植物生长素
breechclout	土人的腰布
breechclout	短裤
disforest	开伐山林
wrans	Women''s
wrans	Royal
wrans	Australian
wrans	Naval
wrans	Service
wrans	澳大利亚皇家海军妇女服务队
risen	rise的过去分词
risen	升起的
risen	升起
springy	有弹性的
springy	有弹性
springy	泉水多的
springy	泉水多
springy	松软的
springy	松软
springy	轻快的
springy	轻快
homophony	同音异义
homophony	同音歌唱
homophony	同音
belmopan	贝尔莫潘
jfif	JPEG
jfif	File
jfif	Interchange
jfif	Format
jfif	JPEG文件交换格式
secco	干壁绘画法
secco	无伴奏的
secco	无伴奏
secco	简朴的
secco	简朴
cotenancy	共同租地人
cotenancy	同租一屋者
oerlikon	对空速射炮之一种
harmattan	干燥的热风
timeslice	时间片
helle	赫勒
szekesfehervar	塞克希费黑瓦尔
songkok	椭圆形无边帽
hyperlipaemia	血脂过多
hyperlipaemia	高脂血
somniloquence	说梦话
somniloquence	呓语
sousse	苏斯
newspapering	报业
newspapering	新闻业
deduce	推论
deduce	演绎出
collected	收集成的
collected	收集成
collected	冷静的
collected	冷静
collected	镇定的
collected	镇定
skyish	天的
skyish	天
skyish	天空的
skyish	天空
sicilian	西西里岛人
sicilian	西西里岛的
sicilian	西西里岛
sicilian	西西里岛人的
sicilian	西西里岛人
pickproof	防撬窃的
pickproof	防撬窃
strapless	无带的
strapless	无带
strapless	无背带的
strapless	无背带
strapless	无吊带的
strapless	无吊带
wavilness	波浪状
wavilness	起伏
pumpship	小便
variance	不一致
variance	变化
variance	变异
variance	变迁
variance	分歧
variance	不和
sinuatrial	=sinoatrial
sweeper	清扫夫
routinist	事务主义者
routinist	墨守成规者
graduator	分度器
graduator	分度之人
boreen	小巷
germanophobe	憎恶德国的人
wakefield	韦克菲尔德
piscium	Pisces的所有格
fruited	结果实的
fruited	结果实
fruited	加水果调味的
fruited	加水果调味
marguerite	雏菊
national	国家的
national	国家
national	国立的
national	国立
national	民族的
national	民族
rag	抹布
rag	碎屑
rag	石板瓦
rag	破旧衣服
rag	少量
rag	揶揄
rag	戏弄
rag	欺负
rag	喧闹
urothelium	尿道上皮
urothelium	膀胱上皮
glee	欢乐
glee	高兴
subtenure	次承租人的租佃权
suppresser	镇压者
suppresser	禁止者
suppresser	抑制器
fusee	耐风火柴
fusee	引信
eudemonism	幸福说
eudemonism	快乐说
premortuary	葬礼前的
premortuary	葬礼前
premortuary	为葬礼事先准备的
premortuary	为葬礼事先准备
situla	桶状容器
punakha	普那卡
octuple	八倍的
octuple	八倍
octuple	八份的
octuple	八份
octuple	八倍
octuple	使成八倍
marginalist	边际主义的
marginalist	边际主义
puck	恶作剧的小精灵
indexically	索引地
indexically	索引
indexically	像索引排列地
indexically	像索引排列
exterminate	消除
nonproductive	非生产性的
nonproductive	非生产性
nonproductive	对生产无直接关系的
nonproductive	对生产无直接关系
admiringly	钦佩地
admiringly	钦佩
admiringly	羡慕地
admiringly	羡慕
gormand	美食者
amphimictical	两性融合的
amphimictical	两性融合
amphimictical	杂交繁育的
amphimictical	杂交繁育
phallic	生殖器崇拜的
phallic	生殖器崇拜
phallic	阴茎崇拜的
phallic	阴茎崇拜
phallic	生殖器的
phallic	生殖器
phallic	阴茎的
phallic	阴茎
phallic	阴茎状的
phallic	阴茎状
moses	摩西
moses	领导者
moses	立法者
fieldless	没有耕地的
fieldless	没有耕
jg	少尉
recapture	取回
recapture	夺回
recapture	政府对公司超额收益或利润的征收
recapture	拿回
recapture	夺回
recapture	再体验
recapture	政府征收再经历
recapture	再体验
noticeable	显而易见的
noticeable	显而易见
noticeable	值得注意的
noticeable	值得注意
stupor	昏迷
frequentist	频率论者
frequentist	频率论的
frequentist	频率论
isobutene	异丁烯
overtone	泛音
overtone	暗示
overtone	折光的色彩
remotion	移动
remotion	移居
bbc	英国广播公司
foreshot	头馏分
foreshot	酒头
agnation	男系亲属
agnation	宗族关系
deerskin	鹿皮
deerskin	鹿皮制衣服
jirga	族长会议
earthlubber	没有离开过地球的人
earthlubber	未去过太空的人
lemniscate	双纽线
decagonal	十边形的
decagonal	十边形
metastasian	梅塔斯塔齐奥的
metastasian	梅塔斯塔齐奥
metastasian	有梅塔斯塔齐奥作品特色的
metastasian	有梅塔斯塔齐奥作品特色
nola	娜勒
trader	商人
trader	商船
showstopper	因特别精彩而被掌声打断的表演
bierstube	小客栈
bierstube	酒吧间
echocardiogram	心回波图
echocardiogram	超声波心动图
splendent	辉煌的
splendent	辉煌
lodicule	浆片
lodicule	鳞片
guadiana	瓜的亚纳河
eurailpass	欧洲铁路旅行优惠票
sialon	硅铝氧氮聚合材料
electromagnet	电磁石
stumpage	立木
stumpage	未砍伐的树
circulation	循环
circulation	流通
circulation	发行额
copperas	绿矾
dromos	通往地底古墓或古庙的地道
yataghan	弯刀
yataghan	军刀
yataghan	马刀
ownership	所有权
ownership	物主身份
spif	打有公司名称首字母孔眼的邮票
unwritten	未成文的
unwritten	未成文
unwritten	口头的
unwritten	口头
unwritten	没有记录的
unwritten	没有记录
unwritten	不成文的
unwritten	不成文
basketful	一满篮
basketful	一满筐
specialise	专门研究
specialise	深入
pteridosperm	种子蕨
diene	二烯
heyduck	=Haiduk
grosbeak	蜡嘴鸟
grosbeak	雀科
polygonaceous	蓼科的
polygonaceous	蓼科
homogeneous	同类的
homogeneous	同类
homogeneous	相似的
homogeneous	相似
homogeneous	均一的
homogeneous	均一
homogeneous	均匀的
homogeneous	均匀
coaler	运煤船
coaler	煤商
coaler	运煤铁路
northman	北方人
footbinding	缠足
kalendar	时间表
kalendar	日历
volvo	沃尔沃汽车
none	决不
none	毫不
none	pro
none	一个也没有
none	毫无
procrastination	延迟
procrastination	拖延
misline	漏行
thrips	牧草虫
emden	=Embden
arietta	小抒情曲
quadragenarian	四十多岁的
quadragenarian	四十多岁
quadragenarian	四十多岁的人
peeve	忿怒
peeve	麻烦的事物
peeve	怨恨
peeve	触怒
subnitrate	碱式硝酸盐
linguistical	语言上的
linguistical	语言上
linguistical	语言学上的
linguistical	语言学上
batiste	薄织的麻布
unclose	打开
sanguineous	含血的
sanguineous	含血
hemlock	芹叶钩吻
hemlock	从芹叶钩吻制取的毒药
enchilada	以辣椒调味之一种墨西哥菜
garcinia	藤黄属植物
helispot	直升机临时降落场
roundheel	易上钩的女人
roundheel	性行为随便的女人
universalist	普遍主义者
universalist	信普救说者
collided	碰撞
collided	冲突
collided	碰撞
collided	冲突
contrapose	对照
contrapose	针对
venesection	静脉切放血术
tiara	罗马教皇的三重冠
tiara	冠状头饰
cytotech	=cytotechnologist
downtick	低于前盘的股票市场交易
xerophily	适旱性
porrect	伸出的
porrect	伸出
porrect	伸出
fulgent	光辉的
fulgent	光辉
fulgent	灿烂的
fulgent	灿烂
recluse	隐遁的
recluse	隐遁
recluse	寂寞的
recluse	寂寞
recluse	隐遁者
recluse	寂寞者
despondingly	沮丧地
despondingly	沮丧
despondingly	意志消沉地
despondingly	意志消沉
youthen	变得年轻
adjudgment	宣告
adjudgment	审判
mealybug	水蜡虫
mealybug	粉蚧
carburetant	=carburant
escapeway	逃路
escapeway	太平梯
religiosity	笃信宗教
religiosity	虔诚
malison	诅咒
malison	咒骂
haick	长方形布
unentitled	无权利的
unentitled	无权利
unentitled	无资格的
unentitled	无资格
unentitled	不配的
unentitled	不配
unentitled	不相称的
unentitled	不相称
fanegada	凡尼加达
encoffin	装殓
encoffin	把……放入棺材
scandalize	生反感
toshiba	日本东芝公司
kabob	烤肉串
lifesaving	救命的
lifesaving	救命
lifesaving	水难救生的
lifesaving	水难救生
pyrexia	发热
pyrexia	热病
bias	偏见
bias	偏爱
bias	斜线
bias	使存偏见
hank	一束
hank	一卷
hank	使成一卷卷
kebab	烤腌羊肉串
kebab	肉串上的肉块
comfy	舒服的
comfy	舒服
comfy	轻松的
comfy	轻松
epicotyl	上胚轴
uniflorous	开单花的
uniflorous	开单花
uniflorous	有单花的
uniflorous	有单花
quaquversally	向四方倾斜地
quaquversally	向四方倾斜
quaquversally	穹状地
quaquversally	穹状
coster	水果叫卖小贩
sourpuss	讨人嫌的家伙
microbicide	杀微生物剂
microbicide	杀菌剂
mastodont	=mastodon
marhawk	拙劣的猎鹰训练员
cytogenous	细胞发生的
cytogenous	细胞发生
mason	泥瓦匠
mason	用砖瓦砌成
youngster	年青人
youngster	少年
anagram	由颠倒字母顺序而构成的字
homestead	家园
homestead	田产
fictionalist	小说家
vellication	抽筋
sismographic	=seismographic
housebreak	侵入家庭盗取
housebreak	拆屋
duteous	尽职的
duteous	尽职
duteous	忠贞的
duteous	忠贞
duteous	顺从的
duteous	顺从
duteous	贞节的
duteous	贞节
swg	standard
swg	wire
swg	gage
swg	标准线规
slipperwort	=calceolaria
gyve	脚镣
gyve	手铐
gyve	上脚镣
gyve	上手铐
distributary	分流
distributary	支流
hyperopia	远视
apothecium	子囊盘的
apothecium	子囊盘
monopolization	独占
monopolization	专卖
monopolization	垄断
impolicy	失策
impolicy	不当
impolicy	无见识
impolicy	失策之举
impolicy	不当之举
cambria	威尔士的中世纪名称
oom	伯父
oom	叔叔
disentail	除去继承权的限制
rowan	欧洲花楸
rowan	美洲花楸
rowan	花楸浆果
postalcode	邮政编码
egeria	女顾问
aerification	与空气化合
aerification	气化
brunizem	湿草原土
tracking	跟踪
kleenex	克里内克丝面巾纸
vsf	Vertical
vsf	Scanning
vsf	Frequency
vsf	垂直扫描频率
cobnut	大榛子
cobnut	玩榛子的儿童游戏
dichroite	堇青石
labradorean	拉布拉多区的
labradorean	拉布拉多区
mycotrophy	菌根营养
abu	Asian
abu	Broadcast
abu	Union
abu	亚洲广播联盟
jokiness	好开玩笑
jokiness	滑稽
perversity	反常
megascope	显微镜幻灯
kartik	印度历的8月
yup	是
yup	是的
yup	是
fiendish	恶魔似的
fiendish	恶魔似
fiendish	残忍的
fiendish	残忍
fiendish	极坏的
fiendish	极坏
teague	爱尔兰人
request	请求
request	要求
request	请求
request	要求
request	邀请
cleavers	猪殃殃
liefly	愿意地
liefly	愿意
