scholasticism	经院哲学
basenji	巴辛吉
voa	Voice
voa	of
voa	America
voa	美国之音
disinfectant	消毒剂
telegraphist	报务员
telegraphist	电信技士
mosan	莫桑语组
artichoke	朝鲜蓟
colectomy	结肠切除术
midwest	中西部
adverbialize	将一个字或词语变为副词
cytokinesis	细胞浆移动
cytokinesis	原浆移动
djailolo	=Gilolo
brogue	土音粗革皮鞋
sorgo	甜高梁
sorgo	芦粟
nematode	线虫类
nematode	线虫类的
nematode	线虫类
unmolested	没有苦恼的
unmolested	没有苦恼
unmolested	无麻烦的
unmolested	无麻烦
financier	财政家
financier	金融家
financier	欺骗性地从事金融活动
financier	欺骗
financier	骗取
disparity	不一致
disparity	不同
disparity	不等
isoleucine	异亮氨酸
mesopeak	中间层最高温度点
photorecce	=photoreconnaissance
lapidary	宝石商
kirn	收获节
ascent	上升
ascent	提高
ascent	攀登
ascent	上坡路
mase	激射微波
mase	产生并放大微波
sanctify	尊崇
bogbean	=buckbean
pipe	管
pipe	导管
pipe	烟斗
pipe	管乐器
pipe	笛声
pipe	以管输送
pipe	吹哨子
pipe	吹笛
pipe	尖叫
gerund	动名词
chamfron	保护马头前部之盔甲
recomposition	改组
recomposition	改编
recomposition	重写
protomorph	原始形式
swellfish	河豚
studio	画室
studio	照相室
studio	工作室
studio	摄影场
spathic	晶石的
spathic	晶石
spathic	多晶石的
spathic	多晶石
spathic	似晶石的
spathic	似晶石
howrah	豪拉
ventriculoatrial	有关脑室与心房的
ventriculoatrial	有关脑室与心房
turbid	混浊的
turbid	混浊
turbid	不纯的
turbid	不纯
turbid	脏的
turbid	脏
turbid	混乱的
turbid	混乱
turbid	雾重的
turbid	雾重
wavey	雪雁
brutalism	野兽派艺术
fermentive	有发酵力的
fermentive	有发酵力
fermentive	促起发酵的
fermentive	促起发酵
indicter	原告
countervail	补偿
countervail	抵销
countervail	抵销
malfeasance	不正当
malfeasance	不法行为
malfeasance	渎职
brutishly	粗野地
brutishly	粗野
brutishly	残酷地
brutishly	残酷
lienic	脾的
lienic	脾
lienic	脾脏的
lienic	脾脏
polemicize	参加争辩
polemicize	参加辩论
polemicize	发表辩论文
oblivious	遗忘的
oblivious	遗忘
oblivious	忘却的
oblivious	忘却
oblivious	健忘的
oblivious	健忘
unisys	优利系统公司
unisys	美国大型计算机厂商之一
millifarad	毫法
bioresearch	生物学研究
congruously	一致地
congruously	一致
congruously	适合地
congruously	适合
commemoration	纪念
commemoration	纪念会
semiglobular	半球形的
semiglobular	半球形
excrement	排泄物
excrement	大便
circumocular	眼周围的
circumocular	眼周围
noise	喧闹声
noise	噪声
noise	噪音
fasciolet	狭窄的色带
glyceryl	甘油基的
glyceryl	甘油基
id	遗传素质
id	本能冲动
id	身份证
id	标识符
id	Indonesia
id	印度尼西亚
id	身分
id	身份
id	ID
underglaze	釉下的
underglaze	釉下
counterthrust	反击
spatiality	空间性
aneurin	维生素B1
myriameter	一万米
duroc	杜洛克猪
insanitary	不卫生的
insanitary	不卫生
insanitary	有碍健康的
insanitary	有碍健康
acetal	乙缩醛
acetal	乙缩醛二乙醇
anadama	bread酵母面包
obscurantism	蒙昧主义
obscurantism	反开化论
obscurantism	文盲政策
thoraces	胸膛
thoraces	胸部
antheridium	雄器的
antheridium	雄器
antheridium	造精器的
antheridium	造精器
infusible	不熔化的
infusible	不熔化
infusible	不熔化性的
infusible	不熔化性
contraption	精巧的设计
contraption	装置
tourist	旅行者
tourist	旅游者
bruno	布鲁诺
stunted	成长受妨碍的
stunted	成长受妨碍
stunted	矮小的
stunted	矮小
orphan	孤儿
orphan	失去生母的幼小动物
orphan	无双亲的
orphan	无双亲
orphan	孤儿的
orphan	孤儿
orphan	使成孤儿
septuor	=septet
lazzarone	流浪者
lazzarone	乞丐
further	更远的
further	更远
further	更多的
further	更多
further	深一层的
further	深一层
further	促进
further	增进
further	助长
further	更进一步地
further	更进一步
further	更远地
further	更远
further	此外
pindling	极小的
pindling	极小
pindling	纤弱的
pindling	纤弱
shallop	小舟
shallop	轻舟
showily	华丽
gulden	基尔德
coastwise	沿着海岸
coastwise	沿岸
coastwise	近海的
coastwise	近海
coastwise	沿岸的
coastwise	沿岸
tuvalu	图瓦卢
cappelletti	意大利水饺
highball	掺有冰水的威士忌饮料
highball	速度很快的火车
pantologic	百科全论的
pantologic	百科全论
pantologic	人类全部知识的
pantologic	人类全部知识
tycoonate	=shogunate
dinosaur	恐龙
loquacious	多话的
loquacious	多话
loquacious	饶舌的
loquacious	饶舌
loquacious	潺潺的
loquacious	潺潺
heritance	=inheritance
divide	分
divide	划分
divide	分开
divide	隔开
diet	通常所吃的食物
diet	会议
built	build的过去式和过去分词
repel	击退
repel	抵制
repel	使厌恶
repel	使不愉快
oscar	奥斯卡
concision	切割
concision	分离
concision	简洁
southwestern	西南的
southwestern	西南
southwestern	来自西南的
southwestern	来自西南
mcse	Microsoft
mcse	Certified
mcse	Systems
mcse	Engineer
mcse	微软认证系统工程师
serrae	serra的复数
lacustrine	湖泊的
lacustrine	湖泊
lacustrine	湖上的
lacustrine	湖上
downriver	下游的
downriver	下游
downriver	向下游
brachycephalous	=brachycephalic
theopathic	神意感应的
theopathic	神意感应
bunt	顶撞
bunt	推
bunt	打
bunt	顶撞
bunt	短打
philosophist	伪哲学家
philosophist	诡辩家
krain	为Carniola之德文名称
impression	印象
impression	感想
impression	盖印
impression	压痕
memorably	值得纪念的
memorably	值得纪念
memorably	重大的
memorably	重大
memorably	有影响的
memorably	有影响
malmaison	康乃馨的一种
serving	服务
serving	招待
serving	上菜
serving	伺候
oral	口头的
oral	口头
allometric	异速生长的
allometric	异速生长
circumrotation	旋转
circumrotation	循环
garreteer	住在阁楼的人
garreteer	穷作家
garreteer	低级的作者
malik	酋长
solacet	索勒赛特
buncombe	废话
buncombe	空谈
buncombe	演说
odontologist	牙医师
selvagee	束环索
stark	刻板的
stark	刻板
stark	十足的
stark	十足
stark	赤裸的
stark	赤裸
stark	荒凉的
stark	荒凉
stark	完全地
stark	完全
toxicant	有毒物
toxicant	毒药
vestibulocerebellar	前庭小脑的
vestibulocerebellar	前庭小脑
milden	变温和
photon	光子
concho	=concha
leadwort	白花丹属
solenocyte	管细胞
solenocyte	焰细胞
economization	节约
economization	节省
economization	节俭的东西
antifluoridationist	反对往饮用水中加氟化物者
antifluoridationist	反对公共饮用水氟化处理者
rogue	流氓
rogue	无赖
rogue	欺诈
rogue	流浪
rogue	耍无赖
rogue	游手好闲
tautomerism	互变现象
gypsum	石膏肥料
gypsum	施石膏肥料于
gypsum	用石膏处理
goniometric	测角
goniometric	测角计的
goniometric	测角计
lidless	无盖的
lidless	无盖
lidless	无眼脸的
lidless	无眼脸
lidless	注视着
champerty	帮诉
pelviscope	盆腔检查镜
ergate	工蚁
silbo	哨语
reinhabit	再居住于
furbish	擦亮
furbish	恢复
furbish	磨光
feuilletonist	作家
feuilletonist	连载小说作家
feuilletonist	通俗小说作家
loupe	小型放大镜
licentious	放肆的
licentious	放肆
tapis	织锦
tapis	毛毡
stabilise	=stabilize
peregrine	隼
peregrine	外来的
peregrine	外来
peregrine	移住的
peregrine	移住
republicanise	=republicanize
tyrant	暴君
capillaceous	毛状的
capillaceous	毛状
capillaceous	毛细管的
capillaceous	毛细管
archerfish	印度所产之喷水鱼
lysogenize	使溶原化
respond	回答
respond	响应
respond	作出反应
respond	有反应
mesochroic	中肤色的
mesochroic	中肤色
mesochroic	肤色介于白和黑之间的
mesochroic	肤色介于白和黑之间
deoxygenization	去氧
deoxygenization	还原
efs	Encrypted
efs	File
efs	System
efs	加密文件系统
solemn	庄严的
solemn	庄严
solemn	隆重的
solemn	隆重
solemn	严肃的
solemn	严肃
gurkha	廓尔喀族人军队中的尼泊尔族士兵
fontinal	生长在水源或泉水附近的
fontinal	生长在水源或泉水附近
fillister	槽口刨
fillister	用凹刨做的槽
fillister	凹刨
peadeutics	儿童教育学
legation	使者的派遣
legation	公使馆
trainer	训练者
trainer	驯服者
trainer	驯马师
trainer	软运动鞋
domino	骨牌
domino	多米诺骨牌
domino	面具
domino	带面罩及头巾的外衣
somniloquous	说梦话的
somniloquous	说梦话
somniloquous	作呓语的
somniloquous	作呓语
joyswitch	操纵开关
designata	designatum
designata	的复数
guideway	导轨
guideway	导沟
guideway	导槽
purga	拨格风
discommon	据为私有地
discommon	据为私有
discommon	禁止与学生交易
stt	Secure
stt	Transaction
stt	Technology
stt	安全事务技术
peculiarity	特性
peculiarity	怪癖
kiddy	小山羊
luce	一种成鱼
abhorrer	憎恶者
abhorrer	厌恶者
cryptoclastic	隐屑的
cryptoclastic	隐屑
calaverite	碲金矿
individualist	个人主义者
individualist	利己主义者
tisane	=ptisan
sentiency	知觉
sentiency	感觉
gist	要点
gist	要旨
gist	依据
gist	诉讼主因
nhp	h
nhp	p
nhp	nominal
nhp	horsepower
nhp	标称马力
nhp	额定功率
cunctative	迟延的
cunctative	迟延
cunctative	迟缓的
cunctative	迟缓
reillusion	使恢复信念
reillusion	使重抱幻想
tripetalous	三花瓣的
tripetalous	三花瓣
farraginous	杂凑的
farraginous	杂凑
farraginous	杂七杂八的
farraginous	杂七杂八
farraginous	混杂的
farraginous	混杂
hangarage	机库容量
hangarage	机库停放
metamer	条件等色
coxcomb	花花公子
coxcomb	纨绔子弟
coxcomb	鸡冠花
lore	学问
lore	知识
lore	眼光知识
jubilee	50年节
jubilee	大赦年
swingtree	=whiffletree
uglification	使难看
beldame	恶婆
beldame	祖母
unglazed	没有上釉的
unglazed	没有上釉
unglazed	无镶玻璃的
unglazed	无镶玻璃
ratty	象老鼠的
ratty	象老鼠
ratty	破烂的
ratty	破烂
ratty	易怒的
ratty	易怒
aphoxide	三乙撑磷酰胺
thermocurrent	热电流
percussive	敲击的
percussive	敲击
phytoid	植物状的
phytoid	植物状
stanza	节
stanza	演出期
stanza	比赛中的盘
five	五
five	五个
five	五个一组
five	五厘息金的证券
disengagement	脱离
predynastic	王朝统治以前的
predynastic	王朝统治以前
pavonine	孔雀似的
pavonine	孔雀似
pavonine	五彩缤纷的
pavonine	五彩缤纷
stirrer	搅拌器
stirrer	搅拌者
stirrer	搅拌用杓子
compote	煮熟的糖渍水果
compote	果盘
electrotherapeutical	utics/I`lektrEJ9电疗的
electrotherapeutical	utics/I`lektrEJ9电疗
bade	bid的过去式
sharpite	水碳铀矿
heroical	英雄故事诗
heroical	咬文嚼字
heroical	英雄的
heroical	英雄
quadriliteral	包含有四个字母或辅音的
quadriliteral	包含有四个字母或辅音
quadriliteral	包含有四个字母或辅音的字
elberta	埃尔伯塔
pinkie	小手指
auricula	耳螺属软体动物
sage	贤明的
sage	贤明
sage	明智的
sage	明智
sage	审慎的
sage	审慎
sage	贤人
sage	圣人
sage	年高望重的人
galactosemia	半乳糖血
passion	激情
passion	热情
passion	耶稣的受难和死亡
unlifelike	不逼真的
unlifelike	不逼真
patrilineal	父系的
patrilineal	父系
whalemeat	鲸肉
aweless	不威严的
aweless	不威严
aweless	不知畏惧的
aweless	不知畏惧
aweless	大胆的
aweless	大胆
compass	罗盘
compass	指南针
compass	圆规
compass	包围
opsonic	调理素的
opsonic	调理素
contributive	贡献的
contributive	贡献
contributive	出资的
contributive	出资
contributive	有助的
contributive	有助
circumvolve	旋转
oxim	=oxime
britain	英国
hydrogenolysis	氢解作用
hydrogenolysis	破坏加氢
kiwi	几维
kiwi	新西兰人
neomort	新尸体
glutelin	谷蛋白
occidentalism	西方人的特征
detoxifcation	解毒
detoxifcation	去毒
revalue	再评价
buckram	粗硬布
buckram	貌似强硬
codomain	上域
codomain	变程
nrab	National
nrab	Railroad
nrab	Adjustment
nrab	Board
nrab	全国铁道调整局
jacarta	=Djakarta
earthshock	地震
earthshock	地面震动
vaporizable	可蒸发的
vaporizable	可蒸发
blighter	讨厌的家伙
blighter	可厌的家伙
blighter	笨蛋
cortical	皮层的
cortical	皮层
cortical	皮质的
cortical	皮质
cortical	有关脑皮层的
cortical	有关脑皮层
lampwick	灯芯
kirovabad	基洛瓦巴德
uncouple	解开
uncouple	分开
lazarus	拉扎勒斯
lazarus	拉撒路
lazarus	麻疯病患者
aureomycin	金霉素
colombia	哥伦比亚
turbidity	混浊
turbidity	混乱
evase	大口的
evase	大口
evase	喇叭口的
evase	喇叭口
clanship	族阀
clanship	宗族的团结
clanship	内聚力
clanship	氏族制度
narvik	纳尔维克
illuminance	照明
illuminance	启发
ecospecifically	生态种地
ecospecifically	生态种
geologician	地质学者
geologician	地质学家
uninsurable	不可予以保险的
uninsurable	不可予以保险
knuckler	慢速变化球
dundee	敦提
puncheon	短柱
puncheon	支柱
intricate	复杂的
intricate	复杂
intricate	错综的
intricate	错综
intricate	难以理解的
intricate	难以理解
nuaaw	National
nuaaw	Union
nuaaw	of
nuaaw	Agricultural
nuaaw	and
nuaaw	Allied
nuaaw	Workers
nuaaw	全国农业工人工会
dereference'	NULL)
resonant	引起共鸣的
resonant	引起共鸣
cityscape	都市风景
secretion	分泌
secretion	分泌物
squeak	尖叫声
squeak	吱吱声
squeak	机会
squeak	发出尖叫声
waybill	乘客名单
waybill	运货单
antichristian	反对基督的
antichristian	反对基督
antichristian	反对基督的人
stickup	突出的
stickup	突出
stickup	竖领的
stickup	竖领
stickup	粘贴的
stickup	粘贴
stickup	坚起物
stickup	翘器物
stickup	竖领
stickup	强盗
stickup	抢劫者
stickup	粘贴
netminder	=goalkeeper
adamsite	二苯胺氯胂
otranto	Strait
otranto	of
otranto	奥特朗托海峡
tumulus	冢
tumulus	坟墓
tumulus	古墓
tumulus	钟状火山
hiya	你好!
pickaninny	黑人小孩
pickaninny	澳大利亚土著小孩
fogrum	过时的人
fogrum	守旧的人
salariat	薪水阶层
drivable	可驱动的
drivable	可驱动
drivable	可驾驶的
drivable	可驾驶
octoroon	黑人血统有八分之一的混血儿
accomodate	容纳
accomodate	留宿
accomodate	使……适应
appliance	用具
appliance	器具
unrelentingly	无情地
unrelentingly	无情
lathe	车床
lathe	走梭板
lathe	用车床加工
martyrdom	牺牲
martyrdom	殉难
martyrdom	受苦
palmary	杰出的
palmary	杰出
basketball	篮球
basketball	篮球运动
lacquey	仆从
lacquey	侍从
lacquey	走狗
lacquey	谄媚者
perissodactyl	奇蹄动物
udderless	无乳房的
udderless	无乳房
udderless	无乳的
udderless	无乳
hydrography	水文地理学
hydrography	水体或水体在地图上的图示
chlorhexidine	洗必太
chlorhexidine	双氯苯双胍己烷
ottar	=attar
aesculapius	医神
aesculapius	医师
actualism	现实论
actualism	现实主义
submatrix	子阵
courante	库兰特舞
courante	古典组曲的第二乐章
superrealism	超现实主义
bolo	大刀
witching	有魅力的
witching	有魅力
witching	巫术的
witching	巫术
witching	行巫术
witching	魅力
chloromethane	氯甲
bobby	警察
sylviculture	造林术
sylviculture	森林学
postboy	邮差
postboy	马车的左马驭者
unfavorably	不适宜地
unfavorably	不适宜
unfavorably	不利地
unfavorably	不利
widgeon	野鸭
widgeon	赤颈凫
widgeon	水凫
absinthe	苦艾酒
absinthe	苦艾
bookful	足够成一本书的量
bookful	大量
cogitable	可以思考的
cogitable	可以思考
cogitable	可做思考题目的
cogitable	可做思考题目
finless	无鳍的
finless	无鳍
crossbench	中立议员席
crossbench	中立的
crossbench	中立
crossbench	独立的
crossbench	独立
lightheartedly	自由自在地
lightheartedly	自由自在
lightheartedly	无忧无虑地
lightheartedly	无忧无虑
sommelier	斟酒服务员
dichotomist	分成二者
dichotomist	对分者
tardive	迟缓的
tardive	迟缓
marian	圣母玛利亚的
marian	圣母玛利亚
unscratched	未被抓伤的
unscratched	未被抓伤
unscratched	未被撕裂的
unscratched	未被撕裂
asahigawa	旭川
electrically	电力地
electrically	电力
electrically	有关电地
electrically	有关电
flimsiness	脆弱
flimsiness	浅薄
progestational	怀孕前的
progestational	怀孕前
progestational	妊娠前的
progestational	妊娠前
cognoscitive	有察觉力的
cognoscitive	有察觉力
cognoscitive	辨别力的
cognoscitive	辨别力
fieldstone	散石
fieldstone	大卵石
mimir	米密尔
atony	无重音
atony	无重读
parametrize	确定……的参数
parametrize	用参数表示
thrum	指弹
thrum	敲打
thrum	加缨于
thrum	乱弹
thrum	轻敲
thrum	织边
thrum	织余
thrum	线头
thrum	纱头
gastrophrenic	胃与肺的
gastrophrenic	胃与肺
moonfall	登月
weaponry	武器
weaponry	军备
papayaceous	番木瓜科的
papayaceous	番木瓜科
keystoner	美国宾夕法尼州人之绰号
autocoder	自动编码器
necromancer	巫师
nmu	National
nmu	Maritime
nmu	Union
nmu	全国海员工会
defoliate	落叶
sluggard	偷懒者
sluggard	懒鬼
sluggard	游手好闲的人
hyperirritability	应激性过度
hyperirritability	高度过敏
hcj	High
hcj	Court
hcj	of
hcj	Justice
showpiece	展出品
showpiece	样品
anaerobiosis	乏氧生活
anaerobiosis	厌气生活
hygrophilous	生活在水中或湿地的
hygrophilous	生活在水中或湿
hygrophilous	喜湿的
hygrophilous	喜湿
incorporated	组成公司的
incorporated	组成公司
incorporated	合成一体的
incorporated	合成一体
illegible	难辨认的
illegible	难辨认
illegible	字迹模糊的
illegible	字迹模糊
blanket	毯子
blanket	覆盖
joannes	=johannes
quarters	住处
quarters	岗位
localite	本地人
localite	当地居民
jephthah	耶弗他
negativist	否定论者
negativist	消极主义者
expeller	逐出者
expeller	开除者
hyperactive	活动过度的
hyperactive	活动过度
hyperactive	极度活跃的
hyperactive	极度活跃
hyperactive	活动亢进的
hyperactive	活动亢进
karyomitosis	细胞核的有丝分裂
plenipotence	全权
plenipotence	全部权力
scotophobia	暗影恐怖
multimedia	多媒体
multimedia	多媒体的采用
outcry	大声疾呼
kaolin	高岭土
kaolin	瓷土
cathay	中国
ting	铃的响声
ting	丁丁声
ting	发丁丁声
creasote	=creosote
machree	亲爱的人
machree	宝贝儿
amaurosis	黑内障
amaurosis	黑朦
tales	候补陪审员召集令
parol	口头言词
parol	口头的
parol	口头
dormitory	宿舍
tractarian	Oxford
tractarian	运动的
tractarian	运动
tractarian	Oxford
tractarian	运动的一员
essence	基本
essence	本质
essence	香精
evanesce	逐渐看不见
evanesce	消散
mnemotechnic	=mnemonic
diffusibility	可散播性
diffusibility	可传播性
diffusibility	扩散性
scobs	锯屑
overproduce	过度地生产
reinhold	莱因霍尔德
photosensor	光敏元件
photosensor	光敏器件
photosensor	光传感器
photosensor	光电探测器
forby	此外
forby	极好的
forby	极好
drudge	做苦工的人
drudge	干苦力
drudge	做苦工
drudge	强迫做苦工
mew	厩舍
mew	海鸥
mew	换羽毛
mew	鹰笼
mew	巢
mew	隐匿处
mew	把……关进笼子
glycyrrhiza	甘草
acidophil	嗜酸细胞
acidophil	嗜酸的
acidophil	嗜酸
acidophil	嗜酸细胞
acidophil	嗜酸细菌
myasthenia	肌无力
myasthenia	肌肉衰弱
chronologize	按年排列
chronologize	作年表
besides	此外
besides	除……之外
tamarau	黑牛
brahmin	婆罗门
brahmin	教养好的人
stan	斯坦
telepathically	传心术地
telepathically	传心术
telepathically	心灵感应地
telepathically	心灵感应
tl	铊
megagaea	北陆界
widdershins	逆时针地
widdershins	逆时针
widdershins	左向转动地
widdershins	左向转动
semicolumn	半圆柱
panache	羽饰
panache	华丽
collocation	排列
collocation	配置
collocation	词的搭配
paradisaic	=paradisiacal
hoyle	纸牌游戏法
portative	可搬运的
portative	可搬运
portative	易携带的
portative	易携带
portative	有运载能力的
portative	有运载能力
portative	能负载的
portative	能负载
reliability	可靠性
astrophysicist	天体物理学家
equable	变动小的
equable	变动小
equable	平静的
equable	平静
woolen	毛纺的
woolen	毛纺
prebasic	molt大换羽
fuss	忙乱
fuss	大惊小怪
fuss	大惊小怪的人
fuss	忙乱
fuss	大惊小怪
listlessly	无精打采地
listlessly	无精打采
listlessly	冷淡地
listlessly	冷淡
retroactively	逆动地
retroactively	逆动
retroactively	追溯地
retroactively	追溯
bloodstained	血污的
bloodstained	血污
bloodstained	犯杀人罪的
bloodstained	犯杀人罪
jbig	联合双态成像组
lucky	幸运的
lucky	幸运
lucky	吉祥的
lucky	吉祥
lucky	侥幸的
lucky	侥幸
iago	埃古(莎士比亚悲剧
recommittal	再犯
recommittal	再委托
krutch	克鲁奇
mindful	留心的
mindful	留心
mindful	不忘的
mindful	不忘
mindful	留心
intortion	=intorsion
muchness	多量
muchness	大量
ragout	蔬菜炖肉
ragout	将……煮成菜炖肉
pumelo	=pomelo
hypnogogic	=hypnagogic
deviled	蘸了很多芥末的
deviled	蘸了很多芥末
doff	脱
doff	废除
doff	丢弃
nonassessability	除缴投资额外免除任何费用或责任之股份
sudation	出汗
sudation	发汗
hobnail	平头钉
nephelometry	用悬液计测量悬液
weaverbird	织巢鸟之一种
acidify	使酸化
acidify	使成酸
acidify	变酸
warmouth	大口突鳃太阳鱼
recheck	再核对
appropinquity	接近
appropinquity	相连
drat	诅咒
drat	咒骂
dynamical	动力
dynamical	有力量的
dynamical	有力量
pseudoaquatic	假水生的
pseudoaquatic	假水生
pseudoaquatic	生在潮湿地方的
pseudoaquatic	生在潮湿地方
ironweed	菊科斑鸠菊属
shamanism	萨满教
flagger	野生鸢尾花
salung	萨隆
sacramental	天主教之类似圣典礼仪或事物
sacramental	圣礼的
sacramental	圣礼
sacramental	圣典的
sacramental	圣典
poliencephalitis	=polioencephalitis
clandestinely	秘密地
clandestinely	秘密
clandestinely	暗中地
clandestinely	暗中
chabazite	菱沸石
erubescence	变红
erubescence	赧颜
textuary	原文的
textuary	原文
textuary	文本的
textuary	文本
textuary	正文的
textuary	正文
textuary	=textualist
pneumatometer	肺活量计
apomictic	单性生殖的
apomictic	单性生殖
oldowan	奥尔德沃文化的
oldowan	奥尔德沃文化
marshman	沼泽地居民
marshman	在沼泽地谋生的人
aphanite	非显晶岩
aphanite	隐晶岩
polyphyleticism	多源性
chiaroscurist	明暗对照法画家
cemf	counter
cemf	electromotive
cemf	force
cemf	反电动势
destroyer	破坏者
destroyer	起破坏作用的东西
destroyer	驱逐舰
elohist	埃洛希姆派
mammogenic	刺激乳房发育的
mammogenic	刺激乳房发育
mammogenic	刺激乳腺发育的
mammogenic	刺激乳腺发育
cholecystostomy	胆囊造口术
ultraconservatism	9QltrEkEn`s\:vEtIzEm/
ultraconservatism	极端:vEtIv/
ultraconservatism	极端保剩守主义
whacky	怪诞的
whacky	怪诞
whacky	发狂的
whacky	发狂
subereous	软木质的
subereous	软木质
aftersound	余音
aftersound	回音
cheesemonger	干酪商
cheesemonger	干酪店
manse	牧师住宅
cohune	羽状叶棕榈树
cohune	巴西棕
fabaceous	豆科植物的
fabaceous	豆科植物
fabaceous	豆的
fabaceous	豆
fabaceous	豆状的
fabaceous	豆状
fabaceous	蚕豆状的
fabaceous	蚕豆状
muricate	多刺的
muricate	多刺
nihilism	虚无主义
nihilism	极端怀疑论
neckbreaking	=breakneck
stagestruck	迷恋戏剧的
stagestruck	迷恋戏剧
stagestruck	渴望当演员的
stagestruck	渴望当演员
laugh	笑
laugh	讥笑
laugh	笑
laugh	笑声
reechy	恶臭的
reechy	恶臭
reechy	脏的
reechy	脏
reechy	败坏的
reechy	败坏
reechy	污秽的
reechy	污秽
stellulate	小星形的
stellulate	小星形
stellulate	星状花样的
stellulate	星状花样
revivalist	信仰复兴运动者
revivalist	领导宗教复兴运动者
fluvioterrestrial	与地球表面土地及淡水相关的
fluvioterrestrial	与地球表面土地及淡水相关
entwine	盘绕
perspire	出汗
perspire	流汗
perspire	分泌
perspire	渗出
sanctuarize	借助圣所庇护
sanctuarize	以神圣特权庇护
jubilantly	欢欣地
jubilantly	欢欣
jubilantly	喜气洋洋地
jubilantly	喜气洋洋
semmit	贴身内衣
arse	屁股
arse	饭桶
arse	笨蛋
copperize	镀铜
postgraduate	研究所学生
postgraduate	研究生
postgraduate	毕业后的
postgraduate	毕业后
aby	赎
aby	偿
swashy	溅泼的
swashy	溅泼
swashy	湿软的
swashy	湿软
jinni	神灵
jinni	神仙
marsha	玛莎
worrit	烦恼
worrit	焦虑
chick	即将孵出或刚孵出的小鸟
chick	小鸡
bra	乳罩
beautiful	美丽的
beautiful	美丽
beautiful	很好的
beautiful	很好
apron	围裙
apron	外表或作用类似围裙的东西
apron	挡板
apron	护坦
presage	预兆
presage	预示
priapean	=priapic
viscacha	南美产的齿类动物的一种
quipster	喜爱用妙语者
quipster	说讽刺话者
eudaemonism	幸福说
eudaemonism	快乐说
integument	覆盖物
perianth	花被
clunk	沉闷的金属声
clunk	发出沉闷声
cineangiocardiography	心血管活动摄影术
cineangiocardiography	心血管荧光电影照相术
impurely	污染地
impurely	污染
impurely	不纯地
impurely	不纯
yardmeasure	码尺
corinthian	科林斯式
myleran	马勒兰
sonation	发音
saggy	松懈的
saggy	松懈
saggy	下垂的
saggy	下垂
paedagogic	=pedagogic
suilline	猪的
suilline	猪
suilline	猪科的
suilline	猪科
steepy	险峻的
steepy	险峻
ram	公羊
ram	撞锤
ram	猛击
ram	撞
ram	猛击
ram	填塞
ram	灌输
ram	Random
ram	access
ram	memory
ram	随机访问存储器
imposture	欺诈
imposture	冒牌
eyas	雏鹰
eyas	雏鸟
unscared	未受惊吓的
unscared	未受惊吓
unscared	未受胁迫的
unscared	未受胁迫
unscared	吓不倒的
unscared	吓不倒
leptoprosopy	面孔狭窄
anogenital	肛门与生殖器的
anogenital	肛门与生殖器
gelandelaufer	越野滑雪的人
prontosil	百浪多息
chemoautotrophic	化能自养的
chemoautotrophic	化能自养
chemoautotrophic	化学自养的
chemoautotrophic	化学自养
demosthenic	象德摩斯梯尼的
demosthenic	象德摩斯梯尼
demosthenic	雄辩的
demosthenic	雄辩
fraudulent	欺诈的
fraudulent	欺诈
fraudulent	欺骗性的
fraudulent	欺骗性
fraudulent	骗得的
fraudulent	骗
contented	满足的
contented	满足
contented	心安的
contented	心安
andromonoecism	雄花两性花同株
andromonoecism	雄全同株
next	下次的
next	下次
next	其次的
next	其次
next	与……连接
next	下一个
next	下一次
next	其次
overbite	覆咬合
westmost	最西的
westmost	最西
westmost	极西的
westmost	极西
glycogen	肝糖
glycogen	糖原质
nuthatch	五子雀
forefend	防止
forefend	避免
polygenism	多元发生说
newyorican	=Neorican
disposable	可任意使用的
disposable	可任意使用
cutover	树木砍光了的
cutover	树木砍光了
cutover	树木砍光了的原野
fivefold	五倍
anxiolytic	抗焦虑药
disrobe	使脱光
disrobe	脱去衣服
disrobe	脱衣服
disrobe	光着身
geranium	天竺葵
superparasite	复寄生物
superparasite	重寄生物
trilith	巨石牌坊
myceloid	=mycelioid
unshapen	=unshaped
selfdom	个性
selfdom	自我本质
joining	连接
joining	接缝
joining	连接物
cinghalese	=Singhalese
flurazepam	氟胺安定
flurazepam	氟二乙氨乙基安定
involuted	纷乱的
involuted	纷乱
involuted	复杂的
involuted	复杂
involuted	恢复原状的
involuted	恢复原状
circumcentre	外心
circumcentre	外接圆心
policewoman	女警官
policewoman	女警察
oscillogram	示波图
armoring	装甲
armoring	武器
atomise	=atomize
tidewaiter	海关监察员
humbug	欺骗
humbug	欺骗
tortoise	龟
tortoise	迟缓的人
warder	看守
warder	守卫
warder	看门人
warder	典狱官
subcolumnar	略似柱形的
subcolumnar	略似柱形
catholicon	万灵药
catholicon	灵丹妙药
colemouse	=coalmouse
deepish	颇深的
deepish	颇深
halogenate	卤化
armstrong	阿姆斯壮
gules	红色
gules	红色的
gules	红色
scheduled	预定的
scheduled	预定
demolish	毁坏
demolish	破坏
demolish	推翻
demolish	粉碎
lichen	青苔
lichen	地衣
lichen	苔藓
larchwood	落叶松木材
claviform	棒状的
claviform	棒状
volunteer	志愿者
volunteer	志愿兵
volunteer	志愿的
volunteer	志愿
volunteer	义务的
volunteer	义务
volunteer	无偿的
volunteer	无偿
volunteer	自愿
baldachin	织锦
baldachin	华盖
oesophagus	食管
