ovulatory	排卵
reality	真实
reality	事实
reality	本体
reality	逼真
kdc	密钥分配中心
larrikinism	粗暴行为
larrikinism	流氓行径
pleomorphy	=pleomorphism
foursome	四人的一组
foursome	四人对抗赛
foursome	四人做的
foursome	四人做
foursome	由四组成的
foursome	由四组成
painted	描画的
painted	描画
painted	着色的
painted	着色
frescoist	壁画家
ethiop	阿比西尼亚的
ethiop	阿比西尼亚
substantially	充分地
substantially	充分
sacculated	囊状的
sacculated	囊状
sacculated	袋状的
sacculated	袋状
thinner	稀释剂
triptyque	汽车临时入境证
brown	褐色
brown	褐色的
brown	褐色
brown	棕色的
brown	棕色
brown	成褐色
brown	晒黑
dynasticism	王朝的统治
romanize	古罗马化
romanize	用罗马字书写
romanize	vt
romanize	使罗马化
officialese	官样文章
officialese	公文用语
psychoeducational	心理学方法教育的
psychoeducational	心理学方法教育
kinematic	运动学的
kinematic	运动学
kinematic	运动学上的
kinematic	运动学上
explanandum	待解释的词
explanandum	待解释事物
matai	部落酋长
matai	氏族族长
bouffant	张大的
bouffant	张大
bouffant	鼓胀的
bouffant	鼓胀
bouffant	柔软而膨松的
bouffant	柔软而膨松
liturgic	礼拜式的
liturgic	礼拜式
antennae	antenna的复数
antennae	见antenna
pedimentation	山麓夷平作用
pedimentation	宽谷形成过程
grabby	贪婪的
grabby	贪婪
insecurity	不安全
insecurity	不安全感
thwart	横放的
thwart	横放
thwart	反对
thwart	阻碍
thwart	横过
thwart	横过
thwart	横坐板
bolivia	玻利维亚
presider	主席
presider	主持者
intensely	激烈地
intensely	激烈
intensely	热情地
intensely	热情
ides	古罗马历中3月
ides	5月
ides	7月
ides	10月的第15日
ides	其余各月份的第13日
echoplex	回送
thyrsus	Bocchus
thyrsus	的手杖
thyrsus	圆锥花序
esnecy	选择遗产权
anagenesis	进化
philanthropoid	慈善基金会管事
pleurectomy	胸膜切除术
dipetalous	有二花瓣的
dipetalous	有二花瓣
dipetalous	双瓣的
dipetalous	双瓣
uncharmed	不具有粲数的
uncharmed	不具有粲数
unsisterly	不像姐妹的
unsisterly	不像姐妹
unsisterly	和姐妹身份不相称的
unsisterly	和姐妹身份不相称
switchboard	配电盘
switchboard	接线总机
postclassical	古典时期以后的
postclassical	古典时期以后
meningeal	脑膜的
meningeal	脑膜
bihar	比哈尔
depicture	描绘
depicture	描刻画
tribological	摩擦学的
tribological	摩擦学
oligopoly	求过于供的市场情况
pastorship	牧师的教区
pastorship	牧师职
pedagogue	教师
pedagogue	卖弄学问者
didactic	教诲的
didactic	教诲
didactic	说教的
didactic	说教
unmingled	未混合的
unmingled	未混合
unmingled	未搀和的
unmingled	未搀和
unmingled	不搀杂的
unmingled	不搀杂
unmingled	纯的
unmingled	纯
palladous	亚钯的
palladous	亚钯
palladous	二价钯的
palladous	二价钯
palladous	含钯的
palladous	含钯
photocoagulating	`fEJtEJkEJ9A^jJleItIN/
photocoagulating	产生激光凝固的
photocoagulating	产生激光凝固
cleithral	有屋顶的
cleithral	有屋顶
superovulation	排卵过度
superovulation	超数排卵
superovulation	排卵过速
musicology	音乐学
corticotropic	促肾上腺皮质的
corticotropic	促肾上腺皮质
vibrio	弧菌
pinfold	家畜栏
pinfold	关入栏中
expertizer	任专家
expertizer	做专业性判断
emaciate	使憔悴
emaciate	使消瘦
emaciate	消瘦
filiate	使加入
filiate	收作养子
enrage	激怒
mechanoreceptor	机械性刺激感受器
idiotize	使愚蠢
platycephalous	扁头的
platycephalous	扁头
algonquin	阿尔冈琴族
silicize	用硅处理
logomachist	喜爱争执词义者
logomachist	玩弄词藻的舌战者
mescal	麦斯卡尔酒
mescal	威廉斯仙人球
latheman	车床操作工人
latheman	车工
pmo	Principal
pmo	Medical
pmo	Officer
pmo	主治军医
pmo	军医主任
titter	嗤笑
titter	偷笑
titter	窃笑
titter	傻笑
titter	吃吃地笑
titter	偷笑
lambwool	羔羊毛纱
flabelliform	扇状的
flabelliform	扇状
flabelliform	扇形的
flabelliform	扇形
proudhearted	骄傲的
proudhearted	骄傲
proudhearted	傲慢的
proudhearted	傲慢
rutherfordium	?
itchy	使人发痒的
itchy	使人发痒
semifeudal	半封建的
semifeudal	半封建
urolithiasis	尿石病
urolithiasis	尿石形成
turgidity	肿胀
turgidity	浮肿
turgidity	浮夸
acrita	最下等动物
ringlike	似环的
ringlike	似环
ringlike	环状的
ringlike	环状
nulliparity	从未生育过的人
nulliparity	未产妇
cardiff	加的夫
unipotent	单能性的
unipotent	单能性
copper	铜
copper	警察
vivavoce	用口头的
vivavoce	用口头
vivavoce	做出声音
vivavoce	用口头
vivavoce	口试
implicitly	含蓄地
implicitly	含蓄
implicitly	暗中地
implicitly	暗中
signalman	信号工
bespattered	溅污的
bespattered	溅污
heliotypy	珂罗版印刷
octroi	货物入市税
octroi	入市税征收处
pctools	电脑工具软件
glazing	玻璃装配业
glazing	玻璃窗
glazing	上釉
glazing	上光
aura	气氛
aura	气味
aura	光环
aura	先兆
aura	预感
misthink	想错
misthink	认为不好
misthink	认为……不好
hylicist	物质论者
widish	稍宽的
widish	稍宽
resht	雷什特
cheaply	便宜地
cheaply	便宜
agreeableness	适合
agreeableness	一致
agreeableness	令人愉快的
agreeableness	令人愉快
leucite	白榴石
nobility	高贵
protectionist	保护贸易论者
protectionist	保护贸易论的
protectionist	保护贸易论
reorientation	再定位
rustproof	不锈的
rustproof	不锈
rustproof	使不生锈
connexity	连通性
ugh	啊
ugh	唷
hellgramite	翅虫的幼虫
treadle	踏木
treadle	踏板
treadle	踏动踏板
treadle	开动
treadle	踩踏板操作
ontologic	本体论的
ontologic	本体论
ontologic	实体论的
ontologic	实体论
libertinage	放荡
libertinage	自由观点
tracker	追踪者
tracker	追踪系统
tracker	纤夫
esro	European
esro	Space
esro	Research
esro	Organization欧洲航天研究组织
hexahemeron	=hexaemeron
osculum	排水孔
osculum	吸附器官
osculum	吸盘
standoffishness	冷淡
terminableness	可终止
terminableness	有期限
bought	buy的过去式和过去分词
bought	买来的
bought	买来
sau	分
spermine	精胺
spermine	精素
hutu	=Bahutu
patriarchal	家长的
patriarchal	家长
patriarchal	族长的
patriarchal	族长
knife	刀
knife	餐刀
womaniser	=womanizer
stemmata	家谱
stemmata	血统
candescent	白热的
candescent	白热
equivocate	说模棱两可的话
equivocate	支吾
sedulity	勤勉
sedulity	勤奋
sulfide	硫化物
commandeer	征募
commandeer	霸占
interracial	人种间的
interracial	人种间
interracial	人种混合的
interracial	人种混合
geotactic	趋地性的
geotactic	趋地性
darpa	Defense
darpa	Advanced
darpa	Research
darpa	Projects
darpa	Agency
darpa	防御远景研究规划局
bushranger	丛林居民
bushranger	以丛林为藏身之地的逃犯
proctoscope	直肠镜
indeterminacy	不确定
indeterminacy	不明确
apostrophe	省略符号
apostrophe	呼语
cartulary	特许权登录簿
cartulary	房地产契据册
cartulary	档案保管处
exarteritis	动脉外膜炎
dishallow	亵渎
dishallow	玷污
lignocellulose	木质纤维素
bolograph	测辐射热仪的记录
sittang	锡唐河
carbonise	=carbonize
cloakroom	行李站暂存处
cloakroom	盥洗室
cloakroom	便所
rheometry	电流测定
stylistically	在文体上
centrifuge	离心分离机
shortness	短缺
preplan	预先计划
deluge	洪水
deluge	豪雨
deluge	使泛滥
deluge	淹
deluge	浸
deluge	压倒
pervicacious	极固执的
pervicacious	极固执
pervicacious	极任性的
pervicacious	极任性
virtual	虚的
virtual	虚
virtual	实质的
virtual	实质
virtual	有效的
virtual	有效
virtual	事实上的
virtual	事实上
paleopedology	古土壤学
thaw	解冻
wing	翅
wing	翅膀
wing	翼
wing	飞翔
wing	机翼
wing	派别
wing	装以翼
wing	飞过
wing	使飞
wing	空运
wing	增加……速度
wing	飞
wing	飞行
endotesta	内种皮
praefect	长官
praefect	提督
kodacolor	柯达彩色胶片
gelatin	凝胶
gelatin	白明胶
unbooked	未预订的
unbooked	未预订
unbooked	未预约的
unbooked	未预约
romish	天主教的
romish	天主教
complementizer	补语化成分
arcticalpine	高寒的
arcticalpine	高寒
gibbosity	突起
forejudge	预断
forejudge	臆断
forejudge	推断
forejudge	驱逐
somniloquy	说梦话
anuria	无尿
anuria	无尿症
accentuator	着重者
accentuator	强调者
rainwear	防水衣
rainwear	雨衣
tetrafunctional	四功能化合物的
tetrafunctional	四功能化合物
servingman	男仆
servingman	男佣人
goalpost	门柱
culex	库蚊属
electrolyzer	电解剂
undisciplined	无训练的
undisciplined	无训练
undisciplined	训练不足的
undisciplined	训练不足
undisciplined	无修养的
undisciplined	无修养
undisciplined	任性的
undisciplined	任性
kharg	哈格岛
regrate	囤积
inutility	没有益处
inutility	没有用
inutility	无益的物
plebiscitary	平民表决法令的
plebiscitary	平民表决法令
plebiscitary	国民投票的
plebiscitary	国民投票
equiponderate	使重量相等
equiponderate	使相称
equiponderate	平衡
stylobate	柱座
contagiosity	染率
piute	=Paiute
limerick	五行打油诗
scissortail	叉尾霸鹟
transoid	反向
sandburg	沙堡
chymopapain	木瓜凝乳蛋白酶
humorist	幽默作家
humorist	富于幽默感的人
humorist	谈吐诙谐者
humorist	滑稽演员
bolshevism	布尔什维克的政策、思想
filicide	杀子女者
filicide	杀子女的行为
feeding	给食
feeding	喂
feeding	饲养
feeding	吃
feeding	输送
feeding	给食的
feeding	给食
feeding	饲用的
feeding	饲用
feeding	逐渐强烈的
feeding	逐渐强烈
feeding	供给饲料的
feeding	供给饲料
feeding	摄取食物的
feeding	摄取食物
ostiole	小孔
legalese	法律措辞
legalese	法律术语
bunco	欺诈
bunco	行骗
endocranial	cast
endocranial	颅腔模型
almonry	施赈所
sirloin	牛的上部腰肉
shun	避开
shun	避免
jeunesse	青年
jeunesse	年轻人
casehardened	经过热处理变硬的
casehardened	经过热处理变硬
casehardened	无感觉的
casehardened	无感觉
casehardened	厚脸皮的
casehardened	厚脸皮
peipus	Lake
peipus	佩普西湖(在俄罗斯联邦和爱沙尼亚边境
peipus	亦称楚德湖
westwall	=Siegfried
westwall	line
subtrahend	减数
crankiness	狂妄
crankiness	古怪
crankiness	偏执
microtopography	微
gompa	寺院
broadways	横地
broadways	横
broadways	侧面地
broadways	侧面
patelliform	小盘状的
patelliform	小盘状
molarity	摩尔浓度
molarity	容模
ordinaire	平常的
ordinaire	平常
ordinaire	普通的
ordinaire	普通
ordinaire	通常的
ordinaire	通常
ordinaire	惯常的
ordinaire	惯常
zapotec	萨巴特克人的
zapotec	萨巴特克人
atrato	阿特腊托河
animism	万物有灵论
mydriatic	瞳孔放大剂
mydriatic	散瞳剂
mydriatic	瞳孔放大的
mydriatic	瞳孔放大
normalize	规格化
lauan	柳安木
trencherman	食量大的人
trencherman	食者
repine	抱怨
satcom	Satellite
satcom	Communications
packplane	货舱可更换的飞机
motordom	汽车世界
motordom	汽车王国
achitophel	=Ahithophel
logwood	洋苏木树
logwood	洋苏木的心材
overdelicacy	过分精美
lingcod	似花鲫鱼的大鱼
occurrent	正在发生的
occurrent	正在发生
occurrent	偶然发生的
occurrent	偶然发生
thus	因而
thus	从而
thus	这样
thus	如此
underclassman	大学一、二年级学生
jurimetricist	法律统计学家
dishware	碟
dishware	餐具
dishware	盆
slippy	光滑的
slippy	光滑
slippy	不可靠的
slippy	不可靠
alkylation	烷化
alkylation	烃化
wheelbox	齿轮箱
wheelbox	传动箱
ichthyographer	鱼类志撰写者
uneaqualed	无与伦比的
uneaqualed	无与伦比
uneaqualed	没有人比得上的
uneaqualed	没有人比得上
adiaphoristic	广教主义的
adiaphoristic	广教主义
adiaphoristic	广教主义者的
adiaphoristic	广教主义者
lucretia	罗马传说中的贞妇名
lucretia	贞节的模范
issuance	发行
issuance	发布
concertina	类似风琴的六角形的乐器
sourball	酸味水果糖
sourball	常发牢骚之人
riparial	=riparian
hypermicrosoma	矮小身材
chicagoan	芝加哥人
leap	跳
leap	跳越
leap	跳跃
leap	跳跃
leap	飞跃
confess	承认
confess	坦白
confess	忏悔
locust	蝗虫
locust	蚱蜢
locust	蝉
bandage	绷带
pen	钢笔
pen	围栏
pen	围圈
pen	作家
pen	写
pen	关入栏中
task	任务
task	作业
task	分派任务
resumption	取回
resumption	恢复
resumption	再开始
resumption	重获
resumption	再继续
useucom	United
useucom	States
useucom	European
useucom	Command驻欧洲美军总部
superscription	标题
superscription	题名
superscription	姓名住址
daydreamy	白日梦的
daydreamy	白日梦
daydreamy	幻想的
daydreamy	幻想
aphonic	不发音的
aphonic	不发音
aphonic	清音的
aphonic	清音
aphonic	失音症患者
potency	力量
ohms	On
ohms	His
ohms	Majesty''s
ohms	Service
ohms	英国政府信件不用邮资印
kine	雌牛
kine	黄牛
nepenthe	忘忧药
nepenthe	解忧烦之物
counting	计算
rightabout	相反方向
rightabout	向后转
rightabout	相反方向的
rightabout	相反方向
rightabout	相反方向地
rightabout	相反方向
anhinga	美洲蛇鸟
foxtail	狐尾
foxtail	狐尾草
selection	选择
selection	挑选
selection	选集
selection	精选品
glancing	粗略的
glancing	粗略
astronautess	女宇航员
astronautess	女航天员
areophysics	火星物理学
velschoen	=veldschoen
fsp	Food
fsp	Stamp
fsp	Program食品券方案
fsp	File
fsp	Service
fsp	Protocol
fsp	文件服务协议
gaize	海绿云母细砂岩
salinometer	盐量计
windy	有风的
windy	有风
windy	刮风的
windy	刮风
windy	多风的
windy	多风
windy	风强的
windy	风强
windy	腹胀的
windy	腹胀
windy	吹牛的
windy	吹牛
arachnidan	节肢类的动物
arachnidan	节肢类的
arachnidan	节肢类
thallic	铊的
thallic	铊
thallic	第二铊盐的
thallic	第二铊盐
anaerophyte	厌氧植物
lithely	柔软地
lithely	柔软
lithely	易变地
lithely	易变
given	赠予的
given	赠予
given	沉溺的
given	沉溺
given	特定的
given	特定
given	假设的
given	假设
given	give的过去分词
maturation	化脓
maturation	成熟
semitropics	副热带
semitropics	亚热带
ngr	New
ngr	Greek
curule	显贵专席的
curule	显贵专席
curule	有权占坐显贵席的
curule	有权占坐显贵席
curule	最高官衔的
curule	最高官衔
indehiscent	果皮不裂的
indehiscent	果皮不裂
washboiler	煮衣锅
rebody	给重装车身
norethynodrel	=Enovid
fqdn	Fully
fqdn	Qualified
fqdn	Domain
fqdn	Name
fqdn	正式域名
sphingomyelin	鞘磷脂
canalboat	运河船
longheaded	有远见的
longheaded	有远见
longheaded	有头脑的
longheaded	有头脑
longheaded	聪明的
longheaded	聪明
sortition	抽签
polarography	极谱法
barbecue	吃烤烧肉的野餐
bright	明亮的
bright	明亮
bright	辉煌的
bright	辉煌
bright	欢快的
bright	欢快
bright	聪明的
bright	聪明
bright	伶俐的
bright	伶俐
dichotomy	两分
dichotomy	二分法
dichotomy	分裂
unamo	多果杰森棕
housing	供给住宅
housing	住宅群
housing	机架
housing	住房供给
sahib	先生
sahib	阁下
sahib	大人
sahib	欧洲官员或欧洲移民
drier	干燥机
drier	干燥剂
cockney	伦敦人
cockney	伦敦话
cockney	伦敦腔
globosity	地球
globosity	球状
bewrite	撰文
bewrite	描述
margay	虎猫
exopodite	外肢
exopodite	外肢节
pestilential	引起瘟疫的
pestilential	引起瘟疫
brambling	燕雀
brambling	花鸡
downflow	向下流
downflow	向下流之物
cytoplastic	胞体质的
cytoplastic	胞体质
cytoplastic	细胞质的
cytoplastic	细胞质
assart	开垦
assart	开垦地
assart	开垦
assart	开垦
shrove	shrive
shrove	的过去式
fingerindex	指示用的指形符号
factoid	仿真陈述
panage	=pannage
corncrib	玉米穗仓库
syphilis	梅毒
taxidermy	动物标本剥制术
catsup	酱
phosphine	磷化氢
phosphine	三氢化磷
milreis	巴西的旧硬币或其货币单位
milreis	昔葡萄牙之一种金币
faveolate	蜂巢状的
faveolate	蜂巢状
dit	摩尔斯讯号的短音
dit	点
crossing	横越
crossing	横越
crossing	交叉口
fathomable	可测的
fathomable	可测
fathomable	看得透的
fathomable	看得透
craiova	克拉约瓦
ikebana	插花
ikebana	花道
boor	农民
boor	粗野的人
boor	不懂礼貌的人
boor	波尔人
monohydrate	一水合物
monohydrate	一水化物
sambal	咖喱饭调味品
assort	分类配全
ovoviviparous	卵胎生的
ovoviviparous	卵胎生
simperingly	假笑地
simperingly	假笑
simperingly	皮笑肉不笑地
simperingly	皮笑肉不笑
angstrom	埃
reclaim	要求归还
reclaim	收回
reclaim	开垦
stack	堆
stack	一堆
stack	堆栈
stack	堆叠
gipsywort	欧地笋
holocryptic	难解的
holocryptic	难解
holocryptic	全部隐蔽的
holocryptic	全部隐蔽
calycine	花萼的
calycine	花萼
calycine	似花萼的
calycine	似花萼
prolongation	延伸
prolongation	延长部分
pinang	槟榔树
pinang	槟榔
rootstalk	螅根
relaxed	不严格的
relaxed	不严格
relaxed	不拘束的
relaxed	不拘束
switchman	转辙员
aweigh	离开海底
knacky	熟练的
knacky	熟练
knacky	巧妙的
knacky	巧妙
dissolvingly	毁灭性地
dissolvingly	毁灭性
dissolvingly	消溶地
dissolvingly	消溶
creator	创建者
creator	创作者
irreligious	没有宗教信仰的
irreligious	没有宗教信仰
irreligious	无宗教的
irreligious	无宗教
irreligious	无信仰的
irreligious	无信仰
ride	骑
ride	乘
ride	骑
ride	乘
backgammon	西洋双陆棋
jiggle	微动
jiggle	轻摇
jiggle	微动
goulash	菜炖牛肉
smoothen	使平滑
smoothen	使平和
suspiration	叹息
kamikaze	神风对队员
kamikaze	此种战术之飞机或驾驶员
combustor	喷射引擎之燃烧室
diazotize	使重氮化
luteinization	使成为黄体部份
dowsabel	情人
woodbine	忍冬属植物
woodbine	英国人
uncage	从笼中放出
uncage	解放
delilah	黛利拉
delilah	妖妇
totipalmate	全蹼的
totipalmate	全蹼
nonuniform	不一致的
nonuniform	不一致
nonuniform	不均匀的
nonuniform	不均匀
spinal	脊骨的
spinal	脊骨
spinal	脊髓的
spinal	脊髓
spinal	脊椎麻醉
compile	编译
compile	编辑
compile	汇编
multiply	繁殖
multiply	乘
multiply	增加
pibal	测风气球
danaidean	丹尼亚斯的五十个女儿的
danaidean	丹尼亚斯的五十个女儿
blate	羞答答的
blate	羞答答
office	办公室
office	办事处
office	事务所
office	政府机关
office	部
office	公职
office	职责
office	帮助
benumb	使失去感觉
benumb	使迟钝
benumb	使麻木
standoffishly	冷淡地
standoffishly	冷淡
laylight	间接采光
organogenesis	器官发生
organogenesis	器官形成
hjelmslevian	叶尔姆斯莱夫
thereunder	在那下面
thereunder	依据
xylidine	二甲代苯胺
radiancy	辐射
radiancy	辐射率
radiancy	光辉
radiancy	光彩
duoplasmatron	双等离子管
shutoff	用以关闭的东西
shutoff	栓
shutoff	遮断
shutoff	停止
enumerative	列举的
enumerative	列举
enumerative	计数上的
enumerative	计数上
sectionalist	地方主义者
sectionalist	本位主义者
cromlech	环状列石
bcom	bachelor
bcom	of
bcom	commerce
bcom	商学士
gained	得到
gained	增进
gained	获得
gained	获
gained	得到
gained	增进
gained	获利
evirate	阉割
acoustically	听觉上
acoustically	声学上
cattegat	=Kattegat
kroll	克罗尔
prajna	般若
prajna	智慧
pseudocholinesterase	拟胆碱酯酶
viipuri	=Vyborg
natufian	纳图夫人
sauterne	白葡萄酒的一种
sedge	莎草
thioester	硫酯
linearity	线性
linearity	直线性
olm	洞螈
groat	昔日英国的四便士银币
groat	些许
groat	少许的金钱
gossamery	轻而薄的
gossamery	轻而薄
gossamery	轻飘飘的
gossamery	轻飘飘
biostratigraphic	生物地层的
biostratigraphic	生物地层
coursed	被猎犬所追赶的
coursed	被猎犬所追赶
coursed	层列的
coursed	层列
riffler	曲锉
unspiked	未加酒精的
unspiked	未加酒精
unspiked	未加料的
unspiked	未加料
wore	wear的过去式
rodential	啮齿目的
rodential	啮齿目
bristlecone	pine狐尾松
proliferous	多育的
proliferous	多育
thermometer	温度计
thermometer	体温计
coparcener	共同继承人
dimethylamine	二甲胺
definitively	决定性地
definitively	决定性
definitively	最后地
definitively	最后
auscultate	听诊
topside	干舷
topside	最上面
topside	最上层
topside	在甲板上
topside	在首席
topside	水线以上部分的
topside	水线以上部分
cheka	契卡
savona	萨沃纳
dooryard	庭院
dooryard	前院
dooryard	天井
rsl	Royal
rsl	Society
rsl	of
rsl	Literature
rsl	皇家文学学会
minded	有……思想的
minded	有……思想
interelectrode	极间的
interelectrode	极间
cmitosis	秋水仙效应有丝分裂
cmitosis	秋有丝分裂
cmitosis	秋裂
unconsidered	未经思考的
unconsidered	未经思考
baremeter	晴雨表
baremeter	气压计
pantler	司膳总管
kalends	初一
tinstone	锡石
stackware	栈件
spermologist	精子学家
spermologist	种子学家
spermologist	种子搜集家
cingular	舌面嵴的
cingular	舌面嵴
triumphantly	成功地
triumphantly	成功
triumphantly	耀武扬威地
triumphantly	耀武扬威
widely	广泛地
widely	广泛
widely	普遍地
widely	普遍
widely	广博地
widely	广博
widely	相差大地
widely	相差大
plovdiv	普罗夫迪夫(旧称菲利波波利
embryogeny	胚形成
unimpeachable	无懈可击的
unimpeachable	无懈可击
unimpeachable	无可指责的
unimpeachable	无可指责
unimpeachable	无过失的
unimpeachable	无过失
unimpeachable	无可怀疑的
unimpeachable	无可怀疑
sydney	悉尼
homology	相同
homology	同族关系
homology	异体同形
microprobe	微探针
ethine	乙炔
scripsit	]
fanaticism	狂热
fanaticism	盲信
ots	Officers''
ots	Training
ots	School军官训练学校
reef	暗礁
reef	收帆
reef	收
bunk	铺位
circuitry	电路
circuitry	线路
lancer	枪的骑兵
taxaceous	紫杉科的
taxaceous	紫杉科
paries	壁
lovingly	钟爱地
lovingly	钟爱
lovingly	亲切地
lovingly	亲切
bartlett	西洋梨的一种
vitaminology	维生素学
epizeuxis	紧接反复
latices	latex的复数
bhn	Brinell
bhn	hardness
bhn	number
bhn	布氏硬度值
cyclotron	回旋加速器
detumescence	消肿
pseudodont	生有假齿的
pseudodont	生有假齿
redan	凸角堡
granadilla	百香果类之植物
granadilla	其果实
postulation	假定
muller	研杵
muller	粉碎机
muller	研磨机
macrodontia	巨牙
genro	元老政治家
genro	政界元老
helleborin	嚏根草因
davis	戴维斯
calmly	平静地
calmly	平静
calmly	安静地
calmly	安静
calmly	冷静地
calmly	冷静
destocking	缩减储量
chorus	合唱
chorus	合唱队
chorus	齐声
naturphilosoph	nB:`tJEfI9lCs/
naturphilosoph	永恒自然EfE/
naturphilosoph	=natur法则论者
penalize	处罚
prelaunch	发射前的
prelaunch	发射前
prelaunch	下水前的
prelaunch	下水前
overside	从船边的
overside	从船边
overside	越舷的
overside	越舷
overside	越舷地
overside	越舷
underlap	从下面露出
demurral	异议
demurral	抗议
demurral	反对
subquadrate	近正方形的
subquadrate	近正方形
subquadrate	正方而有圆角的
subquadrate	正方而有圆角
highfalutin	自大的
highfalutin	自大
highfalutin	骄傲的
highfalutin	骄傲
ethnicity	种族划分
semiconservative	半保留的
semiconservative	半保留
ndjamena	恩贾梅纳(旧称拉密堡
etherize	以醚麻醉
etherize	化成为醚
unveracity	虚假
unveracity	不真实
unveracity	说谎
precipitancy	急躁
precipitancy	慌张
ingraft	接枝
ingraft	灌输
meiobar	低压区
sponger	用海绵擦拭的人
sponger	采集海绵的人
sponger	寄生虫
straightjacket	=straitjacket
maggotry	愚蠢
maggotry	荒谬
podiatrist	足病医生
bawneen	本色粗法兰绒工作服
bawneen	淡褐色粗呢
catastasis	戏剧之高潮
chutnee	印度酸辣调味料的一种
extemporarily	即席地
extemporarily	即席
kennan	凯南
elemental	自然力的
elemental	自然力
ataraxic	=ataractic
sonatina	小奏鸣曲
cholecystitis	胆囊炎
quattrocento	十五世纪
inattentively	不注意地
inattentively	不注意
tremulous	震颤的
tremulous	震颤
metallocene	金属茂金属
roadhouse	旅馆
roadhouse	客栈等
cornerwise	角向前地
cornerwise	角向前
cornerwise	对角地
cornerwise	对角
strode	stride的过去式
going	去
going	离去
going	地面的状况
going	工作情况
going	行为
going	进行中的
going	进行中
going	流行的
going	流行
going	现存的
going	现存
panacea	万能药
tailoring	裁缝业
tailoring	成衣业
semitranslucent	半透明的
semitranslucent	半透明
kaury	=kauri
multan	木尔坦
chucklehead	傻瓜
chucklehead	笨蛋
ladyfy	使成为贵妇人
ladyfy	使适合贵妇人的身份
clara	克拉拉
mirthlessly	忧伤地
mirthlessly	忧伤
mirthlessly	阴森地
mirthlessly	阴森
varix	静脉曲张
amperometric	安培计的
amperometric	安培计
amperometric	电流计的
amperometric	电流计
triacid	三价的
triacid	三价
hirudinean	蛭纲
hirudinean	蛭纲的
hirudinean	蛭纲
efik	埃菲克族
efik	埃菲克人
efik	埃菲克族的
efik	埃菲克族
choky	窒息的
choky	窒息
choky	憋闷的
choky	憋闷
choky	透不过气来的
choky	透不过气来
choky	拘留所
choky	监狱
fictive	虚构的
fictive	虚构
fictive	想象上的
fictive	想象上
fictive	虚伪的
fictive	虚伪
fastfood	速食的
fastfood	速食
fastfood	小吃的
fastfood	小吃
extraessential	离开本质的
extraessential	离开本质
extraessential	非主要的
extraessential	非主要
romanes	罗姆语
romanes	吉卜赛语
induplicate	内向镊合状的
induplicate	内向镊合状
scrip	便条
scrip	纸条
scrip	纸片
scrip	临时凭证
encarnalize	使具肉体
encarnalize	使世俗化
encarnalize	使具肉欲
colorman	图画颜料商
colorman	调混颜料的工人
stonewalling	慎打
stonewalling	阻碍或妨碍议程
stonewalling	石墙
mussy	乱七八糟的
mussy	乱七八糟
mussy	混乱的
mussy	混乱
mussy	吵闹的
mussy	吵闹
rebuttal	辩驳
rebuttal	举反证
backyard	后院
backyard	后庭
backyard	场院
pointing	弄尖
pointing	指示
gametal	配子的
gametal	配子
gametal	接合的
gametal	接合
cipherdom	无足轻重
epiphytic	附生植物的
epiphytic	附生植物
align	排列
align	使结盟
align	使成一行
tour	旅行
tour	游历
tour	旅游
tour	旅行
tour	游历
tour	巡回
tour	漫游
radioscope	放射镜
radioscope	X线透视屏
radioscope	验电器
patrioteer	以爱国为幌子谋私利者
splicer	接合东西的人
splicer	连接工具
metrician	诗人
metrician	精于作诗者
limeworks	石灰厂
irresolutely	优柔寡断地
irresolutely	优柔寡断
abaptiston	圆锯
sailplane	滑翔机的一种
calamint	风轮菜
penetrate	穿透
penetrate	渗透
penetrate	看穿
penetrate	洞察
penetrate	刺入
penetrate	看穿
penetrate	渗透
penetrate	弥漫
microcosmos	=microcosm
photoconductive	`fEJtEJ9kCndtIv/
photoconductive	导的
photoconductive	导
photoconductive	光敏的
photoconductive	光敏
parataxis	并列
foretopgallant	在前桅中段mast//
foretopgallant	在前桅中以上的
foretopgallant	在前桅中以上
karsey	=karzy
cordon	哨兵线
cordon	警戒线
cordon	饰带
cordon	用警戒线围住
antepartum	分娩前的
antepartum	分娩前
antepartum	生产前的
antepartum	生产前
ultimately	最后
ultimately	终于
ultimately	根本
ultimately	基本上
hairbreadth	一发之差
hairbreadth	极小的距离
deathbed	临死所卧之床
deathbed	临终之时
figuratively	比喻地
figuratively	比喻
figuratively	象征性地
figuratively	象征性
abort	异常中断
abort	中途失败
abort	夭折
abort	流产
abort	发育不全
abort	中止计划
proprioception	本体感受
indelibly	不能消灭地
indelibly	不能消灭
permillage	千分率
gainst	反抗
gainst	抵抗
midear	亲爱的
midear	亲爱
tartaric	酒石的
tartaric	酒石
tartaric	似酒石的
tartaric	似酒石
tartaric	含有酒石的
tartaric	含有酒石
end	末端
end	尽头
end	结束
end	目标
end	限度
end	梢
end	末端
end	死亡
end	结束
end	终结
end	终止
scleroderma	硬皮病
mab	内存分配块
abaci	算盘
larviparous	产幼虫的
larviparous	产幼虫
burr	用喉音说话
generatrix	母点
generatrix	母面
generatrix	母线
halobios	海洋生物
flowerbed	花床
flowerbed	花圃
whimsy	怪念头
whimsy	奇想
whimsy	任意
beforetime	以前
beforetime	从前
mandala	曼荼罗
cantoris	由北侧唱诗班所唱的
cantoris	由北侧唱诗班所唱
pileus	伞状帽
pileus	菌盖
peashooter	玩具枪
