epergne	饰盘
indefective	完美
reduplicative	重复的
reduplicative	重复
agrypnotic	提神剂
agrypnotic	使失眠的
agrypnotic	使失眠
gower	高尔半岛
sexologist	性科学家
xu	苏
tentacle	腺毛
eyrir	奥拉
bottleful	一瓶之量
anticipator	预期者
anticipator	先发制人者
silage	储藏的饲料
silage	青贮
telethermometer	远距离温度计
picturephone	电视电话
picturephone	可视电话
dojam	一句著名的上海话"捣浆糊"
argy	阿根廷佬
meaningly	有意思地
meaningly	有意思
meaningly	故意地
meaningly	故意
procreation	生产
procreation	生殖
benmost	最内的
benmost	最内
benmost	最深的
benmost	最深
eluent	=eluant
clobber	衣服
clobber	浅黑浆糊
clobber	痛殴
clobber	击倒
clobber	使惨败
familist	家庭主义教成员
rajput	拉其普特人(指印度北方一部分专操军职的人
rajput	自称是古印度武士种姓刹帝利
acrobat	杂技演员
acrobat	随机应变者
acrobat	翻云覆雨者
goliath	被牧羊人大卫杀死的
goliath	被牧羊人大卫杀死
goliath	Philistine
goliath	的巨人
methylal	甲缩醛
methylal	甲醛缩二甲醇
methylal	二甲氧基甲烷
sinhalite	硼铝镁石
heptasyllabic	七音节的字的
heptasyllabic	七音节的字
heptasyllabic	七音节的诗行的
heptasyllabic	七音节的诗行
reindoctrinate	再灌输
slowworm	蛇蜥
slowworm	无脚蜥
meatball	肉丸子
meatball	笨蛋
saucepan	长柄而有盖子的深锅
saucepan	炖锅
superspeed	极快的速度
superspeed	超音速
absurdly	荒谬地
absurdly	荒谬
absurdly	悖理地
absurdly	悖理
absurdly	愚蠢地
absurdly	愚蠢
evolutionism	进化论
evolutionism	进化论的
evolutionism	进化论
rto	railroad
rto	transportation
rto	officer
rto	铁路运输管理军官
mahratta	马拉他人
cystitis	膀胱炎
coaster	近海贸易货船
disembowel	除去
alimentotherapy	食物疗法
maturely	成熟地
maturely	成熟
maturely	充分地
maturely	充分
arles	定金
azoimide	偶氮亚胺化物
azoimide	三氮化氢
fulgurant	a象闪电一样
fulgurant	闪耀的
fulgurant	闪耀
fulgurant	闪烁的
fulgurant	闪烁
tantalous	亚钽的
tantalous	亚钽
tourer	观光客
tourer	巡回演出者
microalloy	微合金
upgoing	向上行进的
upgoing	向上行进
upgoing	向上移动的
upgoing	向上移动
jingle	叮当声
jingle	押韵
dunnakin	厕所
wavy	波状的
wavy	波状
wavy	摇摆的
wavy	摇摆
wavy	起浪的
wavy	起浪
wavy	波动的
wavy	波动
wavy	不稳的
wavy	不稳
ecomone	生态激素
taenia	绑头部的带或绳
groomsman	男傧相
groomsman	伴郎
hey	嗨!
skiddoo	走开
skiddoo	离开
valley	谷
valley	流域
porkfish	石鲈
audile	听觉型的人
practicable	能实行的
practicable	能实行
practicable	行得通的
practicable	行得通
practicable	可以实行的
practicable	可以实行
oxgall	牛胆汁
generalized	无显著特点的
generalized	无显著特点
generalized	不能适应特殊环境的
generalized	不能适应特殊环境
snakeroot	根能治好蛇咬伤的一种植物
snakeroot	蛇根草
negatory	否定性的
negatory	否定性
superscribe	将姓名和住址写在信封
superscribe	包裹上
gotland	哥特兰岛
serran	鮨
porsche	保时捷汽车
chylomicron	乳糜微滴
mailbox	邮筒
mailbox	邮箱
explicate	说明
cymatium	拱顶花边
cymatium	波状花边
lacquerware	漆器
dyspareunia	性感不快
dyspareunia	性交困难
zigzaggery	曲折的方法
zigzaggery	之字形的方式
ahmadabad	阿默达巴德
eudemonia	幸福
eudemonia	因理性而积极生活所带来的幸福
trismus	牙关紧闭症
lagomorphic	兔形目
ministate	=microstate
conveyance	运输
conveyance	财产让与
conveyance	运输工具
wonderworking	作出惊人之举的
wonderworking	作出惊人之举
wonderworking	创造奇迹的
wonderworking	创造奇迹
acanthaster	刺冠海星
hydroquinone	对苯二酚
hyacinth	红锆英石
siluroid	鲶
seaborne	海上运输的
seaborne	海上运输
seaborne	漂流的
seaborne	漂流
permission	许可
permission	允许
transpolar	横越南极或北极的
transpolar	横越南极或北极
transpolar	经过北极的
transpolar	经过北极
eh	啊
eh	嗯
eh	Western
eh	Sahara
eh	西撒哈拉
exochorion	外卵壳
sallee	金合欢属植物
biobubble	生物泡
ineducable	难于教育的
ineducable	难于教育
ineducable	无法感化的
ineducable	无法感化
fearfulness	可怕
fearfulness	厉害
unwhipped	未受处罚的
unwhipped	未受处罚
bimodal	双峰的
bimodal	双峰
quadrominium	四套公寓住宅楼
microtechnic	显微技术
microtechnic	显微镜使用术
extinguisher	熄灭者
extinguisher	灭火器
underdid	underdo之过去式
thermalloy	耐热合金
thermalloy	镍铜合金
uncommendable	不值得表扬的
uncommendable	不值得表扬
rheme	表位
rheme	述位
facultyman	教员
facultyman	教授
puttoo	普妥粗羊绒呢
ignace	伊格纳茨
blottesque	粗笔乱涂的
blottesque	粗笔乱涂
blottesque	漫涂的
blottesque	漫涂
craggedness	陡峭
craggedness	崎岖
welch	逃避债务
missilery	导弹
missilery	导弹技术
compuserve	美国最大的在线信息服务机构之一
paviser	持大盾的士兵
steepen	使陡峭
steepen	变陡峭
teddy	连衫衬裤
foliiferous	生长叶子或叶状器官的
foliiferous	生长叶子或叶状器官
torsi	未完成的作品
interactant	互相作用的东西
motif	主题
motif	主旨
motif	动机
motif	图形
saggar	烤箱
saggar	耐火粘土
saggar	用烤箱烘
quicktime	Apple公司的数字多媒体技术
wallaroo	大袋鼠
vinylidene	乙烯叉
vinylidene	亚乙烯基
care	注意
care	照料
care	烦恼
care	忧虑
care	由……转交
care	关心
care	顾虑
care	照顾
care	喜爱
care	在意
spang	恰好地
spang	恰好
spang	直接地
spang	直接
spang	猛然
spang	完全地
spang	完全
leafcutter	ant南美切叶蚁
alptop	膝上型的
alptop	膝上型
midday	正午
betweenwhiles	余暇
betweenwhiles	偶而
refrain	重复
refrain	叠句
refrain	副歌
refrain	节制
refrain	避免
refrain	制止
knickknackery	小家具之类
bushiness	灌木丛生
cradling	摇篮
cradling	保育
sidecar	轻快的双轮马车
sidecar	边车
sidecar	跨斗
canteen	小卖部
canteen	食具箱
canteen	饭盒
canteen	水壶
kentucky	肯塔基州
fashion	样子
fashion	方式
fashion	流行
fashion	风尚
fashion	时样
fashion	形成
fashion	造
fashion	作
fashion	把……塑造成
fashion	使适应
fashion	使适合
fashion	改革
fashion	改变
catholically	普遍地
catholically	普遍
catholically	宽大地
catholically	宽大
catholically	天主教式地
catholically	天主教式
catholically	兴趣广泛的
catholically	兴趣广泛
anteroom	接待室
anteroom	前厅
envisage	正视
metabolic	代谢作用的
metabolic	代谢作用
metabolic	新陈代谢的
metabolic	新陈代谢
silbador	使用哨语的人
wpi	Wholesale
wpi	Price
wpi	Index
wpi	批发物价指数
cyclopaedia	百科全书
cyclopaedia	百科辞典
congestive	充血的
congestive	充血
courge	放鱼饵长篮
shoemaking	制鞋修补皮鞋
fetalization	胎型
unabsolvable	不能免除的
unabsolvable	不能免除
unabsolvable	不能赦免的
unabsolvable	不能赦免
cogitative	深思熟虑的
cogitative	深思熟虑
cogitative	有思考力的
cogitative	有思考力
outwind	使喘不过气
sennit	编绳
sennit	扁索
tortuose	扭曲的
tortuose	扭曲
tortuose	弯曲的
tortuose	弯曲
overwarm	过于暖热的
overwarm	过于暖热
overwarm	过于热情的
overwarm	过于热情
transuranium	铀后的
transuranium	铀后
transuranium	超铀的
transuranium	超铀
souslik	=suslik
microcoding'	NULL)
melanesian	美拉尼西亚的
melanesian	美拉尼西亚
melanesian	美拉尼西亚
wolfe	乌尔夫
ratlin	横索的梯绳
unlettered	无字的
unlettered	无字
unlettered	未受教育的
unlettered	未受教育
unlettered	无学问的
unlettered	无学问
unlettered	文盲的
unlettered	文盲
geochronology	地球年代学
durion	=durian
viscerotropic	亲内脏的
viscerotropic	亲内脏
fugitive	逃亡的
fugitive	逃亡
fugitive	无常的
fugitive	无常
fugitive	易变的
fugitive	易变
fugitive	逃亡者
fugitive	亡命者
fugitive	难捕捉之物
interaction	交互作用
interaction	交感
germinate	发芽
germinate	发育
germinate	使生长
heavenliness	神圣
heavenliness	最幸福
heavenliness	庄严
hassidic	=Hasidic
decathlon	十项运动
erysipeloid	类丹毒
pant	气喘
pant	气喘
orchestral	管弦乐的
orchestral	管弦乐
orchestral	管弦乐队的
orchestral	管弦乐队
snash	侮辱
snash	辱骂
hunk	大块
lebes	碗形金属皿器
adjutant	补助的
adjutant	补助
adjutant	副官
flapperish	小姑娘的
flapperish	小姑娘
flapperish	轻佻的
flapperish	轻佻
brinish	微咸的
brinish	微咸
brinish	大海的
brinish	大海
brinish	苦的
brinish	苦
monochlamydeous	单被的
monochlamydeous	单被
satisfactory	满意的
satisfactory	满意
satisfactory	赎罪的
satisfactory	赎罪
salaud	脏畜生
salaud	猪
salaud	邋遢鬼
foulness	纠缠
foulness	卑鄙
delirium	精神狂乱
delirium	精神错乱
delirium	说谵语状态
delirium	狂语
delirium	精神极度兴奋
ludwigshafen	路德维希港
odometer	里程表
ciel	天蓝色
apiculate	顶端成尖形的
apiculate	顶端成尖形
thermometry	温度测定法
thermometry	检温学
ladybird	瓢虫
renaissance	复兴
renaissance	复活
renaissance	新生
renaissance	文艺复兴
renaissance	文艺复兴时期
teu	twentyfoot
teu	equivalent
teu	unit标准箱
debra	黛布拉
flake	薄片
flake	使成薄片
flake	剥落
flake	雪片般落下
tanyard	硝皮厂
tanyard	制革厂
yester	昨日的
yester	昨日
yester	在这以前的
yester	在这以前
deviation	背离
charr	嘉鱼
meaningless	无意义的
meaningless	无意义
racing	竞赛
racing	赛马
racing	赛车
racing	赛艇
racing	竞赛
bowpot	=boughpot
antiperistalsis	逆蠕动
polydrug	吸用多种毒品的
polydrug	吸用多种毒品
downgrade	下坡
downgrade	退步
downgrade	下坡的
downgrade	下坡
downgrade	使降级
downgrade	小看
repass	再经过
repass	再通过
guayaquil	瓜亚基尔
getable	能得到的
getable	能得到
tucker	打横褶者
tucker	打褶装置
tucker	打皱褶着
tucker	领布
tucker	使疲倦
tucker	使衰弱
adams	亚当斯
hanko	汉科
cleveite	钇铀矿
weirdly	古怪地
weirdly	古怪
hofuf	胡富夫
rgg	Royal
rgg	Grenadier
rgg	Guards
rgg	皇家掷弹兵近卫团
explanatorily	说明地
explanatorily	说明
explanatorily	做为解释地
explanatorily	做为解释
tandem	一前一后
fusty	旧式的
fusty	旧式
fusty	霉臭的
fusty	霉臭
fusty	陈腐的
fusty	陈腐
fusty	古板的
fusty	古板
comatula	=comatulid
ostein	=ossein
mulhouse	牟罗兹
housekept	housekeep的过去式及过去分词
transparentize	使透明
transparentize	使更接近透明
friable	易碎的
friable	易碎
friable	脆的
friable	脆
headage	头数
violoncellist	大提琴演奏者
inimical	敌意的
inimical	敌意
champagne	香槟酒
champagne	香槟色
palaeogene	早第三纪
truepenny	老实可靠的人
sulfaguanidine	磺胺胍
cenozoic	新生代
cenozoic	新生代之岩层
cenozoic	新生界的
cenozoic	新生界
sheathbill	栖息于南极的海鸟
purist	纯化论者
fondness	爱好
fondness	溺爱
fumet	原汁
allotropic	同素异形的
allotropic	同素异形
homiliary	讲道选粹
raddleman	掘
raddleman	赭土者
iskenderun	伊斯肯德仑
gastight	不漏气的
gastight	不漏气
gastight	耐气构造的
gastight	耐气构造
codify	编成法典
codify	使法律成文化
uncultivated	未经耕作的
uncultivated	未经耕作
uncultivated	无教养的
uncultivated	无教养
sonifier	索尼法伊厄声波降解器
ampliate	广大的
ampliate	广大
ampliate	膨胀的
ampliate	膨胀
nascency	发生
nascency	起源
sapiency	像有学识
sapiency	装聪明
dandy	花花公子
dandy	服装华丽的
dandy	服装华丽
dandy	极好的
dandy	极好
dandy	上等的
dandy	上等
axile	轴的
axile	轴
axile	轴上的
axile	轴上
brisance	破坏效力
strapwork	带箍线条饰
strapwork	交织凸起带状饰
strapwork	带状饰
kiplingesque	吉卜林格调的
kiplingesque	吉卜林格调
kiplingesque	吉卜林文体的
kiplingesque	吉卜林文体
emmanuel	=Immanuel
albucasis	阿尔布卡西斯
melanoblast	成黑素细胞
oogamy	卵式生殖
oogamy	异配生殖
graben	地堑
paratyphoid	副伤寒
rheid	流变体
hebrews	希伯来书
turtleback	龟甲
turtleback	龟甲甲板
succuba	魔女
succuba	妖魔
chimaera	吐火兽
chimaera	幻想
chimaera	银鲛
pyrophyllite	叶蜡石
elucidatory	阐释的
elucidatory	阐释
elucidatory	阐明的
elucidatory	阐明
arcking	arc的现在分词
thanatoid	致命的
thanatoid	致命
thanatoid	象死的
thanatoid	象死
thanatoid	死了一般的
thanatoid	死了一般
benefactor	恩人
benefactor	捐助者
benefactor	赠送者
benefactor	赞助人
olap	online
olap	analytical
olap	processing
olap	在线分析处理
gibbsite	水铝矿
better	较好的
better	较好
better	更好的
better	更好
better	更多的
better	更多
better	更佳的
better	更佳
indecently	下流地
indecently	下流
indecently	猥亵地
indecently	猥亵
indecently	不堪入目地
indecently	不堪入目
farmery	农场的庭园
farmery	建筑等
farmery	如农夫的
farmery	如农夫
farmery	农夫一般的
farmery	农夫一般
cholesterol	胆固醇
lobelet	小裂片
lobelet	小叶
smokery	吸烟处
smokery	吸烟室
hypnic	=hypnagogic
nonnitrogenous	不含氮的
nonnitrogenous	不含氮
ceratoid	角状的
ceratoid	角状
ceratoid	角质的
ceratoid	角质
summerly	夏的
summerly	夏
summerly	夏天似的
summerly	夏天似
avi	Video
avi	for
avi	windows
avi	的多媒体文件格式
avi	Audio
avi	Visual
avi	Interleaved
avi	视听交错
neurosecretion	神经分泌物
trilby	呢帽的一种
trilby	脚
roestone	鲕粒岩
roestone	鱼卵石
uvulae	小舌
uvulae	悬雍垂
uvulae	小脑悬雍垂
cardiomegaly	心脏扩大症
spoffish	好小题大作的
spoffish	好小题大作
spoffish	大惊小怪的
spoffish	大惊小怪
incrimination	连累
incrimination	控告
encage	关在笼中
encage	把……关起来
encage	禁闭
phon	音响的强度单位
joual	若阿尔语
iniquitous	不公正的
iniquitous	不公正
grecianize	=Grecize
athene	雅典娜
oncostman	领取计日工资的矿工
acatalasemia	无触酶血
acatalasemia	缺过氧化氢酶血
housecleaning	清扫房屋
housecleaning	革除
housecleaning	肃清
commercialistic	商业主义者的
commercialistic	商业主义者
commercialistic	重商主义者的
commercialistic	重商主义者
isogeny	同源
anatase	锐钛矿
sweetbriar	野蔷薇的一种
rifty	有裂缝的
rifty	有裂缝
rifty	裂开的
rifty	裂开
jackshaft	中间动轴
paganish	异教的
paganish	异教
paganish	信奉异教的
paganish	信奉异教
honeycomb	蜂房
honeycomb	蜂巢
honeycomb	蜂脾
revelational	天启的
revelational	天启
revelational	启示的
revelational	启示
inch	英寸
forceless	无力的
forceless	无力
forceless	软弱的
forceless	软弱
hobby	业余爱好
emt	emergency
emt	medical
emt	technician
emt	急诊医士
gerontics	老年学
gerontics	老年医学
realia	教具
realia	教学用品
benzine	汽油
setae	刚毛
eugene	尤金
eugene	男子名
contrarotate	逆时针旋转
objectless	无目的的
objectless	无目
objectless	没有遮住视线的
objectless	没有遮住视线
embowed	弓形的
embowed	弓形
embowed	弧形的
embowed	弧形
circumnavigation	世界一周旅行
circumnavigation	周游世界
waft	吹送
waft	飘荡
waft	飘荡
waft	信号
panful	一满锅
cecity	盲
cecity	瞎
proportion	比例
proportion	均衡
proportion	面积
proportion	部分
proportion	使成比例
proportion	使均衡
proportion	分摊
ouds	Oxford
ouds	University
ouds	Dramatic
ouds	Society牛津大学戏剧协会
ethereal	轻的
ethereal	轻
ethereal	天上的
ethereal	天上
ethereal	象空气的
ethereal	象空气
immunochemical	免疫化学的
immunochemical	免疫化学
biostrategy	抗菌素疗法
mojave	莫哈韦沙漠
mckinley	麦金利山
mckinley	(即德纳里峰
neuropathologic	/
neuropathologic	神经病纋CdVIk/
neuropathologic	神经岔学的
neuropathologic	神经岔学
tonoplast	液泡膜
hologram	全息摄影
hologram	全息图
brachiopod	腕足类动物的一种
menorah	犹太宗教仪式所用的烛台之一种
frowziness	不整洁
frowziness	闷热
frowziness	有臭味
perry	梨子酒
perry	梨酒
reverie	幻想
riches	财富
riches	财产
forger	伪造者
forger	铁匠
forger	赝造者
micronesia	密克罗尼西亚
turkish	土耳其语
turkish	土耳其的
turkish	土耳其
turkish	土耳其人的
turkish	土耳其人
turkish	土耳其语的
turkish	土耳其语
turkish	突厥诸语言的
turkish	突厥诸语言
washerman	男洗衣工人
jesuitic	耶稣会的
jesuitic	耶稣会
jesuitic	虚伪狡诈的
jesuitic	虚伪狡诈
pucklike	淘气的
pucklike	淘气
pucklike	恶作剧的
pucklike	恶作剧
guyot	海底平顶山
guyot	平顶海山
raphia	=raffia
miterwort	=mitrewort
crevette	虾
crossbeding	交错的岩层
tenace	间张
dualist	二元论者
antiicer	防止结冻的装置
virile	男性的
virile	男性
virile	男的
virile	男
virile	有男子气概的
virile	有男子气概
virile	精力充沛的
virile	精力充沛
dynode	打拿极
dynode	倍增器电极
brickbat	碎砖
brickbat	砖片
brickbat	不逊之言
brickbat	批评的话
brickbat	贬责话
countrified	土气的
countrified	土气
countrified	粗俗的
countrified	粗俗
countrified	思想简单的
countrified	思想简单
countrified	质朴的
countrified	质朴
countrified	带有乡村风味的
countrified	带有乡村风味
lecture	演讲
lecture	讲稿
lecture	谴责
lecture	教训
lecture	演讲
lecture	训诫
lecture	说教
lecture	讲演
tarpeia	塔尔皮亚
endometrial	子宫内膜的
endometrial	子宫内膜
calcography	着色粉笔画法
calcography	蜡笔画法
bingo	一种赌博游戏
bingo	烈酒
behaviour	行为
behaviour	举止
behaviour	习性
invalidation	无效
invalidation	失效
apostasy	变节
apostasy	背教
apostasy	脱党
tref	不洁净的
tref	不洁净
tref	不可食用的
tref	不可食用
desirous	渴望的
desirous	渴望
tellurise	=tellurize
imprecisely	不严密地
imprecisely	不严密
deejay	播放音乐的人
deejay	DJ
optimist	乐天派
optimist	乐观者
ovogenesis	=oogenesis
wigwam	棚屋
wigwam	小屋
matrifocal	以母亲为中心的
matrifocal	以母亲为中心
matrifocal	母权的
matrifocal	母权
redivide	再划分
salta	萨尔塔跳棋
pickaxe	镐
penurious	吝啬的
penurious	吝啬
penurious	缺乏的
penurious	缺乏
epilogue	结语
epilogue	尾声
epilogue	收场白
luteotrophin	催乳激素
stockcar	家畜用车箱
nappe	越过水坝落下的水
nappe	叠层结构
nappe	等分半圆锥
crabeater	食蟹动物
strappy	有襻的
strappy	有襻
strappy	有带子的
strappy	有带子
feeble	虚弱的
feeble	虚弱
feeble	衰弱的
feeble	衰弱
feeble	无力的
feeble	无力
feeble	微弱的
feeble	微弱
feeble	薄弱的
feeble	薄弱
pensioner	领年金者
pensioner	跟班
reactive	反应的
reactive	反应
reactive	起反作用的
reactive	起反作用
reactive	反动的
reactive	反动
reactive	电抗性的
reactive	电抗性
unfeed	未得到小费的
unfeed	未得到小费
zoomac	急速上升
zoomac	突然扩大
zoomac	急速上升
vindictive	报复性的
vindictive	报复性
ambiversion	中向性格
fladbrod	od
fladbrod	未经发酵的薄面包
volition	意志
ethal	二十六醇
ethal	虫蜡醇
undulation	波动
fireproof	耐火的
fireproof	耐火
fireproof	防火的
fireproof	防火
fireproof	使防水
fireproof	使耐火
radiolucent	射线可透的
radiolucent	射线可透
radiolucent	射线透明的
radiolucent	射线透明
shininess	发光
shininess	发亮
hmbs	HerMajesty''s
hmbs	British
hmbs	Ship英国皇家海军舰艇
pay	薪水
pay	工资
pay	支付
pay	交纳
pay	给予
pay	有利
pay	值得
pay	值
pay	合算
establishment	确立
establishment	制定
establishment	设施
establishment	公司
establishment	军事组织
butadiene	丁二烯
vitric	玻璃质的
vitric	玻璃质
vitric	玻璃状的
vitric	玻璃状
shouldst	将会……
shouldst	万一……
counteract	抵消
counteract	中和
counteract	阻碍
kowait	=Kuwait
industrialization	工业化
industrialization	产业化
hirsute	多毛的
hirsute	多毛
hirsute	有粗毛的
hirsute	有粗毛
shovelbill	琵嘴鸭
nachtlokal	夜总会
syndeton	连接结构
unearthliness	神秘
unearthliness	怪异
unearthliness	可怕
unearthliness	异常
infrangible	不可侵犯的
infrangible	不可侵犯
exiguous	稀少的
exiguous	稀少
exiguous	细小的
exiguous	细小
exiguous	些须的
exiguous	些须
longitude	经度
longitude	经线
mompei	裙裤
unwritable	无法写出的
unwritable	无法写出
unwritable	不适宜书写的
unwritable	不适宜书写
debutant	初次登台的人
debutant	初进社交界的人
plumbless	深不可测的
plumbless	深不可测
zambia	赞比亚
motherland	祖国
ganger	工头
ganger	领班
ganger	跑午得快的马
jutland	日德兰半岛
sawfish	锯鳐
biaural	=binaural
horoscopical	天宫图的
horoscopical	天宫图
horoscopical	星占的
horoscopical	星占
horoscopical	星位的
horoscopical	星位
samsoe	萨姆索奶油硬干酪
palate	上腭
palate	味觉
palate	趣味
squeezebox	手风琴
backslidden	backslide的过去分词
hadean	地狱的
hadean	狱
hadean	阴间的
hadean	阴间
moralise	教化
moralise	讲道
afdb	African
afdb	Development
afdb	Bank
afdb	非洲开发银行
shale	页岩
shale	泥板岩
raspatory	骨锉
raspatory	骨刮
benempt	bename的过去式和过去分词
sarangi	萨伦吉琴
encephalasthenia	脑衰弱
tricot	经编针织物
mmcd	Multi
mmcd	Mdeia
mmcd	Compact
mmcd	Disc
mmcd	多媒体光盘
consignment	交托
consignment	交货
consignment	发货
consignment	运送
consignment	托付物
consignment	寄存物
holomorphism	全形
bakshish	津贴
bakshish	小费
racemule	小串状花
racemule	小总状花序
earache	耳朵痛
pigmy	矮人
pigmy	侏儒
decompression	减压
decompression	解压
halidome	圣地
halidome	圣
halidome	圣物
nis	Network
nis	Information
nis	Services
nis	网络信息服务
nis	Network
nis	Information
nis	System
nis	网络信息系统
manshift	一人工作量
sedentarily	坐着地
sedentarily	坐着
sedentarily	不动地
sedentarily	不动
endotracheal	气管内的
endotracheal	气管内
embolism	加闰日
embolism	栓塞
embolism	栓子
sunstone	日长石
impose	征税
impose	强加
impose	以……欺骗
impose	利用
impose	欺骗
impose	施影响
intoneme	语调调位
intoneme	语调调素
boatbill	苍鹭的一种
unwinking	不松懈警觉的
unwinking	不松懈警觉
pepsinate	用胃蛋白酶处理
pepsinate	使与胃蛋白酶混合
celeste	天蓝色
celeste	风琴之音节栓
celeste	天蓝色的
celeste	天蓝色
aesthetism	唯美主义
gelose	琼酯糖
gelose	半乳聚糖
pepper	胡椒粉
entresol	夹层楼面
cbx	计算机化交换机
quran	=Koran
whimmy	异想天开的
whimmy	异想天开
whimmy	心血来潮的
whimmy	心血来潮
hammerhead	锤头
hammerhead	锤头状的
hammerhead	锤头状
hammerhead	鲁钝的
hammerhead	鲁钝
telenet	远程网
gonof	=ganef
ascetic	禁欲者
ascetic	苦行修道者
ascetic	修道的
ascetic	修道
ascetic	苦行的
ascetic	苦行
threshing	打谷
threshing	脱粒
weightless	无重量的
weightless	无重量
weightless	无重力的
weightless	无重力
tatbeb	凉鞋
fermanagh	弗马纳郡
anglice	用英语方式
anglice	依英语习惯
analyst	分析家
analyst	分解者
fondling	被溺爱的人
fondling	宠爱的动物
fondling	爱子
ironhearted	铁石心肠的
ironhearted	铁石心肠
repetition	重复
repetition	循环
repetition	复制品
repetition	副本
lanolin	羊毛脂
choirgirl	唱诗班之女童
woodenhead	糊涂人
woodenhead	笨人
mostly	主要地
mostly	主要
mostly	大部分
mostly	通常
dehydrofrozen	脱水冷冻的
dehydrofrozen	脱水冷冻
snopesian	不择手段的商人的
snopesian	不择手段的商人
snopesian	不择手段的
snopesian	不择手段
snopesian	无耻的
snopesian	无耻
sincerity	诚挚
sincerity	真实
sincerity	真挚
dhurra	=durra
generously	宽大地
generously	宽大
cytolysis	细胞溶解
verseman	诗人
verseman	诗作者
tat	梭编
tat	梭织
tat	粗麻布
tat	轻击
embrasure	枪眼
embrasure	炮眼
embrasure	斜面墙
rachiform	花轴状的
rachiform	花轴状
rachiform	叶轴形的
rachiform	叶轴形
seasonable	合时的
seasonable	合时
learnable	可学会的
learnable	可学会
learnable	可习得的
learnable	可习
enculturation	对某种文化的适应
hallucination	幻觉
hallucination	幻想
caressingly	爱抚地
caressingly	爱抚
caressingly	亲切地
caressingly	亲切
tiling	盖瓦
tiling	贴瓷砖
tiling	瓦
tiling	瓷砖
mosleyite	莫塞莱分子
circuity	迂回
circuity	绕行
teetery	摇晃的
teetery	摇晃
teetery	不稳的
teetery	不稳
ofaginzy	白人
nicotinamide	烟碱
afterpains	产后痛
gallic	五倍子的
gallic	五倍子
gallic	镓的
gallic	镓
cellarage	地窖容积
cellarage	地窖
room	房间
room	屋子
room	寓所
room	场所
room	地位
room	空间
room	机会
room	余地
room	余
bloc	为某种共同目的而采取一致行动的政治组织
bloc	集团
sensitiveness	易感知
sensitiveness	神经过敏
wouldst	will之第二人称单数过去式
blab	泄漏
blab	胡扯
suzerainty	宗主权
suzerainty	领主的地位
diaphony	不协和音
diaphony	自动复
tiresome	无聊的
tiresome	无聊
tiresome	烦人的
tiresome	烦人
concretely	具体地
concretely	具体
username'	NULL)
flung	fling的过去式及过去分词
frondose	多叶的
frondose	多叶
frondose	具体的
frondose	具体
rhythmics	韵律研究
rhythmics	韵律论
ejectable	驱逐的
ejectable	驱逐
ejectable	排泄的
ejectable	排泄
circumvallation	围以城墙
circumvallation	城墙
versus	对
versus	与……相对
alderney	奥尔德尼乳牛
tortrix	卷叶蛾
mozarab	莫扎勒布
cosmically	按照宇宙法则
cosmically	大规模
allopath	用对抗疗法的医生
deadee	遗像
wanna	想要
wanna	希望
gemmy	镶嵌宝石的
gemmy	镶嵌宝石
gemmy	象宝石一般的
gemmy	象宝石一般
enthusiasm	狂热
enthusiasm	热心
enthusiasm	积极性
enthusiasm	激发热情的事物
teaser	戏弄者
teaser	喜欢戏弄别人的人
jacal	小茅屋
chaitya	佛教寺庙或圣地
chaitya	佛教寺庙或圣
chaitya	纪念碑
sporozoan	孢子虫
day	天
day	白天
day	日子
day	白昼
day	黎明
day	工作日
day	节日
day	重要日子
sensum	感觉材料
jacksie	=jacksy
dreamtime	=alcheringa
ben	内室
ed	Edmund
ed	Edward
ed	Edwin
ed	之昵称
ed	Engineering
ed	Development
ed	工程研制
discographer	唱片分类目录编辑
jacobinical	激进的
jacobinical	激进
ethylidene	diethyl
ethylidene	ether乙缩醛
quire	一刀一折
glossolaryngeal	舌喉的
glossolaryngeal	舌喉
lickspit	奉承者
lickspit	阿谀者
truth	事实
truth	确实
truth	真理
truth	原理
longobard	伦巴族人
labored	吃力的
labored	吃力
labored	谨慎的
labored	谨慎
childlike	孩子似的
childlike	孩子似
childlike	天真烂漫的
childlike	天真烂漫
negotiant	协商者
npn	nonprotein
npn	nitrogen
npn	非蛋白氮
adeni	亚丁的
adeni	亚丁
nylon	尼龙
vinometer	酒精比重计
systaltic	交替收缩和膨胀动作的
systaltic	交替收缩和膨胀动作
systaltic	心脏收缩的
systaltic	心脏收缩
mopboard	护壁板
mopboard	踢脚板
irreparably	不能挽回地
irreparably	不能挽回
irreparably	不能恢复地
irreparably	不能恢复
overrefine	过分详细分类
overrefine	过度精制
rig	索具装备
rig	钻探设备
rig	钻探平台
rig	钻塔
rig	装上索具
rig	配备
rig	装配
officious	多管闲事的
officious	多管闲事
officious	非官方的
officious	非官方
officious	非正式的
officious	非正式
seamy	露出线缝的
seamy	露出线缝
seamy	丑恶的
seamy	丑恶
putamina	膜壳
grandam	祖母
grandam	老太婆
redrive	赶回
redrive	再赶
enterograph	肠动描记器
aisled	有狭长通路的
aisled	有狭长通路
pikake	茉莉
stabilize	稳定
philogynist	喜欢女子的人
philogynist	爱慕女子的人
colleger	学院学生
colleger	Eton学校中由该校资助的学生
recommitment	再犯
recommitment	再交付委员会
ischiadic	坐骨的
ischiadic	坐骨
pyrotoxin	酿热毒素
pyrotoxin	发热源
cliquish	小集团的
cliquish	小集团
birdshit	=chickenshit
