daishiki	=dashiki
principia	基本原理
cardiganshire	卡的根郡
nasopharyngeal	鼻咽的
nasopharyngeal	鼻咽
sedimentary	沉积的
sedimentary	沉积
sedimentary	沉淀性的
sedimentary	沉淀性
aculeus	刺
aculeus	螫刺
linguistician	语言学家
spasmodically	断续性地
spasmodically	断续性
spasmodically	发作性地
spasmodically	发作性
thegosis	磨牙
hedgerow	灌木篱墙
complexional	肤色的
complexional	肤色
complexional	天性的
complexional	天性
untouchability	不能触摸
untouchability	远不可及
wunderbar	奇妙的
wunderbar	奇妙
wunderbar	不可思议的
wunderbar	不可思议
wunderbar	极好的
wunderbar	极好
drupelet	小核果
quisle	卖国
quisle	叛国
finger	手指
finger	用手指拨弄
finger	伸出
flatlet	小公寓
flatlet	套房
subfuscous	略带黑色的
subfuscous	略带黑色
subfuscous	稍暗的
subfuscous	稍暗
euryhaline	能在不同盐分之环境中存活的
euryhaline	能在不同盐分之环境中存活
euryhaline	广盐性的
euryhaline	广盐性
staminal	雄蕊的
staminal	雄蕊
staminal	由雄蕊组成的
staminal	由雄蕊组成
staminal	在精力的
staminal	在精力
staminal	有耐心的
staminal	有耐心
transaminate	诱导转氨
transaminate	促转氨
transaminate	诱导……转氨
transaminate	促……转氨
precompiler'	NULL)
extravasate	使从脉管中溢出
extravasate	溢出
extravasate	渗出液
necrose	陷于坏死
weightlessness	无重状态
chino	丝光斜纹棉布
chino	斜纹棉布裤
chino	用斜纹棉布做成的
chino	用斜纹棉布做成
pulsatile	脉动的
pulsatile	脉动
pulsatile	跳动的
pulsatile	跳动
didst	do的第二人称单数过去式
vicennial	二十年的
vicennial	二十年
vicennial	每二十年一次的
vicennial	每二十年一次
multiplication	/
multiplication	乘法
multiplication	增法表
marsipobranch	=cyclostome
cyclandelate	环扁桃酯
cyclandelate	安脉生
cyclandelate	抗栓丸
capitatim	按人征收或发给的
capitatim	按人征收或发给
stonk	猛烈炮击
saute	炒的
saute	炒
saute	嫩煎的
saute	嫩煎
saute	炒
polysyllable	多音节字
hillocky	多小山的
hillocky	多小山
votaress	女性信徒
votaress	女爱好者
trochlea	滑车
paracystitis	膀胱周炎
dub	配音
dub	轻点
dub	授予称号
dub	打击
dub	鼓声
dub	笨蛋
hardgoods	耐用品
greece	希腊
stedfast	笃定的
stedfast	笃定
stedfast	踏实的
stedfast	踏实
wainage	农耕工具
transmissometer	透射表
transmissometer	视距测量计
thrombosis	血栓症
ym	=YMCA
staysail	支索帆
flashcube	闪光灯泡的一种
convective	传送性的
convective	传送性
convective	对流的
convective	对流
smartdrive'	NULL)
galatian	迦拉太人
galatian	迦拉太的
galatian	迦拉太
galatian	迦拉太人的
galatian	迦拉太人
pipeful	一斗
euonymus	卫矛
euonymus	卫矛属
shelterless	无遮掩的
shelterless	无遮掩
shelterless	无处藏身的
shelterless	无处藏身
germanite	亚锗酸盐
germanite	锗石
wiretapping	窃听
wiretapping	窃听器
wiretapping	搭线窃听的
wiretapping	搭线窃听
galvanothermy	电热
homonymic	同音异义字的
homonymic	同音异义字
homonymic	同名的
homonymic	同名
ecclesiolatry	教会圣传崇拜
furnaceman	炉前工
daimon	恶魔
daimon	邪神
objurgation	叱责
objurgation	非难
nothofagus	假山毛榉
overmuch	过多的
overmuch	过多
overmuch	过度地
overmuch	过度
overmuch	过度
overmuch	过剩
apologetics	护教学
overrate	对估价过高
earthquake	地震
earthquake	在震荡
earthquake	在变动
wingding	闹酒狂欢
wingding	喝酒聚会
wingding	狂怒
wingding	狂欢的
wingding	狂欢
wingding	纵情欢乐
myotonia	肌强直
dipstick	量油计
crackback	盲边阻挡
crackback	回切阻挡犯规
phoneticize	以音标表示
vaccinia	牛痘
symphilism	=symphily
sillabub	乳酒冻
mildewproof	防霉的
mildewproof	防霉
trincomalee	亭可马里
exogenic	=exogenous
bacteriochlorophyll	细菌叶绿素
epagogic	归纳论证的
epagogic	归纳论证
tilsiter	太尔西特干酪
mehetabel	梅海塔布尔
bioscopy	生死检定
conac	Continental
conac	Air
conac	Command
conac	大陆空军司令部
inordinately	无度地
inordinately	无度
inordinately	非常地
inordinately	非常
cleanly	喜清洁的
cleanly	喜清洁
cleanly	干净的
cleanly	干净
cleanly	洁净的
cleanly	洁净
cleanly	干净地
cleanly	干净
cleanly	清洁地
cleanly	清洁
cleanly	清白地
cleanly	清白
impoverished	穷困的
impoverished	穷困
impoverished	无力的
impoverished	无力
impoverished	用尽了的
impoverished	用尽了
wiretap	搭线窃听
wiretap	窃听或偷录
wiretap	窃听或偷录
wiretap	窃听情报
wiretap	窃听装置
miserably	悲惨
appreciably	略微
appreciably	有一点
sclerodermia	=scleroderma
reprehensive	谴责的
reprehensive	谴责
reprehensive	非难的
reprehensive	非难
unleisured	无闲空的
unleisured	无闲空
everyhow	在每方面
everyhow	从各方面
exurbanite	住在城市远郊的居民
peep	窥看
peep	隐约看见
peep	窥视
peep	偷看
undeservedly	不应得地
undeservedly	不应得
undeservedly	不当地
undeservedly	不当
kilerg	千尔格
interregnum	空白期间
interregnum	空位期间
interregnum	中断
proposed	被提议的
proposed	被提议
thiaminase	硫胺酶
keynesianism	凯恩斯理论
hash	无用信息
hash	杂乱信号
hash	复述
hash	切细
hash	搞糟
hash	推敲
hash	无用信息
hash	杂乱信号
immunocytochemistry	免疫细胞化学
cert	确实的事情
cert	Computer
cert	Emergency
cert	Response
cert	Team
cert	计算机紧急情况反应小组
imf	International
imf	Monetary
imf	Fund
imf	国际货币基金组织
autoland	自动着陆
rudd	赤睛鱼
pentamerous	由五个部分组成的
pentamerous	由五个部分组成
velocimeter	速度计
velocimeter	速度表
avaluative	尚未到评价阶段的
avaluative	尚未到评价阶段
lock	锁
lock	锁
lock	锁上
lock	锁住
lock	/
lock	锁定/解锁
baba	兰姆糕
baba	孩子
baba	婴儿
orography	山志学
galician	加利西亚人)的
galician	加利西亚人)
serfhood	农奴身份
serfhood	农奴境遇
ovenware	烤箱器皿
increment	增加
increment	增量
disjection	使裂开
disjection	使散开
synactic	一起工作的
synactic	一起工作
synactic	合作的
synactic	合作
gladiola	剑兰
armoured	披甲的
armoured	披甲
armoured	装甲的
armoured	装甲
shigellosis	志贺氏菌病
shigellosis	志贺氏细菌性痢疾
mce	Master
mce	of
mce	Civil
mce	Engineering
mce	土木工程学硕士
dodecaphonist	运用十二音体系作曲者
refractably	可折射地
refractably	可折射
refractably	折射性地
refractably	折射性
aerosat	aeronautical
aerosat	satellite
aerosat	航空卫星
pelvis	骨盆
fabulously	难以置信地
fabulously	难以置信
fabulously	惊人地
fabulously	惊人
cosmetology	整容术
cosmetology	美容术
overarch	在……上做拱形
overarch	成拱形
surveyal	调查
surveyal	测勘
surveyal	俯瞰
myrna	默娜
latecomer	迟到者
anemochory	风力散布
saorstat	爱尔兰自由邦
mechanize	机械化
noyau	果仁酒
noyau	果核酒
proverbial	谚语的
proverbial	谚语
proverbial	谚语式的
proverbial	谚语式
proverbial	众所周知的
proverbial	众所周知
proverbial	公认的
proverbial	公认
melody	悦耳的音调
krans	=krantz
kerulen	克鲁伦河
hoarsen	使嘶哑
hoarsen	变嘶哑
purportless	无意义的
purportless	无意义
purportless	无目的的
purportless	无目
canonistic	宗教法学者的
canonistic	宗教法学者
canonistic	精通圣经的
canonistic	精通圣经
viedma	别德马
outdrink	喝酒喝得比……多
outdrink	比……更会喝酒
plantable	可种植的
plantable	可种植
academic	学院的
academic	学院
academic	理论的
academic	理论
muddler	搅拌棒
unsaved	未获救的
unsaved	未获救
unsaved	未获拯救的
unsaved	未获拯救
overdominance	超显性
scyphi	scyphus
scyphi	的复数
hexobiose	=hexabiose
iambic	短长格
iambic	抑扬格
iambic	抑扬格诗
logie	假珠宝饰物
astragalus	距骨
astragalus	紫云英属
what	pro
what	什么
what	怎么
what	多么
what	什么
what	到什么程度
what	在哪一方面
what	本质
what	实质
what	要素
acrobatic	杂技的
acrobatic	杂技
acrobatic	特技的
acrobatic	特技
independency	独立
paratoluidine	对甲苯胺
minimalist	最低限要求者
minimalist	最低纲领主义者
cosmodrome	人造卫星发射基地
cosmodrome	人造卫星发射基
hugeous	巨大的
hugeous	巨大
hugeous	庞大的
hugeous	庞大
alemannic	阿勒曼尼语
alemannic	阿勒曼尼人的
alemannic	阿勒曼尼人
alemannic	阿勒曼尼语的
alemannic	阿勒曼尼语
vannetais	瓦恩语(指在法国布列塔尼的瓦恩
business	商业
business	买卖
business	交易
business	生意
business	事情
business	事物
business	营业
business	商行
aimless	无目的的
aimless	无目
aimless	没有目标的
aimless	没有目标
syrtis	流沙
multistage	多级的
multistage	多级
curbstone	路边石
curbstone	场外交易的
curbstone	场外交易
curbstone	偶感而发的
curbstone	偶感而发
curbstone	非专业的
curbstone	非专业
psychoanalysis	心理分析
speeder	调节速度的装置
speeder	违章超速驾驶者
isobaric	表示等压的
isobaric	表示等压
isobaric	同重元素的
isobaric	同重元素
recension	校订
recension	修订
recension	校订本
recension	修订本
quadripole	=quadrupole
sentimentality	多愁善感
sentimentality	感伤癖
thoughtway	思想方法
rousing	鼓舞人的
rousing	鼓舞人
rousing	活跃的
rousing	活跃
rousing	非凡的
rousing	非凡
refringent	折射的
refringent	折射
refringent	有折射力的
refringent	有折射力
intending	预计中的
intending	预计中
intending	未来的
intending	未来
fitup	移动舞台
fitup	临时舞台
ungratefully	忘恩负义地
ungratefully	忘恩负义
ungratefully	徒劳地
ungratefully	徒劳
decalcification	脱钙
ventriloquize	以口技发声
claustral	修道院的
claustral	修道院
claustral	隐遁的
claustral	隐遁
decastylar	=decastyle
pagurid	寄居蟹
agrarianize	重新分配
auxetic	细胞增大剂
auxetic	细胞增大性生长的
auxetic	细胞增大性生长
auxetic	促进细胞增大的
auxetic	促进细胞增大
homotypical	同型的
homotypical	同型
homotypical	同模标本的
homotypical	同模标本
misdata	错误数据
righter	订正者
righter	改正者
medan	棉兰
astucious	机敏的
astucious	机敏
astucious	狡诈的
astucious	狡诈
scintillation	发出火花
scintillation	才华横溢
oxygenic	氧的
oxygenic	氧
oxygenic	含氧的
oxygenic	含氧
overcooked	煮得过久的
overcooked	煮得过久
na	钠
na	Na
urotropine	乌洛托品
urotropine	环六亚甲基四胺
rasht	=Resht
antilysim	抗溶素
interferon	干扰素
integrative	综合的
integrative	综合
integrative	一体化的
integrative	一体化
isotropous	=isotropic
endive	菊苣
prolonged	延长的
prolonged	延长
prolonged	拖延的
prolonged	拖延
felspathoid	似长石
chamade	求和的号鼓
mappist	=mapmaker
crystallography	结晶学
endomorphic	内胚叶性构成的
endomorphic	内胚叶性构成
cineration	灰化
cineration	煅灰
platinate	铂酸盐
militarist	军国主义者
militarist	军事家
malapert	不客气的
malapert	不客气
malapert	厚脸皮的
malapert	厚脸皮
malapert	不客气
malapert	厚脸皮
fresh	新鲜的
fresh	新鲜
fresh	无经验的
fresh	无经验
fresh	生的
fresh	生
fresh	冒失的
fresh	冒失
fresh	鲜艳的
fresh	鲜艳
fresh	最新地
fresh	最新
fresh	刚刚
fresh	开始
fresh	泛滥
rosinous	含有松脂的
rosinous	含有松脂
rosinous	像松脂的
rosinous	像松脂
rigoroso	非常有节奏感的
rigoroso	非常有节奏感
rigoroso	完全合拍子的
rigoroso	完全合拍子
delphinoid	海豚类的
delphinoid	海豚类
delphinoid	似海豚的
delphinoid	似海豚
delphinoid	海豚类动物
marble	大理石
marble	弹球
marble	石弹子
marble	雕刻品
marble	大理石的
marble	大理石
marble	冷酷无情的
marble	冷酷无情
marble	坚硬的
marble	坚硬
pluvial	雨的
pluvial	雨
pluvial	有雨的
pluvial	有雨
pluvial	多雨的
pluvial	多雨
pluvial	洪水的
pluvial	洪水
mining	采矿
mining	矿业
kibutz	集体农场
kibutz	聚居区
swipe	猛击
swipe	重击
swipe	猛击
swipe	重击
swipe	偷
clayton	克莱顿
mischmetall	混合稀土
promisee	受约人
promisee	承诺人
venomed	恶毒的
venomed	恶毒
venomed	含有恶意的
venomed	含有恶意
monodist	挽歌的作家
kwic	上下文关键字
kwic	前后文关键字
mabel	梅布尔
excurse	远足
excurse	短程旅行
excurse	游览
airtel	机场内的旅馆
exempt	免除
exempt	被免除的
exempt	被免除
aggress	攻击
aggress	侵犯
jobation	冗长的训诫
outdoors	户外
outdoors	在户外
outdoors	在野外
outdoors	=outdoor
turbine	涡轮
teratology	畸形学
teratology	怪异研究
involantary	不随意的
involantary	不随意
involantary	无心的
involantary	无心
involantary	本能的
involantary	本能
hydroformylation	加氢醛化
hydroformylation	加氢甲酰化
hydroformylation	羰基化作用
codefendant	共同被告
whalehead	=shoebill
undercart	起落架
sliphorn	长号
chrysomelid	叶甲
irrotational	无旋的
irrotational	无旋
forthright	马上
forthright	立即
forthright	直接的
forthright	直接
forthright	直率的
forthright	直率
forthright	坦白的
forthright	坦白
forthright	豪爽的
forthright	豪爽
forthright	直路
diamantane	金刚烃
pancosmism	泛宇宙论
misemphasis	错误的强调
pettily	卑鄙地
pettily	卑鄙
pettily	小气地
pettily	小气
telespectroscope	远测分光镜
galleried	有长廊的
galleried	有长廊
parcellation	分割
harbin	哈尔滨
broth	肉汤
television	电视
television	电视机
television	电机学
television	电视广播事业
chiroplasty	手造形术
hel	Human
hel	Engineering
hel	Laboratory
hel	人机工程实验室
pathogeny	生病
pathogeny	病原
cancrizans	后退的
cancrizans	后退
cancrizans	逆行的
cancrizans	逆行
pharmacodynamic	/
pharmacodynamic	药效的
pharmacodynamic	药效
astrospace	宇宙空间
afforest	造林于
capacitate	使能够
capacitate	赋予能力
smitty	斯米梯
bandsman	乐手
bandsman	乐队队员
substitutable	可代替的
substitutable	可代替
substitutable	可替换的
substitutable	可替换
substitutable	可取代的
substitutable	可取代
phonon	声子
uncurable	=incurable
telegraphone	录音电话机
wirelike	丝状的
wirelike	丝状
wirelike	线状的
wirelike	线状
primeval	原始的
primeval	原始
sleeveen	不能信任的人
sleeveen	狡诈的人
ramapithecus	腊玛古猿(在印度西瓦立克山区
perineurium	神经束膜
raceway	水沟
raceway	跑道
layover	临时滞留
layover	中途下车
cajole	以甜言蜜语哄骗
cajole	勾引
driven	受到驱策的
driven	受到驱策
driven	drive的过去分词
trousseaux	妆奁
trousseaux	嫁妆
glyoxaline	咪唑
misericord	一种短剑
misericord	凳下方的横木
misericord	免戒室
disquisition	专题论文
liverwort	地钱
user	使用者
user	使用物
user	权利的实际享有
auxotrophic	营养缺陷型的
auxotrophic	营养缺陷型
auxotrophic	营养缺陷体的
auxotrophic	营养缺陷体
polyphage	进食过量者
polyphage	贪食者
potbelly	大肚皮
potbelly	大腹
sweetmeat	甜食
sweetmeat	糖果
sweetmeat	蜜饯
brahmani	婆罗门等级中之女性成员
gnotobiotic	限菌动物的
gnotobiotic	限菌动物
gnotobiotic	无菌动物的
gnotobiotic	无菌动物
gnotobiotic	限菌的
gnotobiotic	限菌
gnotobiotic	无菌的
gnotobiotic	无菌
uninteresting	无趣的
uninteresting	无趣
uninteresting	令人厌倦的
uninteresting	令人厌倦
thyrotrophin	=thyrotropin
nearby	附近的
nearby	附近
nearby	邻近的
nearby	邻近
nearby	在附近
nosed	有……鼻子的
nosed	有……鼻子
incurrence	招致
fairy	仙女
fairy	精灵
fairy	漂亮姑娘
fairy	仙女的
fairy	仙女
spectral	光谱的
spectral	光谱
spectral	鬼怪的
spectral	鬼怪
dodecasyllable	十二音节之字的
dodecasyllable	十二音节之字
dodecasyllable	十二音节之诗行的
dodecasyllable	十二音节之诗行
dodecasyllable	十二音节诗
nmi	no
nmi	middle
nmi	initial
nmi	无中名的姓名首字母缩写
hypermnesia	记忆增强
aah	Advanced
aah	Attack
aah	Helicopter
aah	先进攻击直升机
technopolis	技术社会
mephitical	恶臭的
mephitical	恶臭
mephitical	毒气的
mephitical	毒气
mephitical	有毒的
mephitical	有毒
mephitical	有害的
mephitical	有害
conjure	召唤
conjure	变戏法
conjure	想象
conjure	变戏法
conjure	施魔法
conjure	祈求
conjure	恳求
mate	配偶
mate	对手
mate	助手
mate	使配对
mate	使一致
mate	结伴
mate	成配偶
mate	紧密配合
scatoma	粪结
scatoma	粪瘤
crescograph	植物生长显示器
rillettes	熟肉酱
tropotaxis	趋激性
nothing	无
nothing	不关紧要之事
nothing	零
nothing	毫不
nothing	决不
nothing	什么也没有
nothing	无
epididymitis	附睾炎
stater	古代希腊的金币单位
runaway	逃跑
runaway	逃跑者
runaway	巨大的胜利
runaway	失控的车
runaway	逃亡的
runaway	逃亡
runaway	逃走的
runaway	逃走
welfarite	靠公共福利供养的人
welfarite	靠救济金过活的人
torporific	引起麻痹的
torporific	引起麻痹
torporific	引起麻木的
torporific	引起麻木
torporific	导致迟钝的
torporific	导致迟钝
misgave	misgive
misgave	的过去式
marmatite	铁闪锌矿
counterpressure	反压力
fortis	强音
fortis	强音的
fortis	强音
hunnish	匈奴人的
hunnish	匈奴人
hunnish	野蛮的
hunnish	野蛮
recordative	纪念的
recordative	纪念
recordative	记忆的
recordative	记忆
candescence	白热
syntonization	调谐
syntonization	谐振
syntonization	共振
ungulae	蹄
ungulae	爪
placable	易抚慰的
placable	易抚慰
sakta	=Shakta
triparental	三亲株的
triparental	三亲株
gargouillade	加古拉德
yarkandi	莎车市之居民
paradisiac	天堂的
paradisiac	天堂
paradisiac	乐园的
paradisiac	乐园
ichthyophagous	常吃鱼的
ichthyophagous	常吃鱼
isocaloric	等卡热的
isocaloric	等卡热
isocaloric	等热量的
isocaloric	等热量
cavally	竹荚鱼科之鱼
ponderation	过磅
ponderation	称重
rearhorse	螳螂
forgotten	forget的过去分词
countless	无数的
countless	无数
countless	数不尽的
countless	数不尽
caldron	大锅
caldron	大汽锅
distensible	扩大的
distensible	扩大
distensible	胀的
distensible	胀
distensible	可扩张的
distensible	可扩张
mesoappendix	阑尾系膜
differential	微分的
differential	微分
differential	微分
lawful	法律许可的
lawful	法律许可
lawful	守法的
lawful	守法
lawful	受自然规律支配的
lawful	受自然规律支配
artlessness	天真烂漫
artlessness	淳朴
grease	油脂
grease	贿赂
grease	涂脂于
grease	贿赂
pentacarpellary	具五心皮的
pentacarpellary	具五心皮
squarebash	操练步伐
marmoset	绒
crawly	悚然的
crawly	悚然
flightiness	轻浮
flightiness	疯狂
irs	Internal
irs	Revenue
irs	Service
irs	美国国税局
studdie	=stithy
bechuanaland	贝专纳(非洲中南部国家博茨瓦纳
franchisee	总经销商
franchisee	有代销权的人或团体
uncomplimentary	贬降的
uncomplimentary	贬降
uncomplimentary	贬损的
uncomplimentary	贬损
spumy	泡沫的
spumy	泡沫
spumy	泡沫状的
spumy	泡沫状
photorecording	摄影记录
neuroradiology	神经系放射学
neuroradiology	神经辐射学
athrob	悸动的
athrob	悸动
athrob	悸动地
athrob	悸动
earclip	夹式耳环
capriccioso	活泼自由的
capriccioso	活泼自由
capriccioso	变幻无常的
capriccioso	变幻无常
capriccioso	随想的
capriccioso	随想
mousie	小老鼠
oreology	=orography
penny	便士
penny	分
southeaster	东南风
southeaster	东南的强风
honolulan	火奴鲁鲁人
tritone	三全音
monastic	僧侣
monastic	修道士
monastic	庙宇的
monastic	庙宇
metallic	金属的
metallic	金属
sulkiness	不高兴
sulkiness	闷闷不乐的样子
carrierbased	以航空母舰为基地的
carrierbased	以航空母舰为基
carrierbased	舰载的
carrierbased	舰载
disengage	脱离
aperient	轻泻剂
aperient	通便的
aperient	通便
giltwood	木制涂金的
giltwood	木制涂金
jacksonville	杰克逊维尔
leonine	狮子的
leonine	狮子
leonine	狮子般的
leonine	狮子般
farceur	滑稽演员
farceur	闹剧作者
revocatory	废止的
revocatory	废止
revocatory	取消的
revocatory	取消
akashi	明石
newsweekly	周报
newsweekly	周刊
monsignor	大人
monsignor	阁下
monsignor	有此荣衔神职者
socialite	社交名流
preserving	保存
preserving	保留
fluter	做凹槽的人
fluter	长笛吹奏者
leproid	像麻风的
leproid	像麻风
zack	六便士之硬币
inclining	倾向
inclining	爱好
drib	点滴
drib	少量
drib	点滴地落下
prelaw	法科预科的
prelaw	法科预科
prelaw	攻读法律预科的
prelaw	攻读法律预科
jive	摇摆乐
jive	隐语
jive	摇摆舞
jive	跳摇摆舞
jive	哄骗
jive	假的
jive	假
alkalemia	碱血症
ambages	拐弯抹角
ambages	诡秘的行动
polynome	多项式
skeptic	怀疑论者
skeptic	无神论者
skeptic	怀疑宗教的人
marcelle	玛塞尔
beachball	密封球形救生器
enviably	羡慕地
enviably	羡慕
enviably	渴望得到地
enviably	渴望得到
fluent	流利的
fluent	流利
fluent	流畅的
fluent	流畅
neomorph	新变体
homozygosis	纯质性
homozygosis	纯合基因
zooful	满动物园
zooful	一动物园
adynamia	体力缺乏
adynamia	无力
husbandman	农夫
alist	船向一边倾斜的
alist	船向一边倾斜
alist	船向一边倾斜地
alist	船向一边倾斜
heptad	七个
heptad	七个成套之物
heptad	七价原子
shadiness	有阴影的情形
shadiness	可疑
shadiness	暧昧
shadiness	阴暗
shadiness	隐蔽
saleyard	寄养场
biloculate	两室的
biloculate	两室
biloculate	双房的
biloculate	双房
biloculate	二格的
biloculate	二格
fanfaron	吹牛者
fanfaron	鼓吹者
autoloading	半自动的
autoloading	半自动
cabotine	二流女演员
hartal	联合休业罢工
inscribe	记下
seventyfold	七十倍的
seventyfold	七十倍
seventyfold	七十倍地
seventyfold	七十倍
changeability	可变性
changeability	易变性
emeu	=emu
scabies	疥疮
cheerful	愉快的
cheerful	愉快
cheerful	高兴的
cheerful	高兴
suppositive	想象的
suppositive	想象
suppositive	假定的
suppositive	假定
suppositive	假定词
suppositive	假设词
hashslinger	侍者
bergsonism	柏格森哲学
oebf	Open
oebf	eBook
oebf	Forum
oebf	开放电子图书论坛
bursitis	粘液囊炎
mdc	罗马数字
mdc	1600
appendix	附录
appendix	附属品
appendix	阑尾
dilli	=Dili
ballyhack	毁灭
ballyhack	地狱
backspace	退后一格
backspace	退格
contuse	打伤
contuse	挫伤
contuse	撞伤
strand	绳、线之一股
strand	线
strand	绳
strand	串
strand	海滨
strand	河岸
strand	搁浅
strand	使搁浅
strand	使落后
strand	使陷于困境
strand	弄断
strand	搓
cornstone	玉米灰岩
lineate	划线的
lineate	划线
lineate	有线的
lineate	有线
redif	土耳其的预备兵
d	字母D
d	/即期汇票
d	delivered
d	被释放的
d	被释放
inasmuch	因……之故
inasmuch	因为
cordwainer	皮匠
monochromatize	使单色化
monochromatize	使成单色
crumply	易皱的
crumply	易皱
crumply	满是皱纹的
crumply	满是皱纹
nachas	=nachus
laryngectomee	接受过喉头切除术的人
sturt	骚乱
sturt	惊动
sturt	受惊扰
ti	钛
ti	全音阶的第7音
excitonic	激子的
excitonic	激子
declinometer	方位角计
declinometer	磁针偏差计
psychedelic	起幻觉的
psychedelic	起幻觉
psychedelic	迷幻的
psychedelic	迷幻
psychedelic	迷幻剂
kenbei	仇美
feculency	污物
feculency	渣滓
foumart	鸡貂
rnzn	Royal
rnzn	New
rnzn	Zealand
rnzn	Navy新西兰皇家海军
vasal	血管的
vasal	血管
vasal	管的
vasal	管
ramal	枝的
ramal	枝
ramal	枝状的
ramal	枝状
theocracy	神权政治
theocracy	神政
theocracy	神治国
chinny	下颚突出的
chinny	下颚突出
chinny	爱说话的
chinny	爱说话
dirk	匕首
serendipity	有意外发现珍宝的运气
stonechat	野翁鸟
auditing	审核
selenomorphology	月面形态学
equestrianism	马术
strumectomy	甲状腺肿切除术
remindful	提醒的
remindful	提醒
remindful	记得的
remindful	记
clarendon	字体略狭长一种铅字
unimportance	不重要
unimportance	不足道
unimportance	无价值
preordain	预定
preordain	预先注定命运
misled	mislead的过去式及过去分词
tellural	地球的
tellural	球
tellural	地球上的
tellural	球上
tellural	地球居民的
tellural	球居民
sapper	挖地道的兵
sapper	工兵
knoxville	诺克斯维尔
strawhat	草帽
strawhat	夏季剧场
retroreflective	回射的
retroreflective	回射
retroreflective	反向反射器的
retroreflective	反向反射器
galvanoplastics	电镀
galvanoplastics	电制版
stabber	刺客
polygram	宝丽金唱片公司
retranslation	重新翻译
retranslation	重译
omadhaun	傻子
omadhaun	蠢人
loganberry	罗甘莓植物
areologist	高空气象学家
landmark	陆标
landmark	地界标
landmark	里程碑
landmark	划时代的事
seeable	看得见的
seeable	看得见
seeable	可见的
seeable	可见
midseason	季节中期
midseason	旺季
midseason	忙季
sulfane	=sulphane
yecchy	=yucky
paraselene	假月
paraselene	幻月
diapir	底辟
diapir	挤入构造
actigraph	活动变化记录仪
imprisonment	关押
equine	马的
equine	马
equine	象马的
equine	象马
equine	马
oleaginous	油质的
oleaginous	油质
tupik	爱斯基摩人的夏天住处
snurfing	冲雪运动
subsidy	补助金
subsidy	津贴
hagiocracy	圣徒政治
hagiocracy	圣徒政治的政府
daltonian	道尔顿的
daltonian	道尔顿
daltonian	红绿色盲的
daltonian	红绿色盲
miscellanea	杂记
miscellanea	杂录
convince	使确信
convince	使信服
terrapin	龟鳖类
speedcop	制止汽车超速行驶的警察
sandsailer	海滩沙地帆车
aunt	姑妈
aunt	伯母
aunt	舅妈
aunt	阿姨
behaviourism	行动主义
rely	依赖
rely	依靠
rely	信赖
rely	信任
rely	依赖于
paraleipsis	=paralipsis
glom	偷
glom	抢
glom	看
glom	瞪
scotchgard	斯科奇加德防油防水剂
hagen	哈根
kneecap	膝盖骨
kneecap	护膝
pinnatisect	羽状全裂的
pinnatisect	羽状全裂
endemically	地方性地
endemically	方性
dollarwise	以美元计算的
dollarwise	以美元计算
dollarwise	在财政方面
siangtan	湘谭
feminie	女性
defectivation	不完全变化
defectivation	变形不全
antimorph	反效等位基因
hyaena	鬣狗
blinkered	心胸狭隘的
blinkered	心胸狭隘
blinkered	思路狭窄的
blinkered	思路狭窄
mithridate	万应解毒剂
atonic	清音的
atonic	清音
atonic	平音的
atonic	平音
atonic	无活力的
atonic	无活力
transgressor	违背者
linuron	利谷隆
sequestra	死骨片
sequestra	坏骨片
lodge	门房
obturate	闭塞
obturate	封闭
nictate	眨眼
nictate	瞬目
overpoise	=outweigh
annexment	附加物
pallbearer	护柩者
pallbearer	棺侧送葬者
rhaetic	雷蒂亚阶
excretory	排泄的
excretory	排泄
excretory	分泌的
excretory	分泌
excretory	有排泄功能的
excretory	有排泄功能
goshawk	苍鹰
hearing	听力
hearing	听觉
hearing	听取意见
hearing	听讼
hearing	倾听
vaunt	自夸
vaunt	吹嘘
vaunt	自夸
partwork	分册出版的丛书
partwork	分辑出版的丛刊
jamb	矿柱
jamb	旁柱
rand	鞋后根与鞋底中间的垫皮
rand	边缘
voracity	贪食
voracity	贪婪
jewellery	珠宝
jewellery	镶嵌有宝石之饰物
outfight	打败
vilayet	省或主要行政区
reck	顾虑
coalfield	煤田
narcomatous	昏睡的
narcomatous	昏睡
narcomatous	昏朦的
narcomatous	昏朦
keto	酮类的
keto	酮类
excelled	胜过
excelled	超过
excelled	优于
excelled	超越
pandurate	提琴形的
pandurate	提琴形
sumptuary	限制费用的
sumptuary	限制费用
sumptuary	禁止奢侈的
sumptuary	禁止奢侈
lochan	小湖
lochan	小内海
coppermine	科珀曼河
mary	玛丽
congeal	凝结
inhibitive	禁止的
inhibitive	禁止
inhibitive	抑制的
inhibitive	抑制
lecithality	有卵黄
continuum	连续统一体
continuum	连续统
continuum	闭联集
child	孩子
child	儿女
child	子孙
child	产物
child	弟子
child	追随者
isometropia	折光相等
isometropia	屈光相等
decidua	蜕膜
decidua	经期蜕膜
nonviolence	非暴力
spidery	蜘蛛一般的
spidery	蜘蛛一般
spidery	细长足的
spidery	细长足
spidery	蜘蛛网一般的
spidery	蜘蛛网一般
souffle	杂音
souffle	吹气音
unsnap	解开扣子
dottel	残烟丝
nartb	国际无线电和广播电视协会
phlebitis	静脉炎
many	多数
many	群众
many	许多的
many	许多
many	pro
many	许多人
many	许多
intuition	直觉
intuition	直觉的知识
