balalaika	俄式三弦琴
untender	无感情
triphammer	大电动槌
triphammer	连续不断的
triphammer	连续不断
rennin	高血压蛋白原酶
sportsmanlike	有运动员精神的
sportsmanlike	有运动员精神
sportsmanlike	堂堂正正的
sportsmanlike	堂堂正正
exoenzyme	外酵
exoenzyme	外酵素
cardiodynia	心痛
cardiodynia	胸痛
dutch	荷兰人
dutch	荷兰语
dutch	荷兰的
dutch	荷兰
dutch	德国的
dutch	德国
dutch	条顿民族的
dutch	条顿民族
tritium	氚
veinlet	小静脉
veinlet	细叶脉
siphonic	虹吸的
siphonic	虹吸
siphonic	水管的
siphonic	水管
ergotrate	=ergonovine
exhibitively	起显示作用地
exhibitively	起显示作用
exhibitively	供展览地
exhibitively	供展览
graiae	=Graeae
variator	变化器
unhumanize	=dehumanize
nonperishable	不易损坏之物
nonperishable	不易坏的
nonperishable	不易坏
mannerless	无礼貌的
mannerless	无礼貌
euthanatize	=euthanize
ibidine	朱鹭的
ibidine	朱鹭
intimation	暗示
intimation	正式宣告
sharpness	锐利
conditioning	条件作用
conditioning	训练
undrew	undraw的过去式
vinum	酒
vinum	酒剂
hedjaz	=Hejaz
sheephook	牧羊杖
handtector	手提式电子金属探测器
goramy	=gourami
splatter	结结巴巴地讲
splatter	连续发溅泼声
splatter	说话结巴
splatter	泼溅
archaeologize	从事考古
archaeologize	研究考古学
albatross	信天翁
albatross	沉重负担
pkzip	一种压缩软件
pkzip	PKWare出的生成ZIP文件的工具
servitor	仆人
servitor	随从
zygomata	颧骨
zygomata	颧骨突起
devastator	蹂躏者
devastator	破坏者
emendate	校勘
emendate	修改
rainbox	雨声的拟音盒
overwind	旋得太紧
colportage	宗教书籍的贩卖
sultan	n苏丹
cytotoxin	细胞毒素
apologizer	辩护者
vexatiously	厌烦地
vexatiously	厌烦
vexatiously	麻烦地
vexatiously	麻烦
kinesiatrics	运动疗法
sheathing	覆盖物
sheathing	罩子
purpurate	红紫酸盐
twankay	屯溪茶
amylum	淀粉
hydrosome	水螅群体
adventitious	偶然的
adventitious	偶然
adventitious	外来的
adventitious	外来
reticently	沉默寡言地
reticently	沉默寡言
reticently	沉默地
reticently	沉默
strigiform	鸮形目的
strigiform	鸮形目
differentiator	区分者
differentiator	微分器
bogwood	埋设在地底下的木材
dorm	宿舍
fielder	外野手
fielder	接球者
overdrink	饮过量
symphily	客栖
footless	无足的
footless	无足
footless	笨拙的
footless	笨拙
footless	无基础的
footless	无基础
rabidity	猛烈
rabidity	急进
rabidity	狂怒
reddendum	租约条款
nosily	好打听地
nosily	好打听
nosily	爱管闲事地
nosily	爱管闲事
fatwitted	愚笨的
fatwitted	愚笨
bacterin	疫苗
bacterin	菌苗
womanhood	女人
womanhood	女人气质
misogynist	厌恶女人的人
micropaleontology	微体古生物学
subparallel	近似平行的
subparallel	近似平行
subparallel	不很平行的
subparallel	不很平行
extratellurian	地球以外的
extratellurian	球以外
extratellurian	不属于地球的
extratellurian	不属于地球
npd	north
npd	polar
npd	distance北极距
demeanor	行为
demeanor	风度
niggardly	吝啬的
niggardly	吝啬
niggardly	小气的
niggardly	小气
clover	三叶草
clover	苜蓿
recommencement	重新开始
recommencement	重头再做
symbolize	象征
symbolize	用符号表现
symbolize	作为……的象征
symbolize	采用象征
symbolize	使用符号
sinewy	强壮有力的
sinewy	强壮有力
balata	树胶
somnific	=somniferous
trumpet	喇叭
extrapyramidal	锥体束外的
extrapyramidal	锥体束外
anurous	无尾的
anurous	无尾
entranceway	入口
entranceway	大门
rucksack	帆布背包
plausibly	似真地
plausibly	似真
creophagous	食肉的
creophagous	食肉
approachable	可接近的
approachable	可接近
approachable	平易近人的
approachable	平易近人
approachable	亲切的
approachable	亲切
physiography	地文学
physiography	地相学
adventurism	冒险主义
dipping	浸渍
dipping	蘸
dipping	调
dipping	好近光的
dipping	好近光
cathy	凯茜
cathy	女子名
dactylogram	指纹
noordholland	=North
noordholland	Holland
rayless	不光明的
rayless	不光明
rayless	昏暗的
rayless	昏暗
televisable	可由电视播放的
televisable	可由电视播放
televisable	适于电视播放的
televisable	适于电视播放
diamondoid	钻石形的
diamondoid	钻石形
diamondoid	菱形的
diamondoid	菱形
exile	放逐
exile	充军
exile	流放
exile	流犯
exile	被放逐者
exile	放逐
exile	流放
exile	使背井离乡
wowser	虔诚之清教徒
wowser	老古板
stumour	=stumer
receptaculum	花托
receptaculum	托
receptaculum	囊托
horseradish	山葵
horseradish	其根所制调味剂
telescopist	使用望远镜的人
telescopist	善用望远镜的人
counteraction	反对的行动
counteraction	抵抗
counteraction	反动
flatulency	胃气胀
flatulency	空虚
radiostrontium	放射性锶
hymenopteron	膜翅目昆虫
dialogite	菱锰矿
savior	救助者
savior	救世主
savior	救星
savior	耶稣基督
crowd	人群
crowd	群众
crowd	一堆
crowd	一伙
crowd	群集
crowd	拥挤
crowd	挤满
remodel	重新塑造
remodel	改造
remodel	改变
micrometeorite	微小陨石
tire	疲劳
tire	劳累
tire	轮胎
tire	头饰
tire	使疲倦
tire	使厌烦
tire	梳理
tire	疲劳
tire	厌倦
kleig	=klieg
britticization	=Briticization
underdone	半生不熟的
underdone	半生不熟
underdone	煮得嫩的
underdone	煮得嫩
underdone	underdo之过去分词
hektograph	用胶版誊写法印刷
anglic	一种简化英语
humeral	肱骨的
humeral	肱骨
humeral	肩的
humeral	肩
humeral	肱部的
humeral	肱部
allimportant	非常重要的
allimportant	非常重要
disease	疾病
disease	弊病
beechen	山毛榉制的
beechen	山毛榉制
sizy	胶水的
sizy	胶水
sizy	浆糊的
sizy	浆糊
fascicled	簇生的
fascicled	簇生
fascicled	成束的
fascicled	成束
chemise	衬衣
chemise	内衣
tetramisole	四咪唑
tetramisole	驱虫净
commutativity	交换性
ambeer	烟草汁
uncrumple	去掉……的皱纹
uncrumple	使回复到平整状态
absolvable	可赦免的
absolvable	可赦免
blotto	烂醉的
blotto	烂醉
blotto	烂醉如泥的
blotto	烂醉如泥
bilk	挫败
bilk	诈骗
bilk	诈骗
bilk	骗子
crucifix	苦像
crucifix	十字架
benefactive	施益体的
benefactive	施益体
frame	结构
frame	体格
frame	构成
frame	设计
frame	制定
frame	使适合
frame	陷害
frame	有成功希望
frame	帧
frame	画面
frame	框架
bandoline	发油的一种
whatman	一种高级绘画纸
l2tp	Layer
l2tp	2
l2tp	Tunneling
l2tp	Protocol
l2tp	二层通道协议
emersed	伸出水面的
emersed	伸出水面
marcusian	马尔库塞的
marcusian	马尔库塞
marcusian	马尔库塞观点的信奉者
weatherman	气象员
schussboom	直线滑下山坡
oceanologic	海洋学的
oceanologic	海洋学
oceanologic	有关海洋学的
oceanologic	有关海洋学
panada	面糊
easeful	舒适的
easeful	舒适
easeful	安逸的
easeful	安逸
sable	紫貂
sable	黑貂
sable	黑貂皮
sable	丧服
sable	黑貂皮的
sable	黑貂皮
sable	黑的
sable	黑
sable	昏暗的
sable	昏暗
converter	转炉
strontianite	菱锶矿
subconical	接近锥形的
subconical	接近锥形
oaa	开放式应用体系结构
nephrogenic	肾原性的
nephrogenic	肾原性
nephrogenic	肾发生的
nephrogenic	肾发生
sparrowgrass	芦笋
pindolol	心得乐
pindolol	心得静
pome	梨果
conservationist	保护管理论者
indiscussible	无法讨论的
indiscussible	无法讨论
indiscussible	不可讨论的
indiscussible	不可讨论
intertexture	交织
intertexture	编织
intertexture	交织物
excipient	赋形剂
forb	n非禾本草本植物
zwinglianism	茨温利教义
hastily	急速地
hastily	急速
hastily	轻率地
hastily	轻率
hastily	慌忙地
hastily	慌忙
hastily	草率地
hastily	草率
malaya	马来亚
malaya	马来半岛
photoreceptor	光感受器
photoreceptor	感光器
redemption	赎回
redemption	偿还
redemption	拯救
redemption	履行
fibroadenoma	纤维性瘤
unshown	未被显示的
unshown	未被显示
antismoking	反对吸烟
gaur	白肢野牛
gaur	印度野牛
stamina	毅力
stamina	持久力
stamina	精力
optimistically	乐观地
optimistically	乐观
optimistically	乐天地
optimistically	乐天
microcyte	小红细胞
manners	礼貌
plenipotentiary	全权大使
plenipotentiary	有全权的
plenipotentiary	有全权
krimmer	克里美亚产的小羊皮
shirtsleeved	=shirtsleeve
pellicle	薄皮
pellicle	薄膜
pellicle	表皮
prime	最初
prime	青春
prime	精华
prime	主要的
prime	主要
prime	最初的
prime	最初
prime	有青春活力的
prime	有青春活力
prime	最好的
prime	最好
prime	第一流的
prime	第一流
prime	根本的
prime	根本
prime	素数的
prime	素数
prime	预先准备好
prime	让人吃足
prime	灌注
prime	填装
carnet	官方证明信件
carnet	车票簿
nep	New
nep	Economic
nep	Policy
nep	新政
gangboard	梯板
gangboard	踏板
auspicious	吉兆的
auspicious	吉兆
auspicious	幸运的
auspicious	幸运
raggedly	破烂地
raggedly	破烂
raggedly	粗糙地
raggedly	粗糙
hare	野兔
funerary	葬礼的
funerary	葬礼
funerary	埋葬的
funerary	埋葬
semiprecious	次珍贵的
semiprecious	次珍贵
semiprecious	准宝石的
semiprecious	准宝石
shihchiachuang	见
shihchiachuang	Shijiazhuang
vernoleninsk	维尔诺列宁斯克(苏联乌克兰南部港市尼古拉耶夫
shipboy	=ship''s
shipboy	boy
atacamite	绿盐铜矿
wahhabi	瓦哈比教派的教徒
maniac	发狂的
maniac	发狂
maniac	癫狂的
maniac	癫狂
maniac	疯狂的
maniac	疯狂
maniac	燥狂者
maniac	疯子
maniac	一种高速电子数字计
grayish	浅灰色的
grayish	浅灰色
grayish	微带灰色的
grayish	微带灰色
araneid	蜘蛛
skosh	少量
skosh	一点点
shirtwaist	仿男式女衬衫
shirtwaist	衬衣式边衣裙
sarvodaya	萨尔乌达耶
sarvodaya	人人幸福
compleat	有造诣的
compleat	有造诣
compleat	非常熟练的
compleat	非常熟练
calcicole	钙生植物
calcicole	钙生植物的
calcicole	钙生植物
calcicole	生长于钙质土壤的
calcicole	生长于钙质土壤
anthropolatric	人类崇拜的
anthropolatric	人类崇拜
hematic	血的
hematic	血
hematic	血液的
hematic	血液
hematic	净血剂
yohimbine	育亨宾
yohimbine	壮阳碱
turkestan	土耳其斯坦
thrash	打痛打
thrash	打败
thrash	使逆行
thrash	胜过
thrash	使颠簸
thrash	推敲
thrash	打谷
thrash	击
thrash	颠簸
thrash	逆行
thrash	打谷
thrash	逆风浪行进
betroth	许配
xiii	罗马数字
xiii	13
contradictive	倾向于矛盾的
contradictive	倾向于矛盾
contradictive	抵触的
contradictive	抵触
humanics	人类学
zoometric	动物测定的
zoometric	动物测定
rebutter	反驳者
rebutter	第三次答辩
koto	十三弦古筝
emarginate	顶端微凹的
emarginate	顶端微凹
constructionist	法令解释者
constructionist	美国宪法解释者
conspiracy	共谋
conspiracy	阴谋
megilp	油画颜料的调色油
mirabilia	不可思议的事物
mirabilia	奇迹
corked	带木塞气味的
corked	带木塞气味
corked	塞着瓶塞的
corked	塞着瓶塞
featherbrain	愚蠢的人
featherbrain	轻浮的人
consist	由……组成
consist	在于
consist	一致
figurant	男配角演员
figurant	群众演员
labanotation	拉班舞谱
ataghan	=yataghan
pratt	屁股
sandpit	采沙坑
rioter	参加暴乱者
rioter	聚众闹事者
rioter	生活放纵者
hyperglycemia	多糖症
hyperglycemia	高血糖症
unanaesthetized	未经麻醉的
unanaesthetized	未经麻醉
syrette	西雷特皮下注射器
peachblow	桃红色
peachblow	桃红色釉
jargonize	用术语讲
jargonize	说行话
cocobolo	一种黄檀属之树
radiothorium	放射性钍
irresolvable	不能解决的
irresolvable	不能解决
laryngic	喉的
laryngic	喉
laryngic	喉音的
laryngic	喉音
odontorhynchous	=lamellirostral
vespucci	韦斯普奇
enterococcal	肠球菌的
enterococcal	肠球菌
doppie	葡萄皮酒
doppie	劣质白兰地酒
otec	海洋热能转换系统
antileukemia	抗白血病的
antileukemia	抗白血病
topdress	施肥于
halal	伊斯兰教律法的合法食物
halal	按伊斯兰教律法屠宰牲畜
informer	密告者
informer	控告的人
informer	通知的人
anfractuous	错综复杂
anfractuous	曲折的
anfractuous	曲折
anfractuous	弯曲的
anfractuous	弯曲
sharleen	莎林
slather	大量的用
slather	厚厚地涂
slather	大量
rubicundity	颜色发红
rubicundity	脸红
rebranch	二次分枝
rebranch	长出副枝
misorder	混乱
ciq	custom
ciq	immigration
ciq	quarantine
ciq	海关
terneplate	镀铅锡铁板
copymaker	撰稿广告人
cuff	袖口
cuff	裤子翻边
cuff	护腕
cuff	手铐
cuff	给……上袖口
cuff	用手铐铐
acheulean	阿舍利时期的
acheulean	阿舍利时期
bray	驴叫声
bray	喇叭声
bray	叫
bray	嘶叫
modular	模的
modular	模
modular	有标准组件的
modular	有标准组件
celioscope	腹腔镜
motorcyclist	乘机车者
submaxilla	下颌
submaxilla	下颌骨
helilift	用直升机运送
sizeable	相当大的
sizeable	相当大
sizeable	大的
sizeable	大
cycloolefin	环烯
fantasy	幻想
fantasy	白日梦
supervision	监督
supervision	管理
hummel	无角的
hummel	无角
knacker	屠马业者
knacker	收买废屋船业者
knacker	杀死
knacker	使筋疲力尽
autochthonism	土著
autochthonism	土生
autochthonism	土产
haleness	健壮
turdoid	似鸫的
turdoid	似鸫
lipogrammatic	避讳某字之文的
lipogrammatic	避讳某字之文
compend	手册概要
compend	概略
spiritoso	活泼的
spiritoso	活泼
spiritoso	热烈的
spiritoso	热烈
spiritoso	有生气的
spiritoso	有生气
unfitness	不适当
unfitness	不胜任
guid	globally
guid	unique
guid	identifier
guid	全球唯一标识符
cheddar	切达干酪
phidian	菲迪亚斯的
phidian	菲迪亚斯
phidian	菲迪亚斯风格的
phidian	菲迪亚斯风格
jargonelle	一种早熟的梨子
schwarmerei	不健康的偏爱
schwarmerei	狂热
dolomitization	化成白云石
leper	麻疯病患者
leper	受蔑视的人
discomposed	心乱的
discomposed	心乱
discomposed	不安的
discomposed	不安
dicentra	荷色牡丹属
dicentra	荷色牡丹
analectic	文选的
analectic	文选
analectic	论集的
analectic	论集
imbecile	低能的
imbecile	低能
imbecile	愚笨的
imbecile	愚笨
imbecile	虚弱的
imbecile	虚弱
imbecile	低能者
imbecile	痴呆
imbecile	愚蠢的人
hafnia	二氧化铪
etape	兵站
etape	宿营地
etape	宿营
amenorrhoea	无月经
assoil	赦免
assoil	释放
assoil	补偿
pangolin	穿山甲
synoekete	客虫
fuchsine	品红
fuchsine	洋红
eventration	腹脏突出
novelistic	小说的
novelistic	小说
gizzard	胃
idealism	理想主义
idealism	唯心论
unsanitary	不卫生的
unsanitary	不卫生
paraph	签名后的花笔
perniciously	有害地
perniciously	有害
perniciously	有毒地
perniciously	有毒
tallin	塔林
cropland	农田
cropland	植作物之农地
cropland	植作物之农
micrography	显微照相
micrography	微写
accordancy	调和
accordancy	意向
aspish	似毒蛇的
aspish	似毒蛇
arborvitae	小脑活树
norite	苏长岩
dioptrics	折射光学
gaingiving	疑虑
gaingiving	疑惧
deathless	不死的
deathless	不死
deathless	不灭的
deathless	不灭
pregnane	孕烷
quintal	公担
paedobaptist	主张幼儿洗礼者
carnival	狂欢节
carnival	饮宴狂欢
gardening	园艺
gardening	造园
gardening	造园术
gardening	园林工人的工作
immobilization	固定
immobilization	使停止流通
benzotrichloride	三氯甲苯
ballute	降落伞
ballute	气球
purp	狗
purp	小狗
otalgia	耳痛
benzoline	石油精
benzoline	奔散油
unstop	拔开塞子
unstop	除去障碍
appellative	名称的
appellative	名称
appellative	通称的
appellative	通称
appellative	通称名词
appellative	普通名词
appellative	称呼
poeticize	赋予诗意
tonally	在调子上
tonally	就音色的方面
advertent	注意的
advertent	注意
advertent	留意的
advertent	留意
overmike	用传声器过分放大
closh	鲸脂切割板
tanzania	坦桑尼亚
hoover	胡佛电动吸尘器
hoover	胡佛电动吸尘
granadero	防暴队员
seroconversion	血清转化
trunkback	棱皮龟
trunkback	革龟
genus	种
genus	类
paleencephalon	旧脑
paleencephalon	原脑
checkrow	农作物列
checkrow	栽植成行列
saintlike	圣洁的
saintlike	圣洁
foxing	鞋面修补用皮
foxing	鞋面皮
fattening	用于养肥禽畜的
fattening	用于养肥禽畜
fattening	正被养肥的
fattening	正被养肥
garderobe	衣柜
garderobe	卧室
trafficator	臂式方向指示器
mordict	more
mordict	dictu
cecil	塞西尔
awfully	非常
awfully	很
awfully	十分
cedarn	杉的
cedarn	杉
cedarn	杉木制的
cedarn	杉木制
rutlandshire	卢特兰郡
mixology	混合酒调制术
imago	意象
imago	成虫
fujian	福建
heterodoxy	非正统
heterodoxy	异端
heterodoxy	异说
crispness	易碎
crispness	精神愉快
pyroconductivity	高温导电性
durban	德班
dancery	舞厅
whimbrel	杓鹞
blooded	有血的
blooded	有血
blooded	血统优良的
blooded	血统优良
blooded	有战斗经验的
blooded	有战斗经验
deserter	背弃者
deserter	逃亡者
deserter	脱党者
mesophyll	叶肉
concentre	集中于一点
concentre	集合
astronautics	太空航空学
turbidness	混浊
turbidness	浓密
douceur	赏钱
douceur	小费
laminal	薄板状的
laminal	薄板状
laminal	由薄板组成的
laminal	由薄板组成
plasticiser	=plasticizer
hi	嗨!
ceil	装天花板
ceil	装船内格子板
unregenerate	灵魂未得再生的
unregenerate	灵魂未得再生
unregenerate	不改变信仰的
unregenerate	不改变信仰
unregenerate	不悔改的
unregenerate	不悔改
unregenerate	罪恶深重的
unregenerate	罪恶深重
roebuck	雄獐
nosology	疾病分类学
missionary	传教的
missionary	传教
missionary	传教士的
missionary	传教士
missionary	传教士
mascaron	怪状头像
mascaron	怪状面具
fishyback	背负式运输
furrow	犁沟
furrow	皱纹
furrow	犁
furrow	耕
furrow	弄绉
diaphototropism	横向光性
catercorner	成对角线的
catercorner	成对角线
solidaric	团结一致的
solidaric	团结一致
hellenize	使成希腊格调
hellenize	使用希腊语法
laughy	想笑的
laughy	想笑
laughy	好笑的
laughy	好笑
laughy	闹剧
oriana	奥丽埃纳
schatzi	宝贝
schatzi	心肝
schatzi	亲爱的
schatzi	亲爱
neckcloth	围巾
neckcloth	领带
romanesaue	罗马式
eyot	河中的小岛
oblivescence	遗忘
roommate	同屋者
roommate	室友
thumbhole	供塞入拇指的孔
seagate	美国希捷公司
seagate	是世界领先的硬盘生产商
imperatively	命令式地
imperatively	命令式
hesiod	赫西奥德
auscultation	听诊
strobila	叠生体
ks	Kansas
ks	美国堪萨斯州邮递区号
ks	King''s
ks	Scholar
ks	英国皇家奖学金学生
subopposite	近乎对生的
subopposite	近乎对生
vrd	皇家海军志愿后备队勋章
quixote	堂吉诃德
irremissible	不可宽恕的
irremissible	不可宽恕
irremissible	无法逃避的
irremissible	无法逃避
vitiligo	白癫风
nutria	海狸鼠
nutria	其毛皮
counterpull	反引力
tridione	特雷代乌恩
tridione	三甲双酮
skippet	封蜡盒
tarantara	=tantara
spiraculum	气孔
spiraculum	气门
concretionary	凝固的
concretionary	凝固
concretionary	含凝块的
concretionary	含凝块
concretionary	凝固而成的
concretionary	凝固而成
unpronounced	未发出音的
unpronounced	未发出音
unpronounced	未说出口的
unpronounced	未说出口
unpronounced	缄默的
unpronounced	缄默
schoolmistress	女教师
schoolmistress	女校长
troilism	三人间性行为
digging	挖掘
truthlessness	不诚实
truthlessness	不可信任
truthlessness	虚伪
gundalow	=gondola
prototherian	原兽亚纲的
prototherian	原兽亚纲
caky	饼状的
caky	饼状
caky	凝固的
caky	凝固
peridiolum	=peridiole
swimmable	可以游泳的
swimmable	可以游泳
swimmable	适合游泳的
swimmable	适合游泳
lesser	较小的
lesser	较小
lesser	更少的
lesser	更少
lesser	次要的
lesser	次要
deutoplasmic	滋养质的
deutoplasmic	滋养质
deutoplasmic	卵滋养质的
deutoplasmic	卵滋养质
cabdriver	计程车司机
cabdriver	马车夫
arcograph	圆弧规
intown	市中心的
intown	市中心
checkrail	护轨
crushproof	不会被压碎或撞坏的
crushproof	不会被压碎或撞坏
screenplay	电影剧本
kromesky	油炸肉丸
tuberous	有块茎的
tuberous	有块茎
tuberous	有结节的
tuberous	有结节
tuberous	块茎状的
tuberous	块茎状
hybridization	杂交
hybridization	杂种培植
hybridization	配种
ozoner	可驾车进入的剧场
recusant	不服权威的
recusant	不服权威
recusant	老唱反调的人
raffia	酒椰
raffia	酒椰叶的纤维
ashamed	惭愧的
ashamed	惭愧
ashamed	羞耻的
ashamed	羞耻
libau	=Liepaja
unbreathable	不宜于呼吸的
unbreathable	不宜于呼吸
unbreathable	不宜吸入的
unbreathable	不宜吸入
commutator	换向器
commutator	转接器
unbind	解开
unbind	解放
acetylcholine	乙酰胆碱
facete	滑稽的
facete	滑稽
facete	很有情趣的
facete	很有情趣
newton	牛顿
conductometer	热导计
conductometer	电导计
depurge	赦免
pozzolana	火山灰
pozzolana	=pozzuolana
perisher	死亡的东西
perisher	讨厌的人
schlub	没用的人
schlub	蠢货
jeremiad	悲叹
jeremiad	悲痛
jeremiad	悲哀的故事
motto	座右铭
motto	格言
motto	题词
motto	笺言
tetrawickmanite	四方羟锡锰石
kemb	梳
kemb	梳
revenuer	财政部缉私酒官员
revenuer	税务官员
trivalence	三价
tip	顶
tip	尖端
tip	梢
tip	倾斜
tip	轻击
tip	末端
tip	小费
tip	秘密消息
tip	在……顶端装附加物
tip	使倾斜
tip	使翻倒
tip	暗示
tip	轻击
tip	给
tip	泄露
tip	给小费
tip	倾斜
tip	翻倒
tip	倾覆
tip	踮脚走
tip	给小费
tip	提示
tip	技巧
lacklustre	无光泽的
lacklustre	无光泽
millrace	水车用的水流
millrace	引该水流的水沟
anthropometry	人体测量学
facular	光斑的
facular	光斑
facular	白斑的
facular	白斑
scpo	Senior
scpo	Chief
scpo	Petty
scpo	Officer
scpo	一级军士长
profilometer	=profilograph
weever	鲈鱼
hypoalonemia	血盐过低
hypoalonemia	低血盐
dieter	节食者
dieter	减肥者
turbosphere	湍流层
ultimatism	极端主义
hakim	医师
hakim	学者
expulsion	逐出
expulsion	开除
mystificator	搞神秘化的人
mystificator	使人困惑不解的事物
jerry	草率的
jerry	草率
jerry	偷工减料的
jerry	偷工减料
centered	有圆心的
centered	有圆心
centered	居中的
centered	居中
ct	Connecticut
ct	美国康奈提格州邮递区号
indicium	indicia的单数
prog	食物
prog	掠夺得的食物
prog	进步人士
prog	掠夺
yamasee	雅玛西人
dost	do的第二人称单数
dost	现在式
reborn	再生的
reborn	再生
reborn	更新的
reborn	更新
reborn	复兴的
reborn	复兴
familistic	家庭主义的
familistic	家庭主义
viperish	毒蛇般的
viperish	毒蛇般
viperish	阴险的
viperish	阴险
botchwork	笨拙的工作
botchwork	粗制滥造的活
chromolithograph	9krEJmEJlI`phic/`krEJmEJ9lIphy/9krEJmEJlI`WJ^rB:f/
chromolithograph	多彩石覹C^rEfE/
chromolithograph	套WE`^rAfIk/
chromolithograph	石C^rEfI/
chromolithograph	石版或小版
chromolithograph	多彩石印吧∷⒄
degrade	退化
district	区域
district	地方
district	管区
district	行政区
district	众议院选区
counterintuitive	违反直觉的
counterintuitive	违反直觉
chrematistic	理财的
chrematistic	理财
chrematistic	牟利的
chrematistic	牟利
chrematistic	赚钱的
chrematistic	赚钱
derv	柴油
stingily	吝啬地
stingily	吝啬
stingily	小气地
stingily	小气
pentaprism	五棱镜
whichsoever	pro
whichsoever	不论何者
whichsoever	任何一个
whichsoever	无论何者的
whichsoever	无论何者
quantify	确定数量
quantify	量化
roxane	罗克珊
clothesbrush	衣刷
integrodifferential	积分微分的
integrodifferential	积分微分
boxing	拳击
drawer	抽屉
drawer	画家
drawer	制图员
drawer	衬裤、内裤
cantilation	以单音调诵歌
cantilation	吟诵
reverence	尊敬
reverence	敬重
reverence	敬礼
reverence	尊严
reverence	威望
reverence	尊敬的……阁下
reverence	崇敬
reverence	敬畏
reverence	尊敬
hol	假日
unifiable	可联合的
unifiable	可联合
unifiable	可统一的
unifiable	可统一
unifiable	能一致的
unifiable	能一致
quotation	引用语
quotation	价格
quotation	报价单
quotation	行情表
nelly	Eleanor
nelly	Ellen
nelly	Helen
nelly	的昵称
nelly	女人气的男人
opalescence	乳白光
opalescence	蛋白色光
scutum	长形盾
scutum	鳞甲
scutum	髌骨
wenonah	威诺娜
embrute	=imbrute
expectation	期待
expectation	预料
expectation	指望
expectation	展望
expectation	期望
midnightly	子夜的
midnightly	子夜
midnightly	午夜的
midnightly	午夜
midnightly	半夜的
midnightly	半夜
midnightly	在子夜
midnightly	在午夜
midnightly	在半夜
umbiliform	脐状的
umbiliform	脐状
midbrain	中脑
conceptualization	化为概念
conceptualization	概念化
petulant	脾气坏的
petulant	脾气坏
petulant	使性子的
petulant	使性子
consecutive	连续的
consecutive	连续
consecutive	联贯的
consecutive	联贯
twx	Teletypewriter
twx	Exchange
twx	电传打字电报台
greystone	玄武石
tramway	缆车索道
sector	部分
sector	部门
sector	扇区
sector	地区
sector	象限
sector	扇形
sector	使分成部分
sector	把……分成扇形
fanlight	扇形窗
kweichow	见Guizhou
legpull	恶作剧
legpull	愚弄
himem	扩充内存管理程序
perfidious	背信弃义的
perfidious	背信弃义
whiskified	喝醉了的
whiskified	喝醉了
whiskified	醉醺醺的
whiskified	醉醺醺
oilhole	润滑油孔
oilhole	注油孔
symphonic	交响乐的
symphonic	交响乐
symphonic	和声的
symphonic	和声
currycomb	马梳
currycomb	用马梳梳
geyserite	间歇泉周围的沉积物
newswriting	新闻编辑
newswriting	新闻写作
newswriting	为报纸撰稿
footboard	踏足板
overdevelop	使过度发达
overdevelop	显像过多
pancreatize	用胰酶治疗
xylogen	木质素
xylogen	木纤维
undies	内衣
ply	厚度
ply	板层
ply	褶
ply	不住地使用
ply	从事
ply	折
ply	弯
ply	辛勤工作
ply	定期地来往
bufotenine	蟾毒色胺
bufotenine	蟾蜍特宁
shellac	虫漆
shellac	涂上虫漆
shellac	以虫胶结合
shellac	殴打
mesquite	豆科灌木
dissimulate	掩饰
dissimulate	假装
dissimulate	装糊涂
scorify	使变成矿渣
scorify	析取
nicotinic	烟碱的
nicotinic	烟碱
nicotinic	烟碱酸的
nicotinic	烟碱酸
purposedly	故意地
purposedly	故意
purposedly	蓄意地
purposedly	蓄意
pyknosis	固缩
pyknosis	细胞致密变化
subglacial	冰下的
subglacial	冰下
subglacial	冰川下的
subglacial	冰川下
aliesterase	脂族酯酶
visuopsychic	精神视觉的
visuopsychic	精神视觉
carotid	颈动脉
carotid	颈动脉的
carotid	颈动脉
goyisch	=goyish
unbribable	不可收买的
unbribable	不可收买
unbribable	不可贿赂的
unbribable	不可贿赂
lateenrigged	有大三角帆的
lateenrigged	有大三角帆
erudition	博学
acetoacetyl	coenzyme
acetoacetyl	A
acetoacetyl	乙酰乙酰辅酶A
tottering	蹒跚的
tottering	蹒跚
tottering	动摇的
tottering	动摇
imminently	迫切地
imminently	迫切
imminently	紧急地
imminently	紧急
nameplate	名牌
nameplate	标示牌
euglenid	眼虫
euglenid	鞭毛虫
roselle	洛神葵
jarosite	黄钾铁矾
disbranch	切断
bailee	受托者
orthoptic	直视的
orthoptic	直视
orthoptic	视轴矫正的
orthoptic	视轴矫正
orthoptic	有助正视的
orthoptic	有助正视
gana	加纳王国
generalisation	=generalization
dormition	睡着
dormition	死亡
phytoalexin	植物抗毒素
stranglehold	勒颈
stranglehold	压制自由
stranglehold	束缚
stranglehold	抑制
technician	技术员
technician	技师
salud	祝您健康
salud	干杯
handyman	受雇做杂事的人
handyman	做零活的人
pneumatics	气体力学
landscapist	风景画家
magnifier	放大镜
magnifier	放大器
overindulgence	过分放纵
overindulgence	过分任性
ilgwu	International
ilgwu	Ladies''Garment
ilgwu	Workers''Union
ilgwu	国际妇女服装工人联合会
africanization	非洲化
impartation	给予
impartation	告知
jeopardous	危险的
jeopardous	危险
jeopardous	冒险的
jeopardous	冒险
callisthenic	柔软体操的
callisthenic	柔软体操
gunplay	手枪战
trotskyite	托洛茨基分子
trotskyite	托派分子
camail	盔甲披肩
rockstaff	摆动杆
