theosophical	神智学
superatomic	bomb
superatomic	=hydrogen
superatomic	bomb
missionize	传教
callosity	无情
callosity	冷酷
callosity	硬结
callosity	老茧皮
horsecloth	马衣
horsecloth	马被
agalite	纤滑石
coom	煤烟
lamb	小羊
lamb	羔羊
lamb	生小羊
lecithal	有卵黄的
lecithal	有卵黄
hariana	=Haryana
hariana	哈里亚纳牛
hariana	海里安那牛
daffy	愚笨的
daffy	愚笨
daffy	疯狂的
daffy	疯狂
aquaemanale	弥撒前神父洗手用的水盆
atonality	无调性
breechloader	后膛枪
breechloader	后膛炮
falciform	镰刀状的
falciform	镰刀状
extensive	广大的
extensive	广大
extensive	广阔的
extensive	广阔
extensive	广泛的
extensive	广泛
decimator	每十人杀一人者
decimator	杀害多人者
minar	塔
ingenue	天真无邪的少女
ingenue	阅历不深的人
immeasurably	不能测量地
immeasurably	不能测量
immeasurably	无限制地
immeasurably	无限制
magnetisation	=magnetization
fluoropolymer	含氟聚合物
belch	打嗝
belch	冒烟、喷出
belch	打嗝
belch	喷射
foretold	foretell的过去式及过去分词
pomorze	=Pomerania
aeroboat	水上飞机
aeroboat	飞艇
bearing	轴承
bearing	关系
bearing	方面
bearing	意义
bearing	方向
bearing	方位
brekker	早餐
animateur	发起人
animateur	倡导者
rebounder	善于篮板球之球员
eruca	毛虫
eruca	蛾类之幼虫
ferula	大茴香
ferula	竹板
ferula	教鞭
aortoiliac	腹主动脉与骼动脉的
aortoiliac	腹主动脉与骼动脉
thasos	萨索斯岛
precognition	预知
theorematic	定理的
theorematic	定理
pulsion	推进
realm	领域
eradication	连根拔除
eradication	根除
sial	硅铝带
sial	硅铝层
automatically	自动地
automatically	自动
automatically	机械地
automatically	机械
ribaldry	下流
ribaldry	猥亵的话
groyne	防波堤
groyne	筑造防波堤
penpoint	笔尖
bowyang	裤子垫膝布
aerobiotic	好氧生活的
aerobiotic	好氧生活
blastomycete	芽生菌
culminate	达到顶点
adulterous	通奸的
adulterous	通奸
adulterous	不贞的
adulterous	不贞
ligamenta	韧带
ramrod	推弹杆
ramrod	严厉的负责人
ramrod	严厉的
ramrod	严厉
ramrod	生硬的
ramrod	生硬
decompound	分解
westernize	使西洋化
westernize	使欧化
squandermania	浪费狂
squandermania	乱花狂
uninquisitive	不好问的
uninquisitive	不好问
uninquisitive	不爱钻研的
uninquisitive	不爱钻研
uninquisitive	好奇性不强的
uninquisitive	好奇性不强
uninquisitive	不爱打听的
uninquisitive	不爱打听
thoroughness	完全
thoroughness	十分
kop	小山
kop	山
kop	山岳
undersigned	下面签名的
undersigned	下面签名
lymphotoxin	淋巴毒素
ruthfulness	充满感伤
ruthfulness	引起怜悯
semimonastic	半隐修院修会的
semimonastic	半隐修院修会
nabobery	财主常去的地方
nabobery	大富翁光临之地
nabobery	大富翁光临之
punish	惩罚
punish	处罚
aurist	耳科医生
aurist	耳科专家
picosecond	皮
replead	作第二次答辩
monogynous	一妻制的
monogynous	一妻制
abram	艾布拉姆
adae	手斧
unevangelical	非福音的
unevangelical	非福音
unevangelical	与四不相符的
unevangelical	与四不相符
appraisingly	以品评或评价的眼光
trolley	电车
trolley	滚轮
trolley	手推车
trolley	手摇车
trolley	台车
trolley	用手推车运
trolley	乘电车
coricidin	柯利西锭
ambiplasma	双极性等离子体
monopolize	独占
monopolize	垄断
pantshoes	配喇叭裤穿的鞋
populace	平民
accompany	陪伴
accompany	伴奏
squeaky	吱吱响的
squeaky	吱吱响
squeaky	发轧声的
squeaky	发轧声
masticator	咀嚼者
repentantly	后悔地
repentantly	后悔
repentantly	悔悟地
repentantly	悔悟
babirussa	野猪
morphotropy	变
morphotropy	形研究
cosmographer	宇宙志学者
cosmographer	宇宙学家
apod	无足动物
apod	无腹鳍的鱼
apod	无足的
apod	无足
apod	无腹鳍的
apod	无腹鳍
winfield	温菲尔德
tucutucu	=tucotuco
gustily	暴风地
gustily	暴风
gustily	狂风地
gustily	狂风
apodeictic	绝对真理的
apodeictic	绝对真理
apodeictic	无可置疑的
apodeictic	无可置疑
ouroscopy	=uroscopy
keyway	扁形钥孔
keyway	键沟
photograph	照片
transpirable	可蒸发的
transpirable	可蒸发
transpirable	可散发的
transpirable	可散发
brill	一种可食用的欧洲比目鱼
grazier	放牧人
preview	事先查看
preview	预览
preview	事先查看
preview	预展
preview	预演
retinospora	=retinispora
stalklet	小茎
stalklet	小柄
stalklet	花梗
woodchopper	伐木者
woodchopper	樵夫
cryoscope	冰点测定器
hesione	赫西俄涅
eremitic	隐士的
eremitic	隐士
eremitic	隐士般的
eremitic	隐士般
photoreconnaissance	空中照相侦察
fey	注定要死的
fey	注定要死
stratosphere	同温层
stratosphere	最上层
stratosphere	最高阶段
anthodium	集合花
anthodium	小头状花序
pygmyism	矮小
pygmyism	侏儒症
engross	用大字体书写
engross	吸引
engross	占用
engross	使全神贯注
engross	独占
cags	certificate
cags	of
cags	advanced
cags	graduate
cags	study研究生高级课程证书
link	链环
link	连结物
link	火把
link	链接
link	连结
link	联合
link	挽
link	连接起来
dialog	会话
dialog	对话
confiscatory	没收的
confiscatory	没收
confiscatory	充公的
confiscatory	充公
gazania	杂色菊属植物
snarl	缠结
snarl	混乱
snarl	吠
snarl	咆哮
snarl	怒骂
snarl	使缠结
snarl	搞乱
snarl	咆哮着说
snarl	咆哮
snarl	吼叫
snarl	怒骂
snarl	缠结
snarl	混乱
esperantist	世界语提倡者
furfuran	=furan
macedonian	马其顿的
macedonian	马其顿
macedonian	马其顿人
horsily	似马地
horsily	似马
horsily	爱马地
horsily	爱马
ahasuerus	亚哈随鲁
gastrula	胚囊
gastrula	肠胚
travois	一种旧式雪橇
rightlessness	没有权利
aloeswood	伽罗木
aloeswood	沉香木
unround	不以嘴唇呈圆形而发音
outpull	比……有更大吸引力
outpull	比……吸引更多人
sekondi	塞康第
vitallium	维塔利姆高钴铬钼耐蚀耐热合金
emulgent	泄出血管
emulgent	利泄剂
prothorax	前胸
lizard	蜥蜴
unrelaxing	不放松的
unrelaxing	不放松
mortise	榫眼
mortise	印刷版穴
mortise	接榫眼
practicality	实用性
append	附加
append	添加
append	悬挂
potichomania	彩绘瓷器仿制
clitoris	阴核
clitoris	阴蒂
bronzite	古铜辉石
altercation	争论
altercation	口角
resourceful	资源丰富的
resourceful	资源丰富
resourceful	足智多谋的
resourceful	足智多谋
miltonic	弥尔顿的
miltonic	弥尔顿
miltonic	弥尔顿风格的
miltonic	弥尔顿风格
miltonic	庄严的
miltonic	庄严
hymnologist	赞美诗作者
hymnologist	赞美歌学者
hymnologist	圣歌作者
nonexpert	非专家
missive	信件
whipless	已脱党的
whipless	已脱党
whipless	被剥夺党员资格的
whipless	被剥夺党员资格
vinelet	藤本植物幼苗
consentaneous	一致的
consentaneous	一致
consentaneous	同意的
consentaneous	同意
selfwards	=selfward
counterflow	逆流
herpes	疱疹
grassy	绿色的
grassy	绿色
grassy	象草的
grassy	象草
demonstrative	说明的
demonstrative	说明
demonstrative	指示的
demonstrative	指示
pulp	果肉
pulp	纸浆
pulp	使化成纸浆
pulp	除去……果肉
pulp	变成纸浆
della	黛拉
hydrastis	黄连碱
clarabella	风琴的音栓
surbase	装饰线脚
nimbus	光轮
fleury	饰以百合花纹的
fleury	饰以百合花纹
fleury	臂端有花纹的
fleury	臂端有花纹
formularization	公式化
steadily	稳定地
steadily	稳定
steadily	有规则地
steadily	有规则
suppuration	脓
suppuration	化脓
palely	苍白地
palely	苍白
palely	暗淡地
palely	暗淡
perverted	不正当的
perverted	不正当
codeterminant	共同决定因素
hypolithic	成长在石下的
hypolithic	成长在石下
geomedicine	风土医学
tossel	=tassel
lymphocytosis	淋巴球增多
joule	焦耳
ozarkian	欧扎克高原的
ozarkian	欧扎克高原
ozarkian	欧扎克人的
ozarkian	欧扎克人
roll	滚动
roll	滚转
roll	卷
roll	卷形物
roll	摇晃
roll	摆动
roll	名单
semination	播种
semination	传播
eparchy	州
eparchy	郡
eparchy	主教管区
dispersoid	分散体
fitting	适合的
fitting	适合
fitting	相称的
fitting	相称
fitting	适宜的
fitting	适宜
fitting	试穿
fitting	试衣
fitting	装配
fitting	装置
suedette	绒面革仿制品
suedette	仿麂皮
dollishness	玩偶似
dollishness	好看而没有头脑
lech	好色
lech	纵欲
lech	肉欲
lech	好色的人
lech	好色的
lech	好色
mrcs	Member
mrcs	of
mrcs	the
mrcs	Royal
mrcs	College
mrcs	of
mrcs	Surgeons
mrcs	皇家外科医师学会会员
claimable	可要求的
claimable	可要求
phial	小玻璃瓶
phial	药瓶
jacobinism	Jacobin
jacobinism	党的主义
jacobinism	激进共和主义
rangy	适于四肢瘦长的
rangy	适于四肢瘦长
theophilus	西奥菲勒斯
lien	留置权
lien	抵押品所产生的利息
foundationer	领奖学金的人
foundationer	领助学金的学生
lysenkoism	Lysenko
lysenkoism	学说
tehuantepec	特旺特佩克地峡
somewhere	某处
somewhere	在某处
holey	有穴的
holey	有穴
holey	多洞的
holey	多洞
justiceship	法官的地位
justiceship	职权或任期
midget	侏儒
midget	小型的
midget	小型
fatsoluble	脂溶的
fatsoluble	脂溶
nebulium	氰
zoa	Zionist
zoa	Organization
zoa	of
zoa	America美国犹太复国主义组织
zoa	zoon的复数
viscousness	黏质
viscousness	有黏性
commingle	混合
psychoprophylaxis	心理助产法
triiodothyronine	三碘甲状腺氨酸
gadgeteer	摆弄小玩意的人
circumvascular	绕着血管或导管的
circumvascular	绕着血管或导管
hacker	电脑黑客
asynchronous	不同时的
asynchronous	不同时
asynchronous	异步的
asynchronous	异步
inviting	引人动心的
inviting	引人动心
inviting	有魅力的
inviting	有魅力
turbogenerator	涡轮式发电机
dapping	将鱼饵轻点水面的钓鱼法
adjudicate	判决
adjudicate	宣判
adjudicate	裁定
pung	箱型雪撬
broederbond	秘密兄弟会
foreordain	预先
foreordain	注定
foreordain	预定命运
preexposure	预曝光
century	世纪
century	百年
century	百个
century	板球中的一百分
century	百元
solemnization	举行仪式
solemnization	隆重的庆祝
solemnization	庄严化
ces	Consumer
ces	Electronic
ces	Show
ces	国际消费类电子展
semileptonic	半轻子的
semileptonic	半轻子
unclaimed	无人要求的
unclaimed	无人要求
unclaimed	所有主不明的
unclaimed	所有主不明
cancerology	癌学
dire	可怕的
dire	可怕
eurasian	欧亚的
eurasian	欧亚
eurasian	欧亚人的
eurasian	欧亚人
discomposedly	烦乱地
discomposedly	烦乱
discomposedly	不宁地
discomposedly	不宁
skellum	流氓
skellum	无赖
alif	阿拉伯文的第一个字母
singaradja	新加拉惹
totalisator	总额计算器
totalisator	赛马赌金计算器
stenciler	刻模版工
stenciler	模板印刷工具
genocidist	拥护种族灭绝政策的人
uniformitarian	`jU:nI9fR:mIErIEn/
uniformitarian	`teErIEnIzEm/
uniformitarian	[均变说的
uniformitarian	[均变说
uniformitarian	均变碌刂蔧均变论
wernerite	方柱石
jaa	Japan
jaa	Asia
jaa	Airways
jaa	日本亚细亚航空
incuse	铸印的
incuse	铸印
incuse	铸印图样
nyon	尼翁陶器
unconceivable	=inconceivable
narcotization	麻醉
narcotization	麻醉状态
artware	工艺品
grampus	灰海豚
grampus	虎鲸
reedbird	食米鸟
frown	皱眉
frown	蹙额
frown	不赞成
frown	反对
frown	皱眉
doozer	非常出色的人
doozer	非常显眼的东西
cuzco	库斯科
ganglionitis	神经节炎
postembryonic	胚后期的
postembryonic	胚后期
quarterday	季度日
quarterday	季度结帐日
israel	以色列
ogaden	欧加登
tenderloin	腰部嫩肉
semimonthly	每半个月一次的
semimonthly	每半个月一次
semimonthly	每半月一次
semimonthly	每月二次
semimonthly	半月刊
tih	Their
tih	Imperial
tih	Highnesses
tih	殿下
lough	湖
lough	港湾
xanthomatosis	黄瘤症
kasher	正确的
kasher	正确
prorate	比例分配
prorate	分派
herniate	脱肠
herniate	患疝气
besprinkle	洒
besprinkle	布满
quartern	四分之一品脱
languedoc	郎格多克
termitic	白蚁的
termitic	白蚁
termitic	白蚁所引起的
termitic	白蚁所引起
franglification	英语化
armpit	腋窝
syntony	共振
syntony	谐振
diploe	板障
bourgeois	中产阶级
bourgeois	商人
bourgeois	资产阶级
bourgeois	中产阶级的
bourgeois	中产阶级
bourgeois	平庸的
bourgeois	平庸
bourgeois	九点活字
bestridden	bestride的过去分词
wawl	痛哭
wawl	号叫
expositorial	=expository
gypster	骗子
rath	较普通时刻早的
rath	较普通时刻早
rath	早熟的
rath	早熟
calefactory	寺院内的取暖房
calefactory	发暖的
calefactory	发暖
legislatress	女性立法者
legislatress	女国会议员
insolent	侮慢无礼的人
insolent	傲慢的
insolent	傲慢
insolent	无礼的
insolent	无礼
insolent	侮慢的
insolent	侮慢
crore	一千万
inspirationist	灵感论者
inspirationist	神感论者
rrna	ribosomal
rrna	RNA
jaw	叉钳
jaw	钳夹
jaw	闲谈
jaw	教训
jaw	唠叨
batteries	电池
woolwork	绒线刺绣
blasphemous	亵渎神明的
blasphemous	亵渎神明
blasphemous	不敬神的
blasphemous	不敬神
unblamed	未受责备的
unblamed	未受责备
unblamed	清白的
unblamed	清白
overstuff	装填过度
overstuff	给加厚软垫
favourably	顺利地
favourably	顺利
favourably	有利地
favourably	有利
chlorophyl	叶绿素
atenism	=Atonism
artifacts	史前古器物
bankable	银行能接受的
bankable	银行能接受
cleanhanded	清廉的
cleanhanded	清廉
autodidact	自学者
autodidact	自学成功的人
incommode	妨碍
leotard	紧身连衣裤
expiratory	吐气的
expiratory	吐气
expiratory	呼气的
expiratory	呼气
circumambulate	绕行
circumambulate	巡行
circumambulate	婉转打探
brighish	相当明亮的
brighish	相当明亮
undetachable	不可分开的
undetachable	不可分开
undetachable	不可拆卸的
undetachable	不可拆卸
irrecoverable	无可挽救的
irrecoverable	无可挽救
mullite	多铝红柱石
ventifact	风棱石
ventifact	风磨石
propositional	建议的
propositional	建议
propositional	提议的
propositional	提议
abhor	憎恶
abhor	痛恨
phocomelia	海豹肢症
enough	足够的
enough	足够
enough	充足的
enough	充足
enough	只够做……的
enough	只够做……
enough	充足
enough	足够
enough	很多
enough	足够地
enough	足够
enough	充分地
enough	充分
enough	够了!
spitfire	烈性子
spitfire	喷火的东西
kermis	露天市集
kermis	庙会
hepster	=hipster
putrescence	腐败
putrescence	腐烂
putrescence	坏死
horseplay	动手脚和大声欢笑的玩闹
amorous	多情的
amorous	多情
amorous	恋爱的
amorous	恋爱
amorous	表示爱情的
amorous	表示爱情
anisometric	不等轴的
anisometric	不等轴
overmantel	壁炉上的饰架
homeostatically	自我平衡地
homeostatically	自我平衡
homeostatically	原状稳定地
homeostatically	原状稳定
descendible	可遗传的
descendible	可遗传
glycemia	血糖过多
angeleno	洛杉矶人
angeleno	洛杉矶居民
sanguinary	残暴的
sanguinary	残暴
coarctation	密集
coarctation	收缩
coproantibody	粪抗体
nonagenarian	九十多岁的
nonagenarian	九十多岁
nonagenarian	九十多岁
slang	俚语
slang	行话
slang	用粗话骂
slang	用俚语说
nanning	南宁
izard	一种羚羊
flounce	衣裙上的荷边装饰
flounce	镶以荷叶边
flounce	在……上
flounce	跳动
flounce	突然离去
flounce	挣扎
yordim	以色列侨民
christchurch	克赖斯特彻奇
stut	=stutter
rynd	轴心铁
puissance	越障能力测试
puissance	权力
puissance	权势
puissance	力量
puissance	影响
butter	黄油
butter	牛油
butter	涂黄油于……上
reappear	再出现
jugoslavia	南斯拉夫
unprosperous	不茂盛的
unprosperous	不茂盛
unprosperous	不繁荣的
unprosperous	不繁荣
unprosperous	不成功的
unprosperous	不成功
unprosperous	不顺利的
unprosperous	不顺利
griminess	污秽
tricotyledonous	具三子叶的
tricotyledonous	具三子叶
tricotyledonous	三子叶植物的
tricotyledonous	三子叶植物
devitrification	除去玻璃光泽
devitrification	使不透明
neoteric	近代的
neoteric	近代
neoteric	新发明的
neoteric	新发明
neoteric	现代人
neoteric	现代作家
flash	闪光
flash	闪现
flash	一瞬间
flash	闪光
flash	闪现
flash	反射
flash	使迅速传便
flash	使闪光
flash	反射
flash	闪光的
flash	闪光
flash	火速的
flash	火速
dipper	浸渍者
dipper	汲取的人
dipper	浸染工
dipper	显影液容器
dipper	北斗七星
pna	pentose
pna	nucleic
pna	acid
pna	戍糖核酸
exquisite	优美的
exquisite	优美
exquisite	高雅的
exquisite	高雅
exquisite	精致的
exquisite	精致
exquisite	剧烈的
exquisite	剧烈
exquisite	异常的
exquisite	异常
exquisite	细腻的
exquisite	细腻
exquisite	敏锐的
exquisite	敏锐
stereoscope	立视镜
stereoscope	立体镜
stereoscope	立体照相镜
mickey	精神
mickey	骄气
materialistic	唯物论的
materialistic	唯物论
materialistic	唯物主义的
materialistic	唯物主义
gasproof	防毒气的
gasproof	防毒气
gasproof	不透气的
gasproof	不透气
ascospore	囊孢子
massive	厚重的
massive	厚重
massive	大块的
massive	大块
massive	魁伟的
massive	魁伟
massive	结实的
massive	结实
chincapin	栗树的一种或其果实
rennes	雷恩
renard	=Reynard
fate	天数
fate	命运
fate	运气
fate	注定
fate	送命
kuroshio	自台湾东面的菲律宾海流向日本的暖流
deem	认为
deem	相信
hebraic	希伯来人的
hebraic	希伯来人
hebraic	希伯来语的
hebraic	希伯来语
hebraic	希伯来文化的
hebraic	希伯来文化
underbred	教养不良的
underbred	教养不良
underbred	没教养的
underbred	没教养
underbred	下流的
underbred	下流
underbred	劣种的
underbred	劣种
iraq	伊拉克共和国
outskirts	边界
outskirts	市郊
abnormalcy	反常
abnormalcy	畸形
gujerat	=Gujarat
ianthe	艾安西
unstream	不再把……按智力分班
firepower	火力
abundantly	丰富地
abundantly	丰富
tux	男士无尾半正式晚礼服
polestar	北极星
polestar	指导原则
polestar	目标
schlamperei	邋遢
schlamperei	糊涂
harmonize	协调
rote	死记硬背
rote	机械的做法
rote	生搬硬套
enamelling	上釉术
enamelling	上彩色
sheraton	谢拉顿家具式样
sheraton	谢拉顿风格的
sheraton	谢拉顿风格
sheraton	谢拉顿式的
sheraton	谢拉顿式
valine	缬氨酸
cranioplasty	头颅造形术
cranioplasty	头颅成形术
citlaltepetl	=Pico
citlaltepetl	de
citlaltepetl	Orizaba
raschel	拉歇尔经编针织物
uncirculated	未流通的
uncirculated	未流通
flimsily	脆弱地
flimsily	脆弱
flimsily	柔弱地
flimsily	柔弱
lockkeeper	水闸看守人
railchair	轨座
tricker	欺骗者
tricker	恶作剧者
leukemogenesis	引起白血病
anemogram	风速记录图
anemogram	风力自记曲线
appose	并列
appose	放……在对面
raad	电鲶
succubus	女妖
succubus	妓女
succubus	魔鬼
monosynaptic	单突触的
monosynaptic	单突触
stubbornness	倔强
stubbornness	顽强
unionised	=unionized
skidoo	=skiddoo
antigas	防毒的
antigas	防毒
antigas	防毒气用的
antigas	防毒气用
extravascular	血管外的
extravascular	血管外
extravascular	没有血管的
extravascular	没有血管
repackage	重新包装
brut	极干的
brut	极干
brut	未加糖的酒
brut	低糖的酒
nonce	现时
nonce	目前
morbifical	引起疾病的
morbifical	引起疾病
radicate	使生根
radicate	确立
footloose	自由自在的
footloose	自由自在
footloose	到处走动的
footloose	到处走动
backtrack	返回
backtrack	退走
backtrack	撤退
backtrack	放弃
reconviction	再判决
reconviction	重新判决
thermionics	热离子学
lyard	带灰白色条纹的
lyard	带灰白色条纹
lyard	灰白色的
lyard	灰白色
liquefiable	可溶解的
liquefiable	可溶解
liquefiable	液化的
liquefiable	液化
vampire	吸血鬼
correlator	相关器
longsome	冗长的
longsome	冗长
longsome	令人厌倦的
longsome	令人厌倦
volcanian	=volcanic
execrable	该咒的
execrable	该咒
execrable	可憎恨的
execrable	可憎恨
execrable	讨厌的
execrable	讨厌
execrable	恶劣的
execrable	恶劣
execrable	坏透的
execrable	坏透
dehortatory	劝阻
dazzlingly	灿烂地
dazzlingly	灿烂
dazzlingly	耀眼地
dazzlingly	耀眼
insurer	保险业者
insurer	保险公司
dispassionate	冷静的
dispassionate	冷静
dispassionate	不带感情的
dispassionate	不带感情
dispassionate	平心静气的
dispassionate	平心静气
rejuvenation	返老还童
rejuvenation	恢复活力
rejuvenation	回春
rejuvenation	复壮
cholangitis	胆管炎
cholangitis	胆道炎
semper	总是
semper	经常
semper	永远
teeter	步履蹒跚
teeter	摇摇欲坠
baed	bachelor
baed	of
baed	arts
baed	in
baed	education
baed	教育学士
continuatively	[
continuatively	continuativeness
introflexion	向内弯曲
bvi	British
bvi	Virgin
bvi	Islands
sorgho	=sorgo
perambulate	巡行
cheerless	不快活的
cheerless	不快活
fathogram	回音测深仪纪录图
fathogram	水深图
benefactrix	女施主
benefactrix	女恩人
nitroxyl	硝酰
enliven	使生气的
enliven	使生气
enliven	使活泼
enliven	使生动
fieldward	向原野地
fieldward	向原野
simpatico	和谐的
simpatico	和谐
simpatico	讨人喜欢的
simpatico	讨人喜欢
simpatico	令人亲近的
simpatico	令人亲近
crissal	肛周的
crissal	肛周
crissal	围肛羽的
crissal	围肛羽
dug	dig的过去式和过去分词
pooja	=puja
lagos	尼日利亚的首都
xyst	室内运动场
xyst	散步小道
xyst	有林荫的行人道
hippophile	喜爱马的人
uncontaminated	未被污染的
uncontaminated	未被污染
uncontaminated	未被沾污的
uncontaminated	未被沾污
uncontaminated	未受感染的
uncontaminated	未受感染
distrust	不信任
distrust	不信任
ambitendency	正反意向并存
overexploitation	过度剥削
afterpeak	尾尖舱
afterpeak	后尖舱
mutualism	互助论
mutualism	互利共生
plasm	等离子体
plasm	等离子区
dmz	demilitarized
dmz	zone
dmz	非军事区
fibrinolysin	溶纤维蛋白酵素
substituent	取代
substituent	取代的
substituent	取代
halobiotic	生长于海滨等盐质环境的
halobiotic	生长于海滨等盐质环境
chainreactor	链式堆
ninogan	九角形
hookworm	十二指肠虫
hookworm	十二指肠病
abiding	容忍
abiding	持久的
abiding	持久
amboina	安汶岛
patagium	翼膜
actor	男演员
actor	行动者
actor	参与者
garibaldino	=Garibaldian
decanter	玻璃水瓶
gatling	格林机关枪
curative	医疗的
curative	医疗
curative	药品
subserous	浆膜下的
subserous	浆膜下
acalculia	计算力缺失
adventuristic	冒险主义的
adventuristic	冒险主义
kohl	化妆墨
kohl	眼影粉
uncircumcision	未受割礼的人们
uncircumcision	无割礼
uncircumcision	非犹太人
rose	蔷薇属
rose	玫瑰
rose	玫瑰红
rose	rise的过去式
rose	Rose
rose	罗斯
rose	Remote
rose	Operations
rose	Service
rose	Elements
rose	远程操作服务单元
lyingly	虚伪地
lyingly	虚伪
lyingly	说着谎地
lyingly	说着谎
lloyd	劳埃德
haliver	鱼肝油
immortalise	使不灭
immortalise	使不朽
satisfying	令人满足的
satisfying	令人满足
satisfying	令人满意的
satisfying	令人满意
savey	=savvy
commonness	普通
commonness	平凡
commonness	共性
chorioid	=choroid
argilliferous	生黏土的
argilliferous	生黏土
cordless	不用电线的
cordless	不用电线
unilateralism	单方
unilateralism	片面
barrenwort	淫羊藿属植物
corregidor	行政首长
corregidor	小行政区域
auspex	鸟卜者
volscian	沃尔西人的
volscian	沃尔西人
volscian	沃尔西语的
volscian	沃尔西语
mephistophelian	冷酷的
mephistophelian	冷酷
mephistophelian	险恶而狡猾的
mephistophelian	险恶而狡猾
thearchy	神权
thearchy	神权政治
thearchy	众神
ardour	热心
ardour	热情
ardour	情欲
ardour	激情
ardour	灼热
minimization	最小限度
minimization	最低额
minimization	轻视
practicoinert	实践惰性
bakery	面包店
lotsa	很多
lotsa	许多
overbalance	失去平衡
interfertile	可杂交的
interfertile	可杂交
interfertile	互交可孕的
interfertile	互交可孕
mastika	乳香酒
exaggeration	夸张
exaggeration	夸大之词
leukemia	白血病
monkly	修士的
monkly	修士
monkly	僧侣的
monkly	僧侣
evil	邪恶的
evil	邪恶
evil	带来麻烦的
evil	带来麻烦
evil	不幸的
evil	不幸
evil	有害的
evil	有害
evil	诽谤的
evil	诽谤
evil	邪恶
evil	不幸
evil	罪恶
apex	顶点
groundhog	土拨鼠
unclean	不洁的
unclean	不洁
unclean	含糊不清的
unclean	含糊不清
eustatic	海面升降的
eustatic	海面升降
eustatic	海面变化的
eustatic	海面变化
cysteamine	巯
queening	苹果之一种
apellation	名称
apellation	称呼
amino	氨基的
amino	氨基
truck	卡车
truck	敞棚货车
truck	搬行李用的手推车
truck	交易
truck	交换
truck	废话
truck	废物
truck	实物工资
truck	交易
truck	交往
truck	以卡车运输
truck	驾驶卡车
truck	以物易物
truck	运货汽车的
truck	运货汽车
defensible	可防御的
defensible	可防御
sistroid	触须形角的
sistroid	触须形角
dorsolateral	背外侧的
dorsolateral	背外侧
mpl	Master
mpl	of
mpl	Patent
mpl	Law
mpl	专利法硕士
requiescat	愿死者灵魂安息的祈祷
headhunter	猎取人头的蛮人
accredit	信任
accredit	授权
accredit	归于
phosphorite	磷灰石
phosphorite	磷矿
buns	屁股
buns	臀部
xeric	环境干燥的
xeric	环境干燥
xeric	适于干燥环境的
xeric	适于干燥环境
synfuel	合成燃料
undertone	低音
undertone	小声
undertone	浅色
roti	烤的
roti	烤
berceau	摇篮
berceau	林荫道路
clang	叮当声
clang	叮当地响
insociable	不爱社交的
insociable	不爱社交
libriform	如韧皮的
libriform	如韧皮
libriform	韧型的
libriform	韧型
gregarization	群聚
icad	智能计算机辅助设计
tressure	双边线盾形纹章的较细内边线
disciplinal	训练的
disciplinal	训练
disciplinal	惩罚的
disciplinal	惩罚
disciplinal	风纪的
disciplinal	风纪
heiduc	=Haiduk
cranial	头盖的
cranial	头盖
cranial	头盖形的
cranial	头盖形
rubus	悬钩子属植物
eke	补充
eke	增加
provender	粮草
provender	秣
provender	食物
idocrase	符山石
refectorian	=refectioner
segmentable	可分割的
segmentable	可分割
segmentable	可切断的
segmentable	可切断
segmentable	可分段的
segmentable	可分段
segmentable	可切分的
segmentable	可切分
leptotene	细线期
lucrative	有利的
lucrative	有利
tardo	缓慢的
tardo	缓慢
tardo	缓慢地
tardo	缓慢
berufsverbot	禁止在政府部门供职政策
bottle	瓶子
bottle	用瓶装
viropexis	病毒固定
kilnman	烧窑工
utilize	利用
woebegone	愁眉苦脸的
woebegone	愁眉苦脸
woebegone	不体面的
woebegone	不体面
investigable	可调查研究的
investigable	可调查研究
radurization	辐射灭菌
radurization	辐射贮存
subvention	补助金
panier	=pannier
fascism	法西斯主义
fascism	极端的国家主义
spectrophone	光谱测声器
antitoxin	抗毒素
oysterage	=oyster
oysterage	bed
babysat	担任临时保姆
babysat	照顾婴儿
require	需要
require	要求
require	命令
bondman	奴隶
cowhand	牧牛工
semidwarf	半矮生的
semidwarf	半矮生
symbolically	象征性地
symbolically	象征性
ripping	撕的
ripping	撕
ripping	劈的
ripping	劈
ripping	折的
ripping	折
ripping	极妙地
ripping	极妙
ripping	非凡地
ripping	非凡
bombproof	防弹的
bombproof	防弹
bombproof	避弹的
bombproof	避弹
backbone	脊椎
backbone	中枢
backbone	骨干
backbone	支柱
backbone	意志力
backbone	勇气
backbone	毅力
backbone	决心
backbone	骨干网
mutilator	切断者
mutilator	毁损者
gloucestershire	格洛斯特郡
zoniferous	分成地带的
zoniferous	分成地带
zoniferous	分成区域的
zoniferous	分成区域
muddledom	混乱状态
muddledom	糊涂状态
fivesome	五个人一组
fivesome	五件东西
fivesome	有五人参加的游戏
opinionated	固执己见的
opinionated	固执己见
opinionated	武断的
opinionated	武断
discographical	/
discographical	音乐唱片/
discographical	音乐唱片分婪掷嗟
rudeness	粗蛮
rudeness	无礼
ureterectomy	输尿管切除术
rhythmization	节奏化
lambency	柔光
lambency	巧妙
tropophilous	适应气候变化的
tropophilous	适应气候变化
tropophilous	湿旱生的
tropophilous	湿旱生
checker	棋盘上的小方格
checker	棋子
checker	检验员
checker	寄存者
tribunician	=tribunitian
graz	格拉茨
sheer	全然的
sheer	全然
sheer	纯粹的
sheer	纯粹
sheer	绝对的
sheer	绝对
sheer	彻底的
sheer	彻底
