presidiary	驻防
auditorial	审计员
auditorial	查帐官的
auditorial	查帐官
auditorial	通过听觉的
auditorial	通过听觉
hyena	土狼
hyena	鬣狗
abatage	为防止传染而屠杀有病的牲畜
kinsoku	避头尾
ultrasonic	超音速的
ultrasonic	超音速
ultrasonic	超声的
ultrasonic	超声
ultrasonic	超声波
distolingual	远中舌的
distolingual	远中舌
boehmenism	伯麦主义(德国神秘主义哲学家伯麦
unpremeditated	非预谋的
unpremeditated	非预谋
enolization	烯醇化
gabion	篾筐
gabion	金属筐
videoporn	色情电视
videoporn	黄色录像
unwitnessed	未注意到的
unwitnessed	未注意到
unwitnessed	未察觉到的
unwitnessed	未察觉到
unwitnessed	无证人签字的
unwitnessed	无证人签字
impastation	着色浓厚
impastation	用浆糊封涂
disinterested	无私的
disinterested	无私
tenantry	承租人
tenantry	佃农
trimmer	整顿者
fedayee	阿拉伯游击队队员
twelvefold	十二倍的
twelvefold	十二倍
twelvefold	十二倍地
twelvefold	十二倍
megapixel	兆象素
babouche	平底拖鞋
babouche	无后鞋跟的套鞋
selfless	无私的
selfless	无私
indiaman	大商船
ingrowing	向内生长
ingrowing	生进肉内的
ingrowing	生进肉内
molechism	传染性病毒
chi	希腊字母的第
chi	22字
medaled	接受奖章的
medaled	接受奖章
medaled	佩带徽章的
medaled	佩带徽章
eonian	永远的
eonian	永远
eonian	永久的
eonian	永久
opiumize	用鸦片处理
opiumize	用鸦片麻醉
photodramatist	故事片编剧
photodramatist	戏剧片编剧
systematization	系统化
systematization	组织化
systematization	分类
chymistry	化学
nickelous	亚镍的
nickelous	亚镍
nickelous	二价镍的
nickelous	二价镍
doxographer	古希腊哲学家论述的编集者
americologue	研究美国社会的学者
plating	电镀
plating	被覆金属
corned	弄成细粒的
corned	弄成细粒
corned	盐腌的
corned	盐腌
cutup	爱炫耀的人
cutup	出洋相以引起注意的人
cutup	滑稽的人
cutup	诙谐的人
vietnamese	越南人
vietnamese	越南的
vietnamese	越南
vietnamese	越南人的
vietnamese	越南人
safener	安全剂
baltimore	巴尔的摩
baltimore	美国马里兰州的一城市
graveclothes	寿衣
graveclothes	尸衣
valdez	瓦尔迪兹
headword	标题字
headword	中心词
garfield	加菲尔德
gravitation	地心吸力
gravitation	引力作用
babe	小孩
babe	缺乏经验的人
flatways	平面朝前地
flatways	平面朝前
flatways	平面朝上地
flatways	平面朝上
immiserization	悲惨化
firedamp	甲烷
firedamp	沼气
osprey	白色的羽毛
osprey	鱼鹰
illuminating	照亮的
illuminating	照亮
illuminating	启蒙的
illuminating	启蒙
illuminating	照明的
illuminating	照明
winterkill	冻死
winterkill	受冬寒枯萎
scuff	拖足而行
scuff	磨损
scuff	以足擦地
scuff	以足擦
scuff	践踏
scuff	使磨损
scuff	拖着脚走
scuff	磨损之处
quartette	四重唱
quartette	四重奏
ytterbous	镱的
ytterbous	镱
bodensee	博登湖
manageability	易管理
manageability	易处理
manageability	驯服
interleaved'	NULL)
netlike	网状的
netlike	网状
netlike	形成网壮的
netlike	形成网壮
swellhead	自大者
swellhead	夜郎自大者
kirschwasser	樱桃酒
flexibility	弹性
flexibility	适应性
flexibility	机动性
flexibility	挠性
atheneum	雅典庙宇
atheneum	文艺协会
atheneum	图书馆
manstealing	诱拐
manstealing	绑架
betta	搏鱼
betta	搏鱼属的鱼
scots	苏格兰人的
scots	苏格兰人
convulsion	震撼
convulsion	动乱
convulsion	震动
convulsion	惊厥
convulsion	痉挛
kedron	=Kidron
electrotaxis	向电性
gerontogeous	旧世界的
gerontogeous	旧世界
gerontogeous	东半球的
gerontogeous	东半球
menisci	meniscus
menisci	的复数
test	测试
test	试验
test	检验
test	测试
test	试验
test	检验
stickybeak	爱管闲事者
stickybeak	爱打听的人
accordatura	基调
fungitoxicity	杀真菌毒性
militant	好战的
militant	好战
militant	积极从事或支持使用武力的
militant	积极从事或支持使用武力
noumena	noumenon
noumena	的复数
roil	煽动
roil	激怒
ridgling	=ridgeling
reparative	修缮的
reparative	修缮
reparative	赔偿的
reparative	赔偿
reparative	弥补的
reparative	弥补
preantiseptic	防腐法采用前的
preantiseptic	防腐法采用前
preantiseptic	抗菌法采用前的
preantiseptic	抗菌法采用前
gracie	格雷西
tuberose	晚香玉
tuberose	块茎状的
tuberose	块茎状
tuberose	似块茎的
tuberose	似块茎
reviviscent	复生的
reviviscent	复生
reviviscent	复活的
reviviscent	复活
fran	弗兰
wechty	=weighty
advertorial	社论式广告
serjeancy	=sergeancy
fmc	Federal
fmc	Maritime
fmc	Commission联邦海事委员会
programer	节目制作者
alive	活着的
alive	活着
alive	活泼的
alive	活泼
tubercula	tuberculum
tubercula	的复数
orbit	轨道
orbit	势力范围
orbit	生活常规
orbit	眼眶
orbit	绕……轨道而行
orbit	进入轨道
orbit	沿轨道飞行
orbit	盘旋
spinnery	纺纱工厂
anonymuncule	无足轻重的匿名作者
subcontinent	次大陆
associability	可联想性
associability	交感性
ramapithecine	腊玛古猿的
ramapithecine	腊玛古猿
rajasthan	拉贾斯坦邦
cochleate	状如蜗牛壳的
cochleate	状如蜗牛壳
cochleate	螺旋形的
cochleate	螺旋形
cookery	烹调术
photocoagulator	激光凝固器
contextless	无上下文的
contextless	无上下文
contextless	无来龙去脉的
contextless	无来龙去脉
contextless	无连贯性的
contextless	无连贯性
acequia	灌溉水渠
diazonium	重盐
cinc	Commander
cinc	in
cinc	chief总司令
imparipinnate	奇数羽状的
imparipinnate	奇数羽状
transient	短暂的
transient	短暂
transient	瞬时的
transient	瞬时
transient	瞬时现象
unpresumptuous	不骄傲的
unpresumptuous	不骄傲
unpresumptuous	谦逊的
unpresumptuous	谦逊
hoofed	有蹄的
hoofed	有蹄
hoofed	蹄形状的
hoofed	蹄形状
hoofed	装蹄的
hoofed	装蹄
chalybeate	含有铁质的
chalybeate	含有铁质
chalybeate	铁泉
chalybeate	铁剂
teletransportation	=teleportation
misfit	不称职的人
misfit	不适合的东西
misfit	与……不相称
misfit	不适合
misfit	不相称
pyronine	焦宁
pyronine	派若宁
buqsha	布格席
intercourse	交往
intercourse	交流
monthly	每月的
monthly	每月
monthly	每月一次
monthly	月刊
feelingless	无感觉的
feelingless	无感觉
feelingless	无感情的
feelingless	无感情
xanthium	苔儿属
gotha	哥达
monotechnic	单科的
monotechnic	单科
xenophobic	恐惧外国人的
xenophobic	恐惧外国人
xenophobic	恐外的
xenophobic	恐外
hogly	=hoggish
billbug	喙甲
billbug	谷象
microcode	微码
sergeant	警官
sergeant	军士
capsid	衣壳
materfamilias	母亲
materfamilias	家庭主妇
proem	序言
muskwood	麝香树
inconsecutive	不连续的
inconsecutive	不连续
inconsecutive	前后不连贯的
inconsecutive	前后不连贯
cortex	皮层
cortex	皮质
trailside	在小路边的
trailside	在小路边
trailside	小径一侧的
trailside	小径一侧
trailside	沿山路的
trailside	沿山路
intercoastal	两岸间的
intercoastal	两岸间
necessary	必需品
necessary	必要的
necessary	必要
necessary	必需的
necessary	必需
necessary	必然的
necessary	必然
amvets	第二次世界大战美国退伍军人协会
conveyer	运送装置者
conveyer	让与人
psaltery	古代弦乐器
obdurately	顽固地
obdurately	顽固
obdurately	执拗地
obdurately	执拗
kieselgur	硅藻土
expediter	官方发布的件的人
voltage	电压
voltage	伏特数
princock	=princox
dubbing	配音
noninstallment	一次付清的
noninstallment	一次付清
noninstallment	非分期付款的
noninstallment	非分期付款
prune	剪除
hypnopaedic	睡眠教学法的
hypnopaedic	睡眠教学法
hypnopaedic	睡眠中教学的
hypnopaedic	睡眠中教学
diplacusis	复听
kirk	教会
kirk	苏格兰教会
vichyssoise	奶油浓汤
hyperuricaemia	血
hyperuricaemia	尿酸过多
hyperuricaemia	高尿酸血
sakellaridis	萨克拉里德斯棉
keratoid	角状的
keratoid	角状
keratoid	角质的
keratoid	角质
bedclothes	铺盖
bedclothes	床单被褥类
dogbane	夹竹桃
dogbane	毒狗草
corer	去心器
corer	挖核器
packsack	=knapsack
tridigitate	有三指的
tridigitate	有三指
tridigitate	有三趾的
tridigitate	有三趾
jumbotron	超大屏幕
bonze	和尚
bonze	僧
corf	煤炭箩
corf	养鱼槽
scopy	能力的
scopy	能力
insectivorous	食虫的
insectivorous	食虫
insectivorous	食虫动植物的
insectivorous	食虫动植物
playclothes	游乐装
playclothes	轻便装
teutophobe	恐惧条顿者
roentgenolucent	X光可通过的
roentgenolucent	X光可通过
transnatural	超自然的
transnatural	超自然
painstaking	苦干
painstaking	辛苦
painstaking	辛苦的
painstaking	辛苦
painstaking	辛勤的
painstaking	辛勤
painstaking	艰苦的
painstaking	艰苦
sacahuiste	诺力草
phyllotaxic	叶序的
phyllotaxic	叶序
diomed	=Diomedes
headsquare	=headscarf
sidestroke	侧泳
resplendence	辉煌
resplendence	灿烂
goiterogenic	=goitrogenic
suprathermal	超热的
suprathermal	超热
suprathermal	具有的能量超过热激发能量的
suprathermal	具有的能量超过热激发能量
unijunction	单结
kbl	阿富汗首都喀布尔机场之代号
bidialectism	两种方言通
mainsail	主桅的帆
mainsail	主帆
mainsail	主桅帆
poisoning	中毒
magnesic	镁的
magnesic	镁
magnesic	含镁的
magnesic	含镁
amorism	谈情说爱
astrography	天体照像仪
astrography	天文定位器
venireman	陪审员
terebinthinate	松脂的
terebinthinate	松脂
persuasion	说服
persuasion	说服力
goulard	稀铅醋液
oatcake	燕麦硬饼
myalgia	肌痛
sternutation	打喷嚏
sternutation	喷嚏
saunders	=sanders
garnishment	添饰
garnishment	出庭传票
garnishment	扣押债权的通知
ritually	依据仪式上地
ritually	依据仪式上
ritually	仪式上地
ritually	仪式上
unbefriended	无朋友的
unbefriended	无朋友
unbefriended	无人扶助的
unbefriended	无人扶助
oversupply	过度供给
oversupply	供给过多
wampish	前后摇摆
wampish	使晃动
imposturous	欺骗的
imposturous	欺骗
imposturous	欺诈的
imposturous	欺诈
sacrifice	牺牲
sacrifice	献身
sacrifice	祭品
sacrifice	供奉
sacrifice	牺牲
sacrifice	献出
sacrifice	献祭
sacrifice	供奉
louis	路易斯
neuropter	脉翅目昆虫
glazer	上釉工人
glazer	加光工人
sallowish	带灰黄色的
sallowish	带灰黄色
antiapartheid	反种族隔离的
antiapartheid	反种族隔离
luxuriancy	繁茂
luxuriancy	多产
prior	优先的
prior	优先
prior	在前的
prior	在前
prior	预先
prior	在
stickle	坚持己见
bmoc	big
bmoc	man
bmoc	on
bmoc	campus
bmoc	校内大人物
watering	洒水
watering	浇水
watering	排水沟
watering	流泪的
watering	流泪
watering	灌溉的
watering	灌溉
basilary	=basilar
colourable	可着色的
colourable	可着色
colourable	似是而非的
colourable	似是而非
metaxa	迈塔克瑟白兰地酒
flocculous	像毛状物的
flocculous	像毛状物
flocculous	丛毛状的
flocculous	丛毛状
tigrinya	提格里尼亚语
frederica	弗雷德里卡
roscoe	左轮枪
roscoe	手枪
lounder	重击
lounder	重打
lounder	狠狠地打
nabeshima	锅岛窑瓷器
cicely	没药科植物
dripless	不滴水的
dripless	不滴水
imagery	肖像
imagery	比喻
imagery	雕刻
cobelligerency	战时盟国
diverse	不同的
diverse	不同
diverse	变化多的
diverse	变化多
kanu	Kenya
kanu	African
kanu	National
kanu	Union肯尼亚非洲民族联盟
malwa	马尔瓦饮料
iso	International
iso	Organization
iso	for
iso	Standardization
iso	国际标准化组织
bobbysoxer	十三岁至十九岁的少女
saturated	渗透的
saturated	渗透
saturated	饱和的
saturated	饱和
saturated	深颜色的
saturated	深颜色
instreaming	内流的
instreaming	内流
instreaming	涌进的
instreaming	涌进
floatable	可漂浮的
floatable	可漂浮
floatable	可航行的
floatable	可航行
floatable	可浮起的
floatable	可浮起
paillette	亮片
mesenchymatous	间叶细胞的
mesenchymatous	间叶细胞
mesenchymatous	由间叶细胞组成的
mesenchymatous	由间叶细胞组成
mesenchymatous	间叶细胞样的
mesenchymatous	间叶细胞样
pneumatically	由空气作用
evertor	外转肌
rangoon	仰光
orfe	圆腹雅罗鱼
hood	头巾
hood	兜帽
hood	车蓬
hood	引擎罩
hood	用头巾包裹
hood	给……加罩
hood	覆盖
moody	喜怒无常的
moody	喜怒无常
moody	忧悒的
moody	忧悒
serta	sertum的复数
narcose	昏迷的
narcose	昏迷
narcose	昏睡的
narcose	昏睡
skywatch	天空观察
yokemate	同事
yokemate	伙伴
yokemate	配偶
soccer	英式足球
divider	分割者
divider	间隔物
divider	分配器
divider	园规
flatling	直挺挺地
flatling	直挺挺
flatling	以的扁平面打击
nitrous	氮的
nitrous	氮
nitrous	含氮的
nitrous	含氮
nitrous	硝石的
nitrous	硝石
osteopathist	接骨医生
osteopathist	正骨医生
somewhy	由于某种原因
sprinkle	撒
sprinkle	洒
sprinkle	喷撒
kirghiz	吉尔吉斯人
kirghiz	吉尔吉斯语
prograde	与其他天体作同方向运行的
prograde	与其他天体作同方向运行
elodea	伊乐藻属植物
crumby	柔软的
crumby	柔软
crumby	低等的
crumby	低等
overlearn	超量学习
idoneous	适合的
idoneous	适合
idoneous	适用的
idoneous	适用
polynia	冰间湖
polynia	冰穴
beep	哔哔声
beep	嘟嘟响
europeanist	欧洲经济共同体第一主义的
europeanist	欧洲经济共同体第一主义
serology	血清学
detrital	由岩屑形成的
detrital	由岩屑形成
directionality	方向性
directionality	定向性
plumage	鸟类羽毛
plumage	翅膀
promptness	敏捷
promptness	机敏
foreignize	外国化
handle	柄
handle	把手
handle	把柄
handle	口实
handle	手感
handle	触摸
handle	运用
handle	买卖
handle	处理
handle	操作
handle	搬运
handle	易于操纵
handle	句柄
antistrophe	对照乐节
antistrophe	反用
substantialize	实体化
substantialize	实现
demonism	信仰魔鬼
demonism	对鬼怪之崇拜
moleskin	鼹鼠毛皮
moleskin	斜纹厚绒布
ruddevator	方向升降舵
calorifics	热学
boniness	多骨
boniness	骨瘦如柴
boniness	憔悴
furcula	叉突
furcula	弹器
formalin	福尔马林
formalin	甲醛水
aloetic	芦荟的
aloetic	芦荟
aloetic	芦荟制的
aloetic	芦荟制
corolline	花冠的
corolline	花冠
corolline	似花冠的
corolline	似花冠
decillion	100万的10次乘方
decillion	数达1
decillion	decillion的
decillion	decillion
moriori	莫里奥里人
smogbound	烟雾笼罩的
smogbound	烟雾笼罩
smogbound	烟雾弥漫的
smogbound	烟雾弥漫
saltwort	藜科冈羊栖菜属植物
cheesemaker	干酪制造者
unreeve	从孔中拉回
noctambulant	夜间步行的
noctambulant	夜间步行
fratricide	杀兄弟的行为
fratricide	杀害兄弟者
rhq	Regimental
rhq	Headquarters
rhq	团部
competition	竞争
competition	竞赛
batten	板条
batten	木条
batten	船舱周框的压条
auxesis	细胞增大性生长
embryotrophic	胚胎营养素的
embryotrophic	胚胎营养素
lyreflower	荷包牡丹
expansible	能扩张的
expansible	能扩张
expansible	会膨胀的
expansible	会膨胀
genipap	茜草属常绿树
antifreezing	防冻的
antifreezing	防冻
antifreezing	抗凝的
antifreezing	抗凝
notehead	小型的印有抬头的信笺
cogency	力量
cogency	中肯
cogency	肯切
plasma	等离子体
plasma	等离子区
happening	事件
happening	意外发生的事
swannery	天鹅饲养地
swannery	天鹅饲养
sutra	佛经
sutra	经典
helianthine	B半日花素B
helianthine	甲基橙B
demurely	装成端庄地
demurely	装成端庄
demurely	认真地
demurely	认真
detrusive	推出的
detrusive	推出
detrusive	推落的
detrusive	推落
defector	背叛者
defector	叛离者
infertile	不肥沃的
infertile	不肥沃
infertile	贫瘠的
infertile	贫瘠
infertile	不毛的
infertile	不毛
infertile	不结果实的
infertile	不结果实
octonarius	八音步诗
fop	过分讲究衣饰或举动的人
fop	花花公子
holystone	甲板
tailoress	女裁缝
reliever	救济者
heliotherapy	日光浴治疗法
chloroacetone	氯丙酮
sword	剑
clocker	赛马预赛时计速员
clocker	计时员
minnesinger	吟游诗人
globality	全球性
byway	小道
trichotomous	=trichotomic
crustless	无硬皮的
crustless	无硬皮
crustless	没有外壳的
crustless	没有外壳
northbound	北行的
northbound	北行
counseling	咨询服务
karyolymph	核液
diffusionist	传流论者
diffusionist	传播论者
overswing	挥动弧度过大
overswing	摆动过大
cytoplasm	细胞质
perbunan	丁苯橡胶
saiga	赛加羚羊
saiga	高鼻羚羊
preharvest	收获前的
preharvest	收获前
preharvest	收获期前的
preharvest	收获期前
sequestered	扣押的
sequestered	扣押
sequestered	隐退的
sequestered	隐退
sequestered	幽静的
sequestered	幽静
sequestered	偏僻的
sequestered	偏僻
surpliced	穿着白色法袍的
surpliced	穿着白色法袍
surpliced	穿白袈裟的
surpliced	穿白袈裟
divulgence	透露
divulgence	泄露
contemptuously	轻蔑地
contemptuously	轻蔑
onion	洋葱
onion	加洋葱于
onion	因洋葱掉泪
electrophotometer	光电计
prescription	指示
prescription	规定
prescription	命令
prescription	处方
prescription	药方
congou	工夫茶
diamagnetize	使抗磁
convalesce	渐渐康复
convalesce	渐愈
meliorism	世界改良论
probabilize	使成为可能
probabilize	使有希望
despise	轻视
superzealot	极端狂热分子
decet	=decimet
standstill	停止
standstill	停顿
carloadings	装车数
crepitant	劈劈拍拍响的
crepitant	劈劈拍拍响
crepitant	捻发音的
crepitant	捻发音
smellage	芳香植物
comparativist	=comparatist
pare	剥
pare	削
pare	修
pare	削减
pare	消灭
dielectrophoresis	介电泳
dielectrophoresis	双向电泳
bimanous	有两手的
bimanous	有两手
teachable	可教的
teachable	可教
teachable	驯良的
teachable	驯良
cresylic	甲酚的
cresylic	甲酚
cresylic	杂酚油的
cresylic	杂酚油
unparalleled	无比的
unparalleled	无比
unparalleled	无双的
unparalleled	无双
unparalleled	空前的
unparalleled	空前
noegenesis	知识产生的过程
fruticose	灌木的
fruticose	灌木
fruticose	灌木状的
fruticose	灌木状
dactyliomancy	指环占卜术
vigo	比戈
skiver	削薄的羊皮
skiver	割皮革的人
craniofacial	颅面的
craniofacial	颅面
propertied	有财产的
propertied	有财产
propertied	使用道具的
propertied	使用道具
protension	伸展
protension	延伸
protension	持续
myriapodan	=myriapod
sun	太阳
sun	阳光
sun	恒星
sun	晒
sun	美国Sun公司
sun	主要生产SUN系列工作站和网络产品
sun	是JAVA语言的创始者
matroclinal	=matriclinous
numeral	数字
monopteral	圆形外柱廊式的
monopteral	圆形外柱廊式
flavopurpurin	黄红紫素
flavopurpurin	媒染3号茜素红
chemotherapeutant	`kemEJ9WerE`pics/`kemEJ9WerE`pjU:tEnt/
chemotherapeutant	化学治疗剂
bluebell	野风信子
leptophyllous	叶片狭长的
leptophyllous	叶片狭长
funiculus	细索
funiculus	细绳
sent	send的过去式和过去分词
homeliness	朴素
homeliness	寻常
homeliness	粗野
facinorous	极恶的
facinorous	极恶
facinorous	罪孽深重的
facinorous	罪孽深重
thumbscrew	翼形螺钉
thumbscrew	拇指夹
abreact	使消散
abreact	发泄
syphilotherapy	梅毒的治疗
wellhouse	井楼
lobworm	沙蚕
exalbuminous	无胚乳的
exalbuminous	无胚乳
junius	朱尼厄斯
paleogeography	古地理学
overwore	overwear的过去式
rivalize	竞争
rivalize	对抗
inkhorn	墨水壶
hooch	私酒
hooch	私运入的劣酒
hooch	烈酒
azof	=Azov
pronucleus	前核
pronucleus	生殖核
czech	捷克人的
czech	捷克人
unassuming	谦逊的
unassuming	谦逊
unassuming	不装腔作势的
unassuming	不装腔作势
capitoline	Capitol的山丘的
capitoline	Capitol的山丘
capitoline	Jupiter神殿的
capitoline	Jupiter神殿
capitoline	古罗马的七个山丘之一
busheler	修补衣服的人
ophthalmological	眼科的
ophthalmological	眼科
turkeytrot	火鸡舞
thrid	=thread
lardoon	肥腊肉片
breeks	=breeches
ingurgitate	狼吞虎咽
ingurgitate	大吃大喝
stairs	楼梯
sonagraph	=sonograph
vomit	呕吐
vomit	呕吐物
vomit	催吐剂
vomit	呕吐
vomit	大量喷出
vomit	吐出
vomit	呕吐
fifthly	第五
fifthly	第五地
fifthly	第五
eyebeam	一瞥
eyebeam	一看
quadrumane	四足构造皆如手的脊椎动物
unoiled	未加油的
unoiled	未加油
unoiled	未上油的
unoiled	未上油
unoiled	未涂油的
unoiled	未涂油
mm	毫米
mm	Myanmar
mm	缅甸
velocipede	早期的脚踏两轮车
velocipede	孩童用三轮车
velocipede	手压车之一种
insecticide	杀虫剂
religionism	笃信宗教
religionism	宗教狂
samel	未烧透的
samel	未烧透
samel	半烧的
samel	半烧
inferior	下等的
inferior	下等
inferior	下级的
inferior	下级
inferior	差的
inferior	差
inferior	次的
inferior	次
inferior	自卑的
inferior	自卑
inferior	劣等的
inferior	劣等
ousel	鹤类的小鸟
ousel	乌鸫
roadability	车辆行驶安定性能
herry	=harry
xylonite	赛璐珞
xylonite	假象牙
overdress	穿得太讲究
overdress	外衣
adjt	adjutant
appd	approved
nds	Novell
nds	Directory
nds	Services
nds	Novell目录服务
outvie	竞争胜过
usphs	United
usphs	States
usphs	Public
usphs	Health
usphs	Service
usphs	美国公共卫生署
unscrupulousness	狂妄
connivance	假装不见
connivance	纵容
connivance	默许
abidance	持续
abidance	遵守
abidance	居住
hymeneal	婚姻的
hymeneal	婚姻
hymeneal	婚礼颂歌
hymeneal	结婚典礼
spendthriftiness	挥霍
glenn	格伦
fractographic	金属断面的显微镜观察的
fractographic	金属断面的显微镜观察
parish	教区
basta	够了!足了!
formalism	拘泥形式
formalism	形式主义
formalism	虚礼
activity	活跃
activity	活动性
activity	行动
activity	行为
activity	放射性
fibreboard	纤维板
anticlimactic	突降法的
anticlimactic	突降法
anticlimactic	突减的
anticlimactic	突减
anticlimactic	虎头蛇尾的
anticlimactic	虎头蛇尾
chalaza	系带
patternmaking	制模
header	首领
header	队长
header	收割台
header	页眉
header	标题
header	报头
visualiser	=visualizer
bonaci	鲈科食用鱼
calembour	谐音之诙谐语
calembour	双关妙语
spiry	尖端的
spiry	尖端
spiry	尖塔状的
spiry	尖塔状
spiry	螺旋状的
spiry	螺旋状
hilar	门的
hilar	门
swabian	斯瓦比亚的
swabian	斯瓦比亚
swabian	斯瓦比亚人的
swabian	斯瓦比亚人
kosovo	科索沃
superfamily	总科
quoter	引用者
quoter	估价者
ordinal	序数
ordinal	仪式书
ordinal	顺序的
ordinal	顺序
ordinal	依次的
ordinal	依次
chaperone	女伴
chaperone	伴护
funiculate	有细索的
funiculate	有细索
ivorian	象牙海岸的
ivorian	象牙海岸
tiptilt	使尖端翘起
misconstrue	误解
misconstrue	曲解
australasian	澳大拉西亚人
discursively	东拉西扯地
discursively	东拉西扯
discursively	推论地
discursively	推论
him	pro
him	他
prolocutor	代言人
prolocutor	发言人
prolocutor	主持会议者
unwrung	不被扭曲的
unwrung	不被扭曲
unwrung	不感到苦恼的
unwrung	不感到苦恼
coadapted	相互适应的
coadapted	相互适应
bifacial	有两面的
bifacial	有两面
hertfordshire	赫特福德郡
cobaltic	钴的
cobaltic	钴
cobaltic	含钴的
cobaltic	含钴
myotic	瞳孔收缩剂
myotic	促成瞳孔缩小的
myotic	促成瞳孔缩小
bespread	铺满
bespread	铺盖
impractical	不切实际的
impractical	不切实际
impractical	昧于实际的
impractical	昧于实际
impermeability	不能透过的性质
impermeability	不渗透性
plaintful	悲叹的
plaintful	悲叹
plaintful	哀诉的
plaintful	哀诉
detergent	清洁剂
detergent	去垢剂
billposter	受雇张贴广告者
autocoherer	自动粉末检波器
protogenic	原生的
protogenic	原生
tephra	火山灰
laotian	老挝人
laotian	老挝的
laotian	老挝
laotian	老挝人的
laotian	老挝人
laotian	老挝语的
laotian	老挝语
syringomyelia	脊髓空洞症
tress	一绺头发
tress	卷发
tress	发辫
tress	枝条
tress	把梳理成绺
policemen	警察
wolfkin	狼崽
wolfkin	幼狼
counterpane	床单
counterpane	床罩
hexabasic	六碱的
hexabasic	六碱
hexabasic	六盐基的
hexabasic	六盐基
predominate	掌握
predominate	控制
predominate	支配
predominate	统治
predominate	成为主流
predominate	支配
predominate	占优势
prename	名
drizzle	细雨
drizzle	下毛毛雨
nebulae	星云
phenomenal	显著的
phenomenal	显著
phenomenal	现象的
phenomenal	现象
phenomenal	能知觉的
phenomenal	能知觉
antimonsoon	反季节风
yapped	卷边装钉的
yapped	卷边装钉
superliner	超级班轮
superliner	超级邮船
pfda	Pure
pfda	Food
pfda	and
pfda	Drug
pfda	Administration
captious	吹毛求疵的
captious	吹毛求疵
captious	挑剔的
captious	挑剔
hertha	赫莎
karroo	南非洲的干燥台地高原
presentence	宣判前的
presentence	宣判前
presentence	判决前的
presentence	判决前
repeople	使人重新住入
nonfluency	不流利
nonfluency	不流畅
nonfluency	不流畅的言辞
having	所有
having	持有
khrushchevism	赫鲁晓夫主义
fade	减弱下去
fade	褪色
fade	消失
fade	枯萎
fade	凋谢
fade	使褪色
fade	淡入
fade	淡出
fade	乏味的
fade	乏味
fade	平淡的
fade	平淡
ilo	International
ilo	Labor
ilo	Organization
ilo	国际劳工组织
precooler	预冷器
precooler	预冻装置
danthonia	扁芒草属植物
sifter	负责筛选的人
sifter	筛子
participation	分享
participation	参与
uniflow	单向流动的
uniflow	单向流动
uniflow	单流的
uniflow	单流
saturnalia	农神节
saturnalia	狂欢喧闹
cardia	贲门
hypnograph	睡眠生理测定仪
mystagogical	传授秘诀的
mystagogical	传授秘诀
mystagogical	解释神秘的
mystagogical	解释神秘
affray	吵架
affray	打架
nunchaku	索连棍
dative	与格的
dative	与格
dative	与格
dative	与格语
ivied	常春藤遮盖着的
ivied	常春藤遮盖着
persistence	坚持
persistence	持续
sleuth	足迹
sleuth	警犬
sleuth	侦探
sleuth	做侦探
shrewd	精明
convenient	便利的
convenient	便利
convenient	方便的
convenient	方便
autoput	高速公路
torchy	感伤恋歌式的
torchy	感伤恋歌式
eeoc	Egnal
eeoc	Enploymcnt
eeoc	Opportunity
eeoc	Commission
eeoc	均等就业机会委员会
jillaroo	牧场女徒工
sociopath	反社会的人
sociopath	不爱社交的人
springboard	跳板
springboard	出发点
gametogeny	=gametogenesis
cutler	刀匠
cutler	刀商
cutler	刀具工人
ruthenious	亚钌的
ruthenious	亚钌
ruthenious	二价钌的
ruthenious	二价钌
hmcs	HerMajesty''s
hmcs	Canadian
hmcs	Ship加拿大皇家海军舰艇
scalenotomy	斜角肌切开术
cerebration	用脑
cerebration	思考
anticatalyst	抗化剂
anticatalyst	反催化剂
ochratoxin	赭曲霉素
expurgate	删除
mirabilite	芒硝
profitability	收益性
profitability	利益率
hypercythemia	红细胞过多症
sessile	无柄的
sessile	无柄
sessile	固着的
sessile	固着
kilpatrick	基尔帕特里克
sad	忧愁的
sad	忧愁
sad	悲哀的
sad	悲哀
tetrastichous	四列的
tetrastichous	四列
pod	密集小群
pod	扁豆层
pod	豆荚
pod	蚕茧
pod	结荚
pod	生荚
frostweed	岩蔷薇
gulosity	饕餮
asinine	驴的
asinine	驴
asinine	象驴一样的
asinine	象驴一样
asinine	愚蠢的
asinine	愚蠢
lipase	脂肪酶
ngoma	恩戈麦鼓
homing	自导引的
homing	自导引
nightside	夜面
nightside	阴面
blackfoot	北美印地安人中的一种族
blackfoot	居住于落矶山脉以东
volume	卷
volume	册
volume	体积
volume	量
volume	大量
volume	音量
troat	叫春
troat	叫春声
hydrostatic	静水力学的
hydrostatic	静水力学
hydrostatic	流体静力学的
hydrostatic	流体静力学
montefiascone	蒙蒂菲阿斯科尼白葡萄酒
osculatory	接吻的
osculatory	接吻
osculatory	接触的
osculatory	接触
helleri	剑尾鱼
iodate	以碘处理
iodate	碘酸盐
verification	确认
verification	查证
verification	作证
verification	诉状结尾的举证声明
dietotherapy	食物疗法
soldierlike	有军人样的
soldierlike	有军人样
soldierlike	雄纠纠的
soldierlike	雄纠纠
artsy	=arty
bended	弯曲的
bended	弯曲
milton	米尔顿
subventionize	援助
subventionize	补助
subventionize	资助
hagborn	巫婆生的
hagborn	巫婆生
unlighted	未被照亮的
unlighted	未被照亮
unlighted	未被点燃的
unlighted	未被点燃
