sclerotioid	似菌核
sledgehammer	猛烈的打击
sledgehammer	强力的
sledgehammer	强力
sledgehammer	手下不留情的
sledgehammer	手下不留情
sledgehammer	用大锤打
sledgehammer	施予大的打击
campari	堪培利开胃酒
kingwood	西阿拉黄檀树
kingwood	西阿拉黄檀木
outsentry	警戒哨
prognosis	预后
plumpen	使长胖
plumpen	使变得胖鼓鼓
plumpen	长胖
plumpen	变得胖鼓鼓
carnalist	声色之徒
carnalist	纵欲者
reunionist	英国教会与天主教会再结合的提倡者
rainspout	落水管
rainspout	排水口
subvisible	在显微镜下才能看到的
subvisible	在显微镜下才能看到
subvisible	不用显微镜看不见的
subvisible	不用显微镜看不见
hadramaut	=Hadhramaut
myelopathy	脊髓病
myelopathy	骨髓病
husking	剥玉米壳的工作
husking	外壳的去除
panhandler	乞丐
pimp	男妓
pimp	皮条客
pimp	拉皮条
denationalize	解除国有化
azeotrope	共沸混合物
azeotrope	恒沸物
tavarish	=tovarish
metabiology	超生物学
metabiology	建筑在生物学上的认识论
whapper	=whopper
frisky	活泼的
frisky	活泼
frisky	欢闹的
frisky	欢闹
enclosed	被附上的
enclosed	被附上
hypothyroidism	甲状腺机能减退
imploration	乞求
imploration	恳求
scald	烫伤
scald	烫洗
scald	被热油烫伤手
scald	以沸水或蒸气清洗
scald	烫伤
scald	烫洗
thyme	麝香草属的植物
thyme	百里香
sophistical	诡辩的
sophistical	诡辩
sophistical	强词夺理的
sophistical	强词夺理
majorca	=Mallorca
unconversant	不熟悉的
unconversant	不熟悉
unconversant	不了解的
unconversant	不了解
aureole	光轮
aureole	光环
isozyme	=isoenzyme
soiree	晚会
soiree	黄昏时的聚会
smythite	菱硫铁矿
suiting	西装料
aficionada	女爱好者
aficionada	迷恋于观看斗牛的女人
procarp	果胞系
editress	女编辑
isothermic	=isothermal
leucorrhoea	白带
disaffirmatnie	否认的
disaffirmatnie	否认
drawbridge	可开闭的吊桥
iatrogenesis	医原病发生
rosella	玫瑰鹦鹉
rosella	锦鹦
tantara	喇叭的声响声
unpack	打开包裹
unpack	卸货
unpack	揭开
weskit	马甲
weskit	紧身背心
prisoner	囚犯的
prisoner	囚犯
prisoner	战俘
crowdy	=crowdie
retroflection	=retroflexion
dandelion	蒲公英
mamaliga	玉米面粥
mamaliga	玉米面糊
biographee	传记主人公
karyokinesis	有丝分裂
karyokinesis	核分裂
tophet	托非特
tophet	灼热地狱
tophet	地狱
micron	微米
micron	美国MICRON公司
courtside	球场边缘区
bivouacked	bivouac的过去式和过去分词
venite	赞美诗篇
venite	晨祷诗篇
venite	赞美诗乐曲
venite	晨祷诗乐曲
privily	暗中
privily	秘密地
privily	秘密
pseudosophistication	故作世故
pseudosophistication	假装的老练
buttinsky	爱管闲事的人
spiderlike	蜘蛛似的
spiderlike	蜘蛛似
pimpled	有丘疹的
pimpled	有丘疹
pimpled	多粉刺的
pimpled	多粉刺
chromatophilia	易染性
chromatophilia	嗜染性
cheekbone	颊骨
cheekbone	颧骨
aroynt	去!走开!
pleasaunce	=pleasance
argumentative	好辩的
argumentative	好辩
argumentative	争论的
argumentative	争论
rum	浪姆酒
rum	古怪的
rum	古怪
rum	奇特的
rum	奇特
sice	骰子之六点
sice	马夫
lych	=lich
bigarade	酸橙
enclasp	抱紧
hp	美国惠普公司
hp	世界著名的电器生产厂家
hp	Horsepower
hp	马力
abstain	禁绝
abstain	放弃
fullness	满
fullness	充满
fullness	丰富
fullness	成熟
betweenness	中间状态
leukocytic	白血球的
leukocytic	白血球
leukocytic	白细胞的
leukocytic	白细胞
badlands	荒地
badlands	荒
seventieth	第七十
seventieth	七十分之一的
seventieth	七十分之一
hippocrene	Helicon
hippocrene	山之灵泉
hippocrene	诗的灵感
unzipper	拉开……上的拉链
doat	衰老
doat	年老昏愦
bladderwort	狸藻类植物
buchmanite	布克曼主义者
contrafluxion	局部充血
cigaret	=cigarette
structurism	结构主义
quietism	寂静主义
quietism	精神的平静
functionally	机能上地
functionally	机能上
functionally	官能地
functionally	官能
moisty	潮湿的
moisty	潮湿
platina	白金
platina	铂
urine	尿
resold	再出售
resold	转卖
festology	基督教会节日论文
lustiness	活泼
lustiness	精力充沛
liquify	=liquefy
unitable	可连接的
unitable	可连接
unitable	可接合的
unitable	可接合
unitable	可联合的
unitable	可联合
difformity	不同形状
difformity	不相似
pitchpole	大颠簸
pitchpole	纵摇
hukilau	拉网大会
jolty	摇动的
jolty	摇动
jolty	颠簸的
jolty	颠簸
dermatropic	向皮性的
dermatropic	向皮性
dermatropic	寄居于皮肤的
dermatropic	寄居于皮肤
hypofunction	机能减退
hypofunction	功能不良
remembrancer	纪念品
remembrancer	提醒者
biocritical	研究生平及其作品的
biocritical	研究生平及其作品
reapportion	重新分配
allowedly	经承认地
allowedly	经承认
allowedly	明白地
allowedly	明白
pyorrhea	脓漏
pyorrhea	脓溢
lemonwood	柠檬木
peccant	犯罪的
peccant	犯罪
peccant	堕落的
peccant	堕落
cancrine	似蟹的
cancrine	似蟹
cancrine	具有蟹之特点的
cancrine	具有蟹之特点
lazyitis	懒病
carcanet	有珠饰
carcanet	金项圈
fascist	法西斯主义者
fascist	法西斯党员
fascist	法西斯主义的
fascist	法西斯主义
fascist	法西斯党的
fascist	法西斯党
shepherdless	无牧羊人的
shepherdless	无牧羊人
shepherdless	缺乏指导的
shepherdless	缺乏指导
vahah	发格河
scolopophorous	具橛神经胞的
scolopophorous	具橛神经胞
scolopophorous	有具橛神经胞的
scolopophorous	有具橛神经胞
support	支撑
support	扶持
support	支持
support	支援
support	拥护
support	维持
support	赡养
support	忍受
support	支撑
support	支持
support	支援
support	维持
support	赡养
support	支持者
support	支柱
pediatrist	儿科医师
satan	撒旦
satan	魔鬼
partly	部分
partly	几分
prophecy	预言
prophecy	预言能力
infidelic	不信教的
infidelic	不信教
blameable	=blamable
enjambement	跨行连续
pics	Platform
pics	for
pics	Internet
pics	Content
pics	Selection
pics	Internet内容检索
kuoyu	中国国语
momento	s)
momento	=memento
metagalaxy	宇宙
metagalaxy	全星河系统
whiffle	徐缓地吹
whiffle	摇动
nonane	壬烷
microorganism	微生物
microorganism	微小动植物
flickertail	金花鼠
sanmartinite	钨锌矿
coleus	薄荷科植物
coleus	锦紫苏
agee	半开地
agee	半开
agee	歪斜地
agee	歪斜
drawbar	列车间的挂钩
drawbar	牵引车的挂钩
kentishman	英国肯特郡人
cannula	套管
secluded	隐退的
secluded	隐退
secluded	隐蔽的
secluded	隐蔽
naturopathy	物理疗法
honoraria	谢礼
soya	大豆
soya	黄豆
divisa	标志饲养者的彩带
udaller	拥有土地自由保有权者
plasmasphere	等离子体层
improvident	无远见的
improvident	无远见
improvident	浪费的
improvident	浪费
few	很少的
few	很少
few	不多的
few	不多
few	少数的
few	少数
few	很少数
few	几乎没有
headset	戴在头上的耳机或听筒
rhythmocatechism	律动传教法//st//
rhythmocatechism	律动传教者
bernardine	西多教团的
bernardine	西多教团
bernardine	圣伯拿的
bernardine	圣伯拿
bernardine	西多教团的僧侣
tuny	和谐的
tuny	和谐
tuny	音色优美的
tuny	音色优美
kondo	窃贼
kondo	强盗
cheapshit	价廉质次的
cheapshit	价廉质次
usucapion	凭时效取得财产权
kathmandu	=Katmandu
carbineer	卡宾枪手
begats	系谱
begats	宗谱
lipopexia	脂肪固定
malposition	位置不正
malposition	胎位不正
radiolocator	电波探测器
radiolocator	英式雷达
hydrophane	水蛋白石
then	当时
then	在那时
then	那么
then	因而
then	然后
then	于是
haughty	傲慢的
haughty	傲慢
suffragan	副监督
suffragan	副主教
suffragan	辅佐司教
suffragan	补助的
suffragan	补助
suffragan	副的
suffragan	副
suffragan	副监督的
suffragan	副监督
gjetost	挪威羊奶干酪
imbalance	不平衡
imbalance	不均衡
patienthood	患病
anglomaniacal	醉心英国的
anglomaniacal	醉心英国
extremal	极值的
extremal	极值
american	美国人
american	美洲人
american	美国的
american	美国
american	美洲的
american	美洲
cassiopeia	仙后座
fogeater	雾虹
fogeater	雾中升起的满月
ferriage	摆渡业
ferriage	渡船业
assembler	汇编程序
appertaining	属于
appertaining	附属物
monogamy	一夫一妻制
monogamy	单配偶
monogamy	单配性
distyle	双柱式的
distyle	双柱式
anatropous	倒生的
anatropous	倒生
daredevilry	鲁莽大胆
daredevilry	蛮勇
emanation	散发
emanation	发出
fileopen	对话框样本应用程序
napoleonic	拿破仑一世的
napoleonic	拿破仑一世
napoleonic	拿破仑一世式的
napoleonic	拿破仑一世式
napoleonic	拿破仑一世时期的
napoleonic	拿破仑一世时期
napoleonic	拿破仑一家的
napoleonic	拿破仑一家
lowbrow	教养浅薄的
lowbrow	教养浅薄
lowbrow	教养浅薄的人
markdown	减价
markdown	标低价
venae	vena的复数
unfeignedly	诚心地
unfeignedly	诚心
paltriness	不足取
paltriness	无价值
documentalist	文献资料工作者
documentalist	档案文献学家
looming	上现蜃景
constraint	约束
constraint	强制
constraint	局促
switchover	替换
switchover	转换
intragovernmental	政府机构之间的
intragovernmental	政府机构之间
intragovernmental	政府各部门之间的
intragovernmental	政府各部门之间
expandedness	展开
expandedness	扩充
unchallenged	未受到挑战的
unchallenged	未受到挑战
unchallenged	未引起争论的
unchallenged	未引起争论
unchallenged	不成问题的
unchallenged	不成问题
preludize	作序言
preludize	奏序曲
unreality	非现实
unreality	不存在之物
restartable	可重新开始的
restartable	可重新开始
restartable	可重新起动的
restartable	可重新起动
peacenik	参加反战示威的人
peacenik	反战分子
southeastwards	往东南
exhilarant	使兴奋的
exhilarant	使兴奋
exhilarant	令人振作精神之物
exhilarant	兴奋剂
comparably	可比较地
comparably	可比较
comparably	同等地
comparably	同等
carminative	排出胃肠气体的
carminative	排出胃肠气体
carminative	驱风剂
jealously	妒忌地
jealously	妒忌
jealously	猜疑地
jealously	猜疑
cabala	犹太神秘哲学
cabala	秘法
unconquerable	不可征服的
unconquerable	不可征服
unconquerable	克服不了的
unconquerable	克服不了
unconquerable	压制不了的
unconquerable	压制不了
choral	合唱队的
choral	合唱队
hyperploidy	超倍性
catastrophic	悲惨的
catastrophic	悲惨
catastrophic	灾难的
catastrophic	灾难
zoophobia	动物恐惧
zoophobia	对动物产生的恐惧
kinematics	运动学
insultingly	侮辱地
insultingly	侮辱
insultingly	无礼地
insultingly	无礼
leptosome	瘦弱型的
leptosome	瘦弱型
leptosome	瘦弱型的人
cartwright	车匠
fling	投
fling	掷
fling	猛冲
fling	暴躁的行动
fling	急冲
fling	嘲弄
fling	讥笑
fling	猛投
fling	抛
fling	掷
fling	使陷入
fling	挥动
fling	嘲笑
fling	扫视
fling	猛冲
fling	直冲
fling	急行
tufthunting	攀附权贵
tufthunting	阿谀奉承
tufthunting	攀附权贵的
tufthunting	攀附权贵
phoronid	帚虫
orthophosphate	正磷酸盐
ribitol	核醣醇
formality	拘谨
formality	礼节
formality	仪式
formality	正式手续
formality	拘泥形式
superhuman	超人的
superhuman	超人
superhuman	属于神仙的
superhuman	属于神仙
superhuman	超人
mobe	pearl
mobe	=mabe
phonemic	音素的
phonemic	音素
phonemic	音位的
phonemic	音位
lombok	龙目岛
deification	祀为神
deification	神格化
deification	奉若神明
monodactylous	单指的
monodactylous	单指
monodactylous	单趾的
monodactylous	单趾
monodactylous	单爪的
monodactylous	单爪
laaland	罗兰岛
fleech	哄骗
lighterman	驳船夫
cruelhearted	狠心的
cruelhearted	狠心
cruelhearted	绝情的
cruelhearted	绝情
maryolatrous	=Mariolatrous
tuneless	不和谐的
tuneless	不和谐
tuneless	不成调子的
tuneless	不成调子
nasalization	鼻音化
clove	丁香
clove	cleave
clove	的过去式
automation	自动控制
automation	自动操作
msae	Master
msae	of
msae	Science
msae	in
msae	Aeronautical
msae	Engineering
msae	航空工程学硕士
lobby	大厅
lobby	休息室
lobby	游说议员者
lobby	游说议员
lobby	经常出入休息室
lobby	对进行疏通
roo	袋鼠
roo	用手拔
anhyd	anhydrous
correspond	符合
correspond	协调
correspond	通信
correspond	相当
correspond	相应
chausses	马裤
orlop	最下层甲板
inspectoscope	违禁品X光检查仪
connotate	暗示
connotate	容纳
sodic	钠的
sodic	钠
sodic	含钠的
sodic	含钠
phosphoroscope	磷光计
phosphoroscope	磷光镜
porgy	棘鬣鱼
religious	信奉宗教的
religious	信奉宗教
religious	虔诚的
religious	虔诚
religious	宗教上的
religious	宗教上
religious	修道的
religious	修道
religious	严谨的
religious	严谨
religious	僧侣
religious	尼姑
religious	修道士
coenogenesis	后生变态
accessable	可接近的
accessable	可接近
captivating	迷人的
captivating	迷人
captivating	有魅力的
captivating	有魅力
coracoid	鸟喙骨
coracoid	喙突
coracoid	鸟喙的
coracoid	鸟喙
rapidly	迅速地
rapidly	迅速
aws	Air
aws	Weather
aws	Service航空气象处
neurotropic	亲神经的
neurotropic	亲神经
neurotropic	嗜神经组织的
neurotropic	嗜神经组织
reifier	具体化
verbena	马鞭草属植物
cycloplegic	睫状肌麻痹剂
unhouse	赶出家去
unhouse	使无家可归
anhistous	无一定构造形式的
anhistous	无一定构造形式
overruff	王牌盖吃
pardonable	可原谅的
pardonable	可原谅
pardonable	难怪的
pardonable	难怪
orrisroot	鸢尾草的根
helosis	鸡眼
hypsometry	测高法
sag	松弛
sag	下陷
sag	下垂
sag	下跌
sag	漂流
sag	下垂
sag	下陷
sag	物价下跌
sag	随风漂流
sag	垂度
preprandial	餐前的
preprandial	餐前
trenchant	锋利的
trenchant	锋利
operculiform	盖状的
operculiform	盖状
operculiform	鳃盖骨状的
operculiform	鳃盖骨状
operculiform	厣状的
operculiform	厣状
locksmithery	锁匠工作
ritard	=ritardando
upsoar	高飞
upsoar	翱翔
upsoar	增长
upsoar	上升
subcommunity	城市
bedraggle	拖脏
egoist	自我主义者
prolegomena	前言
prolegomena	绪论
iodid	碘化物
larkiness	爱闹玩的
larkiness	爱闹玩
freestanding	独立式的
freestanding	独立式
freestanding	不需依靠支撑物的
freestanding	不需依靠支撑物
suprascript	=superscript
dalesman	谷地人
dalesman	谷地山民
dizzying	令人昏乱的
dizzying	令人昏乱
dizzying	灿烂的
dizzying	灿烂
acquaintanceship	相识
acquaintanceship	相熟
oep	Office
oep	of
oep	Emergency
oep	Preparedness应急准备局
yearning	向往
yearning	怀念的
yearning	怀念
yearning	向往的
yearning	向往
hac	Honourable
hac	Artillery
hac	Company
hac	荣誉炮兵连
pinkster	=Whitsuntide
celestite	天青石
tungstenic	钨的
tungstenic	钨
tungstenic	含钨的
tungstenic	含钨
soffit	下端背面
soffit	拱腹
patisserie	法式蛋糕
patisserie	专售法式蛋糕的店
slanchways	斜向地
slanchways	斜向
vaguely	含糊地
vaguely	含糊
vaguely	暧昧地
vaguely	暧昧
ode	颂诗
ode	赋
fdic	Federal
fdic	Deposit
fdic	Insurance
fdic	Corporation
carcinomatous	癌的
carcinomatous	癌
carcinomatous	癌瘤性的
carcinomatous	癌瘤性
cookbook	食谱
myrtle	桃金娘科植物
ribwork	肋状结构
ribwork	罗纹组织
rounded	全面的
rounded	全面
rounded	圆形的
rounded	圆形
rebuild	重建
rebuild	改造
rebuild	复原
rebuild	重新组建
ovid	奥维德
cuneate	楔形的
cuneate	楔形
dressage	驯马技术
dressage	马在表演时的一种优美而复杂的步法
uninformed	未被通知的
uninformed	未被通知
uninformed	未获情报
uninformed	无生气的
uninformed	无生气
pathoformic	病初的
pathoformic	病初
martensitic	马氏体的
martensitic	马氏体
quiff	一缕头发
quiff	额发
cantrip	咒语
cantrip	恶作剧
murkily	黝暗地
murkily	黝暗
murkily	阴沉地
murkily	阴沉
bootlicker	拍马屁
electrometric	测电术的
electrometric	测电术
electrometric	量电法的
electrometric	量电法
roadsigns	道路标志信号
firkin	木制小桶
firkin	容量名
tubalcain	土八该隐
weathercondition	使具有耐气候性
weathercondition	使适应各种气候
pantry	餐具室
pantry	食品室
makeup	天性
makeup	化妆品
makeup	补充
makeup	虚构
makeup	组成
makeup	结构
makeup	补考
makeup	体格
knotting	结形花边
fellowlike	情同手足的
fellowlike	情同手足
fellowlike	和蔼可亲的
fellowlike	和蔼可亲
fellowlike	情同手足地
fellowlike	情同手足
shamos	=shamas
bedivere	贝德维尔
mahzor	祈祷书
turnpike	收费公路
abought	abye的过去式及过去分词
antienzyme	抗酵素
pigface	海滨苹果
preprocess	预加工
preprocess	预处理
nunhood	修女的身分
hercynian	海西的
hercynian	海西
rectificatory	矫正的
rectificatory	矫正
rectificatory	纠正的
rectificatory	纠正
rectificatory	纠正的
rectificatory	纠正
rectificatory	矫正的
rectificatory	矫正
rectificatory	校正的
rectificatory	校正
rectificatory	整流的
rectificatory	整流
pixilated	精神有点失常的
pixilated	精神有点失常
careless	粗心的
careless	粗心
careless	疏忽的
careless	疏忽
woodiness	多树林
woodiness	木质
unmuzzle	解下口罩
unmuzzle	解除束缚
unmuzzle	束缚言论自由的法令
photoactivate	使光敏化
photoactivate	用光催化
enterorrhexis	肠破裂
missioner	教区传教士
filename	文件名
vidifont	电视屏字母数字显示键盘
picowatt	皮瓦
picowatt	微微瓦
picowatt	百亿分之一瓦
pushy	有进取心的
pushy	有进取心
billie	比利
billie	=billy
mucoserous	产生黏液和浆液的
mucoserous	产生黏液和浆液
podsolize	=podzolize
calcedony	玉髓
tertian	隔日热
cheliped	带螯的前肢
mummify	成木乃伊状
mummify	干瘪
mummify	使干瘪
mummify	使成木乃伊
homemaking	家政
pentecostal	五旬节的
pentecostal	五旬节
chemiluminescence	化合光
chemiluminescence	化学发光
fezzan	费赞
dialysable	可透析的
dialysable	可透析
yantra	具
seizure	抓
seizure	捉
seizure	没收
seizure	查封
seizure	夺取
brian	布赖恩
moslemize	使信伊斯兰教
moslemize	使穆斯林化
nationalistic	国家主义的
nationalistic	国家主义
discernment	识别力
discernment	眼力
discernment	洞察力
adjudge	宣判
adjudge	判决
adjudge	把……判给
adjudge	认为
haggle	争价
haggle	争价
braw	服饰华美的
braw	服饰华美
braw	华饰的
braw	华饰
braw	美好的
braw	美好
ceremonialist	礼法家
ceremonialist	拘泥形式者
leathercoat	红褐色冬季苹果
canful	满罐
heme	亚铁血红素
bleachery	晒场
bleachery	漂白工场
sistern	sister的复数
blaeberry	覆盆子或其果实
frigorific	致冷的
frigorific	致冷
frigorific	冰冻的
frigorific	冰冻
solicitation	恳求
solicitation	恳请
solicitation	诱惑
solicitation	引发
dispiritedly	没精神地
dispiritedly	没精神
dispiritedly	气馁地
dispiritedly	气馁
quantasome	量子体
quantasome	光能转化体
refinisher	整修表面
refinisher	再修光
deformative	使变形的
deformative	使变形
deformative	引起畸形的
deformative	引起畸形
sagum	军大衣
psychrotolerant	耐寒的
psychrotolerant	耐寒
turbodrill	涡轮钻具
redskin	红皮肤人
injection	注射
injection	注射剂
injection	射入轨道
keddah	印度人诱捕野象的围场
moomin	森林小人
libeller	诽谤者
uncommunicable	=incommunicable
camwood	紫木
gastrosoph	美食专家
gastrosoph	爱吃的人
shedder	使流出的人
shedder	倒注者
shedder	脱壳期的虾和蟹
hurtful	有害的
hurtful	有害
o	字母o
o	/
o	Old
o	Style
o	out
o	of
o	stock
o	旧式的
o	旧式
fiord	海湾
fiord	峡湾
noncondensing	不凝固的
noncondensing	不凝固
bimetallic	二金属的
bimetallic	二金属
bimetallic	复本位制的
bimetallic	复本位制
langshan	狼山鸡
cutting	切断
cutting	开凿
cutting	切下
perissodactyle	=perissodactyl
lamentably	哀伤地
lamentably	哀伤
lamentably	拙劣地
lamentably	拙劣
tarnish	失去光泽
inflated	膨胀的
inflated	膨胀
inflated	夸张的
inflated	夸张
inflated	通货膨胀的
inflated	通货膨胀
suborbital	眼眶下的
suborbital	眼眶下
renunciant	断念者
geometrical	几何学的
geometrical	几何学
geometrical	几何的
geometrical	几何
subhedral	半形的
subhedral	半形
subhedral	仅有部分晶面的
subhedral	仅有部分晶面
lorelei	罗蕾莱
shadow	阴影
shadow	影子
shadow	影像
shadow	预兆
shadow	庇护
shadow	隐蔽处
shadow	阴暗
shadow	少许
shadow	遮蔽
shadow	使朦胧
shadow	预示
shadow	尾随
shadow	渐变
shadow	变阴暗
spanning	生成的
spanning	生成
cubhood	幼稚期
cubhood	初期
piteously	可怜地
piteously	可怜
piteously	慈悲地
piteously	慈悲
saltpeter	硝石
toxiphobia	毒物恐怖
assassination	暗杀
ubiquitous	到处存在的
ubiquitous	到处存在
ubiquitous	普遍存在的
ubiquitous	普遍存在
quidproquo	赔偿
quidproquo	报复
quidproquo	弄错
gramme	克
tolerably	可容忍地
tolerably	可容忍
tolerably	可宽恕地
tolerably	可宽恕
superparasitism	复寄生
lucigen	强光油灯
lucigen	强光气柜
chemigrapher	化学镌版术
suckfish	喉盘鱼
airscrew	螺旋桨
pate	脑袋
pate	头顶
vaulted	拱状的
vaulted	拱状
msce	Master
msce	of
msce	Science
msce	in
msce	Civil
msce	Engineering
msce	土木工程学硕士
formularism	呆板地紧守公式
formularism	墨守成规
varier	变化的人
stratford	斯特拉特福德
encave	把……藏于洞内
stringency	严格
stringency	紧迫
stringency	说服力
squilla	虾蛄
squilla	螳啷虾
lairage	入栏
lairage	进圈
lairage	关牲口的围栏
diarchy	两头政治
diarchy	两头政权
naif	像孩子的
naif	像孩子
naif	天真的
naif	天真
bridal	新娘的
bridal	新娘
bridal	新婚的
bridal	新婚
bridal	婚礼
analogist	类比推理者
cartilage	软骨
funebrial	出殡的
funebrial	出殡
funebrial	有关葬礼的
funebrial	有关葬礼
tuchun	督军
sharpeville	沙佩维尔
cabotage	沿海贸易权
cabotage	沿海航行权
cabotage	国内航空运输
coadventure	二个或二个以上人参加的冒险
coadventure	共同冒险
dilatability	膨胀性
desize	使退浆
wystan	威斯坦
mosasaurus	沧龙
dispark	开放
quantity	量
quantity	数量
semblance	外表
semblance	伪装
perturb	感到不安
gemmation	发芽
gemmation	发芽生殖
terraqueous	由水陆形成的
terraqueous	由水陆形成
terraqueous	水陆的
terraqueous	水陆
etiocholanolone	本胆烷醇酮
etiocholanolone	还原尿睾酮
whimsicality	异想天开
whimsicality	随心所欲
whimsicality	反复无常
catalectic	最后的音步中缺失音节的
catalectic	最后的音步中缺失音节
catalectic	以不完整音步结尾的
catalectic	以不完整音步结尾
aerotransport	运输机
harambee	哈兰比
nicaragua	尼加拉瓜
balbriggan	棉织物的一种
balbriggan	棉质袜子
sparta	斯巴达
biblioclast	破坏书籍者
biblioclast	焚书者
pharyngeal	咽的
pharyngeal	咽
kenyon	凯尼恩
locational	位置上的
locational	位置上
eurocheque	欧洲货币支票
fil	费尔
cancellous	罗眼状的
cancellous	罗眼状
cancellous	多孔的
cancellous	多孔
sandcastle	沙塔
conglobation	成团
conglobation	球形物
coadjust	相互调节
limmer	贱女人
limmer	荡妇
limmer	娼妓
antehuman	在人类以前的
antehuman	在人类以前
endoblast	内胚叶
endoblast	内胚层
astrand	搁浅地
astrand	搁浅
ontological	本体论的
ontological	本体论
ontological	实体论的
ontological	实体论
checkpoint	检查站
checkpoint	车站的行李房
repetitious	重复的
repetitious	重复
multiplicate	多种的
multiplicate	多种
multiplicate	多样的
multiplicate	多样
metalanguage	语言分析用的语言
grudging	不愿的
grudging	不愿
grudging	勉强的
grudging	勉强
grudging	吝啬的
grudging	吝啬
spahee	土耳其的非正规骑兵
spahee	阿尔及利亚籍骑兵
groveling	匍匐的
groveling	匍匐
groveling	卑躬屈节的
groveling	卑躬屈节
shinbone	胫骨
misadvise	给错误的劝告
misadvise	误导
cesarean	凯撒的
cesarean	凯撒
cesarean	皇帝的
cesarean	皇帝
foveola	小凹
foveola	孔穴
patronymic	取自教父名的
patronymic	取自教父名
patronymic	源于父名的姓或名字
misshape	歪曲
plotting	测绘
plotting	标图
bilinguist	通晓两种语言的人
parasitosis	寄生物病
parasitosis	寄生虫病
argument	争论
argument	辩论
argument	论据
argument	论点
argument	～
argument	意见
fungus	菌类
fungus	蘑菇
telluretted	碲化的
telluretted	碲化
underdrawers	内裤
underdrawers	衬裤
mistranslate	错译
spinulate	具小刺的
spinulate	具小刺
droningly	发嗡嗡声地
droningly	发嗡嗡声
appraisive	评价性的
appraisive	评价性
appraisive	有评价意味的
appraisive	有评价意味
alee	向下风
alee	朝下风
scratchbuild	从头开始制造
scratchbuild	用非预制件制造
morel	草笠竹
morel	龙葵
enter	进入
enter	加入
enter	参加
enter	登录
enter	开始
enter	进去
enter	回车
attractability	吸引性
hotelkeeper	旅馆经营者
indisputably	无争论余地地
indisputably	无争论余
alcalde	市长
alcalde	镇长
repossessed	被重新占有的
repossessed	被重新占有
repossessed	第二手的
repossessed	第二手
sevruga	闪光鲟鱼子酱
lysogeny	溶原性
lysogeny	溶原现象
scholzite	磷钙锌矿
gorgeously	华美地
gorgeously	华美
gorgeously	辉煌地
gorgeously	辉煌
swapper	交易者
swapper	以物易物者
penmanship	书法
identification	/
identification	身份证
mosfet	metallic
mosfet	oxide
mosfet	semiconductor
mosfet	field
mosfet	effecttransistor金属氧化物半导体场效应晶体管
conciliarist	教会会议至上主义者
socratic	苏格拉底的信徒
socratic	苏格拉底的
socratic	苏格拉底
reafference	再内导
parole	诺言
parole	誓言
parole	有条件释放
parole	假释
multivalve	多瓣的
multivalve	多瓣
chandlery	杂货
chandlery	杂货商店
chandlery	蜡烛及其他杂货的仓库或贮存室
refreshingly	清爽地
refreshingly	清爽
refreshingly	有精神地
refreshingly	有精神
sorter	从事分类的人
sorter	把东西分类拣选的人
deskwork	案头工作
deskwork	文书工作
ridgeway	山脊路
ridgeway	山顶上的路
jowar	蜀黍
jowar	高梁
bri	Basic
bri	Rate
bri	Interference
bri	基本速率干扰
bri	Basic
bri	Rate
bri	Interface
bri	基本速率接口
ratably	可估价地
ratably	可估价
ratably	应征税地
ratably	应征税
fenianism	芬尼共和主义
levitation	轻轻浮起
levitation	升在空中
gila	毒蜥
vaud	沃州(即瓦特州
yonkers	扬克斯
munshi	=moonshee
sarcocarp	果肉
sarcocarp	中果皮
sarcocarp	肉果
busywork	作业
snofari	雪地探险
victimology	被害者研究
paternoster	主祷文
paternoster	咒文
chaparajos	皮裤
nonimportation	不进口
nonimportation	禁止进口
oxyopy	视觉锐敏
joist	托梁
rhetian	=Rhaetian
amperemeter	电流计
amperemeter	安培表
labyrinthic	迷宫的
labyrinthic	迷宫
labyrinthic	曲折的
labyrinthic	曲折
apposition	并置
apposition	同格
canonization	追封为圣者
canonization	承认为圣典
msam	Master
msam	of
msam	Science
msam	in
msam	Applied
msam	Mechanics
msam	应用力学硕士
cobia	军曹鱼
smokepot	发烟罐
transvaal	德兰士瓦省
prognostication	预言
solleret	钢甲靴
retaliative	报复性的
retaliative	报复性
gastropodous	与腹足纲软体动物有关的
gastropodous	与腹足纲软体动物有关
gastropodous	似腹足纲软体动物的
gastropodous	似腹足纲软体动物
nonconformism	=nonconformity
mare	母马
mare	母驴
mare	月球或火星等表面阴暗区
pox	发疹的疾病
pox	痘
pox	疹
pox	瘟疫
forefront	最前部
forefront	最前线
forefront	最活动的中心
bach	bachelor
bach	之略语
bach	过独身生活
bach	乡村小屋
bach	海滨小屋
heresiography	关于异教的论著
kif	吸毒后的迷糊状态
kif	麻醉品
endophagous	内食的
endophagous	内食
holotype	正模标本
holotype	全型
avenger	复仇者
gift	赠品
gift	礼物
gift	天赋
gift	才能
aitch	H
aitch	h的字母
aitch	h音
aitch	H形的
aitch	H形
tetrabromofluorescein	四溴荧光素
tetrabromofluorescein	酸性曙红
unshorn	未剪过毛的
unshorn	未剪过毛
unshorn	未修剪过的
unshorn	未修剪过
unshorn	未修面的
unshorn	未修面
felspar	长石
erythromycin	抗生素的一种
epicrisis	评论
epicrisis	考据
epicrisis	第二次骤退
maxillary	上颌骨的
maxillary	上颌骨
maxillary	上颌骨
tyrrhene	=Etruscan
adversary	敌手
adversary	对手
bolide	火流星
genotype	基因型
