synclinal	倾斜
gadarene	猛冲
ambo	读经台
ambo	讲道台
lost	失去的
lost	失去
lost	丧失的
lost	丧失
lost	错过的
lost	错过
lost	迷惑的
lost	迷惑
lost	不为人知的
lost	不为人知
lost	lose的过去式和过去分词
inflate	使膨胀
inflate	使得意
inflate	使膨胀
inflate	使充气
inflate	充气
inflate	膨胀
abominate	痛恨
abominate	憎恶
triiodomethane	=iodoform
typey	=typy
quack	呷呷叫声
quack	庸医
quack	骗子
quack	骗人
worksite	工地
worksite	工
laplander	拉普兰人
cliffy	陡峭的
cliffy	陡峭
ornithic	鸟类的
ornithic	鸟类
ornithic	禽类的
ornithic	禽类
gleamy	发光的
gleamy	发光
gleamy	闪光的
gleamy	闪光
actinospectacin	放线壮观素
hardpan	硬质地层
hardpan	粘土层
hardpan	砂砾层
cadge	行乞
cadge	乞讨
cadge	贩卖
spire	尖顶
manaus	马瑙斯
hussar	轻骑兵
austrian	奥地利人
austrian	奥地利的
austrian	奥地利
austrian	奥地利人的
austrian	奥地利人
demagogism	煽动
demagogism	煽动行为
decarburize	将某物中之碳素除去
lubberly	粗笨的
lubberly	粗笨
lubberly	笨拙的
lubberly	笨拙
lubberly	笨拙地
lubberly	笨拙
daltonist	色盲者
reprieval	=reprieve
schnapps	荷兰产杜松子酒
schnapps	任何烈酒
lability	不稳定
schistoglossia	舌裂
mayday	救难信号
boneless	无骨的
boneless	无骨
boneless	剔去骨的
boneless	剔去骨
persecution	迫害
persecution	烦扰
armoury	军械库
armoury	武器厂
presuppurative	化脓前的
presuppurative	化脓前
bezel	凿的刃角
bezel	宝石的斜面
oilskin	油布
oilskin	防水布
phonendoscope	扩音听诊器
robur	栎树
mineralography	=mineragraphy
crestfallen	垂头丧气的
crestfallen	垂头丧气
gatewoman	女守门者
ceria	二氧化铈
sauce	沙司
sauce	酱油
sauce	调味料
sauce	调味
sauce	使增加趣味
trinominal	有三个名的
trinominal	有三个名
trinominal	三名法的
trinominal	三名法
clishmaclaver	蠢话
clishmaclaver	闲话
backhand	反手击球
dovelike	鸽子般的
dovelike	鸽子般
dovelike	天真无邪的
dovelike	天真无邪
nostomania	怀乡病
nostomania	怀旧
turnoff	避开
turnoff	岔开
turnoff	岔道
turnoff	关闭
turnoff	断路
bewitchment	魔力
bewitchment	妖术
bewitchment	迷惑力
bavin	生火用的柴束
bracero	墨西哥短期合同工
rulable	可操纵的
rulable	可操纵
rulable	可统治的
rulable	可统治
dis	阴间的神
dis	冥府
dis	阴间
dis	Digital
dis	Image
dis	Stabilizer
dis	数字图像稳定功能
floccus	绒毛丛
floccus	絮状云
bristle	刚毛
bristle	猪鬃
bristle	竖起
bristle	发怒
landscape	风景
landscape	山水画
landscape	地形
landscape	前景
landscape	美化
referendum	公民投票
referendum	请示书
clog	木底鞋
clog	障碍
clog	障碍
clog	阻塞
ideamonger	提出新构想的人
camerlingate	财政红衣主教之职位
erwin	欧文
tormentil	直立委陵菜
listerine	李斯特防腐液
cervelas	熏香肠
regradation	倒退
regradation	后退
tsar	沙皇
hornworm	天蛾幼虫
louvred	=louvered
transversely	横着
transversely	横切地
transversely	横切
transversely	横断地
transversely	横断
pursue	追赶
pursue	追踪
pursue	追击
pursue	继续
pursue	从事
acicula	针
acicula	刺
pennate	有翼的
pennate	有翼
antrorsely	向上地
antrorsely	向上
antrorsely	向前地
antrorsely	向前
haploidic	=haploid
haematein	苏木红
haematein	正铁血红素
bacco	=baccy
behaviorist	行动主义者
earshot	听力所及之范围
demobilize	复员
sporophyl	孢子叶
puss	猫
puss	小姑娘
puss	少女
puss	脸
puss	嘴
chemosterilization	化学绝育法
pneumatism	精气论
forage	草料
philotechnic	爱好工艺的
philotechnic	爱好工艺
claustration	幽闭
claustration	幽禁
curium	锔元素符号
southwest	西南方
southwest	西南的
southwest	西南
southwest	向西南方的
southwest	向西南方
deferent	传送的
deferent	传送
deferent	输出的
deferent	输出
eutelegenesis	人工授精
aria	独唱曲
aria	咏叹调
aria	唱腔
unobtrusive	不唐突的
unobtrusive	不唐突
unobtrusive	不多嘴的
unobtrusive	不多嘴
unobtrusive	客气的
unobtrusive	客气
unobtrusive	谦虚的
unobtrusive	谦虚
containerport	集装箱货港
ascariasis	蛔虫病
negro	黑人
advertisement	广告
advertisement	做广告
polypharmacy	复方用药
polypharmacy	混杂给药
polypharmacy	过多给药
verdurous	碧绿的
verdurous	碧绿
verdurous	草木青翠的
verdurous	草木青翠
oceanographer	海洋学者
oceanographer	海洋研究者
chocolate	巧克力
chocolate	巧克力色
kcvo	Knight
kcvo	Commander
kcvo	of
kcvo	the
kcvo	高级维多利亚勋爵士
eurocentric	以欧洲为中心的
eurocentric	以欧洲为中心
eurocentric	主要与欧洲有关的
eurocentric	主要与欧洲有关
witchwoman	女巫医
abiosis	无生命
despiteous	可鄙的
despiteous	可鄙
despiteous	可恨的
despiteous	可恨
hologamous	配子大型的
hologamous	配子大型
hologamous	成体配合的
hologamous	成体配合
hologamous	整体配合的
hologamous	整体配合
hologamous	全融合的
hologamous	全融合
acnode	孤点
basinet	一种轻钢盔
superlunar	世外的
superlunar	世外
superlunar	毫无道理可言的
superlunar	毫无道理可言
carbene	卡宾
carbene	碳烯
antisepticise	防腐
antisepticise	消毒
syntactical	依照句法的
syntactical	依照句法
collapse	倒塌
collapse	崩溃
collapse	失败
collapse	虚脱
collapse	倒塌
collapse	崩溃
collapse	瓦解
collapse	失败
collapse	病倒
rebuke	指责
rebuke	谴责
rebuke	非难
rebuke	斥责
rebuke	指责
rebuke	非难
rebuke	成为对……的指摘
meseems	我以为
briarwood	=brierwood
fondle	抚弄
briefcase	公文包
turcologist	突厥语言文学专家
disability	无力
disability	无能
disability	残疾
disability	无能力
disability	无资格
thermology	=thermotics
wolverene	狼獾
metamorphous	=metamorphic
agrarian	有关土地的
agrarian	有关土
agrarian	耕地的
agrarian	耕
designment	设计
designment	计划
mekong	湄公河
deproletarize	使非无产阶级化
deproletarize	使失去无产阶级本质
nerved	有勇气的
nerved	有勇气
nerved	有精力的
nerved	有精力
nerved	有翅膀的
nerved	有翅膀
circumferential	圆周的
circumferential	圆周
seedcase	果皮
lucia	露西娅
unchancy	不幸的
unchancy	不幸
unchancy	不合时宜的
unchancy	不合时宜
epigrammatize	写成警句
epigrammatize	以讽刺诗形式书写
malacopterygian	软鳍类的
malacopterygian	软鳍类
quadruple	四倍的
quadruple	四倍
quadruple	四重的
quadruple	四重
quadruple	每小节四拍的
quadruple	每小节四拍
quadruple	四倍
quadruple	使成四倍
quadruple	成为四倍
scherm	棚屋
scherm	蔽护所
pontific	=pontifical
throaty	喉音的
throaty	喉音
throaty	喉部发出声音的
throaty	喉部发出声音
throaty	嘶哑的
throaty	嘶哑
progressivism	进步主义
progressivism	革新论
parted	分开的
parted	分开
atavist	显现隔代遗传之动物或植物
seizable	可捕捉的
seizable	可捕捉
seizable	可夺取的
seizable	可夺取
seizable	可扣押的
seizable	可扣押
bubu	=boubou
monotheistic	一神论的
monotheistic	一神论
forth	往前
forth	向外
plastering	涂以灰泥
plastering	石膏工艺
sam	Surface
sam	to
sam	Air
sam	Missile
sam	地对空导弹
sam	萨姆防空导弹
rifter	冰山的裂缝
metanalysis	再分化
fatherlike	如父亲的
fatherlike	如父亲
fatherlike	慈爱的
fatherlike	慈爱
factual	事实的
factual	事实
factual	实际的
factual	实际
femality	女人的性格
marxian	马克思主义者
marxian	马克思主义者的
marxian	马克思主义者
marxian	马克思的
marxian	马克思
splutter	杂乱而仓促的话
splutter	杂乱的声音
companionship	交谊
companionship	友谊
disciplinable	有训练可能的
disciplinable	有训练可能
disciplinable	值得惩戒的
disciplinable	值得惩戒
insecurely	不安全地
insecurely	不安全
insecurely	危险地
insecurely	危险
geryon	吉里昂
mittimus	收押令
mittimus	免职
clavier	键盘
clavier	键盘乐器
clavier	练习用无音键盘
asyntactic	不合语法的
asyntactic	不合语法
despoliation	掠夺
hyposulphite	连二亚硫酸盐
hyposulphite	硫代硫酸钠
octane	辛烷
hawkmoth	天蛾
disinclined	不愿的
disinclined	不愿
disinclined	不想的
disinclined	不想
catecholamine	儿茶酚胺
revisional	校订的
revisional	校订
revisional	修正的
revisional	修正
aspirated	送气音的
aspirated	送气音
aspirated	h音的
aspirated	h音
phtisis	痨病
phtisis	肺结核
sophomoric	大学或四年制中学之二年级的
sophomoric	大学或四年制中学之二年级
sophomoric	一知半解的
sophomoric	一知半解
freebsd	一种可免费使用的UNIX操作系统
acute	敏锐的
acute	敏锐
acute	急性的
acute	急性
acute	剧烈
nek	鞍部
nek	山峡
pigling	小猪
negeb	=Negev
namesake	同名的人
namesake	同名物
heave	举起
heave	举起
obliviscence	遗忘
obliviscence	遗忘倾向
mayanist	马雅文化专家
irrationality	不合理
manhattan	曼哈顿岛
diactinic	有化学线透过性能的
diactinic	有化学线透过性能
unredressed	未纠正的
unredressed	未纠正
unredressed	未昭雪的
unredressed	未昭雪
unredressed	未调整的
unredressed	未调整
unredressed	未补偿的
unredressed	未补偿
semisedentary	半定居的
semisedentary	半定居
remigrate	再迁移
remigrate	再移民
remigrate	重新移植
flossy	丝棉似的
flossy	丝棉似
flossy	迷人的
flossy	迷人
flossy	轻软的
flossy	轻软
containedly	泰然自若地
containedly	泰然自若
containedly	从容不迫地
containedly	从容不迫
regna	regnum
regna	的复数
uncomplying	不依从的
uncomplying	不依从
uncomplying	不顺从的
uncomplying	不顺从
companionable	适于做朋友的
companionable	适于做朋友
companionable	好交往的
companionable	好交往
moonsail	月帆
freeminded	无精神负担的
freeminded	无精神负担
hipline	臀围
hipline	臀围部分
superpose	放在上面
superpose	重叠
pantograph	缩放仪
pantograph	伸缩绘图器
moviegoer	常看电影的人
runcinate	向下锯齿状的
runcinate	向下锯齿状
highfaluting	骄傲的
highfaluting	骄傲
schilling	奥地利的货币单位
schilling	先令
sweetshop	糖果店
lackalnd	无土地的
lackalnd	无土
lackalnd	无土地的人
overstate	夸大的叙述
overstate	夸张
compliance	依从
compliance	顺从
sco	SCO
sco	Unix系统
gingerbread	华而不实的东西
gingerbread	姜饼
gingerbread	华而不实的
gingerbread	华而不实
avirulence	无毒性
relaunder	重新洗涤
relaunder	重洗熨
astrology	占星术
astrology	占星学
underbudgeted	预算不足的
underbudgeted	预算不足
tcbm	transcontinental
tcbm	ballistic
tcbm	missile
tcbm	洲际弹道导弹
clifton	克利夫顿
virustatic	阻止病毒生长的
virustatic	阻止病毒生长
scholium	注释
scholium	评注
proteoclastic	解蛋白的
proteoclastic	解蛋白
proteoclastic	蛋白水解的
proteoclastic	蛋白水解
cicatrice	斑痕
cicatrice	叶痕
chopinesque	似肖邦作品的
chopinesque	似肖邦作品
chopinesque	似肖邦作曲风格的
chopinesque	似肖邦作曲风格
hypha	菌丝
autotetraploid	9R:tEJ`tetrE9pRId/
autotetraploid	同源四倍体lRIdI/
autotetraploid	同源(由二倍体生物的姿谋缎
quadrantanopia	象限盲
diathermic	电疗法的
diathermic	电疗法
diathermic	透热性的
diathermic	透热性
declinatory	谢绝的
declinatory	谢绝
declinatory	婉谢的
declinatory	婉谢
ce	abr
ce	IBM
ce	customer
ce	engineer
beechnut	山毛榉坚果
artery	动脉
artery	要道
chryselephantine	用金和象牙做成的
chryselephantine	用金和象牙做成
cynically	爱嘲笑地
cynically	爱嘲笑
cynically	冷笑地
cynically	冷笑
hippiatrist	马医学
donation	捐赠品
donation	捐款
donation	贡献
alumnal	校友的
alumnal	校友
alumnal	毕业生的
alumnal	毕业生
castilla	卡斯蒂利亚
meteorology	气象学
meteorology	气象状态
bodhi	tree
bodhi	菩提树
spandril	=spandrel
quadrangled	四边形的
quadrangled	四边形
quadrangled	有四角或四边的
quadrangled	有四角或四边
quadrangled	标准地图上的一方格
assuring	保证的
assuring	保证
assuring	确信的
assuring	确信
assuring	给人信心的
assuring	给人信心
cyclostyle	模板
cyclostyle	用模版复印机印刷
jokester	喜欢开玩笑者
chilled	已冷的
chilled	已冷
chilled	冷硬了的
chilled	冷硬了
chilled	冷冻的
chilled	冷冻
microstudy	微观研究
boozy	酩酊的
boozy	酩酊
boozy	嗜酒的
boozy	嗜酒
disadvise	劝止
disadvise	劝阻
purdah	窗帘
purdah	帷幕
purdah	面纱
purdah	身闺制度
mentawai	明打威群岛
ensheath	放入鞘中
ensheath	纳入套中
dibatag	沙羚
bellyworm	蛔虫
crusader	十字军战士
crusader	改革者
markan	=Marcan
semichorus	小合唱
semichorus	小合唱曲
spongin	海绵硬蛋白
surabaja	苏腊巴亚
flocculence	柔毛状
flocculence	丛毛状物
flocculence	丛毛状
digester	做摘要者
digester	助消化食品
nankeen	本色棉布
nankeen	淡黄色
moksha	=moksa
sweatily	汗流夹背地
sweatily	汗流夹背
sweatily	流着汗
ameba	阿米巴
ameba	变形虫
tummy	胃
tummy	肚子腹痛
tummy	腹泻
etiquette	礼节
boing	啵嘤
guild	行会
guild	同业公会
guild	协会
guild	行业协会
snowblink	雪地反射在天上之白色光辉
unforeseeing	无预见的
unforeseeing	无预见
unforeseeing	无先见之明的
unforeseeing	无先见之明
dispauperization	使不再为贫民
dispauperization	使远离贫民
zori	草鞋
zori	便鞋
nonliquet'	NULL)
holland	荷兰
holland	漂白亚麻布
retain	保持
retain	保留
contraoctave	中央C以下第二与第三C之间的八度
tyrannous	暴虐的
tyrannous	暴虐
tyrannous	压制的
tyrannous	压制
armlet	臂环
armlet	臂章
armlet	小海湾
sunbow	日虹
sociologist	社会学家
sociologist	社会学者
preemergent	=preemergence
howie	豪伊
anatine	鸭类的
anatine	鸭类
anatine	似鸭的
anatine	似鸭
flotation	浮选
accessories	附件
exploitable	可开发的
exploitable	可开发
exploitable	可利用的
exploitable	可利用
exploitable	可剥削的
exploitable	可剥削
cosy	舒适的
cosy	舒适
cosy	安逸的
cosy	安逸
bitcasting	比特播放
talkative	多话的
talkative	多话
talkative	爱说话的
talkative	爱说话
talkative	多嘴的
talkative	多嘴
unipetalous	单瓣的
unipetalous	单瓣
evaluative	可估价的
evaluative	可估价
citronellal	香茅醛
gloatingly	沾沾自喜地
gloatingly	沾沾自喜
calvinistic	加尔文主义的
calvinistic	加尔文主义
calvinistic	加尔文教派的
calvinistic	加尔文教派
legger	用腿蹬洞壁使船过运河隧洞的人
legger	织袜统机
legger	织袜统工人
coastguardman	海岸警备队员
tolley	击发弹
cockup	翘起之顶端
cockup	前端翘起之帽
lesotho	莱索托
diatom	硅藻属
additionally	加之
additionally	又
rigamarole	=rigmarole
lunula	新月形的东西
lunula	新月形表记
rundle	梯级
strad	=Stradivarius
volcanist	火山学者
bluefin	金枪鱼
wiser	聪明的
wiser	聪明
wiser	贤明的
wiser	贤明
baker	面包师
baker	面包工人
baker	烘炉
lemmatize	把
lemmatize	进行归类
shibboleth	口令
derringer	大口径短口手枪
belongingness	归属
belongingness	一体
belongingness	相属关系
belongingness	所属性
belongingness	从属性
burweed	生长果球的草类
soldi	soldo的复数
conkers	板栗游戏
elasticizer	弹性增进剂
transmutationist	生物演变论者
bathymetrically	深测术地
bathymetrically	深测术
bathymetrically	测海学地
bathymetrically	测海学
agin	反对
appanage	的封地
appanage	封
appanage	封禄
frontal	前沿
longirostral	有长喙的
longirostral	有长喙
longirostral	长嘴类的
longirostral	长嘴类
discourse	演讲
discourse	论述
discourse	论文
discourse	讲道
discourse	谈话
discourse	谈论
discourse	谈论
discourse	演说
supple	柔软的
supple	柔软
supple	逢迎的
supple	逢迎
supple	顺从的
supple	顺从
supple	使柔软
supple	使顺从
supple	变柔顺
admiralship	海军上将之职
amativeness	恋爱
amativeness	色情
glaive	剑
glaive	宽刃刀
glaive	阔剑
cradleland	发源地
cradleland	发源
cradleland	发祥地
cradleland	发祥
rubied	红玉色的
rubied	红玉色
rubied	深红的
rubied	深红
restore	恢复
restore	使回复
restore	归还
restore	交还
restore	修复
restore	重建
coverlid	被单
coverlid	床单
polythene	聚乙烯
expropriate	没收
expropriate	征用
expropriate	剥夺
dipperful	一勺的容量
directivity	方向性
directivity	指向性
sideways	向一旁
sideways	向侧面地
sideways	向侧面
sideways	斜地里
sideways	一旁的
sideways	一旁
sideways	向侧面的
sideways	向侧面
decimus	十分之一的
decimus	十分之一
velocity	速度
velocity	速率
velocity	迅速
velocity	周转率
sindolor	欣得乐止痛仪
electropolish	用电解法抛光
gelsemium	素馨属
aeroelasticity	空气弹性变形
antipope	僭称的罗马教皇
antipope	对立教皇
arabica	阿拉伯咖啡
ibidem	同前
ibidem	如上
despicable	可鄙的
despicable	可鄙
despicable	卑劣的
despicable	卑劣
unwatchful	不注意的
unwatchful	不注意
unwatchful	不警觉的
unwatchful	不警觉
unwatchful	无戒备的
unwatchful	无戒备
dope	粘稠物
dope	浓液
dope	涂料
dope	涂布油
dope	麻醉药物
dope	笨蛋
dope	上涂料
dope	预测出
dope	服麻醉品
dope	内幕
dope	消息
centrad	趋向……中心
microgroove	细微纹沟
microgroove	唱片
crowning	最高的
crowning	最高
crowning	无比的
crowning	无比
cheesy	干酪质的
cheesy	干酪质
cheesy	俊俏的
cheesy	俊俏
cheesy	潇洒的
cheesy	潇洒
earthwork	土木工事
ul	Underwriters''
ul	Laboratories
ul	保险商实验所
frustule	硅藻的细胞膜
goatpox	羊痘
caryatid	女像柱
emerson	爱默生
olivine	橄榄石
olivine	黄绿
disgrace	耻辱
disgrace	失宠
disgrace	丢脸的人
disgrace	玷污
alacarte	照菜单点菜
offspring	儿女
offspring	子孙
offspring	后代
offspring	产物
overcloud	使阴暗
overcloud	使布满乌云
overcloud	使阴暗
overcloud	使忧郁
mormonism	摩门教
tollman	收费员
subtotalled	部份总计
subtotalled	部份总计
sheaf	捆
sheaf	束
sheaf	札
sheaf	捆
sheaf	束
sheaf	札
controversialist	争论者
controversialist	好争论者
iterative	重复的
iterative	重复
iterative	反复的
iterative	反复
iterative	迭代的
iterative	迭代
iterative	反复体
fanatically	狂热地
fanatically	狂热
fanatically	盲信地
fanatically	盲信
dreariness	沉寂
dreariness	可怕
dreariness	凄凉
refortify	使再加固
refortify	再强化
tropoelastin	弹性蛋白原
cyclorama	圆形幻画
cyclorama	大风景画幕
metacentre	定倾中心
metacentre	外心点
chlorodyne	利眠宁
anaesthetize	麻痹
anaesthetize	使麻痹
knavish	无赖的
knavish	无赖
knavish	不正的
knavish	不正
conclave	秘密会议
conclave	教皇选举会议
conclave	红衣主教团
negotiable	可通过谈判解决的
negotiable	可通过谈判解决
omnipotent	全能的
omnipotent	全能
omnipotent	无所不能的
omnipotent	无所不能
vancomycin	万古霉素
dusting	打扫
dusting	殴打
importee	从外国移来的人
numerator	分子
tula	图拉
tula	work乌银镶嵌术
higgs	meson希格斯介子
bitterroot	一种齿苋
disassociation	分离
disassociation	分裂
bandh	停职
bandh	停止工作
awless	无威仪的
awless	无威仪
awless	不知畏惧的
awless	不知畏惧
thermostat	自动调温器
thermostat	温度调节装置
acraldehyde	丙烯醛
ladies	公共女厕所
ladies	女盥洗室
vasectomy	输精管切除术
bechance	使发生
bechance	产生
uapa	United
uapa	Amateur
uapa	Press
uapa	Association
uapa	联合业余报业协会
pinta	品他病
immuration	监禁
immuration	束缚
functionate	=function
remanufacture	再制造
remanufacture	改制
uncompromising	/
uncompromising	坚决地
uncompromising	坚决
uncompromising	/
uncompromising	不妥协的
uncompromising	不妥协
uncompromising	不煌仔
pusillanimously	胆怯地
pusillanimously	胆怯
pusillanimously	优柔寡断地
pusillanimously	优柔寡断
superelevate	使的外侧超高
teleflash	快电
teleflash	快电传输设备
dishcloth	抹布
tort	民事侵权行为
recursion	递归
recursion	递归式
despair	绝望
despair	失望
despair	令人失望的人
despair	绝望
tabinet	波纹塔夫绸
tabinet	府纺
backfence	邻居间的
backfence	邻居间
backfence	隔壁邻舍的
backfence	隔壁邻舍
artie	阿蒂
apolipoprotein	阿朴脂蛋白
improvisatrice	女即兴诗人
improvisatrice	女即兴作曲家
deweyan	J
deweyan	杜威的
deweyan	杜威
deweyan	杜威哲学的
deweyan	杜威哲学
capetonian	开普敦人
spousal	结婚
spousal	婚礼
spousal	结婚的
spousal	结婚
prig	一本正经的人
apodosis	归结子句
viscid	粘的
viscid	粘
viscid	胶粘的
viscid	胶粘
viscid	粘质的
viscid	粘质
viscid	半流体的
viscid	半流体
probability	可能性
probability	或然性
probability	概率
preamplifier	前置放大器
headboard	床头板
braunschweiger	熏肝香肠
twayblade	羊耳蒜
twayblade	双叶兰
antipyrin	安替比林
dupability	受骗的性格
dupability	易受骗
sightly	好看的
sightly	好看
releasee	被免除债务者
releasee	受让人
informercial	商业信息片
autoshape	自我形成
seedcorn	玉米种
stormless	无风雨的
stormless	无风雨
nfu	National
nfu	Farmers''Union
nfu	全国农场主联合会
gibbed	阉割的
gibbed	阉割
hideout	隐匿处
degum	使脱胶
degum	使去胶
predictive	预言性的
predictive	预言性
predictive	成为前兆的
predictive	成为前兆
necrobiotic	渐进性坏死的
necrobiotic	渐进性坏死
cerebellum	小脑
denitrate	除去硝酸
quarryman	采石工
quarryman	凿石匠
surfacing	使成平面
surfacing	铺以面
asla	American
asla	Society
asla	of
asla	Landscape
asla	Architects
asla	美国景色美化设计师协会
globular	球状的
globular	球状
theobromine	可可碱
gybe	改变航道
gybe	航道的改变
gybe	帆向改变
radiumization	镭治疗
creative	创造性的
creative	创造性
manxman	马恩岛人
manxman	马恩岛男子
demineralize	去除矿物质
underbrush	树林下的草丛
underbrush	丛林
underbrush	下层林丛
amtorg	苏美贸易公司
cecf	Chinese
cecf	Export
cecf	Commodilies
cecf	Fair
cecf	中国出口商品交易会
pedochemical	土壤化学成分的
pedochemical	土壤化学成分
pedochemical	土壤化学变化的
pedochemical	土壤化学变化
thivel	搅棒
theodore	男子名
lacewing	草蜻蛉
vlan	Virtual
vlan	Lan
vlan	虚拟局域网
dander	怒火
dander	怒气
dander	激怒某人
dander	头垢
dander	头皮屑
wigan	本色平纹棉布
wigan	无光上浆衬里布
cricothyroid	环甲的
cricothyroid	环甲
antihistaminic	抗组胺剂的
antihistaminic	抗组胺剂
deadwork	无益之工
appreciator	了解真价者
appreciator	鉴赏者
vtr	videotape
vtr	recorder
vtr	磁带录像机
homogenous	同质的
homogenous	同质
homogenous	纯系的
homogenous	纯系
lombardic	Lombardy
lombardic	族的
lombardic	族
lombardic	Lombardy
lombardic	地方的
lombardic	方
amazement	惊愕
amazement	惊异
game	比赛
game	游戏
game	竞赛
game	运动会
game	玩耍
game	比分
game	比赛规则
game	策略
game	赌博
game	勇敢的
game	勇敢
game	有胆量的
game	有胆量
game	关于野味的
game	关于野味
game	跛的
game	跛
hexapla	用六国语对译的书
soochong	=souchong
widowerhood	鳏居
widowerhood	丧妻
ernet	Education
ernet	and
ernet	Research
ernet	Community
ernet	Network
ernet	科教社团网
inenarrable	难以描述的
inenarrable	难以描述
discoverable	发现的
discoverable	发现
discoverable	显露的
discoverable	显露
obnoxious	不愉快的
obnoxious	不愉快
obnoxious	讨厌的
obnoxious	讨厌
rajab	回历的7月
boon	恩惠
boon	实惠
boon	福利
cuspate	尖的
cuspate	尖
cuspate	尖头形的
cuspate	尖头形
vocoid	元音
debauchee	浪荡子
debauchee	邪淫者
termagant	泼妇
termagant	好吵架的女人
disembody	使脱离肉体
detainee	被拘留者
detainee	未判决囚犯
anhydro	酐的
anhydro	酐
superexpress	超特快的
superexpress	超特快
caryopsis	颖果
inhospitable	冷淡的
inhospitable	冷淡
inhospitable	不好客的
inhospitable	不好客
inhospitable	荒凉的
inhospitable	荒凉
sympodial	合轴的
sympodial	合轴
sympodial	产生合轴的
sympodial	产生合轴
polychromatophil	`pClIkrEJ9mEfIl/
polychromatophil	多染性的
polychromatophil	多染性
herbert	男人名
floorcloth	铺地板布
panmixia	随机交配
panmixia	随机交配群体
upkeep	维持
upkeep	维修费
airhead	空降场
airhead	空军前进基地
airhead	空军前进基
coleta	辫子
shotmaking	球成功率
dorsigrade	以足背行走的
dorsigrade	以足背行走
kottbus	=Cottbus
reenforcement	援助
reenforcement	增强
subjectify	使主观化
subjectify	主观地阐述
masculinity	男性
masculinity	阳性
masculinity	雄性
exosporal	外芽胞的
exosporal	外芽胞
exosporal	外芽胞膜的
exosporal	外芽胞膜
rhochrematician	物资和产品流通学专家
affusion	注水
primo	第一
primo	首先
nocturn	夜祷
acerose	细长的
acerose	细长
acerose	针状的
acerose	针状
nonalignment	不结盟
fleckiness	斑斑点点
scarcity	缺乏
scarcity	不足
eyewinker	睫毛
eyewinker	异物
bacilli	细菌
bacilli	杆菌
telegraphese	电报文体
telegraphese	电文体
pathobiology	病理学
seneschal	管家
teaplanting	种茶事业
manginess	生满疥癣
manginess	污秽
lepidopteral	鳞翅类的
lepidopteral	鳞翅类
mechanician	机械师
mechanician	技工
mechanician	机械工
queer	同性恋者
queer	奇怪的
queer	奇怪
queer	可疑的
queer	可疑
queer	不舒服的
queer	不舒服
queer	搞糟
queer	同性恋者
sonal	声音的
sonal	声音
sonal	声速的
sonal	声速
cinchonise	=cinchonize
paralogism	谬论
eyeball	眼球
eyeball	眼珠子
gypsiferous	含石膏的
gypsiferous	含石膏
gypsiferous	产石膏的
gypsiferous	产石膏
talmessite	砷酸镁钙石
bangkok	曼谷
appease	平息
appease	安抚
appease	缓和
appease	使满足
skeletogenous	成骨骼的
skeletogenous	成骨骼
skeletogenous	长骨骼的
skeletogenous	长骨骼
krebs	cycle
krebs	克雷布斯循环
krebs	三羧酸循环
telectroscope	电传照相机
ultraradical	极端激进的
ultraradical	极端激进
refugium	残遗种保护区
refugium	冰期生物种遗区
hyperparasitic	重寄生物的
hyperparasitic	重寄生物
bookstall	书报摊
global	球形的
global	球形
global	全球的
global	全球
global	全世界的
global	全世界
raw	生肉
raw	擦伤处
raw	身上的痛处
raw	未加工的
raw	未加工
raw	生疏的
raw	生疏
raw	处于自然状态的
raw	处于自然状态
raw	不掺水的
raw	不掺水
raw	擦掉皮的
raw	擦掉皮
raw	阴冷的
raw	阴冷
raw	刺痛的
raw	刺痛
raw	擦伤
lovemaking	调情
lovemaking	求爱
lovemaking	性交
brusquerie	无礼
brusquerie	粗率
pyoid	脓的
pyoid	脓
pyoid	脓样的
pyoid	脓样
unreliable	不可靠的
unreliable	不可靠
nondrying	oil非干性油
ambilateral	双方面的
ambilateral	双方面
brindle	斑点
brindle	有斑纹的动物
fricando	=fricandeau
gangrene	坏疽
gangrene	腐败堕落的
gangrene	腐败堕落
gangrene	生坏疽
gangrene	腐败
gangrene	使生坏疽
clubhaul	弃锚掉转方向
hystricomorph	豪猪型亚目动物
tyuyamunite	钙钒铀矿
ergometric	测功的
ergometric	测功
ergometric	由测功计测得的
ergometric	由测功计测
daffadowndilly	=daffodil
shaggy	毛发粗浓杂乱的
shaggy	毛发粗浓杂乱
shaggy	蓬松的
shaggy	蓬松
shaggy	表面粗糙的
shaggy	表面粗糙
camisado	夜间奇袭
underlinen	内衣
underlinen	衬衣
succour	援助者
succour	救援人员
spoilsport	扫兴者
condo	condominium
condo	分户出售公寓大厦
superheavy	超重
trichinotic	旋毛虫病的
trichinotic	旋毛虫病
trichinotic	毛线虫病的
trichinotic	毛线虫病
soleprint	足底印
galvanocauterization	电烙
handwritten	handwrite的过去分词
handwritten	手写的
handwritten	手写
maecenas	米西奈斯
maecenas	文学的资助者
mausoleum	陵墓
boulangerite	硫锑铅矿
cablevision	=cable
cablevision	TV
absorbed	全神贯注的
absorbed	全神贯注
absorbed	一心一意的
absorbed	一心一意
kioga	吉奥格湖
diligency	勤勉
diligency	用心
diligency	坚韧
treelawn	绿化带
flunkyism	奉承主义
flunkyism	仆役个性
effector	受动器
boz	博兹
losel	没有价值之人
losel	无用之人
hein	=eh
agamete	非配偶子
spondylitis	脊椎炎
inlace	缠绕
inlace	环绕
combinatorial	组合的
